Anunciante,Marca,Modelo,Versao,Combustivel,Mes de Registo,Ano,Quilometros,Cilindrada [cm3],Potencia [cv],Segmento,Cor,Tipo de Caixa,Numero de Portas,Garantia de stand - incluida no preco [meses],Origem,Condicao,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Numero de Mudancas,Emissoes CO2 [g/km],Consumo Extra Urbano,Bateria,Autonomia Maxima,IUC,Sub-modelo,Consumo Combinado,Autonomia Electrica [km],Consumo [kWh/100km],Capacidade da Bateria [kWh],Classico,Site,Portugal,Valor Sem ISV,Link,Data
Profissional,Mitsubishi,Space Star,1.2 Intense,Gasolina,2,2017.0,51339.0,1193,80,Utilitário,Cinzento,Manual,5.0,18,Nacional,Usados,11990,8089949352.0,3 Julho 2023,5.1,,100.0,3.9,,,,,4.3,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,CLA 220,d Shooting Brake Aut.,Diesel,6,2020.0,46731.0,2143,177,Carrinha,Branco,Automática,5.0,18,,Usados,41190,8089949351.0,3 Julho 2023,6.3,,144.0,4.9,,,,,5.4,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,208,1.6 BlueHDi GT Line,Diesel,5,2016.0,135500.0,1560,120,Citadino,Branco,Manual,5.0,18,,Usados,13900,8088686727.0,3 Julho 2023,5.0,,,4.0,,,,,4.0,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,3008,1.6 BlueHDi GT Line Grip Control EAT6,Diesel,3,2018.0,137800.0,1560,120,SUV / TT,Branco,Automática,5.0,18,,Usados,27500,8088233984.0,3 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,208,1.5 BlueHDi GT Line,Diesel,4,2022.0,125000.0,1499,102,Citadino,Azul,Manual,5.0,18,,Usados,20900,8088912684.0,3 Julho 2023,5.0,,,4.0,,,,,4.0,,,,Nao,StandVirtual,Yes,,,
Profissional,Toyota,Avensis Touring Sports,1.6 D-4D Luxury+GPS,Diesel,2,2016.0,189910.0,1598,112,Carrinha,Cinzento,Manual,5.0,18,Nacional,Usados,16000,8089430723.0,3 Julho 2023,5.1,6.0,110.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,330,,Híbrido (Gasolina),11,2019.0,72000.0,1998,292,Sedan,Cinzento,Automática,5.0,18,Nacional,Usados,33900,8089747353.0,3 Julho 2023,,8.0,31.0,,,,,Série 3,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,420 Gran Coupé,d Pack M Auto,Diesel,3,2019.0,130000.0,1995,190,Sedan,Cinzento,Automática,5.0,18,Nacional,Usados,35500,8089580152.0,3 Julho 2023,,8.0,,,,,,Série 4,,,,,Nao,StandVirtual,Yes,,,
Particular,MINI,Countryman,Cooper D,Diesel,9,2015.0,62000.0,1598,112,Carrinha,Cinzento,Manual,5.0,0,Nacional,Usados,17900,8089814853.0,3 Julho 2023,4.7,6.0,111.0,3.9,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,3008,1.6 BlueHDi GT Line EAT6,Diesel,6,2018.0,135800.0,1560,120,SUV / TT,Branco,Automática,5.0,18,,Usados,25500,8087831635.0,3 Julho 2023,,8.0,,,,950.0,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,308,1.5 BlueHDi GT Line EAT8,Diesel,1,2020.0,110250.0,1499,130,Citadino,Preto,Automática,5.0,18,,Usados,19900,8089289539.0,3 Julho 2023,5.0,,,4.0,,,,,4.0,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,CLA 45 AMG,,Gasolina,10,2015.0,116000.0,2000,381,Sedan,Preto,Automática,5.0,18,,Usados,38500,8084644206.0,3 Julho 2023,,7.0,,,,,,Classe CLA,,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,5008,2.0 BlueHDi GT EAT8,Diesel,5,2018.0,106000.0,1997,177,SUV / TT,Cinzento,Automática,5.0,18,Nacional,Usados,32500,8089580154.0,3 Julho 2023,,8.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Audi,A4 Avant,2.0 TDI Design S tronic,Diesel,12,2017.0,117000.0,1968,150,Carrinha,Preto,Automática,5.0,18,Nacional,Usados,24900,8089027598.0,3 Julho 2023,,7.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,E 220,D AMG Line 7L,Diesel,12,2018.0,153000.0,1950,194,Carrinha,Cinzento,Automática,5.0,18,Nacional,Usados,35900,8089773179.0,3 Julho 2023,,9.0,,,,,,Classe E,,,,,Nao,StandVirtual,Yes,,,
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,5,2021.0,58000.0,1199,83,Utilitário,Branco,Manual,5.0,36,Nacional,Usados,17450,8089151003.0,3 Julho 2023,6.4,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,520,d Line Luxury Auto,Diesel,5,2018.0,69989.0,1995,190,Carrinha,Azul,Automática,5.0,18,Nacional,Usados,33980,8089245895.0,3 Julho 2023,,8.0,135.0,,,,,Série 5,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Mégane,1.5 Blue dCi Zen,Diesel,7,2019.0,62518.0,1461,95,Utilitário,Preto,Manual,5.0,18,Nacional,Usados,14990,8089151075.0,3 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,A 180,d Progressive Aut.,Diesel,3,2019.0,109854.0,1461,116,Utilitário,Cinzento,Automática,5.0,24,Nacional,Usados,27900,8087815848.0,3 Julho 2023,,7.0,123.0,,,,,Classe A,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,123,d,Diesel,1,2008.0,303570.0,1995,204,Utilitário,Preto,Manual,5.0,36,,Usados,12900,8089198455.0,3 Julho 2023,6.4,,,,,,,Série 1,,,,,Nao,StandVirtual,Yes,,,
Profissional,SEAT,Arona,1.0 TSI FR,Gasolina,7,2021.0,52429.0,999,115,SUV / TT,Preto,Manual,5.0,36,,Usados,21900,8089710154.0,3 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,5,2019.0,175526.0,1461,90,Citadino,Cinzento,Manual,5.0,36,,Usados,15500,8089206965.0,3 Julho 2023,4.3,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake Style Plus Aut.,Diesel,9,2020.0,44000.0,1461,116,Carrinha,Cinzento,Automática,5.0,18,Nacional,Usados,33500,8089773180.0,3 Julho 2023,,8.0,,,,,,Classe CLA,,,,,Nao,StandVirtual,Yes,,,
Particular,Renault,Espace,1.6 dCi Initiale Paris EDC,Diesel,2,2017.0,125000.0,1598,160,Monovolume,Cinzento,Automática,5.0,0,Importado,Usados,23250,8089871840.0,3 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,A 180,,Diesel,9,2012.0,98000.0,1500,109,Utilitário,Azul,Manual,5.0,18,,Usados,16500,8088579307.0,3 Julho 2023,,6.0,,,,,,Classe A,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,530,e iPerformance Pack M,Híbrido (Gasolina),3,2019.0,98000.0,1998,252,Sedan,Cinzento,Automática,4.0,18,Nacional,Usados,37500,8089504551.0,3 Julho 2023,,8.0,,,,,,Série 5,,,,,Nao,StandVirtual,Yes,,,
