Anunciante,Marca,Modelo,Versao,Combustivel,Mes de Registo,Ano,Quilometros,Cilindrada [cm3],Potencia [cv],Segmento,Cor,Tipo de Caixa,Numero de Portas,Garantia de stand - incluida no preco [meses],Origem,Condicao,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Numero de Mudancas,Emissoes CO2 [g/km],Consumo Extra Urbano,Bateria,Autonomia Maxima,IUC,Sub-modelo,Consumo Combinado,Autonomia Electrica [km],Consumo [kWh/100km],Capacidade da Bateria [kWh],Classico,Site,Portugal,Valor Sem ISV,Link,Data
Profissional,Mercedes-Benz,S 400,d,Diesel,3,2020.0,43500.0,2925,340,Sedan,Cinzento,Automática,4.0,24,Nacional,Usados,104900,8085489578.0,4 Julho 2023,,9.0,169.0,,,,,Classe S,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,EQE,350,Eléctrico,10,2022.0,9500.0,0,292,Sedan,Preto,Automática,4.0,18,Nacional,Usados,73500,8089868510.0,4 Julho 2023,,10.0,,,Própria,600.0,,,,550.0,16.0,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,CLS 220,d AMG Line,Diesel,12,2021.0,35551.0,1950,194,Coupé,Cinzento,Automática,4.0,30,Nacional,Usados,63900,8089942822.0,30 Junho 2023,5.7,9.0,146.0,4.2,,,230.0,Classe CLS,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,EQC,400 4Matic,Eléctrico,5,2022.0,12500.0,0,408,SUV / TT,Cinzento,Automática,5.0,18,Nacional,Usados,71990,8089839086.0,4 Julho 2023,,10.0,,,Própria,420.0,,,,414.0,22.5,,Nao,StandVirtual,Yes,,,
Profissional,Audi,e-tron GT,quattro,Eléctrico,4,2021.0,27322.0,0,476,Sedan,Cinzento,Automática,4.0,18,Nacional,Usados,114990,8088069623.0,4 Julho 2023,,,,,,,,,,452.0,19.9,93.0,Nao,StandVirtual,Yes,,,
Profissional,Audi,e-tron Sportback,55 quattro,Eléctrico,6,2021.0,36341.0,0,408,Monovolume,Cinzento,Automática,5.0,18,Nacional,Usados,66990,8088545729.0,4 Julho 2023,,,,,,,,,,436.0,,95.0,Nao,StandVirtual,Yes,,,
Profissional,Porsche,Panamera,4 E-Hybrid,Híbrido (Gasolina),4,2019.0,53784.0,2894,462,Sedan,Cinzento,Automática,5.0,18,Nacional,Usados,104990,8089851615.0,4 Julho 2023,,8.0,45.0,,,56.0,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Porsche,Taycan,4S,Eléctrico,4,2021.0,44131.0,0,530,Sedan,Preto,Automática,4.0,18,Nacional,Usados,112990,8088232064.0,4 Julho 2023,,,,,,,,,,,,93.0,Nao,StandVirtual,Yes,,,
Profissional,BMW,530,e Pack M,Híbrido (Gasolina),4,2022.0,10000.0,1998,292,Carrinha,Cinzento,Automática,5.0,36,Nacional,Usados,61950,8088172803.0,4 Julho 2023,,8.0,,,,,,Série 5,,,,,Nao,StandVirtual,Yes,,,
Profissional,Ferrari,California,,Gasolina,5,2010.0,56765.0,4297,460,Cabrio,Vermelho,Automática,2.0,18,Nacional,Usados,135000,8089258838.0,4 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,X5 M,M50 d,Diesel,2,2019.0,106886.0,2993,400,SUV / TT,Preto,Automática,5.0,18,,Usados,90000,8089957374.0,4 Julho 2023,,,,,,,,Série X,,,,,Nao,StandVirtual,Yes,,,
Particular,Mercedes-Benz,S 400,d 9G-TRONIC,Diesel,6,2019.0,78000.0,2925,340,Sedan,Preto,Automática,4.0,0,,Usados,87000,8089816035.0,4 Julho 2023,7.5,,,,,,,Classe S,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,GLC 220,d 4Matic,Diesel,2,2022.0,17230.0,1950,194,SUV / TT,Cinzento,Automática,5.0,24,Nacional,Usados,69990,8086729944.0,4 Julho 2023,5.9,,,,,,,Classe GLC,,,,,Nao,StandVirtual,Yes,,,
Profissional,Alfa Romeo,Stelvio,2.9 T Quadrifoglio AT8 Q4,Gasolina,3,2019.0,14516.0,2891,510,SUV / TT,Vermelho,Automática,5.0,18,Nacional,Usados,79990,8088771566.0,4 Julho 2023,12.3,8.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,M5,Standard,Gasolina,7,2013.0,92000.0,4395,560,Sedan,Preto,Automática,4.0,18,,Usados,66950,8089399613.0,4 Julho 2023,,,,,,,596.0,Série 5,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,750,d xDrive Pack M Auto,Diesel,10,2020.0,23000.0,2993,400,Sedan,Preto,Automática,4.0,18,Nacional,Usados,118000,8087357597.0,4 Julho 2023,,,,,,,,Série 7,,,,,Nao,StandVirtual,Yes,,,
Profissional,Volvo,XC 60,2.0 T6 PHEV R-Design AWD,Híbrido (Gasolina),10,2020.0,49000.0,1969,340,SUV / TT,Vermelho,Automática,5.0,48,Nacional,Usados,61300,8089158343.0,4 Julho 2023,,8.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,EQC,400 4Matic,Eléctrico,12,2020.0,54175.0,0,408,SUV / TT,Cinzento,Automática,5.0,18,Nacional,Usados,64899,8088253250.0,4 Julho 2023,,,,,,,,,,414.0,,,Nao,StandVirtual,Yes,,,
Profissional,Audi,A7 Sportback,50 TDI V6 quattro S-line Tiptronic,Diesel,2,2020.0,75000.0,2967,286,Sedan,Preto,Automática,5.0,18,,Usados,69990,8089590480.0,4 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,GLC 220,d 4Matic,Diesel,4,2022.0,12200.0,1950,194,SUV / TT,Branco,Automática,5.0,24,Nacional,Usados,65400,8089053652.0,4 Julho 2023,,9.0,,,,,,Classe GLC,,,,,Nao,StandVirtual,Yes,,,
Profissional,Land Rover,Range Rover Sport,2.0 Si4 PHEV HSE Dynamic,Híbrido (Gasolina),7,2019.0,54000.0,1997,404,SUV / TT,Cinzento,Automática,5.0,18,,Usados,84500,8089944134.0,4 Julho 2023,,8.0,75.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,iX3,Impressive,Eléctrico,6,2021.0,35807.0,0,286,SUV / TT,Branco,Automática,5.0,18,,Usados,61950,8089085956.0,4 Julho 2023,,,,,Própria,,,Série X,,453.0,18.9,74.0,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,GLE 300,d 4Matic,Diesel,2,2020.0,79230.0,1950,245,SUV / TT,Cinzento,Automática,5.0,18,Importado,Usados,85500,8089851867.0,4 Julho 2023,,,,,,,,Classe GLE,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,840,d xDrive Pack M,Diesel,3,2019.0,82936.0,2993,320,Coupé,Branco,Automática,2.0,18,,Usados,86750,8088243035.0,4 Julho 2023,,8.0,155.0,,,,642.11,Série 8,,,,,Nao,StandVirtual,Yes,,,
Profissional,Alpine,A110,Légende,Gasolina,10,2022.0,3500.0,1798,252,Coupé,Branco,Automática,2.0,36,,Novos,77900,8089956198.0,4 Julho 2023,8.7,7.0,153.0,5.1,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,i8,,Híbrido (Gasolina),7,2018.0,36000.0,1500,365,Coupé,Branco,Automática,2.0,36,,Usados,89500,8063816726.0,4 Julho 2023,,,,,,,120.0,Série i,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,GLE 350,d 4-Matic,Diesel,11,2018.0,170000.0,2987,258,SUV / TT,Preto,Automática,5.0,36,,Usados,72500,8089519082.0,4 Julho 2023,7.2,,,,,,,Classe GLE,,,,,Nao,StandVirtual,Yes,,,
Profissional,Porsche,Macan,GTS PDK,Gasolina,6,2016.0,93900.0,2997,360,SUV / TT,Cinzento,Automática,5.0,18,Importado,Usados,68900,8089924214.0,4 Julho 2023,,7.0,215.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,840,d xDrive Pack M,Diesel,11,2019.0,116277.0,2993,320,Cabrio,Cinzento,Automática,2.0,18,Nacional,Usados,92500,8089590281.0,4 Julho 2023,,,,,,,,Série 8,,,,,Nao,StandVirtual,Yes,,,
Profissional,Porsche,Cayenne,E-Hybrid,Híbrido (Gasolina),8,2018.0,113348.0,2995,462,SUV / TT,Preto,Automática,5.0,18,,Usados,85900,8089458241.0,4 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Ford,Explorer,3.0 EcoBoost PHEV ST-Line,Híbrido (Gasolina),1,2023.0,9500.0,2956,457,SUV / TT,Branco,Automática,5.0,36,Nacional,Usados,87900,8088706150.0,4 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Nissan,GT-R,3.8 V6 Black Edition,Gasolina,2,2017.0,19000.0,3799,570,Coupé,Preto,Automática,3.0,36,,Usados,149990,8088308256.0,4 Julho 2023,17.1,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Jaguar,F-Pace,2.0 P400e AWD R-Dynamic Black,Híbrido (Gasolina),11,2022.0,15000.0,1997,404,SUV / TT,Cinzento,Automática,5.0,24,Nacional,Usados,88500,8088085394.0,4 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,A 45 AMG,S 4Matic+ Speedshift DCT 8G Street Style Edition,Gasolina,6,2020.0,33000.0,1991,421,Utilitário,Branco,Automática,5.0,18,,Usados,66990,8089860670.0,4 Julho 2023,,8.0,,,,,,Classe A,,,,,Nao,StandVirtual,Yes,,,
Profissional,Porsche,991,Carrera 4 S PDK,Gasolina,2,2016.0,34000.0,2981,420,Cabrio,Preto,Automática,2.0,18,Nacional,Usados,139500,8089581872.0,4 Julho 2023,10.4,7.0,184.0,6.7,,,,911 (Todos),,,,,Nao,StandVirtual,Yes,,,
Profissional,MINI,Cooper,D,Diesel,6,2014.0,135000.0,1496,116,Utilitário,Bege,Manual,3.0,18,Nacional,Usados,13950,8089444788.0,5 Julho 2023,4.4,6.0,95.0,,,,147.0,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Clio,,Gasolina,6,2019.0,62387.0,898,90,Utilitário,Prateado,Manual,5.0,18,,Usados,13750,8089780218.0,4 Julho 2023,,5.0,132.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Hyundai,i20,,Diesel,6,2018.0,60000.0,1120,75,Utilitário,Branco,Manual,5.0,18,Nacional,Usados,14900,8087511306.0,5 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Fiat,500,1.0 Hybrid Lounge,Gasolina,4,2020.0,58000.0,999,70,Citadino,Branco,Manual,3.0,18,Nacional,Usados,13400,8089139476.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Chevrolet,Aveo,1.3 VCDi LT,Diesel,6,2012.0,133250.0,1248,95,Citadino,Azul,Manual,5.0,18,Importado,Usados,8500,8087568724.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Suzuki,Swift,1.3 DDiS GLX,Diesel,12,2013.0,139799.0,1248,75,Citadino,Branco,Manual,5.0,18,Importado,Usados,11250,8084403679.0,5 Julho 2023,,,109.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Peugeot,208,1.6 BlueHDi Allure,Diesel,5,2015.0,106000.0,1560,100,Utilitário,Cinzento,Manual,5.0,0,Nacional,Usados,11550,8089628626.0,5 Julho 2023,3.8,5.0,90.0,3.2,,,154.12,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Shine,Diesel,9,2015.0,159000.0,1560,100,Utilitário,Cinzento,Manual,5.0,18,Nacional,Usados,12450,8089924339.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Scénic,1.5 dCi Luxe,Diesel,4,2013.0,246231.0,1461,110,Monovolume,Branco,Manual,5.0,18,,Usados,9600,8089314507.0,5 Julho 2023,5.8,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Opel,Corsa,1.3 CDTi Cosmo,Diesel,1,2012.0,178430.0,1248,95,Citadino,Preto,Manual,5.0,18,,Usados,6400,8089747987.0,5 Julho 2023,4.6,5.0,95.0,3.2,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,6,2014.0,90000.0,898,90,SUV / TT,Vermelho,Manual,5.0,18,,Usados,9900,8086817994.0,5 Julho 2023,4.6,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,MINI,One,D,Diesel,2,2013.0,162808.0,1598,90,Citadino,Castanho,Manual,3.0,18,Importado,Usados,12500,8089036068.0,5 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Toyota,Yaris,1.5 HSD Comfort +P.Style+P.Techno,Híbrido (Gasolina),12,2014.0,101838.0,1497,101,Utilitário,Cinzento,Automática,5.0,0,Nacional,Usados,10000,8089903721.0,5 Julho 2023,3.1,,75.0,3.3,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Volvo,V40,1.6 D2 R-Design,Diesel,10,2013.0,149232.0,1560,115,Utilitário,Cinzento,Manual,5.0,24,Importado,Usados,14900,8089924233.0,5 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Nissan,Micra,1.2 N-Tec P.Exterior Chrome,Gasolina,12,2016.0,88000.0,1198,80,Citadino,Roxo,Manual,5.0,18,,Usados,10500,8089969168.0,5 Julho 2023,6.1,5.0,,,,,,,5.0,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Dynamique S SS,Diesel,4,2017.0,199000.0,1461,110,Carrinha,Cinzento,Manual,5.0,18,Nacional,Usados,12750,8089969153.0,5 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Audi,A1 Sportback,1.0 TFSI Sport,Gasolina,12,2017.0,120000.0,999,95,Citadino,Cinzento,Manual,5.0,18,Importado,Usados,14990,8088912667.0,5 Julho 2023,5.0,5.0,95.0,,,800.0,100.0,,,,,,Nao,StandVirtual,Yes,,,
Particular,MINI,One,,Gasolina,8,2015.0,94000.0,1198,75,Utilitário,Azul,Manual,5.0,0,Importado,Usados,14800,8089903719.0,5 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Citroën,C3,1.2 PureTech Collection,Gasolina,4,2016.0,101013.0,1199,82,Citadino,Branco,Manual,5.0,18,Nacional,Usados,12490,8089764056.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Dacia,Sandero,0.9 TCe Confort,Gasolina,5,2014.0,115239.0,898,90,Utilitário,Preto,Manual,5.0,18,Nacional,Usados,8750,8089663372.0,5 Julho 2023,,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,VW,Golf Variant,1.6 TDi Trendline,Diesel,11,2010.0,184128.0,1598,105,Carrinha,Preto,Manual,5.0,36,,Usados,7749,8089924219.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited Edition,Gasolina,9,2017.0,54271.0,898,90,Carrinha,Cinzento,Manual,5.0,18,,Usados,12499,8089924212.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,7,2017.0,125749.0,1199,82,Citadino,Cinzento,Manual,5.0,18,,Usados,11999,8089924216.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Volvo,V40,1.6 D2 Momentum,Diesel,10,2013.0,141750.0,1560,115,Utilitário,Cinzento,Manual,5.0,18,Importado,Usados,14500,8089969003.0,5 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,3,2017.0,182000.0,1499,120,Carrinha,Branco,Manual,5.0,18,Nacional,Usados,12700,8088014662.0,5 Julho 2023,4.3,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,7,2015.0,122000.0,1199,130,SUV / TT,Branco,Manual,5.0,18,,Usados,13950,8089968957.0,5 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Citroën,C3,1.5 BlueHDi Shine,Diesel,8,2019.0,27125.0,1499,102,Citadino,Branco,Manual,5.0,18,,Usados,14750,8089661593.0,5 Julho 2023,,5.0,117.0,,,,155.0,,,,,,Nao,StandVirtual,Yes,,,
Profissional,VW,Up!,1.0 BMT Cross,Gasolina,3,2016.0,101300.0,999,75,Pequeno citadino,Branco,Manual,5.0,18,Nacional,Usados,10650,8088961729.0,5 Julho 2023,5.0,5.0,109.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,8,2017.0,131000.0,1461,90,Utilitário,Cinzento,Manual,5.0,18,Nacional,Usados,12990,8089924172.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Mercedes-Benz,B 180,CDi,Diesel,2,2010.0,73324.0,1991,109,Citadino,Prateado,Manual,5.0,0,Nacional,Usados,12000,8089902726.0,5 Julho 2023,6.4,6.0,,,,,,Classe B,,,,,Nao,StandVirtual,Yes,,,
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,2,2019.0,15300.0,1242,69,Utilitário,Branco,Manual,3.0,18,Nacional,Usados,14900,8089832246.0,5 Julho 2023,6.2,5.0,99.0,4.2,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,MINI,Cabrio,Cooper D,Diesel,5,2014.0,112000.0,1598,112,Cabrio,Bege,Manual,3.0,0,Nacional,Usados,14999,8088773962.0,2 Julho 2023,4.5,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Skoda,Fabia Break,1.0 Active Plus,Gasolina,8,2017.0,45000.0,999,75,Carrinha,Azul,Manual,5.0,18,Nacional,Usados,11980,8088144059.0,5 Julho 2023,5.8,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,7,2018.0,193000.0,1461,90,Citadino,Cinzento,Manual,5.0,18,Nacional,Usados,11950,8088014586.0,5 Julho 2023,4.3,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,Sim,,
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,4,2016.0,83000.0,998,68,Pequeno citadino,Cinzento,Manual,5.0,18,Nacional,Usados,9500,8088030932.0,5 Julho 2023,5.0,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Smart,ForTwo,cdi cabrio softouch passion dpf,Diesel,7,2013.0,80000.0,799,54,Cabrio,Azul,Automática,2.0,0,,Usados,11500,8089862665.0,5 Julho 2023,3.4,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Opel,Insignia,2.0 CDTi Executive S/S,Diesel,3,2015.0,154000.0,1956,140,Sedan,Preto,Manual,4.0,18,Nacional,Usados,13950,8089911591.0,5 Julho 2023,4.6,6.0,98.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Citroën,C3,1.4 Airdream Seduction,Gasolina,10,2010.0,125000.0,1360,75,Citadino,Preto,Manual,5.0,18,Nacional,Usados,7990,8089946418.0,5 Julho 2023,8.0,5.0,139.0,5.0,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Nissan,Qashqai,,Diesel,5,2015.0,100000.0,1598,130,SUV / TT,Cinzento,Automática,5.0,0,Nacional,Usados,7500,8089944058.0,5 Julho 2023,,7.0,119.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,MINI,One,D,Diesel,10,2013.0,94505.0,1598,90,Citadino,Bege,Manual,3.0,0,,Usados,10500,8089151284.0,5 Julho 2023,4.2,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Opel,Corsa,1.4 Dynamic Easytronic,Gasolina,7,2018.0,93078.0,1398,90,Utilitário,Preto,Automática,5.0,18,,Usados,14990,8088008945.0,5 Julho 2023,,,110.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,SEAT,Ibiza,1.6 TDI FR,Diesel,6,2013.0,56108.0,1598,105,Utilitário,Preto,Manual,5.0,18,,Usados,13990,8084991122.0,5 Julho 2023,,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,1,2019.0,169054.0,1461,90,Utilitário,Azul,Manual,5.0,18,,Usados,13990,8088774090.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,208,,Diesel,7,2012.0,146332.0,1398,68,Utilitário,Castanho,Automática,5.0,18,,Usados,11990,8088839504.0,5 Julho 2023,,,87.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Toyota,Aygo,1.0,Gasolina,5,2010.0,92780.0,998,68,Citadino,Vermelho,Manual,3.0,0,Importado,Usados,5690,8089903707.0,5 Julho 2023,5.3,5.0,102.0,3.9,,4.0,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,207 CC,,Diesel,7,2010.0,150000.0,1560,112,Cabrio,Cinzento,Manual,2.0,18,,Usados,9900,8088881447.0,5 Julho 2023,6.0,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Dynamique,Diesel,11,2012.0,190800.0,1461,110,Carrinha,Branco,Manual,5.0,18,Importado,Usados,8350,8089968610.0,5 Julho 2023,5.8,6.0,114.0,4.2,,,,,,,,,Nao,StandVirtual,Yes,Sim,,
Profissional,Fiat,500,1.3 MJ Pop S&S,Diesel,10,2018.0,148155.0,1248,95,Pequeno citadino,Preto,Manual,3.0,18,,Usados,13990,8088544777.0,5 Julho 2023,,,89.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Fiat,500,0.9 8V TwinAir Lounge,Gasolina,9,2010.0,86909.0,875,85,Citadino,Azul,Manual,3.0,18,,Usados,9500,8089710722.0,5 Julho 2023,4.9,5.0,95.0,3.7,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Alfa Romeo,Giulietta,,Diesel,8,2014.0,159750.0,1598,105,Utilitário,Azul,Manual,5.0,18,Nacional,Usados,13500,8089601982.0,5 Julho 2023,,6.0,114.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,4,2019.0,104857.0,1461,90,Utilitário,Cinzento,Manual,5.0,18,,Usados,14900,8088575394.0,5 Julho 2023,,,129.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Audi,A1 Sportback,1.6 TDI Design S tronic,Diesel,10,2017.0,210000.0,1598,116,Citadino,Preto,Automática,5.0,0,Nacional,Usados,12900,8089197294.0,5 Julho 2023,4.4,7.0,99.0,,,800.0,,,,,,,Nao,StandVirtual,Yes,,,
Particular,VW,Golf,1.6 TDI Confortline,Diesel,10,2014.0,205000.0,1598,90,Utilitário,Prateado,Manual,5.0,0,,Usados,13769,8089320011.0,5 Julho 2023,,5.0,98.0,,,900.0,148.58,,,,,,Nao,StandVirtual,Yes,,,
Particular,SEAT,Leon,1.6 TDI Style Ecomotive,Diesel,10,2014.0,160000.0,1598,110,Pequeno citadino,Cinzento,Manual,5.0,0,Nacional,Usados,11000,8089784472.0,5 Julho 2023,4.1,6.0,94.0,3.4,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Intens,Diesel,3,2018.0,233442.0,1461,110,Carrinha,Cinzento,Manual,5.0,18,Nacional,Usados,12990,8088359330.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Mégane,1.5 dCi Dynamique,Diesel,4,2011.0,377812.0,1461,90,Utilitário,Cinzento,Manual,5.0,18,Importado,Usados,5490,8089257065.0,5 Julho 2023,,,104.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,118,d,Diesel,5,2011.0,195000.0,1995,143,Cabrio,Cinzento,Manual,2.0,18,,Usados,14500,8087512249.0,5 Julho 2023,,6.0,,,,,,Série 1,,,,,Nao,StandVirtual,Yes,,,
Profissional,Citroën,C3,1.6 BlueHDi Feel,Diesel,7,2019.0,63477.0,1560,100,Citadino,Bege,Manual,5.0,18,,Usados,14950,8089701210.0,5 Julho 2023,4.4,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,MINI,Cabrio,Cooper D,Diesel,6,2011.0,126000.0,1598,112,Cabrio,Vermelho,Manual,3.0,18,,Usados,13950,8089338707.0,5 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Skoda,Fabia Break,1.0 Active,Gasolina,2,2017.0,73890.0,999,75,Carrinha,Preto,Manual,5.0,18,Nacional,Usados,11250,8089112031.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,VW,Golf Variant,1.6 TDi Highline,Diesel,9,2015.0,195000.0,1598,110,Carrinha,Cinzento,Manual,5.0,18,Nacional,Usados,14990,8089390364.0,4 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,5,2019.0,67000.0,898,90,Utilitário,Vermelho,Manual,5.0,18,Nacional,Usados,13950,8089652649.0,29 Junho 2023,6.3,5.0,132.0,4.2,,,108.0,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Smart,ForTwo,Electric Drive Passion,Eléctrico,8,2018.0,34409.0,0,82,Citadino,Azul,Automática,3.0,18,,Usados,14850,8089127055.0,5 Julho 2023,,,,,,140.0,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,C 250,CDi Avantgarde BlueEfficiency,Diesel,7,2010.0,303026.0,2143,204,Carrinha,Preto,Manual,5.0,18,Importado,Usados,13290,8089256107.0,5 Julho 2023,,,145.0,,,,,Classe C,,,,,Nao,StandVirtual,Yes,,,
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,9,2017.0,253119.0,1598,110,Carrinha,Preto,Manual,5.0,18,Nacional,Usados,9490,8088358767.0,5 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,3008,1.6 HDi Access,Diesel,9,2013.0,296122.0,1560,115,SUV / TT,Branco,Manual,5.0,18,Importado,Usados,10490,8089255625.0,5 Julho 2023,,,125.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Citroën,C4 Grand Picasso,1.6 BlueHDi Live,Diesel,9,2016.0,185000.0,1560,120,Monovolume,Branco,Manual,5.0,0,,Usados,14000,8089784468.0,5 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Fiat,500C,1.2 Lounge,Gasolina,9,2020.0,38000.0,1242,69,Cabrio,Preto,Manual,2.0,18,Nacional,Usados,14990,8089601568.0,5 Julho 2023,,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,VW,Golf Variant,1.6 TDi GPS Edition,Diesel,12,2015.0,168852.0,1598,110,Carrinha,Azul,Manual,5.0,18,Nacional,Usados,14950,8088718829.0,5 Julho 2023,,5.0,104.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
