Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Gancho de Reboque,IUC,Inspecção válida até,Livro de Revisões completo,Clássico,IVA Discriminado,Filtro de partículas,Garantia de Fábrica até,Consumo Combinado,ou até,Autonomia Máxima,Valor sem ISV,Autonomia,Consumo,Bateria,Site,Portugal,Data
Profissional,Mercedes-Benz,A 180,CDI AMG Line,Diesel,Julho,2018,72 000 km,1 461 cm3,109 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Manual,,5,,,,,18 Meses,,,Sim,Sim,"4,30 l/100km",,Usados,24 990        EUR,8090689696,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-cdi-amg-line-ID8PxHZ6.html,Classe A,,,,,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,5008,1.5 BlueHDi Crossway,Diesel,Julho,2019,163 000 km,1 499 cm3,130 cv,,Sim,Sim,SUV / TT,Prateado,,Manual,,5,7,,Tracção dianteira,,18 Meses,,,Sim,Sim,,,Usados,22 990        EUR,8090353890,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-crossway-ID8PviCS.html,,,,01/07/2025,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mitsubishi,ASX,1.0 MPI-T Invite,Gasolina,Abril,2023,3 900 km,999 cm3,90 cv,,,,SUV / TT,Vermelho,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,130 g/km,36 Meses,,Nacional,,Sim,,,Usados,24 490        EUR,8090517423,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-asx-1-0-mpi-t-invite-ID8PvZaw.html,,,,,Sim,,,,15/04/2028,,100 000 km,,,,,,StandVirtual,Yes,2023-10-24
Profissional,BMW,i3,s 120Ah,Eléctrico,Maio,2019,65 188 km,,184 cv,Sim,Sim,Sim,Utilitário,Branco,,Automática,,5,4,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,25 900        EUR,8090888035,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-s-120ah-ID8PyxA7.html,Série i,,,,Sim,,Sim,,,,,350 km,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,5008,1.5 BlueHDi Style,Diesel,Novembro,2018,118 000 km,1 499 cm3,130 cv,Sim,Sim,Sim,Monovolume,Preto,Metalizado,Manual,6,5,7,Classe 1,,,18 Meses,1,,Sim,Sim,,,Usados,23 550        EUR,8088911976,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-style-ID8Pqfvc.html,,,,,Sim,,Sim,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Kia,Ceed SW,1.0 T-GDi Drive,Gasolina,Abril,2021,44 500 km,998 cm3,120 cv,Sim,Sim,Sim,Carrinha,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,36 Meses,,Nacional,,Sim,,,Usados,21 990        EUR,8089124995,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-ceed-sw-1-0-t-gdi-drive-ID8Pr8WZ.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Suzuki,S-Cross,1.4T S3 Mild Hybrid,Gasolina,Julho,2022,26 000 km,1 373 cm3,129 cv,Sim,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,36 Meses,,Nacional,,Sim,,,Usados,27 990        EUR,8089112768,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/suzuki-s-cross-1-4t-s3-mild-hybrid-ID8Pr5KM.html,,,,,Sim,,,,07/07/2027,,100 000 km,,,,,,StandVirtual,Yes,2023-10-24
Profissional,BMW,116,d Pack M Shadow Auto,Diesel,Setembro,2020,132 000 km,1 496 cm3,116 cv,Sim,Sim,Sim,Utilitário,Vermelho,,Automática,,5,5,Classe 1,,120 g/km,18 Meses,1,Importado,Sim,Sim,,,Usados,29 990        EUR,8089833327,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-pack-m-shadow-auto-ID8Pu7cH.html,Série 1,,,,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,BMW,i3,120Ah,Eléctrico,Dezembro,2018,70 000 km,,170 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Automática,,5,4,Classe 1,,,18 Meses,1,Importado,Sim,Sim,,,Usados,26 990        EUR,8088953398,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-120ah-ID8Pqqii.html,Série i,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Ford,Fiesta,1.0 EcoBoost ST-Line,Gasolina,Julho,2021,44 600 km,998 cm3,100 cv,Sim,,Sim,Utilitário,Cinzento,,Manual,6,5,5,Classe 1,,,36 Meses,,Nacional,,Sim,,,Usados,18 900        EUR,8090835030,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ecoboost-st-line-ID8PyjNc.html,,,,,Sim,,,,01/07/2028,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,BMW,216 Active Tourer,d Line Sport,Diesel,Março,2019,31 520 km,1 496 cm3,116 cv,,,Sim,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,25 900        EUR,8084632350,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-line-sport-ID8P8ibY.html,Série 2,,,01/03/2023,,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Nissan,Micra,1.0 IG-T Acenta,Gasolina,Julho,2022,28 097 km,999 cm3,92 cv,Sim,,,Utilitário,Branco,,Manual,,5,5,,,,36 Meses,,Nacional,,,,,Usados,15 990        EUR,8089957581,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-acenta-ID8PuDvN.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,A 180,d Style,Diesel,Outubro,2017,90 000 km,1 461 cm3,109 cv,Sim,Sim,Sim,Utilitário,Azul,Metalizado,Manual,6,5,5,,,,18 Meses,1,,Sim,Sim,,,Usados,19 995        EUR,8089829653,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-style-ID8Pu6fr.html,Classe A,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Fiat,500X,1.0 FireFly Lounge,Gasolina,Maio,2019,56 819 km,999 cm3,120 cv,Sim,Sim,,Utilitário,Branco,,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,,Sim,,,Usados,15 750        EUR,8090919240,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-0-firefly-lounge-ID8PyFHq.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,A 180,d 7G-DCT AMG Line,Diesel,Julho,2019,168 425 km,1 461 cm3,116 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,,,Usados,26 990        EUR,8090383634,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-7g-dct-amg-line-ID8PvqmC.html,Classe A,,,01/07/2025,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Ford,Puma,1.0 EcoBoost MHEV ST-Line X,Gasolina,Dezembro,2022,220 km,998 cm3,125 cv,,Sim,Sim,SUV / TT,Azul,Metalizado,Manual,6,5,5,Classe 1,,,36 Meses,,Nacional,,Sim,,,Novos,29 900        EUR,8089009979,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-puma-1-0-ecoboost-mhev-st-line-x-ID8PqF0T.html,,,,,,,,,01/01/0001,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Ford,Focus,2.0 TDCi Titanium PS.,Diesel,Outubro,2017,87 000 km,1 997 cm3,150 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,"6,20 l/100km",,Usados,17 999        EUR,8088223124,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-2-0-tdci-titanium-ps-ID8PnmjG.html,,,,,Sim,,Sim,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Citroën,Berlingo,,Diesel,Fevereiro,2021,196 500 km,1 499 cm3,102 cv,,Sim,Sim,Carrinha,Preto,,Manual,5,5,3,Classe 1,Tracção dianteira,111 g/km,18 Meses,1,Importado,Sim,Sim,,,Usados,18 500        EUR,8090049744,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-berlingo-ID8Pw1wi.html,,,,,Sim,,Sim,,,,,,Sim,,,,StandVirtual,Yes,2023-10-24
Profissional,Mazda,CX-5,2.2 D Excellence Navi,Diesel,Julho,2019,48 370 km,2 191 cm3,150 cv,,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,6,5,5,,,,36 Meses,1,Nacional,,Sim,,,Usados,27 990        EUR,8090766653,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mazda-cx-5-2-2-d-excellence-navi-ID8Py20l.html,,,,,,,,,01/01/0001,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,BMW,420 Gran Coupé,d Pack M Auto,Diesel,Maio,2017,230 000 km,1 995 cm3,190 cv,Sim,Sim,Sim,Sedan,Branco,,Automática,,5,5,Classe 1,,119 g/km,18 Meses,2,,Sim,Sim,,,Usados,26 990        EUR,8090689956,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-420-gran-coup-d-pack-m-auto-ID8PxI3i.html,Série 4,,,,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Renault,Clio,1.5 Blue dCi Zen,Diesel,Novembro,2020,75 781 km,1 461 cm3,100 cv,,,Sim,Citadino,Laranja,Metalizado,Manual,6,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,18 400        EUR,8089346988,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-zen-ID8Ps4Gv.html,,,,01/11/2024,,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Fiat,500C,1.0 Hybrid Dolcevita,Gasolina,Novembro,2022,23 km,999 cm3,70 cv,,Sim,Sim,Cabrio,Laranja,,Manual,,2,4,,,,18 Meses,,,Sim,Sim,,,Usados,25 950        EUR,8089343767,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-0-hybrid-dolcevita-ID8Ps3Qz.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Jaguar,XE,2.0 D R-Sport Aut.,Diesel,Agosto,2016,155 000 km,1 999 cm3,180 cv,,Sim,Sim,Sedan,Branco,Pérola,Automática,,4,5,,,111 g/km,18 Meses,,,Sim,Sim,,,Usados,24 750        EUR,8089528227,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-xe-2-0-d-r-sport-aut-ID8PsPPJ.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,VW,T-Cross,1.0 TSI Life,Gasolina,Janeiro,2022,32 000 km,999 cm3,95 cv,Sim,Sim,Sim,SUV / TT,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,131 g/km,18 Meses,,Nacional,,Sim,,,Usados,22 750        EUR,8090100555,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-t-cross-1-0-tsi-life-ID8PweIP.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,MINI,One,D,Diesel,Fevereiro,2019,48 000 km,1 496 cm3,95 cv,,Sim,Sim,Citadino,Cinzento,,Manual,6,3,4,Classe 1,,109 g/km,18 Meses,,Importado,Sim,Sim,,,Usados,19 990        EUR,8090697561,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8PxK1X.html,,,,,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,MINI,Countryman,One D 4Business,Diesel,Outubro,2018,122 000 km,1 496 cm3,116 cv,,Sim,Sim,SUV / TT,Cinzento,,Manual,6,5,5,,Tracção dianteira,132 g/km,18 Meses,,Importado,Sim,Sim,"4,90 l/100km","3,90 l/100km",Usados,22 790        EUR,8090642581,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-one-d-4business-ID8PxwJb.html,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,508 SW,1.5 BlueHDi Allure,Diesel,Fevereiro,2020,121 424 km,1 499 cm3,130 cv,Sim,Sim,,Carrinha,Azul,,Manual,6,5,5,,,,18 Meses,,Nacional,,Sim,,,Usados,23 900        EUR,8089998683,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-5-bluehdi-allure-ID8PuOdJ.html,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Renault,Grand Scénic,1.5 dCi Bose Edition SS,Diesel,Fevereiro,2018,122 000 km,1 461 cm3,110 cv,,Sim,Sim,Monovolume,Cinzento,Metalizado,Manual,6,5,7,,Tracção dianteira,105 g/km,18 Meses,,Importado,Sim,Sim,"4,50 l/100km","3,90 l/100km",Usados,22 990        EUR,8090642706,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-bose-edition-ss-ID8PxwLc.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Audi,A3 Limousine,30 TDI,Diesel,Janeiro,2019,95 500 km,1 598 cm3,116 cv,,Sim,Sim,Sedan,Azul,,Manual,6,4,5,Classe 1,,136 g/km,18 Meses,,Importado,Sim,Sim,,,Usados,21 490        EUR,8090697989,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-limousine-30-tdi-ID8PxK8R.html,,,,,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Opel,Mokka,1.6 CDTi Cosmo S/S,Diesel,Março,2015,68 786 km,1 598 cm3,136 cv,Sim,Sim,Sim,SUV / TT,Branco,,Manual,,5,5,Classe 1,Tracção dianteira,114 g/km,18 Meses,,Nacional,Sim,Sim,"4,80 l/100km",4 l/100km,Usados,15 900        EUR,8090701035,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-mokka-1-6-cdti-cosmo-s-s-ID8PxKWZ.html,,,"154,12 €",,Sim,,,,,"4,30 l/100km",,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Hyundai,Ioniq,1.6 GDI HEV Hybrid Tech,Híbrido (Gasolina),Abril,2019,118 500 km,1 580 cm3,141 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,,5,5,,,,18 Meses,,Nacional,,Sim,,,Usados,22 900        EUR,8090918692,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-ioniq-1-6-gdi-hev-hybrid-tech-ID8PyFyA.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Renault,Captur,1.0 TCe Exclusive,Gasolina,Setembro,2021,18 260 km,999 cm3,90 cv,Sim,Sim,Sim,SUV / TT,Vermelho,,Manual,6,5,5,Classe 1,,,18 Meses,1,Nacional,,Sim,,,Usados,20 950        EUR,8088352356,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-exclusive-ID8PnTV4.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Opel,Astra Sports Tourer,1.5 D S&S Elegance,Diesel,Abril,2021,42 774 km,1 496 cm3,105 cv,,Sim,Sim,Carrinha,Preto,,Manual,6,5,,,Tracção dianteira,90 g/km,18 Meses,1,Importado,Sim,Sim,"3,90 l/100km","3,10 l/100km",Usados,20 990        EUR,8090404031,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-5-d-s-s-elegance-ID8PvwFB.html,,,,,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Particular,Mercedes-Benz,C 300,BlueTEC Hybrid Exclusive,Híbrido (Diesel),Fevereiro,2018,77 000 km,2 143 cm3,231 cv,Sim,,,Carrinha,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção traseira,100 g/km,,1,Importado,Sim,Sim,4 l/100km,"3,70 l/100km",Usados,30 000        EUR,8090865830,23 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-bluetec-hybrid-exclusive-ID8PyrNY.html,Classe C,1,,22/06/2024,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Fiat,500C,1.0 Hybrid,Gasolina,Julho,2023,50 km,999 cm3,70 cv,Sim,Sim,Sim,Citadino,Preto,Metalizado,Manual,6,2,4,Classe 1,,,36 Meses,,Nacional,Sim,Sim,,,Usados,20 890        EUR,8090352690,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-0-hybrid-ID8Pvijv.html,,,"108,32 €",,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Particular,Mercedes-Benz,C 300,BlueTEC Hybrid Exclusive,Híbrido (Diesel),Fevereiro,2018,77 000 km,2 143 cm3,231 cv,Sim,,,Carrinha,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção traseira,100 g/km,,1,Importado,Sim,Sim,4 l/100km,"3,70 l/100km",Usados,30 000        EUR,8090865830,23 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-bluetec-hybrid-exclusive-ID8PyrNY.html,Classe C,1,,22/06/2024,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Março,2021,24 890 km,1 199 cm3,101 cv,Sim,Sim,Sim,Citadino,Cinzento,,Manual,6,5,5,Classe 1,,,18 Meses,1,Nacional,,Sim,,,Usados,18 950        EUR,8088901351,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8PqcKP.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Renault,Grand Scénic,1.5 dCi Intens EDC SS,Diesel,Abril,2018,121 900 km,1 461 cm3,110 cv,Sim,Sim,Sim,Monovolume,Azul,Metalizado,Automática,6,5,7,Classe 1,Tracção dianteira,,18 Meses,,Importado,Sim,Sim,,,Usados,19 990        EUR,8088046536,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-intens-edc-ss-ID8PmCnu.html,,,,,Sim,,Sim,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Abril,2021,20 860 km,1 199 cm3,101 cv,Sim,Sim,Sim,Citadino,Amarelo,,Manual,6,5,5,Classe 1,,,18 Meses,1,,,Sim,,,Usados,18 950        EUR,8089339198,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8Ps2ES.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,Março,2021,18 229 km,1 199 cm3,102 cv,Sim,Sim,Sim,SUV / TT,Vermelho,,Manual,6,5,5,Classe 1,,,18 Meses,1,Nacional,,Sim,,,Usados,23 950        EUR,8088903650,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-ID8PqdlU.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Particular,SEAT,Leon,SC 2.0 TDI FR S/S,Diesel,Outubro,2015,84 000 km,1 968 cm3,150 cv,,,,Utilitário,Branco,,Manual,6,3,5,Classe 1,Tracção dianteira,112 g/km,,1,Nacional,Sim,Sim,"5,30 l/100km","3,90 l/100km",Usados,19 900        EUR,8090762252,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-sc-2-0-tdi-fr-s-s-ID8Py0Rm.html,,,,20/10/2024,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,SEAT,Ateca,1.6 TDI Style,Diesel,Junho,2019,98 545 km,1 598 cm3,115 cv,,Sim,Sim,SUV / TT,Preto,,Manual,,5,5,Classe 1,,,18 Meses,1,Nacional,Sim,Sim,,,Usados,19 200        EUR,8090836724,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ateca-1-6-tdi-style-ID8Pykev.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Audi,A4,2.0 TDI,Diesel,Abril,2015,79 100 km,1 968 cm3,136 cv,,Sim,Sim,Sedan,Preto,Metalizado,Manual,,4,5,,,,36 Meses,,,,,"5,20 l/100km",,Usados,22 800        EUR,8090834958,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-2-0-tdi-ID8PyjM2.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,VW,Taigo,1.0 TSI Life,Gasolina,Setembro,2023,2 570 km,999 cm3,110 cv,Sim,,,SUV / TT,Cinzento,,Manual,,5,5,,,,36 Meses,,Nacional,,,,,Usados,25 990        EUR,8090789052,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-taigo-1-0-tsi-life-ID8Py7PC.html,,,,,,,,,,"5,50 l/100km",,,,,,,StandVirtual,Yes,2023-10-24
Profissional,VW,T-Roc,1.0 TSI Life,Gasolina,Julho,2022,26 974 km,999 cm3,110 cv,Sim,,,SUV / TT,Prateado,,Manual,,5,5,,,,36 Meses,,Nacional,,,,,Usados,26 290        EUR,8090789033,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-t-roc-1-0-tsi-life-ID8Py7Pj.html,,,,,,,,,24/10/2026,6 l/100km,,,,,,,StandVirtual,Yes,2023-10-24
Particular,Mercedes-Benz,CLA 220,d Shooting Brake AMG Line Aut.,Diesel,Outubro,2016,112 818 km,2 143 cm3,177 cv,,,,Carrinha,Branco,Metalizado,Automática,7,5,5,Classe 1,Integral,108 g/km,,1,,Sim,Sim,"4,90 l/100km","3,80 l/100km",Usados,30 500        EUR,8090886141,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-220-d-shooting-brake-amg-line-aut-ID8Pyx5z.html,Classe CLA,,,20/02/2024,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Particular,Mercedes-Benz,CLS 350,d,Diesel,Maio,2017,131 000 km,2 987 cm3,258 cv,,Sim,,Coupé,Preto,Metalizado,Automática,9,4,4,Classe 1,Tracção traseira,137 g/km,,1,Nacional,Sim,Sim,"6,30 l/100km","4,70 l/100km",Usados,33 999        EUR,8089939437,23 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cls-350-d-ID8PuyO9.html,Classe CLS,,,30/05/2024,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Particular,Mercedes-Benz,CLS 350,d,Diesel,Maio,2017,131 000 km,2 987 cm3,258 cv,,Sim,,Coupé,Preto,Metalizado,Automática,9,4,4,Classe 1,Tracção traseira,137 g/km,,1,Nacional,Sim,Sim,"6,30 l/100km","4,70 l/100km",Usados,33 999        EUR,8089939437,23 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cls-350-d-ID8PuyO9.html,Classe CLS,,,30/05/2024,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,BMW,535,d Auto,Diesel,Dezembro,2011,78 700 km,2 993 cm3,299 cv,,Sim,Sim,Carrinha,Preto,,Automática,,4,,,,,18 Meses,,,,Sim,"7,90 l/100km",,Usados,31 500        EUR,8090788890,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-535-d-auto-ID8Py7N0.html,Série 5,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,A 160,Style,Gasolina,Janeiro,2023,7 044 km,1 332 cm3,109 cv,Sim,,,Utilitário,Azul,,Manual,,5,5,,,,24 Meses,,Nacional,,,,,Usados,32 500        EUR,8090586743,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-160-style-ID8Pxhcz.html,Classe A,,,,,,,,,"5,90 l/100km",,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mitsubishi,Eclipse Cross,2.4 PHEV eMotion,Híbrido (Gasolina),Maio,2023,9 500 km,2 360 cm3,202 cv,,,,SUV / TT,Cinzento,,Automática,1,5,,Classe 1,Integral,46 g/km,36 Meses,,Nacional,,Sim,,,Usados,41 990        EUR,8090517384,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-eclipse-cross-2-4-phev-emotion-ID8PvZ9S.html,,,,,Sim,,,,15/05/2028,,100 000 km,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Volvo,XC 40,1.5 T3 Momentum Geartronic,Gasolina,Junho,2021,52 000 km,1 477 cm3,163 cv,,Sim,Sim,SUV / TT,Prateado,,Automática,8,5,5,Classe 1,Tracção dianteira,,48 Meses,,Nacional,,,"8,30 l/100km",,Usados,39 700        EUR,8088057373,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-1-5-t3-momentum-geartronic-ID8PmFch.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Audi,A3 Sportback,40 TFSIe Advanced,Híbrido (Gasolina),Dezembro,2020,40 000 km,1 395 cm3,204 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,,,Usados,32 480        EUR,8089208076,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-40-tfsie-advanced-ID8Pruy0.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Particular,Volvo,XC 40,1.5 T5 PHEV Momentum,Híbrido (Gasolina),Outubro,2020,32 000 km,1 477 cm3,262 cv,,,,SUV / TT,Branco,Mate,Automática,7,5,5,,Tracção dianteira,46 g/km,,,Nacional,Sim,Sim,,,Usados,37 000        EUR,8089917384,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-1-5-t5-phev-momentum-ID8Put4s.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Honda,Civic,2.0 VTEC Turbo Type R GT,Gasolina,Julho,2018,90 000 km,1 996 cm3,320 cv,,,Sim,Utilitário,Cinzento,Pérola,Manual,6,5,4,Classe 1,Tracção dianteira,,18 Meses,1,Importado,Sim,Sim,"9,70 l/100km",,Usados,41 900        EUR,8090573424,23 Outubro 2023,https://www.standvirtual.com/carros/anuncio/honda-civic-2-0-vtec-turbo-type-r-gt-ID8PxdJK.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
