Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Gancho de Reboque,IUC,Inspecção válida até,Livro de Revisões completo,Clássico,IVA Discriminado,Filtro de partículas,Garantia de Fábrica até,Consumo Combinado,ou até,Autonomia Máxima,Valor sem ISV,Autonomia,Consumo,Bateria,Site,Portugal,Data
Profissional,Peugeot,107,1.0 Black&Silver,Gasolina,Novembro,2011,210 000 km,998 cm3,68 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,4,Classe 1,Tracção dianteira,,18 Meses,,Nacional,Sim,Sim,"5,40 l/100km",,Usados,5 465        EUR,8090481394,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-107-1-0-black-silver-ID8PvPNo.html,,,,23/11/2023,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Skoda,Fabia Break,1.6 TDi Elegance,Diesel,Junho,2010,240 000 km,1 598 cm3,90 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Manual,5,5,5,Classe 1,,109 g/km,18 Meses,1,Nacional,Sim,Sim,,,Usados,6 900        EUR,8089289264,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/skoda-fabia-break-1-6-tdi-elegance-ID8PrPFu.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,308 CC,1.6 HDi Sport,Diesel,Fevereiro,2013,83 000 km,1 560 cm3,112 cv,Sim,Sim,Sim,Cabrio,Preto,Metalizado,Manual,6,2,4,Classe 1,,123 g/km,18 Meses,1,Nacional,Sim,Sim,,,Usados,14 750        EUR,8090762196,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-cc-1-6-hdi-sport-ID8Py0Qs.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Outubro,2015,136 000 km,1 560 cm3,120 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,,,18 Meses,,,Sim,,,,Usados,12 990        EUR,8090867198,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8Pysa2.html,,,,01/10/2024,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,VW,Polo,1.0 Lounge,Gasolina,Junho,2014,53 877 km,999 cm3,75 cv,Sim,Sim,Sim,Utilitário,Azul,,Manual,5,3,5,Classe 1,,,18 Meses,1,,Sim,Sim,,,Usados,11 400        EUR,8090769246,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-lounge-ID8Py2Ga.html,,,,23/06/2024,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Citroën,C4 Cactus,1.6 e-HDi Feel ETG6,Diesel,Junho,2015,144 000 km,1 560 cm3,92 cv,,Sim,Sim,SUV / TT,Cinzento,,Automática,6,5,5,Classe 1,,,18 Meses,,,,Sim,,,Usados,13 990        EUR,8090867122,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-e-hdi-feel-etg6-ID8Pys8O.html,,,,01/06/2024,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,308 SW,,Diesel,Dezembro,2015,133 000 km,1 560 cm3,120 cv,,Sim,Sim,Carrinha,Azul,,Manual,6,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,12 990        EUR,8088008350,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-ID8PmsrA.html,,,,01/12/2023,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,208,1.5 BlueHDi Active,Diesel,Janeiro,2019,118 000 km,1 499 cm3,102 cv,,Sim,Sim,Citadino,Branco,,Manual,6,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,14 990        EUR,8089624691,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-active-ID8PteWB.html,,,,01/01/2025,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Renault,Clio,,Diesel,Novembro,2015,97 008 km,1 461 cm3,90 cv,,Sim,Sim,Citadino,Cinzento,,Manual,5,5,5,,,,18 Meses,,,Sim,Sim,,,Usados,12 990        EUR,8088913742,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-ID8PqfYG.html,,,,01/11/2023,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Toyota,Aygo,1.0 + AC,Gasolina,Abril,2010,164 000 km,998 cm3,68 cv,,,,Citadino,Cinzento,Metalizado,Manual,5,5,4,Classe 1,Tracção dianteira,108 g/km,18 Meses,,Importado,Sim,Sim,"5,50 l/100km","4,10 l/100km",Usados,5 750        EUR,8090585741,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-ac-ID8PxgVp.html,,,,13/04/2024,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
