Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Classe do veículo,Tracção,Emissões CO2,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Filtro de partículas,Inspecção válida até,Livro de Revisões completo,IVA Discriminado,Origem,Registo(s),Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,IUC,Capacidade da bateria,Bateria,Autonomia,Consumo Combinado,Consumo,Clássico,ou até,Valor sem ISV,Site,Portugal,Data
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Março,2014,99 879 km,898 cm3,90 cv,Sim,Sim,Sim,Sedan,Preto,Metalizado,Manual,5,5,18 Meses,Usados,9 999        EUR,8090168368,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-stepway-ID8PwvmA.html,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,Mazda,2,1.5 Sky.Evolve Navi,Diesel,Janeiro,2018,88 000 km,1 499 cm3,105 cv,,,,Utilitário,Azul,Metalizado,Manual,5,5,,Usados,14 250        EUR,8090193591,18 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mazda-2-1-5-sky-evolve-navi-ID8PwCWp.html,6,Classe 1,Tracção dianteira,89 g/km,Sim,Sim,"3,80 l/100km","3,20 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,Peugeot,308 SW,BlueHDi 120 Stop & Start Allure,Diesel,Fevereiro,2015,200 000 km,1 560 cm3,120 cv,,,,Carrinha,Azul,Metalizado,Manual,5,5,,Usados,9 750        EUR,8090036676,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-bluehdi-120-stop-start-allure-ID8PuY6v.html,6,Classe 1,Tracção dianteira,,Sim,Sim,"4,70 l/100km",,Sim,22/02/2024,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Maio,2018,218 783 km,1 560 cm3,100 cv,Sim,,Sim,Carrinha,Cinzento,,Manual,5,5,18 Meses,Usados,11 490        EUR,8087543379,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8Pkwu3.html,6,Classe 1,Tracção dianteira,,Sim,,,,,,Sim,Sim,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,VW,Polo,1.0 Confortline,Gasolina,Agosto,2017,128 000 km,999 cm3,75 cv,,Sim,Sim,Citadino,Preto,,Manual,5,,18 Meses,Usados,12 500        EUR,8086291622,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8PffQq.html,6,,,,Sim,Sim,"5,90 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,108,1.0 VTi Active,Gasolina,Julho,2019,48 331 km,998 cm3,72 cv,Sim,Sim,Sim,Pequeno citadino,Branco,,Manual,3,4,18 Meses,Usados,11 790        EUR,8088516647,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PoAFW.html,,,,,Sim,,"4,90 l/100km",,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2018,123 054 km,1 248 cm3,95 cv,Sim,,Sim,Utilitário,Preto,,Manual,5,5,18 Meses,Usados,13 190        EUR,8087701859,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PlaIb.html,,,Tracção dianteira,,Sim,,,,,,Sim,Sim,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge J17,Diesel,Março,2018,116 227 km,1 248 cm3,95 cv,,Sim,,Sedan,Cinzento,,Manual,5,5,18 Meses,Usados,13 999        EUR,8087917926,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-j17-ID8Pm4W8.html,6,,,,,Sim,,,,,Sim,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Setembro,2016,39 919 km,998 cm3,68 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,4,18 Meses,Usados,10 290        EUR,8090247563,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8PwQXW.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mitsubishi,Space Star,1.2 Intense,Gasolina,Março,2016,92 401 km,1 193 cm3,80 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,18 Meses,Usados,10 490        EUR,8090018194,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-ID8PuTiq.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Renault,Clio,1.0 TCe Limited,Gasolina,Outubro,2019,126 000 km,999 cm3,90 cv,,Sim,Sim,Citadino,Cinzento,,Manual,5,,18 Meses,Usados,14 500        EUR,8089635870,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-limited-ID8PthPU.html,6,,Tracção dianteira,117 g/km,Sim,Sim,"6,20 l/100km","4,20 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,208,1.6 BlueHDi Allure,Diesel,Dezembro,2014,165 000 km,1 560 cm3,100 cv,,Sim,Sim,Citadino,Cinzento,,Manual,5,,18 Meses,Usados,10 900        EUR,8090053841,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-allure-ID8Pw2zn.html,5,,Tracção dianteira,90 g/km,Sim,Sim,"3,80 l/100km","3,20 l/100km",,,,,Importado,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Renault,Laguna Break,1.5 dCi Dynamique S,Diesel,Novembro,2011,183 000 km,1 461 cm3,110 cv,Sim,Sim,Sim,Carrinha,Cinzento,,Manual,5,5,18 Meses,Usados,9 500        EUR,8090193446,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-laguna-break-1-5-dci-dynamique-s-ID8PwCT4.html,6,Classe 1,,,Sim,Sim,,,Sim,,,,Nacional,2,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,VW,Polo,1.0 Confortline,Gasolina,Maio,2015,117 000 km,999 cm3,75 cv,,,,Citadino,Cinzento,,Manual,5,5,,Usados,10 500        EUR,8090572037,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8Pxdnn.html,5,,Tracção dianteira,108 g/km,,,"5,90 l/100km","4,10 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,Smart,ForFour,1.0 71 Aut.,Gasolina,Dezembro,2019,70 664 km,999 cm3,71 cv,,,,Citadino,Preto,,Automática,5,4,,Usados,12 750        EUR,8090469630,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-71-aut-ID8PvMJE.html,6,Classe 1,Tracção traseira,140 g/km,Sim,Sim,"5,50 l/100km","4,50 l/100km",,01/11/2023,Sim,,Nacional,,650 km,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,208,1.2 PureTech Style,Gasolina,Maio,2018,65 000 km,1 199 cm3,82 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,18 Meses,Usados,13 990        EUR,8090339463,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-style-ID8PveSb.html,5,Classe 1,Tracção dianteira,104 g/km,Sim,Sim,"5,50 l/100km","3,90 l/100km",,05/05/2024,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,308 SW,1.5 BlueHDi Active,Diesel,Abril,2018,144 000 km,1 499 cm3,130 cv,,,,Carrinha,Cinzento,,Manual,5,5,18 Meses,Usados,13 500        EUR,8090586761,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-active-ID8PxhcR.html,,,,,,,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,Peugeot,208,PureTech 82 Start & Stop Active,Gasolina,Abril,2015,29 500 km,1 199 cm3,82 cv,,,,Citadino,Azul,,Manual,5,,,Usados,10 950        EUR,8090631813,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-puretech-82-start-stop-active-ID8PxsWw.html,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Dacia,Logan MCV,1.5 dCi Comfort,Diesel,Setembro,2016,71 000 km,1 461 cm3,90 cv,,,,Carrinha,Prateado,Metalizado,Manual,5,5,18 Meses,Usados,12 480        EUR,8090604693,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-1-5-dci-comfort-ID8PxlS5.html,5,Classe 1,Tracção dianteira,90 g/km,,Sim,"3,70 l/100km","3,40 l/100km",,15/09/2025,Sim,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Opel,Meriva,1.4 T FlexFluel,GPL,Setembro,2016,77 385 km,1 364 cm3,120 cv,Sim,Sim,Sim,Citadino,Prateado,,Manual,5,5,18 Meses,Usados,12 999        EUR,8090610827,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-meriva-1-4-t-flexfluel-ID8Pxnt1.html,5,,,,,,,,,,,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Opel,Corsa,1.3 CDTi Enjoy,Diesel,Fevereiro,2015,120 000 km,1 248 cm3,95 cv,Sim,,,Utilitário,Cinzento,,Manual,5,5,18 Meses,Usados,9 990        EUR,8090448839,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-enjoy-ID8PvHkj.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Smart,ForFour,0.9 Passion 90,Gasolina,Maio,2017,40 396 km,898 cm3,90 cv,Sim,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,4,18 Meses,Usados,12 490        EUR,8089839445,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-0-9-passion-90-ID8Pu8Nn.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Fiat,Punto,,Diesel,Dezembro,2016,108 473 km,1 248 cm3,95 cv,Sim,Sim,Sim,Utilitário,Preto,,Manual,5,2,18 Meses,Usados,9 490        EUR,8089619405,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-ID8Ptdyl.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Toyota,Aygo,1.0 X-Cite,Gasolina,Dezembro,2016,76 532 km,998 cm3,69 cv,Sim,Sim,Sim,Utilitário,Amarelo,,Manual,5,4,18 Meses,Usados,10 490        EUR,8089619389,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-x-cite-ID8Ptdy5.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Smart,ForFour,Electric Drive Passion,Eléctrico,Abril,2018,70 004 km,,82 cv,Sim,Sim,Sim,Citadino,Preto,,Automática,5,4,18 Meses,Usados,13 990        EUR,8089606514,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-electric-drive-passion-ID8Ptacq.html,,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,108,1.0 VTi Active,Gasolina,Junho,2017,27 744 km,998 cm3,69 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,5,4,18 Meses,Usados,10 990        EUR,8089606498,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8Ptaca.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Maio,2015,93 700 km,1 461 cm3,90 cv,Sim,Sim,Sim,Utilitário,Laranja,,Manual,5,5,36 Meses,Usados,13 490        EUR,8089561008,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PsYms.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,01/01/0001,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Opel,Corsa,1.3 CDTi City 89g,Diesel,Janeiro,2015,120 000 km,1 248 cm3,95 cv,Sim,Sim,,Citadino,Cinzento,,Manual,5,5,18 Meses,Usados,10 990        EUR,8090495064,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-city-89g-ID8PvTlS.html,,,,,,Sim,,,,,Sim,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Renault,Twingo,1.0 SCe Limited,Gasolina,Março,2019,20 830 km,999 cm3,70 cv,Sim,Sim,,Utilitário,Branco,,Manual,5,4,18 Meses,Usados,11 490        EUR,8089156840,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-limited-ID8PrhdC.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,SEAT,Altea,XL 1.6 TDi Sport DPF,Diesel,Fevereiro,2011,150 810 km,1 598 cm3,105 cv,Sim,Sim,,Carrinha,Cinzento,,Manual,5,5,18 Meses,Usados,10 250        EUR,8090586749,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-altea-xl-1-6-tdi-sport-dpf-ID8PxhcF.html,5,Classe 1,,,Sim,Sim,,,Sim,,Sim,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Nissan,Note,1.5 dCi Acenta,Diesel,Março,2014,141 129 km,1 461 cm3,90 cv,,,Sim,Citadino,Vermelho,Metalizado,Manual,5,5,18 Meses,Usados,11 700        EUR,8088125570,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-note-1-5-dci-acenta-ID8PmVVe.html,5,Classe 1,,,Sim,Sim,,,Sim,01/11/2023,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,SEAT,Ibiza,1.0 EcoTSI Reference,Gasolina,Julho,2019,54 574 km,999 cm3,95 cv,,,Sim,Citadino,Branco,Metalizado,Manual,5,5,18 Meses,Usados,14 700        EUR,8088129918,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-ecotsi-reference-ID8PmY4m.html,6,Classe 1,,,Sim,Sim,,,,01/11/2023,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Ford,Fiesta,,Gasolina,Janeiro,2018,85 000 km,998 cm3,100 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,5,5,36 Meses,Usados,13 990        EUR,8090628608,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-ID8Pxs5O.html,,,,,,Sim,,,,,,,,,,01/01/0001,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,MINI,Cooper,Seven Chili,Gasolina,Junho,2015,156 500 km,1 499 cm3,136 cv,Sim,,,Citadino,Azul,Metalizado,Manual,3,,,Usados,12 950        EUR,8090411864,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-seven-chili-ID8PvxHV.html,,,,,,,"5,70 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Skoda,Fabia Break,1.0 Active Plus,Gasolina,Fevereiro,2017,72 617 km,999 cm3,75 cv,Sim,Sim,Sim,Carrinha,Preto,,Manual,5,5,18 Meses,Usados,11 999        EUR,8090610820,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-fabia-break-1-0-active-plus-ID8PxnsU.html,5,,,,,,,,,,,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Renault,Captur,1.5 dCi Zen,Diesel,Julho,2018,124 335 km,1 461 cm3,90 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,5,5,18 Meses,Usados,14 900        EUR,8090251924,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-zen-ID8PwS6g.html,5,Classe 1,,95 g/km,Sim,,,,Sim,,,,Importado,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Maio,2017,90 000 km,1 242 cm3,69 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,3,4,36 Meses,Usados,12 990        EUR,8089713666,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PtC4G.html,5,Classe 1,Tracção dianteira,99 g/km,Sim,Sim,"6,20 l/100km","4,20 l/100km",,,Sim,,,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,208,1.6 BlueHDi Active,Diesel,Agosto,2017,252 133 km,1 560 cm3,75 cv,Sim,,Sim,Citadino,Cinzento,,Manual,5,5,18 Meses,Usados,9 490        EUR,8090475881,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-active-ID8PvOmt.html,5,Classe 1,Tracção dianteira,90 g/km,Sim,,,,,,Sim,Sim,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Julho,2017,166 223 km,1 598 cm3,110 cv,Sim,,Sim,Carrinha,Preto,,Manual,5,5,18 Meses,Usados,11 490        EUR,8089124694,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-business-edition-s-s-ID8Pr8R8.html,,,Tracção dianteira,,Sim,,,,,,Sim,Sim,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Opel,Astra,1.6 CDTI Dynamic S/S,Diesel,Agosto,2016,174 944 km,1 598 cm3,110 cv,,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,18 Meses,Usados,11 750        EUR,8090308599,13 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-dynamic-s-s-ID8Pv6Qn.html,6,Classe 1,,,,Sim,,,,,,,,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Citroën,C3,1.2 PureTech Feel EAT6,Gasolina,Junho,2019,92 920 km,1 199 cm3,110 cv,Sim,Sim,Sim,Citadino,Branco,Metalizado,Automática,5,5,18 Meses,Usados,14 500        EUR,8090015732,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-eat6-ID8PuSEI.html,,Classe 1,,110 g/km,Sim,,,,,,,,Importado,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,VW,Polo,1.2 Match,Gasolina,Junho,2013,90 745 km,1 198 cm3,70 cv,Sim,Sim,Sim,Citadino,Preto,,Manual,5,5,18 Meses,Usados,10 999        EUR,8090610817,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-2-match-ID8PxnsR.html,5,,,,,,,,,,,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Renault,Mégane Sport Tourer,1.5 dCi GT Line SS,Diesel,Março,2014,182 116 km,1 461 cm3,110 cv,,Sim,Sim,Utilitário,Azul,,Manual,5,,18 Meses,Usados,12 990        EUR,8090596662,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-gt-line-ss-ID8PxjMy.html,6,,Tracção dianteira,93 g/km,,Sim,"3,90 l/100km","3,40 l/100km",Sim,06/03/2024,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Citroën,C4 Cactus,1.2 PureTech Feel,Gasolina,Março,2015,78 118 km,1 199 cm3,82 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,5,5,18 Meses,Usados,12 999        EUR,8090610814,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-2-puretech-feel-ID8PxnsO.html,5,,,,,,,,,,,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,E 250,CDi Avantgarde BlueEfficiency,Diesel,Agosto,2010,560 000 km,2 143 cm3,204 cv,Sim,,Sim,Sedan,Preto,Metalizado,Manual,4,,36 Meses,Usados,9 998        EUR,8090293792,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-250-cdi-avantgarde-blueefficiency-ID8Pv2Zy.html,,,,,,,"6,20 l/100km",,,,,,,,,,Classe E,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,Volvo,V60,2.0 D4 Momentum Start/Stop,Diesel,Dezembro,2012,112 994 km,1 984 cm3,163 cv,,,,Carrinha,Azul,Metalizado,Manual,5,5,,Usados,14 700        EUR,8090467771,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-0-d4-momentum-start-stop-ID8PvMfF.html,6,Classe 1,Tracção dianteira,119 g/km,,Sim,"5,20 l/100km","4,10 l/100km",,,Sim,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,B 180,CDi BlueEfficiency,Diesel,Dezembro,2012,206 000 km,1 796 cm3,109 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,18 Meses,Usados,13 998        EUR,8087074099,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-b-180-cdi-blueefficiency-ID8Pixp1.html,6,Classe 1,Tracção dianteira,,Sim,Sim,"5,40 l/100km",,Sim,18/12/2023,Sim,,,1,,,Classe B,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Nissan,Pulsar,1.5 dCi Acenta,Diesel,Junho,2016,95 800 km,1 461 cm3,110 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,5,18 Meses,Usados,13 900        EUR,8090412380,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-pulsar-1-5-dci-acenta-ID8PvxQg.html,,,,94 g/km,,Sim,,,Sim,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Toyota,Aygo,1.0 X-Play+AC+X-Touch,Gasolina,Setembro,2017,75 727 km,998 cm3,69 cv,Sim,Sim,Sim,Pequeno citadino,Branco,,Manual,3,4,18 Meses,Usados,11 370        EUR,8088035940,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-x-play-ac-x-touch-ID8PmzCA.html,5,Classe 1,,,,Sim,,,,,,,Importado,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Kia,Picanto,1.0 CVVT Urban,Gasolina,Julho,2022,23 000 km,998 cm3,67 cv,Sim,Sim,Sim,Citadino,Castanho,Metalizado,Manual,5,5,24 Meses,Usados,14 950        EUR,8090253095,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-picanto-1-0-cvvt-urban-ID8PwSp9.html,5,Classe 1,,,,Sim,,,,,Sim,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Junho,2014,119 219 km,898 cm3,90 cv,,Sim,Sim,SUV / TT,Azul,,Manual,5,5,18 Meses,Usados,9 900        EUR,8090252825,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-stepway-ID8PwSkN.html,5,Classe 1,,,Sim,,,,,,,,,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,308,1.6 BlueHDi Access,Diesel,Março,2018,216 481 km,1 560 cm3,100 cv,Sim,,Sim,Utilitário,Cinzento,,Manual,5,5,18 Meses,Usados,11 890        EUR,8089399456,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-access-ID8PsikM.html,,,Tracção dianteira,95 g/km,Sim,,,,,,Sim,Sim,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Julho,2018,116 949 km,1 248 cm3,95 cv,,Sim,Sim,Citadino,Preto,,Manual,5,5,18 Meses,Usados,11 699        EUR,8087701382,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8PlaAu.html,5,,,,,Sim,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Junho,2017,33 619 km,898 cm3,90 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,18 Meses,Usados,14 950        EUR,8089833582,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-edition-ID8Pu7gO.html,5,Classe 1,Tracção dianteira,,,Sim,,,,27/06/2025,,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Maio,2018,99 870 km,1 461 cm3,90 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,18 Meses,Usados,14 950        EUR,8089702340,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8Ptz80.html,5,Classe 1,Tracção dianteira,,,Sim,,,,23/05/2024,,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Ford,Fiesta,1.0 Ti-VCT Titanium,Gasolina,Maio,2016,104 430 km,998 cm3,80 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,18 Meses,Usados,11 750        EUR,8089702347,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ti-vct-titanium-ID8Ptz87.html,5,Classe 1,Tracção dianteira,,,Sim,,,,30/05/2024,,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Citroën,DS5,2.0 HDi Hybrid4 Sport Chic CMP6,Híbrido (Diesel),Outubro,2012,181 569 km,1 997 cm3,200 cv,Sim,Sim,Sim,Sedan,Branco,Pérola,Automática,5,5,18 Meses,Usados,14 900        EUR,8090518344,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds5-2-0-hdi-hybrid4-sport-chic-cmp6-ID8PvZpm.html,,Classe 1,,,Sim,Sim,"4,20 l/100km",,,,Sim,,Importado,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
