Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Classe do veículo,Tracção,Emissões CO2,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Filtro de partículas,Inspecção válida até,Livro de Revisões completo,IVA Discriminado,Origem,Registo(s),Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,IUC,Capacidade da bateria,Bateria,Autonomia,Consumo Combinado,Consumo,Clássico,ou até,Valor sem ISV,Site,Portugal,Data
Profissional,Toyota,Corolla Touring Sports,1.8 Hybrid Comfort+P.Sport,Híbrido (Gasolina),Abril,2022,14 500 km,1 798 cm3,122 cv,Sim,,,Carrinha,Branco,,Automática,5,,103 Meses,Usados,31 900        EUR,8090252327,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-corolla-touring-sports-1-8-hybrid-comfort-p-sport-ID8PwScL.html,,,,,,,,,,,,,Nacional,,,21/04/2032,,,,,,5 l/100km,,,,,StandVirtual,Yes,2023-09-19
Profissional,SEAT,Tarraco,2.0 TDI Style,Diesel,Outubro,2019,67 100 km,1 968 cm3,150 cv,Sim,,,SUV / TT,Cinzento,,Manual,5,5,18 Meses,Usados,30 990        EUR,8090633724,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-tarraco-2-0-tdi-style-ID8Pxtqk.html,,,,,,,"5,80 l/100km","4,70 l/100km",,,,,,,,,,,,,,"4,90 l/100km",,,,,StandVirtual,Yes,2023-09-19
Profissional,BMW,420 Gran Coupé,d Pack M Auto,Diesel,Dezembro,2018,83 000 km,1 995 cm3,190 cv,Sim,,,Utilitário,Cinzento,,Automática,5,5,36 Meses,Usados,34 900        EUR,8090513845,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-420-gran-coup-d-pack-m-auto-ID8PvYeN.html,,,,123 g/km,,,"5,30 l/100km","4,30 l/100km",,,,,Nacional,,,19/09/2026,Série 4,,,,,"4,70 l/100km",,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,A 180,d Style Aut.,Diesel,Março,2023,4 000 km,1 950 cm3,116 cv,Sim,,,Utilitário,Preto,,Automática,5,5,24 Meses,Usados,36 000        EUR,8090513705,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-style-aut-ID8PvYcx.html,,,,,,,,,,,,,Nacional,,,,Classe A,,,,,5 l/100km,,,,,StandVirtual,Yes,2023-09-19
Profissional,Volvo,V60,2.0 D4 Inscription Geartronic,Diesel,Abril,2019,99 750 km,1 969 cm3,190 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,5,5,18 Meses,Usados,34 750        EUR,8089717694,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-0-d4-inscription-geartronic-ID8PtD7E.html,8,Classe 1,Tracção dianteira,146 g/km,Sim,Sim,"5,40 l/100km","4,20 l/100km",,,Sim,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Opel,Corsa-e,Business,Eléctrico,Janeiro,2023,10 500 km,,136 cv,Sim,Sim,Sim,Citadino,Branco,Mate,Automática,5,5,36 Meses,Usados,30 990        EUR,8088737631,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-e-business-ID8Ppvab.html,,Classe 1,,,Sim,Sim,,,,,Sim,Sim,Nacional,1,346 km,24/01/2026,,,,Própria,346 km,,15 kWh/100km,,,Sim,StandVirtual,Yes,2023-09-19
Profissional,Kia,e-Niro,EV 64kWh,Eléctrico,Dezembro,2021,103 066 km,,204 cv,Sim,,Sim,SUV / TT,Preto,,Automática,5,5,18 Meses,Usados,30 490        EUR,8088737640,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-e-niro-ev-64kwh-ID8Ppvak.html,6,Classe 1,Tracção dianteira,,Sim,,,,,,Sim,Sim,Nacional,1,,,,,64 kWh,Própria,375 km,,,,,,StandVirtual,Yes,2023-09-19
Particular,BMW,320,e Corporate Edition Auto,Híbrido (Gasolina),Abril,2022,20 000 km,1 998 cm3,204 cv,,,,Sedan,Preto,Metalizado,Automática,4,5,,Usados,40 900        EUR,8090609702,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-e-corporate-edition-auto-ID8PxnaS.html,8,Classe 1,Tracção traseira,30 g/km,Sim,Sim,,,,,Sim,,Nacional,1,60 km,31/03/2024,Série 3,200 €,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,e-208,GT Pack,Eléctrico,Junho,2021,14 900 km,,136 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Automática,5,5,18 Meses,Usados,34 950        EUR,8087408885,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-e-208-gt-pack-ID8PjVuN.html,,,Tracção dianteira,,,,,,,,,,Importado,,,,,,,Própria,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,3008,1.6 Hybrid4 Allure Pack e-EAT8,Híbrido (Gasolina),Fevereiro,2021,49 000 km,1 598 cm3,300 cv,Sim,,,SUV / TT,Cinzento,,Automática,5,5,36 Meses,Usados,36 990        EUR,8090633669,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-hybrid4-allure-pack-e-eat8-ID8Pxtpr.html,,,,,,,,,,,,,Nacional,,,19/09/2026,,,,,,"1,30 l/100km",,,,,StandVirtual,Yes,2023-09-19
