Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Valor Fixo,Possibilidade de financiamento,Origem,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,VIN,IVA Discriminado,Registo(s),Sub-modelo,Inspecção válida até,IUC,Garantia de Fábrica até,Consumo Combinado,Bateria,Autonomia Máxima,Capacidade da bateria,Autonomia,Consumo,ou até,Site,Portugal,Data
Profissional,Dacia,Logan MCV,Gasolina,Outubro,2016,81 000 km,898 cm3,90 cv,Carrinha,Branco,,Manual,5,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,10 500,8091875282,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-comfort-ID8PCGps.html,0.9 TCe Comfort,,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Renault,Captur,Diesel,Novembro,2014,94 248 km,1 461 cm3,90 cv,Utilitário,Azul,Metalizado,Manual,5,5,5,Classe 1,,36 Meses,,,Sim,Usados,12 900,8091603510,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-sport-ID8PBxI2.html,1.5 dCi Sport,Sim,Sim,Nacional,,,,,Sim,,,,,1 Janeiro 0001,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,SEAT,Leon ST,Gasolina,Maio,2019,99 724 km,999 cm3,115 cv,Carrinha,Cinzento,,Automática,7,5,,,Tracção dianteira,18 Meses,,,Sim,Usados,14 900,8091113506,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-0-ecotsi-style-dsg-s-s-ID8PzueK.html,1.0 EcoTSI Style DSG S/S,Sim,Sim,,135 g/km,"5,40 l/100km","4,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Dacia,Sandero,Gasolina,Março,2014,96 000 km,898 cm3,90 cv,Utilitário,Branco,,Manual,,5,5,,,18 Meses,,,,Usados,9 490,8091751717,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-confort-ID8PCagt.html,0.9 TCe Confort,Sim,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Citroën,DS3,Diesel,Junho,2015,111 415 km,1 560 cm3,120 cv,Coupé,Cinzento,Metalizado,Manual,,3,5,,,18 Meses,Sim,Sim,Sim,Usados,12 750,8090921645,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-bluehdi-sport-chic-ID8PyGkd.html,1.6 BlueHDi Sport Chic,,Sim,Nacional,,,,Mostrar VIN,,1,,21 Julho 2024,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,VW,Golf,Diesel,Julho,2015,99 480 km,1 598 cm3,90 cv,Citadino,Azul,,Manual,5,5,5,,Tracção dianteira,18 Meses,,,,Usados,14 500,8092018720,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-confortline-ID8PDhIY.html,1.6 TDi Confortline,,Sim,Nacional,,,,,,,,24 Julho 2024,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,SEAT,Leon ST,Diesel,Março,2017,182 688 km,1 598 cm3,115 cv,Carrinha,Branco,,Manual,6,5,5,,Tracção dianteira,18 Meses,,Sim,Sim,Usados,14 250,8091607510,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-style-s-s-ID8PByKy.html,1.6 TDI Style S/S,,Sim,Nacional,,,,Mostrar VIN,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Peugeot,208,Diesel,Março,2017,111 000 km,1 560 cm3,75 cv,Citadino,Prateado,,Manual,5,5,5,,Tracção dianteira,18 Meses,,Sim,,Usados,11 750,8091607762,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-style-ID8PByOC.html,1.6 BlueHDi Style,,Sim,Nacional,,,,,,,,13 Março 2025,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Fiat,500,Gasolina,Janeiro,2017,82 000 km,1 242 cm3,69 cv,Citadino,Preto,,Manual,5,3,4,,Tracção dianteira,18 Meses,,Sim,Sim,Usados,11 000,8091001585,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Pz17z.html,1.2 Lounge,,Sim,Nacional,,,,Mostrar VIN,,,,20 Janeiro 2025,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Peugeot,308 SW,Diesel,Outubro,2017,115 589 km,1 560 cm3,120 cv,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,Usados,14 400,8091890177,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-j17-ID8PCKhH.html,1.6 BlueHDi Allure J17,,,Nacional,102 g/km,"4,70 l/100km","3,50 l/100km",Mostrar VIN,,1,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
