Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Consumo Urbano,Filtro de partículas,Sub-modelo,Consumo Extra Urbano,Consumo Combinado,Emissões CO2,IUC,Inspecção válida até,Garantia de Fábrica até,ou até,IVA Discriminado,Clássico,Autonomia Máxima,Autonomia,Bateria,Gancho de Reboque,Consumo,Capacidade da bateria,Site,Portugal,Data
Profissional,Citroën,DS3,1.6 BlueHDi Sport Chic,Diesel,Maio,2014,162 631 km,1 560 cm3,120 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,6,3,5,Classe 1,,24 Meses,1,Importado,,Sim,Sim,Usados,13 690        EUR,8088719878,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-bluehdi-sport-chic-ID8PprxQ.html,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Toyota,Yaris,1.4 D-4D ACtive,Diesel,Novembro,2017,99 000 km,1 364 cm3,90 cv,Sim,Sim,Sim,Citadino,Cinzento,,Manual,6,5,5,Classe 1,,18 Meses,,Nacional,Sim,,Sim,Usados,13 990        EUR,8090078223,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-4-d-4d-active-ID8Pw8UD.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,VW,Up!,,Gasolina,Janeiro,2019,77 000 km,999 cm3,75 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,,5,4,Classe 1,,18 Meses,,Nacional,Sim,,Sim,Usados,13 990        EUR,8088267773,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-ID8PnxWP.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,500L,1.3 MJ Lounge,Diesel,Julho,2013,188 000 km,1 248 cm3,85 cv,,Sim,Sim,Monovolume,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,,Sim,,Usados,9 950        EUR,8088332841,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500l-1-3-mj-lounge-ID8PnORj.html,5 l/100km,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Citroën,C4 Cactus,1.2 PureTech Shine,Gasolina,Março,2015,123 327 km,1 199 cm3,110 cv,Sim,Sim,Sim,Utilitário,Azul,,Manual,,5,5,Classe 1,,24 Meses,1,Importado,,Sim,Sim,Usados,12 900        EUR,8088719879,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-2-puretech-shine-ID8PprxR.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,VW,New Beetle,1.6 TDi Design,Diesel,Maio,2013,194 000 km,1 598 cm3,105 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,13 950        EUR,8089803636,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-new-beetle-1-6-tdi-design-ID8PtZtO.html,"5,40 l/100km",,,"4,10 l/100km",,119 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Toyota,Yaris,1.0 VVT-i Exclusive,Gasolina,Janeiro,2017,148 535 km,998 cm3,69 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,,5,5,Classe 1,,24 Meses,1,Importado,,Sim,Sim,Usados,13 450        EUR,8089146385,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-exclusive-ID8PreuZ.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,500,1.2 Pop Star,Gasolina,Junho,2015,117 156 km,1 242 cm3,69 cv,Sim,Sim,Sim,Utilitário,Vermelho,,Manual,5,3,4,Classe 1,Tracção dianteira,18 Meses,,Nacional,,Sim,Sim,Usados,9 990        EUR,8089779078,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-pop-star-ID8PtT5I.html,"6,40 l/100km",,,"4,30 l/100km",,119 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Citroën,DS3,1.2 PureTech Chic,Gasolina,Dezembro,2013,94 509 km,1 199 cm3,82 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,,3,5,Classe 1,,24 Meses,1,Importado,,Sim,Sim,Usados,11 750        EUR,8087072991,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-2-puretech-chic-ID8Pix79.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Dacia,Sandero,Stepway dCi 90 Prestige,Diesel,Maio,2013,167 725 km,1 461 cm3,90 cv,,Sim,Sim,Citadino,Preto,,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,,Importado,,Sim,Sim,Usados,11 490        EUR,8089779607,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-stepway-dci-90-prestige-ID8PtTef.html,"4,60 l/100km",Sim,,"3,70 l/100km",,105 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
