Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Consumo Urbano,Filtro de partículas,Sub-modelo,Consumo Extra Urbano,Consumo Combinado,Emissões CO2,IUC,Inspecção válida até,Garantia de Fábrica até,ou até,IVA Discriminado,Clássico,Autonomia Máxima,Autonomia,Bateria,Gancho de Reboque,Consumo,Capacidade da bateria,Site,Portugal,Data
Profissional,Fiat,500C,0.9 8V TwinAir by Gucci,Gasolina,Outubro,2011,108 000 km,875 cm3,85 cv,,Sim,Sim,Cabrio,Preto,,Manual,,2,4,,Tracção dianteira,18 Meses,1,,,Sim,Sim,Usados,13 750        EUR,8089125657,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-0-9-8v-twinair-by-gucci-ID8Pr96F.html,"4,70 l/100km",,,,,95 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Grand Scénic,1.5 dCi Luxe 7L EDC,Diesel,Agosto,2011,162 000 km,1 461 cm3,110 cv,Sim,Sim,Sim,Monovolume,Preto,Metalizado,Automática,6,5,7,,Tracção dianteira,18 Meses,,Importado,Sim,Sim,Sim,Usados,11 890        EUR,8089199105,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-luxe-7l-edc-ID8Prsdj.html,,,,,,,,01/08/2023,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Novembro,2019,111 000 km,1 248 cm3,95 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,,Sim,Sim,Usados,14 900        EUR,8090227113,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PwLE5.html,,,,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Ford,Focus,1.6 TDCi Titanium,Diesel,Agosto,2014,172 405 km,1 560 cm3,115 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,24 Meses,1,Importado,,Sim,Sim,Usados,12 900        EUR,8089146384,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-1-6-tdci-titanium-ID8PreuY.html,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,SEAT,Leon,1.6 TDI Ecomotive Style,Diesel,Junho,2013,252 367 km,1 598 cm3,105 cv,Sim,Sim,Sim,Utilitário,Cinzento,,Manual,5,5,,,Tracção dianteira,18 Meses,,,Sim,Sim,Sim,Usados,9 950        EUR,8090586632,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-ecomotive-style-ID8PxhaM.html,"5,10 l/100km",,,"3,70 l/100km",,109 g/km,"154,12 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Toyota,Aygo,1.0 X-Play+AC+X-Touch,Gasolina,Dezembro,2015,62 343 km,998 cm3,69 cv,Sim,Sim,Sim,Pequeno citadino,Cinzento,Metalizado,Manual,,5,4,Classe 1,,24 Meses,1,Importado,,Sim,Sim,Usados,11 400        EUR,8089146387,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-x-play-ac-x-touch-ID8Prew1.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Nissan,Juke,1.5 dCi Tekna Premium,Diesel,Setembro,2014,179 107 km,1 461 cm3,110 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,,5,5,Classe 1,,24 Meses,1,Importado,,Sim,Sim,Usados,13 490        EUR,8089249983,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-premium-ID8PrFrW.html,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Citroën,C5,1.6 e-HDi Séduction Air.CMP6,Diesel,Janeiro,2011,140 000 km,1 560 cm3,112 cv,Sim,,Sim,Sedan,Cinzento,Metalizado,Automática,6,4,5,,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,Sim,Usados,9 850        EUR,8089641467,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c5-1-6-e-hdi-sduction-air-cmp6-ID8Ptjib.html,"5,50 l/100km",,,"4,10 l/100km",,120 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,VW,Up!,1.0 Move,Gasolina,Março,2019,49 000 km,999 cm3,60 cv,Sim,,Sim,Citadino,Branco,,Manual,5,5,4,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,12 250        EUR,8090188724,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-move-ID8PwBEU.html,"5,30 l/100km",,,"3,80 l/100km",,124 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Twingo,1.0 SCe Dynamique,Gasolina,Março,2018,78 000 km,999 cm3,70 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,5,4,Classe 1,,18 Meses,1,,,Sim,Sim,Usados,10 750        EUR,8089237626,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-dynamique-ID8PrCeC.html,5 l/100km,,,,,95 g/km,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Innovation S/S,Diesel,Maio,2016,169 000 km,1 598 cm3,136 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Manual,,5,5,,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,12 750        EUR,8089015651,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-innovation-s-s-ID8PqGun.html,"5,40 l/100km",,,,,104 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Citroën,C3,1.2 PureTech Seduction,Gasolina,Março,2014,114 000 km,1 199 cm3,82 cv,,,,Citadino,Cinzento,,Manual,5,5,5,,Tracção dianteira,36 Meses,,,,,,Usados,9 490        EUR,8090222215,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-seduction-ID8PwKn5.html,"5,50 l/100km",,,"3,90 l/100km",,104 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,SEAT,Ibiza,1.6 TDI Style,Diesel,Maio,2014,98 000 km,1 598 cm3,90 cv,,,,Utilitário,Cinzento,Metalizado,Manual,5,5,5,,Tracção dianteira,36 Meses,1,Nacional,Sim,Sim,Sim,Usados,12 250        EUR,8089999901,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-6-tdi-style-ID8PuOxn.html,"5,10 l/100km",,,"3,60 l/100km",,109 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Mégane,1.5 dCi Zen,Diesel,Maio,2017,172 352 km,1 461 cm3,110 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,24 Meses,1,Importado,Sim,Sim,Sim,Usados,14 900        EUR,8089839192,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-zen-ID8Pu8Ji.html,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Volvo,V40,1.6 D2 Momentum,Diesel,Novembro,2014,173 460 km,1 560 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,5,Classe 1,,24 Meses,1,Importado,,Sim,Sim,Usados,13 850        EUR,8089146382,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-1-6-d2-momentum-ID8PreuV.html,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,MINI,One,D,Diesel,Outubro,2010,121 000 km,1 598 cm3,90 cv,Sim,,,Utilitário,Branco,Pérola,Manual,6,3,4,Classe 1,Tracção dianteira,,2,Nacional,,Sim,Sim,Usados,9 990        EUR,8090523811,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8Px0Px.html,"4,20 l/100km",Sim,,"3,50 l/100km",,99 g/km,,13/10/2023,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Junho,2018,106 994 km,1 248 cm3,95 cv,,Sim,,Carrinha,Branco,,Manual,,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,,Sim,,Usados,14 480        EUR,8090586623,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PxhaD.html,,,,,,99 g/km,"113,34 €",,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Nissan,Juke,1.5 dCi Tekna Sport,Diesel,Outubro,2013,142 000 km,1 461 cm3,110 cv,,Sim,Sim,SUV / TT,Cinzento,,Manual,,5,5,,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,Sim,Usados,11 900        EUR,8090479661,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-sport-ID8PvPlr.html,,,,,,,,07/10/2023,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Zen,Diesel,Março,2017,149 991 km,1 461 cm3,110 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,12 950        EUR,8090586591,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-zen-ID8Pxha7.html,"4,20 l/100km",,,"3,40 l/100km",,95 g/km,148 €,30/03/2025,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Clio,1.5 dCi Dynamique S,Diesel,Janeiro,2014,175 396 km,1 461 cm3,90 cv,,,,Citadino,Vermelho,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,,,,Sim,Sim,Usados,10 890        EUR,8090479655,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-dynamique-s-ID8PvPll.html,"3,30 l/100km",,,"3,10 l/100km",,82 g/km,155 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,C 220,CDi Avantgarde BE,Diesel,Junho,2011,249 416 km,2 143 cm3,170 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,6,5,5,,,18 Meses,,Importado,,,Sim,Usados,12 000        EUR,8090524459,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-avantgarde-be-ID8Px0ZZ.html,,,Classe C,,,124 g/km,,14/06/2024,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,500,1.2 Lounge,Gasolina,Julho,2019,73 890 km,1 242 cm3,69 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,3,4,Classe 1,,18 Meses,1,Nacional,,Sim,Sim,Usados,12 400        EUR,8089642300,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PtjwC.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Ford,Focus SW,,Gasolina,Agosto,2015,105 000 km,998 cm3,100 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,5,5,5,Classe 1,,18 Meses,,,Sim,Sim,Sim,Usados,11 990        EUR,8088882470,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-ID8Pq7Qi.html,,,,,,,,01/08/2024,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,Peugeot,208,,Gasolina,Julho,2012,130 000 km,1 199 cm3,82 cv,,,,Citadino,Preto,Metalizado,Manual,,5,5,,,,,,,,,Usados,9 000        EUR,8090482004,10 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-ID8PvPXe.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Smart,ForTwo Coupé,1.0 mhd Passion 71 Softouch,Gasolina,Abril,2015,127 529 km,999 cm3,71 cv,,Sim,Sim,Coupé,Cinzento,Metalizado,Automática,5,3,2,,Tracção traseira,18 Meses,,Nacional,,,,Usados,10 500        EUR,8089950279,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-mhd-passion-71-softouch-ID8PuBD1.html,"4,60 l/100km",,,4 l/100km,,98 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,Peugeot,107,1.0 SE Envy,Gasolina,Fevereiro,2014,102 000 km,998 cm3,68 cv,,,,Pequeno citadino,Preto,Metalizado,Manual,5,5,4,,Tracção dianteira,,2,Nacional,,Sim,Sim,Usados,6 350        EUR,8088905346,9 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-107-1-0-se-envy-ID8PqdNg.html,"5,10 l/100km",,,,,99 g/km,"108,32 €",28/02/2024,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Toyota,Yaris Verso,,Híbrido (Gasolina),Maio,2015,90 000 km,1 497 cm3,101 cv,Sim,,Sim,Citadino,Branco,Metalizado,Automática,,5,5,Classe 1,,18 Meses,,,,Sim,,Usados,14 499        EUR,8089151147,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-verso-ID8PrfJN.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Fevereiro,2018,261 601 km,1 499 cm3,120 cv,Sim,,Sim,Carrinha,Preto,,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,,Usados,10 990        EUR,8090192410,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8PwCCm.html,,,,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mitsubishi,Space Star,1.2 Intense,Gasolina,Abril,2022,27 374 km,1 193 cm3,71 cv,,Sim,Sim,Utilitário,Vermelho,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,36 Meses,,Nacional,Sim,Sim,Sim,Usados,13 990        EUR,8089250666,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-ID8PrFCV.html,"5,30 l/100km",,,,,,,,01/05/2027,100 000 km,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Ford,Fiesta,1.5 TDCi Titanium,Diesel,Janeiro,2014,82 000 km,1 499 cm3,75 cv,,Sim,Sim,Citadino,Branco,Metalizado,Manual,5,5,5,,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,11 450        EUR,8089956615,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-titanium-ID8PuDhd.html,"4,40 l/100km",,,"3,30 l/100km",,89 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,VW,Golf,1.6 TDi Highline,Diesel,Setembro,2014,149 936 km,1 598 cm3,110 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,14 750        EUR,8089956039,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-highline-ID8PuD7W.html,"4,70 l/100km",,,"3,70 l/100km",,105 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Ford,Fiesta,1.1 Ti-VCT Titanium,Gasolina,Fevereiro,2019,55 000 km,1 084 cm3,85 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,36 Meses,,Nacional,,Sim,Sim,Usados,14 950        EUR,8088746153,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-1-ti-vct-titanium-ID8PpynD.html,"6,40 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,82 000 km,1 242 cm3,69 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,3,4,,Tracção dianteira,36 Meses,,Nacional,,Sim,Sim,Usados,12 950        EUR,8088744356,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PpxUE.html,"5,90 l/100km",,,,,102 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Nissan,Qashqai,1.5 dCi Acenta,Diesel,Setembro,2015,159 000 km,1 461 cm3,110 cv,Sim,Sim,Sim,SUV / TT,Castanho,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,Sim,,Sim,Usados,14 999        EUR,8089674797,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-acenta-ID8PtrXL.html,"4,20 l/100km",,,"3,60 l/100km",,99 g/km,,29/09/2024,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Laguna Break,,Diesel,Fevereiro,2012,202 110 km,1 461 cm3,110 cv,,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,1,Nacional,,,Sim,Usados,8 450        EUR,8088058835,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-laguna-break-ID8PmFzR.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,VW,Passat Variant,1.6 TDI Confortline,Diesel,Junho,2017,183 593 km,1 598 cm3,120 cv,Sim,,Sim,Carrinha,Cinzento,,Manual,,5,5,,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,,Usados,13 490        EUR,8087562819,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PkAxB.html,,,,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Ford,Fiesta,1.0 EcoBoost Business,Gasolina,Março,2018,95 444 km,998 cm3,100 cv,Sim,Sim,Sim,Utilitário,Prateado,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,1,,,Sim,Sim,Usados,13 900        EUR,8089838820,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ecoboost-business-ID8Pu8Di.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,Panda,1.2 Lounge S&S,Gasolina,Julho,2019,103 057 km,1 242 cm3,69 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,5,5,4,Classe 1,,18 Meses,1,Nacional,,Sim,Sim,Usados,9 990        EUR,8089822630,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-s-s-ID8Pu4qa.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,208,1.2 PureTech Active,Gasolina,Abril,2019,110 804 km,1 199 cm3,101 cv,,Sim,Sim,Citadino,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,,,,Sim,Sim,Usados,13 000        EUR,8088607613,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-active-ID8PoYl7.html,"5,20 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Citroën,C1,1.0 VTi Feel S&S,Gasolina,Janeiro,2019,109 086 km,998 cm3,72 cv,Sim,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,4,Classe 1,,18 Meses,1,,,Sim,Sim,Usados,10 490        EUR,8089334481,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-s-s-ID8Ps1qN.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure,Diesel,Julho,2014,169 000 km,1 560 cm3,120 cv,Sim,,,Carrinha,Cinzento,Metalizado,Manual,,5,,,,18 Meses,1,Importado,Sim,Sim,Sim,Usados,9 990        EUR,8090586561,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-ID8Pxh9D.html,"4,70 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Twingo,1.0 SCe Zen,Gasolina,Julho,2019,12 000 km,999 cm3,65 cv,,Sim,Sim,Citadino,Branco,,Manual,5,5,4,Classe 1,Tracção traseira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,12 990        EUR,8089488541,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-zen-ID8PsFwD.html,"5,30 l/100km",,,,,100 g/km,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Twingo,1.0 SCe Limited EDC,Gasolina,Fevereiro,2019,43 000 km,999 cm3,70 cv,Sim,Sim,Sim,Sedan,Cinzento,,Automática,5,5,4,,Tracção dianteira,18 Meses,,,,,,Usados,12 500        EUR,8090584834,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-limited-edc-ID8PxgHM.html,"5,60 l/100km",,,"3,90 l/100km",,102 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,500,0.9 TwinAir Mirror S&S,Gasolina,Abril,2019,85 420 km,875 cm3,85 cv,Sim,Sim,,Citadino,Azul,,Manual,5,3,4,Classe 1,,18 Meses,1,,Sim,Sim,Sim,Usados,13 900        EUR,8090014835,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-0-9-twinair-mirror-s-s-ID8PuSqf.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,SEAT,Leon ST,1.6 TDI Style S/S,Diesel,Novembro,2017,135 400 km,1 598 cm3,115 cv,,Sim,Sim,Carrinha,Branco,,Manual,5,5,5,,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,Sim,Usados,14 290        EUR,8090446436,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-style-s-s-ID8PvGHy.html,"4,70 l/100km",,,"3,80 l/100km",,127 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited SS,Diesel,Junho,2015,235 500 km,1 461 cm3,110 cv,Sim,,,Carrinha,Branco,,Manual,6,5,5,,,36 Meses,,Nacional,,,Sim,Usados,9 900        EUR,8089898103,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ss-ID8Puo3t.html,,,,,,,,,01/01/0001,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,A 160,Avantgarde Aut.,Gasolina,Julho,2011,135 900 km,1 498 cm3,95 cv,Sim,Sim,Sim,Utilitário,Prateado,Metalizado,Automática,,5,5,Classe 1,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,13 800        EUR,8090513029,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-160-avantgarde-aut-ID8PvY1D.html,,,Classe A,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,86 939 km,1 242 cm3,69 cv,,,,Sedan,Cinzento,Metalizado,Manual,,3,,,,36 Meses,,Nacional,,,,Usados,11 940        EUR,8090535483,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Px3RN.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,77 744 km,1 242 cm3,69 cv,,,,Sedan,Azul,Metalizado,Manual,,3,,,,36 Meses,,Nacional,,,,Usados,12 940        EUR,8090535480,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Px3RK.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Twingo,1.0 SCe Zen,Gasolina,Fevereiro,2020,38 346 km,999 cm3,75 cv,Sim,Sim,Sim,Pequeno citadino,Amarelo,,Manual,6,5,4,Classe 1,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,12 950        EUR,8090255782,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-zen-ID8PwT6u.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Clio Sport Tourer,1.5 dCi Zen,Diesel,Junho,2017,137 136 km,1 461 cm3,90 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,24 Meses,1,Nacional,Sim,Sim,Sim,Usados,12 900        EUR,8086447872,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-zen-ID8PfUuA.html,"3,30 l/100km",,,,,82 g/km,"147,21 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Opel,Mokka,1.7 CDTi Cosmo S/S,Diesel,Junho,2013,133 000 km,1 686 cm3,130 cv,Sim,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,Sim,Usados,14 500        EUR,8089579635,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-mokka-1-7-cdti-cosmo-s-s-ID8Pt3cT.html,"5,80 l/100km",,,"4,10 l/100km",,120 g/km,,28/06/2024,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Outubro,2015,136 000 km,1 461 cm3,90 cv,,,,SUV / TT,Laranja,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,Sim,Usados,13 900        EUR,8090270298,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PwVSC.html,"4,60 l/100km",,,"3,90 l/100km",,139 g/km,,23/10/2024,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,Opel,Insignia Sports Tourer,,Diesel,Agosto,2011,200 000 km,1 956 cm3,163 cv,,,,Carrinha,Branco,,Manual,6,5,5,,Tracção dianteira,,,,Sim,Sim,Sim,Usados,9 000        EUR,8090325806,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-ID8PvbjU.html,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
