Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,IUC,Filtro de partículas,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Valor Fixo,IVA Discriminado,Consumo Extra Urbano,Inspecção válida até,Consumo Combinado,IVA dedutível,Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,Valor sem ISV,Autonomia,Consumo,Capacidade da bateria,Bateria,ou até,Clássico,Site,Portugal
Profissional,Smart,ForTwo,EQ Passion,Eléctrico,Abril,2020,26 000 km,,82 cv,Sim,Sim,Citadino,Preto,Metalizado,Automática,,3,2,Classe 1,,,,,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,18 990        EUR,8086937211,5 Julho 2023,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,1.0 TCe Zen,Gasolina,Fevereiro,2020,49 811 km,999 cm3,100 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,135 g/km,135 €,,36 Meses,1,Importado,Sim,Sim,Sim,"6,40 l/100km",Usados,18 399        EUR,8089924123,5 Julho 2023,Sim,,"4,70 l/100km",03/02/2024,,,800 km,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Leon,1.6 TDI Style S/S,Diesel,Janeiro,2020,64 000 km,1 598 cm3,115 cv,Sim,Sim,Utilitário,Preto,,Manual,5,5,5,Classe 1,Tracção dianteira,125 g/km,,,18 Meses,1,Nacional,,Sim,Sim,"4,70 l/100km",Usados,19 950        EUR,8089916179,5 Julho 2023,Sim,Sim,"3,80 l/100km",,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Alfa Romeo,Giulietta,1.6 JTDm,Diesel,Abril,2016,151 000 km,1 598 cm3,120 cv,Sim,Sim,Utilitário,Branco,,Manual,6,5,5,Classe 1,,,,Sim,18 Meses,2,Nacional,,Sim,Sim,,Usados,15 950        EUR,8088059309,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i30 SW,1.6 CRDi Style,Diesel,Maio,2019,185 000 km,1 598 cm3,116 cv,Sim,Sim,Carrinha,Castanho,,Manual,6,5,5,Classe 1,,,,Sim,18 Meses,2,Nacional,,Sim,Sim,,Usados,18 950        EUR,8089513623,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,525,d Touring Luxury Line,Diesel,Fevereiro,2013,245 000 km,1 995 cm3,218 cv,Sim,,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,,271 €,,36 Meses,,Importado,,Sim,Sim,,Usados,17 990        EUR,8089968080,5 Julho 2023,,,,29/02/2024,,,,,Série 5,,,,,,,,StandVirtual,Yes
Profissional,VW,Passat,1.6 TDI Highline DSG,Diesel,Setembro,2018,133 000 km,1 598 cm3,120 cv,Sim,Sim,Sedan,Cinzento,,Automática,7,4,5,Classe 1,Tracção dianteira,104 g/km,,,18 Meses,1,Nacional,Sim,Sim,Sim,"4,40 l/100km",Usados,19 950        EUR,8089924074,5 Julho 2023,Sim,Sim,"3,60 l/100km",,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Arona,1.0 TSI FR DSG,Gasolina,Maio,2020,42 000 km,999 cm3,115 cv,Sim,Sim,SUV / TT,Vermelho,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,136 g/km,,,18 Meses,,Nacional,,Sim,Sim,"5,60 l/100km",Usados,24 990        EUR,8089952745,5 Julho 2023,,,"4,60 l/100km",05/05/2024,,,,,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS7 Crossback,1.5 BlueHDi Performance Line,Diesel,Julho,2018,150 948 km,1 499 cm3,130 cv,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,,5,5,,,,,,18 Meses,,,Sim,,Sim,,Usados,27 990        EUR,8087529021,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Spacetourer,1.5 BlueHDi Shine,Diesel,Janeiro,2019,181 262 km,1 499 cm3,130 cv,Sim,Sim,Monovolume,Preto,Metalizado,Manual,,5,7,,,,,,18 Meses,,,,,Sim,,Usados,22 990        EUR,8087848358,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,1.5 BlueHDi Active,Diesel,Junho,2019,154 527 km,1 499 cm3,130 cv,Sim,Sim,Utilitário,Azul,Metalizado,Manual,6,5,5,,,123 g/km,,,18 Meses,,,,,Sim,,Usados,16 990        EUR,8088035240,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.5 BlueHDi Allure EAT8,Diesel,Maio,2018,167 393 km,1 499 cm3,130 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,8,5,5,,,123 g/km,,,18 Meses,,,,,Sim,,Usados,18 990        EUR,8088839503,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,1.5 dCi Exclusive EDC,Diesel,Fevereiro,2018,138 535 km,1 461 cm3,90 cv,Sim,Sim,SUV / TT,Vermelho,Metalizado,Automática,,5,5,,,,,,18 Meses,,,,,,,Usados,19 990        EUR,8089813250,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.0 TCe Intens,Gasolina,Janeiro,2020,69 823 km,999 cm3,100 cv,Sim,Sim,Utilitário,Bege,Metalizado,Manual,,5,5,,,,,,18 Meses,,,,,Sim,,Usados,16 990        EUR,8089813259,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500X,1.3 MJ Pop Star J17 S&S,Diesel,Março,2016,88 000 km,1 248 cm3,95 cv,Sim,Sim,SUV / TT,Preto,,Manual,6,5,5,Classe 1,Tracção dianteira,105 g/km,108 €,Sim,18 Meses,1,Nacional,Sim,Sim,Sim,"4,50 l/100km",Usados,15 480        EUR,8089161399,5 Julho 2023,Sim,,,15/03/2024,,,1 000 km,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Agosto,2017,68 000 km,1 199 cm3,82 cv,Sim,Sim,Citadino,Branco,,Manual,5,5,5,Classe 1,,,,,18 Meses,1,Nacional,Sim,Sim,Sim,"5,70 l/100km",Usados,15 950        EUR,8087108045,5 Julho 2023,,,,22/08/2023,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,i3,120Ah,Eléctrico,Junho,2019,42 000 km,,170 cv,Sim,Sim,Utilitário,Preto,Metalizado,Automática,,5,4,Classe 1,Tracção traseira,,,,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,29 990        EUR,8089236894,3 Julho 2023,Sim,,,21/06/2025,,Sim,350 km,20/06/2027,Série i,,350 km,,42 kWh,Própria,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.2 PureTech Allure EAT8,Gasolina,Setembro,2020,91 800 km,1 199 cm3,130 cv,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,18 Meses,1,,Sim,Sim,Sim,"5,80 l/100km",Usados,24 500        EUR,8089963315,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.0 TCe Intens,Gasolina,Julho,2021,8 778 km,999 cm3,90 cv,Sim,Sim,Utilitário,Branco,Metalizado,Manual,,5,5,,,,,,18 Meses,,,,,Sim,,Usados,17 990        EUR,8089813263,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf,2.0 TDI GTD,Diesel,Julho,2017,167 450 km,1 968 cm3,184 cv,Sim,Sim,Utilitário,Vermelho,Metalizado,Manual,6,3,5,,,,,,18 Meses,,,,,Sim,,Usados,25 990        EUR,8085714683,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.6 BlueHDi GT Line,Diesel,Agosto,2016,169 945 km,1 560 cm3,120 cv,Sim,Sim,Carrinha,Azul,Metalizado,Manual,,5,5,,,102 g/km,,,18 Meses,,,,,Sim,,Usados,16 990        EUR,8088839506,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.5 BlueHDi Active,Diesel,Novembro,2018,157 095 km,1 499 cm3,130 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,,,123 g/km,,,18 Meses,,,,,Sim,,Usados,15 990        EUR,8088035238,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,1.2 PureTech Shine,Gasolina,Agosto,2020,124 543 km,1 199 cm3,110 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,129 g/km,,,18 Meses,,,,,Sim,,Usados,16 900        EUR,8088561253,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Spacetourer,1.6 BlueHDi Shine EAT6,Diesel,Outubro,2018,152 928 km,1 560 cm3,120 cv,Sim,Sim,Monovolume,Cinzento,Metalizado,Automática,,5,7,,,,,,18 Meses,,,Sim,,Sim,,Usados,20 990        EUR,8088035239,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,1.5 dCi GT Line,Diesel,Janeiro,2018,113 306 km,1 461 cm3,90 cv,Sim,Sim,Carrinha,Branco,Metalizado,Manual,6,5,5,,,90 g/km,,,18 Meses,,,,,Sim,,Usados,15 990        EUR,8088835490,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4,1.6 BlueHDi Feel EAT6,Diesel,Maio,2017,166 217 km,1 560 cm3,120 cv,Sim,Sim,Utilitário,Vermelho,Metalizado,Automática,,5,5,,,,,,18 Meses,,,,,Sim,,Usados,15 990        EUR,8088008891,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Sportback,1.6 TDI S-line,Diesel,Outubro,2013,177 246 km,1 598 cm3,105 cv,Sim,Sim,Utilitário,Branco,Metalizado,Manual,,5,5,,,,,,18 Meses,,,Sim,,Sim,,Usados,19 990        EUR,8087732190,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi Allure EAT8,Diesel,Junho,2018,156 239 km,1 499 cm3,130 cv,Sim,Sim,Monovolume,Branco,Metalizado,Automática,8,5,7,,,,,,18 Meses,,,,,Sim,,Usados,29 990        EUR,8087848393,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,1.6 dCi Tekna Premium,Diesel,Julho,2017,149 255 km,1 598 cm3,130 cv,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,,5,5,,,,,,18 Meses,,,,,Sim,,Usados,21 990        EUR,8087848328,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d Business Solutions Aut.,Diesel,Julho,2019,139 255 km,1 461 cm3,116 cv,Sim,Sim,Utilitário,Preto,Metalizado,Automática,,5,5,,,,,,18 Meses,,,,,Sim,,Usados,25 990        EUR,8088774087,5 Julho 2023,Sim,,,,,,,,Classe A,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Picasso,BlueHDi 120 EAT6 Business Class,Diesel,Janeiro,2017,161 368 km,1 560 cm3,120 cv,Sim,Sim,Monovolume,Azul,Metalizado,Automática,,5,5,,,,,,18 Meses,,Importado,Sim,,Sim,,Usados,16 990        EUR,8089198423,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS3 Crossback,E-Tense Grand Chic,Eléctrico,Julho,2020,42 000 km,,136 cv,Sim,Sim,SUV / TT,Branco,Metalizado,Automática,,5,,,,,,,18 Meses,,,Sim,Sim,Sim,,Usados,29 500        EUR,8088709091,5 Julho 2023,Sim,Sim,,,,Sim,,,,,300 km,,,Própria,,,StandVirtual,Yes
Profissional,Renault,Captur,,Gasolina,Julho,2021,37 184 km,999 cm3,91 cv,Sim,Sim,SUV / TT,Azul,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,36 Meses,,Nacional,Sim,Sim,Sim,"6,30 l/100km",Usados,20 990        EUR,8086458344,5 Julho 2023,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A4 Avant,2.0 TDi Design S tronic,Diesel,Abril,2018,74 000 km,1 968 cm3,150 cv,Sim,Sim,Carrinha,Preto,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,109 g/km,220 €,Sim,18 Meses,1,Nacional,Sim,Sim,Sim,"4,90 l/100km",Usados,27 980        EUR,8083864940,5 Julho 2023,Sim,Sim,"3,70 l/100km",,"4,10 l/100km",,,,,,,,,,,,StandVirtual,Yes
Particular,Volvo,V40,,Diesel,Maio,2016,141 000 km,1 969 cm3,120 cv,,,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,,96 g/km,250 €,,,1,Nacional,,Sim,Sim,,Usados,17 400        EUR,8089968487,5 Julho 2023,,,,30/05/2024,,,900 km,,,,,,,,,,StandVirtual,Yes
Particular,MINI,Cabrio,Cooper D,Diesel,Julho,2012,117 000 km,1 598 cm3,112 cv,,,Cabrio,Bege,Metalizado,Manual,6,2,4,,,105 g/km,,Sim,,2,Importado,Sim,Sim,Sim,"4,50 l/100km",Usados,15 250        EUR,8089903699,5 Julho 2023,,,"3,70 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Limited 50,Eléctrico,Setembro,2020,48 000 km,,109 cv,Sim,Sim,Pequeno citadino,Branco,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,18 Meses,1,Importado,Sim,Sim,Sim,,Usados,24 980        EUR,8088333457,5 Julho 2023,Sim,Sim,,,,Sim,,,,,395 km,"17,30 kWh/100km",50 kWh,Própria,,,StandVirtual,Yes
Profissional,Renault,Zoe,Intens 50,Eléctrico,Dezembro,2020,21 000 km,,136 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,18 Meses,1,,Sim,Sim,Sim,,Usados,27 980        EUR,8089945051,5 Julho 2023,Sim,Sim,,,,Sim,,,,,385 km,"13,90 kWh/100km",50 kWh,Própria,,,StandVirtual,Yes
Profissional,Dacia,Duster,1.0 TCe ECO-G Prestige Bi-Fuel,GPL,Setembro,2021,35 000 km,999 cm3,101 cv,,Sim,SUV / TT,Laranja,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,18 Meses,1,Nacional,Sim,Sim,Sim,"8,60 l/100km",Usados,21 480        EUR,8089289686,5 Julho 2023,Sim,,,,,,900 km,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Kadjar,1.5 dCi Exclusive,Diesel,Janeiro,2016,136 000 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Azul,Metalizado,Manual,,5,,,,,,,,,,,,,,Usados,17 500        EUR,8088564943,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d EDynamics Advantage,Diesel,Dezembro,2018,72 000 km,1 496 cm3,116 cv,Sim,Sim,Utilitário,Azul,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,,147 €,Sim,18 Meses,1,Nacional,Sim,Sim,Sim,"3,90 l/100km",Usados,20 980        EUR,8089237668,5 Julho 2023,Sim,Sim,,,,,950 km,,Série 1,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Limited 50,Eléctrico,Julho,2021,23 000 km,,136 cv,Sim,Sim,Citadino,Preto,,Automática,,5,5,,Tracção dianteira,,,,18 Meses,,Importado,,,Sim,,Usados,26 900        EUR,8087621312,5 Julho 2023,Sim,,,,,Sim,,,,,394 km,,50 kWh,Própria,,,StandVirtual,Yes
Particular,Peugeot,3008,1.5 BlueHDi Allure EAT8,Diesel,Janeiro,2019,59 200 km,1 499 cm3,130 cv,,,SUV / TT,Cinzento,,Automática,8,5,,,Tracção dianteira,135 g/km,,,,,Importado,,,,"4,10 l/100km",Usados,29 900        EUR,8089947096,3 Julho 2023,,,"3,60 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,420 Gran Coupé,d Pack M Auto,Diesel,Agosto,2016,250 000 km,1 995 cm3,190 cv,Sim,Sim,Sedan,Azul,Metalizado,Automática,,5,,,,,,,36 Meses,1,Nacional,Sim,Sim,Sim,,Usados,21 990        EUR,8089875166,5 Julho 2023,,,,,,,,,Série 4,,,,,,,,StandVirtual,Yes
Particular,Audi,TT Roadster,1.8 TFSi S-line,Gasolina,Janeiro,2010,140 000 km,1 798 cm3,160 cv,Sim,Sim,Cabrio,Preto,Metalizado,Manual,6,2,2,Classe 1,,,,,,,,,,,"9,10 l/100km",Usados,17 150        EUR,8089607619,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,,Diesel,Dezembro,2017,85 000 km,1 560 cm3,120 cv,,Sim,SUV / TT,Cinzento,Metalizado,Automática,6,5,5,Classe 1,,108 g/km,147 €,,18 Meses,1,Nacional,Sim,,,,Usados,27 480        EUR,8089378244,5 Julho 2023,Sim,,,,,Sim,900 km,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Limited 50,Eléctrico,Setembro,2020,10 000 km,,109 cv,Sim,Sim,Pequeno citadino,Branco,,Automática,,5,5,Classe 1,Tracção dianteira,,,,18 Meses,1,Importado,Sim,Sim,Sim,,Usados,26 980        EUR,8087726439,5 Julho 2023,Sim,Sim,,,,Sim,,,,,395 km,"17,30 kWh/100km",50 kWh,Própria,,,StandVirtual,Yes
Profissional,Hyundai,Ioniq,EV 28kWh Eletric Tech,Eléctrico,Novembro,2016,108 000 km,,120 cv,,,Utilitário,Cinzento,,Automática,4,5,5,Classe 1,Tracção dianteira,,,,36 Meses,,,,,,,Usados,18 500        EUR,8089470788,5 Julho 2023,Sim,,,,,,250 km,,,,250 km,,28 kWh,,,,StandVirtual,Yes
Profissional,Audi,A1,1.4 TDI,Diesel,Dezembro,2015,110 397 km,1 422 cm3,90 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,,,,18 Meses,,Nacional,,Sim,Sim,"4,10 l/100km",Usados,15 800        EUR,8088070022,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Spring,Electric 45 Comfort Plus,Eléctrico,Agosto,2022,2 km,,45 cv,Sim,Sim,SUV / TT,Branco,,Automática,,5,,,,,,,36 Meses,,Importado,,,,,Usados,23 500        EUR,8088902546,5 Julho 2023,,,,,,Sim,,,,,,,,Própria,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d 7G-DCT Edition 19,Diesel,Junho,2019,145 000 km,1 461 cm3,116 cv,Sim,Sim,Citadino,Preto,,Automática,8,5,5,Classe 1,,104 g/km,,Sim,18 Meses,1,Importado,Sim,Sim,Sim,,Usados,25 499        EUR,8089370974,5 Julho 2023,Sim,,,,,,,,Classe A,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Fevereiro,2023,5 km,1 199 cm3,110 cv,Sim,Sim,Citadino,Branco,,Manual,,5,5,,,,,,18 Meses,,Nacional,,,,,Usados,24 900        EUR,8088902333,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Spring,Electric 45 Comfort Plus,Eléctrico,Agosto,2022,5 km,,45 cv,Sim,Sim,SUV / TT,Branco,,Automática,,5,,,,,,,36 Meses,,Importado,,,,,Usados,21 500        EUR,8088902537,5 Julho 2023,,Sim,,,,Sim,,,,,,,,Própria,,,StandVirtual,Yes
Particular,Mercedes-Benz,CLA 200,d Shooting Brake AMG Line Aut.,Diesel,Abril,2018,169 000 km,2 143 cm3,136 cv,,,Carrinha,Preto,Metalizado,Automática,,5,,,,,,,,,Nacional,Sim,,Sim,"6,60 l/100km",Usados,26 900        EUR,8089805522,5 Julho 2023,Sim,,,,,,,,Classe CLA,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 160,d Urban,Diesel,Fevereiro,2018,82 799 km,1 461 cm3,90 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,102 g/km,,Sim,24 Meses,,Nacional,Sim,,Sim,"4,50 l/100km",Usados,21 490        EUR,8089853904,5 Julho 2023,Sim,Sim,"3,30 l/100km",,,,,,Classe A,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Setembro,2019,98 000 km,1 461 cm3,109 cv,Sim,,Utilitário,Branco,,Automática,7,5,5,Classe 1,,127 g/km,141 €,Sim,18 Meses,1,,Sim,Sim,Sim,,Usados,29 990        EUR,8089189450,5 Julho 2023,,,,,,,,,Classe A,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,SD,Diesel,Dezembro,2012,167 000 km,1 995 cm3,143 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,6,3,4,Classe 1,Tracção dianteira,114 g/km,202 €,,18 Meses,1,Importado,,,Sim,"5,80 l/100km",Usados,15 299        EUR,8086036100,5 Julho 2023,,,"5,20 l/100km",,"5,50 l/100km",,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.2 PureTech Allure Full LED EAT8,Gasolina,Junho,2019,74 000 km,1 199 cm3,130 cv,Sim,Sim,Carrinha,Branco,Metalizado,Automática,8,5,5,Classe 1,,,,,36 Meses,1,,Sim,Sim,Sim,,Usados,17 950        EUR,8088665942,5 Julho 2023,Sim,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,D Seven Chili,Diesel,Março,2019,89 265 km,1 496 cm3,116 cv,Sim,Sim,Citadino,Cinzento,,Manual,6,5,5,Classe 1,,,,,36 Meses,1,,Sim,Sim,Sim,,Usados,21 950        EUR,8088882206,5 Julho 2023,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake AMG Line,Diesel,Março,2016,73 621 km,1 461 cm3,109 cv,Sim,Sim,Carrinha,Branco,,Manual,6,5,5,Classe 1,,,,,18 Meses,1,,,,Sim,,Usados,24 450        EUR,8089825839,5 Julho 2023,,,,,,,,,Classe CLA,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,C 250,d Exclusive Aut.,Diesel,Abril,2017,230 000 km,2 143 cm3,204 cv,,,Carrinha,Azul,,Automática,,5,,,,,,Sim,,,,,,,"5,40 l/100km",Usados,28 850        EUR,8089583530,5 Julho 2023,,,,,,,,,Classe C,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Sportback,30 TFSI advanced,Gasolina,Setembro,2021,21 780 km,999 cm3,110 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,,5,5,,,,,,36 Meses,,,,,,,Usados,26 500        EUR,8089286099,5 Julho 2023,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Setembro,2019,105 000 km,1 461 cm3,110 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,,18 Meses,1,,Sim,Sim,Sim,,Usados,17 950        EUR,8088666182,5 Julho 2023,Sim,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 200,CDi AMG Line Aut.,Diesel,Fevereiro,2016,108 369 km,2 143 cm3,136 cv,Sim,,Sedan,Cinzento,Metalizado,Automática,,4,5,,,,,,36 Meses,,Importado,,,Sim,,Usados,28 990        EUR,8089210735,5 Julho 2023,,,,,,,,,Classe CLA,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Yaris,1.0 VVT-i Comfort,Gasolina,Julho,2021,16 750 km,998 cm3,72 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,,5,5,,,,,,36 Meses,,,,,,,Usados,17 500        EUR,8089286087,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi Allure EAT8,Diesel,Março,2019,97 000 km,1 499 cm3,130 cv,Sim,Sim,Monovolume,Preto,Metalizado,Automática,8,5,7,Classe 1,,,,,18 Meses,1,,Sim,Sim,Sim,,Usados,27 550        EUR,8088882200,5 Julho 2023,Sim,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,Grand C4 Spacetourer,1.5 BlueHDi Shine,Diesel,Setembro,2018,107 000 km,1 499 cm3,130 cv,Sim,Sim,Monovolume,Bege,Metalizado,Manual,6,5,7,Classe 1,,,,,36 Meses,1,,Sim,Sim,Sim,,Usados,19 950        EUR,8088019038,5 Julho 2023,Sim,Sim,,,,Sim,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi GT Line,Diesel,Fevereiro,2018,88 558 km,1 461 cm3,90 cv,Sim,,Citadino,Prateado,Metalizado,Manual,5,5,5,Classe 1,,84 g/km,,Sim,18 Meses,1,Nacional,,,Sim,,Usados,16 750        EUR,8089353432,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,Sport Edition,Gasolina,Janeiro,2020,68 000 km,1 499 cm3,102 cv,Sim,,Utilitário,Cinzento,Metalizado,Manual,6,3,4,Classe 1,Tracção dianteira,,"180,34 €",,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,25 900        EUR,8089064131,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Touran,1.6 TDI R-Line DSG,Diesel,Julho,2017,51 200 km,1 598 cm3,115 cv,Sim,Sim,Monovolume,Cinzento,,Automática,,5,7,,,,,,18 Meses,1,Nacional,,,,,Usados,29 900        EUR,8089834124,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Limousine,1.6 TDI,Diesel,Agosto,2017,99 511 km,1 598 cm3,116 cv,,Sim,Sedan,Cinzento,,Manual,,4,5,,Tracção dianteira,,,,18 Meses,1,Nacional,Sim,Sim,,,Usados,17 990        EUR,8087561079,5 Julho 2023,Sim,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,D,Diesel,Outubro,2015,99 212 km,1 496 cm3,116 cv,Sim,Sim,Citadino,Preto,,Manual,6,5,5,Classe 1,,95 g/km,,,18 Meses,1,Importado,,,Sim,,Usados,16 500        EUR,8088242971,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Skoda,Octavia Break,,Diesel,Agosto,2021,43 450 km,1 998 cm3,116 cv,,,Carrinha,Cinzento,,Manual,,5,5,,,,,,36 Meses,,Nacional,,,,,Usados,24 990        EUR,8089137818,5 Julho 2023,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
