Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Origem,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Emissões CO2,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,VIN,IUC,Consumo Extra Urbano,Autonomia Máxima,IVA Discriminado,Consumo Combinado,Autonomia,Bateria,Garantia de Fábrica até,Capacidade da bateria,Consumo,ou até,Site,Portugal,Data
Profissional,Fiat,500,,1.2 Lounge,Gasolina,Fevereiro,2016,115 385 km,1 242 cm3,69 cv,,Sim,Citadino,Cinzento,Manual,5,3,4,Classe 1,Tracção dianteira,18 Fevereiro 2024,18 Meses,1,Nacional,Usados,11 750,8089702335,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Ptz7W.html,Metalizado,,,,Sim,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Peugeot,208,,1.2 PureTech Active,Gasolina,Setembro,2021,65 500 km,1 199 cm3,75 cv,Sim,Sim,Utilitário,Preto,Manual,,5,5,,,,18 Meses,,Nacional,Usados,14 500,8091457045,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-active-ID8PAWBH.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Fiat,500C,,1.2 Lounge,Gasolina,Abril,2014,140 000 km,1 242 cm3,69 cv,,Sim,Cabrio,Branco,Manual,5,2,4,,Tracção dianteira,,18 Meses,,Nacional,Usados,9 500,8092182275,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-ID8PDYgX.html,,99 g/km,,,,"5,90 l/100km",,,"4,40 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Peugeot,208,,1.2 PureTech Active,Gasolina,Setembro,2021,72 000 km,1 199 cm3,75 cv,Sim,Sim,Utilitário,Cinzento,Manual,,5,5,,,,18 Meses,,Nacional,Usados,14 490,8091086725,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-active-ID8PzngN.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Ford,Focus SW,,1.0 EcoBoost Hybrid Aut. ACTIVE STYLE,Gasolina,Janeiro,2020,123 700 km,999 cm3,125 cv,Sim,Sim,Carrinha,Preto,Automática,6,5,5,Classe 1,Tracção dianteira,8 Janeiro 2026,18 Meses,,Importado,Usados,14 300,8090761358,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-ecoboost-hybrid-aut-active-style-ID8Py0CV.html,,137 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Toyota,Yaris,,1.5 HSD Exclusive,Híbrido (Gasolina),Janeiro,2014,120 000 km,1 497 cm3,100 cv,,Sim,Citadino,Branco,Automática,7,5,5,Classe 1,Tracção dianteira,11 Janeiro 2025,36 Meses,1,Importado,Usados,11 300,8092182267,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-5-hsd-exclusive-ID8PDYgP.html,Metalizado,113 g/km,Sim,Sim,Sim,"3,60 l/100km",,,"3,90 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Opel,Corsa,,1.2 Elegance,Gasolina,Novembro,2022,20 085 km,1 199 cm3,75 cv,Sim,Sim,Utilitário,Vermelho,Manual,,5,5,,,,18 Meses,,Nacional,Usados,14 790,8092087598,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-elegance-ID8PDzDU.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Citroën,C4 Cactus,,1.6 e-HDi Shine ETG6,Diesel,Junho,2015,145 000 km,1 560 cm3,92 cv,,,SUV / TT,Branco,Automática,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,Usados,12 450,8092085263,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-e-hdi-shine-etg6-ID8PDz2f.html,,94 g/km,Sim,Sim,Sim,"3,90 l/100km",Mostrar VIN,,"3,50 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,SEAT,Ibiza,,,Diesel,Maio,2014,301 000 km,1 598 cm3,105 cv,,,Citadino,Preto,Automática,,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Usados,11 500,8091902538,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-ID8PCNw4.html,Metalizado,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Particular,Skoda,Octavia Break,,1.0 TSI Style,Gasolina,Abril,2019,81 500 km,999 cm3,115 cv,,,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,15 Abril 2025,,1,Nacional,Usados,14 500,8092099979,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/skoda-octavia-break-1-0-tsi-style-ID8PDCRB.html,Metalizado,128 g/km,Sim,Sim,Sim,"5,60 l/100km",Mostrar VIN,"108,32 €","4,20 l/100km",900 km,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Renault,Clio,,1.0 TCe Intens,Gasolina,Julho,2019,120 000 km,999 cm3,100 cv,,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,1 Julho 2025,18 Meses,1,,Usados,12 890,8090611319,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-intens-ID8PxnAX.html,Metalizado,118 g/km,Sim,Sim,Sim,,Mostrar VIN,"108,32 €",,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Dacia,Logan MCV,,0.9 TCe Stepway,Gasolina,Novembro,2017,100 000 km,898 cm3,90 cv,,Sim,Carrinha,Prateado,Manual,5,5,5,Classe 1,Tracção dianteira,20 Novembro 2024,18 Meses,1,,Usados,10 980,8090799260,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-stepway-ID8Pyaug.html,Metalizado,115 g/km,Sim,Sim,Sim,"6,60 l/100km",Mostrar VIN,"108,32 €",,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Smart,ForTwo Coupé,,0.9 Passion 90,Gasolina,Setembro,2016,83 000 km,898 cm3,90 cv,Sim,Sim,Citadino,Branco,Manual,,3,2,Classe 1,,,18 Meses,,Nacional,Usados,11 900,8091507102,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-passion-90-ID8PB8D4.html,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Fiat,Tipo,,1.6 M-Jet Lounge DCT,Diesel,Setembro,2017,114 834 km,1 598 cm3,120 cv,Sim,Sim,Sedan,Cinzento,Automática,,5,5,,,,18 Meses,,Nacional,Usados,13 390,8091817628,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-6-m-jet-lounge-dct-ID8PCrpy.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
