Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Bateria,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Emissões CO2,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Número de Mudanças,Origem,Tipo de cor,Classe do veículo,Tracção,IUC,Não fumador,2º Chave,Livro de Revisões completo,IVA Discriminado,Registo(s),Consumo Urbano,Consumo Extra Urbano,VIN,Inspecção válida até,Garantia de Fábrica até,ou até,Capacidade da bateria,Autonomia Máxima,Sub-modelo,Autonomia,Consumo Combinado,Consumo,Site,Portugal,Data
Profissional,Citroën,Berlingo,Diesel,Dezembro,2019,75 959 km,1 499 cm3,102 cv,,Sim,Sim,Carrinha,Cinzento,Manual,4,3,,24 Meses,Usados,16 500,8091718982,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-berlingo-1-5-bluehdi-m-live-ID8PC1Ku.html,1.5 BlueHDi M Live,5,,,,Tracção dianteira,,,,,Sim,,,,,26 Dezembro 2025,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Audi,A3 Sportback,Gasolina,Dezembro,2022,20 257 km,999 cm3,110 cv,,Sim,Sim,Utilitário,Branco,Manual,5,5,,36 Meses,Usados,25 290,8092181369,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-30-tfsi-advanced-ID8PDY2l.html,30 TFSI Advanced,,Nacional,,,,,,,,,,,,Mostrar VIN,,3 Abril 2027,,,,,,"5,60 l/100km",,StandVirtual,Yes,2024-04-03
Profissional,Audi,A3 Sportback,Gasolina,Dezembro,2022,21 950 km,999 cm3,110 cv,,Sim,Sim,Utilitário,Prateado,Manual,5,5,,36 Meses,Usados,25 290,8092181365,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-30-tfsi-advanced-ID8PDY2h.html,30 TFSI Advanced,,Nacional,,,,,,,,,,,,Mostrar VIN,,3 Abril 2027,,,,,,"5,60 l/100km",,StandVirtual,Yes,2024-04-03
Profissional,Audi,A3 Sportback,Gasolina,Novembro,2022,25 075 km,999 cm3,110 cv,,Sim,Sim,Utilitário,Prateado,Manual,5,5,,36 Meses,Usados,25 290,8092181358,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-30-tfsi-advanced-ID8PDY2a.html,30 TFSI Advanced,,Nacional,,,,,,,,,,,,Mostrar VIN,,3 Abril 2027,,,,,,"5,60 l/100km",,StandVirtual,Yes,2024-04-03
Profissional,VW,e-Golf,Eléctrico,Novembro,2019,32 000 km,,136 cv,Própria,,Sim,Citadino,Cinzento,Automática,5,5,,18 Meses,Usados,23 900,8090923593,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-e-golf-ac-dc-ID8PyGPD.html,AC/DC,,,,Classe 1,Tracção dianteira,,Sim,Sim,,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,308,Gasolina,Fevereiro,2020,36 374 km,1 199 cm3,130 cv,,Sim,Sim,Utilitário,Preto,Automática,5,5,,18 Meses,Usados,22 900,8091011912,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-2-puretech-gt-line-eat6-ID8Pz3O8.html,1.2 PureTech GT Line EAT6,6,,Metalizado,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,A 180,Diesel,Abril,2019,139 291 km,1 461 cm3,116 cv,,Sim,Sim,Utilitário,Azul,Automática,5,5,,18 Meses,Usados,22 990,8091011915,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-business-solutions-aut-ID8Pz3Ob.html,d Business Solutions Aut.,8,,Metalizado,,,,,,,,,,,,,,,,,Classe A,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,316,Diesel,Março,2017,180 791 km,1 995 cm3,116 cv,,Sim,Sim,Carrinha,Branco,Automática,5,5,,18 Meses,Usados,19 990,8091387026,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-316-d-touring-pack-m-auto-ID8PADom.html,d Touring Pack M Auto,7,,Metalizado,,,,,Sim,,,,,,,,,,,,Série 3,,,,StandVirtual,Yes,2024-04-03
Profissional,Citroën,C4,Diesel,Maio,2018,169 339 km,1 560 cm3,120 cv,,Sim,Sim,Utilitário,Preto,Automática,5,5,,18 Meses,Usados,16 990,8091011916,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-1-6-bluehdi-feel-eat6-ID8Pz3Oc.html,1.6 BlueHDi Feel EAT6,,,Metalizado,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Renault,Grand Scénic,Diesel,Maio,2017,133 000 km,1 461 cm3,110 cv,,,Sim,Monovolume,Outra,Manual,5,7,,18 Meses,Usados,20 950,8090761921,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-bose-edition-ss-ID8Py0M1.html,1.5 dCi Bose Edition SS,6,Importado,Metalizado,,Tracção dianteira,,Sim,Sim,,,,,,,10 Maio 2025,,,,,,,,,StandVirtual,Yes,2024-04-03
