Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Bateria,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Emissões CO2,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Número de Mudanças,Origem,Tipo de cor,Classe do veículo,Tracção,IUC,Não fumador,2º Chave,Livro de Revisões completo,IVA Discriminado,Registo(s),Consumo Urbano,Consumo Extra Urbano,VIN,Inspecção válida até,Garantia de Fábrica até,ou até,Capacidade da bateria,Autonomia Máxima,Sub-modelo,Autonomia,Consumo Combinado,Consumo,Site,Portugal,Data
Profissional,Mercedes-Benz,B 200,Diesel,Abril,2023,22 100 km,1 950 cm3,150 cv,,Sim,Sim,Monovolume,Cinzento,Automática,5,5,,24 Meses,Usados,41 900,8092181500,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-b-200-ID8PDY4s.html,,,Nacional,,,Tracção dianteira,,,,,,,,,Mostrar VIN,,,,,,Classe B,,"5,10 l/100km",,StandVirtual,Yes,2024-04-03
Profissional,Volvo,V90,Diesel,Março,2018,85 250 km,1 969 cm3,190 cv,,Sim,Sim,Carrinha,Cinzento,Automática,5,5,,18 Meses,Usados,31 750,8091767486,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v90-2-0-d4-inscription-geartronic-ID8PCemO.html,2.0 D4 Inscription Geartronic,9,Nacional,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,Sim,,1,,,,8 Março 2024,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,GLB 200,Diesel,Março,2020,79 000 km,1 950 cm3,150 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,,18 Meses,Usados,42 900,8091831337,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glb-200-d-progressive-ID8PCuYF.html,d Progressive,8,Nacional,,Classe 1,,,Sim,Sim,,,,,,Mostrar VIN,,,,,,Classe GLB,,,,StandVirtual,Yes,2024-04-03
Profissional,Land Rover,Range Rover Evoque,Diesel,Junho,2019,58 000 km,1 999 cm3,150 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,134 g/km,18 Meses,Usados,42 900,8090325821,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-evoque-2-0-d150-awd-s-auto-ID8Pvbk9.html,2.0 D150 AWD S Auto,9,Nacional,,Classe 1,Integral,,Sim,Sim,Sim,,,"6,10 l/100km","4,50 l/100km",Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,Golf,Gasolina,Fevereiro,2021,21 000 km,1 984 cm3,300 cv,,Sim,Sim,Utilitário,Cinzento,Automática,5,5,,18 Meses,Usados,39 990,8087686751,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-2-0-tsi-gti-clubsport-dsg-ID8Pl6Mw.html,2.0 TSI GTI Clubsport DSG,7,Importado,Metalizado,Classe 1,Tracção dianteira,239 €,Sim,Sim,Sim,,,,,,,28 Fevereiro 2023,,,,,,8 l/100km,,StandVirtual,Yes,2024-04-03
Profissional,Volvo,XC 60,Diesel,Maio,2019,90 000 km,1 969 cm3,190 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,,18 Meses,Usados,36 900,8092126973,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-xc-60-2-0-d4-r-design-geartronic-ID8PDJSZ.html,2.0 D4 R-Design Geartronic,,Nacional,Metalizado,Classe 1,,,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Land Rover,Discovery,Diesel,Maio,2017,91 850 km,1 999 cm3,240 cv,,Sim,Sim,SUV / TT,Prateado,Automática,5,7,,36 Meses,Usados,41 900,8091103594,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/land-rover-discovery-2-0-sd4-s-auto-ID8PzrES.html,2.0 SD4 S Auto,,,,,,,,,,,,,,,,1 Janeiro 0001,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Volvo,V90,Híbrido Plug-In,Dezembro,2019,64 211 km,1 969 cm3,392 cv,,Sim,,Carrinha,Preto,Automática,5,5,,18 Meses,Usados,43 900,8088772476,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v90-2-0-t8-r-design-awd-geartronic-ID8PpFec.html,2.0 T8 R-Design AWD Geartronic,,Nacional,,,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,C 220,Diesel,Maio,2021,66 419 km,1 950 cm3,194 cv,,Sim,Sim,Carrinha,Cinzento,Automática,5,5,,18 Meses,Usados,42 500,8091264363,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-amg-line-ID8PA7tW.html,d AMG Line,,Nacional,,,,,,,,,,,,,,,,,,Classe C,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,A 250,Híbrido Plug-In,Janeiro,2023,6 061 km,1 332 cm3,218 cv,,Sim,Sim,Utilitário,Cinzento,Automática,5,5,,36 Meses,Usados,39 900,8090106060,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-250-e-progressive-ID8Pwg9C.html,e Progressive,,Nacional,,,,,,,,,,,,,,1 Janeiro 0001,,,,Classe A,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,Tiguan Allspace,Diesel,Junho,2021,34 500 km,1 968 cm3,150 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,5,7,,18 Meses,Usados,37 500,8091957886,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-tiguan-allspace-2-0-tdi-confortline-dsg-ID8PD1TM.html,2.0 TDI Confortline DSG,,Nacional,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,216 Gran Coupé,Diesel,Agosto,2020,33 278 km,1 496 cm3,116 cv,,Sim,Sim,Coupé,Cinzento,Automática,4,5,,18 Meses,Usados,30 900,8091264376,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-gran-coup-d-line-sport-ID8PA7u8.html,d Line Sport,,Nacional,,,,,,,,,,,,,,,,,,Série 2,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,Taigo,Gasolina,Fevereiro,2022,11 429 km,1 498 cm3,150 cv,,Sim,Sim,SUV / TT,Vermelho,Automática,5,5,,18 Meses,Usados,30 500,8091016761,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-taigo-1-5-tsi-r-line-dsg-ID8Pz54l.html,1.5 TSI R-Line DSG,,Nacional,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,X3,Diesel,Junho,2019,89 558 km,1 995 cm3,190 cv,,Sim,Sim,SUV / TT,Preto,Automática,5,5,,18 Meses,Usados,41 900,8091388590,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x3-20-d-xdrive-pack-m-ID8PADNA.html,20 d xDrive Pack M,,Nacional,,,,,,,,,,,,,,,,,,Série X,,,,StandVirtual,Yes,2024-04-03
Profissional,Audi,e-tron Sportback,Eléctrico,Julho,2021,10 098 km,,313 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,,36 Meses,Usados,44 500,8089369659,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-e-tron-sportback-50-quattro-advanced-ID8PsaAb.html,50 quattro Advanced,,Nacional,,,,,,,,,1,,,,,1 Janeiro 0001,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,GLC 250,Diesel,Janeiro,2019,80 726 km,2 143 cm3,204 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,,18 Meses,Usados,44 500,8091636757,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-250-d-amg-line-4-matic-ID8PBGmh.html,d AMG Line 4-Matic,,Nacional,,,,,,,,,,,,,,,,,,Classe GLC,,,,StandVirtual,Yes,2024-04-03
Profissional,Toyota,Corolla Touring Sports,Híbrido (Gasolina),Junho,2023,23 000 km,1 798 cm3,140 cv,,,Sim,Carrinha,Preto,Automática,5,5,,18 Meses,Usados,37 900,8092026590,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-corolla-touring-sports-1-8-hybrid-business-pm-ID8PDjLU.html,1.8 Hybrid Business PM,,Importado,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,Sim,Sim,1,,,,6 Junho 2027,6 Junho 2025,160 000 km,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,5008,Diesel,Outubro,2022,32 223 km,1 499 cm3,130 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,5,7,,18 Meses,Usados,34 500,8091240154,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-allure-pack-eat8-ID8PA1bs.html,1.5 BlueHDi Allure Pack EAT8,,Nacional,,,,,,,,,1,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,Passat Variant,Híbrido Plug-In,Setembro,2021,37 290 km,1 395 cm3,218 cv,,Sim,Sim,Carrinha,Cinzento,Automática,5,5,,18 Meses,Usados,35 500,8089721287,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8PtE3B.html,1.4 TSI GTE Plug-in,,Nacional,,,,,,,,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Volvo,XC 60,Híbrido Plug-In,Dezembro,2018,62 299 km,1 969 cm3,392 cv,,Sim,Sim,SUV / TT,Branco,Automática,5,5,,18 Meses,Usados,41 500,8090785241,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-xc-60-2-0-t8-phev-r-design-awd-ID8Py6Q9.html,2.0 T8 PHEV R-Design AWD,,Nacional,,,,,,,,,1,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Jeep,Grand Cherokee,Diesel,Maio,2016,110 000 km,2 987 cm3,250 cv,,Sim,Sim,SUV / TT,Preto,Automática,5,5,184 g/km,18 Meses,Usados,39 500,8090473716,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/jeep-grand-cherokee-3-0-crd-v6-overland-ID8PvNNy.html,3.0 CRD V6 Overland,8,Importado,,Classe 2,Integral,,Sim,Sim,,,,8 l/100km,"6,40 l/100km",Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Alfa Romeo,Giulia,Diesel,Julho,2017,47 000 km,2 143 cm3,210 cv,,Sim,Sim,Sedan,Cinzento,Automática,4,5,148 g/km,18 Meses,Usados,31 990,8090757275,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-giulia-2-2-d-veloce-ti-q4-at8-ID8PxZz5.html,2.2 D Veloce Ti Q4 AT8,8,Nacional,,Classe 1,Integral,,Sim,Sim,Sim,,1,,,,1 Julho 2025,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,520,Diesel,Agosto,2019,63 500 km,1 995 cm3,190 cv,,Sim,Sim,Carrinha,Azul,Automática,5,5,,18 Meses,Usados,35 500,8090888220,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-520-d-line-luxury-auto-ID8PyxD6.html,d Line Luxury Auto,,Nacional,,,Tracção traseira,,,,,,1,,,,8 Agosto 2025,,,,,Série 5,,,,StandVirtual,Yes,2024-04-03
Profissional,Tesla,Model S,Eléctrico,Abril,2016,168 000 km,,428 cv,Própria,Sim,Sim,Sedan,Preto,Automática,5,5,,18 Meses,Usados,45 000,8088708002,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/tesla-model-s-85d-ID8Pposi.html,85D,,Importado,,Classe 1,,,Sim,Sim,,,,,,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,216 Gran Coupé,Diesel,Abril,2021,95 000 km,1 496 cm3,116 cv,,,,Sedan,Cinzento,Automática,4,,124 g/km,24 Meses,Usados,32 900,8091214858,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-gran-coup-d-pack-m-ID8PzUBs.html,d Pack M,7,,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,,,,,,,,,,,,Série 2,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,CLA 180,Diesel,Março,2020,55 060 km,1 461 cm3,116 cv,,Sim,Sim,Sedan,Cinzento,Manual,4,5,,18 Meses,Usados,34 990,8087529041,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-amg-line-ID8PkrKN.html,d AMG Line,6,,Metalizado,,,,,Sim,,,,,,,,,,,,Classe CLA,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,Golf,Gasolina,Outubro,2014,122 113 km,1 984 cm3,220 cv,,Sim,Sim,Utilitário,Branco,Automática,5,5,,18 Meses,Usados,30 990,8091499448,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-2-0-tsi-gti-dsg-ID8PB6DC.html,2.0 TSi GTi DSG,,,Metalizado,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,C 220,Diesel,Janeiro,2021,44 689 km,1 950 cm3,194 cv,,Sim,Sim,Carrinha,Cinzento,Automática,5,5,,36 Meses,Usados,43 990,8088008944,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-amg-line-ID8PmsBa.html,d AMG Line,,,Metalizado,,,,,Sim,,,,,,,,,,,,Classe C,,,,StandVirtual,Yes,2024-04-03
Profissional,Land Rover,Range Rover Evoque Cabrio,Diesel,Abril,2017,70 000 km,1 999 cm3,180 cv,,Sim,,SUV / TT,Branco,Automática,3,4,,18 Meses,Usados,44 900,8089640742,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-evoque-cabrio-ID8Ptj6u.html,,,Importado,,Classe 2,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,MINI,Countryman,Híbrido Plug-In,Janeiro,2022,12 000 km,1 499 cm3,220 cv,,Sim,Sim,Utilitário,Cinzento,Automática,5,,,36 Meses,Usados,39 900,8091956723,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-countryman-cooper-se-all4-auto-ID8PD1B1.html,Cooper SE ALL4 Auto,,Nacional,,,,,,,,,,,,Mostrar VIN,,3 Abril 2027,,,,,,"1,80 l/100km",,StandVirtual,Yes,2024-04-03
Profissional,Audi,A1 Sportback,Gasolina,Março,2020,90 826 km,1 498 cm3,150 cv,,Sim,Sim,Utilitário,Cinzento,Automática,5,5,145 g/km,18 Meses,Usados,31 490,8088561252,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-35-tfsi-s-line-s-tronic-ID8PoMhm.html,35 TFSI S Line S tronic,,,Metalizado,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Renault,Arkana,Híbrido (Gasolina),Janeiro,2022,22 733 km,1 598 cm3,145 cv,,Sim,Sim,SUV / TT,Laranja,Automática,5,5,,36 Meses,Usados,31 990,8089813243,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-arkana-1-6-e-tech-r-s-line-ID8Pu1YL.html,1.6 E-Tech R.S.Line,,,Metalizado,,,,,,,,,,,,,1 Janeiro 0001,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Jaguar,I-Pace,Eléctrico,Dezembro,2018,97 863 km,,400 cv,,Sim,Sim,SUV / TT,Branco,Automática,5,5,,18 Meses,Usados,31 750,8091731571,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-i-pace-se-awd-aut-ID8PC51x.html,SE AWD Aut.,,,Metalizado,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,C 300,Híbrido (Diesel),Novembro,2020,39 240 km,1 950 cm3,306 cv,,Sim,Sim,Carrinha,Branco,Automática,5,4,,24 Meses,Usados,39 000,8092085647,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-ID8PDz8r.html,,,,,,Tracção traseira,,,,,,,,,,25 Novembro 2024,,,,,Classe C,,,,StandVirtual,Yes,2024-04-03
Profissional,Fiat,500,Eléctrico,Março,2022,98 km,,118 cv,,Sim,Sim,Pequeno citadino,Preto,Automática,3,4,,36 Meses,Usados,33 990,8088774021,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-red-ID8PpFD7.html,(RED),,,Metalizado,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,C 220,Diesel,Setembro,2018,153 001 km,1 950 cm3,194 cv,,Sim,Sim,Carrinha,Preto,Automática,5,5,,24 Meses,Usados,33 000,8088903649,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-amg-line-ID8PqdlT.html,d AMG Line,,,Metalizado,,Tracção traseira,,,,,,,,,,1 Setembro 2024,,,,,Classe C,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,C 220,Diesel,Agosto,2020,153 735 km,1 950 cm3,194 cv,,Sim,Sim,Carrinha,Branco,Automática,5,5,,24 Meses,Usados,35 500,8091600456,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-amg-line-ID8PBvUM.html,d AMG Line,,,,,Tracção traseira,,,,,,,,,,24 Agosto 2024,,,,,Classe C,,,,StandVirtual,Yes,2024-04-03
Particular,BMW,X3,Híbrido (Gasolina),Dezembro,2020,34 500 km,1 998 cm3,292 cv,,,,SUV / TT,Preto,Automática,5,5,,,Usados,42 000,8091762350,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x3-ID8PCd1Y.html,,,Nacional,,,,,Sim,Sim,Sim,,1,,,Mostrar VIN,31 Dezembro 2024,,,,,Série X,,,,StandVirtual,Yes,2024-04-03
Profissional,Jaguar,I-Pace,Eléctrico,Dezembro,2020,4 103 km,,320 cv,Própria,,Sim,SUV / TT,Preto,Automática,5,5,,18 Meses,Usados,39 900,8092019792,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-i-pace-ev320-awd-se-ID8PDi0g.html,EV320 AWD SE,,Importado,,Classe 1,Integral,,Sim,Sim,Sim,Sim,,,,Mostrar VIN,17 Dezembro 2024,,,90 kWh,,,475 km,,,StandVirtual,Yes,2024-04-03
Profissional,Cupra,Formentor,Gasolina,Junho,2023,5 200 km,1 498 cm3,150 cv,,,Sim,SUV / TT,Preto,Automática,5,5,155 g/km,36 Meses,Usados,33 480,8091391069,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/cupra-formentor-1-5-tsi-sport-dsg-ID8PAErz.html,1.5 TSI Sport DSG,7,Nacional,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,Sim,,1,"6,50 l/100km",5 l/100km,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,330,Híbrido Plug-In,Setembro,2019,63 865 km,1 998 cm3,292 cv,,Sim,,Sedan,Azul,Automática,4,,,18 Meses,Usados,30 990,8091759742,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-330-e-corporate-edition-auto-ID8PCclU.html,e Corporate Edition Auto,,Nacional,,,,,,,,,,,,,,,,,,Série 3,,,,StandVirtual,Yes,2024-04-03
Profissional,Volvo,V60,Diesel,Abril,2020,73 000 km,1 969 cm3,190 cv,,Sim,Sim,Carrinha,Cinzento,Automática,5,5,145 g/km,18 Meses,Usados,34 980,8090058546,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-0-d4-momentum-geartronic-ID8Pw3Ng.html,2.0 D4 Momentum Geartronic,8,Nacional,Metalizado,Classe 1,Tracção dianteira,224 €,Sim,Sim,Sim,,1,"5,50 l/100km",4 l/100km,Mostrar VIN,1 Abril 2024,,,,1 000 km,,,,,StandVirtual,Yes,2024-04-03
Profissional,Land Rover,Discovery Sport,Diesel,Maio,2015,134 520 km,2 179 cm3,150 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,5,7,,18 Meses,Usados,31 900,8091411519,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/land-rover-discovery-sport-2-2-td4-hse-luxury-7l-auto-ID8PAJLp.html,2.2 Td4 HSE Luxury 7L Auto,,Importado,,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,530,Híbrido Plug-In,Dezembro,2019,95 683 km,1 998 cm3,252 cv,,Sim,Sim,Sedan,Cinzento,Automática,4,5,36 g/km,18 Meses,Usados,34 980,8091421901,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-530-e-iperformance-pack-m-ID8PAMsR.html,e iPerformance Pack M,8,Nacional,Metalizado,Classe 1,Tracção traseira,"215,14 €",Sim,Sim,Sim,,,,,Mostrar VIN,,,,,,Série 5,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,X5,Diesel,Setembro,2017,104 607 km,1 995 cm3,231 cv,,Sim,Sim,SUV / TT,Azul,Automática,5,7,141 g/km,18 Meses,Usados,39 980,8091997339,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x5-25-d-sdrive-pack-m-ID8PDca7.html,25 d sDrive Pack M,8,Nacional,Metalizado,Classe 1,Tracção traseira,"278,85 €",Sim,Sim,Sim,,,"5,90 l/100km",5 l/100km,Mostrar VIN,,,,,,Série X,,,,StandVirtual,Yes,2024-04-03
Profissional,Jeep,Avenger,Eléctrico,Setembro,2023,32 km,,156 cv,Própria,Sim,Sim,SUV / TT,Amarelo,Automática,5,5,,18 Meses,Novos,39 980,8090776691,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/jeep-avenger-54-kwh-1st-editon-ID8Py4Cf.html,54 kWh 1st Editon,1,Nacional,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,Sim,Sim,,,,Mostrar VIN,,,,54 kWh,400 km,,392 km,,"15,80 kWh/100km",StandVirtual,Yes,2024-04-03
Profissional,Hyundai,Santa Fe,Diesel,Setembro,2020,38 411 km,1 995 cm3,150 cv,,Sim,Sim,SUV / TT,Cinzento,Manual,5,7,170 g/km,18 Meses,Usados,34 980,8091054791,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-santa-fe-2-0-crdi-executive-p-pele-ID8PzeXJ.html,2.0 CRDi Executive P.Pele,6,Nacional,Metalizado,Classe 1,Tracção dianteira,"271,56 €",Sim,Sim,Sim,,,"6,60 l/100km","5,20 l/100km",Mostrar VIN,,15 Setembro 2027,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,530,Híbrido Plug-In,Setembro,2018,31 450 km,1 998 cm3,252 cv,,Sim,Sim,Sedan,Cinzento,Automática,4,5,33 g/km,18 Meses,Usados,32 980,8091841988,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-530-e-iperformance-line-luxury-ID8PCxKs.html,e iPerformance Line Luxury,8,Nacional,Metalizado,Classe 1,Tracção traseira,"221,38 €",Sim,Sim,Sim,,,,,Mostrar VIN,,,,,,Série 5,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,420,Diesel,Maio,2017,53 512 km,1 995 cm3,190 cv,,Sim,Sim,Cabrio,Cinzento,Automática,2,4,125 g/km,18 Meses,Usados,34 980,8091381362,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-420-d-cabrio-aut-luxury-line-ID8PABW0.html,d Cabrio Aut. Luxury Line,8,Importado,Metalizado,Classe 1,Tracção traseira,"271,56 €",Sim,Sim,Sim,,,"5,40 l/100km","4,40 l/100km",Mostrar VIN,,,,,,Série 4,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,520,Diesel,Outubro,2018,76 696 km,1 995 cm3,190 cv,,Sim,Sim,Carrinha,Azul,Automática,5,5,134 g/km,18 Meses,Usados,32 980,8091422206,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-520-d-auto-ID8PAMxM.html,d Auto,8,Nacional,Metalizado,Classe 1,Tracção traseira,"235,26 €",Sim,Sim,Sim,,,,,Mostrar VIN,,,,,,Série 5,,,,StandVirtual,Yes,2024-04-03
Profissional,MINI,Countryman,Gasolina,Janeiro,2021,24 300 km,1 998 cm3,306 cv,,Sim,Sim,Utilitário,Preto,Automática,5,,,36 Meses,Usados,38 900,8092181139,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-countryman-john-cooper-works-plus-all4-auto-desportiva-ID8PDXYD.html,John Cooper Works Plus ALL4 Auto Desportiva,,Nacional,,,,,,,,,,,,Mostrar VIN,,,,,,,,"7,60 l/100km",,StandVirtual,Yes,2024-04-03
Profissional,Audi,A4 Avant,Diesel,Junho,2021,149 000 km,1 968 cm3,163 cv,,,,Carrinha,Branco,Automática,5,5,131 g/km,18 Meses,Usados,31 850,8091280445,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-35-tdi-s-line-s-tronic-ID8PAbFj.html,35 TDI S line S tronic,7,Importado,Metalizado,Classe 1,Tracção dianteira,,,Sim,Sim,,,"4,30 l/100km","3,60 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mitsubishi,L200,Diesel,Outubro,2017,160 000 km,2 442 cm3,181 cv,,,,SUV / TT,Preto,Automática,4,5,189 g/km,18 Meses,Usados,31 899,8092083351,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-l200-2-4-di-d-cd-instyle-strakar-at-4wd-ID8PDyxp.html,2.4 DI-D CD Instyle Strakar AT 4WD,5,,,,Integral,,Sim,Sim,Sim,,1,"8,50 l/100km","6,50 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Volvo,V90,Diesel,Setembro,2018,81 749 km,1 969 cm3,190 cv,,,Sim,Carrinha,Branco,Automática,5,5,,18 Meses,Usados,32 980,8091923102,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v90-2-0-d4-inscription-geartronic-ID8PCSQK.html,2.0 D4 Inscription Geartronic,,Importado,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Hyundai,Ioniq 5,Eléctrico,Janeiro,2022,39 000 km,,218 cv,,Sim,Sim,Utilitário,Branco,Automática,5,,,18 Meses,Usados,38 980,8091956571,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-ioniq-5-73kwh-premium-ID8PD1yz.html,73kWh Premium,1,,,Classe 1,Tracção traseira,,Sim,Sim,Sim,Sim,1,,,Mostrar VIN,1 Janeiro 2026,,,,,,481 km,,"16,80 kWh/100km",StandVirtual,Yes,2024-04-03
Profissional,BMW,216 Gran Coupé,Diesel,Abril,2021,87 700 km,1 496 cm3,116 cv,,Sim,Sim,Sedan,Cinzento,Automática,4,5,124 g/km,24 Meses,Usados,32 946,8091055191,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-gran-coup-d-pack-m-ID8Pzf4b.html,d Pack M,7,,,Classe 1,Tracção dianteira,,Sim,Sim,,Sim,,,,Mostrar VIN,,,,,,Série 2,,,,StandVirtual,Yes,2024-04-03
