Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Tipo de cor,Aceita retoma,Número de Mudanças,Classe do veículo,Emissões CO2,2º Chave,Consumo Extra Urbano,Bateria,Autonomia Máxima,IUC,Sub-modelo,Garantia de Fábrica até,Inspecção válida até,Filtro de partículas,ou até,Consumo Combinado,Autonomia,Consumo
Profissional,Tesla,Model 3,Performance Dual Motor AWD,Eléctrico,Setembro,2021,6 597 km,,513 cv,,,,Sim,Sedan,Branco,Automática,4,5,,36 Meses,,Importado,,,Usados,49 800        EUR,8086893744,26 Junho 2023,,,Sim,,,,,,Própria,,,,,,,,,,
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Março,2017,166 306 km,1 461 cm3,110 cv,Sim,Sim,Sim,Sim,SUV / TT,Preto,Manual,5,5,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Usados,13 890        EUR,8088644471,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Abril,2022,20 700 km,1 950 cm3,116 cv,Sim,,,,Utilitário,Preto,Automática,5,5,,24 Meses,,Nacional,,,Usados,36 500        EUR,8089159384,26 Junho 2023,,,,,,,,,,,,Classe A,,,,,5 l/100km,,
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Fevereiro,2022,30 000 km,1 992 cm3,200 cv,Sim,,,,Carrinha,Cinzento,Automática,5,5,,24 Meses,,Nacional,,,Usados,53 000        EUR,8089159392,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,"4,70 l/100km",,
Profissional,Mercedes-Benz,C 300,,Diesel,Janeiro,2022,15 900 km,1 992 cm3,265 cv,Sim,,,,Carrinha,Preto,Automática,5,5,,24 Meses,,Nacional,,,Usados,59 000        EUR,8089159342,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,"5,20 l/100km",,
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Fevereiro,2022,20 250 km,1 993 cm3,200 cv,Sim,,,,Carrinha,Cinzento,Automática,5,5,,24 Meses,,Nacional,,,Usados,53 000        EUR,8089159301,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,"4,70 l/100km",,
Profissional,Mercedes-Benz,C 220,d Aut.,Diesel,Maio,2019,124 365 km,1 950 cm3,194 cv,Sim,,,Sim,Cabrio,Azul,Automática,2,4,Tracção traseira,18 Meses,,,,,Usados,42 900        EUR,8089790802,26 Junho 2023,"5,50 l/100km",Metalizado,Sim,9,,138 g/km,,"4,70 l/100km",,,,Classe C,,,,,,,
Profissional,Smart,ForTwo,Electric Drive Passion,Eléctrico,Dezembro,2020,14 027 km,,82 cv,,,Sim,Sim,Coupé,Preto,,2,2,,18 Meses,,Importado,,,Usados,19 500        EUR,8089579788,26 Junho 2023,,,Sim,,,,Sim,,Própria,,,,,,,,,,
Profissional,Opel,Astra,1.2 T GS Line S/S,Gasolina,Fevereiro,2020,45 000 km,1 199 cm3,130 cv,,Sim,,Sim,Utilitário,Azul,Manual,5,5,,18 Meses,,Nacional,Sim,Sim,Usados,17 950        EUR,8088403598,26 Junho 2023,,,Sim,,,,Sim,,,,,,,,,,,,
Profissional,Renault,Clio,,Gasolina,Abril,2019,92 330 km,898 cm3,90 cv,Sim,,,Sim,Citadino,Preto,Manual,5,5,,18 Meses,,,,,Usados,14 370        EUR,8087777410,26 Junho 2023,,Metalizado,Sim,5,Classe 1,,,,,,,,,,,,,,
