Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Número de Mudanças,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,Garantia de Fábrica até,ou até,Origem,VIN,Valor Fixo,IVA Discriminado,Inspecção válida até,IUC,Bateria,Sub-modelo,Autonomia,Consumo,Capacidade da bateria,Site,Portugal,Data
Profissional,Fiat,500C,1.2 Lounge J16,Gasolina,Agosto,2020,36 000 km,1 242 cm3,69 cv,Sim,Cabrio,Cinzento,Manual,2,18 Meses,1,Sim,Sim,Sim,"6,40 l/100km","4,70 l/100km",,Usados,13 880,8092020628,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-j16-ID8PDidK.html,Metalizado,5,4,Classe 1,Tracção dianteira,,99 g/km,,,Nacional,,Sim,Sim,10 Agosto 2024,110 €,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Dacia,Sandero,0.9 TCe SL Stepway of Life Easy-R,Gasolina,Setembro,2017,56 000 km,898 cm3,90 cv,Sim,Utilitário,Cinzento,Automática,5,18 Meses,1,,Sim,Sim,,,,Usados,14 990,8091217170,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-sl-stepway-of-life-easy-r-ID8PzWcK.html,Metalizado,5,5,Classe 1,Tracção dianteira,,,,,Importado,,Sim,,,108 €,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C4 Cactus,1.2 PureTech Shine,Gasolina,Setembro,2014,168 000 km,1 199 cm3,110 cv,Sim,SUV / TT,Cinzento,Manual,5,18 Meses,,,,,"5,50 l/100km",,,Usados,10 500,8091613640,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-2-puretech-shine-ID8PBAlq.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Executive Active-Select,Diesel,Julho,2016,138 000 km,1 598 cm3,136 cv,Sim,Carrinha,Cinzento,Automática,5,18 Meses,1,Sim,Sim,Sim,"6,50 l/100km",,,Usados,15 000,8091175449,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-executive-active-select-ID8PzKlP.html,Metalizado,,5,Classe 1,Tracção dianteira,,,,,Nacional,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Setembro,2017,98 145 km,1 461 cm3,110 cv,Sim,Carrinha,Cinzento,Manual,5,18 Meses,1,Sim,Sim,Sim,,,,Usados,14 990,8091240494,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PA1gV.html,Metalizado,6,5,Classe 1,Tracção dianteira,,,,,,Mostrar VIN,Sim,,,"158,29 €",,,,,,StandVirtual,Yes,2024-03-12
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Março,2019,79 650 km,999 cm3,80 cv,,Citadino,Cinzento,Manual,5,36 Meses,,,,,"6,10 l/100km","4,30 l/100km",,Usados,12 900,8091578770,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8PBrh0.html,Metalizado,5,5,Classe 1,Tracção dianteira,,122 g/km,,,,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Renault,Grand Scénic,,Diesel,Agosto,2014,242 000 km,1 500 cm3,110 cv,Sim,Monovolume,Castanho,Manual,5,18 Meses,,,,Sim,,,,Usados,12 999,8092020623,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-ID8PDidF.html,,,7,Classe 1,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Dezembro,2018,260 000 km,1 598 cm3,115 cv,Sim,Carrinha,Cinzento,Manual,5,18 Meses,1,Sim,Sim,Sim,"4,70 l/100km",,,Usados,11 990,8092020622,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PDidE.html,Metalizado,,,,,,,,,Nacional,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Dacia,Sandero,0.9 TCe SL Stepway of Life Easy-R,Gasolina,Setembro,2017,77 540 km,898 cm3,90 cv,Sim,SUV / TT,Azul,Automática,5,18 Meses,1,Sim,Sim,Sim,,,4 l/100km,Usados,14 900,8091815699,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-sl-stepway-of-life-easy-r-ID8PCqUr.html,Metalizado,,5,Classe 1,Tracção dianteira,,,,,,,,,9 Setembro 2025,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Ford,KA,1.2 Titanium X,Gasolina,Julho,2015,121 749 km,1 242 cm3,69 cv,Sim,Pequeno citadino,Vermelho,Manual,3,18 Meses,,,,Sim,,,,Usados,8 690,8088772592,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-titanium-x-ID8PpFg4.html,,5,4,Classe 1,Tracção dianteira,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,VW,Polo,1.2 TSi Lounge,Gasolina,Maio,2015,125 842 km,1 197 cm3,90 cv,Sim,Citadino,Preto,Manual,5,18 Meses,,,,Sim,,,,Usados,12 990,8088534452,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-2-tsi-lounge-ID8PoFj6.html,,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Smart,ForFour,1.0 Prime 71,Gasolina,Março,2015,69 731 km,999 cm3,71 cv,Sim,Pequeno citadino,Preto,Manual,5,18 Meses,2,,Sim,Sim,,,,Usados,11 890,8090928699,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-prime-71-ID8PyI9Z.html,Metalizado,5,4,Classe 1,,,,,,Nacional,,,,26 Março 2024,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,2008,1.6 BlueHDi Style,Diesel,Dezembro,2015,65 850 km,1 560 cm3,75 cv,Sim,SUV / TT,Preto,Manual,5,18 Meses,,Sim,Sim,Sim,,,,Usados,12 700,8091490639,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-style-ID8PB4lx.html,,,5,Classe 1,,,,,,Nacional,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C4 Grand Picasso,1.6 e-HDi Exclusive ETG6,Diesel,Outubro,2014,178 000 km,1 560 cm3,115 cv,Sim,Monovolume,Preto,Automática,5,18 Meses,2,Sim,Sim,Sim,"6,20 l/100km","4,40 l/100km",,Usados,12 999,8092020616,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-grand-picasso-1-6-e-hdi-exclusive-etg6-ID8PDidy.html,,6,7,Classe 1,Tracção dianteira,,135 g/km,,,,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,DS,DS4,1.6 BlueHDi So Chic EAT6,Diesel,Março,2016,172 000 km,1 560 cm3,120 cv,Sim,Utilitário,Branco,Automática,5,18 Meses,1,,Sim,Sim,"4,50 l/100km","3,60 l/100km",,Usados,14 800,8091885561,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ds-ds4-1-6-bluehdi-so-chic-eat6-ID8PCJ5f.html,,6,5,,Tracção dianteira,,105 g/km,,,Nacional,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,SEAT,Ibiza,1.0 EcoTSI FR,Gasolina,Novembro,2017,78 450 km,999 cm3,115 cv,Sim,Utilitário,Branco,Manual,5,18 Meses,,Sim,Sim,Sim,,,,Usados,14 600,8091855099,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-ecotsi-fr-ID8PCB9W.html,,,5,Classe 1,,,,,,Nacional,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,BMW,216 Active Tourer,d Advantage,Diesel,Março,2016,156 550 km,1 496 cm3,116 cv,Sim,Utilitário,Preto,Manual,5,18 Meses,,Sim,Sim,Sim,,,,Usados,14 800,8090780544,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-advantage-ID8Py5Co.html,,,5,Classe 1,,,,,,Nacional,,,,,,,Série 2,,,,StandVirtual,Yes,2024-03-12
Profissional,Fiat,500,1.2 Lounge Dualogic S&S,Gasolina,Dezembro,2019,28 380 km,1 242 cm3,69 cv,Sim,Pequeno citadino,Preto,Automática,3,18 Meses,,,,Sim,,,,Usados,13 900,8092001524,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-dualogic-s-s-ID8PDdfC.html,,,4,,,,,,,Nacional,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C3,Pure Tech Live,Gasolina,Agosto,2020,56 746 km,1 199 cm3,82 cv,Sim,Utilitário,Branco,Manual,5,18 Meses,,,Sim,,,,,Usados,12 990,8091860296,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-pure-tech-live-ID8PCCwK.html,Metalizado,5,5,Classe 1,,,109 g/km,,,Importado,Mostrar VIN,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Fiat,500C,1.2 8V Lounge,Gasolina,Abril,2014,142 000 km,1 242 cm3,69 cv,Sim,Cabrio,Branco,Manual,2,18 Meses,,,,,"6,20 l/100km",,,Usados,9 990,8091841509,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-8v-lounge-ID8PCxCJ.html,Metalizado,,,,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Fiat,Panda,1.2 Lounge 118g,Gasolina,Outubro,2019,64 000 km,1 242 cm3,69 cv,,Utilitário,Branco,Manual,5,18 Meses,1,Sim,Sim,Sim,"6,70 l/100km","4,30 l/100km",,Usados,9 980,8091606022,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-118g-ID8PBymy.html,,5,5,Classe 1,Tracção dianteira,850 km,118 g/km,,,Nacional,Mostrar VIN,,,15 Outubro 2025,108 €,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Fiat,Panda,1.2 Lounge 118g,Gasolina,Outubro,2019,64 000 km,1 242 cm3,69 cv,,Utilitário,Branco,Manual,5,18 Meses,1,Sim,Sim,Sim,"6,70 l/100km","4,30 l/100km",,Usados,9 980,8091606022,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-118g-ID8PBymy.html,,5,5,Classe 1,Tracção dianteira,850 km,118 g/km,,,Nacional,Mostrar VIN,,,15 Outubro 2025,108 €,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Mercedes-Benz,A 160,d Style,Diesel,Março,2016,196 114 km,1 461 cm3,90 cv,Sim,Utilitário,Preto,Manual,5,18 Meses,,,Sim,Sim,,,,Usados,14 950,8091521852,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-160-d-style-ID8PBcsY.html,,6,5,Classe 1,,,98 g/km,,,Nacional,,Sim,,,,,Classe A,,,,StandVirtual,Yes,2024-03-12
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Janeiro,2018,173 119 km,1 461 cm3,90 cv,,Carrinha,Vermelho,Manual,5,36 Meses,,Sim,Sim,Sim,,,,Usados,13 650,8088122101,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PmV2h.html,,5,5,Classe 1,,,,1 Janeiro 0001,,,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Smart,ForTwo Coupé,EQ Passion,Eléctrico,Novembro,2020,25 139 km,,82 cv,Sim,Citadino,Preto,Automática,3,18 Meses,,Sim,,Sim,,,,Usados,14 800,8091617657,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-eq-passion-ID8PBBod.html,Metalizado,,2,Classe 1,Tracção traseira,,,,,,,,Sim,23 Novembro 2024,,Própria,,,,,StandVirtual,Yes,2024-03-12
Particular,Opel,Astra,1.6 CDTI DPF ecoFLEX S&S Edition,Diesel,Dezembro,2016,144 000 km,1 598 cm3,110 cv,,Utilitário,Preto,Manual,5,,,,Sim,Sim,"3,90 l/100km","3,50 l/100km",,Usados,10 800,8091937212,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-dpf-ecoflex-s-s-edition-ID8PCVvk.html,,6,5,,Tracção dianteira,,91 g/km,,,,Mostrar VIN,Sim,,,"158,29 €",,,,,,StandVirtual,Yes,2024-03-12
Profissional,SEAT,Ibiza,1.0 Eco TSI S&S FR,Gasolina,Junho,2017,93 226 km,999 cm3,110 cv,Sim,Citadino,Branco,Manual,5,18 Meses,,,Sim,Sim,"5,20 l/100km",,,Usados,13 750,8091795686,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-eco-tsi-s-s-fr-ID8PClHE.html,Metalizado,6,5,Classe 1,Tracção dianteira,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Agosto,2016,88 135 km,898 cm3,90 cv,Sim,SUV / TT,Branco,Manual,5,18 Meses,1,Sim,Sim,Sim,,,4 l/100km,Usados,12 900,8091843236,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8PCy4A.html,,,5,Classe 1,Tracção dianteira,,,,,,,Sim,,3 Agosto 2024,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Opel,Mokka,1.6 CDTi Cosmo S/S,Diesel,Março,2015,168 450 km,1 598 cm3,136 cv,Sim,SUV / TT,Castanho,Manual,5,18 Meses,,,Sim,Sim,,,,Usados,13 500,8091187468,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-mokka-1-6-cdti-cosmo-s-s-ID8PzNtG.html,,,5,Classe 1,,,,,,Nacional,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Agosto,2017,140 000 km,1 199 cm3,82 cv,Sim,Citadino,Branco,Manual,5,18 Meses,,Sim,Sim,Sim,"5,80 l/100km","4,20 l/100km",,Usados,11 990,8091128788,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-shine-ID8Pzyde.html,,5,5,Classe 1,Tracção dianteira,,132 g/km,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,SEAT,Ibiza,1.0 EcoTSI FR,Gasolina,Março,2017,69 600 km,999 cm3,110 cv,Sim,Utilitário,Branco,Manual,5,18 Meses,,Sim,Sim,Sim,,,,Usados,13 600,8091242009,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-ecotsi-fr-ID8PA1Fn.html,,,5,Classe 1,,,,,,Nacional,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Fevereiro,2022,7 060 km,999 cm3,70 cv,Sim,Citadino,Cinzento,Manual,3,18 Meses,1,Sim,Sim,Sim,,,4 l/100km,Usados,14 900,8091885282,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PCJ0K.html,,5,4,Classe 1,Tracção dianteira,,,,,,,Sim,,3 Fevereiro 2026,,,,,,,StandVirtual,Yes,2024-03-12
Particular,Citroën,DS3,,Diesel,Dezembro,2015,197 500 km,1 560 cm3,100 cv,,Citadino,Azul,Manual,3,,,,Sim,Sim,,,,Usados,11 900,8091922765,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-ds3-ID8PCSLj.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Dacia,Dokker,1.5 Blue dCi Essential,Diesel,Dezembro,2018,118 000 km,1 461 cm3,95 cv,Sim,Carrinha,Branco,Manual,5,18 Meses,1,Sim,Sim,Sim,"4,70 l/100km",4 l/100km,,Usados,12 999,8092020593,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-dokker-1-5-blue-dci-essential-ID8PDidb.html,Mate,5,5,Classe 1,Tracção dianteira,,130 g/km,,,Nacional,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Renault,Mégane Sport Tourer,1.5 dCi GT Line,Diesel,Maio,2017,107 996 km,1 461 cm3,110 cv,Sim,Carrinha,Cinzento,Manual,5,18 Meses,1,Sim,Sim,Sim,"4,20 l/100km","3,40 l/100km",,Usados,14 950,8091841481,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-gt-line-ID8PCxCh.html,Metalizado,6,5,Classe 1,Tracção dianteira,,95 g/km,,,Nacional,,,Sim,30 Maio 2025,154 €,,,,,,StandVirtual,Yes,2024-03-12
Particular,BMW,114,d Line Sport,Diesel,Dezembro,2014,233 000 km,1 598 cm3,95 cv,,Sedan,Preto,Manual,5,,2,Sim,Sim,Sim,"4,90 l/100km","3,70 l/100km",,Usados,9 499,8091708779,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-114-d-line-sport-ID8PBZ5W.html,Pérola,6,5,,Tracção traseira,,112 g/km,,,Importado,Mostrar VIN,,,1 Abril 2024,,,Série 1,,,,StandVirtual,Yes,2024-03-12
Particular,Renault,Mégane,1.5 dCi Bose Edition SS,Diesel,Outubro,2016,155 000 km,1 461 cm3,110 cv,,Utilitário,Preto,Manual,5,,,,,,"3,90 l/100km","3,40 l/100km",,Usados,13 750,8091861942,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-bose-edition-ss-ID8PCCVi.html,,6,,Classe 1,Tracção dianteira,750 km,93 g/km,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Mitsubishi,Space Star,,Gasolina,Junho,2019,60 473 km,999 cm3,71 cv,Sim,Citadino,Cinzento,Manual,5,18 Meses,,Sim,Sim,Sim,,,,Usados,11 490,8087883072,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-ID8PlWQY.html,,5,5,,,,,,,,Mostrar VIN,Sim,,,104 €,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Smart,ForFour,Electric Drive Passion,Eléctrico,Outubro,2019,39 411 km,,82 cv,Sim,Citadino,Castanho,Automática,5,24 Meses,,Sim,Sim,Sim,,,,Usados,14 500,8090448020,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-electric-drive-passion-ID8PvH76.html,,1,4,,Tracção traseira,,,,,Nacional,Mostrar VIN,Sim,Sim,,,Própria,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Feel,Diesel,Junho,2018,114 000 km,1 560 cm3,100 cv,Sim,Utilitário,Azul,Manual,5,18 Meses,,,,Sim,,,,Usados,13 980,8091703991,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-bluehdi-feel-ID8PBXQH.html,,5,5,Classe 1,,,,,,Nacional,Mostrar VIN,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Shine,Diesel,Março,2015,99 930 km,1 560 cm3,100 cv,Sim,SUV / TT,Roxo,Manual,5,18 Meses,,,Sim,,,,,Usados,12 699,8091401389,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-bluehdi-shine-ID8PAH81.html,,,5,Classe 1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Outubro,2016,113 612 km,1 199 cm3,82 cv,Sim,Utilitário,Branco,Manual,5,18 Meses,,Sim,Sim,Sim,,,,Usados,11 450,8091601280,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PBx84.html,Metalizado,5,5,Classe 1,,,,,,Importado,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,208,1.6 BlueHDi Style,Diesel,Julho,2018,110 000 km,1 560 cm3,75 cv,,Citadino,Cinzento,Manual,5,18 Meses,,Sim,Sim,Sim,"4,20 l/100km",3 l/100km,,Usados,14 900,8090773186,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-style-ID8Py3HI.html,,5,,,Tracção dianteira,,90 g/km,,,,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Intens,Diesel,Junho,2018,98 991 km,1 461 cm3,110 cv,Sim,Carrinha,Cinzento,Manual,5,18 Meses,1,Sim,Sim,Sim,"4,20 l/100km","3,40 l/100km",,Usados,14 950,8091936877,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-intens-ID8PCVqW.html,,6,5,Classe 1,Tracção dianteira,,95 g/km,,,Nacional,,,Sim,30 Junho 2024,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,2008,PureTech 110 Stop&Start Allure,Gasolina,Outubro,2015,116 000 km,1 199 cm3,110 cv,,SUV / TT,Branco,Manual,5,18 Meses,,Sim,Sim,Sim,"5,30 l/100km","3,90 l/100km",,Usados,11 950,8090586283,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-puretech-110-stop-start-allure-ID8Pxh59.html,Metalizado,5,5,Classe 1,Tracção dianteira,,103 g/km,,,,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,VW,Golf Sportsvan,1.6 TDI Highline,Diesel,Outubro,2016,176 000 km,1 598 cm3,110 cv,,Monovolume,Cinzento,Manual,5,18 Meses,1,,Sim,Sim,"4,80 l/100km",4 l/100km,,Usados,14 990,8091876381,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-sportsvan-1-6-tdi-highline-ID8PCGHb.html,Metalizado,5,5,Classe 1,Tracção dianteira,,113 g/km,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Fiat,500,0.9 TwinAir Collezione,Gasolina,Setembro,2018,57 414 km,875 cm3,85 cv,Sim,Pequeno citadino,Azul,Manual,3,18 Meses,,Sim,Sim,Sim,,,,Usados,13 850,8090611544,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-0-9-twinair-collezione-ID8PxnEA.html,,,4,Classe 1,,,,,,,Mostrar VIN,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,VW,Up!,1.0 Move,Gasolina,Maio,2020,49 638 km,999 cm3,60 cv,Sim,Citadino,Preto,Manual,5,18 Meses,,Sim,Sim,Sim,,,,Usados,12 890,8087579185,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-move-ID8PkENz.html,Metalizado,,4,Classe 1,,,,,,,Mostrar VIN,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Fiat,500C,0.9 TwinAir Lounge,Gasolina,Outubro,2017,49 867 km,875 cm3,85 cv,Sim,Cabrio,Branco,Manual,2,18 Meses,,Sim,Sim,,,,,Usados,13 850,8090609772,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-0-9-twinair-lounge-ID8Pxnc0.html,,,4,Classe 1,,,,,,,Mostrar VIN,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Maio,2019,76 290 km,998 cm3,68 cv,Sim,Pequeno citadino,Cinzento,Manual,5,24 Meses,1,,,Sim,5 l/100km,,,Usados,10 900,8088992731,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8PqAvH.html,Metalizado,5,5,Classe 1,Tracção dianteira,,116 g/km,,,Nacional,,Sim,Sim,,"108,12 €",,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,308 SW,1.6 e-HDi Active,Diesel,Janeiro,2015,242 439 km,1 560 cm3,115 cv,Sim,Carrinha,Cinzento,Manual,5,18 Meses,,,Sim,Sim,"4,20 l/100km","3,30 l/100km",,Usados,8 950,8091703944,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-e-hdi-active-ID8PBXPV.html,Metalizado,6,5,,Tracção dianteira,,95 g/km,,,Nacional,Mostrar VIN,Sim,,20 Janeiro 2025,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,308,1.6 BlueHDi GT Line,Diesel,Julho,2015,187 267 km,1 560 cm3,120 cv,Sim,Utilitário,Branco,Manual,5,18 Meses,,,,Sim,,,,Usados,14 900,8091105171,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-gt-line-ID8Pzs4j.html,,6,5,Classe 1,,,,,,Nacional,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited EDition,Diesel,Agosto,2018,158 398 km,1 461 cm3,90 cv,Sim,Carrinha,Cinzento,Manual,5,18 Meses,,Sim,Sim,Sim,"3,30 l/100km","3,10 l/100km",,Usados,10 850,8091555251,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-edition-ID8PBl9F.html,Metalizado,5,5,Classe 1,Tracção dianteira,,82 g/km,,,Nacional,Mostrar VIN,Sim,Sim,29 Agosto 2024,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Maio,2019,76 290 km,998 cm3,68 cv,Sim,Pequeno citadino,Cinzento,Manual,5,24 Meses,1,,,Sim,5 l/100km,,,Usados,10 900,8088992731,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8PqAvH.html,Metalizado,5,5,Classe 1,Tracção dianteira,,116 g/km,,,Nacional,,Sim,Sim,,"108,12 €",,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,308 SW,1.6 e-HDi Active,Diesel,Janeiro,2015,242 439 km,1 560 cm3,115 cv,Sim,Carrinha,Cinzento,Manual,5,18 Meses,,,Sim,Sim,"4,20 l/100km","3,30 l/100km",,Usados,8 950,8091703944,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-e-hdi-active-ID8PBXPV.html,Metalizado,6,5,,Tracção dianteira,,95 g/km,,,Nacional,Mostrar VIN,Sim,,20 Janeiro 2025,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,308,1.6 BlueHDi GT Line,Diesel,Julho,2015,187 267 km,1 560 cm3,120 cv,Sim,Utilitário,Branco,Manual,5,18 Meses,,,,Sim,,,,Usados,14 900,8091105171,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-gt-line-ID8Pzs4j.html,,6,5,Classe 1,,,,,,Nacional,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-12
