Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Número de Mudanças,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,Garantia de Fábrica até,ou até,Origem,VIN,Valor Fixo,IVA Discriminado,Inspecção válida até,IUC,Bateria,Sub-modelo,Autonomia,Consumo,Capacidade da bateria,Site,Portugal,Data
Profissional,Peugeot,208,,Diesel,Dezembro,2015,101 252 km,1 560 cm3,100 cv,,Citadino,Prateado,Manual,5,18 Meses,,,,Sim,,,,Usados,12 900,8091665434,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-ID8PBNOO.html,Metalizado,5,5,Classe 1,,,,,,Importado,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Renault,Twingo,1.0 SCe Zen,Gasolina,Março,2019,50 000 km,999 cm3,75 cv,Sim,Citadino,Cinzento,Manual,5,18 Meses,1,Sim,Sim,Sim,"5,20 l/100km",,,Usados,11 999,8091938882,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-zen-ID8PCVXg.html,Metalizado,5,4,Classe 1,Tracção dianteira,,,,,Nacional,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C3 Aircross,1.2 PureTech Feel,Gasolina,Dezembro,2017,60 000 km,1 199 cm3,110 cv,Sim,SUV / TT,Laranja,Manual,5,18 Meses,,Sim,,Sim,"5,90 l/100km","4,20 l/100km",,Usados,13 850,8091613371,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-aircross-1-2-puretech-feel-ID8PBAh5.html,Metalizado,6,5,,Tracção dianteira,,132 g/km,,,Importado,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,MINI,One,,Gasolina,Dezembro,2014,116 048 km,1 198 cm3,102 cv,,Citadino,Amarelo,Manual,3,18 Meses,,,,Sim,,,,Usados,13 990,8091229946,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-one-ID8PzYvO.html,Metalizado,,4,,,,,,,Importado,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Smart,ForFour,Electric drive,Eléctrico,Dezembro,2018,38 996 km,,82 cv,Sim,Citadino,Branco,Automática,5,18 Meses,1,Sim,Sim,Sim,,,,Usados,11 950,8092020649,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-electric-drive-ID8PDie5.html,,1,4,Classe 1,Tracção traseira,,,,,,Mostrar VIN,Sim,Sim,30 Dezembro 2024,,Própria,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,308,1.6 BlueHDi Allure J17 EAT6,Diesel,Julho,2016,199 329 km,1 560 cm3,120 cv,Sim,Utilitário,Preto,Automática,5,18 Meses,,,Sim,Sim,,,,Usados,14 890,8091438422,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-j17-eat6-ID8PAQLk.html,,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C1,1.0 VTi Feel S&S,Gasolina,Dezembro,2017,72 000 km,998 cm3,68 cv,,Citadino,Branco,Manual,5,18 Meses,,Sim,Sim,,,,,Usados,9 990,8091601675,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-s-s-ID8PBxer.html,,5,4,Classe 1,,,,,,Nacional,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,108,1.0 VTI S&S Active,Gasolina,Janeiro,2022,44 000 km,998 cm3,72 cv,Sim,Citadino,Preto,Manual,5,18 Meses,,Sim,Sim,Sim,,,,Usados,12 590,8091938622,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-s-s-active-ID8PCVT4.html,Metalizado,5,4,Classe 1,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,208,PureTech 82 Start & Stop Style,Gasolina,Setembro,2015,108 000 km,1 199 cm3,83 cv,Sim,Citadino,Branco,Manual,5,18 Meses,1,Sim,Sim,Sim,"5,80 l/100km",,,Usados,11 000,8091241945,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-puretech-82-start-stop-style-ID8PA1El.html,,5,5,Classe 1,Tracção dianteira,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Ford,Fiesta,1.5 TDCi STLine,Diesel,Fevereiro,2016,160 947 km,1 499 cm3,95 cv,Sim,Citadino,Cinzento,Manual,3,18 Meses,,,,Sim,,,,Usados,11 900,8091620074,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-stline-ID8PBC1c.html,Metalizado,5,5,Classe 1,,,,,,Importado,,,,,,,,,,,StandVirtual,Yes,2024-03-12
