Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Garantia de Stand (incl. no preço),Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Lotação,Classe do veículo,Tracção,Inspecção válida até,Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Emissões CO2,Consumo Extra Urbano,VIN,Valor Fixo,Origem,IVA Discriminado,IUC,Consumo Combinado,Garantia de Fábrica até,Sub-modelo,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,Consumo,ou até,Site,Portugal,Data
Profissional,Smart,ForTwo Coupé,1.0 Proxy 71,Gasolina,Novembro,2014,144 000 km,999 cm3,71 cv,Sim,Citadino,Branco,,Manual,3,18 Meses,,Usados,9 500,8090093466,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-proxy-71-ID8PwcSu.html,,2,,Tracção dianteira,3 Novembro 2024,,,,,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,108,1.0 VTi Allure,Gasolina,Fevereiro,2015,110 000 km,998 cm3,69 cv,Sim,Citadino,Branco,,Manual,5,18 Meses,,Usados,9 500,8090093407,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-allure-ID8PwcRx.html,,4,,Tracção dianteira,10 Fevereiro 2025,,Sim,Sim,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Clio,1.5 dCi Limited EDition,Diesel,Julho,2018,115 000 km,1 461 cm3,90 cv,Sim,Citadino,Preto,Metalizado,Manual,5,18 Meses,,Usados,14 250,8088284056,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-edition-ID8PnCas.html,,5,,Tracção dianteira,24 Julho 2024,,Sim,Sim,Sim,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Ford,Fiesta,1.5 TDCi Active+,Diesel,Maio,2019,160 000 km,1 499 cm3,85 cv,Sim,Citadino,Cinzento,Metalizado,Manual,5,18 Meses,,Usados,12 000,8087996236,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-active-ID8Pmpic.html,,5,,Tracção dianteira,31 Maio 2025,,Sim,Sim,Sim,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Nissan,Juke,1.2 DIG-T Acenta Connect,Gasolina,Março,2017,143 000 km,1 197 cm3,115 cv,Sim,SUV / TT,Cinzento,,Manual,5,18 Meses,"7,10 l/100km",Usados,14 700,8090833976,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-2-dig-t-acenta-connect-ID8Pyjvc.html,6,5,,Tracção dianteira,,,,,Sim,128 g/km,"4,90 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,SEAT,Ibiza,SC 1.0 EcoTSI FR,Gasolina,Janeiro,2016,43 000 km,999 cm3,95 cv,Sim,Citadino,Vermelho,Metalizado,Manual,3,18 Meses,"5,10 l/100km",Usados,14 200,8090834152,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-0-ecotsi-fr-ID8Pyjz2.html,5,5,Classe 1,Tracção dianteira,,,Sim,,Sim,101 g/km,"3,80 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Karl,1.0 ECOTEC S&S Rocks,Gasolina,Setembro,2019,46 007 km,999 cm3,73 cv,Sim,Citadino,Vermelho,Metalizado,Manual,5,18 Meses,,Usados,12 900,8091554541,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-karl-1-0-ecotec-s-s-rocks-ID8PBkYd.html,,5,Classe 1,,,,,Sim,Sim,,,,Sim,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Nissan,Micra,1.0 Acenta,Gasolina,Janeiro,2018,51 916 km,998 cm3,71 cv,Sim,Utilitário,Prateado,Metalizado,Manual,5,18 Meses,,Usados,13 500,8091225804,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-acenta-ID8PzXs0.html,5,5,Classe 1,,,,Sim,Sim,Sim,,,,Sim,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,SEAT,Ibiza ST,1.0 Reference,Gasolina,Junho,2016,82 011 km,999 cm3,75 cv,,Carrinha,Cinzento,,Manual,5,18 Meses,,Usados,12 450,8089241659,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-0-reference-ID8PrDhF.html,,5,,,,,,,,,,Mostrar VIN,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Ecotec Edition S/S,Diesel,Fevereiro,2016,115 030 km,1 598 cm3,110 cv,,Carrinha,Outra,,Manual,5,18 Meses,,Usados,12 980,8091954236,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-ecotec-edition-s-s-ID8PD0VU.html,,5,,,,,,Sim,,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
