Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Garantia de Stand (incl. no preço),Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Lotação,Classe do veículo,Tracção,Inspecção válida até,Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Emissões CO2,Consumo Extra Urbano,VIN,Valor Fixo,Origem,IVA Discriminado,IUC,Consumo Combinado,Garantia de Fábrica até,Sub-modelo,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,Consumo,ou até,Site,Portugal,Data
Profissional,Hyundai,i30 CW,1.6 CRDi Auto Style,Diesel,Agosto,2018,175 000 km,1 582 cm3,110 cv,Sim,Carrinha,Preto,Metalizado,Automática,5,18 Meses,,Usados,11 950,8091957160,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-i30-cw-1-6-crdi-auto-style-ID8PD1I4.html,,5,,,,1,,Sim,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Particular,MINI,One,D,Diesel,Novembro,2016,114 777 km,1 496 cm3,95 cv,,Utilitário,Cinzento,,Manual,5,,"4,40 l/100km",Usados,15 000,8092066110,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8PDu3k.html,6,5,,Tracção dianteira,,,,,,114 g/km,"3,60 l/100km",Mostrar VIN,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Janeiro,2019,112 992 km,898 cm3,90 cv,Sim,Citadino,Branco,,Manual,5,18 Meses,"6,30 l/100km",Usados,11 950,8091877240,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8PCGW2.html,5,5,Classe 1,Tracção dianteira,30 Janeiro 2025,1,Sim,Sim,Sim,132 g/km,"4,20 l/100km",,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Fiat,500,1.0 Hybrid,Gasolina,Janeiro,2023,18 333 km,999 cm3,70 cv,Sim,Citadino,Verde,Metalizado,Manual,3,36 Meses,,Usados,14 900,8091244647,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-ID8PA2lW.html,6,4,Classe 1,Tracção dianteira,27 Janeiro 2027,1,Sim,Sim,Sim,106 g/km,,Mostrar VIN,,Nacional,Sim,,,27 Janeiro 2026,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Fiat,Tipo Station Wagon,,Diesel,Janeiro,2019,79 311 km,1 298 cm3,95 cv,Sim,Carrinha,Cinzento,,Manual,5,18 Meses,,Usados,12 990,8091607828,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-ID8PByPG.html,,5,,,,,,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Citroën,C4 Cactus,1.6 e-HDi Shine ETG6 92g,Diesel,Novembro,2014,67 000 km,1 560 cm3,92 cv,Sim,SUV / TT,Branco,Pérola,Automática,5,18 Meses,,Usados,14 990,8090335810,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-e-hdi-shine-etg6-92g-ID8PvdWg.html,6,5,Classe 1,Tracção dianteira,,1,Sim,Sim,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Julho,2018,254 000 km,1 461 cm3,110 cv,Sim,Carrinha,Cinzento,Metalizado,Manual,5,18 Meses,"4,20 l/100km",Usados,11 990,8089819891,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8Pu3HZ.html,6,5,Classe 1,Tracção dianteira,,1,Sim,Sim,Sim,95 g/km,"3,40 l/100km",Mostrar VIN,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Junho,2014,137 000 km,1 248 cm3,95 cv,,Citadino,Preto,Metalizado,Manual,5,18 Meses,"3,80 l/100km",Usados,8 450,8091570914,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8PBpei.html,5,5,Classe 1,Tracção dianteira,23 Junho 2024,1,Sim,Sim,Sim,88 g/km,"3,10 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Março,2016,138 456 km,1 199 cm3,110 cv,Sim,Utilitário,Branco,Pérola,Manual,3,18 Meses,,Usados,13 490,8087935615,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8Pm9vr.html,5,5,Classe 1,Tracção dianteira,,,,Sim,Sim,99 g/km,,,,Nacional,,"108,32 €",,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,208,1.2 PureTech GT Line,Gasolina,Janeiro,2016,110 389 km,1 199 cm3,110 cv,,Coupé,Vermelho,,Manual,3,18 Meses,,Usados,13 890,8090803648,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-gt-line-ID8PybD2.html,,5,,,,,Sim,Sim,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Fiat,500C,1.3 16V Multijet Lounge,Diesel,Setembro,2016,98 000 km,1 248 cm3,95 cv,Sim,Cabrio,Branco,,Manual,2,18 Meses,,Usados,14 700,8090525048,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-3-16v-multijet-lounge-ID8Px19u.html,,4,Classe 1,,,1,Sim,Sim,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Fiat,500L,1.3 MJ Trekking S&S,Diesel,Janeiro,2014,185 000 km,1 248 cm3,85 cv,,Utilitário,Preto,Metalizado,Manual,5,18 Meses,,Usados,11 250,8089383911,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500l-1-3-mj-trekking-s-s-ID8Psei3.html,5,5,Classe 1,,,,,,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Dacia,Logan MCV,1.5 dCi Confort,Diesel,Janeiro,2014,207 000 km,1 461 cm3,90 cv,Sim,Carrinha,Preto,,Manual,5,18 Meses,"3,70 l/100km",Usados,7 990,8090970069,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-1-5-dci-confort-ID8PySWf.html,,5,Classe 1,,,1,Sim,Sim,,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Particular,BMW,116,d EDynamics Line Sport,Diesel,Maio,2016,150 000 km,1 496 cm3,116 cv,,Utilitário,Cinzento,Metalizado,Manual,5,,"3,90 l/100km",Usados,14 900,8092001785,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-edynamics-line-sport-ID8PDdjP.html,,,,,,,,,,,,,,,,,,,Série 1,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,308,PureTech 130 Stop & Start GT-Line Edition,Gasolina,Fevereiro,2016,80 000 km,1 199 cm3,130 cv,Sim,Citadino,Preto,,Manual,5,18 Meses,5 l/100km,Usados,14 500,8089289539,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-puretech-130-stop-start-gt-line-edition-ID8PrPJW.html,,,,,,1,Sim,Sim,Sim,,4 l/100km,,,,,,4 l/100km,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,SEAT,Ibiza,1.6 TDI CR FR,Diesel,Abril,2015,147 500 km,1 598 cm3,105 cv,Sim,Citadino,Branco,Pérola,Manual,5,18 Meses,"5,10 l/100km",Usados,13 900,8091471933,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-6-tdi-cr-fr-ID8PAZtP.html,5,5,Classe 1,Tracção dianteira,,,,Sim,Sim,,,,,,,,,,,950 km,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Smart,ForFour,0.9 Passion 90 Aut.,Gasolina,Novembro,2016,99 800 km,898 cm3,90 cv,Sim,Citadino,Azul,Metalizado,Automática,5,18 Meses,6 l/100km,Usados,13 500,8092127119,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-0-9-passion-90-aut-ID8PDJWl.html,6,,Classe 1,Tracção traseira,,,,Sim,Sim,136 g/km,"4,60 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Particular,Abarth,500,1.4 T-Jet Elaborazione,Gasolina,Janeiro,2014,92 000 km,1 368 cm3,135 cv,,Citadino,Preto,Metalizado,Manual,3,,"8,50 l/100km",Usados,12 000,8090308803,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/abarth-500-1-4-t-jet-elaborazione-ID8Pv6TF.html,5,4,Classe 1,Tracção dianteira,,,,,,139 g/km,"5,40 l/100km",Mostrar VIN,Sim,,,,,,,530 km,,,,,,StandVirtual,Yes,2024-03-27
Profissional,VW,e-Golf,AC/DC,Eléctrico,Dezembro,2014,44 000 km,,115 cv,,Utilitário,Preto,,Automática,5,18 Meses,,Usados,14 000,8091955215,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-e-golf-ac-dc-ID8PD1cH.html,1,5,Classe 1,Tracção dianteira,,,,,,,,,,,,,,,,150 km,150 km,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Dezembro,2017,107 000 km,1 598 cm3,110 cv,Sim,Carrinha,Castanho,,Manual,5,18 Meses,,Usados,12 450,8091988123,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-business-edition-s-s-ID8PD9Lt.html,6,5,Classe 1,,,,,,Sim,,,Mostrar VIN,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Smart,ForTwo Coupé,0.9 Passion 90,Gasolina,Setembro,2016,83 000 km,898 cm3,90 cv,Sim,Citadino,Branco,,Manual,3,18 Meses,,Usados,11 900,8091507102,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-passion-90-ID8PB8D4.html,,2,Classe 1,,,,,,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Ford,Fiesta,1.5 TDCi S&S TITANIUM,Diesel,Janeiro,2018,105 000 km,1 498 cm3,120 cv,,Citadino,Cinzento,Metalizado,Manual,5,18 Meses,"4,60 l/100km",Usados,13 200,8091214729,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-s-s-titanium-ID8PzUzn.html,6,5,Classe 1,Tracção dianteira,,,,,Sim,103 g/km,"3,70 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Particular,Abarth,500,1.4 T-Jet Elaborazione,Gasolina,Janeiro,2014,92 000 km,1 368 cm3,135 cv,,Citadino,Preto,Metalizado,Manual,3,,"8,50 l/100km",Usados,12 000,8090308803,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/abarth-500-1-4-t-jet-elaborazione-ID8Pv6TF.html,5,4,Classe 1,Tracção dianteira,,,,,,139 g/km,"5,40 l/100km",Mostrar VIN,Sim,,,,,,,530 km,,,,,,StandVirtual,Yes,2024-03-27
Profissional,VW,e-Golf,AC/DC,Eléctrico,Dezembro,2014,44 000 km,,115 cv,,Utilitário,Preto,,Automática,5,18 Meses,,Usados,14 000,8091955215,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-e-golf-ac-dc-ID8PD1cH.html,1,5,Classe 1,Tracção dianteira,,,,,,,,,,,,,,,,150 km,150 km,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Dezembro,2017,107 000 km,1 598 cm3,110 cv,Sim,Carrinha,Castanho,,Manual,5,18 Meses,,Usados,12 450,8091988123,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-business-edition-s-s-ID8PD9Lt.html,6,5,Classe 1,,,,,,Sim,,,Mostrar VIN,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Smart,ForTwo Coupé,0.9 Passion 90,Gasolina,Setembro,2016,83 000 km,898 cm3,90 cv,Sim,Citadino,Branco,,Manual,3,18 Meses,,Usados,11 900,8091507102,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-passion-90-ID8PB8D4.html,,2,Classe 1,,,,,,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Ford,Fiesta,1.5 TDCi S&S TITANIUM,Diesel,Janeiro,2018,105 000 km,1 498 cm3,120 cv,,Citadino,Cinzento,Metalizado,Manual,5,18 Meses,"4,60 l/100km",Usados,13 200,8091214729,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-s-s-titanium-ID8PzUzn.html,6,5,Classe 1,Tracção dianteira,,,,,Sim,103 g/km,"3,70 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,308,1.6 BlueHDi Allure,Diesel,Maio,2016,108 000 km,1 560 cm3,120 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,18 Meses,"4,40 l/100km",Usados,14 700,8090032063,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-ID8PuVU7.html,6,5,Classe 1,Tracção dianteira,,,,Sim,Sim,84 g/km,"3,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Particular,Honda,Civic,1.6 i-DTEC Lifestyle,Diesel,Junho,2014,170 000 km,1 597 cm3,120 cv,,Utilitário,Preto,,Manual,5,,4 l/100km,Usados,12 990,8091942443,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/honda-civic-1-6-i-dtec-lifestyle-ID8PCXSH.html,6,5,,Tracção dianteira,,,,,,98 g/km,"3,60 l/100km",Mostrar VIN,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Mégane Sport Tourer,1.6 dCi Intens,Diesel,Junho,2017,136 000 km,1 598 cm3,130 cv,Sim,Carrinha,Preto,Metalizado,Manual,5,18 Meses,"4,70 l/100km",Usados,14 200,8091883475,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-6-dci-intens-ID8PCIxB.html,6,5,Classe 1,Tracção dianteira,,,,Sim,Sim,103 g/km,"3,60 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,308,1.6 BlueHDi Active,Diesel,Agosto,2015,123 000 km,1 560 cm3,120 cv,Sim,Sedan,Cinzento,Metalizado,Manual,5,18 Meses,"4,30 l/100km",Usados,13 200,8091073639,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-active-ID8PzjRJ.html,6,5,Classe 1,Tracção dianteira,,,,,Sim,94 g/km,"3,20 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,208,1.2 PureTech Style,Gasolina,Junho,2016,93 000 km,1 199 cm3,82 cv,Sim,Citadino,Preto,Metalizado,Manual,5,18 Meses,"5,50 l/100km",Usados,12 200,8091374231,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-style-ID8PAA3Z.html,5,5,Classe 1,Tracção dianteira,,,Sim,,Sim,104 g/km,"3,90 l/100km",,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Citroën,C3,,Gasolina,Outubro,2016,77 000 km,1 200 cm3,82 cv,Sim,Citadino,Branco,,Manual,5,18 Meses,,Usados,12 999,8092086561,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-ID8PDznb.html,,5,Classe 1,,,,,,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Citroën,DS3,1.6 e-HDi So Chic,Diesel,Junho,2014,114 000 km,1 560 cm3,92 cv,Sim,Citadino,Cinzento,Metalizado,Manual,3,18 Meses,"4,40 l/100km",Usados,11 300,8091883516,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-e-hdi-so-chic-ID8PCIyg.html,5,5,Classe 1,Tracção dianteira,,,,Sim,Sim,98 g/km,"3,30 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Janeiro,2018,86 000 km,1 199 cm3,82 cv,,Citadino,Cinzento,Metalizado,Manual,5,18 Meses,"5,80 l/100km",Usados,13 200,8091882733,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PCIlD.html,5,5,Classe 1,Tracção dianteira,,,,Sim,Sim,133 g/km,"4,20 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Twingo,SCe 70 S&S Dynamique,Gasolina,Setembro,2021,25 000 km,999 cm3,71 cv,Sim,Citadino,Branco,Metalizado,Manual,5,18 Meses,5 l/100km,Usados,12 995,8089860516,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-sce-70-s-s-dynamique-ID8Puehe.html,5,,Classe 1,Tracção traseira,,1,,Sim,Sim,95 g/km,"3,70 l/100km",,,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Smart,ForTwo Coupé,passion,Gasolina,Agosto,2017,24 000 km,999 cm3,71 cv,Sim,Pequeno citadino,Branco,Metalizado,Manual,2,18 Meses,"4,90 l/100km",Usados,10 465,8089697152,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-passion-ID8PtxMk.html,5,2,Classe 1,Tracção traseira,,1,,Sim,Sim,99 g/km,"3,70 l/100km",,,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Insignia Sports Tourer,2.0 CDTi Business Edition,Diesel,Maio,2018,155 000 km,1 956 cm3,170 cv,Sim,Carrinha,Azul,Metalizado,Manual,5,18 Meses,,Usados,14 965,8091764044,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-2-0-cdti-business-edition-ID8PCdti.html,6,5,Classe 1,Tracção dianteira,,1,Sim,,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Ford,Fiesta,1.5 TDCi Business,Diesel,Setembro,2017,175 000 km,1 499 cm3,85 cv,Sim,Citadino,Prateado,Metalizado,Manual,5,18 Meses,"4,10 l/100km",Usados,11 965,8090743752,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-business-ID8PxV2Y.html,6,5,Classe 1,Tracção dianteira,,1,Sim,,Sim,128 g/km,"3,40 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Toyota,Yaris,1.4 D-4D Sport+P.Techno +P.Plus,Diesel,Março,2016,119 000 km,1 364 cm3,90 cv,Sim,Citadino,Cinzento,Metalizado,Manual,5,18 Meses,,Usados,12 965,8088538279,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-4-d-4d-sport-p-techno-p-plus-ID8PoGiP.html,6,5,Classe 1,Tracção dianteira,,1,,Sim,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Nissan,Micra,0.9 IG-T BOSE Limited Edition S/S,Gasolina,Agosto,2018,68 000 km,898 cm3,90 cv,Sim,Citadino,Preto,Metalizado,Manual,5,36 Meses,"5,80 l/100km",Usados,13 965,8091161547,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-0-9-ig-t-bose-limited-edition-s-s-ID8PzGJB.html,,,,,14 Agosto 2025,1,Sim,Sim,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Alfa Romeo,MiTo,0.9 T TwinAir,Gasolina,Maio,2018,42 000 km,875 cm3,105 cv,,Utilitário,Vermelho,,Manual,3,18 Meses,5 l/100km,Usados,12 900,8090380341,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-0-9-t-twinair-ID8Pvpww.html,6,5,Classe 1,Tracção dianteira,,,Sim,Sim,Sim,99 g/km,"3,80 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,308,1.5 BlueHDi Style,Diesel,Dezembro,2018,157 116 km,1 499 cm3,102 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,18 Meses,,Usados,14 750,8091989167,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-style-ID8PDa2j.html,6,5,Classe 1,Tracção dianteira,20 Dezembro 2024,1,,,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Toyota,Aygo,1.0 X-Play,Gasolina,Junho,2021,14 309 km,998 cm3,72 cv,,Citadino,Vermelho,,Manual,5,18 Meses,,Usados,13 980,8091632151,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-x-play-ID8PBF9Z.html,,4,Classe 1,Tracção dianteira,,,Sim,Sim,,113 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Abril,2019,121 634 km,1 461 cm3,90 cv,Sim,Citadino,Cinzento,,Manual,5,36 Meses,,Usados,14 990,8092127068,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8PDJUv.html,,,,,,,,,,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Smart,ForFour,0.9 Passion 90,Gasolina,Julho,2016,87 000 km,898 cm3,90 cv,Sim,Utilitário,Vermelho,,Manual,5,18 Meses,"6,70 l/100km",Usados,11 450,8090026646,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-0-9-passion-90-ID8PuWuK.html,5,4,Classe 1,Tracção traseira,,,Sim,Sim,Sim,134 g/km,"4,60 l/100km",Mostrar VIN,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Setembro,2017,98 145 km,1 461 cm3,110 cv,Sim,Carrinha,Cinzento,Metalizado,Manual,5,18 Meses,,Usados,14 990,8091240494,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PA1gV.html,6,5,Classe 1,Tracção dianteira,,1,Sim,Sim,Sim,,,Mostrar VIN,Sim,,,"158,29 €",,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,VW,Polo,1.0 Confortline,Gasolina,Março,2018,72 000 km,999 cm3,75 cv,Sim,Utilitário,Cinzento,,Manual,5,18 Meses,,Usados,13 980,8091718994,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8PC1KG.html,5,5,Classe 1,,,,,Sim,Sim,,,Mostrar VIN,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,308 SW,1.6 BlueHDi Style,Diesel,Dezembro,2016,85 600 km,1 560 cm3,100 cv,Sim,Carrinha,Preto,,Manual,5,18 Meses,,Usados,13 900,8092127020,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-style-ID8PDJTK.html,5,5,Classe 1,,,,,,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,108,1.0 VTi Active,Gasolina,Fevereiro,2018,35 000 km,998 cm3,69 cv,,Citadino,Preto,Metalizado,Manual,5,18 Meses,5 l/100km,Usados,10 490,8091957301,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PD1Kl.html,5,4,Classe 1,Tracção dianteira,1 Fevereiro 2026,1,Sim,Sim,Sim,95 g/km,"3,60 l/100km",Mostrar VIN,,Nacional,,"111,46 €",,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Mégane,1.5 dCi Intens,Diesel,Agosto,2017,195 579 km,1 461 cm3,110 cv,Sim,Utilitário,Prateado,,Manual,5,18 Meses,,Usados,13 790,8091705383,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-intens-ID8PBYd9.html,,5,,,,,Sim,,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Zoe,Intens 40 Flex,Eléctrico,Março,2017,100 000 km,,92 cv,Sim,Utilitário,Cinzento,Metalizado,Automática,5,18 Meses,,Usados,14 980,8091850122,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-intens-40-flex-ID8PCzRE.html,1,5,Classe 1,Tracção traseira,,2,Sim,Sim,Sim,,,Mostrar VIN,,Nacional,,,,,,,300 km,41 kWh,Própria,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Junho,2015,127 000 km,1 461 cm3,90 cv,Sim,Utilitário,Preto,Metalizado,Manual,5,18 Meses,"4,30 l/100km",Usados,10 980,8091850220,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8PCzTe.html,5,5,Classe 1,Tracção dianteira,,2,,Sim,Sim,127 g/km,"3,60 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Citroën,C3,1.5 BlueHDi Feel,Diesel,Junho,2019,76 000 km,1 499 cm3,102 cv,Sim,Citadino,Preto,Metalizado,Manual,5,18 Meses,"4,30 l/100km",Usados,14 790,8091851657,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-feel-ID8PCAgp.html,5,5,Classe 1,Tracção dianteira,,1,,Sim,Sim,115 g/km,"3,30 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Zoe,Intens 40 Flex,Eléctrico,Março,2017,100 000 km,,92 cv,Sim,Utilitário,Cinzento,Metalizado,Automática,5,18 Meses,,Usados,14 980,8091850122,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-intens-40-flex-ID8PCzRE.html,1,5,Classe 1,Tracção traseira,,2,Sim,Sim,Sim,,,Mostrar VIN,,Nacional,,,,,,,300 km,41 kWh,Própria,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Junho,2015,127 000 km,1 461 cm3,90 cv,Sim,Utilitário,Preto,Metalizado,Manual,5,18 Meses,"4,30 l/100km",Usados,10 980,8091850220,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8PCzTe.html,5,5,Classe 1,Tracção dianteira,,2,,Sim,Sim,127 g/km,"3,60 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
