Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,IUC,Filtro de partículas,Garantia de Fábrica até,Emissões CO2,Autonomia Máxima,ou até,Inspecção válida até,Consumo Combinado,Consumo Urbano,Consumo Extra Urbano,Clássico,Autonomia
Profissional,Mercedes-Benz,GLC 350,Classe GLC,e Exclusive 4-Matic,Híbrido (Gasolina),Janeiro,2018,117 677 km,1 991 cm3,320 cv,Sim,,,Sim,Sim,SUV / TT,Azul,Metalizado,Automática,,5,5,,Integral,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,41 990        EUR,8088752076,1 Junho 2023,,,,,,,,,,,,
Profissional,Lexus,IS 300H,IS,F Sport,Híbrido (Gasolina),Março,2018,157 000 km,2 494 cm3,223 cv,,,,Sim,Sim,Sedan,Preto,,Automática,,4,5,Classe 1,,18 Meses,1,Nacional,,Sim,Sim,Usados,32 500        EUR,8089222196,1 Junho 2023,,,,,,,,,,,,
Profissional,Honda,Jazz,,1.5 i-MMD Elegance,Híbrido (Gasolina),Janeiro,2023,8 km,1 498 cm3,109 cv,Sim,,,Sim,Sim,Citadino,Azul,,Automática,,5,5,Classe 1,Tracção dianteira,36 Meses,,Nacional,,Sim,Sim,Usados,28 500        EUR,8088653371,1 Junho 2023,,,,,,,,,,,,
Profissional,Mitsubishi,Outlander,,2.0 PHEV Intense,Híbrido (Gasolina),Maio,2015,118 000 km,1 998 cm3,203 cv,Sim,,,Sim,Sim,SUV / TT,Preto,,Automática,,5,5,,,18 Meses,2,Nacional,Sim,,,Usados,19 950        EUR,8089218191,1 Junho 2023,,,,,,,,,,,,
Profissional,Porsche,Cayenne,,S Hybrid,Híbrido (Gasolina),Janeiro,2010,203 000 km,2 995 cm3,333 cv,Sim,,,Sim,Sim,SUV / TT,Cinzento,,Automática,8,5,5,Classe 2,,18 Meses,1,Importado,Sim,Sim,Sim,Usados,34 900        EUR,8089231667,1 Junho 2023,,,,193 g/km,,,,,,,,
Profissional,Volvo,XC 60,,2.0 T8 PHEV Momentum AWD,Híbrido (Gasolina),Novembro,2018,72 000 km,1 969 cm3,392 cv,,Sim,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,8,5,5,Classe 1,Integral,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,47 900        EUR,8088854114,1 Junho 2023,,,,,,,,,,,,
Profissional,Hyundai,Ioniq,,1.6 GDI HEV Hybrid Tech,Híbrido (Gasolina),Abril,2019,140 143 km,1 580 cm3,141 cv,Sim,Sim,Sim,,Sim,Utilitário,Cinzento,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,,Usados,17 990        EUR,8088678757,1 Junho 2023,,,,,,,,,"3,60 l/100km",,,
Profissional,Land Rover,Range Rover Sport,,2.0 Si4 PHEV HSE Dynamic Stealth,Híbrido (Gasolina),Novembro,2018,92 000 km,1 997 cm3,404 cv,Sim,,,Sim,Sim,SUV / TT,Vermelho,Metalizado,Automática,8,5,5,Classe 2,Integral,18 Meses,1,Importado,Sim,Sim,Sim,Usados,77 500        EUR,8085125286,1 Junho 2023,,,,,,,,,,,,
Profissional,Mercedes-Benz,CLA 250,Classe CLA,e Shooting Brake AMG Line,Híbrido (Gasolina),Fevereiro,2021,52 927 km,1 332 cm3,218 cv,Sim,Sim,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,43 580        EUR,8089635622,1 Junho 2023,"144,05 €",,,26 g/km,71 km,,,,,,,
Profissional,Mercedes-Benz,GLC 300,Classe GLC,e 4Matic,Híbrido (Gasolina),Dezembro,2021,31 000 km,1 991 cm3,320 cv,,Sim,Sim,,Sim,SUV / TT,Preto,Metalizado,Automática,9,5,5,Classe 1,Integral,60 Meses,1,Importado,Sim,Sim,Sim,Usados,65 850        EUR,8085680258,1 Junho 2023,,Sim,01/12/2026,49 g/km,,,,,,,,
Profissional,BMW,530,Série 5,e iPerformance Pack M,Híbrido (Gasolina),Junho,2018,120 000 km,1 998 cm3,252 cv,,,Sim,Sim,Sim,Sedan,Preto,Metalizado,Automática,,4,,,,36 Meses,,,,,,Usados,33 990        EUR,8089665119,31 Maio 2023,,,,,,,,,,,,
Particular,Mercedes-Benz,CLA 250,Classe CLA,e Shooting Brake AMG Line,Híbrido (Gasolina),Agosto,2022,13 800 km,1 332 cm3,218 cv,,,,,,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,,1,Importado,Sim,Sim,Sim,Usados,49 950        EUR,8089604783,1 Junho 2023,,,,24 g/km,,,,,,,,
Profissional,Toyota,C-HR,,1.8 Hybrid Exclusive,Híbrido (Gasolina),Janeiro,2021,64 000 km,1 798 cm3,122 cv,Sim,,,Sim,Sim,SUV / TT,Preto,,Automática,,5,,,,56 Meses,,Nacional,,,,Usados,34 250        EUR,8088683059,1 Junho 2023,,,29/02/2028,86 g/km,,,,"3,80 l/100km",,,,
Profissional,Mercedes-Benz,CLA 250,Classe CLA,e Shooting Brake AMG Line,Híbrido (Gasolina),Fevereiro,2021,52 927 km,1 332 cm3,218 cv,Sim,Sim,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,43 580        EUR,8089635622,1 Junho 2023,"144,05 €",,,26 g/km,71 km,,,,,,,
Profissional,Porsche,Panamera,,S Hybrid,Híbrido (Gasolina),Maio,2011,282 000 km,2 995 cm3,380 cv,Sim,,,,Sim,Sedan,Outra,Metalizado,Automática,8,5,4,Classe 1,Tracção traseira,18 Meses,2,,Sim,Sim,Sim,Usados,34 950        EUR,8089131376,1 Junho 2023,550 €,Sim,,71 g/km,,,,,8 l/100km,,,
Profissional,MINI,Countryman,,Cooper SE ALL4 Untamed Edition Auto,Híbrido (Gasolina),Dezembro,2022,2 534 km,1 499 cm3,220 cv,,,Sim,,,Utilitário,Cinzento,Metalizado,Automática,8,5,5,Classe 1,,24 Meses,,,Sim,Sim,Sim,Usados,52 900        EUR,8088770584,1 Junho 2023,,Sim,01/12/2026,,,,,,,,,
