Anunciante;Marca;Modelo;Versão;Combustível;Mês de Registo;Ano;Quilómetros;Cilindrada;Potência;Valor Fixo;Aceita retoma;Possibilidade de financiamento;Segmento;Cor;Tipo de cor;Tipo de Caixa;Número de Mudanças;Nº de portas;Lotação;Classe do veículo;Inspecção válida até;Garantia de Stand (incl. no preço);Registo(s);Origem;Livro de Revisões completo;Não fumador;2º Chave;Consumo Urbano;Condição;Preco;ID Anuncio;Data Anuncio;Sub-modelo;Filtro de partículas;Tracção;IUC;IVA Discriminado;IVA dedutível;Emissões CO2;Consumo Extra Urbano;Autonomia;Capacidade da bateria;Garantia de Fábrica até;ou até;Bateria;Consumo;Autonomia Máxima;Site
Profissional;Opel;Corsa;1.0 T Innovation J17;Gasolina;Agosto;2015;70 000 km;999 cm3;115 cv;Sim;;Sim;Citadino;Branco;;Manual;6;5;5;Classe 1;;36 Meses;;;Sim;Sim;Sim;;Usados;11 750        EUR;8088881564;27/jun/23;;;Tracção dianteira;99 €;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;GLC 350;e AMG Line 4-Matic;Híbrido (Gasolina);Março;2017;120 000 km;1 991 cm3;320 cv;;Sim;Sim;SUV / TT;Cinzento;Metalizado;Automática;;5;5;;;18 Meses;;;Sim;Sim;Sim;;Usados;51 990        EUR;8089524571;27/jun/23;Classe GLC;;;;;;64 g/km;;;;;;;;;StandVirtual
Profissional;Audi;TTS Roadster;2.0 TFSi quattro;Gasolina;Março;2010;175 000 km;1 984 cm3;272 cv;;;Sim;Cabrio;Preto;Metalizado;Manual;6;2;2;Classe 1;;18 Meses;;;;Sim;;10,80 l/100km;Usados;22 750        EUR;8089785858;27/jun/23;;;Integral;;;;184 g/km;6,20 l/100km;;;;;;;;StandVirtual
Profissional;VW;Passat Variant;1.4 TSI GTE Plug-in;Híbrido (Gasolina);Julho;2016;175 000 km;1 395 cm3;218 cv;;Sim;Sim;Carrinha;Branco;;Automática;;5;5;;;36 Meses;;;Sim;Sim;;;Usados;21 990        EUR;8089803787;27/jun/23;;Sim;;;;;;;;;01/01/0001;;;;;StandVirtual
Profissional;Bentley;Continental;GT V8 S;Gasolina;Agosto;2016;8 500 km;3 993 cm3;528 cv;Sim;Sim;Sim;Coupé;Cinzento;Metalizado;Automática;7;2;4;Classe 1;;18 Meses;1;Importado;Sim;;Sim;;Usados;169 000        EUR;8087499255;27/jun/23;;;Integral;927,17 €;;;250 g/km;;;;14/08/2023;100 000 km;;;;StandVirtual
Profissional;Peugeot;3008;1.5 BlueHDi Allure;Diesel;Agosto;2018;130 000 km;1 499 cm3;130 cv;;Sim;Sim;SUV / TT;Cinzento;Metalizado;Manual;6;5;5;Classe 1;;18 Meses;;;;;Sim;4,40 l/100km;Usados;22 990        EUR;8089852891;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Audi;A3;1.2 TFSi Sport 114g;Gasolina;Maio;2015;158 000 km;1 197 cm3;105 cv;Sim;;Sim;Utilitário;Cinzento;;Manual;6;3;5;Classe 1;;18 Meses;;;Sim;Sim;Sim;5,90 l/100km;Usados;15 990        EUR;8088682615;27/jun/23;;;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;Audi;A1 Sportback;1.0 TFSI S-line;Gasolina;Dezembro;2016;120 000 km;999 cm3;95 cv;Sim;;Sim;Citadino;Preto;Metalizado;Manual;5;5;5;Classe 1;;36 Meses;;;Sim;Sim;Sim;;Usados;16 990        EUR;8089237652;27/jun/23;;;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;VW;T-Roc;1.0 TSI Style;Gasolina;Outubro;2019;46 000 km;999 cm3;115 cv;;;Sim;SUV / TT;Cinzento;Metalizado;Manual;;5;5;Classe 1;01/10/2023;36 Meses;1;Nacional;Sim;Sim;Sim;6,10 l/100km;Usados;20 000        EUR;8088802582;27/jun/23;;Sim;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;Peugeot;308;1.6 BlueHDi Style;Diesel;Março;2016;134 500 km;1 560 cm3;100 cv;;Sim;Sim;Utilitário;Cinzento;Metalizado;Manual;5;5;5;Classe 1;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;14 950        EUR;8089822907;27/jun/23;;Sim;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 180;d AMG Line;Diesel;Junho;2018;159 857 km;1 461 cm3;109 cv;Sim;;Sim;Utilitário;Branco;;Manual;6;5;5;Classe 1;;18 Meses;;;Sim;Sim;Sim;;Usados;22 750        EUR;8088682603;27/jun/23;Classe A;;Tracção dianteira;;Sim;;;;;;;;;;;StandVirtual
Profissional;SEAT;Arona;1.0 TSI Xcellence DSG;Gasolina;Junho;2019;52 000 km;999 cm3;115 cv;;;Sim;SUV / TT;Cinzento;Metalizado;Automática;;5;5;Classe 1;22/06/2023;36 Meses;1;Nacional;Sim;Sim;Sim;5,60 l/100km;Usados;19 800        EUR;8088802572;27/jun/23;;Sim;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;Audi;TTS Coupé;2.0 TFSi quattro S Tronic;Gasolina;Maio;2015;169 000 km;1 984 cm3;310 cv;Sim;Sim;Sim;Coupé;Branco;;Automática;;3;4;Classe 1;;18 Meses;2;Importado;Sim;Sim;Sim;;Usados;39 990        EUR;8089804640;27/jun/23;;Sim;;;;;150 g/km;;;;;;;;;StandVirtual
Profissional;Porsche;991;Carrera 2 S PDK;Gasolina;Maio;2016;39 000 km;2 981 cm3;420 cv;Sim;Sim;Sim;Coupé;Preto;Metalizado;Automática;;2;4;Classe 1;;18 Meses;2;Nacional;Sim;Sim;Sim;;Usados;119 900        EUR;8089804639;27/jun/23;911 (Todos);;;;;;189 g/km;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 180;CDi BE Urban Aut.;Diesel;Junho;2015;95 000 km;1 461 cm3;109 cv;Sim;Sim;Sim;Utilitário;Cinzento;Metalizado;Automática;;5;5;Classe 1;;18 Meses;2;Importado;Sim;Sim;Sim;;Usados;18 990        EUR;8089643546;27/jun/23;Classe A;Sim;;;;;110 g/km;;;;;;;;;StandVirtual
Profissional;VW;Golf;2.0 TSI GTI DSG;Gasolina;Março;2021;65 000 km;1 984 cm3;245 cv;Sim;Sim;Sim;Utilitário;Branco;;Automática;;5;5;Classe 1;;18 Meses;1;Importado;Sim;Sim;Sim;;Usados;41 990        EUR;8089643538;27/jun/23;;;;;;;168 g/km;;;;;;;;;StandVirtual
Particular;BMW;530;e iPerformance Pack M;Híbrido (Gasolina);Agosto;2018;108 000 km;1 998 cm3;252 cv;;;;Sedan;Cinzento;Metalizado;Automática;8;4;5;;;;1;Nacional;Sim;;Sim;;Usados;31 500        EUR;8089643971;27/jun/23;Série 5;;Tracção traseira;;;;36 g/km;;;;;;;;;StandVirtual
Profissional;Hyundai;Kauai;EV 64kWh Premium;Eléctrico;Julho;2020;22 000 km;;204 cv;Sim;Sim;Sim;SUV / TT;Branco;;Automática;;5;5;;;18 Meses;;Importado;;;Sim;;Usados;31 900        EUR;8089852890;27/jun/23;;;Tracção dianteira;;;Sim;;;484 km;64 kWh;;;Própria;;;StandVirtual
Particular;Peugeot;2008;1.2 PureTech Allure EAT6;Gasolina;Janeiro;2019;56 000 km;1 199 cm3;110 cv;;;;SUV / TT;Cinzento;Metalizado;Automática;6;5;5;;;;;;;;;6,60 l/100km;Usados;17 800        EUR;8089839542;27/jun/23;;;Tracção dianteira;14 505 €;;;154 g/km;5 l/100km;;;;;;;;StandVirtual
Profissional;Renault;Kadjar;Energy dCi 130 XMOD;Diesel;Setembro;2016;114 000 km;1 598 cm3;130 cv;Sim;Sim;Sim;SUV / TT;Azul;Metalizado;Manual;6;5;5;;;18 Meses;;;Sim;Sim;Sim;;Usados;20 990        EUR;8088403806;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;BMW;420;d Pack M Auto;Diesel;Maio;2014;105 000 km;1 995 cm3;184 cv;Sim;Sim;Sim;Coupé;Branco;Metalizado;Automática;8;2;4;Classe 1;;18 Meses;;;Sim;Sim;Sim;5,90 l/100km;Usados;29 990        EUR;8087503485;27/jun/23;Série 4;Sim;Tracção traseira;;;;124 g/km;;;;;;;;;StandVirtual
Profissional;VW;Polo;1.0 TSI Confortline;Gasolina;Maio;2021;27 300 km;999 cm3;95 cv;Sim;;;Utilitário;Cinzento;;Manual;;5;5;;;36 Meses;;Nacional;;;;;Usados;17 490        EUR;8089795329;27/jun/23;;;;;Sim;;;;;;;;;;;StandVirtual
