Anunciante;Marca;Modelo;Versão;Combustível;Mês de Registo;Ano;Quilómetros;Cilindrada;Potência;Valor Fixo;Aceita retoma;Possibilidade de financiamento;Segmento;Cor;Tipo de cor;Tipo de Caixa;Número de Mudanças;Nº de portas;Lotação;Classe do veículo;Inspecção válida até;Garantia de Stand (incl. no preço);Registo(s);Origem;Livro de Revisões completo;Não fumador;2º Chave;Consumo Urbano;Condição;Preco;ID Anuncio;Data Anuncio;Sub-modelo;Filtro de partículas;Tracção;IUC;IVA Discriminado;IVA dedutível;Emissões CO2;Consumo Extra Urbano;Autonomia;Capacidade da bateria;Garantia de Fábrica até;ou até;Bateria;Consumo;Autonomia Máxima;Site
Profissional;Ford;Puma;1.0 EcoBoost MHEV ST-Line X;Gasolina;Janeiro;2023;31 km;998 cm3;125 cv;Sim;Sim;Sim;SUV / TT;Cinzento;;Manual;;5;5;;23/01/2027;36 Meses;;Nacional;;;Sim;;Usados;26 850        EUR;8088677148;27/jun/23;;;;;Sim;;;;;;;;;;;StandVirtual
Profissional;Renault;Clio Sport Tourer;0.9 TCe Limited;Gasolina;Agosto;2019;92 000 km;898 cm3;90 cv;;Sim;Sim;Carrinha;Cinzento;;Manual;5;5;5;Classe 1;01/08/2023;18 Meses;;;;Sim;Sim;;Usados;14 990        EUR;8089784113;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Renault;Clio;0.9 TCe Limited Edition;Gasolina;Março;2017;114 000 km;898 cm3;90 cv;Sim;Sim;Sim;Utilitário;Cinzento;Metalizado;Manual;5;5;5;Classe 1;;18 Meses;;Nacional;;;Sim;5,10 l/100km;Usados;12 000        EUR;8089617722;27/jun/23;;;Tracção dianteira;;;;94 g/km;3,70 l/100km;;;;;;;;StandVirtual
Profissional;Nissan;Qashqai;1.3 DIG-T N-Connecta J18;Gasolina;Fevereiro;2020;50 000 km;1 332 cm3;140 cv;Sim;Sim;Sim;SUV / TT;Preto;Metalizado;Manual;;5;5;;;36 Meses;;Nacional;Sim;Sim;Sim;;Usados;26 450        EUR;8088910481;27/jun/23;;;;;;;;;;;01/01/0001;;;;;StandVirtual
Profissional;Mercedes-Benz;C 220;d Avantgarde;Diesel;Agosto;2020;56 000 km;1 950 cm3;194 cv;;Sim;Sim;Carrinha;Preto;;Automática;9;5;5;Classe 1;;36 Meses;;Nacional;;;Sim;;Usados;38 950        EUR;8089273793;27/jun/23;Classe C;;;;;;;;;;01/01/0001;;;;;StandVirtual
Profissional;Peugeot;307;1.4 HDi XS;Diesel;Dezembro;2003;333 509 km;1 398 cm3;69 cv;Sim;;;Utilitário;Cinzento;;Manual;;5;5;;;36 Meses;;Nacional;;;;;Usados;1 990        EUR;8089526855;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Citroën;C4 Picasso;;Diesel;Outubro;2007;203 710 km;1 560 cm3;109 cv;Sim;;;Monovolume;Azul;;Manual;;5;5;;;36 Meses;;Nacional;;;;;Usados;3 490        EUR;8089526825;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Volvo;V40;2.0 D2 Kinetic Eco;Diesel;Julho;2018;148 000 km;1 969 cm3;120 cv;;Sim;Sim;Utilitário;Branco;;Manual;6;5;5;Classe 1;;18 Meses;1;Nacional;Sim;Sim;Sim;3,70 l/100km;Usados;15 980        EUR;8089916080;27/jun/23;;;Tracção dianteira;;;;89 g/km;3,20 l/100km;;;;;;;;StandVirtual
Profissional;BMW;318;d Touring Navigation;Diesel;Julho;2013;270 000 km;1 995 cm3;143 cv;Sim;Sim;Sim;Carrinha;Azul;Metalizado;Manual;;5;5;;;18 Meses;;;;Sim;Sim;;Usados;14 950        EUR;8089522270;27/jun/23;Série 3;;;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;S 350;d Longo 4-Matic;Diesel;Maio;2017;150 000 km;2 987 cm3;258 cv;Sim;Sim;Sim;Sedan;Preto;Metalizado;Automática;;4;5;;;18 Meses;;;Sim;;Sim;;Usados;55 000        EUR;8089523893;27/jun/23;Classe S;;;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;GLA 180;CDi Style;Diesel;Outubro;2018;70 888 km;1 461 cm3;109 cv;Sim;Sim;Sim;SUV / TT;Branco;;Manual;6;5;5;Classe 1;;18 Meses;;;Sim;;Sim;4,70 l/100km;Usados;27 250        EUR;8089155285;27/jun/23;Classe GLA;Sim;;;;;;;;;;;;;;StandVirtual
Profissional;Fiat;500L;1.3 MJ Lounge;Diesel;Março;2014;117 000 km;1 248 cm3;85 cv;;Sim;Sim;Monovolume;Preto;Metalizado;Manual;6;5;5;Classe 1;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;11 950        EUR;8089822821;27/jun/23;;Sim;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;Audi;A4 Avant;2.0 TDI S tronic;Diesel;Julho;2018;80 000 km;1 968 cm3;150 cv;Sim;Sim;Sim;Carrinha;Preto;Metalizado;Automática;;5;5;;;36 Meses;;Nacional;Sim;Sim;Sim;;Usados;28 450        EUR;8089311848;27/jun/23;;;;;;;;;;;01/01/0001;;;;;StandVirtual
Profissional;Peugeot;308;1.5 BlueHDi Style;Diesel;Novembro;2019;100 000 km;1 499 cm3;102 cv;Sim;Sim;Sim;Carrinha;Preto;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;18 450        EUR;8089585059;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;B 180;CDi;Diesel;Janeiro;2009;220 000 km;1 991 cm3;109 cv;Sim;Sim;Sim;Carrinha;Preto;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;;;Sim;;Usados;10 750        EUR;8089525739;27/jun/23;Classe B;;;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 180 Limousine;d Style Aut.;Diesel;Julho;2019;40 000 km;1 461 cm3;116 cv;Sim;Sim;Sim;Sedan;Preto;Metalizado;Automática;;4;5;;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;31 950        EUR;8089311860;27/jun/23;Classe A;;;;;;;;;;;;;;;StandVirtual
Profissional;Hyundai;Kauai;1.6 GDi HEV Premium;Híbrido (Gasolina);Julho;2020;24 000 km;1 580 cm3;141 cv;Sim;Sim;Sim;Sedan;Branco;Metalizado;Automática;;5;5;;;18 Meses;;;Sim;Sim;Sim;;Usados;28 450        EUR;8089525753;27/jun/23;;;;;;Sim;;;;;;;;;;StandVirtual
Profissional;Opel;Astra Sports Tourer;1.6 CDTI Dynamic S/S;Diesel;Dezembro;2018;110 000 km;1 598 cm3;110 cv;Sim;Sim;Sim;Carrinha;Cinzento;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;16 450        EUR;8089523874;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 160;Style;Gasolina;Julho;2019;50 000 km;1 332 cm3;109 cv;Sim;Sim;Sim;Sedan;Branco;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;25 750        EUR;8089522282;27/jun/23;Classe A;;;;;;;;;;;;;;;StandVirtual
Profissional;Renault;Mégane;1.5 dCi Zen;Diesel;Março;2019;90 000 km;1 461 cm3;110 cv;Sim;Sim;Sim;Sedan;Cinzento;Metalizado;Manual;;5;5;;;18 Meses;;;;Sim;Sim;;Usados;18 250        EUR;8089525772;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Renault;Mégane Sport Tourer;1.5 dCi Limited;Diesel;Julho;2019;80 000 km;1 461 cm3;110 cv;Sim;Sim;Sim;Carrinha;Azul;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;18 950        EUR;8089525794;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Land Rover;Range Rover Sport;2.0 SD4 SE;Diesel;Julho;2017;82 600 km;1 999 cm3;240 cv;Sim;Sim;Sim;SUV / TT;Cinzento;Metalizado;Automática;8;5;5;Classe 2;;18 Meses;1;Nacional;Sim;Sim;Sim;7,90 l/100km;Usados;57 900        EUR;8088534513;27/jun/23;;;Integral;271,56 €;;;;;;;;;;;;StandVirtual
Profissional;Kia;e-Niro;EV 64kWh;Eléctrico;Dezembro;2021;103 066 km;;204 cv;Sim;;Sim;SUV / TT;Preto;;Automática;;5;5;;;18 Meses;1;Nacional;Sim;Sim;;;Usados;31 490        EUR;8088737640;27/jun/23;;;Tracção dianteira;;Sim;Sim;;;;;;;;;;StandVirtual
Profissional;Jaguar;XE;2.0 D Prestige;Diesel;Março;2017;70 998 km;1 999 cm3;163 cv;Sim;Sim;Sim;Sedan;Branco;Metalizado;Manual;6;4;5;Classe 1;24/03/2025;18 Meses;1;;Sim;Sim;Sim;;Usados;26 990        EUR;8088508381;27/jun/23;;;;235,26 €;;;;;;;;;;;;StandVirtual
Profissional;SEAT;Leon ST;1.6 TDI Style S/S;Diesel;Junho;2018;199 976 km;1 598 cm3;115 cv;Sim;;Sim;Carrinha;Cinzento;;Manual;;5;5;;;18 Meses;1;Nacional;Sim;Sim;;;Usados;13 790        EUR;8089110566;27/jun/23;;;Tracção dianteira;;Sim;Sim;;;;;;;;;;StandVirtual
Profissional;Opel;Astra Sports Tourer;1.6 CDTI Business Edition S/S;Diesel;Março;2017;168 400 km;1 598 cm3;110 cv;;Sim;;Carrinha;Preto;Metalizado;Manual;6;5;5;Classe 1;01/03/2025;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;12 990        EUR;8086675169;27/jun/23;;Sim;;;;;;;;;;;;;;StandVirtual
Profissional;Nissan;Qashqai;1.5 dCi Business Edition;Diesel;Dezembro;2018;44 401 km;1 461 cm3;115 cv;Sim;Sim;Sim;SUV / TT;Branco;;Manual;6;5;5;;;18 Meses;;;;;;;Usados;22 500        EUR;8089916076;27/jun/23;;Sim;;;;;135 g/km;;;;;;;;;StandVirtual
Profissional;Peugeot;3008;1.5 BlueHDi Active;Diesel;Dezembro;2019;43 599 km;1 499 cm3;130 cv;Sim;Sim;Sim;SUV / TT;Cinzento;;Manual;6;5;5;;;18 Meses;;Nacional;;;;;Usados;29 500        EUR;8089916078;27/jun/23;;Sim;;;;Sim;108 g/km;;;;;;;;;StandVirtual
Profissional;Renault;Mégane Sport Tourer;1.5 dCi Zen;Diesel;Dezembro;2016;114 900 km;1 461 cm3;90 cv;;Sim;Sim;Carrinha;Azul;Metalizado;Manual;6;5;5;Classe 1;01/11/2023;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;15 990        EUR;8087850378;27/jun/23;;Sim;;;;;;;;;;;;;;StandVirtual
Profissional;Peugeot;208;1.2 PureTech Style;Gasolina;Março;2017;48 076 km;1 199 cm3;82 cv;;Sim;Sim;Citadino;Prateado;Metalizado;Manual;5;5;5;Classe 1;01/03/2023;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;13 990        EUR;8087788694;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;SEAT;Ibiza;1.0 EcoTSI FR;Gasolina;Março;2017;103 750 km;999 cm3;110 cv;;;Sim;Coupé;Preto;Metalizado;Manual;6;3;5;Classe 1;01/03/2024;18 Meses;1;Nacional;Sim;Sim;Sim;;Usados;14 990        EUR;8089711191;27/jun/23;;;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;Opel;Corsa;1.3 CDTi Enjoy ecoFLEX;Diesel;Outubro;2007;181 600 km;1 248 cm3;75 cv;;Sim;Sim;Citadino;Preto;Metalizado;Manual;;5;;;;36 Meses;;;;;;5,80 l/100km;Usados;5 990        EUR;8089102417;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Particular;BMW;X4 M;Competition;Gasolina;Dezembro;2019;92 500 km;2 993 cm3;510 cv;;;;SUV / TT;Cinzento;Metalizado;Automática;;5;;;;;;;;;;;Usados;98 000        EUR;8089188791;27/jun/23;Série X;;;;;;;;;;;;;;;StandVirtual
Profissional;Renault;Clio;1.0 TCe Limited Bi-Fuel;GPL;Outubro;2022;1 140 km;999 cm3;100 cv;Sim;Sim;Sim;Citadino;Cinzento;;Manual;6;5;5;;;18 Meses;;Nacional;;;;;Usados;21 450        EUR;8089916074;27/jun/23;;Sim;;;;Sim;1 g/km;;;;;;;;;StandVirtual
Profissional;SEAT;Leon ST;1.6 TDI Style S/S;Diesel;Outubro;2020;55 250 km;1 598 cm3;115 cv;Sim;Sim;Sim;Carrinha;Cinzento;;Manual;5;5;5;;;18 Meses;;Nacional;;;;;Usados;20 900        EUR;8089916075;27/jun/23;;Sim;;;;Sim;108 g/km;;;;;;;;;StandVirtual
Profissional;Renault;Clio Sport Tourer;1.5 dCi Limited;Diesel;Maio;2016;153 200 km;1 461 cm3;90 cv;;Sim;Sim;Carrinha;Prateado;Metalizado;Manual;5;5;5;Classe 1;01/05/2023;18 Meses;1;Nacional;Sim;Sim;Sim;;Usados;11 990        EUR;8085394090;27/jun/23;;;Tracção dianteira;;Sim;;;;;;;;;;;StandVirtual
Profissional;Citroën;C1;VTi Selection;Gasolina;Junho;2016;89 300 km;998 cm3;69 cv;;;Sim;Citadino;Branco;Metalizado;Manual;5;3;4;Classe 1;01/06/2024;36 Meses;1;;Sim;Sim;Sim;;Usados;9 590        EUR;8089439993;27/jun/23;;;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Particular;BMW;518;d;Diesel;Junho;2014;117 055 km;1 995 cm3;150 cv;;;;Carrinha;Cinzento;Metalizado;Manual;6;5;5;Classe 1;30/06/2023;;1;Nacional;Sim;Sim;Sim;5,60 l/100km;Usados;23 500        EUR;8089723751;27/jun/23;Série 5;;Tracção traseira;;;;122 g/km;4,10 l/100km;;;;;;;870 km;StandVirtual
Profissional;Nissan;Qashqai;1.5 dCi Tekna Premium;Diesel;Julho;2017;86 574 km;1 461 cm3;110 cv;Sim;Sim;Sim;SUV / TT;Branco;;Manual;6;5;5;;;18 Meses;;Nacional;;;;;Usados;21 900        EUR;8089916072;27/jun/23;;Sim;;;;;103 g/km;;;;;;;;;StandVirtual
Profissional;Hyundai;i20;1.0 T-GDI Comfort;Gasolina;Novembro;2018;52 421 km;998 cm3;100 cv;Sim;Sim;Sim;Citadino;Cinzento;;Manual;5;5;5;;;18 Meses;;;;;;;Usados;15 900        EUR;8089916069;27/jun/23;;Sim;;;;;115 g/km;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 180;d AMG Line Aut.;Diesel;Outubro;2022;12 081 km;1 950 cm3;116 cv;Sim;Sim;Sim;Utilitário;Cinzento;;Automática;;5;5;;;18 Meses;;Nacional;;;;;Usados;37 900        EUR;8089916070;27/jun/23;Classe A;Sim;;;;Sim;89 g/km;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 180;d AMG Line Aut.;Diesel;Setembro;2022;2 250 km;1 950 cm3;116 cv;Sim;Sim;Sim;Utilitário;Preto;;Automática;;5;5;;;18 Meses;;Nacional;;;;;Usados;39 900        EUR;8089916071;27/jun/23;Classe A;Sim;;;;Sim;133 g/km;;;;;;;;;StandVirtual
Profissional;Citroën;C3;1.2 PureTech Shine;Gasolina;Agosto;2021;26 638 km;1 199 cm3;83 cv;Sim;Sim;Sim;Citadino;Preto;;Manual;5;5;5;Classe 1;;18 Meses;;Importado;;Sim;;;Usados;17 900        EUR;8088851405;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Opel;Corsa;;Gasolina;Janeiro;2014;123 000 km;998 cm3;65 cv;;Sim;Sim;Utilitário;Cinzento;;Manual;5;3;5;Classe 1;;18 Meses;1;;;Sim;;;Usados;7 950        EUR;8087729510;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;SEAT;Leon ST;1.6 TDI Style S/S;Diesel;Maio;2018;195 255 km;1 598 cm3;115 cv;Sim;;Sim;Carrinha;Preto;Metalizado;Manual;5;5;5;Classe 1;;18 Meses;1;Nacional;Sim;Sim;;4,70 l/100km;Usados;13 990        EUR;8089314527;27/jun/23;;;Tracção dianteira;;Sim;Sim;108 g/km;;;;;;;;;StandVirtual
Profissional;Bentley;Bentayga;V8;Diesel;Julho;2018;39 485 km;3 956 cm3;435 cv;Sim;;Sim;SUV / TT;Preto;Metalizado;Automática;;5;5;;;18 Meses;;;Sim;Sim;Sim;9,40 l/100km;Usados;189 900        EUR;8088196163;27/jun/23;;;Integral;;Sim;;;;;;;;;;;StandVirtual
Profissional;Audi;A5 Sportback;2.0 TDI Multitronic S-line;Diesel;Outubro;2014;146 000 km;1 968 cm3;190 cv;Sim;Sim;Sim;Sedan;Cinzento;;Automática;;5;5;Classe 1;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;23 750        EUR;8089804545;27/jun/23;;;;235,26 €;;;;;;;;;;;;StandVirtual
Profissional;Volvo;V60;2.0 D3 Momentum Plus;Diesel;Junho;2019;136 000 km;1 969 cm3;150 cv;;Sim;Sim;Carrinha;Preto;;Manual;6;5;5;Classe 1;;24 Meses;;Nacional;;;;5,10 l/100km;Usados;33 800        EUR;8087918323;27/jun/23;;;Tracção dianteira;;Sim;;;;;;;;;;;StandVirtual
Profissional;Ford;Focus SW;;Gasolina;Março;2019;73 497 km;998 cm3;125 cv;Sim;Sim;Sim;Carrinha;Azul;;Automática;;5;5;;;18 Meses;;Nacional;;;;;Usados;21 900        EUR;8089916068;27/jun/23;;Sim;;;;Sim;1 g/km;;;;;;;;;StandVirtual
Profissional;Citroën;e-C4;Feel Pack;Eléctrico;Janeiro;2023;1 997 km;;136 cv;Sim;Sim;Sim;Utilitário;Cinzento;;Automática;;5;5;;;18 Meses;;Nacional;;;;;Usados;37 900        EUR;8089916065;27/jun/23;;Sim;;;;Sim;1 g/km;;;;;;;;;StandVirtual
Profissional;Citroën;e-C4;Feel Pack;Eléctrico;Abril;2021;28 287 km;;136 cv;Sim;Sim;Sim;Utilitário;Cinzento;;Automática;;5;5;;;18 Meses;;Nacional;;;;;Usados;29 950        EUR;8089916066;27/jun/23;;Sim;;;;Sim;1 g/km;;;;;;;;;StandVirtual
Profissional;VW;Arteon;2.0 TDI Elegance DSG;Diesel;Julho;2019;47 538 km;1 968 cm3;150 cv;;;;Sedan;Cinzento;;Automática;;4;5;;19/07/2023;18 Meses;;Nacional;;;Sim;4,50 l/100km;Usados;36 500        EUR;8088184719;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Toyota;RAV4;2.5 HDF Plug-in Square Co.AWD-i;Híbrido (Gasolina);Agosto;2021;51 831 km;2 487 cm3;309 cv;Sim;Sim;Sim;SUV / TT;Cinzento;;Automática;;5;;;;61 Meses;;Nacional;;;;;Usados;55 000        EUR;8089637558;26/jun/23;;;;;;;;;;;26/08/2028;;;;;StandVirtual
Profissional;Citroën;C4 Cactus;1.2 PureTech Feel Business;Gasolina;Fevereiro;2019;90 554 km;1 199 cm3;110 cv;Sim;Sim;Sim;SUV / TT;Azul;Metalizado;Manual;5;5;5;Classe 1;;18 Meses;1;;Sim;;Sim;;Usados;16 500        EUR;8087771929;27/jun/23;;;;;Sim;;107 g/km;;;;;;;;;StandVirtual
Profissional;VW;Sharan;2.0 TDI Highline DSG;Diesel;Setembro;2013;294 000 km;1 968 cm3;177 cv;Sim;Sim;Sim;Monovolume;Azul;Metalizado;Automática;6;5;7;;;18 Meses;;Nacional;;;;6,50 l/100km;Usados;16 950        EUR;8089795314;26/jun/23;;;Tracção dianteira;;;;182 g/km;5,10 l/100km;;;;;;;;StandVirtual
Profissional;Cupra;Born;58 kWh;Eléctrico;Agosto;2022;4 565 km;;204 cv;Sim;Sim;Sim;Utilitário;Cinzento;;Automática;;5;5;;;18 Meses;;Nacional;;;;;Usados;41 500        EUR;8089916067;27/jun/23;;Sim;;;;Sim;1 g/km;;;;;;;;;StandVirtual
Profissional;Citroën;C5 Aircross;1.5 BlueHDi C-Series;Diesel;Novembro;2022;3 094 km;1 499 cm3;130 cv;Sim;Sim;Sim;SUV / TT;Branco;;Manual;6;5;5;;;18 Meses;;Nacional;;;;;Usados;37 900        EUR;8089916064;27/jun/23;;Sim;;;;Sim;130 g/km;;;;;;;;;StandVirtual
Particular;Audi;Q3;2.0 TDi S-line;Diesel;Agosto;2014;315 000 km;1 968 cm3;140 cv;;;;SUV / TT;Preto;Metalizado;Manual;6;5;5;Classe 1;;;1;Nacional;Sim;Sim;Sim;6,20 l/100km;Usados;17 000        EUR;8089914157;27/jun/23;;;Tracção dianteira;;;;135 g/km;4,70 l/100km;;;;;;;;StandVirtual
Profissional;MINI;Countryman;Cooper D Auto;Diesel;Agosto;2017;91 653 km;1 995 cm3;150 cv;;Sim;Sim;Utilitário;Cinzento;;Automática;;5;5;;;18 Meses;;Nacional;;;Sim;;Usados;27 499        EUR;8088202125;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;SEAT;Leon;1.6 16V Signo;Gasolina;Abril;2001;185 000 km;1 598 cm3;105 cv;Sim;;Sim;Utilitário;Azul;Metalizado;Manual;5;5;5;Classe 1;;18 Meses;1;Nacional;;Sim;;;Usados;3 750        EUR;8089464029;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Opel;Corsa;1.2 Business Edition;Gasolina;Dezembro;2021;12 519 km;1 199 cm3;75 cv;;Sim;Sim;Citadino;Cinzento;;Manual;;5;5;;;18 Meses;1;Nacional;Sim;Sim;Sim;;Usados;17 700        EUR;8088351765;27/jun/23;;;Tracção traseira;;;;;;;;;;;;;StandVirtual
Profissional;Maserati;Ghibli;3.0 V6;Diesel;Julho;2014;81 000 km;2 987 cm3;275 cv;Sim;Sim;Sim;Sedan;Cinzento;;Automática;;4;5;Classe 1;;18 Meses;;Nacional;Sim;Sim;Sim;;Usados;49 500        EUR;8087846854;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Audi;A6 Allroad;quattro 2.5 TDi Tip;Diesel;Maio;2004;250 000 km;2 496 cm3;180 cv;Sim;Sim;Sim;Carrinha;Preto;;Automática;;5;5;Classe 1;;18 Meses;1;Nacional;Sim;Sim;Sim;13,40 l/100km;Usados;9 990        EUR;8088547016;27/jun/23;;;Integral;;;;;;;;;;;;;StandVirtual
Profissional;Opel;Astra Sports Tourer;1.6 CDTI Business Edition S/S;Diesel;Março;2017;79 305 km;1 598 cm3;95 cv;Sim;Sim;Sim;Carrinha;Prateado;Metalizado;Manual;;5;5;;;18 Meses;;Nacional;;;;;Usados;13 949        EUR;8089464034;27/jun/23;;Sim;;;;Sim;;;;;;;;;;StandVirtual
Profissional;BMW;640 Gran Coupé;d xDrive Pack M;Diesel;Abril;2018;141 901 km;2 993 cm3;313 cv;Sim;;Sim;Sedan;Preto;;Automática;;4;5;;;18 Meses;1;Nacional;Sim;Sim;;;Usados;45 990        EUR;8089315549;27/jun/23;Série 6;;Tracção dianteira;;Sim;Sim;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 180;d Style;Diesel;Julho;2020;194 994 km;1 461 cm3;116 cv;Sim;;Sim;Utilitário;Preto;Metalizado;Manual;6;5;5;Classe 1;;18 Meses;1;Nacional;Sim;Sim;;4,70 l/100km;Usados;23 990        EUR;8089315028;27/jun/23;Classe A;;Tracção dianteira;;Sim;Sim;;;;;;;;;;StandVirtual
