Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,IUC,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Inspecção válida até,Autonomia Máxima,Garantia de Fábrica até,ou até,IVA Discriminado,Filtro de partículas,Sub-modelo,Autonomia,Consumo,Bateria,Consumo Combinado,Gancho de Reboque,Clássico,Capacidade da bateria,Site,Portugal
Profissional,Ford,Focus SW,1.0 SCTi Titanium,Gasolina,Agosto,2016,99 250 km,998 cm3,125 cv,,Sim,Sim,Carrinha,Preto,,Manual,6,5,,,,,,18 Meses,,,,Sim,Sim,,,Usados,13 450        EUR,8090195278,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Ford,Fiesta,1.6 TDCi ECOnetic,Diesel,Março,2012,175 000 km,1 560 cm3,95 cv,,,,Citadino,Cinzento,,Manual,5,5,5,,Tracção dianteira,98 g/km,147 €,,,,,Sim,Sim,"4,60 l/100km","3,20 l/100km",Usados,6 800        EUR,8089818882,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,508 SW,1.6 BlueHDi Active EAT6,Diesel,Outubro,2015,208 000 km,1 560 cm3,120 cv,,Sim,Sim,Carrinha,Cinzento,,Automática,,5,5,,Tracção dianteira,,,18 Meses,,,Sim,Sim,,,,Usados,13 500        EUR,8090220818,20 Agosto 2023,01/10/2023,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Maio,2019,53 000 km,898 cm3,90 cv,,Sim,Sim,Citadino,Branco,Pérola,Manual,5,5,5,Classe 1,,,,18 Meses,,,Sim,Sim,Sim,"5,10 l/100km",,Usados,14 990        EUR,8089898403,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,1.5 dCi Expression,Diesel,Dezembro,2015,211 000 km,1 461 cm3,90 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,18 Meses,,,Sim,Sim,Sim,,,Usados,12 500        EUR,8090229338,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,SEAT,Ibiza,SC 1.2 TSi FR,Gasolina,Agosto,2014,144 000 km,1 197 cm3,105 cv,,,,Citadino,Branco,,Manual,5,3,5,Classe 1,Tracção dianteira,119 g/km,,,,Nacional,,,,"6,50 l/100km","4,40 l/100km",Usados,11 990        EUR,8090020991,19 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Yaris,1.0 VVT-i ACtive+AC,Gasolina,Março,2016,102 000 km,998 cm3,69 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,99 g/km,,18 Meses,,Importado,,,,"5,20 l/100km",,Usados,12 950        EUR,8089056065,17 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mazda,2,1.3 MZR Exclusive,Gasolina,Março,2010,80 046 km,1 349 cm3,86 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,,,18 Meses,,Nacional,Sim,Sim,Sim,,,Usados,6 950        EUR,8090314630,18 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Kia,Ceed,S Coupé 1.6 CRDi TX ISG,Diesel,Setembro,2011,219 000 km,1 582 cm3,128 cv,Sim,,,Coupé,Branco,,Manual,6,3,,Classe 1,Tracção dianteira,117 g/km,,,1,Nacional,,Sim,Sim,5 l/100km,"4,20 l/100km",Usados,8 490        EUR,8089555280,18 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,1.5 dCi Dynamique S,Diesel,Junho,2013,140 000 km,1 461 cm3,90 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,18 Meses,,Nacional,,,,"3,30 l/100km",,Usados,8 980        EUR,8090255926,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Março,2019,67 000 km,1 199 cm3,83 cv,,Sim,Sim,Citadino,Vermelho,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,18 Meses,1,Nacional,Sim,Sim,Sim,,,Usados,14 990        EUR,8089869229,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,1.5 dCi Tekna Premium,Diesel,Junho,2016,152 500 km,1 461 cm3,110 cv,,Sim,Sim,SUV / TT,Branco,Pérola,Manual,6,5,5,Classe 1,Tracção dianteira,,,18 Meses,1,,Sim,Sim,Sim,,,Usados,14 990        EUR,8088014585,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Punto Evo,1.3 16V Multijet Sport S&S,Diesel,Abril,2017,97 100 km,1 248 cm3,95 cv,,,Sim,Utilitário,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,,,18 Meses,,Nacional,Sim,Sim,Sim,"5,30 l/100km",,Usados,10 990        EUR,8089347478,20 Agosto 2023,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure,Diesel,Outubro,2015,231 000 km,1 560 cm3,120 cv,,Sim,Sim,Carrinha,Branco,Pérola,Manual,,5,5,Classe 1,,,,18 Meses,,,Sim,Sim,Sim,,,Usados,12 900        EUR,8089710827,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,MINI,Cabrio,Cooper SD Auto,Diesel,Setembro,2011,187 000 km,1 995 cm3,143 cv,,,,Cabrio,Preto,,Automática,6,3,4,,Tracção dianteira,143 g/km,,,,,,,Sim,"4,50 l/100km","3,70 l/100km",Usados,12 800        EUR,8090326356,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Skoda,Octavia Break,1.6-tdi,Diesel,Julho,2010,160 150 km,1 598 cm3,105 cv,,,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,18 Meses,,Nacional,,Sim,Sim,,,Usados,7 500        EUR,8089347479,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4,1.6 BlueHDi Feel,Diesel,Março,2015,250 000 km,1 560 cm3,120 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,6,5,5,,Tracção dianteira,93 g/km,,18 Meses,,Nacional,,,,"4,10 l/100km","3,30 l/100km",Usados,8 480        EUR,8090255958,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra Caravan,1.7 CDTi Cosmo Plus ecoFlex,Diesel,Maio,2010,252 000 km,1 686 cm3,110 cv,,Sim,Sim,Carrinha,Preto,Metalizado,Manual,,5,,,,,,18 Meses,,Nacional,Sim,Sim,Sim,"5,60 l/100km",,Usados,6 450        EUR,8090020377,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Grand Scénic,1.5 dCi Dynamique S SS,Diesel,Novembro,2014,210 000 km,1 461 cm3,110 cv,,Sim,Sim,Monovolume,Preto,Metalizado,Manual,,5,7,,,,,18 Meses,,,Sim,Sim,Sim,"4,50 l/100km",,Usados,10 900        EUR,8090190614,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
