Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,IUC,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Inspecção válida até,Autonomia Máxima,Garantia de Fábrica até,ou até,IVA Discriminado,Filtro de partículas,Sub-modelo,Autonomia,Consumo,Bateria,Consumo Combinado,Gancho de Reboque,Clássico,Capacidade da bateria,Site,Portugal
Profissional,Fiat,Tipo Station Wagon,1.6 M-Jet Lounge DCT,Diesel,Abril,2018,110 955 km,1 598 cm3,120 cv,,Sim,Sim,Carrinha,Azul,,Automática,,5,5,,,,,18 Meses,1,Nacional,,,Sim,,,Usados,15 599        EUR,8090054008,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,530,e iPerformance,Híbrido (Gasolina),Setembro,2018,176 349 km,1 998 cm3,252 cv,Sim,Sim,Sim,Sedan,Preto,Metalizado,Automática,8,4,5,Classe 1,Tracção traseira,32 g/km,,18 Meses,,,Sim,,,,,Usados,27 490        EUR,8089628447,20 Agosto 2023,,,,,,,Série 5,,,,,,,,StandVirtual,Yes
Profissional,MINI,Electric,Cooper SE,Eléctrico,Abril,2021,12 513 km,,184 cv,Sim,Sim,Sim,Citadino,Preto,Metalizado,Automática,,3,4,,Tracção dianteira,,,18 Meses,,,,,,,,Usados,29 990        EUR,8089791228,20 Agosto 2023,,,,,Sim,,,230 km,"15,50 kWh/100km",Própria,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,CDi BE Aut.,Diesel,Novembro,2011,190 037 km,2 143 cm3,170 cv,Sim,Sim,Sim,Coupé,Preto,Metalizado,Automática,7,3,4,Classe 1,Tracção traseira,134 g/km,,18 Meses,,Nacional,Sim,Sim,Sim,"6,10 l/100km","4,20 l/100km",Usados,18 990        EUR,8090305014,20 Agosto 2023,,,,,,,Classe C,,,,,,,,StandVirtual,Yes
Profissional,BMW,X1,18 d sDrive Auto Line Sport,Diesel,Dezembro,2017,119 724 km,1 995 cm3,150 cv,Sim,,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,5,Classe 1,Tracção traseira,,,18 Meses,,,,,Sim,,,Usados,28 950        EUR,8088338194,20 Agosto 2023,,,,,,,Série X,,,,,,,,StandVirtual,Yes
Profissional,Audi,A4 Avant,2.0 TDI S tronic,Diesel,Abril,2017,138 199 km,1 968 cm3,190 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,7,5,5,,Tracção dianteira,109 g/km,,18 Meses,,,,,,"4,90 l/100km","3,80 l/100km",Usados,26 480        EUR,8089992120,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 220,D Avantgarde,Diesel,Novembro,2016,183 792 km,1 950 cm3,194 cv,Sim,Sim,Sim,Sedan,Azul,Metalizado,Automática,9,4,5,,Tracção traseira,138 g/km,,18 Meses,,,,,,"5,70 l/100km","4,10 l/100km",Usados,29 990        EUR,8089594341,20 Agosto 2023,,,,,,,Classe E,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Cabrio,2.0 TDI S tronic (clean diesel) S line Sport Pack,Diesel,Agosto,2014,135 559 km,1 968 cm3,150 cv,Sim,Sim,Sim,Cabrio,Vermelho,Metalizado,Automática,6,2,4,,Tracção dianteira,124 g/km,,18 Meses,,,,,,"5,50 l/100km","4,30 l/100km",Usados,19 990        EUR,8089953689,20 Agosto 2023,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,5008,BlueHDI 130 EAT8 Active Pack,Diesel,Dezembro,2019,120 000 km,1 499 cm3,130 cv,Sim,,Sim,SUV / TT,Preto,Metalizado,Automática,,5,,,,,,,,,,,,,,Usados,20 990        EUR,8090260391,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.0 TCe Limited,Gasolina,Setembro,2021,27 124 km,999 cm3,90 cv,Sim,Sim,Sim,Citadino,Azul,Metalizado,Manual,,5,5,Classe 1,,,,36 Meses,1,Nacional,Sim,Sim,Sim,,,Usados,17 290        EUR,8089445802,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.6 BlueHDi Style,Diesel,Maio,2015,105 300 km,1 560 cm3,120 cv,,Sim,Sim,Monovolume,Cinzento,Metalizado,Manual,,5,7,,,,,24 Meses,,Nacional,,,Sim,,,Usados,15 450        EUR,8088214579,20 Agosto 2023,01/05/2023,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDi BlueMotion Confortline,Diesel,Junho,2018,137 000 km,1 598 cm3,110 cv,,,Sim,Carrinha,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,18 Meses,1,Nacional,Sim,Sim,Sim,,,Usados,16 900        EUR,8090326383,20 Agosto 2023,,,01/01/2030,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,1.0 EcoBoost ST-Line,Gasolina,Março,2019,122 600 km,998 cm3,125 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,5,,,,,24 Meses,,Importado,Sim,Sim,Sim,,,Usados,17 750        EUR,8089373292,20 Agosto 2023,,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 160,Style,Gasolina,Março,2022,16 400 km,1 332 cm3,109 cv,Sim,,,Utilitário,Branco,,Manual,,5,5,,,,,24 Meses,,Nacional,,,,,,Usados,29 800        EUR,8089897818,20 Agosto 2023,,,,,,,Classe A,,,,"5,90 l/100km",,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake AMG Line,Diesel,Maio,2018,129 000 km,1 461 cm3,116 cv,,,,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,125 g/km,,18 Meses,,,Sim,Sim,Sim,,,Usados,23 990        EUR,8090309205,20 Agosto 2023,,,,,,,Classe CLA,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,TCe 90 R.S. LINE,Gasolina,Novembro,2022,8 336 km,999 cm3,91 cv,,Sim,Sim,Citadino,Vermelho,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,,,24 Meses,,,Sim,Sim,Sim,,,Usados,23 500        EUR,8089997289,20 Agosto 2023,,,01/11/2025,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,318 Gran Turismo,,Diesel,Agosto,2017,212 000 km,1 995 cm3,143 cv,,,,Carrinha,Cinzento,Metalizado,Manual,6,5,5,,Tracção traseira,,,,,,,,,,,Usados,16 950        EUR,8090230266,20 Agosto 2023,,,,,,,Série 3,,,,,1,,,StandVirtual,Yes
Profissional,Opel,Corsa,1.2 T Business Edition,Gasolina,Janeiro,2020,69 798 km,1 199 cm3,100 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,18 Meses,,,,Sim,Sim,"5,20 l/100km",,Usados,16 800        EUR,8089898291,20 Agosto 2023,,,,,,,,,,,,,Sim,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d Style Plus Aut.,Diesel,Novembro,2020,89 000 km,1 461 cm3,116 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Automática,7,5,5,Classe 1,,127 g/km,152 €,18 Meses,1,,Sim,Sim,Sim,,,Usados,28 900        EUR,8089289792,20 Agosto 2023,,,,,,Sim,Classe A,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus,1.0 EcoBoost S&S ST-Line,Gasolina,Março,2018,47 955 km,998 cm3,125 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,18 Meses,,,,Sim,Sim,,,Usados,18 500        EUR,8089990412,20 Agosto 2023,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.2 PureTech Allure Full LED,Gasolina,Junho,2022,12 482 km,1 199 cm3,130 cv,,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,24 Meses,,,Sim,Sim,Sim,,,Usados,28 500        EUR,8089990326,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Março,2022,17 833 km,998 cm3,72 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,,,24 Meses,,,Sim,Sim,Sim,,,Usados,19 500        EUR,8089989102,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,1.0 T-GDI 48V-Hybrid DCT Connect & Go,Gasolina,Junho,2022,12 074 km,998 cm3,100 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,24 Meses,,,Sim,Sim,Sim,,,Usados,21 750        EUR,8089988994,20 Agosto 2023,,,01/06/2027,,,Sim,,,,,,,Sim,,StandVirtual,Yes
Profissional,SEAT,Ateca,1.6 TDI Xcellence,Diesel,Julho,2017,60 028 km,1 598 cm3,115 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,36 Meses,,,,Sim,Sim,,,Usados,22 990        EUR,8087621110,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Grand Picasso,,Diesel,Outubro,2017,112 000 km,1 560 cm3,120 cv,,Sim,Sim,Monovolume,Cinzento,Metalizado,Automática,,7,7,Classe 1,,,,36 Meses,1,,Sim,Sim,Sim,,,Usados,19 500        EUR,8088327968,20 Agosto 2023,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,Grand C4 Spacetourer,1.5 BlueHDi Feel EAT8,Diesel,Abril,2019,155 731 km,1 499 cm3,130 cv,,Sim,Sim,Monovolume,Cinzento,Metalizado,Automática,,5,7,Classe 1,Tracção dianteira,,,18 Meses,,,,Sim,Sim,"4,40 l/100km",,Usados,21 500        EUR,8088085815,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3 Aircross,1.2 PureTech Shine,Gasolina,Fevereiro,2022,20 759 km,1 199 cm3,110 cv,,Sim,Sim,SUV / TT,Vermelho,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,24 Meses,,,,Sim,Sim,"5,90 l/100km",,Usados,19 250        EUR,8089713844,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 BlueHDi Allure,Diesel,Setembro,2017,157 798 km,1 560 cm3,120 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,18 Meses,,,,Sim,Sim,"4,70 l/100km",,Usados,25 250        EUR,8089711377,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,EQ Prime,Eléctrico,Janeiro,2020,17 682 km,,82 cv,,Sim,Sim,Pequeno citadino,Preto,Metalizado,Automática,,3,2,,,,,24 Meses,,,Sim,Sim,Sim,,,Usados,20 990        EUR,8089090779,20 Agosto 2023,,,01/01/2028,,,,,160 km,"17,40 kWh/100km",,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.2 PureTech Active,Gasolina,Setembro,2022,9 km,1 199 cm3,102 cv,,Sim,Sim,SUV / TT,Branco,,Manual,,5,5,,,,,24 Meses,1,Importado,,,,,,Usados,33 500        EUR,8089820819,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Mokka-e,Edition,Eléctrico,Agosto,2022,5 km,,136 cv,,Sim,Sim,SUV / TT,Preto,,Automática,,5,,,,,,36 Meses,,Importado,,,,,,Usados,32 500        EUR,8089161309,20 Agosto 2023,,,,,Sim,,,,,Aluguer,,,,,StandVirtual,Yes
Profissional,Jaguar,F-Pace,2.0 i4D Prestige Aut.,Diesel,Janeiro,2019,149 000 km,1 999 cm3,180 cv,,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,,5,5,Classe 1,,,,18 Meses,,Nacional,Sim,Sim,Sim,,,Usados,35 900        EUR,8090253440,18 Agosto 2023,,,,,,,,,,,,,Sim,,StandVirtual,Yes
Profissional,Hyundai,Tucson,,Diesel,Julho,2021,61 904 km,1 598 cm3,116 cv,Sim,,Sim,SUV / TT,Outra,,Automática,,5,,,,,,36 Meses,,Nacional,,,,,,Usados,32 490        EUR,8090257708,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Cupra,Formentor,1.5 TSI,Gasolina,Janeiro,2023,6 980 km,1 498 cm3,150 cv,Sim,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,6,5,5,,Tracção dianteira,143 g/km,,36 Meses,,,,,,"6,30 l/100km","4,90 l/100km",Usados,33 980        EUR,8090308863,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,420 Gran Coupé,d Advantage Auto,Diesel,Junho,2019,50 611 km,1 995 cm3,190 cv,Sim,Sim,Sim,Sedan,Branco,Metalizado,Automática,8,5,5,,Tracção traseira,127 g/km,,36 Meses,,,,,,,,Usados,33 800        EUR,8090309209,20 Agosto 2023,,,,,,,Série 4,,,,,,,,StandVirtual,Yes
Profissional,VW,Sharan,2.0 TDI Highline DSG,Diesel,Outubro,2019,73 576 km,1 968 cm3,177 cv,,Sim,Sim,Monovolume,Azul,Metalizado,Automática,6,5,7,Classe 1,Tracção dianteira,182 g/km,,18 Meses,,Nacional,Sim,,Sim,"6,50 l/100km","5,10 l/100km",Usados,37 400        EUR,8090018636,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Sharan,2.0 TDI Highline DSG,Diesel,Junho,2019,76 214 km,1 968 cm3,150 cv,Sim,Sim,Sim,Monovolume,Cinzento,Metalizado,Automática,6,5,7,Classe 1,Tracção dianteira,137 g/km,,18 Meses,,Nacional,Sim,,Sim,"5,90 l/100km","4,70 l/100km",Usados,36 300        EUR,8089658461,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Sharan,2.0 TDI Highline DSG,Diesel,Janeiro,2020,87 062 km,1 968 cm3,150 cv,,Sim,,Monovolume,Cinzento,Metalizado,Automática,6,5,7,Classe 1,Tracção dianteira,179 g/km,,18 Meses,1,Nacional,Sim,Sim,Sim,"6,30 l/100km",5 l/100km,Usados,36 400        EUR,8089820151,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 220,d Shooting Brake Style Plus Aut.,Diesel,Junho,2020,68 000 km,1 950 cm3,190 cv,Sim,Sim,Sim,Carrinha,Preto,,Automática,,5,5,Classe 1,,,,18 Meses,,Nacional,Sim,,Sim,,,Usados,39 990        EUR,8089948025,20 Agosto 2023,,,,,,,Classe CLA,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,EV 64kWh Premium,Eléctrico,Abril,2019,71 000 km,,204 cv,Sim,Sim,Sim,SUV / TT,Cinzento,,Automática,,5,5,Classe 1,,,,18 Meses,,Nacional,Sim,Sim,Sim,,,Usados,32 990        EUR,8089636074,20 Agosto 2023,,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Sharan,2.0 TDI Blue Highline DSG,Diesel,Dezembro,2017,121 731 km,1 968 cm3,184 cv,,Sim,Sim,Monovolume,Cinzento,Metalizado,Automática,6,5,7,Classe 1,Tracção dianteira,141 g/km,,18 Meses,,Nacional,Sim,,Sim,"6,10 l/100km","4,80 l/100km",Usados,31 200        EUR,8089963673,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Sharan,2.0 TDI Highline DSG,Diesel,Julho,2019,79 591 km,1 968 cm3,177 cv,,Sim,Sim,Monovolume,Preto,Metalizado,Automática,6,5,7,Classe 1,Tracção dianteira,182 g/km,,18 Meses,1,Nacional,Sim,,Sim,"6,50 l/100km","5,10 l/100km",Usados,37 200        EUR,8089963542,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Alhambra,2.0 TDi Xcellence,Diesel,Outubro,2019,60 899 km,1 968 cm3,150 cv,,Sim,Sim,Monovolume,Azul,Metalizado,Manual,6,5,7,Classe 1,Tracção dianteira,,,18 Meses,,Nacional,Sim,Sim,Sim,"6,10 l/100km",,Usados,33 200        EUR,8087921717,20 Agosto 2023,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 Hybrid Allure Pack e-EAT8,Híbrido (Gasolina),Julho,2021,46 815 km,1 598 cm3,225 cv,Sim,Sim,Sim,SUV / TT,Cinzento,,Automática,,5,5,,,29 g/km,,18 Meses,,Nacional,,,,,,Usados,36 750        EUR,8090318317,20 Agosto 2023,,,,,Sim,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,d Cabrio 9G-TRONIC AMG Line,Diesel,Maio,2017,98 000 km,2 143 cm3,170 cv,Sim,,,Cabrio,Cinzento,Metalizado,Automática,9,2,4,Classe 1,Tracção traseira,,,18 Meses,,,Sim,Sim,Sim,"5,20 l/100km",,Usados,37 990        EUR,8088332610,20 Agosto 2023,,,,,,,Classe C,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Pack M Auto,Diesel,Julho,2017,175 000 km,1 995 cm3,190 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção traseira,135 g/km,,18 Meses,,Nacional,Sim,Sim,Sim,,,Usados,32 990        EUR,8089925212,20 Agosto 2023,,,,,,,Série 5,,,,,,,,StandVirtual,Yes
Profissional,BMW,i3,94Ah +Comfort Package Advance,Eléctrico,Julho,2021,18 000 km,,170 cv,Sim,Sim,Sim,Utilitário,Branco,Metalizado,Automática,,5,4,,Tracção traseira,,,36 Meses,,Nacional,Sim,,Sim,,,Usados,31 790        EUR,8090053281,20 Agosto 2023,,,,,Sim,,Série i,235 km,,Própria,,,,,StandVirtual,Yes
Profissional,BMW,330,e Corporate Edition Auto,Híbrido (Gasolina),Novembro,2019,40 000 km,1 998 cm3,292 cv,,Sim,Sim,Sedan,Preto,Metalizado,Automática,8,4,5,Classe 1,Tracção traseira,30 g/km,,18 Meses,1,Nacional,Sim,Sim,Sim,,,Usados,37 490        EUR,8090294122,20 Agosto 2023,31/10/2023,,,,,,Série 3,,,,,,,,StandVirtual,Yes
Particular,BMW,640 Gran Coupé,d xDrive Pack M,Diesel,Maio,2015,205 000 km,2 993 cm3,313 cv,,,,Sedan,Preto,,Automática,,4,,,,,,,,,,,,"6,80 l/100km",,Usados,42 500        EUR,8090192610,20 Agosto 2023,,,,,,Sim,Série 6,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi GT Line EAT8,Diesel,Dezembro,2018,37 323 km,1 499 cm3,130 cv,Sim,Sim,Sim,Monovolume,Verde,Metalizado,Automática,8,5,7,,Tracção dianteira,136 g/km,,18 Meses,1,Nacional,Sim,,Sim,"4,40 l/100km","3,90 l/100km",Usados,33 000        EUR,8089870125,20 Agosto 2023,01/12/2024,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,Vito Tourer,114 CDi/34 Pro,Diesel,Junho,2019,121 500 km,1 950 cm3,136 cv,Sim,Sim,Sim,Carrinha,Preto,,Automática,9,4,9,,Tracção traseira,193 g/km,,36 Meses,,Nacional,Sim,,Sim,,,Usados,38 990        EUR,8090223378,20 Agosto 2023,,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,Vito Tourer,114 CDi/32 Pro,Diesel,Novembro,2019,120 000 km,1 950 cm3,136 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Automática,9,4,9,,Tracção traseira,193 g/km,,36 Meses,,Nacional,Sim,,Sim,,,Usados,37 990        EUR,8090223039,20 Agosto 2023,,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Kuga,1.5 TDCi EcoBlue Titanium,Diesel,Agosto,2022,36 000 km,1 499 cm3,120 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,123 g/km,,36 Meses,,Nacional,Sim,,Sim,"4,70 l/100km","3,80 l/100km",Usados,34 690        EUR,8089747737,20 Agosto 2023,,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,320,d Touring Pack M Auto,Diesel,Novembro,2015,123 040 km,1 995 cm3,190 cv,Sim,Sim,Sim,Carrinha,Cinzento,Mate,Automática,6,5,5,Classe 1,Tracção traseira,,,18 Meses,,Importado,,Sim,Sim,,,Usados,30 990        EUR,8089151186,20 Agosto 2023,,,,,,,Série 3,,,,,,,,StandVirtual,Yes
Profissional,BMW,320,d Touring Pack M Auto,Diesel,Dezembro,2015,121 368 km,1 995 cm3,190 cv,Sim,Sim,Sim,Carrinha,Cinzento,,Automática,8,5,5,Classe 1,Tracção traseira,,,18 Meses,,Importado,Sim,Sim,Sim,,,Usados,31 990        EUR,8089028065,20 Agosto 2023,,,,,,,Série 3,,,,,,,,StandVirtual,Yes
Particular,DS,DS7 Crossback,2.0 BlueHDi So Chic EAT8,Diesel,Outubro,2018,60 000 km,1 997 cm3,177 cv,Sim,,,SUV / TT,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,162 g/km,,,1,Nacional,Sim,Sim,Sim,"5,60 l/100km","4,40 l/100km",Usados,35 000        EUR,8089582913,20 Agosto 2023,12/10/2024,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf,R 4Motion (BlueMotion ) DSG,Gasolina,Abril,2015,151 000 km,1 984 cm3,310 cv,,Sim,Sim,Utilitário,Branco,Pérola,Automática,8,5,5,Classe 1,,,,18 Meses,,,Sim,Sim,Sim,,,Usados,33 990        EUR,8089441161,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake Progressive Aut.,Diesel,Setembro,2021,45 600 km,1 950 cm3,116 cv,Sim,,,Carrinha,Prateado,,Automática,,5,,,,,,24 Meses,,Nacional,,,,"6,40 l/100km","4,80 l/100km",Usados,35 500        EUR,8089897819,20 Agosto 2023,,,,,,,Classe CLA,,,,"5,40 l/100km",,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 200,d Shooting Brake AMG Line Aut.,Diesel,Setembro,2019,83 900 km,1 950 cm3,150 cv,,,Sim,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,134 g/km,,18 Meses,,,Sim,Sim,Sim,,,Usados,39 900        EUR,8089944840,20 Agosto 2023,,,,,,,Classe CLA,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 250,CDi BE Aut.,Diesel,Março,2016,144 000 km,2 143 cm3,204 cv,Sim,Sim,Sim,Coupé,Cinzento,,Automática,,3,4,Classe 1,,,,18 Meses,1,Nacional,,Sim,,,,Usados,34 500        EUR,8090155231,20 Agosto 2023,,,,,,Sim,Classe C,,,,,,,,StandVirtual,Yes
Profissional,Volvo,XC 40,2.0 D3 Inscription Geartronic,Diesel,Fevereiro,2020,16 495 km,1 969 cm3,150 cv,Sim,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,8,5,5,,,157 g/km,,18 Meses,,,,,,"5,90 l/100km","4,80 l/100km",Usados,44 850        EUR,8089792197,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,530,e iPerformance,Híbrido (Gasolina),Junho,2019,42 900 km,1 998 cm3,252 cv,Sim,Sim,Sim,Sedan,Preto,,Automática,,4,5,Classe 1,,,,18 Meses,,,,Sim,Sim,,,Usados,38 450        EUR,8088787708,20 Agosto 2023,,,,,Sim,,Série 5,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V90,2.0 D4 Inscription Geartronic,Diesel,Março,2018,113 761 km,1 969 cm3,190 cv,Sim,,Sim,Carrinha,Preto,Metalizado,Automática,,5,5,,,119 g/km,,18 Meses,,,,,,"5,60 l/100km",,Usados,32 940        EUR,8089370346,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180 Limousine,d Progressive Aut.,Diesel,Maio,2020,37 039 km,1 461 cm3,116 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,7,4,5,,Tracção dianteira,124 g/km,,18 Meses,,,,,,"4,40 l/100km","3,80 l/100km",Usados,30 450        EUR,8089046366,20 Agosto 2023,,,,,,,Classe A,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 220,d AMG Line,Diesel,Maio,2017,119 000 km,1 950 cm3,194 cv,,,,Coupé,Cinzento,Metalizado,Automática,9,3,4,Classe 1,Tracção traseira,143 g/km,,18 Meses,,,Sim,Sim,Sim,"5,50 l/100km","4,10 l/100km",Usados,42 990        EUR,8090035753,20 Agosto 2023,,,,,,,Classe E,,,,,,,,StandVirtual,Yes
Particular,Tesla,Model S,75 Business Economy,Eléctrico,Dezembro,2017,151 603 km,,320 cv,,,,Sedan,Preto,Metalizado,Automática,,5,5,,Tracção traseira,,,,2,Importado,Sim,Sim,Sim,,,Usados,40 590        EUR,8090238167,19 Agosto 2023,21/12/2023,400 km,,,,,,350 km,"17,50 kWh/100km",Própria,,,,75 kWh,StandVirtual,Yes
Profissional,Mercedes-Benz,E 300,De Exclusive Line,Híbrido (Diesel),Fevereiro,2019,107 000 km,1 950 cm3,306 cv,,Sim,Sim,Sedan,Preto,,Automática,,4,5,,,,,24 Meses,1,Nacional,,Sim,Sim,,,Usados,36 950        EUR,8090081258,20 Agosto 2023,,,,,,,Classe E,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 250,e AMG Line,Híbrido (Gasolina),Dezembro,2020,28 000 km,1 332 cm3,218 cv,,,Sim,Utilitário,Branco,Metalizado,Automática,,5,,,,,,18 Meses,1,,Sim,Sim,Sim,,,Usados,35 500        EUR,8089944046,19 Agosto 2023,,,,,Sim,,Classe A,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,,Diesel,Setembro,2021,48 596 km,1 950 cm3,116 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,,Tracção dianteira,127 g/km,,24 Meses,,,Sim,Sim,Sim,"6,20 l/100km","3,80 l/100km",Usados,37 990        EUR,8089617999,20 Agosto 2023,,,,,,,Classe CLA,,,,,,,,StandVirtual,Yes
Profissional,Ford,Kuga,1.5 TDCi EcoBlue ST-Line,Diesel,Outubro,2022,22 000 km,1 499 cm3,120 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,123 g/km,,36 Meses,,Nacional,Sim,,Sim,"4,70 l/100km","3,80 l/100km",Usados,35 690        EUR,8089747695,20 Agosto 2023,,,,,Sim,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,C 220,D Avantgarde Aut.,Diesel,Junho,2017,207 000 km,2 143 cm3,170 cv,Sim,,,Sedan,Preto,,Automática,9,4,5,Classe 1,Tracção traseira,,,,,Nacional,,,,"5,40 l/100km",,Usados,31 200        EUR,8088452671,20 Agosto 2023,,1 100 km,,,,Sim,Classe C,,,,,,,,StandVirtual,Yes
