Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Inspecção válida até,Origem,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Garantia de Stand (incl. no preço),Livro de Revisões completo,Registo(s),Consumo Combinado,Autonomia Máxima,IUC,Sub-modelo,Garantia de Fábrica até,Autonomia,Bateria,Capacidade da bateria,ou até,Consumo,Site,Portugal,Data
Profissional,MINI,Cabrio,Cooper S,Gasolina,Julho,2015,59 322 km,1 598 cm3,184 cv,Cabrio,Branco,,Manual,6,3,4,Classe 1,Tracção dianteira,,1 Julho 2024,,Sim,Sim,,,Usados,,22 900,8089127063,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-s-ID8Pr9tl.html,Sim,,Sim,18 Meses,Sim,,"5,10 l/100km",,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Audi,A3 Sportback,30 TFSI Sport S tronic,Gasolina,Maio,2019,74 000 km,999 cm3,116 cv,Utilitário,Cinzento,Metalizado,Automática,5,5,5,Classe 1,Tracção dianteira,,,Nacional,,Sim,"5,80 l/100km",,Usados,,22 500,8088180201,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-30-tfsi-sport-s-tronic-ID8Pnb9n.html,,,Sim,24 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Nissan,Micra,1.0 IG-T Acenta,Gasolina,Dezembro,2022,3 900 km,999 cm3,92 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,Nacional,Sim,Sim,,,Usados,,17 500,8090432006,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-acenta-ID8PvCVO.html,,,Sim,24 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Nissan,Qashqai,1.2 DIG-T N-Connecta,Gasolina,Outubro,2018,49 540 km,1 197 cm3,115 cv,SUV / TT,Branco,,Manual,6,5,5,Classe 1,Tracção dianteira,,10 Outubro 2024,,Sim,Sim,,,Usados,,18 900,8091816616,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-2-dig-t-n-connecta-ID8PCr9e.html,Sim,,Sim,18 Meses,Sim,1,5 l/100km,,,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,BMW,216 Gran Tourer,d 7L Line Sport Auto,Diesel,Agosto,2019,185 000 km,1 496 cm3,116 cv,Monovolume,Cinzento,Metalizado,Automática,,5,,,,,,,,,,,Usados,,19 000,8091561117,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-gran-tourer-d-7l-line-sport-auto-ID8PBmGh.html,,,,,,,,,,Série 2,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Nissan,Juke,1.0 DIG-T N-Connecta,Gasolina,Janeiro,2023,1 000 km,999 cm3,114 cv,SUV / TT,Preto,,Manual,6,5,5,Classe 1,Tracção dianteira,,,Nacional,,,,,Usados,,22 500,8089388769,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-0-dig-t-n-connecta-ID8Psfyp.html,,Sim,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,SEAT,Leon,1.0 EcoTSI Style S/S,Gasolina,Dezembro,2019,45 000 km,999 cm3,115 cv,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,120 g/km,,Nacional,Sim,Sim,"5,60 l/100km","4,20 l/100km",Usados,,16 750,8090481353,8 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-1-0-ecotsi-style-s-s-ID8PvPMJ.html,,,,36 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,3008,PureTech 130 Stop & Start GPF EAT8 Active,Gasolina,Dezembro,2020,133 700 km,1 199 cm3,130 cv,SUV / TT,Cinzento,,Automática,8,5,5,Classe 1,Tracção dianteira,112 g/km,,,Sim,Sim,"5,60 l/100km","4,50 l/100km",Usados,,21 900,8091404288,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-puretech-130-stop-start-gpf-eat8-active-ID8PAHSM.html,,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,Opel,Adam,1.4 T S,Gasolina,Fevereiro,2017,37 000 km,1 364 cm3,150 cv,Citadino,Branco,,Manual,6,3,4,,Tracção dianteira,150 g/km,,,,,"8,10 l/100km","5,20 l/100km",Usados,Mostrar VIN,19 500,8091988168,8 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-adam-1-4-t-s-ID8PD9Mc.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Nissan,Micra,1.0 IG-T Acenta,Gasolina,Dezembro,2022,3 900 km,999 cm3,92 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,Nacional,Sim,Sim,,,Usados,,17 500,8090432006,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-acenta-ID8PvCVO.html,,,Sim,24 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Nissan,Qashqai,1.2 DIG-T N-Connecta,Gasolina,Outubro,2018,49 540 km,1 197 cm3,115 cv,SUV / TT,Branco,,Manual,6,5,5,Classe 1,Tracção dianteira,,10 Outubro 2024,,Sim,Sim,,,Usados,,18 900,8091816616,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-2-dig-t-n-connecta-ID8PCr9e.html,Sim,,Sim,18 Meses,Sim,1,5 l/100km,,,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,BMW,216 Gran Tourer,d 7L Line Sport Auto,Diesel,Agosto,2019,185 000 km,1 496 cm3,116 cv,Monovolume,Cinzento,Metalizado,Automática,,5,,,,,,,,,,,Usados,,19 000,8091561117,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-gran-tourer-d-7l-line-sport-auto-ID8PBmGh.html,,,,,,,,,,Série 2,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,BMW,318,d Touring Line Sport Auto,Diesel,Março,2018,130 000 km,1 995 cm3,150 cv,Carrinha,Dourado,Metalizado,Automática,8,5,5,Classe 1,Tracção traseira,159 g/km,,Importado,Sim,Sim,,,Usados,,22 900,8083937638,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-line-sport-auto-ID8P5nsV.html,,,Sim,18 Meses,,,,,,Série 3,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Citroën,C4,1.2 PureTech Feel Pack EAT8,Gasolina,Março,2021,14 000 km,1 199 cm3,131 cv,SUV / TT,Vermelho,,Automática,8,5,5,Classe 1,Tracção dianteira,130 g/km,1 Março 2025,Importado,,Sim,"5,60 l/100km","4,40 l/100km",Usados,,23 450,8089839422,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-1-2-puretech-feel-pack-eat8-ID8Pu8N0.html,,,Sim,24 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,Volvo,V40 Cross Country,1.5 T3 Geartronic,Gasolina,Outubro,2018,44 000 km,1 498 cm3,152 cv,Carrinha,Branco,,Automática,6,5,5,Classe 1,Tracção dianteira,134 g/km,10 Outubro 2024,Nacional,,Sim,7 l/100km,5 l/100km,Usados,Mostrar VIN,20 000,8091872566,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-cross-country-1-5-t3-geartronic-ID8PCFHE.html,,,,,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,308 SW,1.5 BlueHDi GT Line,Diesel,Novembro,2018,153 649 km,1 499 cm3,130 cv,Carrinha,Prateado,Metalizado,Manual,6,5,5,Classe 1,,,,Importado,,Sim,,,Usados,,16 900,8091665439,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-gt-line-ID8PBNOT.html,,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,BMW,116,d Aut. Sport Line,Diesel,Maio,2016,146 000 km,1 496 cm3,116 cv,Utilitário,Cinzento,Metalizado,Automática,8,5,5,Classe 1,Tracção traseira,,31 Maio 2024,Nacional,Sim,Sim,,,Usados,Mostrar VIN,17 950,8091886066,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-aut-sport-line-ID8PCJdo.html,,,Sim,18 Meses,,,,,,Série 1,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi GT Line,Diesel,Dezembro,2019,137 326 km,1 461 cm3,115 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,Importado,,Sim,,,Usados,,18 900,8091665426,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-gt-line-ID8PBNOG.html,,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,BMW,116,d Corporate Edition,Diesel,Junho,2020,146 000 km,1 496 cm3,116 cv,Utilitário,Cinzento,,Manual,6,5,5,,Tracção dianteira,,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,19 750,8091886012,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-corporate-edition-ID8PCJcv.html,Sim,,Sim,18 Meses,Sim,1,,,,Série 1,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,VW,Golf Variant,1.6 TDi Highline,Diesel,Novembro,2017,121 968 km,1 598 cm3,115 cv,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,,,Importado,,Sim,,,Usados,,16 900,8091665414,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-highline-ID8PBNOu.html,,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Audi,A6 Avant,2.0 TDi Business Line Sport S tronic,Diesel,Agosto,2016,205 000 km,1 968 cm3,190 cv,Carrinha,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,115 g/km,,Nacional,,Sim,"4,90 l/100km","4,10 l/100km",Usados,Mostrar VIN,23 950,8090482086,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a6-avant-2-0-tdi-business-line-sport-s-tronic-ID8PvPYy.html,,,,18 Meses,,,,,235 €,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,308,1.2 PureTech Active Pack,Gasolina,Junho,2023,16 084 km,1 199 cm3,130 cv,Sedan,Cinzento,,Manual,6,5,5,,Tracção dianteira,124 g/km,20 Junho 2027,Nacional,Sim,Sim,,,Usados,Mostrar VIN,24 240,8091890969,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-2-puretech-active-pack-ID8PCKut.html,,Sim,Sim,36 Meses,Sim,,,,,,20 Junho 2026,,,,,,StandVirtual,Yes,2024-03-10
Particular,Mercedes-Benz,C 300,h Avantgarde+,Híbrido (Diesel),Janeiro,2016,141 000 km,2 143 cm3,231 cv,Carrinha,Prateado,,Automática,,5,,,,,,,Sim,Sim,4 l/100km,,Usados,,26 500,8091889773,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-h-avantgarde-ID8PCKbb.html,,,,,Sim,,,,,Classe C,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Zoe,Intens 50 Flex,Eléctrico,Julho,2020,44 382 km,,136 cv,Citadino,Branco,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,7 Julho 2024,,,Sim,,,Usados,,18 900,8091816287,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-intens-50-flex-ID8PCr3W.html,Sim,,Sim,18 Meses,Sim,,,398 km,,,,,Própria,,,,StandVirtual,Yes,2024-03-10
Profissional,BMW,i3,s 120Ah,Eléctrico,Janeiro,2020,60 962 km,,184 cv,Citadino,Azul,Metalizado,Automática,,5,4,Classe 1,Tracção dianteira,,1 Janeiro 2026,,Sim,Sim,,,Usados,,24 900,8090922996,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-i3-s-120ah-ID8PyGG0.html,Sim,Sim,Sim,18 Meses,Sim,,,350 km,,Série i,,,,,,,StandVirtual,Yes,2024-03-10
Particular,Renault,Grand Scénic,,Diesel,Maio,2021,90 000 km,1 598 cm3,130 cv,Monovolume,Branco,Pérola,Automática,,5,7,,,,,,Sim,Sim,,,Usados,,23 500,8091621715,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-ID8PBCrF.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,208,1.5 BlueHDi Active,Diesel,Dezembro,2020,117 004 km,1 499 cm3,102 cv,Citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,14 Dezembro 2024,Nacional,,Sim,,,Usados,,16 750,8091868413,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-active-ID8PCECF.html,,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Limited,Diesel,Dezembro,2018,90 765 km,1 461 cm3,115 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Dezembro 2024,Nacional,Sim,Sim,,,Usados,,16 900,8090280042,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-limited-ID8PwZpM.html,Sim,,,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Honda,Civic,1.0 i-VTEC Executive CVT,Gasolina,Maio,2018,57 900 km,988 cm3,129 cv,Sedan,Preto,Metalizado,Automática,1,5,5,Classe 1,Tracção dianteira,114 g/km,29 Maio 2024,,Sim,Sim,"5,70 l/100km","4,60 l/100km",Usados,,22 900,8088084191,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/honda-civic-1-0-i-vtec-executive-cvt-ID8PmMaP.html,Sim,,Sim,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Mégane,TCe 140 GPF INTENS,Gasolina,Novembro,2019,76 351 km,1 332 cm3,140 cv,Utilitário,Azul,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,123 g/km,,,Sim,Sim,"7,20 l/100km","4,70 l/100km",Usados,,19 800,8090698481,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-tce-140-gpf-intens-ID8PxKgN.html,Sim,,Sim,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,SEAT,Leon,1.0 TSI Style,Gasolina,Dezembro,2020,46 700 km,999 cm3,110 cv,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,124 g/km,,Nacional,Sim,Sim,,,Usados,,21 800,8089344289,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-1-0-tsi-style-ID8Ps3YZ.html,Sim,,Sim,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,Mercedes-Benz,CLA 180,CDI StreetStyle,Diesel,Outubro,2018,90 000 km,1 461 cm3,109 cv,Coupé,Azul,,Manual,6,4,5,,Tracção dianteira,98 g/km,,,,,"4,30 l/100km","3,30 l/100km",Usados,Mostrar VIN,24 900,8092003307,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-cdi-streetstyle-ID8PDdIn.html,,,,,,,,,,Classe CLA,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Nissan,Qashqai,1.6 DCi TEKNA,Diesel,Janeiro,2019,135 500 km,1 598 cm3,130 cv,SUV / TT,Branco,Pérola,Manual,6,5,5,Classe 1,Tracção dianteira,,,,Sim,Sim,"5,10 l/100km",,Usados,,20 500,8091922653,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-6-dci-tekna-ID8PCSJw.html,,,Sim,36 Meses,Sim,,,950 km,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,A 180 Limousine,d Progressive Aut.,Diesel,Novembro,2019,50 000 km,1 461 cm3,116 cv,Utilitário,Preto,,Automática,,4,5,,,,,Importado,Sim,Sim,,,Usados,,29 950,8091404802,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-limousine-d-progressive-aut-ID8PAI14.html,Sim,,,18 Meses,,,,,,Classe A,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Clio,1.5 Blue dCi Zen,Diesel,Dezembro,2019,73 000 km,1 461 cm3,85 cv,Utilitário,Cinzento,,Manual,,5,5,,,,,Importado,Sim,,,,Usados,,17 750,8088472600,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-zen-ID8Popdu.html,Sim,,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,SEAT,Ibiza,1.0 TSI FR,Gasolina,Maio,2018,38 000 km,999 cm3,115 cv,Citadino,Branco,,Manual,,5,5,,,,,Nacional,,,,,Usados,,17 000,8091720366,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-tsi-fr-ID8PC26O.html,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,CLA 180,,Diesel,Abril,2018,78 525 km,1 461 cm3,109 cv,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,4 Abril 2024,Nacional,Sim,Sim,,,Usados,,25 900,8091875320,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-ID8PCGq4.html,Sim,,Sim,18 Meses,Sim,1,4 l/100km,,,Classe CLA,,,,,,,StandVirtual,Yes,2024-03-10
