Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Inspecção válida até,Origem,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Garantia de Stand (incl. no preço),Livro de Revisões completo,Registo(s),Consumo Combinado,Autonomia Máxima,IUC,Sub-modelo,Garantia de Fábrica até,Autonomia,Bateria,Capacidade da bateria,ou até,Consumo,Site,Portugal,Data
Particular,VW,Golf,2.0 TDI GTD,Diesel,Abril,2015,78 000 km,1 968 cm3,184 cv,Citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,109 g/km,2 Abril 2024,Importado,Sim,Sim,"5,30 l/100km",4 l/100km,Usados,Mostrar VIN,27 000,8091920606,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-2-0-tdi-gtd-ID8PCScu.html,,,,,Sim,1,,,"235,26 €",,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Dacia,Spring,Electric 45 Expression,Eléctrico,Abril,2023,7 250 km,,45 cv,Utilitário,Branco,,Automática,,5,4,,,,,Nacional,,,,,Usados,Mostrar VIN,18 790,8090770090,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-spring-electric-45-expression-ID8Py2TM.html,Sim,,Sim,25 Meses,,,,,,,28 Abril 2026,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,308,1.5 BlueHDi Style,Diesel,Maio,2019,137 980 km,1 499 cm3,102 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,118 g/km,27 Maio 2025,Nacional,Sim,Sim,"3,90 l/100km","3,20 l/100km",Usados,Mostrar VIN,16 990,8089854872,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-style-ID8PucOc.html,Sim,,Sim,18 Meses,Sim,1,,,"156,21 €",,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,A 180,d AMG Line,Diesel,Outubro,2015,130 000 km,1 461 cm3,109 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,105 g/km,23 Outubro 2024,Nacional,,Sim,"4,50 l/100km","3,60 l/100km",Usados,,17 750,8092002982,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-ID8PDdD8.html,,,,18 Meses,Sim,1,,,150 €,Classe A,,,,,,,StandVirtual,Yes,2024-03-10
Particular,Mercedes-Benz,A 180,Fleet Pack Urban Aut.,Gasolina,Dezembro,2018,71 015 km,1 595 cm3,122 cv,Citadino,Cinzento,Metalizado,Automática,7,5,5,,Tracção dianteira,108 g/km,,,,,"6,80 l/100km","4,60 l/100km",Usados,,26 800,8091986946,8 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-fleet-pack-urban-aut-ID8PD9su.html,,,,,,,,,,Classe A,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,2008,1.2 PureTech Allure Pack,Gasolina,Fevereiro,2023,1 km,1 199 cm3,130 cv,SUV / TT,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,Nacional,Sim,Sim,"5,30 l/100km",,Novos,,26 950,8089249256,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-pack-ID8PrFgc.html,,,Sim,36 Meses,Sim,,,,104 €,,28 Março 2026,,,,,,StandVirtual,Yes,2024-03-10
Particular,Hyundai,i20,1.2 Comfort,Gasolina,Julho,2021,30 100 km,1 197 cm3,84 cv,Citadino,Branco,,Manual,5,5,5,,Tracção dianteira,120 g/km,,Nacional,Sim,,"6,60 l/100km","4,50 l/100km",Usados,Mostrar VIN,17 500,8091997394,9 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-i20-1-2-comfort-ID8PDcb0.html,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Dacia,Jogger,1.0 ECO-G Extreme 7L Bi-Fuel,GPL,Janeiro,2024,1 km,999 cm3,101 cv,Monovolume,Branco,Metalizado,Manual,6,5,7,Classe 1,Tracção dianteira,136 g/km,,Nacional,Sim,Sim,"7,50 l/100km","6,10 l/100km",Usados,,24 950,8091303161,9 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-jogger-1-0-eco-g-extreme-7l-bi-fuel-ID8PAhzH.html,,Sim,Sim,18 Meses,Sim,,,,104 €,,1 Dezembro 2026,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,308,1.5 BlueHDi Style,Diesel,Maio,2019,137 980 km,1 499 cm3,102 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,118 g/km,27 Maio 2025,Nacional,Sim,Sim,"3,90 l/100km","3,20 l/100km",Usados,Mostrar VIN,16 990,8089854872,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-style-ID8PucOc.html,Sim,,Sim,18 Meses,Sim,1,,,"156,21 €",,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,A 180,d AMG Line,Diesel,Outubro,2015,130 000 km,1 461 cm3,109 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,105 g/km,23 Outubro 2024,Nacional,,Sim,"4,50 l/100km","3,60 l/100km",Usados,,17 750,8092002982,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-ID8PDdD8.html,,,,18 Meses,Sim,1,,,150 €,Classe A,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,MINI,Cooper,Auto,Gasolina,Setembro,2020,62 049 km,1 499 cm3,136 cv,Citadino,Branco,,Automática,,3,3,Classe 1,Tracção dianteira,,1 Setembro 2024,,Sim,Sim,,,Usados,,24 900,8090888085,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-cooper-auto-ID8PyxAW.html,Sim,Sim,Sim,18 Meses,Sim,,"5,10 l/100km",,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,BMW,i3,94Ah +Comfort Package Advance,Eléctrico,Setembro,2018,85 306 km,,170 cv,Citadino,Azul,Metalizado,Automática,,5,4,Classe 1,Tracção dianteira,,1 Setembro 2024,,Sim,Sim,,,Usados,,17 250,8090922992,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-i3-94ah-comfort-package-advance-ID8PyGFV.html,Sim,Sim,Sim,18 Meses,Sim,,,240 km,,Série i,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Scénic,ENERGY dCi 130 INITIALE PARIS,Diesel,Dezembro,2020,159 500 km,1 598 cm3,130 cv,Monovolume,Preto,,Manual,6,5,7,Classe 1,Tracção dianteira,,,,,Sim,,,Usados,,22 500,8091922646,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-scnic-energy-dci-130-initiale-paris-ID8PCSJo.html,,,Sim,36 Meses,Sim,1,,950 km,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,BMW,116,d EDynamics Advantage,Diesel,Fevereiro,2018,101 410 km,1 496 cm3,116 cv,Utilitário,Cinzento,,Manual,,5,5,Classe 1,,,,Nacional,Sim,Sim,,,Usados,,16 700,8091932539,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-edynamics-advantage-ID8PCWiX.html,,,Sim,18 Meses,Sim,,,,,Série 1,,,,,,,StandVirtual,Yes,2024-03-10
Particular,Hyundai,Ioniq,1.6 GDI HEV Hybrid Tech,Híbrido (Gasolina),Outubro,2018,110 000 km,1 580 cm3,141 cv,Utilitário,Cinzento,Metalizado,Automática,6,5,5,,Tracção traseira,105 g/km,30 Outubro 2024,Nacional,Sim,Sim,"3,60 l/100km","3,80 l/100km",Usados,Mostrar VIN,18 600,8091872547,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-ioniq-1-6-gdi-hev-hybrid-tech-ID8PCFHl.html,,,,,Sim,1,,50 km,144 €,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,VW,Passat Variant,2.0 TDI (BlueMotion ) Highline,Diesel,Fevereiro,2016,220 000 km,1 968 cm3,150 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,1 Fevereiro 2025,Nacional,Sim,Sim,"4,90 l/100km",,Usados,,15 950,8091820767,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-2-0-tdi-bluemotion-highline-ID8PCseb.html,,,,,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Abril,2021,142 000 km,1 461 cm3,116 cv,Utilitário,Branco,,Automática,,5,5,Classe 1,,,,Nacional,Sim,,,,Usados,,29 900,8091861200,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PCCKk.html,Sim,,Sim,18 Meses,,,,,,Classe A,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Nissan,Qashqai,1.5 dCi Acenta,Diesel,Julho,2018,123 000 km,1 461 cm3,110 cv,SUV / TT,Cinzento,,Manual,6,5,5,Classe 1,,,,Nacional,,,,,Usados,,19 900,8091503474,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-acenta-ID8PB7Gy.html,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,BMW,X2,16 d sDrive Auto Pack M,Diesel,Maio,2019,195 000 km,1 496 cm3,116 cv,SUV / TT,Preto,,Automática,,5,5,Classe 1,,,,Nacional,Sim,,,,Usados,,24 900,8091507094,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x2-16-d-sdrive-auto-pack-m-ID8PB8CV.html,Sim,,Sim,18 Meses,,,,,,Série X,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Nissan,Qashqai,1.5 dCi N-Connecta,Diesel,Março,2017,127 140 km,1 461 cm3,110 cv,SUV / TT,Preto,,Manual,,5,5,Classe 1,,,,Nacional,Sim,Sim,,,Usados,,17 200,8091927492,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-n-connecta-ID8PCTZy.html,,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Mégane,1.5 Blue dCi Limited,Diesel,Março,2019,111 304 km,1 461 cm3,115 cv,Utilitário,Prateado,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,Sim,Sim,,,Usados,Mostrar VIN,16 490,8091259931,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-blue-dci-limited-ID8PA6kr.html,Sim,,Sim,18 Meses,Sim,1,,,"158,29 €",,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,E 220,d Avantgarde,Diesel,Julho,2016,296 000 km,1 950 cm3,194 cv,Sedan,Preto,Metalizado,Automática,9,5,5,Classe 1,Tracção traseira,,,Nacional,Sim,Sim,"5,80 l/100km",,Usados,,20 990,8091902806,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-avantgarde-ID8PCNzo.html,,,Sim,18 Meses,Sim,1,,,,Classe E,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Audi,A3 Limousine,1.0 TFSI Design,Gasolina,Julho,2017,82 163 km,999 cm3,116 cv,Utilitário,Preto,Metalizado,Manual,6,4,5,Classe 1,Tracção dianteira,,11 Julho 2025,,Sim,Sim,,,Usados,,19 900,8091875305,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-limousine-1-0-tfsi-design-ID8PCGpP.html,Sim,,Sim,18 Meses,Sim,1,4 l/100km,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Volvo,V40,2.0 D2 Kinetic,Diesel,Abril,2017,94 310 km,1 969 cm3,120 cv,Utilitário,Azul,,Manual,,5,5,Classe 1,,,,Nacional,Sim,Sim,,,Usados,,15 700,8091923809,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d2-kinetic-ID8PCT29.html,,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,C 180,d Fleet Pack,Diesel,Agosto,2017,158 608 km,1 598 cm3,116 cv,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,,21 Agosto 2023,Nacional,,Sim,,,Usados,Mostrar VIN,18 990,8089425087,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-180-d-fleet-pack-ID8Psp0b.html,Sim,Sim,Sim,18 Meses,,,,,,Classe C,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Jeep,Renegade,1.6 MJD Limited,Diesel,Fevereiro,2016,91 490 km,1 598 cm3,120 cv,SUV / TT,Branco,,Manual,,5,5,Classe 1,,,,Nacional,Sim,Sim,,,Usados,,18 300,8091899641,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/jeep-renegade-1-6-mjd-limited-ID8PCMKl.html,,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Clio,1.5 Blue dCi RS Line,Diesel,Julho,2020,132 057 km,1 461 cm3,115 cv,Citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,Importado,,Sim,,,Usados,,17 900,8091665420,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-rs-line-ID8PBNOA.html,,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,508,1.5 BlueHDi Allure EAT8,Diesel,Abril,2019,55 400 km,1 499 cm3,130 cv,Sedan,Preto,,Automática,8,5,5,,Tracção dianteira,,16 Abril 2025,Nacional,,,,,Usados,,22 500,8091612869,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-508-1-5-bluehdi-allure-eat8-ID8PBA8Z.html,Sim,,Sim,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Opel,Grandland X,1.5 CDTI Edition AT,Diesel,Outubro,2019,91 300 km,1 499 cm3,130 cv,Monovolume,Cinzento,,Automática,6,5,5,Classe 1,Tracção dianteira,,1 Outubro 2025,Nacional,,Sim,"4,60 l/100km",,Usados,,20 750,8089061095,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-grandland-x-1-5-cdti-edition-at-ID8PqSjl.html,Sim,,Sim,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,2008,1.2 PureTech Active Pack,Gasolina,Fevereiro,2020,39 500 km,1 199 cm3,130 cv,SUV / TT,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,,6 Fevereiro 2026,Nacional,Sim,Sim,"5,30 l/100km",,Usados,,19 990,8089037396,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-active-pack-ID8PqM96.html,Sim,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,308 SW,1.5 BlueHDi GT Line,Diesel,Outubro,2018,82 000 km,1 499 cm3,130 cv,Carrinha,Cinzento,,Manual,6,5,5,,Tracção dianteira,126 g/km,1 Outubro 2024,Nacional,,Sim,"4,30 l/100km","3,50 l/100km",Usados,,17 990,8090009604,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-gt-line-ID8PuR3S.html,Sim,,Sim,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Dezembro,2018,104 610 km,1 598 cm3,115 cv,Carrinha,Prateado,,Manual,,5,5,Classe 1,,,,Nacional,Sim,Sim,,,Usados,,15 200,8091874131,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PCG6T.html,,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Mégane,,Diesel,Março,2020,161 000 km,1 500 cm3,116 cv,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,,,,Importado,,Sim,,,Usados,,17 999,8091922627,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-ID8PCSJ5.html,Sim,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Captur,1.5 dCi EDC,Diesel,Agosto,2018,157 800 km,1 461 cm3,90 cv,Citadino,Preto,,Automática,,5,5,,,,,Importado,,Sim,,,Usados,,15 500,8091386680,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-edc-ID8PADiM.html,,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mazda,6,2.2 Kombi SKYACTIV-D Aut. Center-Line,Diesel,Julho,2015,150 800 km,2 191 cm3,150 cv,Carrinha,Preto,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,Nacional,Sim,Sim,6 l/100km,,Usados,,16 000,8091762329,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mazda-6-2-2-kombi-skyactiv-d-aut-center-line-ID8PCd1D.html,,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Ford,EcoSport,1.0 EcoBoost Titanium Plus,Gasolina,Janeiro,2021,54 246 km,998 cm3,125 cv,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,,,119 g/km,,Nacional,Sim,,,,Usados,,17 750,8091802230,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-ecosport-1-0-ecoboost-titanium-plus-ID8PCnpc.html,Sim,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Fiat,500X,1.0 FireFly Cross,Gasolina,Agosto,2021,56 725 km,999 cm3,120 cv,SUV / TT,Branco,Metalizado,Manual,6,5,5,,,142 g/km,,Importado,Sim,,,,Usados,Mostrar VIN,16 900,8090922581,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-0-firefly-cross-ID8PyGzj.html,Sim,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Abril,2017,111 680 km,1 598 cm3,115 cv,Carrinha,Prateado,,Manual,,5,5,Classe 1,,,,Nacional,Sim,Sim,,,Usados,,15 200,8091876008,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PCGBa.html,,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,2008,1.6 BlueHDi GT Line,Diesel,Janeiro,2017,89 000 km,1 560 cm3,100 cv,SUV / TT,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,97 g/km,,,Sim,Sim,"3,90 l/100km","3,30 l/100km",Usados,,17 200,8090032028,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-gt-line-ID8PuVTy.html,,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Mégane,1.5 Blue dCi Limited EDC,Diesel,Junho,2020,9 522 km,1 461 cm3,115 cv,Utilitário,Cinzento,,Automática,,5,5,,,,,Nacional,,Sim,,,Usados,,22 990,8091916779,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-blue-dci-limited-edc-ID8PCRcL.html,Sim,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Alfa Romeo,Stelvio,2.2 D Super AT8,Diesel,Maio,2019,40 150 km,2 143 cm3,180 cv,SUV / TT,Vermelho,,Automática,,5,5,,,,,Nacional,Sim,Sim,,,Usados,,37 990,8087596013,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-stelvio-2-2-d-super-at8-ID8PkJaZ.html,Sim,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Jaguar,XF Sportbrake,2.0 D R-Sport AWD Aut.,Diesel,Outubro,2017,130 000 km,1 999 cm3,180 cv,Carrinha,Preto,Metalizado,Automática,7,5,5,Classe 1,,,,,Sim,Sim,"5,80 l/100km",,Usados,Mostrar VIN,31 000,8086901146,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-xf-sportbrake-2-0-d-r-sport-awd-aut-ID8PhOps.html,Sim,,Sim,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,GLC 250,d AMG Line 4-Matic,Diesel,Setembro,2015,172 000 km,2 143 cm3,204 cv,SUV / TT,Cinzento,Metalizado,Automática,9,5,5,Classe 1,Integral,186 g/km,,Nacional,,Sim,7 l/100km,"5,60 l/100km",Usados,,33 500,8091298737,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-250-d-amg-line-4-matic-ID8PAgql.html,Sim,,Sim,18 Meses,Sim,1,,,270 €,Classe GLC,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,BMW,530,e iPerformance Pack M,Híbrido Plug-In,Março,2020,89 900 km,1 998 cm3,252 cv,Sedan,Preto,Metalizado,Automática,8,4,5,,Tracção traseira,135 g/km,,Nacional,Sim,Sim,"7,30 l/100km","5,20 l/100km",Usados,Mostrar VIN,36 946,8091953948,6 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-530-e-iperformance-pack-m-ID8PD0Sg.html,,,,24 Meses,,,,,,Série 5,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,A 250,e Progressive,Híbrido Plug-In,Setembro,2022,41 530 km,1 332 cm3,218 cv,Utilitário,Branco,Metalizado,Automática,8,5,5,,Tracção dianteira,,,Nacional,Sim,Sim,,,Usados,,37 500,8091250815,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-250-e-progressive-ID8PA3Xp.html,Sim,,,24 Meses,,,,,,Classe A,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Land Rover,Discovery Sport,2.0 TD4 HSE Luxury 7L Auto,Diesel,Março,2018,140 000 km,1 999 cm3,150 cv,SUV / TT,Cinzento,Metalizado,Automática,,5,7,,,,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,31 500,8091738333,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/land-rover-discovery-sport-2-0-td4-hse-luxury-7l-auto-ID8PC6MB.html,Sim,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Tesla,Model 3,Long Range AWD Dual Motor,Eléctrico,Dezembro,2022,21 500 km,,497 cv,Sedan,Preto,Metalizado,Automática,,4,,,,,,,,,,,Usados,,42 990,8091681669,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/tesla-model-3-long-range-awd-dual-motor-ID8PBS2F.html,,Sim,Sim,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,Mercedes-Benz,V 220,,Diesel,Fevereiro,2019,190 000 km,2 143 cm3,163 cv,Carrinha,Cinzento,,Automática,,5,,,,,,Importado,,Sim,,,Usados,,43 750,8091561140,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-v-220-ID8PBmGE.html,,,,,Sim,1,,,,Classe V,,,,,,,StandVirtual,Yes,2024-03-10
Particular,BMW,318,d Pack M Auto,Diesel,Agosto,2019,93 000 km,1 995 cm3,150 cv,Sedan,Preto,,Automática,8,4,5,,Tracção traseira,128 g/km,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,31 500,8091762458,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-318-d-pack-m-auto-ID8PCd3I.html,,,,,Sim,1,,,,Série 3,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,A 180,d AMG Line,Diesel,Janeiro,2023,8 700 km,1 950 cm3,116 cv,Utilitário,Preto,,Manual,6,5,5,,Tracção dianteira,126 g/km,31 Julho 2027,Nacional,Sim,Sim,"6,20 l/100km","3,80 l/100km",Usados,Mostrar VIN,39 900,8091498883,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-ID8PB6uw.html,,Sim,Sim,24 Meses,Sim,,,,,Classe A,31 Julho 2026,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mitsubishi,Eclipse Cross,,Híbrido (Gasolina),Novembro,2022,29 526 km,2 360 cm3,202 cv,SUV / TT,Cinzento,Metalizado,Automática,7,5,5,,Integral,46 g/km,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,36 990,8090279719,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-eclipse-cross-ID8PwZkz.html,Sim,Sim,Sim,36 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Setembro,2020,60 230 km,1 950 cm3,194 cv,Carrinha,Cinzento,Metalizado,Automática,9,5,5,Classe 1,Tracção traseira,,,Nacional,Sim,Sim,,,Usados,,38 300,8087431038,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-avantgarde-ID8Pk2g6.html,Sim,,,18 Meses,Sim,1,,,,Classe C,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mercedes-Benz,CLA 200,d Shooting Brake 8G-DCT AMG Line,Diesel,Maio,2020,43 300 km,1 950 cm3,150 cv,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,,,Importado,Sim,Sim,,,Usados,,37 300,8087296169,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-d-shooting-brake-8g-dct-amg-line-ID8PjtaN.html,Sim,,Sim,18 Meses,Sim,1,,,,Classe CLA,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Jaguar,I-Pace,EV400 AWD HSE,Eléctrico,Dezembro,2018,83 000 km,,400 cv,SUV / TT,Cinzento,Metalizado,Automática,1,5,,Classe 1,Integral,,,,Sim,Sim,,,Usados,,33 990,8091820491,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-i-pace-ev400-awd-hse-ID8PCs9J.html,Sim,Sim,,18 Meses,Sim,,,,,,,420 km,Própria,,,,StandVirtual,Yes,2024-03-10
Profissional,Toyota,Proace,,Diesel,Abril,2018,130 000 km,1 560 cm3,115 cv,Carrinha,Castanho,Metalizado,Manual,6,4,9,,,137 g/km,13 Abril 2025,Nacional,Sim,Sim,"5,60 l/100km",,Usados,,31 000,8092003341,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-proace-ID8PDdIW.html,Sim,,Sim,36 Meses,,2,,,,,,,,,,,StandVirtual,Yes,2024-03-10
