Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,IUC,Inspecção válida até,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Sub-modelo,Garantia de Fábrica até,ou até,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,Consumo Combinado,Consumo,Site,Portugal,Data
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Bose Edition SS,Diesel,Junho,2017,278 594 km,1 461 cm3,110 cv,Carrinha,Branco,,Manual,6,5,5,Tracção dianteira,93 g/km,,14 Junho 2024,Nacional,Sim,Sim,Sim,"3,90 l/100km","3,40 l/100km",Usados,Mostrar VIN,13 990,8091875598,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-bose-edition-ss-ID8PCGuy.html,Sim,,Sim,,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Ford,Fiesta,1.5 TDCi Connected,Diesel,Agosto,2019,92 260 km,1 499 cm3,85 cv,Utilitário,Prateado,Metalizado,Manual,6,5,5,,93 g/km,,,Importado,,Sim,,,,Usados,Mostrar VIN,14 900,8090917403,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-connected-ID8PyFdN.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Executive Active-Select,Diesel,Julho,2016,138 000 km,1 598 cm3,136 cv,Carrinha,Cinzento,Metalizado,Automática,,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,"6,50 l/100km",,Usados,Mostrar VIN,15 000,8091175449,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-executive-active-select-ID8PzKlP.html,,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Ford,Focus SW,1.0 SCTi Titanium,Gasolina,Março,2016,115 000 km,998 cm3,125 cv,Carrinha,Preto,,Manual,,5,5,,,,,Nacional,,,,,,Usados,,8 990,8091800315,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-scti-titanium-ID8PCmUj.html,Sim,,,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Honda,HR-V,1.6 i-DTEC Elegance,Diesel,Fevereiro,2016,312 427 km,1 597 cm3,120 cv,Carrinha,Cinzento,,Manual,,5,5,,,,,Nacional,,,,,,Usados,,8 990,8091630757,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/honda-hr-v-1-6-i-dtec-elegance-ID8PBENw.html,Sim,,,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,X-Trail,1.6 dCi 360,Diesel,Dezembro,2014,284 722 km,1 598 cm3,130 cv,Carrinha,Verde,,Manual,,5,7,,,,,Nacional,,,,,,Usados,,9 990,8091630749,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-x-trail-1-6-dci-360-ID8PBENn.html,Sim,,,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,2008,1.2 VTi Allure,Gasolina,Janeiro,2014,132 465 km,1 199 cm3,82 cv,Utilitário,Cinzento,,Manual,,5,5,,,,,Nacional,,,,,,Usados,,8 900,8091630739,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-vti-allure-ID8PBENd.html,Sim,,,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mitsubishi,Space Star,1.2 Intense,Gasolina,Maio,2022,31 813 km,1 193 cm3,71 cv,Citadino,Preto,,Manual,,5,5,,,,,Nacional,,,Sim,,,Usados,,12 950,8091566814,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-ID8PBoaa.html,Sim,,,,36 Meses,,,1 Janeiro 0001,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,116,d EDynamics Line Urban,Diesel,Junho,2015,199 851 km,1 598 cm3,116 cv,Coupé,Azul,Metalizado,Manual,6,3,5,Tracção traseira,99 g/km,,,Importado,Sim,Sim,Sim,"4,40 l/100km","3,40 l/100km",Usados,,13 900,8091439665,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-edynamics-line-urban-ID8PAR5n.html,,,Sim,Classe 1,24 Meses,2,Série 1,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Zoe,,Eléctrico,Julho,2019,35 000 km,,88 cv,Pequeno citadino,Azul,,Automática,,5,5,,,,,Importado,,,Sim,,,Usados,Mostrar VIN,13 000,8088514590,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-ID8PoA8K.html,,Sim,Sim,Classe 1,18 Meses,,,,,,150 km,,Própria,,,StandVirtual,Yes,2024-03-07
Particular,Renault,Grand Scénic,1.5 dCi Dynamique S SS,Diesel,Abril,2016,174 500 km,1 461 cm3,110 cv,Monovolume,Branco,,Manual,6,5,7,Tracção dianteira,105 g/km,,,,,,,"4,50 l/100km","3,90 l/100km",Usados,Mostrar VIN,9 990,8091885478,6 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-dynamique-s-ss-ID8PCJ3U.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,X-Trail,1.6 dCi 360,Diesel,Dezembro,2014,284 722 km,1 598 cm3,130 cv,Carrinha,Verde,,Manual,,5,7,,,,,Nacional,,,,,,Usados,,9 990,8091630749,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-x-trail-1-6-dci-360-ID8PBENn.html,Sim,,,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,2008,1.2 VTi Allure,Gasolina,Janeiro,2014,132 465 km,1 199 cm3,82 cv,Utilitário,Cinzento,,Manual,,5,5,,,,,Nacional,,,,,,Usados,,8 900,8091630739,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-vti-allure-ID8PBENd.html,Sim,,,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Citroën,C4 Grand Picasso,,Diesel,Março,2017,229 884 km,1 560 cm3,120 cv,Monovolume,Cinzento,,Automática,,5,7,,,,,Importado,,,,,,Usados,,9 490,8091557052,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-grand-picasso-ID8PBlCI.html,Sim,,,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Abril,2017,154 300 km,1 598 cm3,115 cv,Carrinha,Prateado,,Manual,,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,,13 200,8091284682,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PAcLE.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,Qashqai,1.5 dCi Tekna Premium 18 360,Diesel,Fevereiro,2015,140 000 km,1 461 cm3,109 cv,SUV / TT,Preto,Metalizado,Manual,6,5,5,Tracção dianteira,,,,,Sim,Sim,Sim,,,Usados,,14 990,8091969135,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-tekna-premium-18-360-ID8PD4Pd.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,500,1.2 8V Lounge,Gasolina,Fevereiro,2020,52 911 km,1 242 cm3,69 cv,Citadino,Branco,,Manual,5,3,4,Tracção dianteira,115 g/km,,28 Fevereiro 2026,,Sim,Sim,Sim,"6,20 l/100km","4,20 l/100km",Usados,Mostrar VIN,12 950,8091632851,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-8v-lounge-ID8PBFlh.html,Sim,Sim,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Clio,0.9 TCe Limited Bi-Fuel,GPL,Maio,2019,81 000 km,898 cm3,90 cv,Citadino,Preto,Metalizado,Manual,5,5,5,Tracção dianteira,132 g/km,108 €,,Nacional,Sim,Sim,Sim,"8,70 l/100km","5,80 l/100km",Usados,Mostrar VIN,13 950,8091790442,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-bi-fuel-ID8PCkl4.html,,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Opel,Astra Sports Tourer,,Diesel,Fevereiro,2017,316 000 km,1 598 cm3,110 cv,Carrinha,Prateado,,Manual,,5,5,,95 g/km,,,,,,,,,Usados,Mostrar VIN,7 900,8091587861,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-ID8PBtDD.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Setembro,2018,118 000 km,1 461 cm3,110 cv,Carrinha,Azul,Metalizado,Manual,6,5,5,Tracção dianteira,95 g/km,,,Nacional,Sim,Sim,Sim,"4,20 l/100km","3,40 l/100km",Usados,,12 999,8091969142,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PD4Pk.html,Sim,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,208,1.6 BlueHDi Style,Diesel,Março,2016,130 321 km,1 560 cm3,100 cv,Citadino,Preto,,Manual,,5,5,,,,,Nacional,,,Sim,"3,80 l/100km",,Usados,,13 450,8089510611,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-style-ID8PsLfB.html,,,,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Fevereiro,2018,101 000 km,1 461 cm3,90 cv,Citadino,Preto,Metalizado,Manual,5,5,5,Tracção dianteira,127 g/km,147 €,,Nacional,Sim,Sim,Sim,"4,30 l/100km","3,60 l/100km",Usados,Mostrar VIN,13 950,8091386011,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8PAD7Z.html,,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Dacia,Sandero,1.0 SCe Comfort,Gasolina,Agosto,2019,144 200 km,999 cm3,75 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Tracção dianteira,130 g/km,,,Importado,Sim,Sim,Sim,6 l/100km,"4,80 l/100km",Usados,Mostrar VIN,9 500,8091968992,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-0-sce-comfort-ID8PD4MU.html,Sim,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,500C,1.2 Lounge,Gasolina,Maio,2018,34 000 km,1 242 cm3,69 cv,Cabrio,Azul,Metalizado,Manual,5,2,4,Tracção dianteira,105 g/km,108 €,,Nacional,Sim,Sim,Sim,"5,90 l/100km","5,10 l/100km",Usados,Mostrar VIN,13 950,8091442444,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-ID8PAROc.html,,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Opel,Astra,1.0 Innovation S/S,Gasolina,Maio,2019,63 000 km,999 cm3,105 cv,Utilitário,Preto,,Manual,5,5,5,Tracção dianteira,134 g/km,108 €,,Nacional,Sim,Sim,Sim,"5,50 l/100km","4,10 l/100km",Usados,Mostrar VIN,14 950,8091801892,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-0-innovation-s-s-ID8PCnjK.html,,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Dacia,Sandero,0.9 TCe SL Stepway of Life Easy-R,Gasolina,Setembro,2017,77 540 km,898 cm3,90 cv,SUV / TT,Azul,Metalizado,Automática,,5,5,Tracção dianteira,,,9 Setembro 2025,,Sim,Sim,Sim,,,Usados,,14 900,8091815699,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-sl-stepway-of-life-easy-r-ID8PCqUr.html,,,Sim,Classe 1,18 Meses,1,,,,,,,,4 l/100km,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,500,1.2 8V S&S Lounge,Gasolina,Março,2018,56 000 km,1 242 cm3,69 cv,Cabrio,Branco,,Manual,5,3,,Tracção dianteira,126 g/km,,,,,Sim,Sim,7 l/100km,"4,70 l/100km",Usados,,13 500,8091969000,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-8v-s-s-lounge-ID8PD4N2.html,,,,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,2008,1.6 BlueHDi Style,Diesel,Dezembro,2015,65 850 km,1 560 cm3,75 cv,SUV / TT,Preto,,Manual,,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,,12 700,8091490639,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-style-ID8PB4lx.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,Punto,1.2 Lounge S&S,Gasolina,Maio,2018,89 321 km,1 242 cm3,69 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Tracção dianteira,,,,Nacional,,,,"6,60 l/100km",,Usados,,10 700,8087035748,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-lounge-s-s-ID8Pinqs.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,SEAT,Ibiza,1.0 EcoTSI FR,Gasolina,Novembro,2017,78 450 km,999 cm3,115 cv,Utilitário,Branco,,Manual,,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,,14 600,8091855099,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-ecotsi-fr-ID8PCB9W.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,216 Active Tourer,d Advantage,Diesel,Março,2016,156 550 km,1 496 cm3,116 cv,Utilitário,Preto,,Manual,,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,,14 800,8090780544,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-advantage-ID8Py5Co.html,,,Sim,Classe 1,18 Meses,,Série 2,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,SEAT,Ibiza,SC 1.6 TDi FR 30 Anos,Diesel,Julho,2015,165 000 km,1 598 cm3,105 cv,Coupé,Branco,Metalizado,Manual,5,3,5,Tracção dianteira,109 g/km,,30 Junho 2024,Nacional,,,Sim,"5,10 l/100km","3,60 l/100km",Usados,,12 750,8091893137,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-6-tdi-fr-30-anos-ID8PCL3r.html,,,,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,B 180,CDi Urban,Diesel,Fevereiro,2015,210 000 km,1 461 cm3,109 cv,Utilitário,Cinzento,,Manual,6,5,5,,,140 €,28 Fevereiro 2023,Nacional,Sim,Sim,Sim,"4,90 l/100km",,Usados,,14 999,8088646568,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-b-180-cdi-urban-ID8Pp8tq.html,Sim,,Sim,Classe 1,18 Meses,2,Classe B,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Novembro,2018,149 512 km,1 461 cm3,90 cv,Carrinha,Cinzento,,Manual,,5,5,,,,,Nacional,Sim,,Sim,,,Usados,,11 990,8091852597,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PCAwz.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Twingo,0.9 TCe Sport,Gasolina,Abril,2015,96 000 km,898 cm3,90 cv,Citadino,Preto,,Manual,5,5,4,,,100 €,30 Abril 2024,Importado,,Sim,,"5,90 l/100km",,Usados,,11 950,8091220810,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-0-9-tce-sport-ID8PzV9s.html,Sim,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Alfa Romeo,MiTo,0.9 T TwinAir,Gasolina,Maio,2018,42 000 km,875 cm3,105 cv,Utilitário,Vermelho,,Manual,6,3,5,Tracção dianteira,99 g/km,,,Nacional,Sim,Sim,Sim,5 l/100km,"3,80 l/100km",Usados,Mostrar VIN,12 900,8090380341,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-0-9-t-twinair-ID8Pvpww.html,,,,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,VW,Golf,1.6 TDi Edition,Diesel,Janeiro,2014,181 863 km,1 598 cm3,105 cv,Citadino,Cinzento,Metalizado,Manual,,5,5,,,,,,,,,,,Usados,,12 750,8091875281,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-edition-ID8PCGpr.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,VW,Polo,,Gasolina,Abril,2021,77 800 km,999 cm3,80 cv,Utilitário,Preto,,Manual,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,14 790,8091861948,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-ID8PCCVo.html,Sim,,Sim,,18 Meses,,,,,,,,,"5,80 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,Dacia,Logan MCV,0.9 TCe Comfort,Gasolina,Janeiro,2020,66 499 km,898 cm3,90 cv,Carrinha,Vermelho,,Manual,,5,5,,,,,Nacional,Sim,,Sim,,,Usados,,14 990,8091852787,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-comfort-ID8PCAyD.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,Pulsar,1.5 dCi Visia,Diesel,Junho,2015,164 156 km,1 461 cm3,110 cv,Citadino,Preto,,Manual,6,5,5,,,,,Nacional,,,Sim,,,Usados,,11 999,8091740125,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-pulsar-1-5-dci-visia-ID8PC7fw.html,,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,Punto,1.3 M-Jet Easy S&S,Diesel,Abril,2018,118 500 km,1 248 cm3,95 cv,Citadino,Branco,,Manual,5,5,5,Tracção dianteira,89 g/km,,,,,,Sim,"4,40 l/100km","2,90 l/100km",Usados,Mostrar VIN,8 750,8090534755,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-3-m-jet-easy-s-s-ID8Px3G3.html,Sim,,Sim,,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Citroën,C3,Pure Tech Live,Gasolina,Agosto,2020,56 746 km,1 199 cm3,82 cv,Utilitário,Branco,Metalizado,Manual,5,5,5,,109 g/km,,,Importado,,Sim,,,,Usados,Mostrar VIN,12 990,8091860296,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-pure-tech-live-ID8PCCwK.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,208,1.5 BlueHDi Active,Diesel,Fevereiro,2019,82 955 km,1 499 cm3,102 cv,Utilitário,Azul,,Manual,,5,5,,,,,,,,,,,Usados,,13 500,8087716302,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-active-ID8Plet8.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Citroën,C4 Spacetourer,1.6 BlueHDi Shine EAT6,Diesel,Agosto,2020,140 120 km,1 560 cm3,120 cv,Monovolume,Cinzento,Metalizado,Automática,6,5,5,Tracção dianteira,103 g/km,,,Importado,Sim,,Sim,"4,40 l/100km","3,70 l/100km",Usados,,21 250,8091619150,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-spacetourer-1-6-bluehdi-shine-eat6-ID8PBBMi.html,,,,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,Qashqai,1.3 DIG-T Acenta,Gasolina,Maio,2023,10 000 km,1 332 cm3,140 cv,SUV / TT,Branco,Metalizado,Manual,6,5,5,,,,,Nacional,,Sim,Sim,,,Usados,,27 990,8091604058,6 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-3-dig-t-acenta-ID8PBxQS.html,Sim,,Sim,Classe 1,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,MINI,Cabrio,Cooper D Auto,Diesel,Agosto,2016,26 200 km,1 496 cm3,116 cv,Cabrio,Prateado,Metalizado,Automática,7,2,,Tracção dianteira,122 g/km,,,,,,,"4,50 l/100km","3,90 l/100km",Usados,,25 500,8091953254,6 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-d-auto-ID8PD0H4.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,VW,Golf,,Híbrido (Gasolina),Maio,2021,15 000 km,1 395 cm3,245 cv,Utilitário,Branco,,Automática,6,5,5,,26 g/km,,,,,Sim,Sim,,,Usados,,27 900,8091869718,6 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-ID8PCEXI.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Mégane,1.5 Blue dCi Zen,Diesel,Julho,2019,68 200 km,1 461 cm3,95 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,,,Usados,,16 400,8091305530,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-blue-dci-zen-ID8PAibU.html,Sim,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,SEAT,Leon,1.6 TDI Style S/S,Diesel,Maio,2018,112 050 km,1 598 cm3,115 cv,Utilitário,Cinzento,Metalizado,Manual,,5,5,Tracção dianteira,,,,Importado,Sim,Sim,Sim,,,Usados,,16 800,8091472411,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-style-s-s-ID8PAZBx.html,Sim,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Opel,Astra,1.6 CDTI Business Edition S/S,Diesel,Outubro,2017,154 572 km,1 598 cm3,95 cv,Utilitário,Branco,Metalizado,Manual,,5,5,,,,,Importado,,,Sim,,,Usados,Mostrar VIN,16 000,8091738456,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-business-edition-s-s-ID8PC6OA.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,A 160,CDi BE Style,Diesel,Junho,2016,108 257 km,1 461 cm3,90 cv,Citadino,Branco,,Manual,,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,,18 300,8091472421,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-160-cdi-be-style-ID8PAZBH.html,Sim,,Sim,,18 Meses,1,Classe A,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Ford,Focus,1.5 TDCi Titanium,Diesel,Junho,2017,72 800 km,1 499 cm3,120 cv,Carrinha,Cinzento,,Manual,,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,,15 700,8090300702,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-1-5-tdci-titanium-ID8Pv4N0.html,Sim,,Sim,,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,Qashqai,1.5 dCi Acenta,Diesel,Abril,2017,66 120 km,1 461 cm3,110 cv,SUV / TT,Branco,,Manual,,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,,19 990,8089512689,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-acenta-ID8PsLN7.html,Sim,,Sim,,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Peugeot,3008,BlueHDi 130 Stop & Start EAT8 Allure,Diesel,Fevereiro,2018,112 000 km,1 499 cm3,131 cv,SUV / TT,Branco,,Automática,8,5,5,Tracção dianteira,118 g/km,,,,Sim,Sim,Sim,,,Usados,Mostrar VIN,23 750,8091821120,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-bluehdi-130-stop-start-eat8-allure-ID8PCsjS.html,,,,Classe 1,,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,320,d Touring Line Luxury Purity,Diesel,Agosto,2018,154 000 km,1 995 cm3,190 cv,Carrinha,Preto,,Manual,6,5,5,,115 g/km,,,,,Sim,Sim,,,Usados,,24 290,8091452975,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-line-luxury-purity-ID8PAUy3.html,Sim,,Sim,Classe 1,18 Meses,,Série 3,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,Juke,1.0 DIG-T N-Connecta,Gasolina,Janeiro,2023,1 000 km,999 cm3,114 cv,SUV / TT,Preto,,Manual,6,5,5,Tracção dianteira,,,,Nacional,,,,,,Usados,,22 500,8089388769,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-0-dig-t-n-connecta-ID8Psfyp.html,,Sim,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,X1,16 d sDrive Line Sport,Diesel,Junho,2015,78 759 km,1 995 cm3,116 cv,SUV / TT,Preto,Metalizado,Manual,6,5,5,Tracção dianteira,,,6 Junho 2024,,Sim,Sim,Sim,,,Usados,,19 500,8091817214,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-line-sport-ID8PCriS.html,Sim,,Sim,Classe 1,18 Meses,1,Série X,,,,,,,4 l/100km,,StandVirtual,Yes,2024-03-07
