Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Autonomia,Capacidade da bateria,Bateria,Lotação,Origem,IVA Discriminado,IVA dedutível,Número de Mudanças,Emissões CO2,IUC,Inspecção válida até,Registo(s),Consumo Extra Urbano,Consumo Combinado,Autonomia Máxima,Filtro de partículas,Clássico,Sub-modelo,ou até,Garantia de Fábrica até,Consumo,Site,Portugal
Particular,Nissan,Juke,1.2 DIG-T Acenta,Gasolina,Julho,2015,69 690 km,1 197 cm3,115 cv,,,,SUV / TT,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,,,,Sim,"7,10 l/100km",Usados,12 000        EUR,8089696306,3 Agosto 2023,,,,5,,,,6,128 g/km,,,,"4,90 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Sandero,1.2 16V Confort Bi-Fuel 136g,Gasolina,Agosto,2013,146 000 km,1 149 cm3,74 cv,,Sim,Sim,Citadino,Branco,Mate,Manual,5,Classe 1,Tracção dianteira,36 Meses,Sim,Sim,Sim,"7,60 l/100km",Usados,8 000        EUR,8090086063,3 Agosto 2023,,,,5,Importado,,,5,136 g/km,,20/08/2024,1,"4,80 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.0 Hybrid Lounge,Gasolina,Dezembro,2020,59 000 km,999 cm3,70 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,3,,,18 Meses,Sim,Sim,Sim,,Usados,13 900        EUR,8089139479,3 Agosto 2023,,,,5,Nacional,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Junho,2019,69 939 km,1 242 cm3,69 cv,,Sim,Sim,Pequeno citadino,Branco,,Manual,3,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,13 500        EUR,8090154201,3 Agosto 2023,,,,5,Nacional,,,,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited,Gasolina,Fevereiro,2016,109 193 km,898 cm3,90 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,,,18 Meses,,,,,Usados,11 899        EUR,8090086334,3 Agosto 2023,,,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Março,2018,157 716 km,1 499 cm3,120 cv,Sim,,Sim,Carrinha,Branco,,Manual,5,,Tracção dianteira,18 Meses,Sim,Sim,,,Usados,13 790        EUR,8087576589,3 Agosto 2023,,,,5,Nacional,Sim,Sim,,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,108,1.0 VTi Active,Gasolina,Junho,2019,70 000 km,998 cm3,72 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,,Usados,10 499        EUR,8089518224,3 Agosto 2023,,,,4,Nacional,,,5,,,,1,,,,,,,,,,StandVirtual,Yes
Particular,Citroën,C-Elysée,BlueHDi Selection,Diesel,Junho,2018,345 000 km,1 560 cm3,99 cv,,,,Sedan,Cinzento,Metalizado,Manual,4,,Tracção dianteira,,,,Sim,"4,60 l/100km",Usados,8 000        EUR,8089697949,3 Agosto 2023,,,,5,,,,6,98 g/km,,,,"3,30 l/100km",,,Sim,,,,,,StandVirtual,Yes
Profissional,Audi,A6 Avant,2.0 TDi S-Line Multitronic,Diesel,Janeiro,2010,277 800 km,1 968 cm3,170 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,"7,40 l/100km",Usados,11 500        EUR,8089602319,3 Agosto 2023,,,,5,Nacional,,,,154 g/km,,,2,5 l/100km,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C-Elysée,1.6 HDi Seduction,Diesel,Março,2014,150 000 km,1 560 cm3,92 cv,Sim,Sim,Sim,Sedan,Preto,,Manual,4,,Tracção dianteira,36 Meses,Sim,Sim,,"4,80 l/100km",Usados,7 999        EUR,8089637841,3 Agosto 2023,,,,5,Nacional,,,5,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.5 TDCi Active+,Diesel,Setembro,2018,100 542 km,1 499 cm3,85 cv,,Sim,Sim,Citadino,Branco,,Manual,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,"4,40 l/100km",Usados,13 250        EUR,8087142828,3 Agosto 2023,,,,5,,Sim,Sim,6,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech GT Line,Gasolina,Maio,2017,80 000 km,1 199 cm3,110 cv,,Sim,Sim,Citadino,Preto,,Manual,3,Classe 1,,18 Meses,,Sim,Sim,,Usados,12 799        EUR,8089877423,3 Agosto 2023,,,,5,,,,5,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Sandero,Blue dCi 95 Comfort,Diesel,Setembro,2020,43 000 km,1 461 cm3,95 cv,,Sim,Sim,Citadino,Branco,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,"4,10 l/100km",Usados,14 499        EUR,8089959163,3 Agosto 2023,,,,5,Importado,,,5,94 g/km,,,1,"3,20 l/100km",,,Sim,,,,,,StandVirtual,Yes
Profissional,Citroën,DS5,,Diesel,Maio,2014,165 000 km,1 560 cm3,120 cv,Sim,Sim,Sim,Utilitário,Branco,Mate,Automática,5,,,18 Meses,Sim,Sim,Sim,,Usados,11 990        EUR,8090012929,3 Agosto 2023,,,,,Nacional,,,,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Honda,Civic,1.6 i-DTEC Comfort,Diesel,Agosto,2013,166 000 km,1 597 cm3,120 cv,,Sim,Sim,Utilitário,Verde,Metalizado,Manual,5,,,18 Meses,,Sim,Sim,4 l/100km,Usados,11 800        EUR,8086678519,3 Agosto 2023,,,,5,Nacional,,,6,98 g/km,,,,,,,,,,,,,StandVirtual,Yes
Particular,Ford,EcoSport,1.5-tdci,Diesel,Março,2014,104 000 km,1 499 cm3,90 cv,,,,Citadino,Branco,,Manual,5,,,,,,,,Usados,10 999        EUR,8089441247,3 Agosto 2023,,,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,B-Max,1.6 TDCi Trend,Diesel,Maio,2013,174 000 km,1 560 cm3,95 cv,,Sim,Sim,Monovolume,Branco,,Manual,5,,,18 Meses,,Sim,Sim,"4,70 l/100km",Usados,10 900        EUR,8089861544,3 Agosto 2023,,,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Maio,2018,51 996 km,898 cm3,90 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,"5,10 l/100km",Usados,12 950        EUR,8090149951,3 Agosto 2023,,,,5,Nacional,,,5,94 g/km,,,1,"3,70 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Aygo,1.0 Power Pack+AC,Gasolina,Setembro,2011,98 000 km,998 cm3,68 cv,Sim,Sim,Sim,Citadino,Azul,Metalizado,Manual,3,Classe 1,,18 Meses,,Sim,,"5,30 l/100km",Usados,6 550        EUR,8089036079,3 Agosto 2023,,,,4,,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,B 180,CDi BlueEfficiency,Diesel,Dezembro,2012,206 000 km,1 796 cm3,109 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,"5,40 l/100km",Usados,13 998        EUR,8087074099,3 Agosto 2023,,,,5,,,,6,,,18/12/2023,1,,,,Sim,,Classe B,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 8V S&S 120º,Gasolina,Setembro,2012,114 000 km,1 242 cm3,69 cv,,Sim,Sim,Citadino,Castanho,,Manual,3,,,18 Meses,Sim,Sim,Sim,,Usados,8 900        EUR,8089821956,3 Agosto 2023,,,,,,,,,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Shine Ed.Midnight,Diesel,Janeiro,2015,202 700 km,1 560 cm3,100 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,36 Meses,,Sim,Sim,,Usados,10 998        EUR,8089944823,3 Agosto 2023,,,,5,,,,5,,,09/01/2024,1,,,,Sim,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Junho,2017,122 000 km,1 499 cm3,120 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,"4,30 l/100km",Usados,13 900        EUR,8089822098,3 Agosto 2023,,,,5,Nacional,,,6,,,,1,,,,,,,,,,StandVirtual,Yes
Particular,SEAT,Ibiza,SC 1.2 TSi FR,Gasolina,Maio,2012,102 000 km,1 197 cm3,105 cv,Sim,,,Citadino,Preto,Metalizado,Manual,3,Classe 1,Tracção dianteira,,Sim,Sim,Sim,"6,50 l/100km",Usados,8 500        EUR,8089926911,3 Agosto 2023,,,,5,Importado,,,5,119 g/km,,,1,"4,40 l/100km",,,,,,103 000 km,,,StandVirtual,Yes
Profissional,Peugeot,108,1.0 VTi Style,Gasolina,Junho,2019,83 150 km,998 cm3,72 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,,Sim,"4,90 l/100km",Usados,11 750        EUR,8089579098,3 Agosto 2023,,,,4,Nacional,,,,110 g/km,,,,"3,60 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Renault,Twingo,1.0 SCe Luxe,Gasolina,Maio,2018,37 800 km,999 cm3,70 cv,Sim,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,,Sim,5 l/100km,Usados,12 250        EUR,8089954589,3 Agosto 2023,,,,4,Nacional,,,5,95 g/km,,,1,"3,70 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.0 TSI Xcellence,Gasolina,Janeiro,2018,100 800 km,999 cm3,95 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,Classe 2,Tracção dianteira,18 Meses,Sim,Sim,Sim,"5,70 l/100km",Usados,14 450        EUR,8090076186,3 Agosto 2023,,,,5,Importado,,,5,117 g/km,,,1,"4,10 l/100km",,,,,,,,,StandVirtual,Yes
Particular,Mazda,6,,Diesel,Setembro,2012,174 000 km,2 184 cm3,163 cv,Sim,,,Carrinha,Cinzento,Metalizado,Manual,5,Classe 1,,,,,Sim,,Usados,6 500        EUR,8090110435,3 Agosto 2023,,,,5,Nacional,,,6,196 g/km,,20/09/2023,1,,,,,,,,,,StandVirtual,Yes
Particular,Fiat,500,1.2 Lounge,Gasolina,Agosto,2016,89 500 km,1 242 cm3,69 cv,,,,Utilitário,Branco,,Manual,3,,Tracção dianteira,,,,,"5,90 l/100km",Usados,11 900        EUR,8090220927,3 Agosto 2023,,,,4,,,,5,129 g/km,,,,"4,40 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,0.8 cdi Passion 54 Softouch,Diesel,Janeiro,2013,135 018 km,799 cm3,54 cv,,Sim,Sim,Citadino,Branco,Metalizado,Automática,3,Classe 1,Tracção traseira,36 Meses,,,,"3,40 l/100km",Usados,7 950        EUR,8090220931,3 Agosto 2023,,,,2,,,,5,87 g/km,,,,"3,30 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,1.0 Passion 71,Gasolina,Junho,2016,114 991 km,999 cm3,71 cv,,Sim,Sim,Citadino,Preto,,Manual,5,Classe 1,Tracção traseira,18 Meses,Sim,Sim,Sim,"4,80 l/100km",Usados,9 450        EUR,8090149738,3 Agosto 2023,,,,4,,,,5,97 g/km,,,1,"3,80 l/100km",,,,,,,,,StandVirtual,Yes
Particular,Fiat,Panda,1.2 Lounge,Gasolina,Junho,2019,48 400 km,1 242 cm3,69 cv,,,,Citadino,Branco,,Manual,5,Classe 1,Tracção dianteira,,,Sim,Sim,"6,40 l/100km",Usados,10 500        EUR,8090220921,3 Agosto 2023,,,,5,Nacional,,,5,120 g/km,,24/06/2024,1,4 l/100km,,550 km,,,,,04/08/2024,,StandVirtual,Yes
Profissional,Toyota,Aygo,1.0 Power Pack+AC,Gasolina,Setembro,2012,124 000 km,998 cm3,68 cv,Sim,Sim,,Citadino,Cinzento,Metalizado,Manual,3,Classe 1,,18 Meses,,Sim,Sim,"5,30 l/100km",Usados,7 250        EUR,8088850006,3 Agosto 2023,,,,4,,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Aygo,1.0 Plus Sport Pack+VSC,Gasolina,Fevereiro,2013,89 000 km,998 cm3,68 cv,Sim,Sim,Sim,Citadino,Laranja,Metalizado,Manual,5,,,18 Meses,,Sim,Sim,,Usados,8 550        EUR,8089844972,3 Agosto 2023,,,,4,,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,107,1.0 Active,Gasolina,Setembro,2013,115 000 km,998 cm3,68 cv,Sim,,Sim,Citadino,Preto,Metalizado,Manual,5,,,18 Meses,,,Sim,"5,10 l/100km",Usados,7 550        EUR,8088838731,3 Agosto 2023,,,,4,,,,5,,,18/09/2023,,,,,,,,,,,StandVirtual,Yes
Particular,Kia,Rio,1.0 T-GDI TX,Gasolina,Maio,2017,90 500 km,998 cm3,100 cv,,,,Utilitário,Branco,Mate,Manual,5,Classe 1,Tracção dianteira,,Sim,,Sim,"5,90 l/100km",Usados,13 450        EUR,8090152655,3 Agosto 2023,,,,5,Nacional,,,5,138 g/km,105 €,,1,"4,60 l/100km",,740 km,,,,100 000 km,30/05/2024,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.0 Ti-VCT Titanium,Gasolina,Fevereiro,2017,69 170 km,998 cm3,80 cv,,Sim,Sim,Citadino,Branco,,Manual,5,Classe 1,,18 Meses,,Sim,Sim,"5,10 l/100km",Usados,13 750        EUR,8088904060,3 Agosto 2023,,,,5,Nacional,,,5,99 g/km,,,,,,,,,,140 000 km,12/02/2024,,StandVirtual,Yes
Profissional,Opel,Corsa,1.3 CDTi innovation,Diesel,Abril,2017,191 146 km,1 248 cm3,95 cv,Sim,,Sim,Citadino,Preto,,Manual,5,,Tracção dianteira,18 Meses,Sim,Sim,,,Usados,9 990        EUR,8088904999,3 Agosto 2023,,,,5,Nacional,Sim,Sim,,93 g/km,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Junho,2019,71 000 km,1 242 cm3,69 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Manual,3,,,18 Meses,Sim,Sim,Sim,,Usados,12 900        EUR,8088336931,3 Agosto 2023,,,,4,Nacional,Sim,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,,Diesel,Julho,2018,148 000 km,1 461 cm3,90 cv,,Sim,Sim,SUV / TT,Castanho,,Manual,5,Classe 1,,18 Meses,,Sim,Sim,,Usados,14 990        EUR,8089784270,3 Agosto 2023,,,,5,,,,5,,,01/07/2024,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Novembro,2017,94 000 km,1 598 cm3,110 cv,,Sim,Sim,Carrinha,Preto,,Manual,5,Classe 1,,18 Meses,,Sim,Sim,,Usados,14 990        EUR,8089232768,3 Agosto 2023,,,,5,,,,6,,,01/11/2023,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,0.9 Passion 90,Gasolina,Junho,2019,27 000 km,898 cm3,90 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,Classe 1,,18 Meses,Sim,Sim,Sim,,Usados,14 990        EUR,8088333650,3 Agosto 2023,,,,4,Nacional,,,5,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Twingo,1.0 SCe Limited,Gasolina,Março,2019,84 632 km,999 cm3,70 cv,,Sim,Sim,Citadino,Branco,,Manual,5,,,18 Meses,,,,5 l/100km,Usados,14 950        EUR,8088154479,3 Agosto 2023,,,,4,Nacional,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V60,1.6 D2 Drive Momentum Start/Stop,Diesel,Outubro,2012,181 000 km,1 560 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,36 Meses,,Sim,Sim,"5,20 l/100km",Usados,11 900        EUR,8090220923,3 Agosto 2023,,,,5,,,,,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza ST,,Diesel,Maio,2015,117 669 km,1 598 cm3,90 cv,,Sim,,Carrinha,Preto,Metalizado,Manual,5,Classe 1,,18 Meses,,Sim,,,Usados,12 480        EUR,8090220920,3 Agosto 2023,,,,5,Nacional,,,,109 g/km,"154,12 €",,1,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,308 SW,BlueHDi 120 Stop & Start Allure,Diesel,Fevereiro,2014,180 000 km,1 560 cm3,120 cv,,,,Carrinha,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,,,Sim,,"4,70 l/100km",Usados,9 650        EUR,8090102968,3 Agosto 2023,,,,5,Importado,,,6,102 g/km,,,1,"3,50 l/100km",,,Sim,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Abril,2017,147 695 km,1 461 cm3,90 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,5,,,18 Meses,,,Sim,,Usados,12 990        EUR,8089439643,3 Agosto 2023,,,,5,Nacional,Sim,,,82 g/km,,27/04/2025,1,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDI DPF MATCH,Diesel,Agosto,2012,265 000 km,1 598 cm3,105 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,,Sim,"5,70 l/100km",Usados,9 900        EUR,8090149473,3 Agosto 2023,,,,5,Importado,,,5,119 g/km,,15/08/2023,,"3,90 l/100km",,,Sim,,,,,,StandVirtual,Yes
Profissional,Fiat,Punto Evo,1.3 M-Jet Dynamic,Diesel,Fevereiro,2011,154 000 km,1 248 cm3,85 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,3,Classe 1,Tracção dianteira,18 Meses,,,Sim,"4,60 l/100km",Usados,7 990        EUR,8089983265,3 Agosto 2023,,,,5,Nacional,,,5,95 g/km,,,,3 l/100km,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Sport,Gasolina,Outubro,2015,26 269 km,1 242 cm3,69 cv,,Sim,,Citadino,Branco,,Manual,3,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,,,Usados,11 480        EUR,8090220914,3 Agosto 2023,,,,4,Nacional,,,,111 g/km,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 mhd Pure 61,Gasolina,Fevereiro,2012,80 500 km,999 cm3,61 cv,,Sim,Sim,Pequeno citadino,Branco,,Automática,3,,,18 Meses,,,,"4,50 l/100km",Usados,7 950        EUR,8088350584,3 Agosto 2023,,,,2,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra Sports Tourer,1.3 CDTi Selection S/S,Diesel,Maio,2015,148 790 km,1 248 cm3,95 cv,,Sim,Sim,Carrinha,Prateado,,Manual,5,,,18 Meses,,,Sim,,Usados,10 600        EUR,8088165695,3 Agosto 2023,,,,5,Nacional,,,,,,22/05/2023,1,,,,,,,,,,StandVirtual,Yes
Profissional,Mitsubishi,Space Star,1.2 Intense,Gasolina,Janeiro,2020,82 000 km,1 193 cm3,80 cv,,Sim,Sim,Citadino,Branco,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,,,,"5,30 l/100km",Usados,10 999        EUR,8088634504,3 Agosto 2023,,,,5,,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.0 TSI Confortline,Gasolina,Janeiro,2020,266 164 km,999 cm3,115 cv,Sim,,Sim,Carrinha,Cinzento,,Manual,5,,Tracção dianteira,18 Meses,Sim,Sim,,,Usados,13 990        EUR,8088904666,3 Agosto 2023,,,,5,Nacional,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Punto Evo,1.3 16V Multijet S&S,Diesel,Maio,2015,179 963 km,1 248 cm3,95 cv,,,Sim,Citadino,Preto,Pérola,Manual,5,,,18 Meses,,Sim,Sim,,Usados,7 850        EUR,8089916405,3 Agosto 2023,,,,5,Nacional,,,5,,,01/05/2024,1,,,,Sim,,,,,,StandVirtual,Yes
Profissional,Alfa Romeo,Giulietta,1.6 JTDm Exclusive,Diesel,Agosto,2014,139 968 km,1 598 cm3,105 cv,Sim,Sim,Sim,Utilitário,Preto,Mate,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,5 l/100km,Usados,14 500        EUR,8089113726,3 Agosto 2023,,,,5,Nacional,,,6,114 g/km,154 €,13/05/2024,1,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,DS3,1.6 BlueHDi Sport Chic,Diesel,Fevereiro,2015,137 524 km,1 560 cm3,120 cv,Sim,Sim,Sim,Citadino,Cinzento,,Manual,3,Classe 1,,18 Meses,Sim,Sim,Sim,"4,40 l/100km",Usados,13 950        EUR,8089772781,3 Agosto 2023,,,,4,Nacional,,,6,,,01/02/2024,1,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,118,d Line Urban,Diesel,Junho,2012,200 000 km,1 995 cm3,143 cv,,,,Citadino,Preto,,Manual,5,,,18 Meses,,Sim,Sim,,Usados,13 990        EUR,8090220901,3 Agosto 2023,,,,5,Importado,,,,,,,,,,,,,Série 1,,,,StandVirtual,Yes
Profissional,Citroën,DS3,1.4 e-HDi Chic CMP,Diesel,Setembro,2013,160 000 km,1 398 cm3,70 cv,Sim,Sim,Sim,Citadino,Dourado,Metalizado,Automática,3,Classe 1,Tracção dianteira,18 Meses,,,Sim,"3,60 l/100km",Usados,11 900        EUR,8089628622,3 Agosto 2023,,,,5,,,,,,,,1,,,,Sim,,,,,,StandVirtual,Yes
Profissional,Honda,Civic,1.6 i-DTEC Comfort,Diesel,Fevereiro,2013,110 723 km,1 597 cm3,120 cv,,,,Cabrio,Outra,,Manual,5,,,18 Meses,Sim,Sim,Sim,,Usados,13 750        EUR,8089966224,3 Agosto 2023,,,,5,Nacional,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,1.0 Passion 71,Gasolina,Setembro,2015,63 183 km,999 cm3,71 cv,,,,Citadino,Vermelho,,Manual,5,,,18 Meses,,,,,Usados,12 990        EUR,8087581196,3 Agosto 2023,,,,5,Importado,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Touran,1.6 TDI Confortline,Diesel,Maio,2014,197 000 km,1 598 cm3,110 cv,,Sim,Sim,Monovolume,Azul,Metalizado,Manual,5,,Tracção dianteira,18 Meses,,,Sim,"5,20 l/100km",Usados,13 250        EUR,8089822196,3 Agosto 2023,,,,7,,,,6,116 g/km,,,,"3,90 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,VW,New Beetle,,Diesel,Julho,2013,214 329 km,1 958 cm3,105 cv,,Sim,Sim,Citadino,Preto,,Manual,3,Classe 1,,18 Meses,,Sim,Sim,,Usados,11 890        EUR,8087716843,3 Agosto 2023,,,,4,,,,,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,0.9 Prime 90,Gasolina,Fevereiro,2015,81 000 km,898 cm3,90 cv,,Sim,Sim,Citadino,Vermelho,,Manual,5,Classe 1,,18 Meses,,Sim,Sim,"5,10 l/100km",Usados,11 720        EUR,8090139005,3 Agosto 2023,,,,4,Importado,,,,99 g/km,,,,"3,90 l/100km","4,30 l/100km",,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,0.9 TwinAir Lounge Dualogic S&S,Gasolina,Setembro,2016,104 000 km,875 cm3,85 cv,Sim,Sim,Sim,Citadino,Branco,,Automática,3,,,18 Meses,,,,,Usados,13 499        EUR,8089218723,3 Agosto 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Twingo,SCe 75 LIMITED,Gasolina,Março,2020,95 997 km,998 cm3,73 cv,,Sim,Sim,Citadino,Branco,,Manual,5,Classe 1,Tracção traseira,18 Meses,Sim,Sim,Sim,"5,40 l/100km",Usados,10 950        EUR,8090148864,3 Agosto 2023,,,,4,,,,5,100 g/km,,,1,"3,80 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Ford,Tourneo Connect,1.5 TDCi Titanium,Diesel,Agosto,2015,163 000 km,1 499 cm3,120 cv,,,,Carrinha,Branco,,Manual,5,,Tracção dianteira,24 Meses,,Sim,Sim,"4,70 l/100km",Usados,13 900        EUR,8090220896,3 Agosto 2023,,,,5,,,,5,,,,,"4,20 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Citroën,DS3,1.6 VTi So Chic,Gasolina,Agosto,2010,163 000 km,1 598 cm3,120 cv,Sim,Sim,Sim,Pequeno citadino,Cinzento,,Manual,3,,,18 Meses,,,Sim,,Usados,9 900        EUR,8090101034,3 Agosto 2023,,,,5,Importado,,,5,136 g/km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,1.5 dCi 360,Diesel,Junho,2012,148 160 km,1 461 cm3,110 cv,,Sim,Sim,SUV / TT,Branco,,Manual,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,"4,30 l/100km",Usados,12 900        EUR,8090148742,3 Agosto 2023,,,,5,Nacional,,,6,103 g/km,,,,"3,90 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Fevereiro,2016,97 496 km,898 cm3,90 cv,,Sim,Sim,Citadino,Vermelho,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,13 290        EUR,8089114933,3 Agosto 2023,,,,5,Nacional,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Particular,SEAT,Ibiza,SC 1.4 TSi FR DSG,Gasolina,Fevereiro,2012,95 000 km,1 390 cm3,150 cv,,,,Citadino,Cinzento,Metalizado,Automática,3,,,,,,,"7,50 l/100km",Usados,11 500        EUR,8089156202,3 Agosto 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Fiat,500C,1.2 Lounge,Gasolina,Julho,2018,64 000 km,1 242 cm3,69 cv,,,,Cabrio,Branco,,Manual,2,,Tracção dianteira,,,Sim,,"5,90 l/100km",Usados,13 900        EUR,8090220764,3 Agosto 2023,,,,4,,,,5,131 g/km,,,,"4,40 l/100km",,,,,,,,,StandVirtual,Yes
