Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Autonomia,Capacidade da bateria,Bateria,Lotação,Origem,IVA Discriminado,IVA dedutível,Número de Mudanças,Emissões CO2,IUC,Inspecção válida até,Registo(s),Consumo Extra Urbano,Consumo Combinado,Autonomia Máxima,Filtro de partículas,Clássico,Sub-modelo,ou até,Garantia de Fábrica até,Consumo,Site,Portugal
Profissional,Opel,Corsa,1.2 Enjoy,Gasolina,Agosto,2010,153 699 km,1 229 cm3,85 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,8 590        EUR,8088327806,3 Agosto 2023,,,,5,Nacional,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 Passion 71,Gasolina,Janeiro,2015,61 565 km,999 cm3,71 cv,,Sim,Sim,Pequeno citadino,Branco,Metalizado,Manual,3,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,10 550        EUR,8088438225,3 Agosto 2023,,,,2,Nacional,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,B-Max,1.0 EcoBoost Titanium,Gasolina,Fevereiro,2017,84 200 km,998 cm3,100 cv,,Sim,Sim,Monovolume,Castanho,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,,,Sim,,Usados,14 290        EUR,8088429972,3 Agosto 2023,,,,5,,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,SC 1.2 TSi Style,Gasolina,Novembro,2013,110 702 km,1 197 cm3,105 cv,,Sim,Sim,Citadino,Branco,,Manual,3,,,18 Meses,Sim,Sim,Sim,,Usados,10 390        EUR,8088772573,3 Agosto 2023,,,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,,Diesel,Novembro,2014,135 641 km,1 560 cm3,92 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,5,Classe 1,Tracção dianteira,18 Meses,Sim,,Sim,,Usados,13 890        EUR,8088677555,3 Agosto 2023,,,,5,Nacional,,,6,92 g/km,,,,,,,Sim,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 mhd Passion 71,Gasolina,Agosto,2013,91 206 km,999 cm3,71 cv,,Sim,Sim,Pequeno citadino,Branco,Metalizado,Automática,3,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,9 350        EUR,8089353497,3 Agosto 2023,,,,2,Nacional,,,,99 g/km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,KA,1.2 Titanium X,Gasolina,Julho,2015,121 749 km,1 242 cm3,69 cv,,Sim,Sim,Pequeno citadino,Vermelho,,Manual,3,Classe 1,Tracção dianteira,18 Meses,,,Sim,,Usados,8 690        EUR,8088772592,3 Agosto 2023,,,,4,,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Março,2016,138 456 km,1 199 cm3,110 cv,,Sim,Sim,Utilitário,Branco,Pérola,Manual,3,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,13 690        EUR,8087935615,3 Agosto 2023,,,,5,Nacional,,,5,99 g/km,"108,32 €",,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.2 12V Style,Gasolina,Fevereiro,2014,110 648 km,1 198 cm3,70 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,10 290        EUR,8088214403,3 Agosto 2023,,,,5,,,,5,125 g/km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.2 TSi Lounge,Gasolina,Maio,2015,125 842 km,1 197 cm3,90 cv,,Sim,Sim,Citadino,Preto,,Manual,5,,,18 Meses,,,Sim,,Usados,12 990        EUR,8088534452,3 Agosto 2023,,,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Honda,Civic,1.8 ES,Gasolina,Fevereiro,2010,105 000 km,1 799 cm3,140 cv,Sim,Sim,Sim,Sedan,Azul,,Manual,4,Classe 1,Tracção dianteira,36 Meses,Sim,,,"8,70 l/100km",Usados,8 990        EUR,8090150862,3 Agosto 2023,,,,5,Nacional,,,6,,,,1,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Mégane Sport Tourer,1.5 dCi Dynamique SS,Diesel,Abril,2014,199 500 km,1 461 cm3,110 cv,Sim,,,Carrinha,Preto,,Manual,5,,,,Sim,,Sim,,Usados,7 650        EUR,8090087612,3 Agosto 2023,,,,5,Importado,,,6,,,30/04/2024,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.0 EcoBoost Titanium,Gasolina,Julho,2017,69 472 km,998 cm3,100 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,5,,,18 Meses,,,,"5,40 l/100km",Usados,13 490        EUR,8090221567,3 Agosto 2023,,,,,Nacional,,,,97 g/km,,,,"3,60 l/100km","4,30 l/100km",,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Janeiro,2018,145 000 km,1 199 cm3,82 cv,,,Sim,Citadino,Branco,Metalizado,Manual,5,,,18 Meses,Sim,,Sim,"5,80 l/100km",Usados,12 750        EUR,8090150771,3 Agosto 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Volvo,V40 Cross Country,D2 Powershift,Diesel,Dezembro,2014,145 000 km,1 560 cm3,115 cv,,,,Sedan,Preto,Metalizado,Automática,5,Classe 1,Tracção dianteira,,Sim,,Sim,"4,50 l/100km",Usados,14 990        EUR,8089628482,3 Agosto 2023,,,,5,,,,6,108 g/km,145 €,,,"3,90 l/100km",,,Sim,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,,Gasolina,Novembro,2015,77 392 km,898 cm3,90 cv,Sim,Sim,Sim,Citadino,Branco,,Automática,5,,,18 Meses,,,,"5,10 l/100km",Usados,11 690        EUR,8090221563,3 Agosto 2023,,,,4,Nacional,,,,98 g/km,,,,"3,90 l/100km","4,30 l/100km",,,,,,,,StandVirtual,Yes
Profissional,Opel,Zafira,1.7 CDTI ecoFLEX Family Plus,Diesel,Dezembro,2011,199 000 km,1 686 cm3,125 cv,,,Sim,Monovolume,Preto,Metalizado,Manual,5,Classe 1,Integral,18 Meses,Sim,Sim,Sim,"6,10 l/100km",Usados,8 990        EUR,8090087323,3 Agosto 2023,,,,7,,,,,,,01/12/2023,1,,,,Sim,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Maio,2019,56 335 km,898 cm3,90 cv,Sim,Sim,Sim,Carrinha,Vermelho,,Manual,5,,,18 Meses,,,,,Usados,13 690        EUR,8090221557,3 Agosto 2023,,,,5,Nacional,,,,,,,,,"5,90 l/100km",,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Julho,2016,34 746 km,898 cm3,90 cv,Sim,Sim,Sim,Utilitário,Cinzento,,Manual,5,,,18 Meses,,,,"5,10 l/100km",Usados,13 490        EUR,8090221553,3 Agosto 2023,,,,5,,,,,94 g/km,,,,"3,70 l/100km","4,20 l/100km",,,,,,,,StandVirtual,Yes
Profissional,Renault,Laguna Break,2.0 DCi Dynamique S 4control,Diesel,Maio,2015,265 000 km,1 995 cm3,150 cv,,,,Carrinha,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,,,,"6,80 l/100km",Usados,11 990        EUR,8088721017,3 Agosto 2023,,,,5,Nacional,,,6,,,06/05/2023,1,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus,1.0 SCTi Trend,Gasolina,Fevereiro,2012,94 500 km,998 cm3,125 cv,Sim,,Sim,Citadino,Branco,,Manual,5,Classe 1,Tracção dianteira,18 Meses,,,,"6,30 l/100km",Usados,11 750        EUR,8090037459,3 Agosto 2023,,,,5,Nacional,,,6,114 g/km,,06/02/2024,1,"4,20 l/100km",,,,,,,,,StandVirtual,Yes
Particular,Smart,ForTwo,0.8 cdi Passion 54 Softouch,Diesel,Julho,2013,80 000 km,799 cm3,54 cv,,,,Cabrio,Azul,Metalizado,Automática,2,Classe 1,Tracção traseira,,,Sim,Sim,"3,40 l/100km",Usados,10 500        EUR,8089862665,3 Agosto 2023,,,,2,,,,5,87 g/km,,01/07/2024,1,"3,30 l/100km",,,,,,,,,StandVirtual,Yes
Particular,Nissan,Note,1.5 dCi Acenta Connect,Diesel,Julho,2015,92 000 km,1 461 cm3,90 cv,,,,Citadino,Cinzento,Metalizado,Manual,5,,,,,,,"4,20 l/100km",Usados,10 490        EUR,8090192786,2 Agosto 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Citroën,C4 Cactus,1.6 BlueHDi Feel ETG6,Diesel,Julho,2015,146 840 km,1 560 cm3,100 cv,,,,Pequeno citadino,Branco,Pérola,Automática,5,Classe 1,Tracção dianteira,,Sim,Sim,Sim,"3,90 l/100km",Usados,11 300        EUR,8090150639,3 Agosto 2023,,,,5,Nacional,,,6,89 g/km,130 €,,,"3,20 l/100km",,880 km,,Sim,,,,,StandVirtual,Yes
Profissional,MINI,One,D,Diesel,Novembro,2011,198 000 km,1 598 cm3,90 cv,,Sim,Sim,Utilitário,Cinzento,Mate,Manual,3,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,"4,20 l/100km",Usados,9 990        EUR,8089935899,3 Agosto 2023,,,,4,,,,6,99 g/km,,,,"3,50 l/100km",,,Sim,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Janeiro,2020,60 566 km,999 cm3,70 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,3,Classe 1,,18 Meses,,,Sim,,Usados,14 990        EUR,8089911257,3 Agosto 2023,,,,4,Importado,,,5,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure J17,Diesel,Maio,2018,176 000 km,1 560 cm3,120 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Manual,5,Classe 1,Tracção dianteira,36 Meses,Sim,Sim,Sim,,Usados,13 599        EUR,8089465412,3 Agosto 2023,,,,5,Nacional,,,6,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,1.5 dCi Sport,Diesel,Junho,2016,82 000 km,1 461 cm3,90 cv,,Sim,,SUV / TT,Bege,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,,Usados,14 500        EUR,8084658895,3 Agosto 2023,,,,5,,,,5,95 g/km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,,Diesel,Novembro,2014,122 000 km,1 398 cm3,68 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,Classe 1,Tracção dianteira,36 Meses,Sim,Sim,Sim,"4,50 l/100km",Usados,8 990        EUR,8089535791,3 Agosto 2023,,,,5,,,,5,,,,1,,,,Sim,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza ST,1.2 12V Fresc,Gasolina,Junho,2010,120 000 km,1 198 cm3,70 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Manual,5,Classe 1,Tracção dianteira,36 Meses,Sim,Sim,,,Usados,6 999        EUR,8089004308,3 Agosto 2023,,,,5,Nacional,,,5,,,,1,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500L,1.3 MJ Lounge,Diesel,Março,2014,117 000 km,1 248 cm3,85 cv,,Sim,Sim,Monovolume,Preto,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,,Usados,11 950        EUR,8089822821,3 Agosto 2023,,,,5,Nacional,,,6,,,,,,,,Sim,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 mhd Passion 71,Gasolina,Julho,2011,45 207 km,999 cm3,71 cv,Sim,Sim,Sim,Pequeno citadino,Prateado,,Automática,3,Classe 1,,18 Meses,Sim,Sim,Sim,,Usados,8 490        EUR,8089946066,3 Agosto 2023,,,,2,,,,,,,,,,,,,,,,,,StandVirtual,Yes
