Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Versão,Possibilidade de financiamento,Tipo de cor,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Origem,Não fumador,2º Chave,Consumo Urbano,Registo(s),Consumo Extra Urbano,Valor Fixo,Aceita retoma,IUC,Livro de Revisões completo,Sub-modelo,IVA Discriminado,Autonomia Máxima,Garantia de Fábrica até,ou até,Autonomia,Consumo,Bateria,Consumo Combinado,Capacidade da bateria,Site,Portugal
Profissional,Ford,Focus,Diesel,Abril,2013,126 000 km,1 560 cm3,115 cv,Utilitário,Cinzento,Manual,18 Meses,Usados,11 980        EUR,8090577252,11 Setembro 2023,1.6 TDCi Titanium,,Metalizado,6,5,5,Classe 1,Tracção dianteira,109 g/km,,,Nacional,,Sim,"5,10 l/100km",1,"3,70 l/100km",,,154 €,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500C,Gasolina,Outubro,2011,108 000 km,875 cm3,85 cv,Cabrio,Preto,Manual,18 Meses,Usados,13 750        EUR,8089125657,11 Setembro 2023,0.9 8V TwinAir by Gucci,Sim,,,2,4,,Tracção dianteira,95 g/km,,,,Sim,Sim,"4,70 l/100km",1,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,e-2008,Eléctrico,Março,2021,108 000 km,,136 cv,SUV / TT,Branco,Automática,,Usados,30 000        EUR,8090410949,8 Setembro 2023,GT,,Pérola,1,5,5,Classe 1,Tracção dianteira,,,,Nacional,Sim,Sim,,1,,,,,Sim,,,320 km,,,320 km,"17,80 kWh/100km",Própria,,,StandVirtual,Yes
Particular,BMW,320,Diesel,Novembro,2014,158 625 km,1 995 cm3,184 cv,Carrinha,Azul,Automática,,Usados,19 500        EUR,8090573434,10 Setembro 2023,d Touring Auto Line Sport,,Metalizado,,5,,,,,Sim,,,,,"5,60 l/100km",,,,,,,Série 3,,,,,,,,,,StandVirtual,Yes
Particular,SEAT,Leon,Diesel,Outubro,2017,144 500 km,1 598 cm3,115 cv,Utilitário,Cinzento,Manual,,Usados,15 400        EUR,8090583957,11 Setembro 2023,1.6 TDI FR S/S,,,5,5,5,,Tracção dianteira,127 g/km,,,,,,"4,80 l/100km",,"3,90 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,C 200,Diesel,Fevereiro,2018,102 000 km,1 598 cm3,136 cv,Carrinha,Azul,Automática,,Usados,25 700        EUR,8090583133,11 Setembro 2023,,Sim,,,5,5,Classe 1,Tracção traseira,,Sim,,Nacional,Sim,Sim,,1,,Sim,,,,Classe C,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,Gasolina,Setembro,2020,86 237 km,1 242 cm3,69 cv,Citadino,Preto,Automática,18 Meses,Usados,16 999        EUR,8089816504,11 Setembro 2023,1.2 Lounge Dualogic,Sim,,,3,,,,,,,Nacional,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,Gasolina,Novembro,2021,12 171 km,999 cm3,70 cv,Sedan,Branco,Manual,18 Meses,Usados,15 500        EUR,8090580043,11 Setembro 2023,1.0 Hybrid Cult,Sim,,6,3,4,,,,,,,,,,,,Sim,,,,,,,,,,,,"5,30 l/100km",,StandVirtual,Yes
Profissional,Fiat,500,Gasolina,Março,2021,10 292 km,999 cm3,70 cv,Sedan,Azul,Manual,18 Meses,Usados,16 250        EUR,8090580037,11 Setembro 2023,1.0 Hybrid Connect,Sim,,6,3,4,,,,,,,,,,,,Sim,,,,,,,,,,,,"5,30 l/100km",,StandVirtual,Yes
Profissional,Ford,Puma,Gasolina,Outubro,2020,83 000 km,998 cm3,125 cv,SUV / TT,Preto,Manual,18 Meses,Usados,20 500        EUR,8088744993,11 Setembro 2023,1.0 EcoBoost MHEV ST-Line,Sim,Metalizado,6,5,5,,Tracção dianteira,,,,Importado,,Sim,"4,90 l/100km",,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo Station Wagon,Diesel,Fevereiro,2018,151 000 km,1 598 cm3,120 cv,Carrinha,Branco,Manual,18 Meses,Usados,16 750        EUR,8087288733,11 Setembro 2023,1.6 M-Jet Lounge,Sim,,6,5,5,Classe 1,,,,,,,,,1,,,Sim,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,Diesel,Maio,2020,126 000 km,1 461 cm3,115 cv,Utilitário,Cinzento,Manual,18 Meses,Usados,20 900        EUR,8090230026,11 Setembro 2023,1.5 Blue dCi Zen,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,,Sim,,Importado,Sim,,"4,60 l/100km",1,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,Diesel,Outubro,2017,167 410 km,1 499 cm3,120 cv,Carrinha,Preto,Manual,18 Meses,Usados,16 900        EUR,8087079231,11 Setembro 2023,1.5 TDCi Titanium,Sim,,6,5,5,Classe 1,,,,,Nacional,Sim,Sim,,1,,,Sim,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
