Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Versão,Possibilidade de financiamento,Tipo de cor,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Origem,Não fumador,2º Chave,Consumo Urbano,Registo(s),Consumo Extra Urbano,Valor Fixo,Aceita retoma,IUC,Livro de Revisões completo,Sub-modelo,IVA Discriminado,Autonomia Máxima,Garantia de Fábrica até,ou até,Autonomia,Consumo,Bateria,Consumo Combinado,Capacidade da bateria,Site,Portugal
Profissional,Opel,Zafira,Diesel,Junho,2018,73 595 km,1 598 cm3,134 cv,Monovolume,Cinzento,Manual,18 Meses,Usados,22 499        EUR,8087912016,11 Setembro 2023,1.6 CDTi Innovation S/S,Sim,,,5,,,,,,,Nacional,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Grand Picasso,Diesel,Março,2016,146 081 km,1 560 cm3,120 cv,Monovolume,Azul,Automática,18 Meses,Usados,16 970        EUR,8090565761,11 Setembro 2023,1.6 BlueHDi Intensive EAT6 J17,Sim,Metalizado,6,5,7,Classe 1,,,,,Importado,,Sim,,1,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 250,Diesel,Maio,2015,226 000 km,2 143 cm3,204 cv,Carrinha,Cinzento,Automática,18 Meses,Usados,24 500        EUR,8090584509,11 Setembro 2023,BlueTEC Avantgarde+ Aut.,Sim,Metalizado,7,5,5,Classe 1,Tracção traseira,118 g/km,Sim,,Nacional,,Sim,"5,40 l/100km",1,"3,90 l/100km",,Sim,,Sim,Classe C,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,Gasolina,Março,2022,4 000 km,999 cm3,70 cv,Utilitário,Azul,Manual,24 Meses,Usados,17 950        EUR,8090584507,11 Setembro 2023,1.0 Hybrid Dolcevita,Sim,Metalizado,6,3,4,Classe 1,,,,,Nacional,Sim,Sim,,1,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus,Gasolina,Agosto,2023,32 km,998 cm3,125 cv,Utilitário,Preto,Manual,36 Meses,Novos,27 950        EUR,8090584508,11 Setembro 2023,1.0 EcoBoost MHEV ST-Line,Sim,Metalizado,6,5,5,Classe 1,,,,,Nacional,,Sim,,1,,Sim,Sim,,Sim,,,,01/01/0001,,,,,,,StandVirtual,Yes
Profissional,Opel,Crossland,Gasolina,Julho,2021,23 000 km,1 199 cm3,83 cv,SUV / TT,Branco,Manual,18 Meses,Usados,19 950        EUR,8090584505,11 Setembro 2023,1.2 GS Line,Sim,Metalizado,5,5,5,Classe 1,,,,,Nacional,,Sim,,1,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus,Gasolina,Agosto,2023,30 km,998 cm3,125 cv,Utilitário,Cinzento,Manual,36 Meses,Novos,27 950        EUR,8090584506,11 Setembro 2023,1.0 EcoBoost MHEV ST-Line,Sim,Metalizado,6,5,5,Classe 1,,,,,Nacional,,Sim,,1,,Sim,Sim,,Sim,,,,01/01/0001,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,Gasolina,Setembro,2019,90 534 km,1 332 cm3,160 cv,Carrinha,Preto,Automática,18 Meses,Usados,20 990        EUR,8090550010,11 Setembro 2023,TCe 160 GPF EDC R.S. LINE,Sim,Metalizado,,5,5,Classe 1,,117 g/km,,,Importado,Sim,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Grandland X,Diesel,Julho,2022,26 920 km,1 499 cm3,130 cv,SUV / TT,Preto,Automática,36 Meses,Usados,29 980        EUR,8090107338,11 Setembro 2023,1.5 CDTI GS Line AT,,Metalizado,,5,5,Classe 1,Tracção dianteira,110 g/km,,,Nacional,Sim,,,1,,,Sim,,,,Sim,,01/01/0001,,,,,,,StandVirtual,Yes
Particular,Renault,Grand Scénic,Diesel,Janeiro,2018,180 000 km,1 461 cm3,110 cv,Monovolume,Branco,Automática,,Usados,17 500        EUR,8089968992,11 Setembro 2023,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS5,Diesel,Janeiro,2018,150 664 km,1 560 cm3,120 cv,Utilitário,Azul,Automática,18 Meses,Usados,18 950        EUR,8089027996,11 Setembro 2023,1.6 BlueHDi So Chic EAT6,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,,,,,Sim,Sim,"4,80 l/100km",,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Grandland X,Diesel,Agosto,2018,112 321 km,1 560 cm3,120 cv,Monovolume,Preto,Automática,18 Meses,Usados,21 950        EUR,8089153825,11 Setembro 2023,1.6 Turbo D Dynamic,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,,,,,Sim,Sim,"4,60 l/100km",,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,Diesel,Setembro,2018,55 020 km,1 499 cm3,130 cv,Carrinha,Branco,Manual,18 Meses,Usados,17 250        EUR,8089944635,11 Setembro 2023,1.5 BlueHDi Active Pack,Sim,,6,5,5,Classe 1,Tracção dianteira,122 g/km,,,,Sim,Sim,"4,40 l/100km",,"3,30 l/100km",,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,Diesel,Outubro,2020,58 500 km,1 461 cm3,110 cv,SUV / TT,Vermelho,Manual,36 Meses,Usados,23 700        EUR,8090337238,11 Setembro 2023,,,Metalizado,6,5,5,Classe 1,,,,,Nacional,,,,1,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,Gasolina,Fevereiro,2019,58 345 km,898 cm3,90 cv,SUV / TT,Laranja,Manual,18 Meses,Usados,16 499        EUR,8090102471,11 Setembro 2023,0.9 TCE Exclusive,Sim,Metalizado,5,5,5,Classe 1,Tracção dianteira,146 g/km,,,,Sim,Sim,"6,30 l/100km",,"4,80 l/100km",,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,S-Max,Diesel,Janeiro,2017,137 700 km,1 997 cm3,180 cv,Monovolume,Preto,Manual,18 Meses,Usados,23 900        EUR,8088088854,11 Setembro 2023,2.0 TDCi Titanium,Sim,,,5,7,,,,Sim,,Nacional,Sim,Sim,,1,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mitsubishi,ASX,Diesel,Março,2016,149 950 km,1 560 cm3,114 cv,SUV / TT,Preto,Manual,18 Meses,Usados,15 250        EUR,8090584492,11 Setembro 2023,1.6 DI-D Tokyo Edition,,Metalizado,6,5,5,Classe 1,Tracção dianteira,119 g/km,,24/03/2024,Nacional,Sim,Sim,"5,20 l/100km",1,"4,20 l/100km",,,150 €,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,Gasolina,Setembro,2022,16 045 km,999 cm3,125 cv,Carrinha,Cinzento,Manual,36 Meses,Usados,28 990        EUR,8090297878,11 Setembro 2023,1.0 EcoBoost Hybrid ST-LINE,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,,Sim,,Nacional,,Sim,,1,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,Diesel,Março,2017,79 500 km,1 496 cm3,116 cv,Utilitário,Azul,Manual,36 Meses,Usados,19 900        EUR,8090438090,11 Setembro 2023,d EDynamics Line Sport,,,,5,,,,89 g/km,,,Nacional,,,"3,90 l/100km",,"3,10 l/100km",Sim,,,,Série 1,,,11/09/2026,,,,,"3,40 l/100km",,StandVirtual,Yes
Profissional,Toyota,C-HR,Híbrido (Gasolina),Outubro,2018,80 000 km,1 798 cm3,122 cv,SUV / TT,Cinzento,Automática,36 Meses,Usados,24 900        EUR,8090297866,11 Setembro 2023,1.8 HSD Exclusive+P.Luxury,Sim,Metalizado,,5,5,Classe 1,,,,,Nacional,Sim,Sim,,,,Sim,Sim,,,,,,03/10/2028,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,Diesel,Março,2018,93 329 km,1 560 cm3,100 cv,Citadino,Preto,Manual,18 Meses,Usados,15 950        EUR,8090183742,11 Setembro 2023,,Sim,Metalizado,5,5,5,Classe 1,,,Sim,,Nacional,,Sim,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Crossland,Gasolina,Julho,2022,27 500 km,1 199 cm3,83 cv,SUV / TT,Cinzento,Manual,36 Meses,Usados,19 990        EUR,8090058046,11 Setembro 2023,1.2 Design & Tech,,,,5,5,,,,,,Nacional,,,,,,Sim,,,,,,,11/09/2026,,,,,"5,90 l/100km",,StandVirtual,Yes
Profissional,Peugeot,208,Diesel,Maio,2023,6 000 km,1 499 cm3,102 cv,Utilitário,Cinzento,Manual,36 Meses,Usados,24 500        EUR,8090058074,11 Setembro 2023,1.5 BlueHDi Active Pack,,,,5,5,,,,,,Nacional,,,,,,Sim,,,,,,,11/09/2026,,,,,"4,10 l/100km",,StandVirtual,Yes
Profissional,Ford,Mondeo SW,Híbrido (Gasolina),Maio,2019,215 000 km,1 999 cm3,187 cv,Carrinha,Preto,Automática,18 Meses,Usados,20 900        EUR,8089237614,11 Setembro 2023,2.0 HEV Vignale,Sim,Metalizado,,5,5,Classe 1,,,,,,,Sim,"5,40 l/100km",,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C5 Aircross,Diesel,Abril,2021,38 580 km,1 499 cm3,130 cv,SUV / TT,Cinzento,Manual,36 Meses,Usados,29 440        EUR,8090404030,11 Setembro 2023,1.5 BlueHDi Feel Pack,,Metalizado,,5,,,,,,,Nacional,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,Gasolina,Março,2020,14 000 km,999 cm3,80 cv,Utilitário,Branco,Manual,18 Meses,Usados,16 750        EUR,8088190219,11 Setembro 2023,1.0 Confortline,Sim,Metalizado,,5,5,,,,,,Nacional,Sim,Sim,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Picasso,Diesel,Abril,2018,133 000 km,1 560 cm3,120 cv,Monovolume,Azul,Manual,18 Meses,Usados,18 990        EUR,8090376352,11 Setembro 2023,,Sim,,6,5,7,Classe 1,,,,,,Sim,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,Diesel,Junho,2021,98 200 km,1 496 cm3,116 cv,Utilitário,Preto,Automática,18 Meses,Usados,26 900        EUR,8090525085,6 Setembro 2023,d Aut. Sport Line,Sim,Metalizado,7,5,5,Classe 1,Tracção dianteira,99 g/km,Sim,,,Sim,Sim,"4,20 l/100km",1,"3,60 l/100km",Sim,Sim,155 €,Sim,Série 1,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Navara,Diesel,Junho,2010,238 739 km,2 488 cm3,171 cv,SUV / TT,Branco,Automática,36 Meses,Usados,19 500        EUR,8088810230,11 Setembro 2023,,Sim,,,5,5,Classe 1,,,,,Importado,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Passat,Diesel,Abril,2018,199 928 km,1 598 cm3,120 cv,Sedan,Preto,Manual,18 Meses,Usados,15 990        EUR,8088337660,11 Setembro 2023,1.6 TDI Confortline,Sim,,6,4,5,Classe 1,Tracção dianteira,,,,Nacional,Sim,,,1,,Sim,,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Gasolina,Julho,2022,15 900 km,1 199 cm3,100 cv,Utilitário,Branco,Manual,36 Meses,Usados,18 790        EUR,8090058049,11 Setembro 2023,1.2 T Elegance,,,,5,5,,,,,,Nacional,,,,,,Sim,,,,,,,11/09/2026,,,,,"5,10 l/100km",,StandVirtual,Yes
Profissional,VW,Golf,Gasolina,Fevereiro,2022,3 449 km,999 cm3,110 cv,Utilitário,Prateado,Automática,18 Meses,Usados,28 990        EUR,8088887304,11 Setembro 2023,1.0 eTSI Life DSG,Sim,,,5,5,Classe 1,Tracção dianteira,,,,Nacional,Sim,,,1,,Sim,,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500 3 + 1,Eléctrico,Dezembro,2021,35 000 km,,118 cv,Citadino,Cinzento,Automática,18 Meses,Usados,25 990        EUR,8090268371,11 Setembro 2023,Passion,Sim,,,4,4,,,,,,Nacional,Sim,Sim,,1,,Sim,Sim,,Sim,,,,30/12/2027,160 000 km,320 km,,Própria,,42 kWh,StandVirtual,Yes
Profissional,Citroën,C3,Diesel,Fevereiro,2020,99 660 km,1 499 cm3,102 cv,SUV / TT,Preto,Manual,18 Meses,Usados,17 490        EUR,8090297335,11 Setembro 2023,1.5 BlueHDi Feel Pack,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,122 g/km,,,Nacional,,,,1,,Sim,,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf,Diesel,Março,2018,112 477 km,1 598 cm3,116 cv,Carrinha,Cinzento,Manual,18 Meses,Usados,17 450        EUR,8090183739,11 Setembro 2023,,Sim,,5,5,5,Classe 1,,104 g/km,,,Nacional,,Sim,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Gasolina,Julho,2022,18 600 km,1 199 cm3,100 cv,Utilitário,Branco,Manual,36 Meses,Usados,18 790        EUR,8090058047,11 Setembro 2023,1.2 T Elegance,,,,5,5,,,,,,Nacional,,,,,,Sim,,,,,,,11/09/2026,,,,,"5,10 l/100km",,StandVirtual,Yes
Profissional,Citroën,C4 Spacetourer,Diesel,Junho,2020,126 500 km,1 499 cm3,130 cv,Monovolume,Branco,Manual,36 Meses,Usados,26 900        EUR,8090584453,11 Setembro 2023,1.5 BlueHDi Shine,,,6,5,,,Tracção dianteira,105 g/km,,,,,,"4,60 l/100km",,"3,70 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ateca,Diesel,Maio,2019,140 000 km,1 598 cm3,115 cv,SUV / TT,Castanho,Automática,36 Meses,Usados,24 900        EUR,8090232972,11 Setembro 2023,1.6 TDI Xcellence DSG,Sim,Metalizado,7,5,5,Classe 1,Tracção dianteira,,Sim,,Importado,Sim,Sim,"5,30 l/100km",1,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Leon ST,Diesel,Setembro,2019,124 300 km,1 598 cm3,115 cv,Carrinha,Cinzento,Manual,18 Meses,Usados,18 900        EUR,8089839414,11 Setembro 2023,1.6 TDI Style S/S,Sim,Metalizado,,5,5,Classe 1,,,,,,Sim,Sim,,1,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,508 SW,Diesel,Julho,2020,61 000 km,1 499 cm3,131 cv,Carrinha,Cinzento,Automática,18 Meses,Usados,27 900        EUR,8090326219,11 Setembro 2023,1.5 BlueHDi Allure Pack EAT8,Sim,Metalizado,,5,5,Classe 1,,,,,,Sim,Sim,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,Diesel,Março,2018,139 000 km,1 461 cm3,109 cv,Coupé,Preto,Manual,18 Meses,Usados,21 499        EUR,8090102488,11 Setembro 2023,d Urban,Sim,Metalizado,6,4,5,Classe 1,Tracção dianteira,108 g/km,,,,Sim,Sim,"4,70 l/100km",1,"3,70 l/100km",Sim,Sim,,Sim,Classe CLA,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,Diesel,Abril,2012,266 001 km,1 598 cm3,116 cv,Utilitário,Branco,Manual,18 Meses,Usados,15 990        EUR,8089237704,11 Setembro 2023,d EfficientDynamics,Sim,Metalizado,,5,,,Tracção traseira,,,,Importado,Sim,Sim,,,,Sim,Sim,,,Série 1,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Leon ST,Diesel,Maio,2018,99 000 km,1 598 cm3,115 cv,Carrinha,Cinzento,Manual,18 Meses,Usados,16 500        EUR,8090584439,11 Setembro 2023,1.6 TDI Style S/S,Sim,Metalizado,5,5,5,Classe 1,,,Sim,,Nacional,Sim,Sim,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,Diesel,Novembro,2017,123 139 km,1 560 cm3,120 cv,SUV / TT,Prateado,Manual,18 Meses,Usados,27 500        EUR,8088185065,11 Setembro 2023,,Sim,Metalizado,6,5,7,,,,Sim,,,Sim,Sim,,,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A4 Avant,Diesel,Abril,2017,113 625 km,1 968 cm3,150 cv,Carrinha,Cinzento,Manual,18 Meses,Usados,27 950        EUR,8088189587,11 Setembro 2023,2.0 TDI,Sim,,6,5,5,Classe 1,Tracção dianteira,,,,,,Sim,,,,,Sim,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,Diesel,Maio,2018,147 757 km,1 560 cm3,120 cv,SUV / TT,Preto,Manual,18 Meses,Usados,28 500        EUR,8088995134,11 Setembro 2023,1.6 BlueHDi GT Line,Sim,Metalizado,6,5,7,,Tracção dianteira,108 g/km,,,,Sim,Sim,,,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,318 Gran Turismo,Diesel,Março,2017,122 040 km,1 995 cm3,150 cv,Utilitário,Branco,Automática,18 Meses,Usados,28 500        EUR,8088189684,11 Setembro 2023,d Advantage Auto,,,8,5,5,Classe 1,Tracção traseira,,,,,,Sim,,,,,Sim,,,Série 3,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Espace,Diesel,Janeiro,2018,169 355 km,1 598 cm3,160 cv,Monovolume,Preto,Automática,18 Meses,Usados,26 500        EUR,8089010096,11 Setembro 2023,,Sim,Metalizado,6,5,7,,Tracção dianteira,,Sim,,,Sim,Sim,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS5,Diesel,Agosto,2016,139 252 km,1 997 cm3,150 cv,Utilitário,Cinzento,Manual,18 Meses,Usados,20 500        EUR,8088188792,11 Setembro 2023,2.0 BlueHDi Sport Chic,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,,,,,Sim,Sim,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,Diesel,Março,2017,120 128 km,1 560 cm3,120 cv,Utilitário,Preto,Automática,18 Meses,Usados,17 900        EUR,8089514626,11 Setembro 2023,1.6 BlueHDi Allure EAT6,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,,Sim,,,Sim,Sim,,,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo,Gasolina,Maio,2019,39 405 km,1 368 cm3,95 cv,Utilitário,Branco,Manual,18 Meses,Usados,15 750        EUR,8089515864,11 Setembro 2023,1.4 Mirror,Sim,,6,5,5,Classe 1,Tracção dianteira,499 g/km,,,Nacional,Sim,,,,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,Diesel,Janeiro,2018,176 919 km,1 560 cm3,120 cv,SUV / TT,Branco,Automática,18 Meses,Usados,26 950        EUR,8087495012,11 Setembro 2023,1.6 BlueHDi Allure EAT6,Sim,Metalizado,,5,7,,Tracção dianteira,,Sim,,,Sim,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,Diesel,Dezembro,2017,136 846 km,1 461 cm3,90 cv,Carrinha,Branco,Automática,18 Meses,Usados,15 500        EUR,8089105762,11 Setembro 2023,,Sim,,6,5,5,Classe 1,Tracção dianteira,82 g/km,Sim,,,,Sim,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,Diesel,Novembro,2017,180 175 km,1 560 cm3,120 cv,SUV / TT,Preto,Manual,18 Meses,Usados,26 950        EUR,8088132967,11 Setembro 2023,,,Metalizado,6,5,7,,Tracção dianteira,,Sim,,,Sim,,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Spacetourer,Diesel,Março,2019,107 389 km,1 499 cm3,130 cv,Monovolume,Vermelho,Automática,18 Meses,Usados,24 500        EUR,8089158831,11 Setembro 2023,,Sim,,8,5,7,,Tracção dianteira,,Sim,,,Sim,Sim,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mazda,3,Gasolina,Março,2019,47 000 km,1 998 cm3,122 cv,Utilitário,Outra,Manual,,Usados,23 000        EUR,8090517591,11 Setembro 2023,2.0 Sky-G Evolve P.i-Actvsense J18,,,6,5,5,Classe 3,Tracção dianteira,127 g/km,,31/03/2024,Nacional,Sim,Sim,"6,50 l/100km",1,"4,40 l/100km",Sim,,250 €,Sim,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,CLA 180,Diesel,Julho,2018,93 000 km,1 461 cm3,109 cv,Coupé,Azul,Automática,,Usados,26 900        EUR,8089488302,9 Setembro 2023,d AMG Line Aut.,,Metalizado,,4,5,,,104 g/km,,,,Sim,Sim,"4,70 l/100km",,,,,154 €,Sim,Classe CLA,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,Gasolina,Junho,2021,42 443 km,1 199 cm3,83 cv,Sedan,Cinzento,Manual,36 Meses,Usados,16 690        EUR,8090413482,11 Setembro 2023,1.2 PureTech Feel,,Metalizado,,5,,,,,,,Nacional,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4,Diesel,Janeiro,2022,40 000 km,1 499 cm3,110 cv,Utilitário,Cinzento,Manual,18 Meses,Usados,24 250        EUR,8090293521,11 Setembro 2023,1.5 BlueHDi Feel Pack,Sim,Metalizado,,5,5,,,,,,Nacional,Sim,Sim,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Jaguar,XE,Diesel,Julho,2015,198 087 km,1 999 cm3,163 cv,Sedan,Azul,Manual,18 Meses,Usados,21 500        EUR,8088069601,11 Setembro 2023,2.0 D Prestige,Sim,Metalizado,6,4,5,Classe 1,,,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,Diesel,Outubro,2018,167 867 km,1 560 cm3,100 cv,Citadino,Preto,Manual,18 Meses,Usados,16 500        EUR,8089513654,11 Setembro 2023,1.6 BlueHDi Shine,Sim,,5,5,5,Classe 1,Tracção dianteira,89 g/km,Sim,,,Sim,Sim,,,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Grand Scénic,Diesel,Março,2017,153 027 km,1 598 cm3,130 cv,Monovolume,Branco,Manual,18 Meses,Usados,21 950        EUR,8088482182,11 Setembro 2023,1.6 dCi Intens SS,Sim,,6,5,7,,Tracção dianteira,,Sim,,,Sim,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Zafira,Diesel,Maio,2016,142 340 km,1 598 cm3,136 cv,Monovolume,Preto,Manual,18 Meses,Usados,18 500        EUR,8088346274,11 Setembro 2023,,Sim,,6,5,7,,Tracção dianteira,,Sim,,,,Sim,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,Diesel,Abril,2017,168 142 km,1 560 cm3,120 cv,Carrinha,Cinzento,Manual,18 Meses,Usados,16 950        EUR,8085397594,11 Setembro 2023,1.6 BlueHDi Allure,Sim,Mate,6,5,5,Classe 1,Tracção dianteira,96 g/km,,,,Sim,Sim,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,Diesel,Junho,2017,135 107 km,1 461 cm3,110 cv,Carrinha,Azul,Manual,18 Meses,Usados,17 500        EUR,8087402403,11 Setembro 2023,1.5 dCi Bose Edition,Sim,Metalizado,6,5,5,,,,,,,Sim,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Grand Picasso,Diesel,Maio,2018,73 613 km,1 560 cm3,120 cv,Monovolume,Preto,Automática,18 Meses,Usados,24 500        EUR,8088605104,11 Setembro 2023,,Sim,Metalizado,,5,7,,Tracção dianteira,,Sim,,,Sim,Sim,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,Diesel,Abril,2019,73 200 km,1 496 cm3,116 cv,Utilitário,Azul,Manual,18 Meses,Usados,22 699        EUR,8089925263,11 Setembro 2023,d Line Sport,Sim,,,5,,,,,,,Nacional,,,,,,Sim,,,,Série 1,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,Diesel,Junho,2017,163 341 km,1 995 cm3,170 cv,Cabrio,Verde,Automática,18 Meses,Usados,23 900        EUR,8090326119,11 Setembro 2023,SD Auto Desportiva,,Metalizado,8,3,4,Classe 1,Tracção dianteira,131 g/km,,,,,Sim,"4,70 l/100km",,"3,90 l/100km",,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Grand Scénic,Diesel,Fevereiro,2018,178 000 km,1 598 cm3,130 cv,Monovolume,Cinzento,Manual,36 Meses,Usados,17 999        EUR,8090493656,11 Setembro 2023,1.6 dCi Intens SS,Sim,Metalizado,6,5,7,Classe 1,Tracção dianteira,,,,Nacional,Sim,Sim,"5,30 l/100km",1,,,Sim,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Grand Scénic,Diesel,Janeiro,2019,139 812 km,1 749 cm3,120 cv,Monovolume,Prateado,Manual,18 Meses,Usados,25 500        EUR,8090415896,11 Setembro 2023,,Sim,Metalizado,6,5,7,,Tracção dianteira,126 g/km,Sim,,,Sim,,,,,Sim,Sim,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS5,Diesel,Fevereiro,2018,136 735 km,1 560 cm3,120 cv,Utilitário,Cinzento,Automática,18 Meses,Usados,20 900        EUR,8089390809,11 Setembro 2023,1.6 BlueHDi Be Chic EAT6,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,105 g/km,Sim,,,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,GLC 250,Diesel,Junho,2016,158 000 km,2 143 cm3,204 cv,SUV / TT,Cinzento,Automática,,Usados,38 500        EUR,8090584526,11 Setembro 2023,d AMG Line 4-Matic,,,9,5,5,,Integral,186 g/km,Sim,,,,,7 l/100km,,"5,60 l/100km",,,,,Classe GLC,,,,,,,,,,StandVirtual,Yes
Profissional,Tesla,Model S,Eléctrico,Dezembro,2014,177 066 km,,421 cv,Sedan,Cinzento,Automática,18 Meses,Usados,37 500        EUR,8089169940,8 Setembro 2023,85 Perfomance,Sim,Metalizado,,5,5,Classe 1,Tracção traseira,,,05/12/2023,Importado,Sim,Sim,,2,,,Sim,,Sim,,,440 km,,,440 km,,Própria,,85 kWh,StandVirtual,Yes
Profissional,Ford,Kuga,Diesel,Junho,2020,30 534 km,1 997 cm3,150 cv,SUV / TT,Branco,Manual,18 Meses,Usados,32 999        EUR,8088129670,11 Setembro 2023,2.0 TDCi EcoBlue ST-Line X,Sim,,6,5,5,Classe 1,Tracção dianteira,,,,Nacional,Sim,Sim,"4,70 l/100km",1,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
