Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Número de Mudanças,Emissões CO2,Registo(s),Tipo de cor,Consumo Urbano,Consumo Extra Urbano,VIN,Inspecção válida até,Garantia de Fábrica até,Sub-modelo,Consumo Combinado,IUC,Autonomia,Consumo,Capacidade da bateria,Bateria,ou até,Autonomia Máxima,Site,Portugal,Data
Profissional,Renault,Espace,1.6 dCi Zen EDC,Diesel,Julho,2015,94 000 km,1 598 cm3,160 cv,,Sim,Monovolume,Prateado,Automática,5,7,Classe 1,Tracção dianteira,18 Meses,,,Sim,Sim,Usados,19 900,8091228551,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-espace-1-6-dci-zen-edc-ID8PzYaj.html,,6,123 g/km,,Metalizado,"5,10 l/100km","4,40 l/100km",Mostrar VIN,13 Julho 2024,,,,"190,41 €",,,,,,,StandVirtual,Yes,2024-02-27
Particular,Jaguar,XE,2.0 D R-Sport AWD Aut.,Diesel,Fevereiro,2017,145 000 km,1 999 cm3,180 cv,,,Sedan,Azul,Automática,4,5,Classe 1,,,Nacional,,Sim,Sim,Usados,21 950,8091002184,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-xe-2-0-d-r-sport-awd-aut-ID8Pz1he.html,,8,,2,Metalizado,,,,1 Fevereiro 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,BMW,318,d Touring Line Luxury Purity,Diesel,Março,2017,120 000 km,1 995 cm3,150 cv,,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,,18 Meses,Nacional,,Sim,Sim,Usados,19 990,8091608624,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-line-luxury-purity-ID8PBz2v.html,,6,,,Metalizado,,,,,,Série 3,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Abril,2023,22 664 km,1 199 cm3,83 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,,,18 Meses,Nacional,,,,Usados,16 990,8091817549,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-c-series-ID8PCroh.html,,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Zoe,Zen 50,Eléctrico,Janeiro,2021,25 783 km,,109 cv,Sim,Sim,Citadino,Branco,Automática,5,5,Classe 1,,18 Meses,,Sim,Sim,Sim,Usados,15 450,8091622677,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-zen-50-ID8PBCHb.html,Sim,1,,,Metalizado,,,,,,,,,395 km,"17,30 kWh/100km",,Aluguer,,,StandVirtual,Yes,2024-02-27
Profissional,Audi,A3 Cabrio,1.4 TFSi S tronic,Gasolina,Dezembro,2016,19 500 km,1 395 cm3,116 cv,Sim,Sim,Cabrio,Branco,Automática,2,4,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,25 900,8089774016,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-cabrio-1-4-tfsi-s-tronic-ID8PtRM4.html,,,,,,"6,30 l/100km",,,4 Dezembro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Mercedes-Benz,A 180,d 7G-DCT AMG Line,Diesel,Outubro,2018,120 100 km,1 461 cm3,116 cv,Sim,Sim,Utilitário,Cinzento,Automática,5,5,Classe 1,,18 Meses,Importado,,Sim,Sim,Usados,27 990,8091844064,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-7g-dct-amg-line-ID8PCyhV.html,,,,,,,,,,,Classe A,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,VW,Polo,1.0 TSI Life,Gasolina,Maio,2022,31 928 km,999 cm3,95 cv,,Sim,Citadino,Preto,Manual,5,5,,Tracção dianteira,24 Meses,Nacional,Sim,,Sim,Usados,21 190,8090769870,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-tsi-life-ID8Py2Qe.html,Sim,5,118 g/km,1,Metalizado,"5,70 l/100km",4 l/100km,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,BMW,i3,120Ah,Eléctrico,Dezembro,2021,21 500 km,,170 cv,Sim,Sim,Citadino,Branco,Automática,5,4,Classe 1,Tracção traseira,36 Meses,Importado,Sim,Sim,Sim,Usados,27 500,8091877291,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-i3-120ah-ID8PCGWR.html,Sim,1,,1,Metalizado,,,Mostrar VIN,,10 Dezembro 2026,Série i,,,320 km,,42 kWh,Própria,,320 km,StandVirtual,Yes,2024-02-27
Profissional,VW,Taigo,1.0 TSI Life,Gasolina,Julho,2022,34 727 km,999 cm3,95 cv,Sim,Sim,SUV / TT,Prateado,Manual,5,5,,,36 Meses,Nacional,,,,Usados,21 800,8090789041,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-taigo-1-0-tsi-life-ID8Py7Pr.html,,,,,,,,Mostrar VIN,,27 Fevereiro 2027,,"5,50 l/100km",,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,500L,1.3 MJ City Cross MTA,Diesel,Janeiro,2020,61 500 km,1 248 cm3,95 cv,Sim,Sim,Monovolume,Cinzento,Automática,5,5,,,36 Meses,Nacional,,,,Usados,18 900,8091561097,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500l-1-3-mj-city-cross-mta-ID8PBmFX.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,3008,1.2 PureTech Active Pack,Gasolina,Fevereiro,2023,9 900 km,1 199 cm3,130 cv,Sim,Sim,SUV / TT,Cinzento,Manual,5,5,,,36 Meses,Nacional,,,,Usados,29 490,8090700733,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-2-puretech-active-pack-ID8PxKR7.html,,,,,,,,Mostrar VIN,,27 Fevereiro 2027,,"6,10 l/100km",,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Fevereiro,2022,33 116 km,1 199 cm3,101 cv,Sim,Sim,Utilitário,Branco,Manual,5,5,,,36 Meses,Nacional,,,,Usados,19 490,8090700848,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8PxKSY.html,,,,,,,,Mostrar VIN,,27 Fevereiro 2027,,"5,10 l/100km",,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,500C,1.0 Hybrid Dolcevita,Gasolina,Novembro,2022,23 km,999 cm3,70 cv,,Sim,Cabrio,Laranja,Manual,2,4,,,18 Meses,,,Sim,Sim,Usados,22 950,8089343767,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-0-hybrid-dolcevita-ID8Ps3Qz.html,,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,MINI,One,D,Diesel,Janeiro,2015,130 000 km,1 496 cm3,95 cv,Sim,Sim,Citadino,Preto,Manual,5,5,Classe 1,,18 Meses,,,Sim,Sim,Usados,15 900,8090111760,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8PwhDy.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,BMW,216 Active Tourer,d Line Sport Auto,Diesel,Agosto,2016,56 000 km,1 496 cm3,116 cv,Sim,Sim,Monovolume,Preto,Automática,5,5,Classe 1,,18 Meses,Nacional,Sim,Sim,Sim,Usados,19 900,8091260229,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-line-sport-auto-ID8PA6pf.html,,,,2,Metalizado,"4,30 l/100km",,,,,Série 2,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Mercedes-Benz,C 220,d AMG Line,Diesel,Fevereiro,2015,190 000 km,2 143 cm3,170 cv,,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,Tracção traseira,18 Meses,,Sim,Sim,Sim,Usados,21 490,8091844033,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-amg-line-ID8PCyhr.html,,6,,1,Metalizado,"5,20 l/100km",,,,,Classe C,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Insignia Sports Tourer,1.5 D Elegance,Diesel,Novembro,2020,99 000 km,1 496 cm3,122 cv,Sim,Sim,Carrinha,Prateado,Manual,5,5,,,18 Meses,Nacional,,,Sim,Usados,19 990,8090414456,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-5-d-elegance-ID8PvynK.html,,6,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,VW,T-Cross,1.0 TSI Life DSG,Gasolina,Março,2022,33 000 km,999 cm3,110 cv,,Sim,SUV / TT,Branco,Automática,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,24 799,8090507965,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-t-cross-1-0-tsi-life-dsg-ID8PvVHX.html,,,,1,Metalizado,6 l/100km,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Grandland X,1.5 CDTI GS Line AT,Diesel,Julho,2022,9 978 km,1 499 cm3,130 cv,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,,18 Meses,Nacional,Sim,Sim,Sim,Usados,32 500,8090959605,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-grandland-x-1-5-cdti-gs-line-at-ID8PyQct.html,Sim,8,,,Metalizado,,,,1 Julho 2026,23 Julho 2025,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Grandland,1.5 D Auto GS Line,Diesel,Julho,2022,44 411 km,1 499 cm3,130 cv,,Sim,SUV / TT,Branco,Automática,5,5,,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,31 900,8091838442,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-grandland-1-5-d-auto-gs-line-ID8PCvPg.html,,8,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
