Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Número de Mudanças,Emissões CO2,Registo(s),Tipo de cor,Consumo Urbano,Consumo Extra Urbano,VIN,Inspecção válida até,Garantia de Fábrica até,Sub-modelo,Consumo Combinado,IUC,Autonomia,Consumo,Capacidade da bateria,Bateria,ou até,Autonomia Máxima,Site,Portugal,Data
Profissional,Fiat,500,1.2 Lounge,Gasolina,Março,2019,72 035 km,1 242 cm3,69 cv,Sim,Sim,Pequeno citadino,Preto,Manual,3,4,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,13 990,8091607718,21 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PByNU.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,VW,Passat Variant,1.6 TDI Confortline,Diesel,Dezembro,2017,247 911 km,1 598 cm3,120 cv,Sim,Sim,Carrinha,Azul,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,,Usados,11 990,8091774786,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PCggy.html,Sim,6,107 g/km,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Janeiro,2016,238 000 km,1 499 cm3,120 cv,,,Carrinha,Preto,Manual,5,5,Classe 1,Tracção dianteira,,Nacional,,,Sim,Usados,8 000,8090059080,25 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8Pw3WS.html,,6,99 g/km,,Metalizado,"4,30 l/100km","3,40 l/100km",Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Fiat,Tipo,1.3 M-Jet Easy,Diesel,Janeiro,2017,95 km,1 248 cm3,95 cv,,,Citadino,Branco,Manual,5,5,Classe 1,Tracção dianteira,,Importado,,Sim,Sim,Usados,9 550,8091866669,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-easy-ID8PCEax.html,,5,,,Metalizado,"5,30 l/100km",,,1 Janeiro 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Audi,A3 Sportback,1.6 TDI S-line,Diesel,Agosto,2014,198 000 km,1 598 cm3,110 cv,,Sim,Utilitário,Cinzento,Manual,5,,,,18 Meses,,Sim,Sim,Sim,Usados,12 990,8091877315,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-s-line-ID8PCGVf.html,,,,1,Metalizado,"4,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Kia,e-Soul,EV,Eléctrico,Dezembro,2016,115 171 km,,110 cv,Sim,Sim,Citadino,Branco,Automática,5,5,,,36 Meses,Nacional,,,,Usados,14 990,8089852005,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-e-soul-ev-ID8Puc3X.html,,,,,,,,Mostrar VIN,,27 Fevereiro 2027,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Maio,2019,53 094 km,999 cm3,80 cv,,Sim,Citadino,Branco,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,Sim,Usados,13 990,8091773220,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8PCfRi.html,,5,122 g/km,1,,"6,10 l/100km","4,30 l/100km",Mostrar VIN,30 Maio 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Ford,Fiesta,,GPL,Janeiro,2018,102 845 km,1 084 cm3,85 cv,,Sim,Citadino,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,14 950,8091104102,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-ID8PzrN4.html,,5,,,Metalizado,,,Mostrar VIN,31 Janeiro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Ford,Focus SW,1.6 TDCi Titanium Best Econetic,Diesel,Setembro,2014,182 155 km,1 560 cm3,105 cv,,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,11 950,8090767579,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-6-tdci-titanium-best-econetic-ID8Py2fh.html,,6,,,Metalizado,,,Mostrar VIN,10 Setembro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2016,115 385 km,1 242 cm3,69 cv,,Sim,Citadino,Cinzento,Manual,3,4,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,12 950,8089702335,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Ptz7W.html,,5,,,Metalizado,,,Mostrar VIN,18 Fevereiro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Julho,2019,83 000 km,1 461 cm3,75 cv,Sim,Sim,Utilitário,Branco,Manual,5,5,Classe 1,,18 Meses,Nacional,,Sim,Sim,Usados,13 600,8091833944,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PCwEI.html,,5,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Dezembro,2019,135 000 km,1 461 cm3,75 cv,Sim,Sim,Utilitário,Preto,Manual,5,5,Classe 1,,18 Meses,Nacional,,Sim,Sim,Usados,11 750,8091833942,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PCwEG.html,,5,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,SEAT,Leon ST,1.6 TDI Reference Ecomotive,Diesel,Julho,2016,179 000 km,1 598 cm3,110 cv,Sim,Sim,Carrinha,Preto,Manual,5,5,Classe 1,,18 Meses,Nacional,,Sim,Sim,Usados,11 500,8091833941,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-reference-ecomotive-ID8PCwEF.html,,6,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,Panda,1.0 Hybrid City Life,Gasolina,Março,2022,63 995 km,999 cm3,70 cv,Sim,Sim,Utilitário,Branco,Manual,5,4,Classe 1,Tracção dianteira,36 Meses,Nacional,,Sim,Sim,Usados,13 690,8091699674,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-0-hybrid-city-life-ID8PBVJ4.html,,6,112 g/km,,,,,Mostrar VIN,,1 Janeiro 0001,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,SEAT,Ibiza,1.4 TDi Style,Diesel,Outubro,2016,189 100 km,1 422 cm3,90 cv,,Sim,Citadino,Prateado,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,11 750,8090955032,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-4-tdi-style-ID8PyP0I.html,,5,,,Metalizado,,,Mostrar VIN,24 Outubro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,SEAT,Ibiza,1.2 TDI CR Ecomotive Style,Diesel,Junho,2014,173 000 km,1 199 cm3,75 cv,,Sim,Citadino,Preto,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,8 990,8091556856,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-2-tdi-cr-ecomotive-style-ID8PBlzy.html,,5,,1,Metalizado,"4,10 l/100km",,,27 Junho 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Nissan,Note,1.5 dCi Acenta,Diesel,Março,2014,141 129 km,1 461 cm3,90 cv,,Sim,Citadino,Vermelho,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Importado,,Sim,Sim,Usados,11 700,8088125570,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-note-1-5-dci-acenta-ID8PmVVe.html,,5,,,Metalizado,,,,1 Março 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Citroën,C3,1.2 PureTech Seduction,Gasolina,Abril,2017,146 000 km,1 199 cm3,82 cv,,Sim,Citadino,Vermelho,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,10 890,8091590957,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-seduction-ID8PBurz.html,,5,,1,Metalizado,,,Mostrar VIN,21 Novembro 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,208,1.2 PureTech Style,Gasolina,Fevereiro,2014,141 000 km,1 199 cm3,82 cv,,Sim,Citadino,Branco,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Importado,Sim,Sim,Sim,Usados,9 690,8091676630,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-style-ID8PBQJo.html,,5,104 g/km,1,,"5,50 l/100km","3,90 l/100km",Mostrar VIN,18 Setembro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Toyota,Yaris,1.4 D-4D Lounge,Diesel,Maio,2016,190 099 km,1 364 cm3,90 cv,,,Citadino,Cinzento,Manual,5,5,,Tracção dianteira,18 Meses,Nacional,,Sim,Sim,Usados,12 900,8091844333,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-4-d-4d-lounge-ID8PCymh.html,,6,,1,Metalizado,"4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Setembro,2016,140 000 km,1 461 cm3,110 cv,,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,,18 Meses,Importado,Sim,Sim,Sim,Usados,14 990,8091877302,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PCGV2.html,,6,,,,"4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Innovation S/S,Diesel,Maio,2018,190 000 km,1 598 cm3,110 cv,Sim,Sim,Carrinha,Castanho,Manual,5,5,Classe 1,,18 Meses,Nacional,,Sim,,Usados,13 950,8091395360,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-innovation-s-s-ID8PAFyM.html,,6,95 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,500L,1.6 MJ Trekking S&S,Diesel,Março,2014,123 000 km,1 598 cm3,105 cv,Sim,Sim,SUV / TT,Branco,Manual,5,5,Classe 1,,18 Meses,Nacional,,Sim,Sim,Usados,13 950,8088333021,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500l-1-6-mj-trekking-s-s-ID8PnOUd.html,,6,122 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Mercedes-Benz,A 180,CDi BE Style,Diesel,Março,2014,240 223 km,1 461 cm3,109 cv,,Sim,Utilitário,Branco,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Importado,,,Sim,Usados,14 950,8091817634,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-cdi-be-style-ID8PCrpE.html,,6,,,Metalizado,,,,12 Março 2024,,Classe A,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Dezembro,2015,113 000 km,1 560 cm3,120 cv,Sim,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,,18 Meses,,,Sim,Sim,Usados,13 950,8088043723,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8PmBE7.html,,5,94 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Peugeot,508 RXH,2.0 HDi Hybrid4 2-Tronic,Híbrido (Diesel),Janeiro,2014,221 000 km,1 997 cm3,200 cv,,,Carrinha,Cinzento,Automática,5,,Classe 1,Integral,,,,,Sim,Usados,11 500,8091844157,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-508-rxh-2-0-hdi-hybrid4-2-tronic-ID8PCyjr.html,,6,109 g/km,2,Metalizado,4 l/100km,"4,90 l/100km",,27 Janeiro 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Março,2014,120 250 km,1 461 cm3,90 cv,Sim,,SUV / TT,Bege,Manual,5,5,Classe 1,,18 Meses,Importado,Sim,Sim,Sim,Usados,13 380,8090300806,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8Pv4OG.html,,5,,1,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Astra,1.6 CDTI Dynamic S/S,Diesel,Fevereiro,2017,208 900 km,1 598 cm3,110 cv,,,Utilitário,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,,Usados,15 000,8091471842,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-dynamic-s-s-ID8PAZsm.html,,6,93 g/km,1,Metalizado,"5,50 l/100km","3,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Captur,,Gasolina,Outubro,2014,80 250 km,1 197 cm3,120 cv,Sim,,SUV / TT,Preto,Automática,5,5,,,18 Meses,Importado,,Sim,Sim,Usados,14 500,8091249949,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-ID8PA3Jr.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Novembro,2017,92 120 km,1 248 cm3,95 cv,Sim,,Pequeno citadino,Outra,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,11 300,8091577020,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8PBqOM.html,,5,,1,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Astra,1.6 CDTI Dynamic S/S,Diesel,Outubro,2016,233 900 km,1 598 cm3,110 cv,,,Utilitário,Preto,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,,Usados,14 500,8090175633,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-dynamic-s-s-ID8PwyfL.html,,6,93 g/km,1,Metalizado,"5,50 l/100km","3,70 l/100km",Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,BMW,116,d Pack M Auto,Diesel,Agosto,2017,367 000 km,1 496 cm3,116 cv,Sim,Sim,Citadino,Branco,Automática,3,5,Classe 1,Tracção traseira,36 Meses,Nacional,Sim,Sim,Sim,Usados,14 990,8086670893,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-pack-m-auto-ID8PgQwH.html,,8,,1,Metalizado,"4,40 l/100km",4 l/100km,,31 Agosto 2024,,Série 1,4 l/100km,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Captur,1.2 TCe Exclusive,Gasolina,Abril,2017,80 000 km,1 197 cm3,120 cv,,,SUV / TT,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Importado,,,Sim,Usados,14 750,8091250382,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-2-tce-exclusive-ID8PA3Qq.html,,6,125 g/km,1,Metalizado,7 l/100km,"4,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Astra,1.6 CDTI Dynamic S/S,Diesel,Dezembro,2015,74 000 km,1 598 cm3,110 cv,,,Utilitário,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,,Usados,15 000,8091543863,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-dynamic-s-s-ID8PBibZ.html,,6,93 g/km,1,Metalizado,"5,50 l/100km","3,70 l/100km",Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Smart,ForFour,1.0 Passion 71,Gasolina,Outubro,2015,132 000 km,999 cm3,71 cv,,Sim,Citadino,Preto,Manual,5,4,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,Sim,Usados,8 450,8091852731,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-passion-71-ID8PCAxJ.html,,5,,1,Metalizado,"4,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Audi,A1 Sportback,1.4 TDI Design,Diesel,Janeiro,2016,90 000 km,1 422 cm3,90 cv,,Sim,Citadino,Preto,Manual,5,,,,36 Meses,,,,,Usados,14 900,8091877294,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-4-tdi-design-ID8PCGWU.html,,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Peugeot,308,1.6 BlueHDi Allure J17,Diesel,Novembro,2014,225 000 km,1 560 cm3,120 cv,,,Utilitário,Cinzento,Manual,5,5,,,,,,,,Usados,9 990,8091873939,26 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-j17-ID8PCG3N.html,,,,,,"3,60 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Toyota,Aygo,1.0 X-Play,Gasolina,Junho,2021,43 000 km,998 cm3,72 cv,Sim,Sim,Citadino,Vermelho,Manual,5,,,,52 Meses,Nacional,,,,Usados,14 500,8090654877,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-x-play-ID8PxyWw.html,,,93 g/km,,,,,Mostrar VIN,,30 Junho 2028,,"4,10 l/100km",,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Astra,1.6 CDTI Dynamic S/S,Diesel,Janeiro,2016,138 000 km,1 598 cm3,110 cv,,Sim,Utilitário,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,,Usados,10 480,8091867776,26 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-dynamic-s-s-ID8PCEso.html,,6,90 g/km,,,,,Mostrar VIN,4 Janeiro 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,308 SW,1.6 BlueHDi Style,Diesel,Junho,2016,129 052 km,1 560 cm3,120 cv,Sim,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,14 900,8091867098,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-style-ID8PCEhs.html,,6,102 g/km,1,Metalizado,,,Mostrar VIN,30 Maio 2024,,,,158 €,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Audi,A4 Avant,,Diesel,Novembro,2014,307 000 km,1 968 cm3,150 cv,,Sim,Carrinha,Preto,Automática,5,,,,18 Meses,Nacional,,,Sim,Usados,12 950,8090053389,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-ID8Pw2s5.html,,,,,Metalizado,"5,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Fiat,Tipo,1.6 M-Jet Lounge JLL17,Diesel,Julho,2016,130 000 km,1 598 cm3,120 cv,,,Utilitário,Branco,Manual,5,5,Classe 1,Tracção dianteira,,Nacional,,,Sim,Usados,11 900,8090003622,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-6-m-jet-lounge-jll17-ID8PuPwo.html,,6,98 g/km,1,Mate,"4,40 l/100km","3,30 l/100km",Mostrar VIN,10 Julho 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,Panda,1.2 Lounge,Gasolina,Maio,2017,124 000 km,1 242 cm3,69 cv,,Sim,Citadino,Preto,Manual,5,,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,7 500,8091877293,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-ID8PCGWT.html,,,,,,"6,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Abril,2022,55 000 km,1 199 cm3,83 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,,,18 Meses,Nacional,,,,Usados,14 670,8091456683,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-shine-ID8PAWwR.html,,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Setembro,2019,124 183 km,1 248 cm3,95 cv,,Sim,Utilitário,Azul,Manual,5,5,Classe 1,,18 Meses,Nacional,,Sim,Sim,Usados,12 250,8091817523,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PCrnR.html,,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Ford,Focus SW,1.0 EcoBoost ST-Line,Gasolina,Março,2019,136 528 km,998 cm3,125 cv,,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,,18 Meses,,,Sim,Sim,Usados,14 750,8091817518,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-ecoboost-st-line-ID8PCrnM.html,,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Nissan,Leaf,Tekna Two Tone+ProPilot Park,Eléctrico,Novembro,2018,109 500 km,,150 cv,Sim,Sim,Utilitário,Preto,Automática,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,15 000,8091573290,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-leaf-tekna-two-tone-propilot-park-ID8PBpQC.html,Sim,1,,1,Metalizado,,,,15 Novembro 2024,,,,,270 km,"20,60 kWh/100km",40 kWh,Própria,,,StandVirtual,Yes,2024-02-27
Profissional,Citroën,DS4,1.6 e-HDi So Chic,Diesel,Maio,2014,182 600 km,1 560 cm3,115 cv,,Sim,Utilitário,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,36 Meses,,,,,Usados,11 500,8091844039,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-ds4-1-6-e-hdi-so-chic-ID8PCyhx.html,,6,118 g/km,,Metalizado,"5,40 l/100km",4 l/100km,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited EDition,Diesel,Outubro,2018,145 000 km,1 461 cm3,90 cv,,Sim,Carrinha,Cinzento,Manual,5,5,,,18 Meses,Importado,,,Sim,Usados,12 900,8091483066,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-edition-ID8PB2no.html,,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,DS,DS3,Cabrio 1.6 BlueHDi Be Chic,Diesel,Abril,2016,53 000 km,1 560 cm3,100 cv,,Sim,Cabrio,Vermelho,Manual,2,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,14 999,8091679407,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ds-ds3-cabrio-1-6-bluehdi-be-chic-ID8PBRsb.html,,,,1,,4 l/100km,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Citroën,C-Elysée,1.2 PureTech Exclusive,Gasolina,Maio,2017,15 000 km,1 199 cm3,82 cv,,,Sedan,Cinzento,Manual,4,5,,,,,,,,Usados,7 900,8091803579,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c-elyse-1-2-puretech-exclusive-ID8PCnKX.html,,,,,Metalizado,"5,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Fiat,500,,Gasolina,Dezembro,2017,56 000 km,1 242 cm3,69 cv,,,Citadino,Preto,Manual,3,,,,,,,,,Usados,11 000,8091400495,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-ID8PAGTB.html,,,,,,"6,70 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Smart,ForFour,Electric Drive Prime,Eléctrico,Janeiro,2018,57 000 km,,82 cv,Sim,Sim,Utilitário,Vermelho,Automática,5,4,Classe 1,,18 Meses,Importado,,,Sim,Usados,12 999,8091768049,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-electric-drive-prime-ID8PCewT.html,,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,500,1.0 Hybrid Cult,Gasolina,Setembro,2021,29 146 km,999 cm3,70 cv,Sim,Sim,Citadino,Branco,Manual,3,,,,36 Meses,Nacional,,,,Usados,13 999,8091174306,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-cult-ID8PzK3o.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,BMW,216 Active Tourer,d Line Sport,Diesel,Novembro,2017,196 000 km,1 496 cm3,116 cv,Sim,Sim,Monovolume,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,14 850,8091852582,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-line-sport-ID8PCAwk.html,Sim,6,,1,Metalizado,,,,,,Série 2,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Nissan,Leaf,40 kWh,Eléctrico,Novembro,2018,114 920 km,,150 cv,,,Citadino,Branco,Automática,5,,,Tracção dianteira,,,,,,Usados,13 650,8091175651,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-leaf-40-kwh-ID8PzKp5.html,,1,,,Pérola,,,Mostrar VIN,,23 Novembro 2026,,,,250 km,,40 kWh,Própria,,,StandVirtual,Yes,2024-02-27
