Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Registo(s),Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Aceita retoma,Tipo de cor,Inspecção válida até,Filtro de partículas,IUC,Sub-modelo,Autonomia Máxima,Clássico,Capacidade da bateria,Bateria,Autonomia,Consumo,Consumo Combinado,Garantia de Fábrica até,Gancho de Reboque,ou até,Site,Portugal,Data
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Janeiro,2018,169 128 km,1 598 cm3,115 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,1,Sim,,,,Usados,13 890        EUR,8087404076,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PjWfe.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Renault,Mégane,1.5 dCi Intens,Diesel,Junho,2017,267 150 km,1 461 cm3,110 cv,Utilitário,Cinzento,Manual,6,5,5,Tracção dianteira,95 g/km,1,Sim,,,,Usados,10 990        EUR,8089237257,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-intens-ID8PrC8F.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Corsa,,Gasolina,Junho,2020,80 000 km,1 199 cm3,100 cv,Citadino,Azul,Manual,6,5,5,,,,Sim,Sim,,,Usados,13 990        EUR,8089414439,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-ID8Psmer.html,,,Sim,Classe 1,18 Meses,,Sim,Sim,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Fevereiro,2017,110 000 km,1 598 cm3,110 cv,Carrinha,Cinzento,Manual,6,5,5,,,,Sim,Sim,"5,70 l/100km",,Usados,12 500        EUR,8089439482,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-business-edition-s-s-ID8PssKm.html,,,Sim,Classe 1,36 Meses,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Julho,2017,89 000 km,1 461 cm3,90 cv,Carrinha,Cinzento,Manual,5,5,5,,,,Sim,Sim,,,Usados,13 990        EUR,8088041851,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PmB9W.html,,,Sim,Classe 1,36 Meses,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Junho,2016,190 000 km,1 461 cm3,110 cv,Carrinha,Branco,Manual,6,5,5,,,,Sim,Sim,"4,20 l/100km",,Usados,12 500        EUR,8089431560,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PsqGA.html,,,Sim,Classe 1,18 Meses,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Renault,Mégane Sport Tourer,1.5 dCi GT Line EDC,Diesel,Julho,2011,188 000 km,1 461 cm3,110 cv,Carrinha,Azul,Automática,6,5,5,,,,Sim,Sim,,,Usados,8 990        EUR,8089286512,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-gt-line-edc-ID8PrOX6.html,,,Sim,Classe 1,36 Meses,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Dezembro,2017,95 000 km,1 598 cm3,110 cv,Carrinha,Verde,Manual,6,5,5,Tracção dianteira,,,Sim,Sim,"5,70 l/100km",,Usados,14 250        EUR,8089856821,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-business-edition-s-s-ID8PudjD.html,,,Sim,Classe 1,18 Meses,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Fiat,500,1.2 Lounge,Gasolina,Dezembro,2019,56 580 km,1 242 cm3,69 cv,Citadino,Branco,Manual,5,3,4,Tracção dianteira,,1,,Sim,,,Usados,14 500        EUR,8090422466,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PvAsV.html,,,Sim,Classe 1,18 Meses,Nacional,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Junho,2019,69 000 km,898 cm3,90 cv,Citadino,Vermelho,Manual,5,5,,Tracção dianteira,141 g/km,,,Sim,"6,60 l/100km","4,50 l/100km",Usados,13 990        EUR,8090646807,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-stepway-ID8PxvPl.html,,,Sim,Classe 1,18 Meses,,,Sim,,,,108 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
