Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Registo(s),Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Aceita retoma,Tipo de cor,Inspecção válida até,Filtro de partículas,IUC,Sub-modelo,Autonomia Máxima,Clássico,Capacidade da bateria,Bateria,Autonomia,Consumo,Consumo Combinado,Garantia de Fábrica até,Gancho de Reboque,ou até,Site,Portugal,Data
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Dynamic S/S,Diesel,Outubro,2017,93 203 km,1 598 cm3,110 cv,Carrinha,Cinzento,Manual,6,5,5,,,1,Sim,Sim,,,Usados,13 999        EUR,8090596642,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-dynamic-s-s-ID8PxjMe.html,Sim,,Sim,Classe 1,18 Meses,Nacional,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,VW,Polo,1.0 Allstar,Gasolina,Setembro,2016,65 581 km,999 cm3,75 cv,Citadino,Preto,Manual,5,5,5,Tracção dianteira,,1,Sim,Sim,,,Usados,11 950        EUR,8087935642,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-allstar-ID8Pm9vS.html,,,,Classe 1,,,Sim,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Citroën,DS5,1.6 e-HDi Air. So Chic CMP6 112g,Diesel,Outubro,2012,152 000 km,1 560 cm3,115 cv,Sedan,Azul,Automática,6,5,5,Tracção dianteira,,,Sim,Sim,"4,50 l/100km",,Usados,12 600        EUR,8090524448,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds5-1-6-e-hdi-air-so-chic-cmp6-112g-ID8Px0ZO.html,,,Sim,Classe 1,18 Meses,,Sim,Sim,,,Sim,154 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Astra,1.6 CDTI Dynamic S/S,Diesel,Agosto,2016,174 944 km,1 598 cm3,110 cv,Utilitário,Cinzento,Manual,6,5,5,,,1,,Sim,,,Usados,11 750        EUR,8090308599,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-dynamic-s-s-ID8Pv6Qn.html,,,Sim,Classe 1,18 Meses,,,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Março,2014,96 000 km,1 199 cm3,82 cv,SUV / TT,Cinzento,Manual,,5,5,,,,Sim,Sim,,,Usados,11 950        EUR,8090623581,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8PxqMJ.html,,,Sim,,18 Meses,Nacional,Sim,Sim,Metalizado,15/03/2024,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,Renault,Zoe,(c/ Bateria) 22 kwh Life,Eléctrico,Abril,2015,96 000 km,,88 cv,Citadino,Branco,Automática,1,5,5,Tracção dianteira,,,,,,,Usados,10 999        EUR,8090596876,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-c-bateria-22-kwh-life-ID8PxjQ0.html,,,,,,,,,,,,,,170 km,,22 kWh,Própria,150 km,,,,,,StandVirtual,Yes,2023-09-20
Particular,Smart,ForTwo Coupé,coupe EQ passion,Eléctrico,Maio,2020,42 000 km,,82 cv,Pequeno citadino,Preto,Automática,,2,2,,,,,Sim,,,Usados,14 800        EUR,8090325528,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-coupe-eq-passion-ID8Pvbfq.html,Sim,,,Classe 1,,Importado,,,Metalizado,,,,,,,,,160 km,,,31/05/2025,,,StandVirtual,Yes,2023-09-20
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Maio,2018,190 119 km,1 499 cm3,120 cv,Carrinha,Preto,Manual,6,5,5,Tracção dianteira,,1,Sim,,,,Usados,13 190        EUR,8090618858,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8Pxpyy.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Fiat,500,1.0 GSE Hybrid Dolcevita,Gasolina,Abril,2021,34 630 km,999 cm3,70 cv,Citadino,Bege,Manual,,3,5,,,1,Sim,Sim,,,Usados,14 492        EUR,8090524846,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-gse-hybrid-dolcevita-ID8Px16e.html,Sim,Sim,Sim,Classe 1,18 Meses,,Sim,Sim,Mate,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Dacia,Sandero,1.2 16V Confort Bi-Fuel,Gasolina,Outubro,2013,156 670 km,1 149 cm3,75 cv,SUV / TT,Cinzento,Manual,,5,5,,,,,,,,Usados,7 999        EUR,8090524851,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-2-16v-confort-bi-fuel-ID8Px16j.html,Sim,,Sim,,18 Meses,,,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,Renault,Captur,1.5 dCi Exclusive,Diesel,Novembro,2014,160 000 km,1 461 cm3,90 cv,SUV / TT,Cinzento,Manual,5,5,5,Tracção dianteira,139 g/km,,Sim,Sim,"4,60 l/100km","3,90 l/100km",Usados,13 000        EUR,8090340845,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8Pvfet.html,,,,,,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Fiat,500C,0.9 8V TwinAir by Gucci,Gasolina,Outubro,2011,108 000 km,875 cm3,85 cv,Cabrio,Preto,Manual,,2,4,Tracção dianteira,95 g/km,1,Sim,Sim,"4,70 l/100km",,Usados,13 750        EUR,8089125657,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-0-9-8v-twinair-by-gucci-ID8Pr96F.html,,,Sim,,18 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,VW,Golf Variant,1.6 TDi GPS Edition,Diesel,Fevereiro,2017,199 983 km,1 598 cm3,110 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,1,Sim,,,,Usados,11 890        EUR,8089123381,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-gps-edition-ID8Pr8wX.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Renault,Twingo,1.0 SCe Limited,Gasolina,Março,2019,75 379 km,999 cm3,70 cv,Pequeno citadino,Cinzento,Manual,,5,4,Tracção dianteira,,,,,5 l/100km,,Usados,11 400        EUR,8088958783,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-limited-ID8PqrH9.html,Sim,,Sim,Classe 1,18 Meses,Nacional,,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Citroën,C1,1.0 Seduction,Gasolina,Abril,2014,80 617 km,998 cm3,68 cv,Pequeno citadino,Cinzento,Manual,5,5,4,,,1,,Sim,,,Usados,8 870        EUR,8088111938,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-seduction-ID8PmTom.html,Sim,,Sim,Classe 1,18 Meses,Importado,,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Dacia,Duster,1.2 TCe SL Best Choice,Gasolina,Outubro,2016,115 000 km,1 197 cm3,125 cv,SUV / TT,Preto,Manual,,5,5,,,,,,,,Usados,14 990        EUR,8090492735,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-2-tce-sl-best-choice-ID8PvSKj.html,Sim,,,,18 Meses,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,Honda,CR-Z,1.5 IMA i-VTEC GT Top,Híbrido (Gasolina),Abril,2011,92 000 km,1 497 cm3,124 cv,Coupé,Branco,Manual,6,2,4,Tracção dianteira,117 g/km,2,Sim,Sim,"6,10 l/100km","4,40 l/100km",Usados,13 000        EUR,8090573884,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/honda-cr-z-1-5-ima-i-vtec-gt-top-ID8PxdRa.html,,,,Classe 1,,Nacional,Sim,,Pérola,15/04/2024,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Fiat,500,1.2 New Lounge,Gasolina,Fevereiro,2016,106 319 km,1 242 cm3,69 cv,Pequeno citadino,Branco,Manual,5,3,4,,,1,,Sim,,,Usados,12 470        EUR,8088561350,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-new-lounge-ID8PoMiV.html,Sim,,Sim,Classe 1,18 Meses,Nacional,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,75 000 km,1 242 cm3,69 cv,Pequeno citadino,Preto,Manual,5,3,4,Tracção dianteira,129 g/km,1,Sim,Sim,"5,90 l/100km","4,40 l/100km",Usados,12 950        EUR,8089675793,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PtsdP.html,,,Sim,Classe 1,36 Meses,Nacional,,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Karl,1.0 Rocks,Gasolina,Setembro,2018,54 103 km,999 cm3,73 cv,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,139 g/km,,,,6 l/100km,"4,50 l/100km",Usados,12 850        EUR,8089951357,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-karl-1-0-rocks-ID8PuBUp.html,,,,,36 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Kia,Rio,1.2 CVVT LX,Gasolina,Janeiro,2016,85 094 km,1 248 cm3,85 cv,Citadino,Prateado,Manual,5,5,5,,,1,,Sim,,,Usados,12 870        EUR,8090298657,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-rio-1-2-cvvt-lx-ID8Pv4g1.html,Sim,,Sim,Classe 1,18 Meses,Nacional,Sim,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Outubro,2017,92 854 km,898 cm3,90 cv,Citadino,Branco,Manual,5,5,5,,,1,,Sim,,,Usados,13 970        EUR,8088270080,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8Pnyx2.html,Sim,,Sim,Classe 1,18 Meses,Importado,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,Ford,Fiesta,1.6 TDCi Titanium,Diesel,Junho,2012,236 000 km,1 560 cm3,95 cv,Citadino,Castanho,Manual,5,5,5,Tracção dianteira,95 g/km,,,,"4,40 l/100km","3,20 l/100km",Usados,6 950        EUR,8090643914,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-6-tdci-titanium-ID8Pxv4G.html,,,,Classe 1,,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,Volvo,V60,1.6 D2 R-Design,Diesel,Junho,2013,114 000 km,1 560 cm3,115 cv,Carrinha,Cinzento,Manual,,5,5,,,,,,"5,20 l/100km",,Usados,12 500        EUR,8090644713,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v60-1-6-d2-r-design-ID8Pxvhz.html,,,,,,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Corsa,1.3 CDTi Dynamic,Diesel,Julho,2018,169 000 km,1 248 cm3,95 cv,Utilitário,Branco,Manual,5,5,5,,,1,Sim,Sim,,,Usados,11 990        EUR,8090297640,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-dynamic-ID8Pv3ZC.html,,Sim,,Classe 1,18 Meses,Nacional,,Sim,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,SEAT,Ibiza,1.6 TDI Style,Diesel,Agosto,2012,174 000 km,1 598 cm3,90 cv,Utilitário,Preto,Manual,5,5,5,,,1,Sim,Sim,,,Usados,11 900        EUR,8090418118,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-6-tdi-style-ID8PvzkO.html,Sim,,,Classe 1,18 Meses,Nacional,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Hyundai,i20,1.2 Blue GO!,Gasolina,Abril,2018,38 542 km,1 248 cm3,84 cv,Citadino,Azul,Manual,,5,5,,,1,,Sim,,,Usados,14 670        EUR,8090293391,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i20-1-2-blue-go-ID8Pv2T5.html,Sim,,Sim,Classe 1,18 Meses,Importado,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Fevereiro,2011,82 544 km,1 598 cm3,105 cv,Carrinha,Cinzento,Manual,,5,5,,,,,,,,Usados,9 749        EUR,8090644723,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PxvhJ.html,Sim,,Sim,,18 Meses,,,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,SEAT,Ibiza ST,1.6 TDi Style DPF,Diesel,Junho,2010,141 675 km,1 598 cm3,105 cv,Carrinha,Branco,Manual,,5,5,,,,,,,,Usados,8 999        EUR,8090644709,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-6-tdi-style-dpf-ID8Pxvhw.html,Sim,,Sim,,18 Meses,,,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Ford,B-Max,1.0 EcoBoost Titanium,Gasolina,Maio,2017,75 691 km,998 cm3,125 cv,Monovolume,Preto,Manual,,5,5,,,1,,Sim,6 l/100km,,Usados,14 870        EUR,8088610396,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-b-max-1-0-ecoboost-titanium-ID8PoZ40.html,Sim,,Sim,Classe 1,18 Meses,Importado,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Ford,KA+,1.2 Ti-VCT Ultimate,Gasolina,Maio,2019,23 009 km,1 196 cm3,85 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,114 g/km,,,Sim,"6,60 l/100km",4 l/100km,Usados,12 750        EUR,8090611393,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-ti-vct-ultimate-ID8PxnC9.html,,,,Classe 1,18 Meses,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Dynamique,Diesel,Junho,2011,298 900 km,1 461 cm3,110 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,114 g/km,,,Sim,"5,80 l/100km","4,20 l/100km",Usados,8 250        EUR,8090603051,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-dynamique-ID8PxlrB.html,,,,Classe 1,18 Meses,Importado,,,Metalizado,,,154 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Nissan,Micra,0.9 IG-T N-Connecta Lifestyle S/S,Gasolina,Setembro,2019,59 872 km,898 cm3,90 cv,Citadino,Cinzento,Manual,5,5,,Tracção dianteira,104 g/km,,Sim,Sim,"5,80 l/100km","3,90 l/100km",Usados,14 999        EUR,8089812410,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-0-9-ig-t-n-connecta-lifestyle-s-s-ID8Pu1Lk.html,Sim,,,,18 Meses,,Sim,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Citroën,DS3,1.6 THP Sport Chic 135g,Gasolina,Abril,2011,79 350 km,1 598 cm3,155 cv,Utilitário,Preto,Manual,5,3,4,,,,Sim,Sim,,,Usados,10 750        EUR,8090596632,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-thp-sport-chic-135g-ID8PxjM4.html,,,Sim,Classe 1,24 Meses,Importado,,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,Toyota,Yaris,1.0 VVT-i Comfort,Gasolina,Setembro,2013,169 000 km,998 cm3,69 cv,Citadino,Prateado,Manual,5,5,5,Tracção dianteira,99 g/km,,Sim,Sim,"5,20 l/100km","3,80 l/100km",Usados,9 250        EUR,8090192498,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-ID8PwCDM.html,,,,Classe 1,,Nacional,Sim,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Fiat,Punto,1.3 M-Jet Easy S&S,Diesel,Dezembro,2017,85 335 km,1 248 cm3,95 cv,Citadino,Cinzento,Manual,5,5,5,,,1,,Sim,,,Usados,12 950        EUR,8089286592,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-3-m-jet-easy-s-s-ID8PrOYo.html,,,Sim,Classe 1,18 Meses,Nacional,Sim,Sim,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,Skoda,Fabia Break,1.0 Ambition,Gasolina,Março,2016,130 000 km,999 cm3,75 cv,Carrinha,Cinzento,Manual,5,5,5,Tracção dianteira,130 g/km,,Sim,Sim,6 l/100km,"4,20 l/100km",Usados,9 900        EUR,8090644673,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-fabia-break-1-0-ambition-ID8PxvgW.html,,,,Classe 1,,,,,Metalizado,30/03/2024,,,,700 km,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Ford,Focus SW,1.0 SCTi Titanium,Gasolina,Agosto,2016,99 500 km,998 cm3,125 cv,Carrinha,Preto,Manual,6,5,,,,,Sim,Sim,,,Usados,12 450        EUR,8090195278,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-scti-titanium-ID8PwDmC.html,Sim,,Sim,,18 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Março,2017,107 643 km,1 248 cm3,95 cv,Citadino,Cinzento,Manual,5,5,5,Tracção dianteira,94 g/km,1,Sim,Sim,,,Usados,12 990        EUR,8085764970,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8Pd2Q2.html,Sim,,Sim,,18 Meses,Nacional,Sim,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Volvo,V40,2.0 D2 R-Design,Diesel,Setembro,2017,93 500 km,1 969 cm3,120 cv,Utilitário,Preto,Manual,6,5,5,,,,,Sim,,,Usados,18 690        EUR,8090619139,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d2-r-design-ID8PxpD5.html,Sim,,Sim,Classe 1,18 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Audi,A3 Sportback,1.6 TDI Attraction,Diesel,Novembro,2015,121 000 km,1 598 cm3,110 cv,Utilitário,Cinzento,Manual,6,5,5,,,,,Sim,,,Usados,16 190        EUR,8090619596,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-attraction-ID8PxpKs.html,Sim,,,Classe 1,18 Meses,Nacional,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Smart,ForTwo Coupé,,Gasolina,Janeiro,2018,60 000 km,898 cm3,90 cv,Cabrio,Branco,Automática,,2,2,,,,Sim,Sim,,,Usados,17 650        EUR,8090619100,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-ID8PxpCs.html,Sim,,Sim,,18 Meses,Nacional,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,VW,Golf,1.0 eTSI Life DSG,Gasolina,Fevereiro,2022,3 449 km,999 cm3,110 cv,Utilitário,Prateado,Automática,,5,5,Tracção dianteira,,1,Sim,,,,Usados,28 190        EUR,8090618704,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-0-etsi-life-dsg-ID8Pxpv4.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Peugeot,308 SW,BlueHDi 130 EAT8 Stop & Start Tech Edition,Diesel,Dezembro,2019,127 000 km,1 499 cm3,130 cv,Carrinha,Branco,Automática,8,5,5,,,,Sim,Sim,"4,20 l/100km",,Usados,18 900        EUR,8090596761,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-bluehdi-130-eat8-stop-start-tech-edition-ID8PxjO9.html,,,Sim,Classe 1,36 Meses,,Sim,Sim,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,BMW,Z4,18 i Pack M Auto,Gasolina,Dezembro,2015,189 000 km,1 997 cm3,156 cv,Cabrio,Preto,Automática,,2,2,Tracção traseira,,,Sim,Sim,,,Usados,26 490        EUR,8089811013,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-z4-18-i-pack-m-auto-ID8Pu1oN.html,Sim,,Sim,,18 Meses,,Sim,Sim,,01/12/2023,,,Série Z,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,VW,Golf,1.6 TDI Confortline,Diesel,Novembro,2018,123 000 km,1 598 cm3,115 cv,Citadino,Cinzento,Manual,5,5,,Tracção dianteira,104 g/km,,,,"4,60 l/100km","3,80 l/100km",Usados,18 500        EUR,8090253466,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-confortline-ID8PwSw8.html,,,,,36 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,BMW,X1,16 d sDrive Advantage,Diesel,Janeiro,2018,147 000 km,1 496 cm3,116 cv,SUV / TT,Cinzento,Manual,,5,5,Tracção traseira,,,Sim,Sim,,,Usados,20 990        EUR,8090203623,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-advantage-ID8PwFxd.html,,,Sim,,18 Meses,,Sim,Sim,,01/01/2024,,,Série X,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,BMW,X1,16 d sDrive,Diesel,Maio,2017,122 000 km,1 496 cm3,116 cv,SUV / TT,Preto,Manual,6,5,5,Tracção dianteira,134 g/km,,,Sim,,,Usados,20 490        EUR,8090646958,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-ID8PxvRM.html,,,Sim,Classe 1,18 Meses,,Sim,Sim,Metalizado,,,154 €,Série X,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,Mercedes-Benz,E 250,BlueTEC Auto,Diesel,Janeiro,2015,218 000 km,2 143 cm3,204 cv,Cabrio,Preto,Automática,9,3,4,,,,Sim,Sim,"5,20 l/100km",,Usados,25 000        EUR,8089358471,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-250-bluetec-auto-ID8Ps7FJ.html,Sim,,,Classe 1,,,,Sim,,,,248 €,Classe E,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,BMW,330,e iPerformance Line Sport,Híbrido (Gasolina),Março,2017,77 000 km,1 998 cm3,252 cv,Sedan,Preto,Automática,,4,5,,45 g/km,,,,,,Usados,28 600        EUR,8090573971,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-330-e-iperformance-line-sport-ID8PxdSz.html,,,,,,,,,,,,,Série 3,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,VW,Arteon,2.0 TDI Elegance DSG,Diesel,Agosto,2018,229 000 km,1 968 cm3,150 cv,Utilitário,Preto,Automática,7,4,5,Tracção dianteira,116 g/km,1,Sim,,,,Usados,19 990        EUR,8089344003,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-arteon-2-0-tdi-elegance-dsg-ID8Ps3Un.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake AMG Line,Diesel,Novembro,2016,255 668 km,1 461 cm3,109 cv,Carrinha,Azul,Manual,,5,5,,,1,Sim,,,,Usados,19 990        EUR,8089389706,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-shooting-brake-amg-line-ID8PsfNv.html,Sim,Sim,Sim,,18 Meses,Nacional,Sim,,,,,,Classe CLA,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Audi,A4 Avant,2.0 TDI S tronic,Diesel,Fevereiro,2018,197 574 km,1 968 cm3,150 cv,Carrinha,Cinzento,Automática,7,5,5,Tracção dianteira,106 g/km,1,Sim,,,,Usados,20 490        EUR,8089258252,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-2-0-tdi-s-tronic-ID8PrHBi.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,BMW,535,d xDrive Auto,Diesel,Setembro,2012,238 000 km,2 993 cm3,313 cv,Sedan,Verde,Automática,,5,,,,1,Sim,Sim,"6,70 l/100km",,Usados,23 990        EUR,8087063527,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-535-d-xdrive-auto-ID8PiuEw.html,,,Sim,,18 Meses,Nacional,Sim,,Metalizado,,,,Série 5,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Dacia,Lodgy,1.5 Blue dCi Comfort 7L,Diesel,Março,2019,152 999 km,1 461 cm3,115 cv,Monovolume,Branco,Manual,6,5,7,Tracção dianteira,,1,Sim,,,,Usados,17 490        EUR,8089199802,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-lodgy-1-5-blue-dci-comfort-7l-ID8Prsoy.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,VW,Passat,1.6 TDI Confortline,Diesel,Abril,2018,199 928 km,1 598 cm3,120 cv,Sedan,Preto,Manual,6,4,5,Tracção dianteira,,1,Sim,,,,Usados,15 990        EUR,8088337660,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-1-6-tdi-confortline-ID8PnQ72.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
