Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,IUC,Filtro de partículas,Registo(s),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,Gancho de Reboque,Consumo Combinado,Autonomia,Bateria,Consumo,Capacidade da bateria,Clássico,ou até,Site,Portugal,Data
Profissional,Peugeot,e-208,,Allure Pack,Eléctrico,Dezembro,2022,10 000 km,,136 cv,Utilitário,Amarelo,,Automática,,5,5,,,,,,,,Nacional,,,Usados,34 600        EUR,8089747552,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-e-208-allure-pack-ID8PtKTe.html,Sim,,,,,36 Meses,,,,10/10/2026,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,330,Série 3,e Corporate Edition Auto,Híbrido (Gasolina),Março,2020,71 615 km,1 998 cm3,292 cv,Sedan,Azul,,Automática,,4,5,,,,,,,,Nacional,,,Usados,37 900        EUR,8089957824,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-330-e-corporate-edition-auto-ID8PuDAI.html,Sim,,,,,36 Meses,,,,10/10/2026,,"1,40 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Nissan,Qashqai,,1.3 DIG-T Acenta,Gasolina,Julho,2022,6 307 km,1 332 cm3,140 cv,SUV / TT,Preto,,Manual,,5,5,,,,,,,,Nacional,,,Usados,30 990        EUR,8089957582,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-3-dig-t-acenta-ID8PuDvO.html,Sim,,,,,36 Meses,,,,,,"6,30 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,e-2008,,GT,Eléctrico,Junho,2023,5 000 km,,136 cv,SUV / TT,Branco,,Automática,,5,5,,,,,,,,Nacional,,,Usados,40 900        EUR,8090067454,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-e-2008-gt-ID8Pw66V.html,Sim,,,,,36 Meses,,,,10/10/2026,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,5008,,1.5 BlueHDi Active Pack EAT8,Diesel,Abril,2023,10 000 km,1 499 cm3,130 cv,SUV / TT,Preto,,Automática,,5,7,,,,,,,,Nacional,,,Usados,44 000        EUR,8089747570,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-active-pack-eat8-ID8PtKTv.html,Sim,,,,,36 Meses,,,,10/10/2026,,"5,60 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,C 250,Classe C,d Coupe 9G-TRONIC AMG Line,Diesel,Novembro,2017,108 000 km,2 143 cm3,204 cv,Coupé,Branco,,Automática,9,2,4,Classe 1,Tracção traseira,,,,Sim,1,Nacional,Sim,Sim,Usados,36 600        EUR,8089610722,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-250-d-coupe-9g-tronic-amg-line-ID8Ptbii.html,,,,Sim,,18 Meses,Sim,"4,80 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Jeep,Wrangler Unlimited,,2.8 CRD MTX Sahara Limited,Diesel,Junho,2011,146 000 km,2 777 cm3,177 cv,SUV / TT,Preto,,Manual,,4,5,,,,,52 €,,,Nacional,,,Usados,37 990        EUR,8086903830,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/jeep-wrangler-unlimited-2-8-crd-mtx-sahara-limited-ID8PhP6K.html,Sim,,,,,18 Meses,,"10,50 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,E 220,Classe E,d Avantgarde,Diesel,Janeiro,2019,69 800 km,1 950 cm3,194 cv,Carrinha,Preto,,Automática,,5,5,,,,,,,,Nacional,,,Usados,39 000        EUR,8090337165,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-avantgarde-ID8Pveh7.html,Sim,,,,,24 Meses,,"5,70 l/100km","4,40 l/100km",,,"4,90 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,C 200,Classe C,d AMG Line Aut.,Diesel,Março,2019,69 900 km,1 598 cm3,160 cv,Carrinha,Branco,Metalizado,Automática,9,5,5,Classe 1,Tracção traseira,,,,Sim,1,,Sim,Sim,Usados,34 999        EUR,8089225548,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-d-amg-line-aut-ID8Prz5O.html,,,,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Tesla,Model 3,,Long-Range Dual Motor AWD,Eléctrico,Outubro,2019,164 500 km,,351 cv,Sedan,Cinzento,,Automática,,4,5,Classe 1,Tracção traseira,430 km,,,,,Importado,,Sim,Usados,33 890        EUR,8089328315,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/tesla-model-3-long-range-dual-motor-awd-ID8PrZPl.html,Sim,Sim,Sim,Sim,,18 Meses,,,,,,,560 km,Própria,16 kWh/100km,75 kWh,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,E 300,Classe E,De AMG Line,Híbrido (Diesel),Dezembro,2019,105 000 km,1 950 cm3,306 cv,Carrinha,Branco,,Automática,,5,5,Classe 1,,,44 g/km,,Sim,1,Importado,Sim,Sim,Usados,39 990        EUR,8088911201,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-300-de-amg-line-ID8PqfjH.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,520,Série 5,d Pack M Auto,Diesel,Agosto,2017,140 000 km,1 995 cm3,190 cv,Carrinha,Azul,Metalizado,Automática,8,5,5,Classe 1,,,,,Sim,,,Sim,Sim,Usados,33 990        EUR,8085322826,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-m-auto-ID8PbbOG.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,CLA 200,Classe CLA,d Shooting Brake AMG Line Aut.,Diesel,Outubro,2020,60 000 km,1 950 cm3,150 cv,Carrinha,Preto,Metalizado,Automática,,5,5,Classe 1,,,140 g/km,,Sim,1,,Sim,Sim,Usados,39 990        EUR,8090155118,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-d-shooting-brake-amg-line-aut-ID8PwsUS.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,BMW,420,Série 4,d Pack M Auto,Diesel,Setembro,2015,144 500 km,1 995 cm3,184 cv,Cabrio,Preto,,Automática,8,2,4,,Tracção traseira,,131 g/km,,Sim,,,,,Usados,32 900        EUR,8090676618,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-420-d-pack-m-auto-ID8PxEAa.html,,,,,,,,"5,90 l/100km","4,40 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Volvo,XC 40,,1.5 T3 Momentum Geartronic,Gasolina,Junho,2021,52 000 km,1 477 cm3,163 cv,SUV / TT,Prateado,,Automática,8,5,5,Classe 1,Tracção dianteira,,,,,,Nacional,,,Usados,39 700        EUR,8088057373,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-1-5-t3-momentum-geartronic-ID8PmFch.html,,,Sim,Sim,,48 Meses,,"8,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,C 220,Classe C,d Aut.,Diesel,Setembro,2017,170 000 km,2 143 cm3,170 cv,Coupé,Branco,,Automática,,3,4,Classe 1,,,,,,,Importado,,Sim,Usados,34 900        EUR,8089289163,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-aut-ID8PrPDR.html,Sim,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,C 200,Classe C,,Diesel,Março,2020,75 775 km,1 597 cm3,160 cv,Carrinha,Preto,Metalizado,Automática,,5,,Classe 1,Tracção traseira,,,,,,Nacional,,Sim,Usados,39 900        EUR,8084855013,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-ID8P9e7j.html,Sim,,Sim,,,24 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Alfa Romeo,Stelvio,,2.2 D Super AT8,Diesel,Julho,2019,69 879 km,2 143 cm3,190 cv,SUV / TT,Cinzento,Metalizado,Automática,,5,5,,,,,,,,,,,Usados,32 899        EUR,8090112780,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-stelvio-2-2-d-super-at8-ID8PwhU0.html,Sim,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Mercedes-Benz,E 200,Classe E,Avantgarde,Gasolina,Dezembro,2019,41 300 km,1 991 cm3,197 cv,Carrinha,Preto,,Automática,9,5,5,Classe 1,Tracção traseira,,171 g/km,,,1,Nacional,Sim,Sim,Usados,38 500        EUR,8090717553,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-200-avantgarde-ID8PxPep.html,,,,,,,Sim,"9,10 l/100km","5,60 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
