Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,IUC,Filtro de partículas,Registo(s),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,Gancho de Reboque,Consumo Combinado,Autonomia,Bateria,Consumo,Capacidade da bateria,Clássico,ou até,Site,Portugal,Data
Profissional,BMW,X3,Série X,20 d xDrive Advantage,Diesel,Fevereiro,2018,134 989 km,1 995 cm3,190 cv,SUV / TT,Preto,Metalizado,Automática,8,5,5,Classe 1,Integral,,154 g/km,,,1,Nacional,Sim,Sim,Usados,33 850        EUR,8090642870,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x3-20-d-xdrive-advantage-ID8PxwNQ.html,,,,,10/02/2024,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,5008,,1.5 BlueHDi Active Pack EAT8,Diesel,Abril,2023,9 000 km,1 499 cm3,130 cv,SUV / TT,Cinzento,,Automática,,5,7,,,,,,,,Nacional,,,Usados,40 990        EUR,8090789175,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-active-pack-eat8-ID8Py7RB.html,Sim,,,,,36 Meses,,,,10/10/2026,,"5,60 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,CLS 250,Classe CLS,CDi BlueEfficiency Shooting Brake,Diesel,Abril,2013,100 000 km,2 143 cm3,204 cv,Carrinha,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção traseira,,139 g/km,,,,Nacional,Sim,Sim,Usados,32 900        EUR,8089657758,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cls-250-cdi-blueefficiency-shooting-brake-ID8PtnvV.html,Sim,,Sim,Sim,12/04/2024,18 Meses,Sim,"6,30 l/100km","4,70 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Audi,Q3,,35 TFSI S line S tronic,Gasolina,Março,2019,91 000 km,1 498 cm3,150 cv,SUV / TT,Preto,Metalizado,Automática,,5,5,Classe 1,Integral,,,,,1,Nacional,Sim,Sim,Usados,35 900        EUR,8090697550,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-q3-35-tfsi-s-line-s-tronic-ID8PxK1M.html,,,Sim,Sim,14/03/2025,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,3008,,1.2 PureTech Active Pack,Gasolina,Fevereiro,2023,7 000 km,1 199 cm3,130 cv,SUV / TT,Cinzento,,Manual,,5,5,,,,,,,,Nacional,,,Usados,31 790        EUR,8090700733,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-2-puretech-active-pack-ID8PxKR7.html,Sim,,,,,36 Meses,,,,10/10/2026,,"6,10 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,GLC 350,Classe GLC,e Exclusive 4-Matic,Híbrido (Gasolina),Outubro,2017,144 000 km,1 991 cm3,320 cv,SUV / TT,Cinzento,Metalizado,Automática,,5,,,,,,,Sim,,,,,Usados,34 950        EUR,8090789024,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-350-e-exclusive-4-matic-ID8Py7Pa.html,Sim,,Sim,Sim,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Mercedes-Benz,C 250,Classe C,(BlueTEC) d Station 7G-TRONIC AMG Line,Diesel,Janeiro,2015,69 900 km,2 143 cm3,204 cv,Carrinha,Cinzento,Metalizado,Automática,,5,,,,,,,Sim,,,,,Usados,33 900        EUR,8090729132,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-250-bluetec-d-station-7g-tronic-amg-line-ID8PxSfa.html,Sim,,,,,,,"5,40 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,C 300,Classe C,de Avantgarde,Híbrido (Diesel),Novembro,2019,86 000 km,1 950 cm3,306 cv,Carrinha,Cinzento,Metalizado,Automática,9,5,5,Classe 1,Tracção traseira,,,240 €,Sim,,Importado,Sim,Sim,Usados,35 750        EUR,8090313531,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-de-avantgarde-ID8Pv87W.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,320 Gran Turismo,Série 3,d Pack M Auto,Diesel,Abril,2019,124 229 km,1 995 cm3,190 cv,Sedan,Cinzento,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,Sim,,Nacional,Sim,Sim,Usados,39 500        EUR,8088164737,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-gran-turismo-d-pack-m-auto-ID8Pn77X.html,,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,520,Série 5,d Auto,Diesel,Maio,2018,81 000 km,1 995 cm3,190 cv,Carrinha,Branco,,Automática,,5,5,,,,121 g/km,,,,Nacional,,,Usados,35 500        EUR,8090700826,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-auto-ID8PxKSC.html,Sim,,,,,36 Meses,,"5,10 l/100km","4,30 l/100km",10/10/2026,,"4,60 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,3008,,1.2 PureTech Active Pack,Gasolina,Fevereiro,2022,7 000 km,1 199 cm3,130 cv,SUV / TT,Cinzento,,Manual,,5,5,,,,,,,,Nacional,,,Usados,31 790        EUR,8090700722,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-2-puretech-active-pack-ID8PxKQV.html,Sim,,,,,36 Meses,,,,10/10/2026,,"6,10 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,C 220,Classe C,d Coupe 9G-TRONIC AMG Line,Diesel,Novembro,2017,117 000 km,2 143 cm3,170 cv,Coupé,Branco,Metalizado,Automática,,2,4,,,,,,Sim,,,,Sim,Usados,33 750        EUR,8089389590,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-coupe-9g-tronic-amg-line-ID8PsfLE.html,Sim,,Sim,Sim,,18 Meses,Sim,5 l/100km,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Cupra,Formentor,,1.5 TSI Base DSG,Gasolina,Setembro,2022,5 964 km,1 498 cm3,150 cv,SUV / TT,Preto,Metalizado,Automática,7,5,5,,Tracção dianteira,,,,,,Nacional,Sim,Sim,Usados,34 850        EUR,8089944954,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/cupra-formentor-1-5-tsi-base-dsg-ID8PuAf8.html,,,Sim,Sim,,18 Meses,Sim,"6,50 l/100km",5 l/100km,20/09/2025,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,2008,,,Diesel,Julho,2021,15 320 km,1 499 cm3,131 cv,SUV / TT,Vermelho,Metalizado,Manual,,5,5,Classe 1,,,117 g/km,,,1,Importado,Sim,,Usados,30 900        EUR,8090075155,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-ID8Pw879.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,520,Série 5,d Touring Aut. Luxury Line,Diesel,Setembro,2018,119 000 km,1 995 cm3,190 cv,Carrinha,Azul,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,,,250 €,Sim,,Nacional,Sim,Sim,Usados,31 990        EUR,8090320644,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-touring-aut-luxury-line-ID8Pv9YE.html,Sim,,Sim,Sim,,36 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,B 200,Classe B,AMG Line Aut.,Gasolina,Julho,2020,65 000 km,1 332 cm3,163 cv,Monovolume,Branco,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,,130 €,Sim,,Importado,Sim,Sim,Usados,32 950        EUR,8089166539,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-b-200-amg-line-aut-ID8PrjK3.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,6 l/100km,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Cupra,Born,,58 kWh,Eléctrico,Setembro,2022,75 000 km,,204 cv,Utilitário,Cinzento,,Automática,1,5,5,Classe 1,Tracção traseira,425 km,,,,1,Nacional,Sim,Sim,Usados,33 500        EUR,8090788909,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/cupra-born-58-kwh-ID8Py7Nj.html,,,,,,18 Meses,,,,14/09/2025,,,424 km,Própria,"15,50 kWh/100km",58 kWh,,,StandVirtual,Yes,2023-10-10
Profissional,VW,ID.4,,Pro Performance 1st Max,Eléctrico,Dezembro,2020,33 000 km,,204 cv,SUV / TT,Azul,Metalizado,Automática,,5,5,Classe 1,,550 km,,,Sim,,,,,Usados,42 990        EUR,8089370145,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-id-4-pro-performance-1st-max-ID8PsaI1.html,Sim,Sim,Sim,Sim,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,Z4,Série Z,28 i Pack M Auto,Gasolina,Março,2013,113 284 km,1 997 cm3,245 cv,Cabrio,Preto,,Automática,6,2,2,Classe 1,Tracção dianteira,,,,,,Importado,,,Usados,34 900        EUR,8090326084,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-z4-28-i-pack-m-auto-ID8Pvboo.html,,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Lexus,UX 300e,UX,Premium,Eléctrico,Fevereiro,2021,12 000 km,,204 cv,SUV / TT,Azul,Metalizado,Automática,1,5,5,Classe 1,Tracção dianteira,300 km,,,,,,,,Usados,38 950        EUR,8090604369,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/lexus-ux-300e-premium-ID8PxlMR.html,Sim,Sim,Sim,Sim,,36 Meses,,,,,,,300 km,Própria,15 kWh/100km,54 kWh,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,A 180,Classe A,d AMG Line Aut.,Diesel,Maio,2021,38 450 km,1 461 cm3,116 cv,Utilitário,Branco,,Automática,,5,5,,,,,,Sim,,Nacional,,Sim,Usados,33 500        EUR,8090641078,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxwkV.html,,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Abarth,695C,,1.4 T-Jet Rivale MTA,Gasolina,Agosto,2018,53 308 km,1 368 cm3,180 cv,Cabrio,Cinzento,,Automática,5,,,Classe 1,Tracção dianteira,,,,,,Nacional,,,Usados,31 900        EUR,8090326078,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/abarth-695c-1-4-t-jet-rivale-mta-ID8Pvboi.html,,,Sim,Sim,10/08/2024,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,DS,DS7 Crossback,,1.5 BlueHDi Performance Line EAT8,Diesel,Fevereiro,2020,110 000 km,1 499 cm3,130 cv,SUV / TT,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,,138 g/km,,,1,Nacional,Sim,Sim,Usados,30 250        EUR,8090730841,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ds-ds7-crossback-1-5-bluehdi-performance-line-eat8-ID8PxSGJ.html,,,,,,,Sim,"4,20 l/100km","3,80 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,Spacetourer,,1.5 BlueHDi M Feel,Diesel,Fevereiro,2019,106 393 km,1 499 cm3,120 cv,Monovolume,Cinzento,,Manual,6,5,8,Classe 2,,,,,,,Nacional,,,Usados,33 890        EUR,8090788853,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-spacetourer-1-5-bluehdi-m-feel-ID8Py7Mp.html,Sim,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Audi,Q5,,2.0 TDI quattro S-line S-tronic,Diesel,Dezembro,2017,149 696 km,1 968 cm3,190 cv,SUV / TT,Preto,,Automática,7,5,5,Classe 1,Integral,,,,,,Nacional,,Sim,Usados,39 900        EUR,8090326075,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-q5-2-0-tdi-quattro-s-line-s-tronic-ID8Pvbof.html,,,Sim,Sim,06/12/2023,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,A 200,Classe A,Style Aut.,Gasolina,Março,2022,27 390 km,1 332 cm3,163 cv,Utilitário,Azul,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,,,,,Nacional,Sim,Sim,Usados,33 900        EUR,8089751971,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-200-style-aut-ID8PtM2w.html,Sim,Sim,Sim,Sim,,24 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,535,Série 5,d Auto,Diesel,Dezembro,2011,78 700 km,2 993 cm3,299 cv,Carrinha,Preto,,Automática,,4,,,,,,,,,,,Sim,Usados,31 500        EUR,8090788890,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-535-d-auto-ID8Py7N0.html,,,Sim,Sim,,18 Meses,,"7,90 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,A 250,Classe A,AMG Line Aut.,Gasolina,Outubro,2018,52 971 km,1 991 cm3,224 cv,Coupé,Cinzento,,Automática,,5,5,Classe 1,Tracção dianteira,,,,,,Importado,,,Usados,36 900        EUR,8090326072,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-250-amg-line-aut-ID8Pvboc.html,,,Sim,Sim,04/10/2024,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,A 180,Classe A,d AMG Line Aut.,Diesel,Abril,2019,100 000 km,1 461 cm3,116 cv,Sedan,Branco,Metalizado,Automática,,5,5,,,,,,Sim,,Nacional,Sim,Sim,Usados,31 750        EUR,8089585874,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8Pt4Pv.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Volvo,XC 40,,1.5 T5 PHEV Momentum Plus,Híbrido (Gasolina),Novembro,2020,71 000 km,1 477 cm3,262 cv,SUV / TT,Preto,Metalizado,Automática,8,5,5,Classe 1,Integral,,,130 €,Sim,,Importado,Sim,Sim,Usados,39 850        EUR,8090609447,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-1-5-t5-phev-momentum-plus-ID8Pxn6L.html,Sim,Sim,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,CLS 350,Classe CLS,d,Diesel,Outubro,2014,162 000 km,2 987 cm3,258 cv,Sedan,Branco,,Automática,7,4,4,Classe 1,,,,,,2,,Sim,Sim,Usados,32 750        EUR,8090705192,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cls-350-d-ID8PxM12.html,,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,3008,,1.2 PureTech Allure EAT8,Gasolina,Agosto,2021,73 450 km,1 199 cm3,130 cv,SUV / TT,Cinzento,,Automática,,5,5,,,,,,,1,Importado,,,Usados,31 490        EUR,8090187145,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-2-puretech-allure-eat8-ID8PwBfr.html,,Sim,,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,C 250,Classe C,d,Diesel,Agosto,2016,80 000 km,2 143 cm3,204 cv,Coupé,Preto,Metalizado,Automática,9,3,4,Classe 1,Tracção traseira,,121 g/km,,,1,Nacional,Sim,Sim,Usados,32 990        EUR,8089847027,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-250-d-ID8PuaLF.html,,,Sim,Sim,,36 Meses,Sim,"5,20 l/100km","4,30 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,VW,Amarok,,3.0 TDI CD Highline 4Motion Aut.,Diesel,Agosto,2019,121 000 km,2 967 cm3,204 cv,SUV / TT,Cinzento,,Automática,,4,3,,Integral,,,,,,Nacional,,,Usados,35 990        EUR,8090524575,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-amarok-3-0-tdi-cd-highline-4motion-aut-ID8Px11R.html,Sim,Sim,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,ML 450,Classe M,,Diesel,Maio,2010,61 000 km,3 996 cm3,306 cv,SUV / TT,Preto,,Automática,7,5,5,Classe 2,,,,,,1,Nacional,,Sim,Usados,33 900        EUR,8090633233,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-ml-450-ID8Pxtip.html,Sim,,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Audi,A3 Sportback,,40 TFSIe S line,Híbrido (Gasolina),Junho,2021,89 000 km,1 395 cm3,204 cv,Utilitário,Preto,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,,130 €,Sim,,Importado,Sim,Sim,Usados,36 950        EUR,8090165214,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-40-tfsie-s-line-ID8PwwxI.html,Sim,Sim,Sim,Sim,,18 Meses,Sim,,,,,,59 km,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,220 Gran Coupé,Série 2,d Pack M,Diesel,Julho,2020,69 000 km,1 995 cm3,190 cv,Sedan,Azul,Metalizado,Automática,,4,5,Classe 1,,,,,,,,Sim,Sim,Usados,43 146        EUR,8088684889,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-220-gran-coup-d-pack-m-ID8Ppirw.html,Sim,,Sim,Sim,,24 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,530,Série 5,e iPerformance Pack M,Híbrido (Gasolina),Setembro,2018,68 474 km,1 998 cm3,252 cv,Sedan,Preto,Metalizado,Automática,8,4,5,Classe 1,,,,,,,Nacional,,Sim,Usados,35 990        EUR,8089076202,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-530-e-iperformance-pack-m-ID8PqVf0.html,Sim,Sim,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Audi,A5 Cabrio,,,Diesel,Março,2017,72 189 km,1 968 cm3,190 cv,Cabrio,Preto,,Automática,7,3,4,Classe 1,Tracção dianteira,,,,,,Importado,,Sim,Usados,42 900        EUR,8090326062,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a5-cabrio-ID8Pvbo2.html,,,Sim,Sim,23/03/2024,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Audi,A3 Sportback,,45 TFSIe S line,Híbrido (Gasolina),Setembro,2023,674 km,1 395 cm3,245 cv,Utilitário,Preto,,Automática,,5,5,,,,,,,,Nacional,,,Usados,43 990        EUR,8090788775,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-45-tfsie-s-line-ID8Py7L9.html,Sim,,,,,36 Meses,,,,,,"1,20 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,E 200,Classe E,,Diesel,Junho,2017,39 069 km,1 998 cm3,150 cv,Sedan,Preto,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,Sim,1,,Sim,Sim,Usados,42 990        EUR,8085210287,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-200-ID8PaIxx.html,,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Toyota,C-HR,,1.8 Hybrid Exclusive+P.Luxury,Híbrido (Gasolina),Agosto,2021,26 000 km,1 798 cm3,122 cv,SUV / TT,Cinzento,,Automática,,5,5,Classe 1,,,,,,,Nacional,,Sim,Usados,32 990        EUR,8090788740,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-c-hr-1-8-hybrid-exclusive-p-luxury-ID8Py7KA.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,M550d,Série 5,xDrive Auto,Diesel,Outubro,2012,199 000 km,2 993 cm3,381 cv,Sedan,Preto,,Automática,7,5,5,Classe 1,Tracção dianteira,,165 g/km,,,,Nacional,,,Usados,32 500        EUR,8090326058,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-m550d-xdrive-auto-ID8PvbnY.html,,,Sim,Sim,30/10/2023,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,320,Série 3,d Touring Line Sport Auto,Diesel,Janeiro,2020,130 000 km,1 995 cm3,190 cv,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,,,,,Sim,1,,Sim,Sim,Usados,33 950        EUR,8089373578,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-line-sport-auto-ID8PsbBo.html,,Sim,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,E 220,Classe E,,Diesel,Fevereiro,2018,103 000 km,1 950 cm3,163 cv,Coupé,Cinzento,Metalizado,Automática,,3,4,Classe 1,,,,,Sim,1,Importado,Sim,Sim,Usados,39 400        EUR,8089389970,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-ID8PsfRM.html,Sim,,,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,520,Série 5,d Pack M Auto,Diesel,Agosto,2019,87 000 km,1 995 cm3,190 cv,Carrinha,Preto,,Automática,,5,5,Classe 1,,,,,,,Nacional,,Sim,Usados,39 990        EUR,8090455314,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-m-auto-ID8PvJ0K.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,BMW,Z4,Série Z,sDrive35is Sport-Aut. DKG,Gasolina,Julho,2011,66 150 km,2 979 cm3,340 cv,Cabrio,Preto,Metalizado,Automática,7,2,2,,Tracção traseira,,211 g/km,,,1,Nacional,Sim,Sim,Usados,39 000        EUR,8090729349,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-z4-sdrive35is-sport-aut-dkg-ID8PxSiF.html,Sim,,,,15/07/2024,,Sim,"12,90 l/100km","6,80 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,C 300,Classe C,d AMG Line,Diesel,Julho,2019,109 000 km,1 950 cm3,245 cv,Carrinha,Cinzento,Metalizado,Automática,9,5,5,,Tracção traseira,,155 g/km,,,1,Nacional,Sim,Sim,Usados,38 000        EUR,8089988862,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-d-amg-line-ID8PuLFk.html,,Sim,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,C 220,Classe C,d Aut.,Diesel,Janeiro,2016,142 529 km,2 143 cm3,170 cv,Coupé,Cinzento,Metalizado,Automática,8,3,5,Classe 1,,,,,Sim,1,,Sim,Sim,Usados,34 980        EUR,8087830329,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-aut-ID8PlI8h.html,,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,MINI,Clubman,,Cooper SD Auto,Diesel,Março,2021,17 122 km,1 995 cm3,190 cv,Carrinha,Azul,Metalizado,Automática,8,6,5,Classe 1,,,,,Sim,,Nacional,,Sim,Usados,37 990        EUR,8088073015,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-clubman-cooper-sd-auto-ID8PmJgz.html,Sim,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,CLA 200,Classe CLA,d Shooting Brake AMG Line Aut.,Diesel,Julho,2019,110 000 km,1 950 cm3,150 cv,Carrinha,Cinzento,Metalizado,Automática,,5,5,,,,,,Sim,,,Sim,Sim,Usados,39 990        EUR,8090585522,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-d-shooting-brake-amg-line-aut-ID8PxgSS.html,,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Mégane E-Tech,,EV60 Techno Optimum Charge,Eléctrico,Junho,2022,21 000 km,,218 cv,SUV / TT,Vermelho,,Automática,,5,5,,,,,,,,,,Sim,Usados,39 800        EUR,8088773583,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-e-tech-ev60-techno-optimum-charge-ID8PpFv3.html,Sim,Sim,,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,CLA 45 AMG,Classe CLA,4-Matic,Gasolina,Outubro,2014,135 000 km,1 991 cm3,360 cv,Sedan,Branco,,Automática,7,4,5,,Integral,,161 g/km,,,,Nacional,Sim,Sim,Usados,34 990        EUR,8090192435,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-45-amg-4-matic-ID8PwCCL.html,,,Sim,Sim,,18 Meses,Sim,"8,80 l/100km","5,80 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Hyundai,Tucson,,1.6 CRDi Vanguard,Diesel,Novembro,2021,30 549 km,1 598 cm3,116 cv,SUV / TT,Preto,,Manual,6,5,5,,Tracção dianteira,,139 g/km,,,,Nacional,Sim,Sim,Usados,30 990        EUR,8090740706,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-tucson-1-6-crdi-vanguard-ID8PxWfQ.html,Sim,Sim,Sim,Sim,,18 Meses,Sim,"5,60 l/100km","4,40 l/100km",08/11/2026,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,520,Série 5,d Auto,Diesel,Maio,2018,56 562 km,1 995 cm3,190 cv,Carrinha,Azul,Metalizado,Automática,8,5,5,Classe 1,,,114 g/km,,,,Nacional,,Sim,Usados,34 990        EUR,8090613653,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-auto-ID8PxocB.html,Sim,Sim,Sim,Sim,11/07/2024,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
