Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Origem,Consumo Urbano,Tracção,Inspecção válida até,Número de Mudanças,Emissões CO2,Consumo Extra Urbano,VIN,Valor Fixo,IVA Discriminado,Livro de Revisões completo,Consumo Combinado,Garantia de Fábrica até,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,ou até,IUC,Sub-modelo,Consumo,Site,Portugal,Data
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Maio,2018,239 000 km,1 461 cm3,75 cv,Sim,Utilitário,Branco,Metalizado,Manual,5,5,,18 Meses,,Sim,Sim,Usados,11 480,8090887015,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PyxjF.html,Nacional,"4,40 l/100km",Tracção dianteira,,5,129 g/km,"3,60 l/100km",Mostrar VIN,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge Tech J17,Diesel,Fevereiro,2017,199 000 km,1 248 cm3,95 cv,Sim,Carrinha,Preto,Metalizado,Manual,5,5,,18 Meses,,Sim,Sim,Usados,8 980,8092065149,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-tech-j17-ID8PDtNP.html,Nacional,"5,30 l/100km",Tracção dianteira,,5,99 g/km,"3,50 l/100km",Mostrar VIN,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Smart,ForTwo Coupé,1.0 Passion 71 Aut.,Gasolina,Setembro,2018,58 000 km,999 cm3,71 cv,Sim,Pequeno citadino,Preto,,Automática,3,2,Classe 1,18 Meses,,Sim,Sim,Usados,13 250,8091438626,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-aut-ID8PAQOC.html,Importado,"4,70 l/100km",,,,94 g/km,"3,70 l/100km",,,,Sim,"4,10 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Smart,ForTwo Coupé,1.0 71,Gasolina,Fevereiro,2019,22 000 km,999 cm3,71 cv,Sim,Pequeno citadino,Preto,,Manual,3,2,Classe 1,18 Meses,,Sim,Sim,Usados,12 850,8091384775,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-71-ID8PACO3.html,Importado,,,,,93 g/km,,,,,Sim,"4,10 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,Maio,2017,70 000 km,1 199 cm3,110 cv,Sim,SUV / TT,Branco,Metalizado,Manual,5,5,,18 Meses,,Sim,Sim,Usados,12 400,8092156800,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-ID8PDRE4.html,Importado,,Tracção dianteira,,5,141 g/km,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,208,1.6 BlueHDi Active,Diesel,Dezembro,2015,101 252 km,1 560 cm3,100 cv,,Citadino,Prateado,Metalizado,Manual,5,5,Classe 1,18 Meses,1,,Sim,Usados,12 900,8091665434,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-active-ID8PBNOO.html,Importado,,,,5,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Agosto,2022,25 473 km,999 cm3,70 cv,Sim,Citadino,Branco,,Manual,3,4,Classe 1,36 Meses,1,Sim,Sim,Usados,14 700,8091212459,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PzTYL.html,Nacional,,Tracção dianteira,17 Agosto 2026,6,106 g/km,,Mostrar VIN,,,Sim,,17 Agosto 2025,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,VW,Polo,1.0 Confortline Nav,Gasolina,Outubro,2016,53 000 km,999 cm3,75 cv,,Citadino,Cinzento,Metalizado,Manual,5,5,Classe 1,,,,,Usados,11 500,8092164706,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-nav-ID8PDTHA.html,,"5,80 l/100km",,,5,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,500,1.0 Hybrid,Gasolina,Janeiro,2023,18 333 km,999 cm3,70 cv,Sim,Citadino,Verde,Metalizado,Manual,3,4,Classe 1,36 Meses,1,Sim,Sim,Usados,14 900,8091244647,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-ID8PA2lW.html,Nacional,,Tracção dianteira,27 Janeiro 2027,6,106 g/km,,Mostrar VIN,,Sim,Sim,,27 Janeiro 2026,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Fevereiro,2022,42 000 km,1 199 cm3,83 cv,Sim,Citadino,Branco,Metalizado,Manual,5,5,,18 Meses,1,Sim,Sim,Usados,14 590,8090610684,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-c-series-ID8PxnqI.html,Nacional,,,,5,,,,Sim,Sim,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Nissan,Qashqai,1.5 dCi Acenta,Diesel,Julho,2015,150 000 km,1 461 cm3,110 cv,Sim,SUV / TT,Preto,Metalizado,Manual,5,5,,18 Meses,,,,Usados,14 950,8092118314,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-acenta-ID8PDHDk.html,Nacional,"4,20 l/100km",Tracção dianteira,,6,99 g/km,"3,60 l/100km",Mostrar VIN,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Fiat,Tipo,,Diesel,Junho,2019,100 000 km,1 248 cm3,95 cv,,Citadino,Cinzento,Metalizado,Manual,5,,,,,,,Usados,12 500,8090810668,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-ID8Pydsg.html,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Citroën,C4 Picasso,1.6 e-HDi Exclusive,Diesel,Setembro,2015,175 000 km,1 560 cm3,115 cv,,Monovolume,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,1,,Sim,Usados,12 850,8090375105,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-picasso-1-6-e-hdi-exclusive-ID8Pvo93.html,Nacional,"4,50 l/100km",Tracção dianteira,,6,105 g/km,"3,80 l/100km",Mostrar VIN,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Dezembro,2017,107 000 km,1 598 cm3,110 cv,Sim,Carrinha,Castanho,,Manual,5,5,Classe 1,18 Meses,,,Sim,Usados,12 450,8091988123,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-business-edition-s-s-ID8PD9Lt.html,Nacional,,,,6,,,Mostrar VIN,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Zoe,(c/ Bateria) 41 kwh Intens,Eléctrico,Janeiro,2018,81 451 km,,92 cv,Sim,Citadino,Branco,,Automática,5,5,Classe 1,18 Meses,1,Sim,,Usados,13 890,8091233559,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-c-bateria-41-kwh-intens-ID8PzZt5.html,Nacional,,,28 Junho 2024,,,,Mostrar VIN,,Sim,Sim,,30 Janeiro 2026,310 km,40 kWh,Própria,310 km,160 000 km,,,,StandVirtual,Yes,2024-04-07
Profissional,Honda,Civic Tourer,1.6 i-DTEC Comfort,Diesel,Junho,2016,104 288 km,1 597 cm3,120 cv,Sim,Carrinha,Preto,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 490,8092047501,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/honda-civic-tourer-1-6-i-dtec-comfort-ID8PDpdb.html,Nacional,"3,70 l/100km",Tracção dianteira,,6,117 g/km,"3,50 l/100km",Mostrar VIN,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Alfa Romeo,MiTo,0.9 T TwinAir,Gasolina,Maio,2018,42 000 km,875 cm3,105 cv,,Utilitário,Vermelho,,Manual,3,5,Classe 1,18 Meses,,Sim,Sim,Usados,12 750,8090380341,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-0-9-t-twinair-ID8Pvpww.html,Nacional,5 l/100km,Tracção dianteira,,6,99 g/km,"3,80 l/100km",Mostrar VIN,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Peugeot,508 SW,1.6 BlueHDi Active EAT6,Diesel,Março,2017,128 000 km,1 560 cm3,120 cv,,Carrinha,Cinzento,Metalizado,Automática,5,5,,,,,,Usados,15 000,8092200308,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-active-eat6-ID8PE2XO.html,,"4,70 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,308,1.5 BlueHDi Style,Diesel,Dezembro,2018,157 116 km,1 499 cm3,102 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,1,,Sim,Usados,14 750,8091989167,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-style-ID8PDa2j.html,Nacional,,Tracção dianteira,20 Dezembro 2024,6,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,500,,Gasolina,Outubro,2019,58 607 km,875 cm3,86 cv,Sim,Citadino,Preto,Metalizado,Manual,3,4,,36 Meses,,,,Usados,13 900,8090818970,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-ID8PyfCa.html,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Smart,ForFour,0.9 Passion 90,Gasolina,Julho,2016,87 000 km,898 cm3,90 cv,Sim,Utilitário,Vermelho,,Manual,5,4,Classe 1,18 Meses,,Sim,Sim,Usados,11 450,8090026646,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-0-9-passion-90-ID8PuWuK.html,Nacional,"6,70 l/100km",Tracção traseira,,5,134 g/km,"4,60 l/100km",Mostrar VIN,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Mazda,CX-5,2.2 D Evolve HS HT Navi,Diesel,Outubro,2014,270 000 km,2 191 cm3,150 cv,,SUV / TT,Cinzento,Metalizado,Manual,5,5,Classe 1,,,Sim,Sim,Usados,11 000,8091833823,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mazda-cx-5-2-2-d-evolve-hs-ht-navi-ID8PCwCL.html,,"5,40 l/100km",Tracção dianteira,,6,119 g/km,"4,10 l/100km",Mostrar VIN,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,VW,Polo,1.0 Confortline,Gasolina,Março,2018,72 000 km,999 cm3,75 cv,Sim,Utilitário,Cinzento,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 980,8091718994,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8PC1KG.html,Nacional,,,,5,,,Mostrar VIN,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Mazda,CX-5,2.2 D Evolve HS HT Navi,Diesel,Outubro,2014,270 000 km,2 191 cm3,150 cv,,SUV / TT,Cinzento,Metalizado,Manual,5,5,Classe 1,,,Sim,Sim,Usados,11 000,8091833823,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mazda-cx-5-2-2-d-evolve-hs-ht-navi-ID8PCwCL.html,,"5,40 l/100km",Tracção dianteira,,6,119 g/km,"4,10 l/100km",Mostrar VIN,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,VW,Polo,1.0 Confortline,Gasolina,Março,2018,72 000 km,999 cm3,75 cv,Sim,Utilitário,Cinzento,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 980,8091718994,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8PC1KG.html,Nacional,,,,5,,,Mostrar VIN,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,308 SW,1.6 BlueHDi Style,Diesel,Dezembro,2016,85 600 km,1 560 cm3,100 cv,Sim,Carrinha,Preto,,Manual,5,5,Classe 1,18 Meses,,,Sim,Usados,13 900,8092127020,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-style-ID8PDJTK.html,Nacional,,,,5,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Opel,Insignia Sports Tourer,2.0 CDTi Executive S/S J18,Diesel,Fevereiro,2015,163 838 km,1 956 cm3,170 cv,,Carrinha,Branco,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 500,8092185112,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-2-0-cdti-executive-s-s-j18-ID8PDZ0I.html,Nacional,"5,80 l/100km",Tracção dianteira,,6,124 g/km,4 l/100km,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Ford,Tourneo Courier,1.0 EcoBoost Titanium,Gasolina,Maio,2017,64 000 km,998 cm3,100 cv,Sim,Monovolume,Branco,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 900,8092176830,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-tourneo-courier-1-0-ecoboost-titanium-ID8PDVR8.html,,"6,30 l/100km",Tracção dianteira,,6,151 g/km,"4,90 l/100km",,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Citroën,C3,1.2 PureTech Elle EAT6,Gasolina,Março,2020,72 000 km,1 199 cm3,110 cv,,Citadino,Cinzento,Metalizado,Automática,5,,,,,,,Usados,14 200,8091890166,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-elle-eat6-ID8PCKhv.html,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Citroën,C4 Cactus,1.2 PureTech Origins,Gasolina,Outubro,2019,109 000 km,1 199 cm3,110 cv,Sim,SUV / TT,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 850,8092109342,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-2-puretech-origins-ID8PDFiC.html,,"5,70 l/100km",Tracção dianteira,,5,131 g/km,4 l/100km,,,Sim,,,,,,,,,"111,46 €",,,StandVirtual,Yes,2024-04-07
Profissional,Mitsubishi,Space Star,1.2 Connect Edition,Gasolina,Abril,2023,16 750 km,1 193 cm3,71 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,Classe 1,51 Meses,,Sim,Sim,Usados,13 990,8091215366,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-connect-edition-ID8PzUJE.html,Nacional,"5,30 l/100km",Tracção dianteira,,5,116 g/km,"4,40 l/100km",Mostrar VIN,,,Sim,,1 Maio 2024,,,,,100 000 km,,,,StandVirtual,Yes,2024-04-07
Profissional,Citroën,C1,1.0 VTi UrbanRide,Gasolina,Setembro,2018,31 460 km,998 cm3,72 cv,,Pequeno citadino,Branco,,Manual,5,4,Classe 1,18 Meses,1,,Sim,Usados,10 950,8092104367,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-urbanride-ID8PDE0n.html,Nacional,4 l/100km,Tracção dianteira,,5,86 g/km,3 l/100km,,Sim,,,3 l/100km,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Dacia,Sandero,0.9 TCe SL Stepway of Life Easy-R,Gasolina,Setembro,2017,77 540 km,898 cm3,90 cv,Sim,SUV / TT,Azul,Metalizado,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,Usados,14 900,8091815699,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-sl-stepway-of-life-easy-r-ID8PCqUr.html,,,Tracção dianteira,9 Setembro 2025,,,,,,,Sim,4 l/100km,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,BMW,116,d EDynamics Line Sport,Diesel,Maio,2016,150 000 km,1 496 cm3,116 cv,,Utilitário,Cinzento,Metalizado,Manual,5,,,,,,,Usados,14 900,8092001785,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-edynamics-line-sport-ID8PDdjP.html,,"3,90 l/100km",,,,,,,,,,,,,,,,,,Série 1,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Captur,TCe 120 EDC Luxe,Gasolina,Fevereiro,2015,129 000 km,1 197 cm3,120 cv,Sim,Utilitário,Cinzento,,Automática,5,,,18 Meses,1,,,Usados,12 500,8091869138,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-tce-120-edc-luxe-ID8PCEOm.html,,"7,30 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,500C,1.2 Mirror,Gasolina,Outubro,2017,61 000 km,1 242 cm3,69 cv,Sim,Cabrio,Preto,,Manual,2,4,Classe 1,18 Meses,1,Sim,Sim,Usados,13 680,8089200653,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-mirror-ID8PrsCh.html,,,,,5,,,Mostrar VIN,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Twingo,,Gasolina,Abril,2021,39 596 km,999 cm3,65 cv,Sim,Pequeno citadino,Preto,,Manual,5,5,Classe 1,18 Meses,1,Sim,Sim,Usados,13 990,8089063987,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-ID8PqT3Z.html,,,Tracção traseira,,5,108 g/km,,Mostrar VIN,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,500,1.3 MJ Lounge S&S,Diesel,Maio,2018,173 000 km,1 248 cm3,95 cv,Sim,Pequeno citadino,Preto,Metalizado,Manual,3,4,Classe 1,18 Meses,1,Sim,Sim,Usados,13 590,8090155313,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-3-mj-lounge-s-s-ID8PwsY1.html,,,,,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Clio Sport Tourer,0.9 TCe Zen,Gasolina,Setembro,2019,81 870 km,898 cm3,90 cv,Sim,Carrinha,Branco,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 490,8091867455,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-zen-ID8PCEnd.html,,,,,5,,,Mostrar VIN,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Smart,ForTwo Coupé,Electric Drive Perfect,Eléctrico,Abril,2021,21 000 km,,82 cv,,Pequeno citadino,Branco,,Automática,3,2,Classe 1,,,Sim,,Usados,13 900,8091021219,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-electric-drive-perfect-ID8Pz6ef.html,,,Tracção traseira,,1,,,,,,,,,130 km,,Própria,130 km,,,,,StandVirtual,Yes,2024-04-07
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Dynamic S/S,Diesel,Agosto,2018,113 599 km,1 598 cm3,110 cv,Sim,Carrinha,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,1,Sim,Sim,Usados,14 890,8091392888,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-dynamic-s-s-ID8PAEUU.html,,,Tracção dianteira,,6,,,Mostrar VIN,Sim,,Sim,,,,,,,,"158,29 €",,,StandVirtual,Yes,2024-04-07
Particular,VW,Up!,1.0 BlueMotion Move,Gasolina,Julho,2014,120 000 km,999 cm3,75 cv,,Citadino,Branco,,Manual,5,,,,,,Sim,Usados,6 400,8092181636,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-bluemotion-move-ID8PDY6E.html,,"5,10 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Fevereiro,2022,7 060 km,999 cm3,70 cv,Sim,Citadino,Cinzento,,Manual,3,4,Classe 1,18 Meses,1,Sim,Sim,Usados,14 900,8091885282,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PCJ0K.html,,,Tracção dianteira,3 Fevereiro 2026,5,,,,Sim,,Sim,4 l/100km,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Opel,Astra,1.0 Dynamic S/S,Gasolina,Junho,2019,102 209 km,999 cm3,105 cv,Sim,Utilitário,Cinzento,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 990,8092091558,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-0-dynamic-s-s-ID8PDAFM.html,Nacional,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Opel,Astra,1.6 CDTI Active,Diesel,Março,2019,109 569 km,1 598 cm3,110 cv,,Carrinha,Azul,Metalizado,Manual,5,5,,,,Sim,Sim,Usados,12 950,8091220432,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-active-ID8PzV3m.html,,"4,20 l/100km",Tracção dianteira,29 Março 2024,6,95 g/km,"3,30 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Smart,ForTwo Coupé,0.9 Prime 90 Aut.,Gasolina,Maio,2016,28 900 km,898 cm3,90 cv,,Pequeno citadino,Laranja,Metalizado,Automática,3,,,,,,,Usados,14 500,8092069225,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-prime-90-aut-ID8PDuRz.html,,5 l/100km,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Citroën,C3 Aircross,1.2 PureTech Shine,Gasolina,Julho,2018,74 503 km,1 199 cm3,110 cv,Sim,SUV / TT,Branco,,Manual,5,5,,18 Meses,,Sim,,Usados,14 500,8092200286,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-aircross-1-2-puretech-shine-ID8PE2Xs.html,Importado,,,,5,112 g/km,,Mostrar VIN,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Março,2015,210 000 km,1 560 cm3,120 cv,,Carrinha,Outra,Metalizado,Manual,5,5,Classe 1,36 Meses,,,,Usados,9 900,8092200287,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8PE2Xt.html,,"4,50 l/100km",Tracção dianteira,,6,108 g/km,"3,90 l/100km",Mostrar VIN,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Março,2021,76 574 km,998 cm3,68 cv,,Citadino,Cinzento,,Manual,5,,,36 Meses,,,,Usados,13 590,8090986234,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8PyX7Y.html,,5 l/100km,Tracção dianteira,,5,95 g/km,"3,60 l/100km",Mostrar VIN,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,Tipo,1.3 M-Jet Street,Diesel,Julho,2020,84 282 km,1 248 cm3,95 cv,,Utilitário,Cinzento,,Manual,5,5,,36 Meses,,,,Usados,14 500,8090860886,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-street-ID8Pyqve.html,,"5,30 l/100km",Tracção dianteira,,5,121 g/km,"3,60 l/100km",Mostrar VIN,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Março,2022,41 477 km,1 199 cm3,83 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,Classe 1,36 Meses,,Sim,,Usados,14 750,8092200283,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-c-series-ID8PE2Xp.html,Nacional,,,,5,97 g/km,,,Sim,,,,1 Janeiro 0001,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Setembro,2017,98 145 km,1 461 cm3,110 cv,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,1,Sim,Sim,Usados,14 990,8091240494,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PA1gV.html,,,Tracção dianteira,,6,,,Mostrar VIN,Sim,,Sim,,,,,,,,"158,29 €",,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,308 SW,1.2 PureTech Allure,Gasolina,Novembro,2015,124 000 km,1 199 cm3,130 cv,Sim,Carrinha,Branco,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,11 950,8092033543,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-2-puretech-allure-ID8PDlA3.html,,,,,6,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Peugeot,308 SW,BlueHDi 120 EAT6 Stop & Start Allure,Diesel,Junho,2016,163 100 km,1 560 cm3,120 cv,,Carrinha,Cinzento,Metalizado,Automática,5,,,,,,,Usados,14 200,8091759110,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-bluehdi-120-eat6-stop-start-allure-ID8PCcbI.html,,"4,50 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Nissan,Qashqai,1.6 dCi Tekna Premium 18 360,Diesel,Maio,2015,170 000 km,1 598 cm3,130 cv,,SUV / TT,Preto,Metalizado,Manual,5,5,Classe 1,,2,Sim,Sim,Usados,14 000,8092149713,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-6-dci-tekna-premium-18-360-ID8PDPNL.html,Nacional,"6,30 l/100km",Tracção dianteira,31 Julho 2024,6,129 g/km,"4,10 l/100km",Mostrar VIN,,,Sim,,,,,,900 km,,60 €,,,StandVirtual,Yes,2024-04-07
