Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Origem,Consumo Urbano,Tracção,Inspecção válida até,Número de Mudanças,Emissões CO2,Consumo Extra Urbano,VIN,Valor Fixo,IVA Discriminado,Livro de Revisões completo,Consumo Combinado,Garantia de Fábrica até,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,ou até,IUC,Sub-modelo,Consumo,Site,Portugal,Data
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Junho,2018,155 000 km,1 461 cm3,90 cv,Sim,Carrinha,Cinzento,Metalizado,Manual,5,,,18 Meses,,Sim,Sim,Usados,11 490,8091435335,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PAPXx.html,Nacional,"3,50 l/100km",,,,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,SEAT,Ibiza,1.0 Eco TSI S&S FR,Gasolina,Junho,2017,93 226 km,999 cm3,110 cv,Sim,Citadino,Branco,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 750,8091795686,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-eco-tsi-s-s-fr-ID8PClHE.html,,"5,20 l/100km",Tracção dianteira,,6,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Smart,ForFour,EQ Business Solution,Eléctrico,Maio,2019,13 287 km,,82 cv,Sim,Citadino,Preto,,Automática,5,4,,18 Meses,,,,Usados,12 950,8091802516,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-eq-business-solution-ID8PCntO.html,Importado,,Tracção dianteira,1 Maio 2025,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Toyota,Yaris,1.4 D-4D Comfort,Diesel,Fevereiro,2016,113 518 km,1 364 cm3,90 cv,Sim,Citadino,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 250,8091246638,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-4-d-4d-comfort-ID8PA2S2.html,,"4,20 l/100km",Tracção dianteira,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,500C,0.9 TwinAir Collezione,Gasolina,Julho,2018,65 000 km,875 cm3,85 cv,Sim,Cabrio,Azul,Metalizado,Manual,2,4,Classe 1,18 Meses,,Sim,Sim,Usados,13 990,8091219180,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-0-9-twinair-collezione-ID8PzWJa.html,Importado,,Tracção dianteira,1 Julho 2024,5,88 g/km,,,,,Sim,4 l/100km,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Nissan,Juke,1.2 DIG-T Acenta,Gasolina,Novembro,2016,144 000 km,1 197 cm3,115 cv,,SUV / TT,Vermelho,,Manual,5,5,,,,Sim,Sim,Usados,10 900,8091957894,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-2-dig-t-acenta-ID8PD1TU.html,,"7,10 l/100km",Tracção dianteira,,6,128 g/km,"4,90 l/100km",Mostrar VIN,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,DS,DS3,1.6 BlueHDi Drive Efficiency,Diesel,Novembro,2016,146 400 km,1 560 cm3,100 cv,Sim,Citadino,Cinzento,Metalizado,Manual,3,5,,18 Meses,,,Sim,Usados,13 450,8090911309,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ds-ds3-1-6-bluehdi-drive-efficiency-ID8PyDDw.html,,"3,60 l/100km",,16 Novembro 2024,,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,500C,1.2 Lounge S&S,Gasolina,Junho,2015,111 000 km,1 242 cm3,69 cv,Sim,Cabrio,Cinzento,Metalizado,Manual,2,4,Classe 1,18 Meses,1,Sim,Sim,Usados,10 900,8086890269,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-s-s-ID8PhLA1.html,,"6,20 l/100km",Tracção dianteira,,5,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2017,73 846 km,1 242 cm3,69 cv,,Citadino,Cinzento,,Manual,3,,,18 Meses,,Sim,Sim,Usados,12 690,8091228308,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PzY6o.html,,"5,90 l/100km",Tracção dianteira,,5,129 g/km,"4,40 l/100km",,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,208,1.2 PureTech Active Pack,Gasolina,Junho,2021,91 587 km,1 199 cm3,75 cv,Sim,Citadino,Cinzento,,Manual,5,5,,18 Meses,1,,Sim,Usados,14 599,8092200330,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-active-pack-ID8PE2Ya.html,Nacional,,,,,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
