Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),IUC,Registo(s),Garantia de Fábrica até,IVA Discriminado,Consumo Combinado,ou até,Autonomia Máxima,Valor sem ISV,Autonomia,Consumo,Capacidade da bateria,Bateria,Site,Portugal,Data
Profissional,Fiat,500,1.0 Hybrid Lounge,Gasolina,Outubro,2020,19 600 km,999 cm3,70 cv,Citadino,Cinzento,Manual,6,3,4,Tracção dianteira,119 g/km,,18/09/2024,Importado,Sim,Sim,Sim,,,Usados,14 900        EUR,8089911776,3 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-lounge-ID8PurC0.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,MINI,Cooper,D,Diesel,Outubro,2013,96 000 km,1 598 cm3,112 cv,Citadino,Bege,Manual,6,3,4,Tracção dianteira,99 g/km,Sim,30/10/2024,Nacional,Sim,Sim,Sim,"4,20 l/100km","3,50 l/100km",Usados,13 490        EUR,8090643348,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PxwWy.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,2,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,BMW,318,d Touring Sport Line,Diesel,Novembro,2014,213 000 km,1 995 cm3,143 cv,Carrinha,Preto,Manual,,5,,,,Sim,01/12/2023,Importado,Sim,Sim,,"5,60 l/100km",,Usados,13 750        EUR,8090752205,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-sport-line-ID8PxYfj.html,Série 3,,,,Metalizado,,,,2,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,308,PureTech 130 Stop & Start GT-Line Edition,Gasolina,Fevereiro,2016,80 000 km,1 199 cm3,130 cv,Citadino,Preto,Manual,,5,,,,,,,Sim,Sim,Sim,5 l/100km,4 l/100km,Usados,14 900        EUR,8089289539,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-puretech-130-stop-start-gt-line-edition-ID8PrPJW.html,,,,Sim,,,18 Meses,,1,,,4 l/100km,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Opel,Corsa,1.2 Edition,Gasolina,Novembro,2021,53 375 km,1 199 cm3,75 cv,Citadino,Outra,Manual,5,5,5,Tracção dianteira,,,,Nacional,Sim,,Sim,,,Usados,14 750        EUR,8090655940,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-edition-ID8PxzcE.html,,,Sim,Sim,Metalizado,,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure,Diesel,Dezembro,2015,164 381 km,1 560 cm3,120 cv,Carrinha,Azul,Manual,6,5,5,Tracção dianteira,,,,Importado,Sim,Sim,Sim,,,Usados,12 990        EUR,8087638439,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-ID8PkUdh.html,,,Sim,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Dezembro,2016,115 901 km,898 cm3,90 cv,Citadino,Preto,Manual,,5,5,Tracção dianteira,94 g/km,,,Importado,Sim,Sim,Sim,,,Usados,13 000        EUR,8087068409,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-edition-ID8PiwWf.html,,,Sim,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,Punto Evo,1.3 M-Jet Dynamic Style,Diesel,Maio,2011,177 388 km,1 248 cm3,85 cv,Utilitário,Cinzento,Manual,,5,5,,,Sim,,Nacional,,Sim,Sim,,,Usados,7 800        EUR,8090493544,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-evo-1-3-m-jet-dynamic-style-ID8PvSXm.html,,,Sim,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,DS3,1.6 e-HDi So Chic,Diesel,Março,2014,149 096 km,1 560 cm3,92 cv,Citadino,Preto,Manual,,3,5,Tracção dianteira,85 g/km,,,Importado,,Sim,Sim,,,Usados,12 000        EUR,8085234823,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-e-hdi-so-chic-ID8PaOWh.html,,,Sim,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Volvo,V40,2.0 D3 Momentum,Diesel,Dezembro,2018,216 000 km,1 969 cm3,150 cv,Utilitário,Cinzento,Manual,6,5,5,Tracção dianteira,134 g/km,,,Nacional,Sim,Sim,,"5,70 l/100km",4 l/100km,Usados,14 990        EUR,8089554406,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d3-momentum-ID8PsVDY.html,,Sim,Sim,Sim,Metalizado,,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Ford,Fiesta,1.0 T EcoBoost Titanium,Gasolina,Fevereiro,2014,67 109 km,998 cm3,100 cv,Utilitário,Cinzento,Manual,,5,5,,,,,,Sim,Sim,Sim,,,Usados,10 950        EUR,8089958701,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-t-ecoboost-titanium-ID8PuDOR.html,,,Sim,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Maio,2020,87 816 km,999 cm3,80 cv,Citadino,Cinzento,Manual,5,5,5,Tracção dianteira,,,,Nacional,Sim,,Sim,,,Usados,14 500        EUR,8090682835,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8PxGcr.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,BMW,116,d EfficientDynamics Edition,Diesel,Julho,2013,168 161 km,1 598 cm3,116 cv,Utilitário,Preto,Manual,6,3,5,Tracção traseira,99 g/km,Sim,,Importado,Sim,Sim,Sim,"4,40 l/100km","3,40 l/100km",Usados,13 750        EUR,8090412045,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-edition-ID8PvxKR.html,Série 1,,,,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Audi,A1,1.6 TDI Attraction,Diesel,Agosto,2011,216 400 km,1 598 cm3,90 cv,Citadino,Branco,Manual,5,3,4,Tracção dianteira,99 g/km,Sim,15/03/2025,Importado,,,Sim,"4,40 l/100km","3,40 l/100km",Usados,9 990        EUR,8090770108,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-1-6-tdi-attraction-ID8Py2U4.html,,,,,Pérola,Classe 1,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Julho,2018,104 810 km,898 cm3,90 cv,Utilitário,Cinzento,Manual,5,5,5,,,,,Importado,Sim,,Sim,,,Usados,13 970        EUR,8090425464,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-edition-ID8PvBfi.html,,Sim,Sim,Sim,,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,C5 Tourer,,Diesel,Fevereiro,2013,165 000 km,1 560 cm3,115 cv,Carrinha,Cinzento,Automática,,5,5,,,,,,,,,"5,20 l/100km",,Usados,10 500        EUR,8089847473,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c5-tourer-ID8PuaSR.html,,Sim,,Sim,Metalizado,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,2008,,Diesel,Julho,2015,144 895 km,1 560 cm3,92 cv,SUV / TT,Cinzento,Manual,5,5,5,,,,,Importado,Sim,,Sim,,,Usados,14 470        EUR,8090102769,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-ID8Pwfix.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,VW,Golf,1.6 TDi Highline,Diesel,Março,2013,250 000 km,1 598 cm3,105 cv,Utilitário,Preto,Manual,,5,,,,,,,,,,"4,60 l/100km",,Usados,10 999        EUR,8090731406,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-highline-ID8PxSPQ.html,,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,Panda,,Híbrido (Gasolina),Junho,2021,30 528 km,1 000 cm3,69 cv,Utilitário,Branco,Manual,,5,5,,,,,,,Sim,Sim,,,Usados,13 900        EUR,8090182790,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-ID8PwA7c.html,,,Sim,Sim,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,Panda,,Gasolina,Setembro,2018,56 187 km,1 200 cm3,69 cv,Utilitário,Branco,Manual,,5,5,,,,,,,Sim,Sim,,,Usados,11 450        EUR,8090182745,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-ID8PwA6t.html,,,Sim,Sim,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Opel,Mokka,,Diesel,Fevereiro,2014,171 263 km,1 700 cm3,130 cv,Utilitário,Azul,Manual,,5,5,,,,,,,Sim,Sim,,,Usados,13 650        EUR,8090182682,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-mokka-ID8PwA5s.html,,Sim,Sim,Sim,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Kia,Rio,1.2 CVVT LX,Gasolina,Janeiro,2016,85 094 km,1 248 cm3,85 cv,Citadino,Prateado,Manual,5,5,5,,,,,Nacional,Sim,,Sim,,,Usados,12 870        EUR,8090298657,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-rio-1-2-cvvt-lx-ID8Pv4g1.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500,1.2 Lounge,Gasolina,Abril,2014,103 302 km,1 242 cm3,69 cv,Citadino,Preto,Manual,5,3,4,Tracção dianteira,129 g/km,,,Importado,,,,"5,90 l/100km","4,40 l/100km",Usados,10 370        EUR,8090581592,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PxfRu.html,,,Sim,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForTwo Coupé,cdi softouch pulse dpf,Diesel,Junho,2012,169 000 km,799 cm3,54 cv,Cabrio,Preto,Automática,5,2,2,Tracção dianteira,87 g/km,Sim,06/06/2024,Importado,,,Sim,"3,40 l/100km",,Usados,8 900        EUR,8090731405,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-cdi-softouch-pulse-dpf-ID8PxSPP.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,2,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Mercedes-Benz,C 220,CDi Avantgarde BlueEfficiency Aut.,Diesel,Março,2012,346 000 km,2 143 cm3,170 cv,Carrinha,Preto,Automática,6,5,5,Tracção traseira,157 g/km,,14/03/2024,,,Sim,Sim,"8,20 l/100km","4,70 l/100km",Usados,13 990        EUR,8090641323,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-avantgarde-blueefficiency-aut-ID8PxwoT.html,Classe C,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,Punto,1.3 M-Jet Lounge S&S,Diesel,Setembro,2013,119 000 km,1 248 cm3,85 cv,Citadino,Cinzento,Manual,5,5,5,Tracção dianteira,90 g/km,Sim,24/09/2024,Nacional,,Sim,Sim,"4,40 l/100km","2,90 l/100km",Usados,8 500        EUR,8090407142,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-3-m-jet-lounge-s-s-ID8PvvtM.html,,,,Sim,Metalizado,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Opel,Crossland X,1.2 Edition FlexFuel,GPL,Março,2018,147 000 km,1 199 cm3,81 cv,SUV / TT,Branco,Manual,,5,5,,,,,Nacional,,,,"6,40 l/100km",,Usados,14 990        EUR,8088667005,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-crossland-x-1-2-edition-flexfuel-ID8PpdN3.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,208,1.2 VTi Active,Gasolina,Março,2014,146 000 km,1 199 cm3,82 cv,Citadino,Cinzento,Manual,,3,5,,,,,,,,,,,Usados,9 480        EUR,8090703901,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-vti-active-ID8PxLGd.html,,,Sim,Sim,Metalizado,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Dezembro,2014,76 529 km,999 cm3,71 cv,Coupé,Preto,Manual,,3,,,,,,Nacional,,,,,,Usados,11 990        EUR,8090590315,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8Pxi8b.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Dacia,Duster,1.5 dCi Prestige,Diesel,Agosto,2011,162 000 km,1 461 cm3,110 cv,SUV / TT,Preto,Manual,,5,,,,,,,,,,"4,50 l/100km",,Usados,8 700        EUR,8090525173,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-5-dci-prestige-ID8Px1bw.html,,,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited Edition,Gasolina,Junho,2019,86 000 km,898 cm3,90 cv,Carrinha,Cinzento,Manual,,5,,,,,,,,,,"5,70 l/100km",,Usados,13 000        EUR,8088850531,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-edition-ID8PpZx9.html,,,,,Metalizado,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Cross Up!,1.0 BMT,Gasolina,Abril,2018,87 000 km,999 cm3,75 cv,Citadino,Branco,Manual,5,5,4,Tracção dianteira,103 g/km,,,Nacional,Sim,Sim,Sim,5 l/100km,"3,90 l/100km",Usados,13 900        EUR,8090303532,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-cross-up-1-0-bmt-ID8Pv5vE.html,,Sim,Sim,Sim,,Classe 1,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,308 SW,1.6 HDi SE Navteq CVM6,Diesel,Julho,2011,147 000 km,1 560 cm3,112 cv,Carrinha,Preto,Manual,6,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,"6,60 l/100km",,Usados,9 450        EUR,8090525213,6 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-hdi-se-navteq-cvm6-ID8Px1c9.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Mitsubishi,Space Star,,Gasolina,Março,2019,47 700 km,999 cm3,71 cv,Utilitário,Cinzento,Manual,,5,5,Tracção dianteira,,,27/03/2025,,Sim,,Sim,,,Usados,11 890        EUR,8088747772,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-ID8PpyNK.html,,Sim,Sim,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Fiat,Grande Punto,,Gasolina,Maio,2015,166 000 km,1 242 cm3,69 cv,Citadino,Cinzento,Manual,,5,5,,117 g/km,,,,,,,,,Usados,7 200        EUR,8090770106,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-grande-punto-ID8Py2U2.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Mercedes-Benz,C 220,CDI Elegance,Diesel,Dezembro,2010,190 000 km,2 148 cm3,170 cv,Sedan,Cinzento,Manual,,4,5,,,,,,,,,"8,20 l/100km",,Usados,14 999        EUR,8086201331,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-cdi-elegance-ID8PeSm7.html,Classe C,,Sim,,Metalizado,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Golf Variant,1.6 TDI DPF MATCH,Diesel,Agosto,2012,265 000 km,1 598 cm3,105 cv,Carrinha,Cinzento,Manual,5,5,5,Tracção dianteira,119 g/km,Sim,15/08/2023,Importado,Sim,,Sim,"5,70 l/100km","3,90 l/100km",Usados,9 900        EUR,8090149473,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-dpf-match-ID8PwrrP.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Golf Variant,1.6 TDi Highline,Diesel,Junho,2010,161 000 km,1 598 cm3,105 cv,Carrinha,Preto,Manual,5,5,5,Tracção dianteira,102 g/km,,12/06/2024,Nacional,Sim,,Sim,"4,90 l/100km","3,30 l/100km",Usados,9 900        EUR,8089765603,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-highline-ID8PtPAn.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,VW,Scirocco,1.4 TSI,Gasolina,Agosto,2010,45 000 km,1 390 cm3,160 cv,Coupé,Branco,Manual,6,3,4,Tracção dianteira,154 g/km,,,Nacional,Sim,Sim,Sim,"8,70 l/100km","5,40 l/100km",Usados,15 000        EUR,8090633361,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-scirocco-1-4-tsi-ID8Pxtkt.html,,Sim,,,Metalizado,Classe 1,,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Clio,1.2 16V Dynamique S,Gasolina,Maio,2011,100 243 km,1 149 cm3,75 cv,Citadino,Cinzento,Manual,,5,5,,,,,Nacional,,Sim,Sim,,,Usados,7 750        EUR,8090687667,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-2-16v-dynamique-s-ID8PxHsn.html,,,Sim,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500C,1.2 Lounge,Gasolina,Julho,2016,53 579 km,1 242 cm3,69 cv,Cabrio,Vermelho,Manual,,2,,,,,,Nacional,,,,,,Usados,13 990        EUR,8089870195,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-ID8PugNl.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,SEAT,Ibiza,1.2 TSI Style,Gasolina,Abril,2013,92 477 km,1 197 cm3,85 cv,Utilitário,Azul,Manual,5,5,5,Tracção dianteira,119 g/km,,,,,Sim,Sim,,,Usados,10 290        EUR,8087630711,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-2-tsi-style-ID8PkScD.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,"104,14 €",,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,208,1.4 HDi SE Style,Diesel,Fevereiro,2015,55 085 km,1 398 cm3,68 cv,Utilitário,Cinzento,Manual,5,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,13 990        EUR,8089439762,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-4-hdi-se-style-ID8PssOS.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Up!,1.0 BlueMotion Move,Gasolina,Março,2016,119 851 km,999 cm3,60 cv,Citadino,Preto,Manual,5,5,4,Tracção dianteira,95 g/km,,,Nacional,,,Sim,,,Usados,10 590        EUR,8089439786,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-bluemotion-move-ID8PssPg.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,Freemont,2.0 M-Jet Urban,Diesel,Junho,2011,270 000 km,1 956 cm3,170 cv,Monovolume,Preto,Manual,6,5,7,Tracção dianteira,,Sim,,Nacional,Sim,Sim,Sim,"8,30 l/100km",,Usados,12 990        EUR,8090596846,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-freemont-2-0-m-jet-urban-ID8PxjPv.html,,,,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,BMW,116,d EDynamics Line Sport,Diesel,Abril,2013,152 000 km,1 598 cm3,116 cv,Utilitário,Azul,Manual,6,5,5,Tracção traseira,,Sim,01/08/2024,Nacional,Sim,,Sim,"4,40 l/100km",,Usados,14 900        EUR,8090422424,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-edynamics-line-sport-ID8PvAsg.html,Série 1,,,Sim,Metalizado,Classe 1,24 Meses,,1,01/08/2025,,,250 000 km,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2019,70 000 km,1 248 cm3,95 cv,Utilitário,Cinzento,Manual,5,5,5,,,,,Nacional,,Sim,Sim,,,Usados,14 900        EUR,8090690474,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PxIbE.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Volvo,V60,1.6 D2 Drive V.Ocean Race Start/Stop,Diesel,Maio,2013,186 000 km,1 560 cm3,115 cv,Carrinha,Azul,Manual,6,5,5,Tracção dianteira,,Sim,01/05/2024,Nacional,Sim,Sim,Sim,"5,20 l/100km",,Usados,13 690        EUR,8090611349,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v60-1-6-d2-drive-v-ocean-race-start-stop-ID8PxnBr.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Março,2019,74 330 km,1 242 cm3,69 cv,Utilitário,Branco,Manual,5,3,4,,,,,Nacional,,,Sim,,,Usados,13 980        EUR,8090033346,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PuXeO.html,,Sim,,,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,C3,1.2 PureTech Origins,Gasolina,Abril,2018,109 200 km,1 199 cm3,82 cv,Citadino,Preto,Manual,5,5,5,,,,,Importado,Sim,Sim,Sim,,,Usados,13 650        EUR,8090567879,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-origins-ID8Pxcij.html,,,Sim,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Ford,Fiesta,1.0 Ti-VCT Titanium,Gasolina,Abril,2015,132 000 km,998 cm3,80 cv,Utilitário,Preto,Manual,5,5,5,,,,,Nacional,,Sim,Sim,,,Usados,10 900        EUR,8090726789,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ti-vct-titanium-ID8PxRDn.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Opel,Adam,,Gasolina,Maio,2013,41 716 km,1 229 cm3,70 cv,Citadino,Branco,Manual,5,3,4,Tracção dianteira,,,20/05/2024,Nacional,,,Sim,,,Usados,9 900        EUR,8090484464,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-adam-ID8PvQAU.html,,Sim,Sim,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Fevereiro,2018,188 000 km,1 598 cm3,115 cv,Carrinha,Cinzento,Manual,5,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,13 900        EUR,8090713969,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PxOiB.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,DS,DS4,1.6 BlueHDi Be Chic,Diesel,Fevereiro,2017,148 000 km,1 560 cm3,120 cv,Citadino,Cinzento,Manual,,5,5,Tracção dianteira,,,15/02/2025,Importado,,Sim,Sim,,,Usados,14 899        EUR,8090449191,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ds-ds4-1-6-bluehdi-be-chic-ID8PvHpZ.html,,Sim,Sim,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,207,1.6 HDi Allure J17,Diesel,Maio,2011,137 068 km,1 560 cm3,112 cv,Utilitário,Cinzento,Manual,6,5,5,Tracção dianteira,119 g/km,,20/05/2024,Nacional,Sim,,Sim,"5,70 l/100km",4 l/100km,Usados,9 290        EUR,8090769844,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-207-1-6-hdi-allure-j17-ID8Py2PO.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,5008,1.6 Premium,Gasolina,Junho,2011,118 000 km,1 598 cm3,120 cv,Monovolume,Azul,Manual,6,5,7,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,"9,90 l/100km",,Usados,10 990        EUR,8090585443,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-6-premium-ID8PxgRB.html,,,,Sim,Metalizado,,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Audi,A1 Sportback,1.6 TDI Business Line,Diesel,Setembro,2013,175 000 km,1 598 cm3,105 cv,Citadino,Prateado,Manual,5,5,,Tracção dianteira,99 g/km,,,,,,,"4,40 l/100km","3,40 l/100km",Usados,13 750        EUR,8090534708,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-6-tdi-business-line-ID8Px3Fi.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
