Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),IUC,Registo(s),Garantia de Fábrica até,IVA Discriminado,Consumo Combinado,ou até,Autonomia Máxima,Valor sem ISV,Autonomia,Consumo,Capacidade da bateria,Bateria,Site,Portugal,Data
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2016,115 385 km,1 242 cm3,69 cv,Citadino,Cinzento,Manual,5,3,4,Tracção dianteira,,,18/02/2024,Nacional,,,Sim,,,Usados,12 950        EUR,8089702335,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Ptz7W.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Ford,Focus SW,1.6 TDCi Titanium Best Econetic,Diesel,Setembro,2014,182 155 km,1 560 cm3,105 cv,Carrinha,Cinzento,Manual,6,5,5,,,,,Nacional,,,Sim,,,Usados,11 950        EUR,8090767579,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-6-tdci-titanium-best-econetic-ID8Py2fh.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Abril,2016,64 586 km,999 cm3,71 cv,Coupé,Preto,Manual,,3,,,,,,Nacional,,,,,,Usados,12 990        EUR,8090592080,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8PxiAE.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Executive S/S J18,Diesel,Agosto,2016,187 000 km,1 598 cm3,136 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,114 g/km,,,,Sim,Sim,Sim,"4,80 l/100km","3,70 l/100km",Usados,14 150        EUR,8087703942,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-executive-s-s-j18-ID8PlbfM.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForFour,1.0 Passion 71,Gasolina,Agosto,2017,59 000 km,999 cm3,71 cv,Citadino,Branco,Manual,,5,,,,,,,,,,"4,80 l/100km",,Usados,11 490        EUR,8090731479,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-passion-71-ID8PxSR1.html,,Sim,Sim,Sim,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,BMW,320,,Diesel,Julho,2010,320 000 km,1 995 cm3,177 cv,Utilitário,Preto,Manual,,5,,,,,,,,,,,,Usados,11 500        EUR,8090762978,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-ID8Py134.html,Série 3,Sim,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Junho,2015,99 000 km,999 cm3,71 cv,Citadino,Azul,Manual,5,3,2,,,,,,,Sim,Sim,,,Usados,9 700        EUR,8090536161,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8Px42J.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Audi,A1 Sportback,1.6 TDI S line Sport Pack,Diesel,Outubro,2013,160 000 km,1 598 cm3,105 cv,Citadino,Azul,Manual,,5,,,,,,,,,,,,Usados,11 999        EUR,8090422431,6 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-6-tdi-s-line-sport-pack-ID8PvAsn.html,,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2018,115 000 km,1 242 cm3,69 cv,Citadino,Amarelo,Manual,,3,4,,,,12/02/2024,,Sim,Sim,Sim,,,Usados,12 500        EUR,8088246037,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Pnshf.html,,,Sim,Sim,,,18 Meses,,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,108,1.0 VTi Allure,Gasolina,Fevereiro,2015,110 000 km,998 cm3,69 cv,Citadino,Branco,Manual,,5,4,,,,20/02/2024,Nacional,Sim,Sim,Sim,,,Usados,9 950        EUR,8090093407,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-allure-ID8PwcRx.html,,,Sim,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,SEAT,Ibiza,SC 1.2 TSi FR,Gasolina,Fevereiro,2014,230 000 km,1 197 cm3,85 cv,Citadino,Branco,Manual,5,3,,Tracção dianteira,,,28/02/2024,Nacional,Sim,Sim,Sim,"6,50 l/100km",,Usados,9 500        EUR,8090747370,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-2-tsi-fr-ID8PxVZk.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Clio,,Gasolina,Agosto,2018,86 465 km,999 cm3,90 cv,Utilitário,Preto,Manual,5,5,5,,,,,Nacional,,,Sim,,,Usados,14 950        EUR,8086199187,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-ID8PeRNx.html,,Sim,,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500C,0.9 8V TwinAir New Lounge S&S,Gasolina,Março,2015,97 000 km,875 cm3,85 cv,Cabrio,Cinzento,Manual,5,2,4,Tracção dianteira,,,,,Sim,Sim,Sim,"4,70 l/100km",,Usados,11 200        EUR,8087983935,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-0-9-8v-twinair-new-lounge-s-s-ID8Pmm5N.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500L,1.3 MJ Lounge,Diesel,Julho,2015,110 980 km,1 248 cm3,85 cv,Utilitário,Preto,Manual,6,5,5,,,,,Nacional,,,Sim,,,Usados,12 450        EUR,8087846371,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500l-1-3-mj-lounge-ID8PlMj1.html,,Sim,,,Metalizado,Classe 1,18 Meses,,2,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Grand Scénic,,Diesel,Abril,2014,220 250 km,1 500 cm3,110 cv,Utilitário,Cinzento,Manual,6,5,7,,,,,,,,,,,Usados,12 900        EUR,8089440439,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-ID8PssZN.html,,Sim,,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
