Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Inspecção válida até,Registo(s),Origem,Não fumador,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Aceita retoma,Possibilidade de financiamento,Garantia de Stand (incl. no preço),Classe do veículo,Livro de Revisões completo,2º Chave,IVA Discriminado,IVA dedutível,Autonomia Máxima,Consumo Combinado,Autonomia,Capacidade da bateria,Bateria,IUC,Filtro de partículas,Clássico,Sub-modelo,Garantia de Fábrica até,ou até,Consumo,Valor sem ISV,Site,Portugal
Particular,Peugeot,108,1.0 VTi Allure,Gasolina,Agosto,2019,20 100 km,998 cm3,72 cv,Sim,Citadino,Azul,Metalizado,Manual,5,5,4,Tracção dianteira,86 g/km,23/08/2023,1,Importado,Sim,"4,90 l/100km","3,60 l/100km",Usados,11 500        EUR,8089776714,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500X,1.3 MJ Lounge S&S,Diesel,Novembro,2015,81 000 km,1 248 cm3,95 cv,Sim,SUV / TT,Castanho,Metalizado,Manual,5,5,5,Tracção dianteira,105 g/km,,,Nacional,,"4,50 l/100km","3,70 l/100km",Usados,14 950        EUR,8089859755,3 Julho 2023,Sim,Sim,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Dynamique,Diesel,Maio,2010,131 022 km,1 461 cm3,85 cv,,Citadino,Preto,Metalizado,Manual,5,5,5,Tracção dianteira,,31/05/2024,,Nacional,Sim,,,Usados,7 800        EUR,8089994647,7 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500C,1.2 Lounge,Gasolina,Julho,2018,31 441 km,1 242 cm3,69 cv,Sim,Cabrio,Branco,,Manual,,2,4,Tracção dianteira,,,1,Nacional,Sim,,,Usados,13 990        EUR,8087740789,13 Julho 2023,,Sim,18 Meses,,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,107,1.0 Active,Gasolina,Maio,2012,115 000 km,998 cm3,68 cv,,Citadino,Azul,Metalizado,Manual,5,3,4,Tracção dianteira,,,,Importado,Sim,"5,10 l/100km",,Usados,6 550        EUR,8089737308,13 Julho 2023,,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C1,1.0 SX Airdream,Gasolina,Fevereiro,2011,110 000 km,998 cm3,68 cv,,Citadino,Branco,Metalizado,Manual,5,3,4,Tracção dianteira,,,,Importado,Sim,"5,40 l/100km",,Usados,5 850        EUR,8089737470,13 Julho 2023,,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Mégane Sport Tourer,1.5 dCi GT Line EDC,Diesel,Março,2014,144 000 km,1 461 cm3,110 cv,Sim,Carrinha,Cinzento,,Automática,6,5,5,Tracção dianteira,95 g/km,19/03/2024,,Nacional,Sim,4 l/100km,"3,50 l/100km",Usados,12 000        EUR,8089948929,13 Julho 2023,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,DS3,1.6 HDi Airdream So Chic,Diesel,Outubro,2010,216 000 km,1 560 cm3,92 cv,,Citadino,Branco,Metalizado,Manual,5,3,5,Tracção dianteira,104 g/km,,1,Nacional,Sim,5 l/100km,3 l/100km,Usados,7 790        EUR,8089661437,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,1 250 km,4 l/100km,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Zen,Eléctrico,Novembro,2018,26 000 km,,88 cv,Sim,Citadino,Roxo,,Automática,,5,5,Tracção dianteira,,,,Importado,,,,Usados,12 990        EUR,8089989287,13 Julho 2023,Sim,Sim,18 Meses,,,Sim,,,,,300 km,40 kWh,Aluguer,,,,,,,,,StandVirtual,Yes
Particular,Opel,Corsa,1.3 CDTI Active,Diesel,Julho,2015,155 492 km,1 248 cm3,75 cv,,Utilitário,Branco,Metalizado,Manual,5,3,2,Tracção dianteira,100 g/km,,1,Nacional,,"4,40 l/100km","3,40 l/100km",Usados,8 500        EUR,8089947910,13 Julho 2023,,,,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Insignia Country Tourer,1.6 CDTi S/S,Diesel,Dezembro,2015,399 800 km,1 598 cm3,136 cv,Sim,Carrinha,Branco,,Manual,,5,,,,,,,,"4,80 l/100km",,Usados,8 990        EUR,8089760543,13 Julho 2023,,,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,1.2 Edition,Gasolina,Fevereiro,2020,79 521 km,1 199 cm3,75 cv,,Citadino,Outra,Metalizado,Manual,5,5,5,Tracção dianteira,,18/02/2024,1,Nacional,Sim,,,Usados,14 500        EUR,8089989282,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,0.9 IG-T N-Connecta Lifestyle S/S,Gasolina,Dezembro,2018,62 568 km,898 cm3,90 cv,,Citadino,Outra,Metalizado,Manual,5,5,5,,,18/12/2024,1,Importado,Sim,,,Usados,14 500        EUR,8089989228,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Auris Touring Sports,,Diesel,Maio,2016,194 000 km,1 364 cm3,90 cv,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,,,,,Nacional,Sim,,,Usados,14 500        EUR,8089189051,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,110 €,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech GT Line,Gasolina,Maio,2017,80 000 km,1 199 cm3,110 cv,,Citadino,Preto,,Manual,5,3,5,,,,1,,Sim,,,Usados,14 500        EUR,8089877423,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,D,Diesel,Dezembro,2012,200 000 km,1 598 cm3,90 cv,Sim,Citadino,Preto,,Manual,6,3,4,,,,,,Sim,,,Usados,8 990        EUR,8090038029,13 Julho 2023,,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Particular,Opel,Corsa,1.3 CDTi All White,Diesel,Julho,2014,227 000 km,1 248 cm3,95 cv,,Citadino,Branco,,Manual,,3,,,,,,Nacional,Sim,"5,40 l/100km",,Usados,5 000        EUR,8087776363,13 Julho 2023,,,,,Sim,Sim,,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,1.6 e-HDi Shine Ed.Moonlight ETG6,Diesel,Maio,2015,159 000 km,1 560 cm3,92 cv,,SUV / TT,Branco,Pérola,Automática,6,5,5,Tracção dianteira,,,1,,Sim,"3,90 l/100km",,Usados,14 990        EUR,8089202078,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 8V S&S 120º,Gasolina,Setembro,2012,114 000 km,1 242 cm3,69 cv,,Citadino,Castanho,,Manual,,3,,,,,1,,Sim,,,Usados,8 900        EUR,8089821956,13 Julho 2023,Sim,Sim,18 Meses,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Junho,2017,122 000 km,1 499 cm3,120 cv,,Carrinha,Cinzento,,Manual,6,5,5,Tracção dianteira,,,1,Nacional,Sim,"4,30 l/100km",,Usados,13 900        EUR,8089822098,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Audi,A3 Sportback,1.6 TDI Advance Ultra,Diesel,Setembro,2014,245 000 km,1 598 cm3,110 cv,Sim,Utilitário,Branco,,Manual,6,5,5,Tracção dianteira,,,,,,,,Usados,12 800        EUR,8089628629,13 Julho 2023,,,,Classe 1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,1.5 dCi Tekna Sport,Diesel,Outubro,2010,214 000 km,1 461 cm3,110 cv,,Utilitário,Branco,,Manual,6,5,5,,,,1,Nacional,,,,Usados,11 950        EUR,8089944251,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,DS,DS4 Crossback,1.6 BlueHDi So Chic J18,Diesel,Abril,2017,153 960 km,1 560 cm3,120 cv,,SUV / TT,Branco,Pérola,Manual,6,5,4,Tracção dianteira,103 g/km,,1,Nacional,Sim,"4,50 l/100km","3,60 l/100km",Usados,14 400        EUR,8089948758,13 Julho 2023,,,,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,Picanto,1.2 CVVT GT Line,Gasolina,Abril,2017,90 925 km,1 248 cm3,84 cv,Sim,Citadino,Branco,,Manual,5,5,5,Tracção dianteira,106 g/km,03/02/2025,2,,Sim,"5,80 l/100km","3,70 l/100km",Usados,11 950        EUR,8090038024,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Leaf,Acenta,Eléctrico,Novembro,2015,146 666 km,,109 cv,Sim,Utilitário,Branco,,Automática,,5,5,Tracção dianteira,,,,Nacional,,,,Usados,9 900        EUR,8089989281,13 Julho 2023,Sim,Sim,18 Meses,,,,,,,,,24 kWh,Própria,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Sandero,Blue dCi 95 Comfort,Diesel,Setembro,2020,43 000 km,1 461 cm3,95 cv,,Citadino,Branco,Metalizado,Manual,5,5,5,Tracção dianteira,94 g/km,,1,Importado,Sim,"4,10 l/100km","3,20 l/100km",Usados,14 499        EUR,8089959163,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,Fiat,Grande Punto,1.2 Free,Gasolina,Maio,2010,129 000 km,1 242 cm3,65 cv,Sim,Citadino,Preto,,Manual,,5,5,,135 g/km,,2,Nacional,,,,Usados,5 899        EUR,8089891224,13 Julho 2023,,,18 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.6 TDI Reference,Diesel,Abril,2018,143 000 km,1 598 cm3,95 cv,Sim,Utilitário,Cinzento,,Manual,,5,5,,,,,Nacional,,,,Usados,13 990        EUR,8089566242,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Março,2018,101 000 km,1 242 cm3,69 cv,Sim,Citadino,Cinzento,,Manual,,3,4,,,,,Nacional,,,,Usados,12 990        EUR,8089566235,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.5 TDCi Active+,Diesel,Setembro,2018,100 542 km,1 499 cm3,85 cv,,Citadino,Branco,,Manual,6,5,5,Tracção dianteira,,,1,,Sim,"4,40 l/100km",,Usados,13 499        EUR,8087142828,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Particular,VW,Up!,1.0 BlueMotion Move,Gasolina,Março,2015,126 000 km,999 cm3,60 cv,,Citadino,Preto,,Manual,5,5,4,Tracção dianteira,95 g/km,,,,,5 l/100km,"3,60 l/100km",Usados,7 990        EUR,8089936562,13 Julho 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,1.6 e-HDi Allure J17,Diesel,Outubro,2013,156 000 km,1 560 cm3,115 cv,,Utilitário,Branco,Pérola,Manual,6,5,5,Tracção dianteira,100 g/km,,,Nacional,Sim,"4,40 l/100km","3,50 l/100km",Usados,13 450        EUR,8089959160,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Março,2015,83 000 km,898 cm3,90 cv,Sim,SUV / TT,Preto,,Manual,5,5,5,Tracção dianteira,113 g/km,,2,Nacional,,6 l/100km,"4,30 l/100km",Usados,11 999        EUR,8089810752,13 Julho 2023,,,18 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Mégane Sport Tourer,1.5 Blue dCi Business,Diesel,Junho,2019,134 000 km,1 461 cm3,115 cv,,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Tracção dianteira,118 g/km,,1,Importado,Sim,"4,60 l/100km",,Usados,14 990        EUR,8089916130,13 Julho 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,TCe 90 Dynamique,Gasolina,Abril,2018,135 000 km,898 cm3,90 cv,Sim,Utilitário,Preto,Metalizado,Manual,5,5,5,Tracção dianteira,,,,,,"6,20 l/100km",,Usados,12 990        EUR,8089215128,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Março,2018,110 000 km,898 cm3,90 cv,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Tracção dianteira,,,1,,,"6,30 l/100km",,Usados,13 490        EUR,8089166541,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Mégane Sport Tourer,1.5 dCi Dynamique S SS,Diesel,Novembro,2013,194 500 km,1 461 cm3,110 cv,,Carrinha,Castanho,Metalizado,Manual,6,5,5,Tracção dianteira,90 g/km,17/01/2024,2,Importado,Sim,"3,90 l/100km","3,20 l/100km",Usados,9 800        EUR,8089954438,11 Julho 2023,,,,Classe 1,,Sim,,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Maio,2015,118 356 km,1 461 cm3,90 cv,,SUV / TT,Cinzento,Metalizado,Manual,5,5,5,Tracção dianteira,,08/05/2024,1,,Sim,,,Usados,13 800        EUR,8089990077,7 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge,Gasolina,Março,2019,55 000 km,1 242 cm3,69 cv,Sim,Citadino,Vermelho,Metalizado,Manual,,3,4,,,,1,,,,,Usados,14 990        EUR,8089790217,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,,Gasolina,Junho,2019,62 387 km,898 cm3,90 cv,Sim,Utilitário,Prateado,,Manual,5,5,5,,132 g/km,,,,,,,Usados,13 750        EUR,8089780218,11 Julho 2023,,,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDi BlueMotion Confortline,Diesel,Maio,2015,154 000 km,1 598 cm3,110 cv,Sim,Carrinha,Azul,Metalizado,Manual,6,5,5,Tracção dianteira,87 g/km,,1,Nacional,,4 l/100km,,Usados,13 750        EUR,8089053996,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,Sim,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.4 TDi Trendline,Diesel,Março,2016,155 747 km,1 422 cm3,90 cv,,Citadino,Prateado,Metalizado,Manual,5,5,5,Tracção dianteira,95 g/km,,1,Importado,,4 l/100km,"3,10 l/100km",Usados,12 900        EUR,8089832609,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,SD,Diesel,Novembro,2011,164 734 km,1 995 cm3,143 cv,,Citadino,Cinzento,Metalizado,Manual,6,3,4,Tracção dianteira,,,1,Importado,,,,Usados,14 900        EUR,8087562046,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Smart,ForFour,Electric Drive Passion,Eléctrico,Março,2019,99 000 km,,82 cv,Sim,Citadino,Castanho,Metalizado,Automática,,5,4,,,,1,Nacional,Sim,,,Usados,13 800        EUR,8089320695,13 Julho 2023,,,,Classe 1,Sim,Sim,,,,,120 km,,Própria,,,,,,,,,StandVirtual,Yes
Particular,Citroën,C3 Aircross,PureTech 110 Stop & Start OPF SHINE PACK,Gasolina,Agosto,2018,95 000 km,1 199 cm3,110 cv,,SUV / TT,Cinzento,Metalizado,Manual,,5,5,,,,,,,,,Usados,13 990        EUR,8089948487,13 Julho 2023,,,,,,,,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza ST,1.2 TDi Reference DPF,Diesel,Junho,2011,249 000 km,1 199 cm3,75 cv,Sim,Carrinha,Cinzento,,Manual,5,5,5,Tracção dianteira,99 g/km,,2,Nacional,,"4,60 l/100km","3,30 l/100km",Usados,5 499        EUR,8089996705,13 Julho 2023,,,18 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Junho,2019,69 064 km,1 461 cm3,90 cv,,Utilitário,Cinzento,Metalizado,Manual,,5,5,Tracção dianteira,89 g/km,,1,Nacional,Sim,,,Usados,13 980        EUR,8090037899,13 Julho 2023,Sim,,18 Meses,Classe 1,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Mirror,Gasolina,Março,2019,68 500 km,1 242 cm3,69 cv,,Utilitário,Branco,Metalizado,Manual,5,3,4,Tracção dianteira,99 g/km,,1,Nacional,Sim,"6,40 l/100km","4,60 l/100km",Usados,12 149        EUR,8090033387,13 Julho 2023,,,18 Meses,,Sim,Sim,,,,,,,,,,Sim,,,,,,StandVirtual,Yes
Particular,Dodge,Journey,2.0 CRD R/T MTX,Diesel,Maio,2010,170 329 km,1 968 cm3,140 cv,,Monovolume,Preto,Metalizado,Manual,6,5,7,Tracção dianteira,,31/05/2024,,Nacional,Sim,"8,40 l/100km",,Usados,11 400        EUR,8089898406,13 Julho 2023,,,,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,ix35,1.7 CRDi VGT Style,Diesel,Fevereiro,2011,138 600 km,1 685 cm3,115 cv,Sim,SUV / TT,Prateado,Metalizado,Manual,6,5,5,Tracção dianteira,135 g/km,,,Nacional,,6 l/100km,"4,80 l/100km",Usados,13 500        EUR,8089989238,13 Julho 2023,,Sim,18 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo Station Wagon,1.4 Lounge,Gasolina,Junho,2019,50 000 km,1 368 cm3,95 cv,,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Tracção dianteira,159 g/km,,1,Nacional,Sim,"7,80 l/100km","5,70 l/100km",Usados,12 890        EUR,8089853005,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Limousine,1.6 TDI Attraction Ultra,Diesel,Março,2016,270 123 km,1 598 cm3,110 cv,,Sedan,Cinzento,Metalizado,Manual,6,4,5,,,,1,Nacional,,,,Usados,14 990        EUR,8088438017,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,Sim,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Particular,Chevrolet,Spark,1.0 LT Bi-Fuel,GPL,Abril,2013,145 000 km,995 cm3,68 cv,,Citadino,Preto,Metalizado,Manual,5,5,5,Tracção dianteira,,25/04/2024,1,Nacional,Sim,"6,60 l/100km",,Usados,5 500        EUR,8089898411,13 Julho 2023,,,,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Talisman Sport Tourer,1.5 dCi Zen P.Business,Diesel,Outubro,2018,195 429 km,1 461 cm3,110 cv,Sim,Carrinha,Preto,,Manual,,5,5,Tracção dianteira,,,1,Nacional,Sim,,,Usados,13 490        EUR,8088854338,13 Julho 2023,,Sim,18 Meses,,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Scirocco,2.0 TDI Sport,Diesel,Julho,2010,184 123 km,1 968 cm3,140 cv,,Coupé,Vermelho,,Manual,6,3,4,,,,1,Nacional,,,,Usados,13 490        EUR,8088882488,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Particular,Lexus,IS 220,,Diesel,Julho,2012,205 199 km,2 231 cm3,177 cv,,Sedan,Preto,,Manual,5,4,5,Tracção traseira,144 g/km,31/07/2024,2,Nacional,Sim,,,Usados,13 900        EUR,8089948252,13 Julho 2023,,,,Classe 1,Sim,,,,,,,,,,,,IS,,,,,StandVirtual,Yes
Particular,Peugeot,208,1.0 PureTech Access,Gasolina,Novembro,2015,107 000 km,999 cm3,68 cv,,Sedan,Branco,Metalizado,Manual,,5,5,Integral,104 g/km,,,,,"5,20 l/100km",,Usados,7 500        EUR,8089946041,13 Julho 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Captur,0.9 TCE Exclusive,Gasolina,Maio,2020,48 000 km,898 cm3,90 cv,Sim,SUV / TT,Cinzento,Metalizado,Manual,,5,,,,,,,,6 l/100km,,Usados,14 990        EUR,8089898407,13 Julho 2023,,Sim,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,X1,18 d xDrive,Diesel,Maio,2011,190 000 km,1 995 cm3,143 cv,,SUV / TT,Azul,Metalizado,Manual,6,5,5,Integral,,,,Nacional,,"6,50 l/100km","4,80 l/100km",Usados,14 900        EUR,8090023543,13 Julho 2023,Sim,Sim,18 Meses,,,,,,,,,,,,Sim,,Série X,,,,,StandVirtual,Yes
Profissional,Fiat,Punto Evo,1.3 M-Jet Dynamic,Diesel,Julho,2011,257 945 km,1 248 cm3,85 cv,,Citadino,Preto,Metalizado,Manual,5,5,5,,,,,Nacional,Sim,,,Usados,7 450        EUR,8088315736,13 Julho 2023,Sim,Sim,36 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Honda,Civic,1.6 i-DTEC Comfort,Diesel,Agosto,2013,166 000 km,1 597 cm3,120 cv,,Utilitário,Verde,Metalizado,Manual,6,5,5,,98 g/km,,,Nacional,Sim,4 l/100km,,Usados,12 200        EUR,8086678519,13 Julho 2023,Sim,Sim,18 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Up!,,Gasolina,Abril,2014,73 091 km,999 cm3,60 cv,Sim,Utilitário,Branco,,Manual,5,5,4,Tracção dianteira,,,1,Nacional,Sim,,,Usados,9 390        EUR,8089797124,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech Signature,Gasolina,Março,2019,79 698 km,1 199 cm3,82 cv,Sim,Utilitário,Prateado,Metalizado,Manual,5,5,5,Tracção dianteira,,,1,Nacional,Sim,,,Usados,14 490        EUR,8088175994,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,New Beetle,,Diesel,Julho,2013,214 329 km,1 958 cm3,105 cv,,Citadino,Preto,,Manual,,3,4,,,,1,,Sim,,,Usados,11 890        EUR,8087716843,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,1.1 CRDi Access+Bluetooth,Diesel,Novembro,2017,86 405 km,1 120 cm3,75 cv,Sim,Utilitário,Branco,,Manual,6,5,5,Tracção dianteira,97 g/km,,1,Nacional,Sim,,,Usados,13 590        EUR,8088434320,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,Sim,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,Mitsubishi,Space Star,1.2 Intense,Gasolina,Janeiro,2020,82 000 km,1 193 cm3,80 cv,,Citadino,Branco,Metalizado,Manual,5,5,5,Tracção dianteira,,,,,,"5,30 l/100km",,Usados,10 999        EUR,8088634504,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.0 Ti-VCT Titanium,Gasolina,Fevereiro,2017,69 170 km,998 cm3,80 cv,,Citadino,Branco,,Manual,5,5,5,,99 g/km,,,Nacional,Sim,"5,10 l/100km",,Usados,13 750        EUR,8088904060,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,12/02/2024,140 000 km,,,StandVirtual,Yes
Profissional,Peugeot,508 SW,1.6 e-HDi Business Line Pack 2-Ttronic,Diesel,Julho,2013,200 000 km,1 560 cm3,115 cv,,Carrinha,Preto,Metalizado,Automática,6,5,5,,,,2,,Sim,,,Usados,8 850        EUR,8089863751,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus,1.0 SCTi Trend,Gasolina,Fevereiro,2012,94 500 km,998 cm3,125 cv,Sim,Citadino,Branco,,Manual,6,5,5,Tracção dianteira,114 g/km,06/02/2024,1,Nacional,,"6,30 l/100km","4,20 l/100km",Usados,12 000        EUR,8090037459,13 Julho 2023,,Sim,18 Meses,Classe 1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,Electric Drive Passion,Eléctrico,Maio,2018,32 000 km,,82 cv,Sim,Citadino,Cinzento,Metalizado,Automática,,5,5,,,,,,,,,Usados,14 900        EUR,8089413434,13 Julho 2023,,Sim,18 Meses,,,Sim,,,120 km,,100 km,,Própria,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,1.6 dCi Bose Edition J18,Diesel,Junho,2015,145 000 km,1 598 cm3,130 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Tracção dianteira,105 g/km,,,Importado,,"4,60 l/100km","3,70 l/100km",Usados,13 400        EUR,8089820913,13 Julho 2023,,Sim,18 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,508,1.6 BlueHDi Active EAT6,Diesel,Março,2016,215 000 km,1 560 cm3,120 cv,,Sedan,Branco,Pérola,Automática,6,4,5,Tracção dianteira,102 g/km,,1,,Sim,"4,50 l/100km","3,60 l/100km",Usados,14 480        EUR,8089746200,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Janeiro,2020,171 382 km,898 cm3,90 cv,Sim,SUV / TT,Preto,,Manual,5,5,5,Tracção dianteira,,,,,Sim,"6,30 l/100km",,Usados,14 995        EUR,8088036083,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
