Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Inspecção válida até,Registo(s),Origem,Não fumador,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Aceita retoma,Possibilidade de financiamento,Garantia de Stand (incl. no preço),Classe do veículo,Livro de Revisões completo,2º Chave,IVA Discriminado,IVA dedutível,Autonomia Máxima,Consumo Combinado,Autonomia,Capacidade da bateria,Bateria,IUC,Filtro de partículas,Clássico,Sub-modelo,Garantia de Fábrica até,ou até,Consumo,Valor sem ISV,Site,Portugal
Profissional,Jeep,Renegade,1.6 MJD Limited DCT,Diesel,Março,2019,120 792 km,1 598 cm3,120 cv,,SUV / TT,Azul,,Automática,,5,5,,,,1,Nacional,,,,Usados,21 499        EUR,8087716606,13 Julho 2023,Sim,Sim,18 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i30,1.0 T-GDI Style,Gasolina,Maio,2021,44 386 km,998 cm3,120 cv,Sim,Utilitário,Cinzento,,Manual,,5,5,,,,,Nacional,,,,Usados,20 250        EUR,8089924648,13 Julho 2023,,,58 Meses,,,,,,,"5,60 l/100km",,,,,,,,25/05/2028,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 250,CDi Avantgarde BlueEfficiency,Diesel,Outubro,2010,225 651 km,2 143 cm3,204 cv,Sim,Coupé,Cinzento,,Manual,,2,4,Tracção traseira,135 g/km,,1,Nacional,Sim,,,Usados,21 990        EUR,8088535400,13 Julho 2023,,Sim,18 Meses,,,,,,,,,,,,,,Classe E,,,,,StandVirtual,Yes
Profissional,Jaguar,XF Sportbrake,2.2 D R-Sport,Diesel,Novembro,2014,132 000 km,2 179 cm3,200 cv,,Carrinha,Branco,,Automática,8,5,5,Tracção traseira,139 g/km,,,,Sim,"6,10 l/100km","4,30 l/100km",Usados,21 500        EUR,8089936442,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A5 Sportback,2.0 TDI Multitronic S-line,Diesel,Outubro,2014,146 000 km,1 968 cm3,190 cv,Sim,Sedan,Cinzento,,Automática,,5,5,,,,,Nacional,Sim,,,Usados,23 750        EUR,8089804545,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,"235,26 €",,,,,,,,StandVirtual,Yes
Profissional,Renault,Kadjar,1.5 dCi Intens C/PM+Pneu,Diesel,Fevereiro,2020,14 899 km,1 461 cm3,115 cv,Sim,SUV / TT,Preto,Metalizado,Manual,6,5,5,,,,1,Nacional,,,,Usados,24 950        EUR,8089341107,13 Julho 2023,Sim,Sim,36 Meses,Classe 1,,Sim,,Sim,,,,,,,,,,31/12/2023,,,,StandVirtual,Yes
Profissional,Renault,Captur,1.0 TCe Exclusive,Gasolina,Março,2020,29 873 km,999 cm3,100 cv,Sim,SUV / TT,Vermelho,,Manual,5,5,5,,,,1,Nacional,,,,Usados,19 950        EUR,8088807214,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Fiat,500X,1.3 MJ Cross S&S,Diesel,Abril,2017,86 500 km,1 248 cm3,95 cv,,Utilitário,Cinzento,,Manual,5,5,5,,107 g/km,,,Nacional,Sim,"4,60 l/100km","3,80 l/100km",Usados,16 500        EUR,8089848777,13 Julho 2023,,,,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Nissan,Qashqai,1.5 dCi Tekna 19 Pele RS,Diesel,Maio,2016,90 000 km,1 461 cm3,110 cv,,SUV / TT,Branco,Pérola,Manual,6,5,5,Tracção dianteira,103 g/km,,1,Nacional,Sim,"4,30 l/100km","3,90 l/100km",Usados,18 250        EUR,8089948926,13 Julho 2023,,,,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,CLS 350,,Diesel,Janeiro,2013,230 000 km,2 987 cm3,265 cv,,Carrinha,Preto,,Automática,7,5,5,Tracção traseira,,31/01/2024,2,Nacional,Sim,,,Usados,28 500        EUR,8089766512,13 Julho 2023,,,,Classe 1,,Sim,,,1 000 km,,,,,,,,Classe CLS,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,1.5 BlueHDi Shine Pack,Diesel,Setembro,2020,20 175 km,1 499 cm3,102 cv,Sim,Utilitário,Cinzento,,Manual,6,5,5,Tracção dianteira,104 g/km,,1,Nacional,,"5,50 l/100km","3,90 l/100km",Usados,20 450        EUR,8088784126,13 Julho 2023,Sim,Sim,36 Meses,Classe 1,,,,,,"4,50 l/100km",,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500C,1.0 Hybrid Star,Gasolina,Fevereiro,2021,10 500 km,999 cm3,70 cv,Sim,Cabrio,Cinzento,Metalizado,Manual,6,2,4,Tracção dianteira,122 g/km,,1,,Sim,,,Usados,18 500        EUR,8090038136,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Grand Scénic,,Diesel,Maio,2019,127 000 km,1 749 cm3,120 cv,,Monovolume,Azul,Metalizado,Automática,7,5,7,Tracção dianteira,,,1,,Sim,"5,80 l/100km",,Usados,24 990        EUR,8089989294,13 Julho 2023,,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Leon ST,1.6 TDI Xcellence S/S,Diesel,Abril,2018,156 834 km,1 598 cm3,115 cv,,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Tracção dianteira,129 g/km,,,Nacional,,"4,80 l/100km","3,90 l/100km",Usados,15 450        EUR,8089822553,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,i3,+EXA,Eléctrico,Novembro,2016,62 375 km,,170 cv,,Citadino,Branco,,Automática,,5,4,Tracção traseira,,,,,Sim,,,Usados,18 990        EUR,8090038120,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,,,,,,,,Própria,,,,Série i,,,"0,60 kWh/100km",,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi Allure,Diesel,Março,2019,115 000 km,1 499 cm3,130 cv,Sim,Monovolume,Cinzento,Metalizado,Manual,6,5,7,,,,,,Sim,,,Usados,23 990        EUR,8089944350,13 Julho 2023,Sim,Sim,18 Meses,,Sim,Sim,,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,BMW,320,d Touring ED Line Luxury,Diesel,Fevereiro,2017,108 000 km,1 995 cm3,163 cv,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,,,,,,Sim,,,Usados,20 900        EUR,8089944351,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,Série 3,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo,1.6 M-Jet Lounge DCT,Diesel,Março,2017,99 000 km,1 598 cm3,120 cv,,Utilitário,Azul,Metalizado,Automática,6,5,5,Tracção dianteira,99 g/km,31/03/2025,1,,Sim,"5,20 l/100km","4,30 l/100km",Usados,16 490        EUR,8090038111,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,154 €,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,EV 64kWh Premium,Eléctrico,Dezembro,2019,58 780 km,,204 cv,Sim,Citadino,Branco,Metalizado,Automática,,5,,,,,1,,,,,Usados,29 890        EUR,8088686339,13 Julho 2023,Sim,Sim,18 Meses,,Sim,Sim,Sim,Sim,,,484 km,64 kWh,,,,,,,,"14,70 kWh/100km",,StandVirtual,Yes
Profissional,Hyundai,Ioniq,1.6 GDI PHEV,Híbrido (Gasolina),Maio,2021,38 936 km,1 580 cm3,141 cv,,Sedan,Preto,Metalizado,Automática,6,5,5,Tracção dianteira,26 g/km,,,Nacional,,,,Usados,29 900        EUR,8088032585,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,T-Roc,1.0 TSI Style,Gasolina,Abril,2018,42 172 km,999 cm3,115 cv,,SUV / TT,Branco,Metalizado,Manual,6,5,5,Tracção dianteira,,,1,,Sim,"6,10 l/100km",,Usados,22 900        EUR,8088018705,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,Q2,30 TDI Sport S tronic,Diesel,Dezembro,2018,46 750 km,1 598 cm3,116 cv,Sim,SUV / TT,Preto,,Automática,,5,5,,,,,Nacional,,,,Usados,25 990        EUR,8089308704,13 Julho 2023,,,18 Meses,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.5 BlueHDi Style,Diesel,Junho,2021,21 170 km,1 499 cm3,130 cv,,SUV / TT,Preto,Metalizado,Manual,,5,5,,,,,,Sim,,,Usados,28 980        EUR,8090009405,13 Julho 2023,Sim,Sim,36 Meses,Classe 1,Sim,Sim,Sim,Sim,,,,,,,Sim,,,31/12/2025,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.0 TCe Evolution Bi-Fuel,GPL,Janeiro,2023,2 900 km,999 cm3,100 cv,,Citadino,Preto,Metalizado,Manual,,5,5,,,01/01/2027,,Nacional,Sim,,,Usados,20 950        EUR,8090013331,13 Julho 2023,Sim,Sim,18 Meses,,Sim,Sim,,Sim,,,,,,,,,,11/01/2026,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,EV 39kWh Executive,Eléctrico,Março,2021,28 890 km,,136 cv,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,5,,,,1,,,,,Usados,29 890        EUR,8087731189,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,380 km,,482 km,39 kWh,,,,,,01/07/2026,,39 kWh/100km,,StandVirtual,Yes
Profissional,Peugeot,308,1.6 BlueHDi GT Line,Diesel,Janeiro,2016,145 000 km,1 560 cm3,120 cv,,Utilitário,Branco,Pérola,Manual,7,5,5,Tracção dianteira,,,,,,,,Usados,15 900        EUR,8088238044,13 Julho 2023,,Sim,18 Meses,Classe 1,,,,,950 km,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,BMW,318,d Touring Advantage,Diesel,Novembro,2018,69 250 km,1 995 cm3,150 cv,,Carrinha,Cinzento,,Manual,6,5,5,,,,,Nacional,,,,Usados,24 300        EUR,8089852246,13 Julho 2023,Sim,Sim,18 Meses,,,Sim,,,,,,,,,Sim,,Série 3,,,,,StandVirtual,Yes
Particular,BMW,320,d Auto Line Modern,Diesel,Maio,2015,109 000 km,1 995 cm3,184 cv,,Sedan,Preto,Metalizado,Automática,8,4,5,Tracção traseira,118 g/km,,2,Nacional,Sim,"5,30 l/100km","3,90 l/100km",Usados,20 000        EUR,8089545060,13 Julho 2023,,,,Classe 1,,Sim,,,,,,,,235 €,Sim,,Série 3,,,,,StandVirtual,Yes
Profissional,VW,Golf,2.0 TSi GTI DSG,Gasolina,Fevereiro,2011,172 000 km,1 984 cm3,210 cv,,Coupé,Preto,Metalizado,Automática,6,5,5,Tracção dianteira,,,2,Importado,Sim,10 l/100km,,Usados,19 990        EUR,8089552531,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Clubman,Cooper D,Diesel,Julho,2018,142 800 km,1 995 cm3,150 cv,Sim,Carrinha,Preto,Metalizado,Manual,6,6,5,Tracção dianteira,125 g/km,,1,,Sim,,,Usados,21 990        EUR,8089936578,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,VW,Scirocco,1.4 TSI Sport,Gasolina,Outubro,2014,88 777 km,1 395 cm3,125 cv,,Coupé,Branco,,Manual,,3,4,,,22/10/2023,,Nacional,,,,Usados,19 900        EUR,8089236331,13 Julho 2023,Sim,Sim,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
