Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Emissões CO2,Garantia de Stand (incl. no preço),Origem,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Possibilidade de financiamento,Tipo de cor,Número de Mudanças,Classe do veículo,Tracção,Registo(s),2º Chave,Inspecção válida até,Não fumador,Livro de Revisões completo,Sub-modelo,Autonomia,Consumo,Capacidade da bateria,Bateria,Autonomia Máxima,IUC,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,BMW,X1,25 e xDrive Line Sport,Híbrido Plug-In,Dezembro,2021,30 916 km,1 499 cm3,220 cv,Sim,SUV / TT,Preto,Automática,5,5,,18 Meses,,,,3 l/100km,Usados,,31 900,8091875370,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x1-25-e-xdrive-line-sport-ID8PCGqS.html,Sim,Sim,Metalizado,,Classe 1,Integral,1,Sim,12 Dezembro 2025,Sim,Sim,Série X,,,,,52 km,,,,StandVirtual,Yes,2024-04-01
Profissional,Tesla,Model Y,Long Range Dual Motor AWD,Eléctrico,Novembro,2022,31 626 km,,514 cv,Sim,SUV / TT,Branco,Automática,5,5,,18 Meses,Importado,,,,Usados,,42 899,8092100528,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/tesla-model-y-long-range-dual-motor-awd-ID8PDD0s.html,Sim,Sim,,,Classe 1,,1,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Mercedes-Benz,A 200,Style Plus Aut.,Gasolina,Março,2023,20 100 km,1 332 cm3,163 cv,Sim,Utilitário,Preto,Automática,5,5,,24 Meses,Nacional,,,"5,90 l/100km",Usados,Mostrar VIN,37 000,8092051902,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-200-style-plus-aut-ID8PDqma.html,Sim,,,,,Tracção dianteira,,Sim,,,,Classe A,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Mercedes-Benz,B 180,d Progressive Aut.,Diesel,Maio,2022,9 400 km,1 950 cm3,116 cv,Sim,Monovolume,Preto,Automática,5,5,,24 Meses,Nacional,,,"5,20 l/100km",Usados,Mostrar VIN,36 000,8092051910,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-b-180-d-progressive-aut-ID8PDqmi.html,,,,,,Tracção dianteira,,Sim,,,,Classe B,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Mercedes-Benz,GLB 180,d Progressive,Diesel,Junho,2022,32 000 km,1 950 cm3,116 cv,Sim,SUV / TT,Cinzento,Automática,5,5,,24 Meses,Nacional,,,"5,50 l/100km",Usados,Mostrar VIN,44 500,8092037323,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glb-180-d-progressive-ID8PDmz1.html,,,,,,Tracção dianteira,,Sim,,,,Classe GLB,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Tesla,Model Y,Long Range Dual Motor AWD,Eléctrico,Novembro,2022,28 249 km,,514 cv,Sim,SUV / TT,Branco,Automática,5,5,,18 Meses,Importado,,,,Usados,,42 999,8092100526,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/tesla-model-y-long-range-dual-motor-awd-ID8PDD0q.html,Sim,Sim,,,Classe 1,,1,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Mercedes-Benz,CLA 200,AMG Line Aut.,Gasolina,Maio,2020,76 630 km,1 332 cm3,163 cv,Sim,Coupé,Branco,Automática,4,5,,24 Meses,Nacional,,,,Usados,Mostrar VIN,32 400,8092110978,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-amg-line-aut-ID8PDFJ0.html,,Sim,,,,Tracção dianteira,,Sim,,,,Classe CLA,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,BMW,X6,xDrive30d BluePerformance Edition Exclusive,Diesel,Dezembro,2014,128 000 km,2 993 cm3,245 cv,,SUV / TT,Cinzento,Automática,5,5,,18 Meses,Nacional,,,,Usados,,44 900,8092044855,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x6-xdrive30d-blueperformance-edition-exclusive-ID8PDovw.html,,Sim,Metalizado,,,,,Sim,,Sim,Sim,Série X,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Toyota,Proace Verso,1.5 D-4D L2 1.2T Comfort 9L TC+TAC,Diesel,Outubro,2022,29 000 km,1 499 cm3,120 cv,,Monovolume,Preto,Manual,4,9,,36 Meses,Nacional,,,,Usados,,38 900,8092064605,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-proace-verso-1-5-d-4d-l2-1-2t-comfort-9l-tc-tac-ID8PDtF3.html,,Sim,,,,,1,Sim,,Sim,Sim,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Mercedes-Benz,E 300,De AMG Line,Híbrido Plug-In,Agosto,2019,114 500 km,1 950 cm3,306 cv,Sim,Sedan,Preto,Automática,4,5,,24 Meses,Nacional,,,,Usados,Mostrar VIN,39 000,8092086909,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-300-de-amg-line-ID8PDzsN.html,Sim,Sim,,,,Tracção traseira,,Sim,,,,Classe E,,,,,,,,,StandVirtual,Yes,2024-04-01
