Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Garantia de Stand (incl. no preço),Possibilidade de financiamento,Tipo de cor,Não fumador,Inspecção válida até,Autonomia,Consumo,Capacidade da bateria,Bateria,IVA Discriminado,IUC,Autonomia Máxima,Sub-modelo,Consumo Combinado,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Julho,2016,78 496 km,1 248 cm3,95 cv,Sedan,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,120 g/km,1,Nacional,,Sim,"5,30 l/100km","3,60 l/100km",Usados,Mostrar VIN,11 490,8091933249,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PCWup.html,Sim,18 Meses,Sim,Metalizado,Sim,26 Julho 2024,,,,,,"158,29 €",,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3,1.6 BlueHDi Seduction,Diesel,Fevereiro,2016,199 000 km,1 560 cm3,100 cv,Citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,79 g/km,,,,Sim,"3,60 l/100km","2,70 l/100km",Usados,,10 990,8091940434,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-6-bluehdi-seduction-ID8PCXmi.html,Sim,18 Meses,Sim,Metalizado,Sim,,,,,,,147 €,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Clio,1.2 TCE GT EDC,Gasolina,Agosto,2015,164 000 km,1 197 cm3,120 cv,Citadino,Azul,Automática,6,5,5,Classe 1,Tracção dianteira,120 g/km,,,,Sim,"6,60 l/100km","4,40 l/100km",Usados,,13 490,8092033884,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-2-tce-gt-edc-ID8PDlFy.html,Sim,18 Meses,Sim,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Dacia,Dokker,,Diesel,Outubro,2016,195 000 km,1 500 cm3,90 cv,Carrinha,Branco,Manual,5,4,2,Classe 1,,,1,Nacional,,Sim,,,Usados,,7 950,8092200360,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-dokker-ID8PE2YE.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,500,1.3 Multijet 16V DPF Sport,Diesel,Setembro,2015,144 000 km,1 248 cm3,95 cv,Citadino,Azul,Manual,5,3,4,Classe 1,Tracção dianteira,104 g/km,,,,Sim,5 l/100km,"3,30 l/100km",Usados,,11 490,8092233375,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-3-multijet-16v-dpf-sport-ID8PEbz9.html,Sim,18 Meses,Sim,Metalizado,Sim,,,,,,,147 €,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Clio,1.5 Blue dCi Intens,Diesel,Julho,2021,139 000 km,1 461 cm3,100 cv,Citadino,Cinzento,Manual,,5,,,,,,,,,"3,50 l/100km",,Usados,,14 990,8092065771,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-intens-ID8PDtXR.html,,36 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Renault,Zoe,(s/ Bateria) 22 kwh Zen,Eléctrico,Novembro,2016,145 218 km,,88 cv,Citadino,Branco,Automática,,5,5,Classe 1,Tracção dianteira,,2,Importado,,Sim,,,Usados,Mostrar VIN,7 000,8092224501,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-s-bateria-22-kwh-zen-ID8PE9g1.html,,,,Metalizado,Sim,,110 km,,,Aluguer,,,130 km,,,,,StandVirtual,Yes,2024-04-14
Particular,SEAT,Ibiza,1.4 TDi FR,Diesel,Abril,2017,142 000 km,1 422 cm3,105 cv,Citadino,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,100 g/km,,Nacional,,Sim,"4,40 l/100km","3,60 l/100km",Usados,Mostrar VIN,14 499,8092003357,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-4-tdi-fr-ID8PDdJb.html,,,,Metalizado,,,,,,,,152 €,950 km,,,,,StandVirtual,Yes,2024-04-14
Profissional,DS,DS3,1.6 BlueHDi Drive Efficiency,Diesel,Novembro,2016,146 400 km,1 560 cm3,100 cv,Citadino,Cinzento,Manual,,3,5,,,,,,Sim,Sim,"3,60 l/100km",,Usados,,13 450,8090911309,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ds-ds3-1-6-bluehdi-drive-efficiency-ID8PyDDw.html,,18 Meses,Sim,Metalizado,,16 Novembro 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Maio,2018,182 773 km,1 461 cm3,90 cv,Carrinha,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,,1,Nacional,,Sim,,,Usados,,11 750,8092256890,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PEhGq.html,,18 Meses,Sim,Metalizado,,30 Maio 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Ford,Fiesta,1.5 TDCi Titanium,Diesel,Agosto,2016,169 150 km,1 499 cm3,75 cv,Citadino,Prateado,Manual,5,5,5,Classe 1,Tracção dianteira,,1,Nacional,,Sim,,,Usados,,11 750,8092256884,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-titanium-ID8PEhGk.html,,18 Meses,Sim,Metalizado,,4 Agosto 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,VW,Polo,1.0 (Blue Motion ) Comfortline,Gasolina,Março,2018,100 700 km,999 cm3,75 cv,Citadino,Cinzento,Manual,,5,5,,,,,,,,,,Usados,,15 000,8092274163,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-blue-motion-comfortline-ID8PEmb1.html,,,,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Peugeot,208,1.2 VTi Active,Gasolina,Julho,2015,143 697 km,1 199 cm3,82 cv,Citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,104 g/km,1,Nacional,Sim,Sim,"5,60 l/100km","3,90 l/100km",Usados,Mostrar VIN,9 350,8092274159,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-vti-active-ID8PEmaX.html,,,,Mate,Sim,30 Julho 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Mercedes-Benz,A 180,CDi BE Style,Diesel,Março,2014,240 223 km,1 461 cm3,109 cv,Utilitário,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,,,Importado,,Sim,,,Usados,,14 950,8091817634,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-cdi-be-style-ID8PCrpE.html,,18 Meses,Sim,Metalizado,,12 Março 2024,,,,,,,,Classe A,,,,StandVirtual,Yes,2024-04-14
Profissional,Nissan,Micra,1.0 IG-T N-Sport,Gasolina,Fevereiro,2019,68 000 km,999 cm3,100 cv,Citadino,Vermelho,Manual,,5,5,,,,,Nacional,,,,,Usados,,14 500,8092274160,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-n-sport-ID8PEmaY.html,Sim,18 Meses,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Ford,C-Max,1.5 TDCi Titanium S/S,Diesel,Junho,2018,170 000 km,1 499 cm3,120 cv,Monovolume,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,160 g/km,,,,Sim,"5,30 l/100km","4,40 l/100km",Usados,Mostrar VIN,11 900,8092087399,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-c-max-1-5-tdci-titanium-s-s-ID8PDzAH.html,,,,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
