Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Garantia de Stand (incl. no preço),Possibilidade de financiamento,Tipo de cor,Não fumador,Inspecção válida até,Autonomia,Consumo,Capacidade da bateria,Bateria,IVA Discriminado,IUC,Autonomia Máxima,Sub-modelo,Consumo Combinado,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,Ford,Tourneo Courier,1.0 EcoBoost Ambiente,Gasolina,Dezembro,2017,168 856 km,998 cm3,100 cv,Carrinha,Azul,Manual,,5,5,Classe 1,,,,Nacional,Sim,Sim,,,Usados,,13 900,8091839365,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-tourneo-courier-1-0-ecoboost-ambiente-ID8PCx49.html,Sim,18 Meses,Sim,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Maio,2019,74 307 km,1 461 cm3,75 cv,Utilitário,Cinzento,Manual,,5,5,Classe 1,,,,Nacional,Sim,Sim,,,Usados,,13 900,8089985975,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PuKUL.html,Sim,18 Meses,Sim,Metalizado,Sim,,,,,,Sim,,,,,,,StandVirtual,Yes,2024-04-14
Particular,SEAT,Ibiza,1.0 EcoTSI FR,Gasolina,Junho,2016,88 316 km,999 cm3,110 cv,Citadino,Cinzento,Manual,6,5,5,,Tracção dianteira,99 g/km,,,,,"5,20 l/100km","3,80 l/100km",Usados,Mostrar VIN,12 500,8092110994,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-ecotsi-fr-ID8PDFJg.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,VW,Polo,1.4 TDi Trendline,Diesel,Março,2016,155 747 km,1 422 cm3,90 cv,Citadino,Prateado,Manual,5,5,5,Classe 1,Tracção dianteira,,1,Importado,Sim,Sim,,,Usados,,12 900,8090049208,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-4-tdi-trendline-ID8Pw1mE.html,,18 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Dacia,Lodgy,1.5 dCi Confort+ 7L,Diesel,Maio,2018,168 182 km,1 461 cm3,109 cv,Monovolume,Prateado,Manual,6,5,7,Classe 1,Tracção dianteira,,1,Importado,,Sim,,,Usados,,13 900,8091524225,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-lodgy-1-5-dci-confort-7l-ID8PBd5f.html,,18 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,208,PureTech 68 Like,Gasolina,Maio,2018,124 000 km,1 199 cm3,68 cv,Citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,108 g/km,,,Sim,Sim,"5,50 l/100km","3,90 l/100km",Usados,Mostrar VIN,10 950,8091821108,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-puretech-68-like-ID8PCsjG.html,Sim,18 Meses,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Smart,ForTwo Coupé,,Eléctrico,Outubro,2019,7 300 km,,82 cv,Citadino,Prateado,Automática,,3,2,,Tracção traseira,,,Nacional,,Sim,,,Usados,Mostrar VIN,15 000,8092110969,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-ID8PDFIR.html,Sim,24 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Fiat,Tipo Sedan,1.3 M-Jet Lounge,Diesel,Setembro,2017,278 000 km,1 248 cm3,95 cv,Sedan,Cinzento,Manual,,4,,,,,1,Nacional,,Sim,"5,70 l/100km",,Usados,,5 900,8091037403,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-sedan-1-3-m-jet-lounge-ID8Pzarh.html,,,,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,Panda,1.2 Lounge,Gasolina,Outubro,2020,13 000 km,1 242 cm3,69 cv,Citadino,Branco,Manual,,5,4,,,,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,11 990,8091482250,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-ID8PB2ae.html,Sim,18 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Fevereiro,2022,16 066 km,999 cm3,70 cv,Citadino,Cinzento,Manual,6,3,4,Classe 1,Tracção dianteira,,1,,Sim,Sim,,,Usados,,13 900,8091875354,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PCGqC.html,Sim,18 Meses,Sim,,,2 Fevereiro 2026,,,,,,,,,4 l/100km,,,StandVirtual,Yes,2024-04-14
Particular,Volvo,V40,1.6 D2 R-Design,Diesel,Março,2015,175 000 km,1 560 cm3,115 cv,Utilitário,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,90 g/km,2,Importado,Sim,Sim,"4,10 l/100km",,Usados,,12 650,8092185625,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-1-6-d2-r-design-ID8PDZ8Z.html,,,,Metalizado,Sim,15 Março 2025,,,,,,150 €,1 000 km,,,,,StandVirtual,Yes,2024-04-14
Particular,Fiat,Punto,1.2 Easy S&S,Gasolina,Agosto,2018,61 911 km,1 242 cm3,69 cv,Citadino,Branco,Manual,5,5,5,,Tracção dianteira,117 g/km,1,Nacional,Sim,Sim,"6,60 l/100km","4,30 l/100km",Usados,Mostrar VIN,10 250,8092274111,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-easy-s-s-ID8PEmab.html,Sim,,,,Sim,31 Agosto 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Fevereiro,2021,47 567 km,1 199 cm3,82 cv,Citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,,1,,Sim,Sim,,,Usados,,14 450,8092208741,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-shine-ID8PE59P.html,Sim,18 Meses,Sim,Metalizado,Sim,2 Fevereiro 2025,,,,,,,,,4 l/100km,,,StandVirtual,Yes,2024-04-14
Profissional,Audi,A3 Sportback,1.6 TDI design,Diesel,Dezembro,2015,150 000 km,1 598 cm3,116 cv,Utilitário,Cinzento,Manual,,5,5,,,,,Nacional,,Sim,"4,60 l/100km",,Usados,,14 499,8092065965,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-design-ID8PDu0Z.html,,18 Meses,Sim,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,5008,1.6 BlueHDi Access 5L,Diesel,Junho,2015,167 619 km,1 560 cm3,120 cv,Monovolume,Branco,Manual,,5,5,,,,,,,,"4,80 l/100km",,Usados,,11 950,8092065567,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-6-bluehdi-access-5l-ID8PDtUz.html,,36 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Kia,Rio,1.2 CVVT TX,Gasolina,Maio,2016,75 542 km,1 248 cm3,85 cv,Citadino,Branco,Manual,,5,5,,,,,,,,,,Usados,,11 450,8092065563,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-rio-1-2-cvvt-tx-ID8PDtUw.html,,36 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Janeiro,2019,30 939 km,1 199 cm3,82 cv,Citadino,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,,1,,Sim,Sim,,,Usados,,11 900,8092208598,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PE57v.html,Sim,18 Meses,Sim,,Sim,1 Janeiro 2025,,,,,,,,,4 l/100km,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Fevereiro,2021,47 567 km,1 199 cm3,82 cv,Citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,,1,,Sim,Sim,,,Usados,,14 450,8092208741,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-shine-ID8PE59P.html,Sim,18 Meses,Sim,Metalizado,Sim,2 Fevereiro 2025,,,,,,,,,4 l/100km,,,StandVirtual,Yes,2024-04-14
Profissional,Audi,A3 Sportback,1.6 TDI design,Diesel,Dezembro,2015,150 000 km,1 598 cm3,116 cv,Utilitário,Cinzento,Manual,,5,5,,,,,Nacional,,Sim,"4,60 l/100km",,Usados,,14 499,8092065965,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-design-ID8PDu0Z.html,,18 Meses,Sim,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,5008,1.6 BlueHDi Access 5L,Diesel,Junho,2015,167 619 km,1 560 cm3,120 cv,Monovolume,Branco,Manual,,5,5,,,,,,,,"4,80 l/100km",,Usados,,11 950,8092065567,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-6-bluehdi-access-5l-ID8PDtUz.html,,36 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Kia,Rio,1.2 CVVT TX,Gasolina,Maio,2016,75 542 km,1 248 cm3,85 cv,Citadino,Branco,Manual,,5,5,,,,,,,,,,Usados,,11 450,8092065563,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-rio-1-2-cvvt-tx-ID8PDtUw.html,,36 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Janeiro,2019,30 939 km,1 199 cm3,82 cv,Citadino,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,,1,,Sim,Sim,,,Usados,,11 900,8092208598,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PE57v.html,Sim,18 Meses,Sim,,Sim,1 Janeiro 2025,,,,,,,,,4 l/100km,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Twingo,1.0 SCe Dynamique,Gasolina,Março,2019,75 977 km,999 cm3,70 cv,Citadino,Branco,Manual,5,5,4,Classe 1,Tracção dianteira,95 g/km,1,,Sim,Sim,5 l/100km,"3,70 l/100km",Usados,Mostrar VIN,9 950,8092274128,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-dynamique-ID8PEmas.html,,18 Meses,Sim,,Sim,30 Março 2025,,,,,Sim,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,Ami,Standard,Eléctrico,Junho,2022,12 900 km,,8 cv,Pequeno citadino,Cinzento,Automática,,2,,,,,,,,Sim,,,Usados,,8 500,8091622033,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-ami-standard-ID8PBCvN.html,,18 Meses,Sim,,Sim,,75 km,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Fevereiro,2022,42 000 km,1 199 cm3,83 cv,Citadino,Branco,Manual,5,5,5,,,,1,Nacional,Sim,Sim,,,Usados,,14 590,8090610684,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-c-series-ID8PxnqI.html,Sim,18 Meses,Sim,Metalizado,Sim,,,,,,Sim,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,500,1.0 Hybrid Sport,Gasolina,Maio,2022,41 000 km,999 cm3,70 cv,Pequeno citadino,Branco,Manual,6,3,4,Classe 1,Tracção dianteira,,1,Nacional,Sim,Sim,,,Usados,,14 650,8091874453,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-sport-ID8PCGc5.html,,18 Meses,Sim,,Sim,8 Maio 2026,,,,,Sim,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,Panda,1.0 Hybrid City Life,Gasolina,Março,2022,49 988 km,999 cm3,70 cv,Utilitário,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,111 g/km,1,Nacional,Sim,Sim,"4,70 l/100km","3,50 l/100km",Usados,Mostrar VIN,13 250,8091679370,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-0-hybrid-city-life-ID8PBRrA.html,Sim,18 Meses,Sim,,Sim,,,,,,Sim,"111,46 €",,,,29 Março 2025,,StandVirtual,Yes,2024-04-14
Profissional,VW,Golf Variant,1.6 TDi Trendline,Diesel,Junho,2016,201 750 km,1 598 cm3,110 cv,Carrinha,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,103 g/km,2,Importado,Sim,Sim,"4,60 l/100km","3,60 l/100km",Usados,,11 750,8092156753,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-trendline-ID8PDRDj.html,Sim,18 Meses,Sim,Metalizado,Sim,23 Junho 2024,,,,,,158 €,,,,,,StandVirtual,Yes,2024-04-14
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Setembro,2020,77 000 km,999 cm3,80 cv,Citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,,1,Nacional,Sim,Sim,,,Usados,,14 650,8092006747,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8PDeBR.html,,18 Meses,Sim,Metalizado,Sim,,,,,,Sim,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Smart,ForFour,1.0 Passion 71 Aut.,Gasolina,Outubro,2018,108 328 km,999 cm3,71 cv,Citadino,Preto,Automática,6,5,4,Classe 1,Tracção traseira,113 g/km,1,Nacional,Sim,Sim,,,Usados,Mostrar VIN,11 955,8091013094,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-passion-71-aut-ID8Pz47c.html,Sim,18 Meses,Sim,,Sim,25 Outubro 2024,,,,,Sim,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,500X,1.3 MJ Pop Star J17 S&S,Diesel,Fevereiro,2016,128 372 km,1 248 cm3,95 cv,SUV / TT,Preto,Manual,,5,5,Classe 1,Tracção dianteira,,1,Nacional,,Sim,,,Usados,Mostrar VIN,13 500,8091572345,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-pop-star-j17-s-s-ID8PBpBn.html,,18 Meses,Sim,Metalizado,Sim,23 Fevereiro 2025,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Agosto,2016,134 000 km,1 199 cm3,82 cv,Utilitário,Vermelho,Manual,5,5,5,Classe 1,,,,Importado,,Sim,,,Usados,,9 750,8091831241,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8PCuX7.html,Sim,18 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Fiat,Tipo,,Diesel,Junho,2019,100 000 km,1 248 cm3,95 cv,Citadino,Cinzento,Manual,,5,,,,,,,,,,,Usados,,12 500,8090810668,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-ID8Pydsg.html,,,,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Mégane Coupe,1.6 dCi Bose Edition SS,Diesel,Setembro,2015,158 269 km,1 598 cm3,130 cv,Coupé,Branco,Manual,6,2,5,Classe 1,Tracção dianteira,,,Importado,Sim,Sim,,,Usados,,14 900,8090049207,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-coupe-1-6-dci-bose-edition-ss-ID8Pw1mD.html,,18 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Ford,Fiesta,1.5 TDCi STLine,Diesel,Fevereiro,2016,160 947 km,1 499 cm3,95 cv,Citadino,Cinzento,Manual,5,3,5,Classe 1,,,1,Importado,,Sim,,,Usados,,11 900,8091620074,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-stline-ID8PBC1c.html,,18 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C4 Picasso,1.6 e-HDi Exclusive,Diesel,Setembro,2015,175 000 km,1 560 cm3,115 cv,Monovolume,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,105 g/km,1,Nacional,Sim,Sim,"4,50 l/100km","3,80 l/100km",Usados,Mostrar VIN,12 850,8090375105,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-picasso-1-6-e-hdi-exclusive-ID8Pvo93.html,,18 Meses,,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Renault,Grand Scénic,1.6 dCi Intens SS,Diesel,Maio,2017,188 500 km,1 598 cm3,130 cv,Monovolume,Preto,Manual,6,5,7,Classe 1,Tracção dianteira,119 g/km,1,Nacional,Sim,Sim,"5,30 l/100km","4,20 l/100km",Usados,Mostrar VIN,12 500,8092190664,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-6-dci-intens-ss-ID8PE0sg.html,,,,,,26 Maio 2026,,,,,,,600 km,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Zoe,(c/ Bateria) 41 kwh Intens,Eléctrico,Janeiro,2018,81 451 km,,92 cv,Citadino,Branco,Automática,,5,5,Classe 1,,,1,Nacional,Sim,,,,Usados,Mostrar VIN,13 890,8091233559,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-c-bateria-41-kwh-intens-ID8PzZt5.html,,18 Meses,Sim,,Sim,28 Junho 2024,310 km,,40 kWh,Própria,Sim,,310 km,,,30 Janeiro 2026,160 000 km,StandVirtual,Yes,2024-04-14
Particular,VW,Polo,1.0 Confortline Nav,Gasolina,Outubro,2016,53 000 km,999 cm3,75 cv,Citadino,Cinzento,Manual,5,5,5,Classe 1,,,,,,,"5,80 l/100km",,Usados,,11 500,8092164706,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-nav-ID8PDTHA.html,Sim,,,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Janeiro,2018,119 000 km,1 248 cm3,95 cv,Carrinha,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,,1,Nacional,,Sim,,,Usados,,13 250,8089237560,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PrCdy.html,,18 Meses,Sim,,Sim,,,,,,Sim,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Audi,A1 Sportback,1.4 TDI S-line,Diesel,Maio,2015,174 000 km,1 422 cm3,90 cv,Utilitário,Cinzento,Manual,5,5,,,Tracção dianteira,103 g/km,1,,Sim,Sim,"4,20 l/100km","3,40 l/100km",Usados,,13 490,8091988037,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-4-tdi-s-line-ID8PD9K5.html,,18 Meses,Sim,Metalizado,Sim,11 Outubro 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Clio,ENERGY dCi 90 Start & Stop LIMITED,Diesel,Dezembro,2014,161 000 km,1 461 cm3,90 cv,Citadino,Vermelho,Manual,,5,,,,,,,Sim,Sim,"3,50 l/100km",,Usados,,9 990,8091564316,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-energy-dci-90-start-stop-limited-ID8PBnwS.html,,18 Meses,Sim,Pérola,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,208,1.6 BlueHDi Allure,Diesel,Outubro,2015,130 000 km,1 560 cm3,100 cv,Citadino,Cinzento,Manual,,5,,,,,1,,Sim,Sim,"3,80 l/100km",,Usados,,11 290,8092096961,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-allure-ID8PDC4W.html,,18 Meses,Sim,Mate,Sim,,,,,,,,,,,,10 000 km,StandVirtual,Yes,2024-04-14
Profissional,MINI,One,D,Diesel,Maio,2014,184 000 km,1 496 cm3,95 cv,Utilitário,Azul,Manual,,3,,,,,1,,Sim,Sim,"4,30 l/100km",,Usados,,11 990,8091988492,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8PD9Rq.html,,18 Meses,Sim,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Nissan,Pulsar,1.5 dCi Acenta Sport,Diesel,Dezembro,2015,184 000 km,1 461 cm3,110 cv,Utilitário,Branco,Manual,,5,,,,,1,,Sim,Sim,"4,10 l/100km",,Usados,,10 990,8091597724,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-pulsar-1-5-dci-acenta-sport-ID8PBvcI.html,,18 Meses,Sim,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Peugeot,508 SW,1.6 BlueHDi Active EAT6,Diesel,Março,2017,128 000 km,1 560 cm3,120 cv,Carrinha,Cinzento,Automática,,5,5,,,,,,,,"4,70 l/100km",,Usados,,15 000,8092200308,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-active-eat6-ID8PE2XO.html,,,,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Opel,Astra Sports Tourer,1.0 Innovation S/S,Gasolina,Janeiro,2019,76 500 km,999 cm3,105 cv,Carrinha,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,135 g/km,1,Nacional,Sim,,"5,40 l/100km","4,20 l/100km",Usados,Mostrar VIN,13 990,8092109604,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-0-innovation-s-s-ID8PDFmQ.html,Sim,18 Meses,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Captur,0.9 TCE,Gasolina,Outubro,2018,92 500 km,898 cm3,90 cv,SUV / TT,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,123 g/km,,,,Sim,,,Usados,,14 900,8091877536,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-ID8PCGZO.html,Sim,18 Meses,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,308 SW,BlueHDi 120 EAT6 Stop & Start Active,Diesel,Abril,2017,130 100 km,1 560 cm3,120 cv,Carrinha,Cinzento,Automática,6,5,5,Classe 1,,99 g/km,,Importado,,Sim,,,Usados,,14 800,8091630768,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-bluehdi-120-eat6-stop-start-active-ID8PBENG.html,Sim,18 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Opel,Astra Sports Tourer,1.0 Innovation S/S,Gasolina,Janeiro,2019,76 500 km,999 cm3,105 cv,Carrinha,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,135 g/km,1,Nacional,Sim,,"5,40 l/100km","4,20 l/100km",Usados,Mostrar VIN,13 990,8092109604,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-0-innovation-s-s-ID8PDFmQ.html,Sim,18 Meses,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Captur,0.9 TCE,Gasolina,Outubro,2018,92 500 km,898 cm3,90 cv,SUV / TT,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,123 g/km,,,,Sim,,,Usados,,14 900,8091877536,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-ID8PCGZO.html,Sim,18 Meses,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,308 SW,BlueHDi 120 EAT6 Stop & Start Active,Diesel,Abril,2017,130 100 km,1 560 cm3,120 cv,Carrinha,Cinzento,Automática,6,5,5,Classe 1,,99 g/km,,Importado,,Sim,,,Usados,,14 800,8091630768,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-bluehdi-120-eat6-stop-start-active-ID8PBENG.html,Sim,18 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Smart,ForFour,Electric Drive Passion,Eléctrico,Setembro,2020,29 900 km,,82 cv,Citadino,Preto,Automática,1,5,,,Tracção traseira,,,,,,,,Usados,,13 800,8092185082,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-electric-drive-passion-ID8PDZ0e.html,,,,,,,140 km,14 kWh/100km,17 kWh,Própria,,,140 km,,,,,StandVirtual,Yes,2024-04-14
Particular,Toyota,Aygo,1.0,Gasolina,Junho,2016,58 772 km,998 cm3,69 cv,Citadino,Cinzento,Manual,5,5,4,,Tracção dianteira,95 g/km,1,Nacional,,,5 l/100km,"3,60 l/100km",Usados,,10 900,8092219447,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-ID8PE7Vw.html,,,,,,14 Junho 2025,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.4 D-4D Exclusive,Diesel,Dezembro,2017,115 400 km,1 364 cm3,90 cv,Citadino,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,91 g/km,,Importado,,Sim,,,Usados,,14 900,8091820463,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-4-d-4d-exclusive-ID8PCs9h.html,Sim,18 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Ford,Fiesta,1.0 EcoBoost ST-Line,Gasolina,Maio,2017,170 000 km,998 cm3,100 cv,Citadino,Vermelho,Manual,,5,5,Classe 1,,,,Nacional,,Sim,,,Usados,,12 500,8092192212,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ecoboost-st-line-ID8PE0Re.html,,18 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
