Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Filtro de partículas,Garantia de Fábrica até,ou até,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Aceita retoma,Não fumador,Emissões CO2,Consumo Extra Urbano,Autonomia,Valor Fixo,IUC,Consumo Combinado,Sub-modelo,Autonomia Máxima,Bateria,Consumo,Capacidade da bateria,Gancho de Reboque,Clássico,Site,Portugal,Data
Profissional,Dacia,Logan MCV,1.5 dCi Confort,Diesel,Julho,2015,77 447 km,1 461 cm3,90 cv,Sim,Monovolume,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,18 Meses,1,Nacional,,Sim,"3,70 l/100km",Usados,10 790        EUR,8090047711,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-1-5-dci-confort-ID8Pw0Yw.html,,Sim,Sim,99 g/km,"3,40 l/100km",,Sim,"154,12 €","3,50 l/100km",,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Abril,2016,125 872 km,1 461 cm3,90 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,,,,,18 Meses,1,,Sim,Sim,,Usados,13 990        EUR,8088627051,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8Pp3oD.html,,Sim,Sim,88 g/km,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,500,1.2 Lounge,Gasolina,Agosto,2012,137 612 km,1 242 cm3,69 cv,Sim,Citadino,Azul,Metalizado,Manual,5,3,4,Classe 1,,,,,,18 Meses,1,,,Sim,,Usados,8 750        EUR,8088018000,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PmuXe.html,,Sim,Sim,88 g/km,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,Tipo Station Wagon,1.4 Pop,Gasolina,Março,2019,61 500 km,1 368 cm3,95 cv,Sim,Carrinha,Branco,,Manual,,5,5,,,,,,,18 Meses,,Nacional,,,,Usados,14 900        EUR,8089697728,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-4-pop-ID8PtxWC.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge Tech J17,Diesel,Maio,2019,90 000 km,1 248 cm3,95 cv,Sim,Carrinha,Branco,Metalizado,Manual,,5,5,,,,,,,18 Meses,,Nacional,Sim,Sim,,Usados,14 750        EUR,8088496447,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-tech-j17-ID8Powq7.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Julho,2019,70 000 km,1 461 cm3,75 cv,Sim,Utilitário,Preto,Metalizado,Manual,5,5,5,,,,,,,18 Meses,,Nacional,Sim,Sim,,Usados,13 400        EUR,8088442554,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PohoS.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Junho,2019,70 000 km,1 242 cm3,69 cv,Sim,Utilitário,Branco,Metalizado,Manual,5,3,4,,,,,,,18 Meses,,Nacional,Sim,Sim,,Usados,12 900        EUR,8088336929,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PnPWf.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Junho,2019,60 000 km,1 242 cm3,69 cv,Sim,Utilitário,Preto,Metalizado,Manual,5,3,4,,,,,,,18 Meses,,Nacional,Sim,Sim,,Usados,12 490        EUR,8088336917,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PnPW3.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,Tipo,1.3 M-Jet Lounge J17,Diesel,Junho,2019,85 000 km,1 248 cm3,95 cv,Sim,Utilitário,Preto,Metalizado,Manual,,5,5,,,,,,,18 Meses,,Nacional,Sim,Sim,,Usados,14 750        EUR,8090452724,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-j17-ID8PvIkY.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,Tipo,1.3 M-Jet Lounge J17,Diesel,Junho,2019,92 000 km,1 248 cm3,95 cv,Sim,Utilitário,Preto,Metalizado,Manual,,5,5,,,,,,,18 Meses,,Nacional,Sim,Sim,,Usados,14 750        EUR,8090452718,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-j17-ID8PvIkS.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
