Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,IUC,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Sub-modelo,Possibilidade de financiamento,IVA Discriminado,IVA dedutível,Consumo Urbano,Autonomia,Consumo,Bateria,Autonomia Máxima,Filtro de partículas,Emissões CO2,Consumo Extra Urbano,Consumo Combinado,Garantia de Fábrica até,Inspecção válida até,ou até,Capacidade da bateria,Clássico,Site,Portugal
Profissional,Peugeot,3008,1.6 BlueHDi GT Line EAT6,Diesel,Abril,2018,120 500 km,1 560 cm3,120 cv,,,SUV / TT,Cinzento,,Automática,7,5,5,Classe 1,Tracção dianteira,,18 Meses,,,,,,Usados,25 500        EUR,8087612574,3 Julho 2023,,Sim,,,,,,,950 km,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Kia,Ceed,1.6 CRDi GT Line,Diesel,Fevereiro,2017,79 000 km,1 582 cm3,136 cv,Sim,Sim,Utilitário,Vermelho,,Manual,6,5,5,,,,18 Meses,,Nacional,Sim,Sim,Sim,Usados,18 900        EUR,8089580149,3 Julho 2023,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Auto,Diesel,Março,2018,112 000 km,1 995 cm3,190 cv,,Sim,Carrinha,Preto,Metalizado,Automática,8,5,5,,,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,31 000        EUR,8087974623,3 Julho 2023,Série 5,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,Stonic,1.0 T-GDI Drive,Gasolina,Agosto,2022,21 772 km,998 cm3,100 cv,Sim,Sim,SUV / TT,Vermelho,,Manual,,5,5,,,,18 Meses,,,,,,Usados,21 990        EUR,8089949354,3 Julho 2023,,Sim,,,,,,,,,,,"5,80 l/100km",,,,,,StandVirtual,Yes
Profissional,Peugeot,108,1.0 VTi Active,Gasolina,Julho,2015,67 088 km,998 cm3,68 cv,Sim,Sim,Citadino,Branco,,Manual,,3,,,,,18 Meses,,,,,,Usados,10 190        EUR,8089949355,3 Julho 2023,,Sim,,,5 l/100km,,,,,,95 g/km,"3,60 l/100km","4,10 l/100km",,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,1.1 CRDi Comfort,Diesel,Outubro,2017,108 814 km,1 120 cm3,75 cv,Sim,Sim,Utilitário,Branco,,Manual,,5,,,,,18 Meses,,Nacional,,,,Usados,12 690        EUR,8089949356,3 Julho 2023,,Sim,,,"4,90 l/100km",,,,,,103 g/km,"3,40 l/100km",4 l/100km,,,,,,StandVirtual,Yes
Profissional,Mitsubishi,Space Star,1.2 Intense,Gasolina,Fevereiro,2017,51 339 km,1 193 cm3,80 cv,Sim,Sim,Utilitário,Cinzento,,Manual,,5,5,,,,18 Meses,,Nacional,,,,Usados,11 990        EUR,8089949352,3 Julho 2023,,Sim,,,"5,10 l/100km",,,,,,100 g/km,"3,90 l/100km","4,30 l/100km",,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 220,d Shooting Brake Aut.,Diesel,Junho,2020,46 731 km,2 143 cm3,177 cv,Sim,Sim,Carrinha,Branco,,Automática,,5,5,,,,18 Meses,,,,,,Usados,41 190        EUR,8089949351,3 Julho 2023,,Sim,,,"6,30 l/100km",,,,,,144 g/km,"4,90 l/100km","5,40 l/100km",,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.6 BlueHDi GT Line,Diesel,Maio,2016,135 500 km,1 560 cm3,120 cv,,,Citadino,Branco,Pérola,Manual,,5,,,,,18 Meses,,,,Sim,Sim,Usados,13 900        EUR,8088686727,3 Julho 2023,,Sim,,,5 l/100km,,,,,,,4 l/100km,4 l/100km,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 BlueHDi GT Line Grip Control EAT6,Diesel,Março,2018,137 800 km,1 560 cm3,120 cv,,,SUV / TT,Branco,Pérola,Automática,,5,,,,,18 Meses,,,,,,Usados,27 500        EUR,8088233984,3 Julho 2023,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
