Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Valor Fixo,Classe do veículo,Autonomia Máxima,Emissões CO2,Inspecção válida até,Filtro de partículas,IVA Discriminado,Consumo Extra Urbano,Sub-modelo,IUC,ou até,Autonomia,Capacidade da bateria,Bateria,Consumo Combinado,Garantia de Fábrica até,Consumo,Clássico,Gancho de Reboque,Site,Portugal
Profissional,Land Rover,Range Rover Evoque,2.0 D150 R-Dynamic,Diesel,Abril,2018,59 000 km,1 999 cm3,150 cv,,,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Tracção dianteira,18 Meses,,,Sim,Sim,Sim,"6,30 l/100km",Usados,33 980        EUR,8090517449,6 Setembro 2023,,Classe 1,,167 g/km,,,,"4,90 l/100km",,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,425 Gran Coupé,d Line Luxury Auto,Diesel,Abril,2018,91 584 km,1 995 cm3,224 cv,Sim,Sim,Sedan,Preto,Metalizado,Automática,,5,5,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,31 799        EUR,8090450200,6 Setembro 2023,,Classe 1,,,,,,,Série 4,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Line Sport Auto,Diesel,Abril,2021,79 000 km,1 995 cm3,190 cv,Sim,Sim,Carrinha,Azul,Metalizado,Automática,9,5,5,,18 Meses,1,Nacional,,Sim,Sim,,Usados,40 750        EUR,8090192641,6 Setembro 2023,Sim,Classe 1,,,,Sim,Sim,,Série 5,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Line Sport Auto,Diesel,Janeiro,2019,121 300 km,1 995 cm3,190 cv,Sim,Sim,Carrinha,Branco,Metalizado,Automática,8,5,5,Tracção traseira,18 Meses,1,,Sim,Sim,Sim,"5,20 l/100km",Usados,35 990        EUR,8087582990,6 Setembro 2023,Sim,Classe 1,,,,,,,Série 5,,,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS7 Crossback,E-Tense Grand Chic EAT8,Híbrido (Gasolina),Julho,2020,82 765 km,1 598 cm3,300 cv,Sim,Sim,SUV / TT,Castanho,Metalizado,Automática,8,5,5,Integral,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,34 990        EUR,8090412049,6 Setembro 2023,Sim,,,,,,Sim,,,137 €,,,,,,27/07/2028,,,,StandVirtual,Yes
Profissional,BMW,520,d Auto,Diesel,Agosto,2017,87 000 km,1 995 cm3,190 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,,5,5,Tracção traseira,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,30 950        EUR,8089420524,6 Setembro 2023,,Classe 1,,114 g/km,,Sim,,,Série 5,250 €,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,216 Gran Coupé,d Pack M,Diesel,Setembro,2021,30 411 km,1 496 cm3,116 cv,Sim,Sim,Sedan,Preto,Metalizado,Automática,,4,5,,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,34 750        EUR,8090114511,6 Setembro 2023,,,,,,,,,Série 2,,,,,,,19/09/2023,,,,StandVirtual,Yes
Profissional,BMW,520,d Pack M Auto,Diesel,Abril,2018,41 042 km,1 995 cm3,190 cv,Sim,Sim,Carrinha,Branco,,Automática,,5,5,,18 Meses,,Nacional,Sim,Sim,Sim,"5,50 l/100km",Usados,42 490        EUR,8086599461,6 Setembro 2023,,,,,,,,,Série 5,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,ID.3,Pro Performamnce 1st,Eléctrico,Outubro,2020,40 458 km,,204 cv,Sim,Sim,Citadino,Azul,Metalizado,Automática,,5,5,,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,32 490        EUR,8088638756,6 Setembro 2023,,,,,,,,,,,,424 km,,Própria,,,"15,50 kWh/100km",,,StandVirtual,Yes
Profissional,Jaguar,XE,3.0 V6 S/C S,Gasolina,Março,2016,58 665 km,2 995 cm3,340 cv,Sim,Sim,Sedan,Azul,Metalizado,Automática,,4,5,,18 Meses,,Importado,Sim,Sim,Sim,,Usados,37 490        EUR,8090342645,6 Setembro 2023,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf,2.0 TSi R DSG,Gasolina,Junho,2014,148 000 km,1 984 cm3,300 cv,Sim,Sim,Utilitário,Branco,Pérola,Automática,,3,,,18 Meses,,,Sim,Sim,Sim,"8,60 l/100km",Usados,34 900        EUR,8089930731,6 Setembro 2023,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,d Aut.,Diesel,Agosto,2016,179 000 km,2 143 cm3,170 cv,Sim,Sim,Coupé,Branco,,Automática,9,2,4,Integral,18 Meses,1,,Sim,Sim,Sim,"5,20 l/100km",Usados,32 999        EUR,8088893318,6 Setembro 2023,Sim,Classe 1,,,,,,,Classe C,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,GLC 250,d Exclusive 4-Matic,Diesel,Outubro,2017,178 000 km,2 143 cm3,204 cv,Sim,Sim,Coupé,Cinzento,Metalizado,Automática,9,5,5,,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,43 900        EUR,8090014476,6 Setembro 2023,Sim,Classe 1,,,,,,,Classe GLC,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 220,d AMG Line Aut.,Diesel,Março,2018,69 933 km,1 950 cm3,194 cv,Sim,Sim,Coupé,Preto,Metalizado,Automática,9,2,4,Tracção traseira,18 Meses,,Nacional,,Sim,,"5,80 l/100km",Usados,44 990        EUR,8089954398,6 Setembro 2023,,Classe 1,,151 g/km,27/03/2024,,,"4,40 l/100km",Classe E,,,,,,,,,,,StandVirtual,Yes
Profissional,Jaguar,F-Pace,2.0 i4D Prestige AWD Aut.,Diesel,Janeiro,2017,142 032 km,1 999 cm3,180 cv,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,,5,5,,24 Meses,,,,,,,Usados,36 000        EUR,8089790490,6 Setembro 2023,Sim,,,,01/01/2025,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,XC 60,2.0 D4 Momentum Geartronic,Diesel,Agosto,2018,94 000 km,1 969 cm3,190 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,8,5,5,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,"5,60 l/100km",Usados,37 800        EUR,8089852958,6 Setembro 2023,,Classe 1,,157 g/km,,,Sim,"4,50 l/100km",,,,,,,,,,,,StandVirtual,Yes
Particular,Volvo,XC 60,2.0 T8 PHEV R-Design AWD,Híbrido (Gasolina),Novembro,2018,115 000 km,1 969 cm3,408 cv,,,SUV / TT,Preto,Metalizado,Automática,8,5,5,Integral,,1,Nacional,Sim,,Sim,,Usados,44 000        EUR,8090422501,3 Setembro 2023,,Classe 1,,52 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,530,e iPerformance Line Luxury,Híbrido (Gasolina),Março,2018,77 999 km,1 998 cm3,252 cv,,,Sedan,Cinzento,,Automática,,4,5,,18 Meses,1,Nacional,,,Sim,,Usados,37 500        EUR,8089351420,5 Setembro 2023,,,,46 g/km,28/03/2024,,,,Série 5,,,,,,,,,,,StandVirtual,Yes
Particular,Tesla,Model S,100D,Eléctrico,Outubro,2017,155 000 km,,525 cv,,,Sedan,Cinzento,,Automática,,5,,Integral,,,,,,,,Usados,38 000        EUR,8090296009,4 Setembro 2023,,,,,,,,,,,,,,Própria,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,d AMG Line Aut.,Diesel,Janeiro,2017,98 200 km,2 143 cm3,170 cv,Sim,Sim,Carrinha,Preto,Metalizado,Automática,7,5,5,Tracção traseira,18 Meses,1,Nacional,Sim,,Sim,"5,30 l/100km",Usados,33 000        EUR,8088230757,5 Setembro 2023,Sim,Classe 1,,,,Sim,,,Classe C,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 220,d 4-Matic All Terrain Avantgarde,Diesel,Outubro,2017,128 662 km,1 950 cm3,194 cv,Sim,Sim,Carrinha,Cinzento,,Automática,,5,5,,24 Meses,,,,,,,Usados,39 990        EUR,8089695437,6 Setembro 2023,Sim,,,,01/10/2023,,,,Classe E,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Pack M Auto,Diesel,Novembro,2017,108 990 km,1 995 cm3,190 cv,Sim,Sim,Sedan,Preto,,Automática,,5,5,,24 Meses,,,,,,,Usados,37 500        EUR,8089130603,6 Setembro 2023,Sim,,,,01/11/2023,,,,Série 5,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf,2.0 TSI GTi TCR DSG,Gasolina,Novembro,2019,53 979 km,1 984 cm3,290 cv,Sim,Sim,Citadino,Branco,Metalizado,Automática,,5,5,,18 Meses,1,,,,Sim,,Usados,42 900        EUR,8089603171,6 Setembro 2023,,Classe 1,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 250,e AMG Line,Híbrido (Gasolina),Julho,2022,3 124 km,1 332 cm3,218 cv,Sim,Sim,Utilitário,Azul,Metalizado,Automática,8,5,5,,24 Meses,,,,,,,Usados,44 990        EUR,8089372498,6 Setembro 2023,Sim,,,,,,,,Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180 Limousine,d Style Aut.,Diesel,Julho,2021,51 500 km,1 950 cm3,116 cv,Sim,,Sedan,Preto,,Automática,,4,5,,24 Meses,,,,,,"5,40 l/100km",Usados,33 990        EUR,8089382859,6 Setembro 2023,Sim,Classe 1,,,,,,,Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2022,29 948 km,1 950 cm3,116 cv,Sim,Sim,Citadino,Prateado,Metalizado,Automática,8,5,5,Tracção dianteira,24 Meses,,,,,,"5,30 l/100km",Usados,43 990        EUR,8089798395,6 Setembro 2023,Sim,,,132 g/km,,,,"3,80 l/100km",Classe A,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,E 220,d 4Matic Coupe 9G-TRONIC AMG Line,Diesel,Novembro,2017,96 000 km,1 950 cm3,194 cv,,,Coupé,Cinzento,,Automática,9,2,4,Tracção traseira,,,Importado,Sim,Sim,Sim,"5,50 l/100km",Usados,38 000        EUR,8090423971,6 Setembro 2023,,,,119 g/km,,,,"4,10 l/100km",Classe E,,,,,,,,,,,StandVirtual,Yes
Profissional,Jeep,Wrangler,,Diesel,Agosto,2012,148 100 km,2 777 cm3,200 cv,Sim,Sim,SUV / TT,Preto,Metalizado,Manual,6,2,2,Integral,18 Meses,2,Importado,,Sim,Sim,"8,30 l/100km",Usados,34 500        EUR,8090142927,6 Setembro 2023,,Classe 2,,187 g/km,,,,"6,50 l/100km",,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,330,e Corporate Edition Auto,Híbrido (Gasolina),Janeiro,2020,66 500 km,1 998 cm3,292 cv,,,Sedan,Branco,,Automática,8,4,5,Tracção traseira,,1,Nacional,Sim,Sim,Sim,,Usados,33 900        EUR,8090179737,6 Setembro 2023,,Classe 1,50 km,30 g/km,,,,,Série 3,,,,,,,31/01/2024,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 250 Limousine,e Style Plus,Híbrido (Gasolina),Outubro,2020,53 384 km,1 332 cm3,218 cv,Sim,Sim,Sedan,Preto,Metalizado,Automática,8,4,5,Tracção dianteira,24 Meses,,,,,,,Usados,36 490        EUR,8089398404,6 Setembro 2023,Sim,,,,,,,,Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A7 Sportback,3.0 TDI V6 S tronic,Diesel,Dezembro,2016,154 000 km,2 967 cm3,218 cv,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,,5,5,,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,37 750        EUR,8089853983,6 Setembro 2023,Sim,Classe 1,,,01/12/2024,,,,,"665,04 €",,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Countryman,Cooper SE ALL4 Auto,Híbrido (Gasolina),Dezembro,2020,38 984 km,1 499 cm3,224 cv,,,SUV / TT,Cinzento,Metalizado,Automática,6,5,5,Integral,18 Meses,1,Nacional,Sim,,Sim,,Usados,37 000        EUR,8090294453,6 Setembro 2023,,Classe 1,,40 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,320,d Touring Line Sport Shadow Auto,Diesel,Novembro,2019,127 000 km,1 995 cm3,190 cv,Sim,Sim,Carrinha,Branco,Pérola,Automática,8,5,5,Tracção traseira,18 Meses,,,Sim,Sim,Sim,,Usados,35 750        EUR,8085481557,6 Setembro 2023,,,,159 g/km,,,,,Série 3,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 220,D AMG,Diesel,Junho,2018,133 865 km,1 950 cm3,194 cv,,Sim,Carrinha,Cinzento,,Automática,,5,5,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,,,Usados,34 990        EUR,8090112984,6 Setembro 2023,Sim,,,135 g/km,,,Sim,,Classe E,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,Spacetourer,2.0 BlueHDi XL Business,Diesel,Abril,2018,56 821 km,1 997 cm3,150 cv,,Sim,Monovolume,Branco,,Manual,,4,9,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,,,Usados,39 990        EUR,8090113157,6 Setembro 2023,Sim,,,189 g/km,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,508,1.6 Hybrid GT e-EAT8,Híbrido (Gasolina),Agosto,2021,67 030 km,1 598 cm3,225 cv,Sim,Sim,Sedan,Azul,Metalizado,Automática,8,5,5,Tracção dianteira,18 Meses,,Nacional,,,Sim,,Usados,44 950        EUR,8089805949,6 Setembro 2023,,Classe 1,,32 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i30 SW,,Híbrido (Diesel),Fevereiro,2022,28 671 km,1 598 cm3,136 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Tracção dianteira,18 Meses,,Nacional,,,Sim,,Usados,31 450        EUR,8089651085,6 Setembro 2023,,Classe 1,,137 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 220,D Exclusive Line,Diesel,Março,2017,97 105 km,1 950 cm3,194 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,9,5,5,Tracção traseira,18 Meses,1,,Sim,,Sim,,Usados,37 900        EUR,8090298527,6 Setembro 2023,,Classe 1,,,,Sim,,,Classe E,,,,,,,,,,,StandVirtual,Yes
Profissional,Tesla,Model 3,Long-Range Dual Motor AWD,Eléctrico,Abril,2019,43 150 km,,351 cv,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,,4,5,Integral,36 Meses,1,,Sim,,Sim,,Usados,40 600        EUR,8090298528,6 Setembro 2023,,Classe 1,,,07/03/2025,,Sim,,,,,480 km,75 kWh,Própria,18 l/100km,07/04/2026,16 kWh/100km,,,StandVirtual,Yes
Profissional,Alfa Romeo,Stelvio,2.2 D Super AT8,Diesel,Outubro,2018,126 708 km,2 143 cm3,180 cv,Sim,Sim,SUV / TT,Azul,Metalizado,Automática,,5,5,,18 Meses,,,Sim,Sim,Sim,,Usados,31 990        EUR,8089050775,6 Setembro 2023,Sim,Classe 1,,124 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Chevrolet,Camaro,3.6 V6 Aut.,Gasolina,Julho,2015,120 157 km,3 564 cm3,328 cv,Sim,Sim,Coupé,Outra,Metalizado,Automática,,2,4,,18 Meses,,,,Sim,,,Usados,44 900        EUR,8090013597,6 Setembro 2023,,Classe 1,,,01/07/2024,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Ford,Focus,1.5 TDCi EcoBlue ST-Line Aut.,Diesel,Junho,2019,47 800 km,1 499 cm3,120 cv,,,Utilitário,Azul,,Automática,8,5,,Tracção dianteira,,1,Nacional,Sim,,Sim,,Usados,32 700        EUR,8090517380,6 Setembro 2023,,,,123 g/km,28/06/2025,,,,,,100 000 km,,,,,01/06/2026,,,,StandVirtual,Yes
Profissional,Tesla,Model 3,Long-Range Dual Motor AWD,Eléctrico,Setembro,2019,37 322 km,,351 cv,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,,4,5,Integral,36 Meses,1,,Sim,Sim,Sim,,Usados,43 000        EUR,8090298538,6 Setembro 2023,,Classe 1,,,22/09/2023,,Sim,,,,,480 km,75 kWh,Própria,18 l/100km,07/09/2027,17 kWh/100km,,,StandVirtual,Yes
Profissional,BMW,X1,16 d sDrive Pack M Auto,Diesel,Outubro,2021,31 887 km,1 496 cm3,116 cv,Sim,Sim,SUV / TT,Branco,Metalizado,Automática,,5,5,Tracção dianteira,24 Meses,1,Nacional,,Sim,Sim,,Usados,38 900        EUR,8090298537,6 Setembro 2023,Sim,Classe 1,,,27/10/2025,,,,Série X,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Austral,1.3 Mild Hybrid Techno Esprit Alpine Auto,Gasolina,Junho,2023,100 km,1 332 cm3,140 cv,,Sim,SUV / TT,Outra,,Automática,,5,,,36 Meses,,Nacional,,,,,Usados,41 990        EUR,8090517428,6 Setembro 2023,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,GLC 250,d AMG Line 4-Matic,Diesel,Setembro,2018,93 759 km,2 143 cm3,204 cv,Sim,Sim,SUV / TT,Azul,Metalizado,Automática,9,5,5,Integral,24 Meses,,Nacional,Sim,,Sim,7 l/100km,Usados,44 990        EUR,8090135122,5 Setembro 2023,Sim,Classe 1,,186 g/km,,Sim,,"5,60 l/100km",Classe GLC,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Sportback,30 TFSI S line S tronic,Gasolina,Abril,2022,19 000 km,999 cm3,110 cv,Sim,Sim,Citadino,Preto,,Automática,7,5,5,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,31 900        EUR,8090045505,5 Setembro 2023,,Classe 1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 250,e AMG Line,Híbrido (Gasolina),Junho,2021,16 358 km,1 332 cm3,218 cv,Sim,Sim,Utilitário,Preto,,Automática,,5,5,,18 Meses,,Importado,,,Sim,,Usados,38 000        EUR,8090244040,6 Setembro 2023,,,,24 g/km,,,Sim,,Classe A,,,77 km,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Abril,2019,48 655 km,1 461 cm3,116 cv,Sim,Sim,Utilitário,Vermelho,,Automática,7,5,5,Tracção dianteira,36 Meses,,,,,,,Usados,32 480        EUR,8090406099,5 Setembro 2023,,,,123 g/km,,,,,Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,S90,2.0 D4 Momentum Plus Geartronic,Diesel,Janeiro,2020,85 364 km,1 969 cm3,190 cv,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,8,4,5,Tracção dianteira,18 Meses,,Nacional,,Sim,Sim,,Usados,41 990        EUR,8089683320,6 Setembro 2023,,,,148 g/km,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Maserati,Ghibli,3.0 V6,Diesel,Julho,2014,266 201 km,2 987 cm3,275 cv,Sim,Sim,Sedan,Preto,Metalizado,Automática,,4,5,,18 Meses,,,,Sim,Sim,"7,70 l/100km",Usados,34 999        EUR,8089013328,6 Setembro 2023,Sim,Classe 1,,158 g/km,22/07/2023,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 Hybrid4 GT Pack e-EAT8,Híbrido (Gasolina),Julho,2022,5 958 km,1 598 cm3,300 cv,Sim,Sim,SUV / TT,Cinzento,,Automática,8,5,5,Integral,18 Meses,,Nacional,Sim,,Sim,,Usados,41 990        EUR,8090298424,6 Setembro 2023,,,,30 g/km,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,Tesla,Model 3,Long-Range Dual Motor AWD,Eléctrico,Abril,2019,36 838 km,,351 cv,,,Sedan,Preto,,Automática,,4,5,Integral,,1,Nacional,,Sim,Sim,,Usados,41 000        EUR,8090253256,6 Setembro 2023,,Classe 1,,,,,,,,,192 000 km,560 km,,Própria,,17/04/2027,"14,70 kWh/100km",,,StandVirtual,Yes
Profissional,Toyota,Corolla,1.8 Hybrid Exclusive,Híbrido (Gasolina),Março,2021,25 500 km,1 798 cm3,122 cv,Sim,Sim,Utilitário,Vermelho,Metalizado,Automática,,5,5,Tracção dianteira,36 Meses,,Importado,Sim,,Sim,,Usados,31 190        EUR,8089028565,6 Setembro 2023,Sim,Classe 1,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d 7G-DCT AMG Line,Diesel,Janeiro,2019,140 000 km,1 461 cm3,116 cv,Sim,,Utilitário,Branco,,Automática,7,5,,Tracção dianteira,18 Meses,,,,Sim,Sim,"4,70 l/100km",Usados,32 490        EUR,8090339396,6 Setembro 2023,,,,106 g/km,,Sim,,"3,60 l/100km",Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V60,2.0 D3 Momentum,Diesel,Outubro,2018,54 800 km,1 969 cm3,150 cv,Sim,Sim,Carrinha,Cinzento,,Manual,6,5,5,Tracção dianteira,36 Meses,,Nacional,,,,,Usados,34 800        EUR,8090450102,6 Setembro 2023,,Classe 1,,,,Sim,,,,,,,,,,01/01/0001,,,,StandVirtual,Yes
Profissional,BMW,225xe Active Tourer,Line Sport,Híbrido (Gasolina),Junho,2021,54 000 km,1 499 cm3,224 cv,Sim,Sim,Monovolume,Cinzento,Metalizado,Automática,8,5,5,Integral,36 Meses,,Nacional,Sim,,Sim,,Usados,38 490        EUR,8089999744,6 Setembro 2023,Sim,Classe 1,,36 g/km,,,Sim,,Série 2,,,,,,,,,,,StandVirtual,Yes
Profissional,Mitsubishi,Eclipse Cross,2.4 PHEV eMotion,Híbrido (Gasolina),Maio,2023,6 000 km,2 360 cm3,202 cv,,,SUV / TT,Cinzento,,Automática,1,5,,Integral,36 Meses,,Nacional,Sim,,Sim,,Usados,41 990        EUR,8090517384,6 Setembro 2023,,Classe 1,,46 g/km,,,,,,,100 000 km,,,,,15/05/2028,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 200,d AMG Line Aut.,Diesel,Julho,2019,138 057 km,1 950 cm3,150 cv,,Sim,Utilitário,Cinzento,,Automática,,5,5,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,,,Usados,32 990        EUR,8090112808,6 Setembro 2023,Sim,,,131 g/km,,,Sim,,Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 Hybrid4 Allure Pack e-EAT8,Híbrido (Gasolina),Fevereiro,2021,37 589 km,1 598 cm3,300 cv,,Sim,SUV / TT,Branco,,Automática,,5,5,,36 Meses,,,,,,,Usados,37 900        EUR,8090340906,6 Setembro 2023,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 220,d Shooting Brake AMG Line Aut.,Diesel,Outubro,2019,50 000 km,1 950 cm3,190 cv,Sim,Sim,Carrinha,Preto,Metalizado,Automática,8,5,5,Tracção dianteira,24 Meses,1,Nacional,Sim,Sim,Sim,"5,60 l/100km",Usados,42 490        EUR,8089850270,6 Setembro 2023,Sim,,,144 g/km,,,,"4,10 l/100km",Classe CLA,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 200,d AMG Line Aut.,Diesel,Junho,2022,12 998 km,1 950 cm3,150 cv,Sim,Sim,Utilitário,Preto,,Automática,8,5,5,Tracção dianteira,24 Meses,,,Sim,Sim,Sim,5 l/100km,Usados,44 490        EUR,8089944933,6 Setembro 2023,,,,131 g/km,,,,"3,70 l/100km",Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,318,d Touring Line Sport Auto,Diesel,Agosto,2021,22 502 km,1 995 cm3,150 cv,,Sim,Carrinha,Preto,,Automática,,5,,,36 Meses,,Importado,,Sim,Sim,,Usados,39 999        EUR,8087885793,6 Setembro 2023,Sim,Classe 1,,,,Sim,,,Série 3,,,,,,,,,,,StandVirtual,Yes
Profissional,Jeep,Wrangler,2.8 CRD MTX Sport,Diesel,Maio,2010,61 000 km,2 777 cm3,177 cv,,,SUV / TT,Verde,Metalizado,Manual,6,3,2,,18 Meses,,Nacional,,Sim,Sim,"12,70 l/100km",Usados,45 000        EUR,8089289150,6 Setembro 2023,,Classe 2,,263 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,216 Gran Coupé,d Pack M,Diesel,Outubro,2022,8 552 km,1 496 cm3,116 cv,,,Sedan,Cinzento,,Automática,7,4,5,Tracção dianteira,36 Meses,,,,,,,Usados,39 500        EUR,8090449931,6 Setembro 2023,,Classe 1,,124 g/km,,,,,Série 2,,,,,,,,,,,StandVirtual,Yes
Profissional,Cupra,Formentor,1.4 e-Hybrid DSG VZ,Híbrido (Gasolina),Abril,2021,25 000 km,1 395 cm3,245 cv,Sim,Sim,SUV / TT,Branco,Metalizado,Automática,6,5,5,Tracção dianteira,18 Meses,1,,Sim,Sim,Sim,,Usados,38 950        EUR,8090341875,6 Setembro 2023,Sim,Classe 1,,33 g/km,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Mokka-e,GS Line,Eléctrico,Março,2022,11 750 km,,136 cv,Sim,Sim,SUV / TT,Branco,,Automática,,5,5,Tracção dianteira,18 Meses,,Importado,,,,,Usados,33 500        EUR,8090210252,6 Setembro 2023,,,,,,,Sim,,,,,318 km,,Própria,,,"17,40 kWh/100km",,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,BlueTEC Avantgarde Aut.,Diesel,Novembro,2017,86 918 km,2 143 cm3,170 cv,Sim,Sim,Carrinha,Preto,Metalizado,Automática,7,5,5,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,Sim,"5,30 l/100km",Usados,30 990        EUR,8090496787,6 Setembro 2023,Sim,Classe 1,,115 g/km,28/11/2023,Sim,Sim,"3,80 l/100km",Classe C,"235,26 €",,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Tucson,1.6 T-GDi 48V Premium,Gasolina,Janeiro,2022,21 835 km,1 598 cm3,150 cv,,Sim,SUV / TT,Branco,,Manual,,5,,,36 Meses,,Nacional,,,,,Usados,31 190        EUR,8089965250,6 Setembro 2023,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
