Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Valor Fixo,Classe do veículo,Autonomia Máxima,Emissões CO2,Inspecção válida até,Filtro de partículas,IVA Discriminado,Consumo Extra Urbano,Sub-modelo,IUC,ou até,Autonomia,Capacidade da bateria,Bateria,Consumo Combinado,Garantia de Fábrica até,Consumo,Clássico,Gancho de Reboque,Site,Portugal
Profissional,Mercedes-Benz,C 300,de AMG Line,Híbrido (Diesel),Outubro,2020,63 000 km,1 950 cm3,306 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,9,5,5,Tracção traseira,18 Meses,1,,Sim,,Sim,,Usados,39 500        EUR,8090450840,6 Setembro 2023,Sim,Classe 1,,33 g/km,,,Sim,,Classe C,,,,,,,,,,1,StandVirtual,Yes
Profissional,Volvo,EX 30,,Eléctrico,Junho,2023,1 000 km,,272 cv,Sim,Sim,SUV / TT,Cinzento,,Automática,,5,5,Tracção traseira,36 Meses,,Nacional,,,,,Usados,39 490        EUR,8090517518,6 Setembro 2023,,Classe 1,,,,,,,,,,344 km,51 kWh,Própria,,,16 kWh/100km,,,StandVirtual,Yes
Particular,BMW,330,e Touring Corporate Edition Auto,Híbrido (Gasolina),Julho,2021,89 000 km,1 998 cm3,292 cv,,,Carrinha,Cinzento,,Automática,8,5,5,Tracção traseira,,,,,,,,Usados,39 900        EUR,8090195133,6 Setembro 2023,Sim,,,31 g/km,,,,,Série 3,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,e-C4,Feel Pack,Eléctrico,Julho,2022,13 000 km,,136 cv,Sim,Sim,Utilitário,Prateado,Metalizado,Automática,8,5,5,Tracção dianteira,36 Meses,,Nacional,,,Sim,,Usados,35 500        EUR,8089158273,6 Setembro 2023,Sim,Classe 1,350 km,,,,Sim,,,,,,,Própria,,,,,,StandVirtual,Yes
Profissional,VW,ID.4,Pro Performance 1st,Eléctrico,Abril,2021,62 569 km,,204 cv,Sim,Sim,SUV / TT,Azul,Metalizado,Automática,,5,5,Tracção traseira,36 Meses,,Nacional,Sim,Sim,Sim,,Usados,37 900        EUR,8089806001,6 Setembro 2023,,Classe 1,,,,,,,,,,500 km,,,,,18 kWh/100km,,,StandVirtual,Yes
Profissional,Subaru,Impreza,,Gasolina,Dezembro,2010,69 000 km,2 457 cm3,301 cv,Sim,Sim,Sedan,Preto,,Manual,,5,5,,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,39 900        EUR,8088996316,6 Setembro 2023,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 200,d Shooting Brake Progressive Aut.,Diesel,Abril,2019,151 000 km,1 950 cm3,150 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,,5,5,,18 Meses,1,,Sim,Sim,Sim,,Usados,33 990        EUR,8087182549,6 Setembro 2023,Sim,Classe 1,,,,Sim,,,Classe CLA,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,X2,18 d sDrive Pack M,Diesel,Setembro,2018,106 000 km,1 995 cm3,150 cv,Sim,Sim,SUV / TT,Azul,Metalizado,Manual,6,5,5,Tracção traseira,18 Meses,1,Importado,Sim,Sim,Sim,,Usados,30 990        EUR,8084169872,6 Setembro 2023,Sim,,,133 g/km,,,,,Série X,,,,,,,,,,,StandVirtual,Yes
Profissional,Tesla,Model 3,Long-Range Dual Motor AWD,Eléctrico,Agosto,2020,54 000 km,,351 cv,Sim,Sim,Sedan,Branco,Metalizado,Automática,,4,5,,36 Meses,1,,Sim,Sim,Sim,,Usados,41 900        EUR,8086610808,6 Setembro 2023,Sim,,,,,,,,,,,,,Própria,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,GLA 220,d,Diesel,Abril,2019,54 872 km,2 143 cm3,170 cv,Sim,,SUV / TT,Preto,,Automática,7,5,5,,24 Meses,,Nacional,,,Sim,"6,30 l/100km",Usados,36 990        EUR,8089292536,6 Setembro 2023,Sim,,,,,Sim,,,Classe GLA,,,,,,,,,,,StandVirtual,Yes
