Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Potência,Autonomia,Capacidade da bateria,Bateria,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Autonomia Máxima,Condição,Preco,ID Anuncio,Data Anuncio,Link,Cilindrada,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Valor Fixo,Emissões CO2,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Registo(s),IVA Discriminado,Inspecção válida até,IUC,Filtro de partículas,Gancho de Reboque,Clássico,Consumo,Consumo Combinado,Sub-modelo,Garantia de Fábrica até,ou até,Site,Portugal,Data
Particular,Renault,Zoe,(c/ Bateria) 22 kwh Life,Eléctrico,Abril,2015,96 000 km,88 cv,150 km,22 kWh,Própria,Citadino,Branco,Automática,1,5,5,Tracção dianteira,170 km,Usados,10 999        EUR,8090596876,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-c-bateria-22-kwh-life-ID8PxjQ0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,MINI,Clubman,,Diesel,Janeiro,2014,124 000 km,143 cv,,,,Carrinha,Bege,Manual,6,5,4,Tracção traseira,,Usados,13 200        EUR,8089829611,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-clubman-ID8Pu6eL.html,1 995 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Importado,Sim,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Citroën,C4 Cactus,,Gasolina,Junho,2017,80 393 km,82 cv,,,,SUV / TT,Preto,Automática,6,5,5,Tracção dianteira,,Usados,12 690        EUR,8090573945,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-ID8PxdS9.html,1 199 cm3,,,Metalizado,,,,Sim,Sim,Sim,100 g/km,Sim,"6,40 l/100km","4,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Abarth,Punto Evo,1.4 T-Jet SuperSport,Gasolina,Junho,2013,156 000 km,180 cv,,,,Citadino,Cinzento,Manual,5,3,,Tracção dianteira,,Usados,14 490        EUR,8090542995,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/abarth-punto-evo-1-4-t-jet-supersport-ID8Px5OX.html,1 368 cm3,,,,,,,,,Sim,142 g/km,,8 l/100km,5 l/100km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,VW,Golf,1.6 TDi BlueMotion Confortline,Diesel,Junho,2014,167 009 km,110 cv,,,,Utilitário,Preto,Manual,6,5,5,Tracção dianteira,,Usados,14 500        EUR,8090537323,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-bluemotion-confortline-ID8Px4lt.html,1 598 cm3,,,,,,,,,,85 g/km,,"3,90 l/100km","3,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Abril,2015,61 000 km,90 cv,,,,SUV / TT,Castanho,Manual,5,5,5,Tracção dianteira,,Usados,14 900        EUR,8087857207,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8PlP7N.html,898 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,,Sim,Sim,,,Sim,6 l/100km,,1,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Citroën,DS3,1.6 e-HDi So Chic,Diesel,Março,2014,170 000 km,92 cv,,,,Cabrio,Vermelho,Manual,5,3,5,Tracção dianteira,,Usados,13 900        EUR,8087876909,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-e-hdi-so-chic-ID8PlUfz.html,1 560 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,,Sim,Sim,,,Sim,"4,40 l/100km",,1,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Toyota,Yaris,1.0 VVT-i ACtive,Gasolina,Março,2018,132 522 km,69 cv,,,,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,,Usados,12 990        EUR,8089920679,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-active-ID8PutWB.html,998 cm3,,Sim,,Classe 1,18 Meses,Nacional,Sim,,Sim,99 g/km,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Audi,A3 Sportback,1.6 TDI,Diesel,Dezembro,2017,226 190 km,116 cv,,,,Utilitário,Cinzento,Manual,,5,5,Tracção dianteira,,Usados,14 990        EUR,8089865443,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-ID8PufyH.html,1 598 cm3,,Sim,,,18 Meses,Nacional,Sim,,Sim,106 g/km,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Citroën,C4 Cactus,1.5 BlueHDi Feel,Diesel,Dezembro,2019,153 327 km,102 cv,,,,Utilitário,Cinzento,Manual,,5,5,Tracção dianteira,,Usados,13 990        EUR,8089194955,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-5-bluehdi-feel-ID8Prr8n.html,1 499 cm3,,Sim,,,18 Meses,Nacional,Sim,,Sim,,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,308 SW,1.6 BlueHDi Access,Diesel,Abril,2018,156 675 km,100 cv,,,,Carrinha,Cinzento,Manual,,5,5,Tracção dianteira,,Usados,13 290        EUR,8088153169,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-access-ID8Pn47n.html,1 560 cm3,,Sim,,,18 Meses,Nacional,Sim,,Sim,,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Nissan,Qashqai,1.5 dCi Tekna Premium 18 360,Diesel,Dezembro,2010,229 780 km,109 cv,,,,SUV / TT,Preto,Manual,,5,,,,Usados,11 180        EUR,8090145266,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-tekna-premium-18-360-ID8PwqlY.html,1 461 cm3,,,Metalizado,,36 Meses,,,,,,,"5,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Renault,Scénic,1.5 dCi Dynamique S,Diesel,Outubro,2012,191 000 km,95 cv,,,,Monovolume,Branco,Manual,6,5,5,Tracção dianteira,,Usados,8 940        EUR,8088695846,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-scnic-1-5-dci-dynamique-s-ID8Pplie.html,1 461 cm3,Sim,Sim,Pérola,Classe 1,18 Meses,,Sim,Sim,Sim,,Sim,"5,40 l/100km",,,,01/10/2023,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Hyundai,i30 SW,1.6 CRDi Comfort,Diesel,Janeiro,2018,198 151 km,110 cv,,,,Carrinha,Cinzento,Manual,,5,5,,,Usados,13 490        EUR,8087925684,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i30-sw-1-6-crdi-comfort-ID8Pm6Vg.html,1 582 cm3,,Sim,,,18 Meses,Nacional,Sim,,Sim,,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure J17,Diesel,Setembro,2016,190 000 km,120 cv,,,,Carrinha,Preto,Manual,,5,5,Tracção dianteira,,Usados,13 900        EUR,8090584662,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-j17-ID8PxgF0.html,1 560 cm3,Sim,Sim,,,18 Meses,,Sim,Sim,,,Sim,,,,,01/09/2024,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Março,2018,157 716 km,120 cv,,,,Carrinha,Branco,Manual,5,5,5,Tracção dianteira,,Usados,13 490        EUR,8087576589,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8PkE7H.html,1 499 cm3,,Sim,,Classe 1,18 Meses,Nacional,Sim,,Sim,,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Business Edition,Diesel,Abril,2018,234 693 km,110 cv,,,,Carrinha,Branco,Manual,6,5,5,Tracção dianteira,,Usados,13 290        EUR,8087501745,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-business-edition-ID8PkkEx.html,1 598 cm3,,Sim,,Classe 1,18 Meses,Nacional,Sim,,Sim,,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Janeiro,2018,169 128 km,115 cv,,,,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,Usados,13 890        EUR,8087404076,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PjWfe.html,1 598 cm3,,Sim,,Classe 1,18 Meses,Nacional,Sim,,Sim,,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Renault,Mégane,1.5 dCi Intens,Diesel,Junho,2017,267 150 km,110 cv,,,,Utilitário,Cinzento,Manual,6,5,5,Tracção dianteira,,Usados,10 990        EUR,8089237257,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-intens-ID8PrC8F.html,1 461 cm3,,Sim,,Classe 1,18 Meses,Nacional,Sim,,Sim,95 g/km,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,VW,Caddy,1.6 TDi Extra AC BlueMotion,Diesel,Agosto,2014,115 331 km,75 cv,,,,Carrinha,Branco,Manual,5,5,2,Tracção dianteira,,Usados,9 500        EUR,8090449292,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-caddy-1-6-tdi-extra-ac-bluemotion-ID8PvHrC.html,1 598 cm3,,,,,,,,,,139 g/km,,"5,90 l/100km","4,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Fiat,500,1.2 Lounge,Gasolina,Dezembro,2019,56 580 km,69 cv,,,,Citadino,Branco,Manual,5,3,4,Tracção dianteira,,Usados,14 500        EUR,8090422466,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PvAsV.html,1 242 cm3,Sim,Sim,,Classe 1,18 Meses,Nacional,,Sim,,,,,,1,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Opel,Astra Sports Tourer,1.6 CDTI Edition S/S,Diesel,Fevereiro,2017,309 000 km,95 cv,,,,Carrinha,Branco,Manual,6,5,5,Tracção dianteira,,Usados,6 900        EUR,8090537001,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-edition-s-s-ID8Px4gh.html,1 598 cm3,,,,,,,,,,96 g/km,,"4,20 l/100km","3,30 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Kia,Rio,1.2 CVVT More Edition,Gasolina,Junho,2014,119 800 km,85 cv,,,,Citadino,Cinzento,Manual,5,5,5,Tracção dianteira,,Usados,9 000        EUR,8090039567,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-rio-1-2-cvvt-more-edition-ID8PuYR9.html,1 248 cm3,,,Metalizado,Classe 1,,,,,,114 g/km,,6 l/100km,"4,30 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Ford,Fiesta,1.5 TDCi Trend,Diesel,Janeiro,2013,145 080 km,75 cv,,,,Citadino,Branco,Manual,5,5,5,Tracção dianteira,,Usados,8 990        EUR,8090053793,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-trend-ID8Pw2yB.html,1 499 cm3,Sim,Sim,Pérola,Classe 1,36 Meses,,,Sim,,91 g/km,Sim,"4,40 l/100km",,1,,,140 €,Sim,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Fiat,500,1.2 8V Pop,Gasolina,Agosto,2019,16 000 km,69 cv,,,,Citadino,Cinzento,Manual,5,3,4,Tracção dianteira,,Usados,14 500        EUR,8090604542,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-8v-pop-ID8PxlPE.html,1 242 cm3,,Sim,Metalizado,Classe 1,18 Meses,,Sim,Sim,,,Sim,"6,20 l/100km",,1,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Audi,A6,2.0 TDi,Diesel,Janeiro,2012,346 624 km,177 cv,,,,Sedan,Cinzento,Manual,6,4,5,Tracção dianteira,,Usados,12 490        EUR,8089029628,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a6-2-0-tdi-ID8PqK7O.html,1 968 cm3,,Sim,,Classe 1,18 Meses,Nacional,Sim,,Sim,129 g/km,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Nissan,Micra,1.5 DCi Acenta S/S,Diesel,Junho,2017,135 703 km,90 cv,,,,Utilitário,Branco,Manual,,5,5,Tracção dianteira,,Usados,13 490        EUR,8089336736,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-acenta-s-s-ID8Ps21a.html,1 461 cm3,,Sim,,,18 Meses,Nacional,Sim,,Sim,85 g/km,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Junho,2017,130 543 km,110 cv,,,,Carrinha,Preto,Manual,6,5,5,Tracção dianteira,,Usados,11 490        EUR,8087740486,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-business-edition-s-s-ID8PlkLc.html,1 598 cm3,,Sim,,Classe 1,18 Meses,Nacional,Sim,,Sim,92 g/km,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2018,106 623 km,95 cv,,,,Utilitário,Preto,Manual,5,5,5,Tracção dianteira,,Usados,12 990        EUR,8087618360,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PkOZq.html,1 248 cm3,,Sim,,Classe 1,18 Meses,Nacional,Sim,,Sim,,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Peugeot,508 RXH,2.0 HDi Hybrid4 2-Tronic,Híbrido (Diesel),Agosto,2013,183 000 km,200 cv,,,,Carrinha,Cinzento,Automática,6,5,5,Integral,,Usados,12 000        EUR,8090536940,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-rxh-2-0-hdi-hybrid4-2-tronic-ID8Px4fi.html,1 997 cm3,,,Metalizado,Classe 1,,Importado,Sim,Sim,,109 g/km,Sim,4 l/100km,"4,90 l/100km",1,,31/08/2024,225 €,,1,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Renault,Clio,,Gasolina,Fevereiro,2020,82 540 km,101 cv,,,,Utilitário,Preto,Manual,5,5,5,,,Usados,14 990        EUR,8090053861,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-ID8Pw2zH.html,999 cm3,Sim,Sim,,Classe 1,18 Meses,,Sim,Sim,Sim,,Sim,,,1,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,208,1.6 BlueHDi Active,Diesel,Abril,2017,115 519 km,75 cv,,,,Utilitário,Cinzento,Manual,5,5,5,,,Usados,13 750        EUR,8089944334,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-active-ID8PuA58.html,1 560 cm3,Sim,Sim,,Classe 1,18 Meses,,Sim,Sim,Sim,,,,,1,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Citroën,C4,1.6 BlueHDi Feel,Diesel,Abril,2016,159 000 km,100 cv,,,,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,,Usados,13 990        EUR,8090481815,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-1-6-bluehdi-feel-ID8PvPUb.html,1 560 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Nacional,Sim,Sim,,86 g/km,Sim,"3,70 l/100km","3,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure EAT6,Diesel,Novembro,2017,165 000 km,120 cv,,,,Carrinha,Preto,Automática,,5,5,,,Usados,15 000        EUR,8088418071,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-eat6-ID8Pob1Z.html,1 560 cm3,,Sim,,,18 Meses,,Sim,,Sim,,Sim,"4,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Innovation S/S,Diesel,Outubro,2017,135 000 km,110 cv,,,,Carrinha,Preto,Manual,,5,,,,Usados,12 000        EUR,8088778492,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-innovation-s-s-ID8PpGNe.html,1 598 cm3,,,,,18 Meses,,,,Sim,,Sim,"5,70 l/100km",,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Smart,ForFour,Electric Drive Passion,Eléctrico,Novembro,2018,15 772 km,82 cv,,,,Citadino,Branco,Automática,,5,4,,150 km,Usados,14 900        EUR,8088887715,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-electric-drive-passion-ID8Pq9cT.html,,,Sim,,,18 Meses,,Sim,Sim,Sim,,Sim,,,,,01/11/2024,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Renault,Mégane Sport Tourer,1.5 Blue dCi Business,Diesel,Junho,2019,134 000 km,115 cv,,,,Carrinha,Cinzento,Manual,6,5,,Tracção dianteira,,Usados,14 500        EUR,8089912019,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-business-ID8PurFW.html,1 461 cm3,,,Metalizado,,,Importado,Sim,,,118 g/km,,,,,,,154 €,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge Tech J17,Diesel,Maio,2019,90 000 km,95 cv,,,,Carrinha,Branco,Manual,,5,5,,,Usados,14 750        EUR,8088496447,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-tech-j17-ID8Powq7.html,1 248 cm3,Sim,Sim,Metalizado,,18 Meses,Nacional,Sim,Sim,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Audi,A1 Sportback,1.6 TDi Business Line,Diesel,Fevereiro,2015,105 000 km,90 cv,,,,Citadino,Cinzento,Manual,,5,,,,Usados,14 000        EUR,8088376994,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-6-tdi-business-line-ID8Po0ls.html,1 598 cm3,,Sim,Metalizado,,18 Meses,,,,Sim,,,"4,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Audi,A1,1.6 TDi Sport Edition S-line,Diesel,Fevereiro,2012,168 000 km,90 cv,,,,Citadino,Preto,Manual,,3,,,,Usados,12 500        EUR,8088553910,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-1-6-tdi-sport-edition-s-line-ID8PoKmV.html,1 598 cm3,,,Metalizado,,18 Meses,,,,,,,"4,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Renault,Mégane Sport Tourer,1.5 dCi GT Line SS,Diesel,Março,2014,182 116 km,110 cv,,,,Utilitário,Azul,Manual,6,5,,Tracção dianteira,,Usados,12 990        EUR,8090596662,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-gt-line-ss-ID8PxjMy.html,1 461 cm3,Sim,Sim,,,18 Meses,,,Sim,,93 g/km,Sim,"3,90 l/100km","3,40 l/100km",,,06/03/2024,,Sim,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Nissan,Pulsar,1.5 dCi Acenta,Diesel,Junho,2016,95 800 km,110 cv,,,,Utilitário,Branco,Manual,,5,5,,,Usados,13 900        EUR,8090412380,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-pulsar-1-5-dci-acenta-ID8PvxQg.html,1 461 cm3,Sim,Sim,Metalizado,,18 Meses,Nacional,,Sim,,94 g/km,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Toyota,Aygo,1.0 X-Play+AC+X-Touch,Gasolina,Setembro,2017,75 727 km,69 cv,,,,Pequeno citadino,Branco,Manual,5,3,4,,,Usados,11 370        EUR,8088035940,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-x-play-ac-x-touch-ID8PmzCA.html,998 cm3,Sim,Sim,,Classe 1,18 Meses,Importado,,Sim,Sim,,,,,1,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Julho,2018,101 000 km,75 cv,,,,Utilitário,Branco,Manual,5,5,5,Tracção dianteira,,Usados,12 900        EUR,8089945297,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8PuAkF.html,999 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Nacional,,Sim,,112 g/km,Sim,6 l/100km,"4,30 l/100km",1,,02/07/2024,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,Setembro,2019,125 000 km,110 cv,,,,SUV / TT,Azul,Manual,6,5,5,Tracção dianteira,,Usados,13 999        EUR,8090103133,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-ID8Pwfop.html,1 199 cm3,Sim,Sim,Metalizado,Classe 1,36 Meses,Importado,Sim,,Sim,,Sim,,,1,Sim,30/09/2025,104 €,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,SEAT,Ibiza,SC 2.0 TDi FR,Diesel,Julho,2013,120 000 km,143 cv,,,,Citadino,Branco,Manual,6,3,5,Tracção dianteira,,Usados,13 850        EUR,8090357456,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-2-0-tdi-fr-ID8Pvjyo.html,1 968 cm3,,Sim,Pérola,Classe 1,,Nacional,Sim,Sim,,,Sim,"5,90 l/100km",,1,,31/07/2024,,,,Sim,,,,,,StandVirtual,Yes,2023-09-17
Particular,Honda,Jazz,1.2 i-VTEC City Top,Gasolina,Outubro,2010,220 000 km,90 cv,,,,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,,Usados,6 750        EUR,8090217562,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/honda-jazz-1-2-i-vtec-city-top-ID8PwJa2.html,1 198 cm3,,,,Classe 1,,Nacional,Sim,,,125 g/km,,"6,50 l/100km","4,50 l/100km",2,,15/10/2024,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Hyundai,Santa Fe,2.2 CRDi 7Wagon Style,Diesel,Dezembro,2010,204 700 km,197 cv,,,,SUV / TT,Preto,Manual,6,5,7,Tracção dianteira,,Usados,13 900        EUR,8089237950,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-santa-fe-2-2-crdi-7wagon-style-ID8PrCjQ.html,2 199 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Nacional,Sim,,,174 g/km,Sim,"8,50 l/100km",,1,,22/12/2023,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Peugeot,208,,Diesel,Novembro,2015,192 721 km,100 cv,,,,Citadino,Preto,Manual,5,5,5,Tracção dianteira,,Usados,10 500        EUR,8090610951,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-ID8Pxnw1.html,1 560 cm3,,,Metalizado,Classe 1,,Importado,Sim,Sim,,90 g/km,Sim,"3,80 l/100km","3,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,SEAT,Altea,,Diesel,Fevereiro,2010,215 000 km,105 cv,,,,Monovolume,Cinzento,Manual,5,5,5,Tracção dianteira,,Usados,7 990        EUR,8087848453,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-altea-ID8PlMQB.html,1 598 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Nacional,Sim,Sim,,,Sim,,,1,,22/02/2024,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,508 SW,2.0 HDi Allure,Diesel,Abril,2013,265 000 km,140 cv,,,,Carrinha,Branco,Manual,,5,5,,,Usados,10 000        EUR,8090582773,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-2-0-hdi-allure-ID8Pxgax.html,1 997 cm3,,Sim,,,18 Meses,,Sim,Sim,Sim,,,"6,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Ford,B-Max,1.0 EcoBoost Titanium,Gasolina,Fevereiro,2017,84 200 km,100 cv,,,,Monovolume,Castanho,Manual,5,5,5,Tracção dianteira,,Usados,14 290        EUR,8088429972,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-b-max-1-0-ecoboost-titanium-ID8Poe7V.html,998 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,,,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Opel,Corsa,1.2 Enjoy,Gasolina,Agosto,2010,153 699 km,85 cv,,,,Citadino,Preto,Manual,5,5,5,Tracção dianteira,,Usados,8 590        EUR,8088327806,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-enjoy-ID8PnNy6.html,1 229 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Nacional,Sim,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Janeiro,2015,61 565 km,71 cv,,,,Pequeno citadino,Branco,Manual,5,3,2,Tracção dianteira,,Usados,10 550        EUR,8088438225,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8Pogh3.html,999 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Nacional,Sim,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Março,2016,138 456 km,110 cv,,,,Utilitário,Branco,Manual,5,3,5,Tracção dianteira,,Usados,13 690        EUR,8087935615,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8Pm9vr.html,1 199 cm3,Sim,Sim,Pérola,Classe 1,18 Meses,Nacional,Sim,Sim,,99 g/km,,,,,,,"108,32 €",,,,,,,,,StandVirtual,Yes,2023-09-17
