Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Potência,Autonomia,Capacidade da bateria,Bateria,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Autonomia Máxima,Condição,Preco,ID Anuncio,Data Anuncio,Link,Cilindrada,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Valor Fixo,Emissões CO2,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Registo(s),IVA Discriminado,Inspecção válida até,IUC,Filtro de partículas,Gancho de Reboque,Clássico,Consumo,Consumo Combinado,Sub-modelo,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,Mercedes-Benz,GLC 250,d 4-Matic,Diesel,Novembro,2017,221 764 km,204 cv,,,,SUV / TT,Preto,Automática,,5,5,,,Usados,37 490        EUR,8090102344,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-250-d-4-matic-ID8PwfbG.html,2 143 cm3,,Sim,,,18 Meses,Nacional,Sim,,Sim,,Sim,,,1,Sim,,,,,,,,Classe GLC,,,StandVirtual,Yes,2023-09-17
Profissional,Mercedes-Benz,E 220,d AMG Line,Diesel,Maio,2017,119 000 km,194 cv,,,,Coupé,Cinzento,Automática,9,3,4,Tracção traseira,,Usados,41 990        EUR,8090035753,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-amg-line-ID8PuXRD.html,1 950 cm3,,,Metalizado,Classe 1,18 Meses,,Sim,Sim,,143 g/km,Sim,"5,50 l/100km","4,10 l/100km",,,,,,,,,,Classe E,,,StandVirtual,Yes,2023-09-17
Profissional,BMW,520,d Auto,Diesel,Agosto,2017,87 000 km,190 cv,,,,Carrinha,Cinzento,Automática,,5,5,Tracção traseira,,Usados,30 950        EUR,8089420524,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-auto-ID8PsnOA.html,1 995 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Nacional,Sim,Sim,,114 g/km,Sim,,,,,,250 €,Sim,,,,,Série 5,,,StandVirtual,Yes,2023-09-17
Particular,Mercedes-Benz,C 250,,Diesel,Março,2016,98 000 km,204 cv,,,,Coupé,Branco,Automática,,3,,,,Usados,34 999        EUR,8089197699,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-250-ID8PrrQD.html,2 143 cm3,,,Metalizado,,,,,,,,,,,,,,,,,,,,Classe C,,,StandVirtual,Yes,2023-09-17
Profissional,Hyundai,Kauai,EV 64kWh Premium,Eléctrico,Abril,2019,74 000 km,204 cv,,,,SUV / TT,Cinzento,Automática,,5,5,,,Usados,32 990        EUR,8089636074,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-kauai-ev-64kwh-premium-ID8PthTc.html,,Sim,Sim,,Classe 1,18 Meses,Nacional,Sim,Sim,Sim,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,BMW,520,d Pack M Auto,Diesel,Julho,2017,175 000 km,190 cv,,,,Carrinha,Preto,Automática,8,5,5,Tracção traseira,,Usados,32 990        EUR,8089925212,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-m-auto-ID8Puw6I.html,1 995 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Nacional,Sim,Sim,Sim,135 g/km,Sim,,,,,,,,,,,,Série 5,,,StandVirtual,Yes,2023-09-17
Particular,Mercedes-Benz,CLA 200,Shooting Brake AMG Line Aut.,Gasolina,Março,2021,24 000 km,163 cv,,,,Carrinha,Preto,Automática,7,5,5,Tracção dianteira,650 km,Usados,37 750        EUR,8088286644,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-shooting-brake-amg-line-aut-ID8PnCQc.html,1 332 cm3,Sim,Sim,Metalizado,Classe 1,,,Sim,Sim,Sim,,Sim,,,1,,,170 €,,,,,,Classe CLA,,,StandVirtual,Yes,2023-09-17
Particular,Cupra,Formentor,1.5 TSI Sport DSG,Gasolina,Maio,2021,24 700 km,150 cv,,,,SUV / TT,Cinzento,Automática,7,5,5,Tracção dianteira,,Usados,35 000        EUR,8090525124,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/cupra-formentor-1-5-tsi-sport-dsg-ID8Px1aI.html,1 498 cm3,,,Metalizado,Classe 1,,,,Sim,,155 g/km,,"6,50 l/100km",5 l/100km,,,,140 €,,,,,,,01/05/2025,,StandVirtual,Yes,2023-09-17
Particular,VW,Golf,2.0 TSi GTi DSG Performance,Gasolina,Fevereiro,2018,54 000 km,230 cv,,,,Citadino,Branco,Automática,,5,,,,Usados,30 900        EUR,8090190937,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-2-0-tsi-gti-dsg-performance-ID8PwCeB.html,1 984 cm3,,,,,,,,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,3008,1.6 Hybrid Allure e-EAT8,Híbrido (Gasolina),Março,2022,20 100 km,225 cv,,,,SUV / TT,Branco,Automática,,5,5,,,Usados,39 800        EUR,8089115351,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-hybrid-allure-e-eat8-ID8Pr6qr.html,1 598 cm3,,Sim,,,18 Meses,,,Sim,Sim,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Mercedes-Benz,CLA 250,e Shooting Brake AMG Line,Híbrido (Gasolina),Março,2021,54 000 km,218 cv,,,,Carrinha,Branco,Automática,,5,5,,,Usados,40 900        EUR,8090240639,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-250-e-shooting-brake-amg-line-ID8PwPaf.html,1 332 cm3,Sim,Sim,,,18 Meses,,,Sim,Sim,,,,,,Sim,,,,,,,,Classe CLA,,,StandVirtual,Yes,2023-09-17
Profissional,Mercedes-Benz,CLA 180,d AMG Line Aut.,Diesel,Outubro,2019,72 000 km,116 cv,,,,Sedan,Azul,Automática,,4,5,,,Usados,33 900        EUR,8090112777,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-amg-line-aut-ID8PwhTX.html,1 461 cm3,,Sim,,,18 Meses,,,Sim,Sim,,,,,,,,,,,,,,Classe CLA,,,StandVirtual,Yes,2023-09-17
Profissional,BMW,X2,25 e xDrive X Pack M,Híbrido (Gasolina),Março,2021,48 000 km,220 cv,,,,SUV / TT,Cinzento,Automática,,5,5,,,Usados,41 900        EUR,8089965496,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x2-25-e-xdrive-x-pack-m-ID8PuFAs.html,1 499 cm3,,Sim,,,18 Meses,Nacional,,Sim,Sim,,,,,,Sim,,,,,,,,Série X,,,StandVirtual,Yes,2023-09-17
