Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Número de Mudanças,Tracção,Emissões CO2,Registo(s),Consumo Urbano,Consumo Extra Urbano,Tipo de cor,Filtro de partículas,IUC,Livro de Revisões completo,Possibilidade de financiamento,IVA Discriminado,Garantia de Fábrica até,Inspecção válida até,Autonomia Máxima,Clássico,Gancho de Reboque,ou até,Autonomia,Consumo,Capacidade da bateria,Bateria,Consumo Combinado,Site,Portugal,Data
Profissional,VW,Polo,1.0 Trendline,Gasolina,Dezembro,2015,197 000 km,999 cm3,60 cv,,,Citadino,Preto,Manual,5,5,,36 Meses,,,,Usados,9 850        EUR,8090155223,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-trendline-ID8PwsVz.html,,5,,,,,,,,,,,,01/01/0001,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Dezembro,2017,149 000 km,1 199 cm3,68 cv,,,Citadino,Branco,Manual,5,5,,18 Meses,,,Sim,Usados,11 750        EUR,8090298481,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8Pv4db.html,,5,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,B 180,BlueEfficiency,Gasolina,Maio,2015,190 000 km,1 595 cm3,122 cv,,Sim,SUV / TT,Preto,Manual,5,5,,18 Meses,,,Sim,Usados,14 750        EUR,8089718917,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-b-180-blueefficiency-ID8PtDrn.html,Classe B,6,,,,,,Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Opel,Crossland X,1.2 Business Edition,Gasolina,Março,2019,79 667 km,1 199 cm3,83 cv,,Sim,SUV / TT,Preto,Manual,5,5,Classe 1,36 Meses,,,Sim,Usados,13 750        EUR,8089603263,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-crossland-x-1-2-business-edition-ID8Pt9lZ.html,,5,Tracção dianteira,141 g/km,,"6,20 l/100km","4,40 l/100km",Metalizado,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C3,1.5 BlueHDi Feel,Diesel,Março,2019,69 000 km,1 499 cm3,102 cv,,Sim,Citadino,Vermelho,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,14 900        EUR,8088721916,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-feel-ID8Pps4I.html,,5,Tracção dianteira,,1,,,Metalizado,Sim,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Feel,Diesel,Julho,2019,126 997 km,1 560 cm3,100 cv,Sim,Sim,SUV / TT,Preto,Manual,5,5,Classe 1,18 Meses,,Sim,,Usados,14 750        EUR,8090726782,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-bluehdi-feel-ID8PxRDg.html,,5,Tracção dianteira,94 g/km,,"4,20 l/100km","3,30 l/100km",Metalizado,,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Twingo,1.0 SCe Dynamique,Gasolina,Dezembro,2016,152 000 km,999 cm3,70 cv,,Sim,Citadino,Azul,Manual,5,4,Classe 1,18 Meses,Importado,Sim,,Usados,8 900        EUR,8090230072,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-dynamique-ID8PwMpO.html,,5,Tracção dianteira,,1,,,Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Luxe,Diesel,Maio,2012,219 000 km,1 461 cm3,110 cv,,Sim,Carrinha,Castanho,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,10 900        EUR,8090056696,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-luxe-ID8Pw3jq.html,,6,Tracção dianteira,,2,"5,80 l/100km",,Metalizado,Sim,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,116,d EDynamics Line Sport,Diesel,Agosto,2012,159 921 km,1 598 cm3,116 cv,,Sim,Citadino,Preto,Manual,5,5,,18 Meses,,,Sim,Usados,13 900        EUR,8090839659,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-edynamics-line-sport-ID8PykZR.html,Série 1,6,Tracção traseira,99 g/km,,"4,40 l/100km","3,40 l/100km",,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,Grande Punto,,Diesel,Julho,2014,148 000 km,1 248 cm3,85 cv,,,Citadino,Cinzento,Manual,5,5,,18 Meses,Nacional,,Sim,Usados,6 999        EUR,8090688707,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-grande-punto-ID8PxHJ9.html,,,,90 g/km,1,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,Smart,City Cabrio,,Gasolina,Outubro,2015,55 500 km,999 cm3,71 cv,,,Cabrio,Branco,Automática,2,5,,,Nacional,Sim,Sim,Usados,8 100        EUR,8090761816,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-city-cabrio-ID8Py0Kk.html,,,,95 g/km,2,,,,,,,,,,06/10/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Maio,2015,175 000 km,1 461 cm3,110 cv,,,Carrinha,Cinzento,Manual,5,5,,,,,,Usados,9 250        EUR,8090786247,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8Py76n.html,,6,Tracção dianteira,95 g/km,,"4,20 l/100km","3,40 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,308 SW,BlueHDi 120 Stop & Start GT-Line Edition,Diesel,Agosto,2018,148 500 km,1 560 cm3,120 cv,,,Carrinha,Azul,Manual,5,5,Classe 1,36 Meses,,Sim,Sim,Usados,14 900        EUR,8090893241,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-bluehdi-120-stop-start-gt-line-edition-ID8PyyV5.html,,6,Tracção dianteira,,1,"4,40 l/100km",,Metalizado,Sim,,Sim,Sim,,,,950 km,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,Berlingo,,Diesel,Março,2018,120 027 km,1 600 cm3,75 cv,,,Carrinha,Branco,Manual,3,3,,36 Meses,,Sim,Sim,Usados,14 900        EUR,8090821977,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-berlingo-ID8PygoF.html,,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mazda,6,SW MZR-CD 2.2 Sport Plus,Diesel,Abril,2010,299 000 km,2 184 cm3,180 cv,,,Carrinha,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,6 000        EUR,8090573461,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mazda-6-sw-mzr-cd-2-2-sport-plus-ID8PxdKl.html,,6,Tracção dianteira,143 g/km,,"6,90 l/100km","4,50 l/100km",Metalizado,,,,,,,30/04/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Innovation,Diesel,Junho,2018,256 970 km,1 598 cm3,136 cv,Sim,,Carrinha,Cinzento,Manual,5,1,Classe 1,18 Meses,Nacional,,,Usados,12 990        EUR,8090678001,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-innovation-ID8PxEVt.html,,6,Tracção dianteira,138 g/km,1,,,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Clio Sport Tourer,1.5 dCi GT Line,Diesel,Janeiro,2017,163 450 km,1 461 cm3,90 cv,,,Carrinha,Branco,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,13 650        EUR,8090611803,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-gt-line-ID8PxnIL.html,,5,Tracção dianteira,127 g/km,1,"4,30 l/100km","3,60 l/100km",Pérola,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Clio Sport Tourer,0.9 TCe GT Line,Gasolina,Junho,2018,86 373 km,898 cm3,90 cv,Sim,Sim,Carrinha,Preto,Manual,5,5,Classe 1,36 Meses,,Sim,,Usados,12 995        EUR,8090730589,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-gt-line-ID8PxSCF.html,,6,,,1,"6,30 l/100km",,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Dezembro,2017,161 068 km,1 461 cm3,75 cv,Sim,,Utilitário,Branco,Manual,5,5,Classe 1,18 Meses,Nacional,,,Usados,9 990        EUR,8090678011,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PxEVD.html,,5,Tracção dianteira,128 g/km,1,,,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Mégane,1.5 dCi Intens,Diesel,Maio,2016,199 920 km,1 461 cm3,110 cv,Sim,,Utilitário,Preto,Manual,5,5,Classe 1,18 Meses,Nacional,,,Usados,12 990        EUR,8090677979,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-intens-ID8PxEV7.html,,6,Tracção dianteira,95 g/km,1,,,Metalizado,,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,500,1.2 Lounge,Gasolina,Junho,2019,68 977 km,1 242 cm3,69 cv,,,Utilitário,Branco,Manual,3,4,Classe 1,36 Meses,Nacional,,,Usados,12 940        EUR,8090414271,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PvykL.html,,5,Tracção dianteira,129 g/km,,"5,90 l/100km","4,40 l/100km",Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
