Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Número de Mudanças,Tracção,Emissões CO2,Registo(s),Consumo Urbano,Consumo Extra Urbano,Tipo de cor,Filtro de partículas,IUC,Livro de Revisões completo,Possibilidade de financiamento,IVA Discriminado,Garantia de Fábrica até,Inspecção válida até,Autonomia Máxima,Clássico,Gancho de Reboque,ou até,Autonomia,Consumo,Capacidade da bateria,Bateria,Consumo Combinado,Site,Portugal,Data
Profissional,Renault,Kangoo,1.5 dCi Maxi Business S/S,Diesel,Dezembro,2016,200 447 km,1 461 cm3,90 cv,Sim,Sim,Carrinha,Branco,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 490        EUR,8090542223,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-kangoo-1-5-dci-maxi-business-s-s-ID8Px5Cw.html,,,Tracção dianteira,,1,,,,,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C3,Pure Tech Shine,Gasolina,Junho,2019,85 521 km,1 199 cm3,82 cv,,,Citadino,Vermelho,Manual,5,,,18 Meses,,,,Usados,13 950        EUR,8090839263,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-pure-tech-shine-ID8PykTt.html,,5,Tracção dianteira,110 g/km,,"5,80 l/100km","4,20 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Feel,Diesel,Outubro,2015,135 000 km,1 560 cm3,100 cv,,Sim,Citadino,Branco,Manual,5,5,,18 Meses,Importado,Sim,Sim,Usados,13 900        EUR,8090802756,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-bluehdi-feel-ID8PyboE.html,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,208,1.2 PureTech Signature,Gasolina,Maio,2019,54 178 km,1 199 cm3,82 cv,,Sim,Utilitário,Cinzento,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,14 200        EUR,8090485088,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-signature-ID8PvQKY.html,,,,,1,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Março,2017,85 000 km,1 242 cm3,69 cv,,,Citadino,Cinzento,Manual,3,4,Classe 1,36 Meses,Nacional,Sim,Sim,Usados,11 990        EUR,8090484475,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PvQB5.html,,5,Tracção dianteira,99 g/km,1,"6,20 l/100km","4,20 l/100km",,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C4 Cactus,1.2 PureTech Feel,Gasolina,Fevereiro,2015,109 000 km,1 199 cm3,82 cv,,Sim,Utilitário,Roxo,Manual,5,5,,18 Meses,Importado,Sim,,Usados,10 900        EUR,8090829443,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-2-puretech-feel-ID8Pyil5.html,,,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Julho,2019,56 710 km,999 cm3,80 cv,,Sim,Citadino,Branco,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,13 740        EUR,8090739261,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8PxUSx.html,,5,Tracção dianteira,122 g/km,,"6,10 l/100km","4,30 l/100km",Metalizado,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,318 Gran Turismo,,Diesel,Maio,2010,218 560 km,1 995 cm3,143 cv,,,Carrinha,Preto,Manual,5,,,18 Meses,,,,Usados,12 680        EUR,8088527562,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-gran-turismo-ID8PoDwY.html,Série 3,,,,,,,Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Kangoo,,Diesel,Novembro,2018,192 480 km,1 461 cm3,75 cv,,,Monovolume,Branco,Manual,3,3,,36 Meses,,,,Usados,11 890        EUR,8090441685,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-kangoo-ID8PvFsW.html,,,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Junho,2015,86 000 km,1 199 cm3,82 cv,,Sim,SUV / TT,Outra,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,14 450        EUR,8090802739,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8Pybon.html,,,,,,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,Polo,1.0 Trendline,Gasolina,Junho,2017,68 060 km,999 cm3,75 cv,Sim,Sim,Citadino,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,,,Usados,12 900        EUR,8090565115,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-trendline-ID8PxbzJ.html,,,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Opel,Adam,1.4 Unlimited,Gasolina,Julho,2016,77 830 km,1 398 cm3,87 cv,,Sim,Citadino,Castanho,Manual,3,4,Classe 1,18 Meses,,Sim,Sim,Usados,12 500        EUR,8090539972,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-adam-1-4-unlimited-ID8Px52c.html,,5,Tracção dianteira,125 g/km,,"7,60 l/100km","4,70 l/100km",Metalizado,,120 €,Sim,Sim,,,,800 km,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,SEAT,Ibiza,,Gasolina,Junho,2019,95 867 km,999 cm3,80 cv,,,Sedan,Cinzento,Manual,5,,,36 Meses,Nacional,,,Usados,14 450        EUR,8090413411,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-ID8Pvy6T.html,,,,,,,,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Agosto,2018,113 000 km,898 cm3,90 cv,,Sim,SUV / TT,Cinzento,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,14 900        EUR,8090160435,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8PwuiD.html,,,,140 g/km,1,,,Metalizado,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Mégane Coupe,1.5 dCi Bose Edition EDC,Diesel,Junho,2015,121 213 km,1 461 cm3,110 cv,Sim,Sim,Coupé,Cinzento,Automática,2,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 990        EUR,8090730366,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-coupe-1-5-dci-bose-edition-edc-ID8PxSz4.html,,6,,,1,,,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,Panda,1.2 Lounge,Gasolina,Junho,2018,93 256 km,1 242 cm3,69 cv,,Sim,Citadino,Preto,Manual,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,9 990        EUR,8090694873,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-ID8PxJkB.html,,5,Tracção dianteira,120 g/km,,"6,40 l/100km",4 l/100km,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,Golf,1.6 TDi Trendline,Diesel,Julho,2010,238 000 km,1 598 cm3,105 cv,,,Utilitário,Cinzento,Manual,3,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,8 490        EUR,8090891651,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-trendline-ID8Pyyvr.html,,5,Tracção dianteira,,1,,,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,SEAT,Leon,,Diesel,Julho,2013,399 003 km,1 598 cm3,105 cv,,,Utilitário,Cinzento,Manual,5,5,Classe 1,,Nacional,Sim,Sim,Usados,9 000        EUR,8090429970,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-ID8PvCpY.html,,5,,99 g/km,1,,,Metalizado,,"154,12 €",Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure EAT6,Diesel,Novembro,2017,165 000 km,1 560 cm3,120 cv,Sim,,Carrinha,Preto,Automática,5,5,,18 Meses,,Sim,,Usados,14 000        EUR,8090826866,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-eat6-ID8PyhFv.html,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,Fiat,500X,1.6 MJ Pop Star J17 DCT S&S,Diesel,Dezembro,2016,160 500 km,1 598 cm3,120 cv,,,SUV / TT,Branco,Automática,5,5,,,,,,Usados,14 650        EUR,8090892094,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-6-mj-pop-star-j17-dct-s-s-ID8PyyDA.html,,6,Tracção dianteira,110 g/km,,"4,80 l/100km",4 l/100km,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,Mercedes-Benz,A 180,,Diesel,Dezembro,2014,115 000 km,1 461 cm3,109 cv,,,Utilitário,Cinzento,Manual,5,5,,,,,,Usados,15 000        EUR,8090802516,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-ID8PybkM.html,Classe A,6,Tracção dianteira,102 g/km,,"4,50 l/100km","3,30 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,Punto,1.3 M-Jet Lounge S&S,Diesel,Março,2015,150 000 km,1 248 cm3,85 cv,,Sim,Citadino,Preto,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,8 950        EUR,8085901952,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-3-m-jet-lounge-s-s-ID8PdCtq.html,,,,,1,,,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited,Gasolina,Dezembro,2020,59 624 km,898 cm3,90 cv,,Sim,Carrinha,Preto,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 490        EUR,8090259222,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-ID8PwTZY.html,,5,Tracção dianteira,132 g/km,,"6,30 l/100km","4,20 l/100km",Metalizado,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Abril,2019,126 500 km,1 461 cm3,90 cv,,Sim,Citadino,Cinzento,Manual,5,5,,18 Meses,Nacional,,,Usados,13 900        EUR,8090816713,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8Pyf1L.html,,,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,Scirocco,2.0 TDI Sport,Diesel,Maio,2011,160 231 km,1 968 cm3,140 cv,Sim,Sim,Coupé,Preto,Manual,3,4,Classe 1,18 Meses,Importado,Sim,Sim,Usados,14 999        EUR,8089939813,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-scirocco-2-0-tdi-sport-ID8PuyUd.html,,6,Tracção dianteira,127 g/km,,"6,10 l/100km","4,10 l/100km",Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Nissan,Micra,1.0 IG-T N-Connecta,Gasolina,Julho,2019,73 700 km,999 cm3,100 cv,,Sim,Citadino,Preto,Manual,5,5,,18 Meses,Nacional,Sim,,Usados,14 890        EUR,8090758213,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-n-connecta-ID8PxZOd.html,,,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,208,1.2 VTi Allure,Gasolina,Julho,2014,120 800 km,1 199 cm3,82 cv,,,Citadino,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,10 250        EUR,8090891791,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-vti-allure-ID8PyyyH.html,,5,Tracção dianteira,104 g/km,2,"5,60 l/100km","3,90 l/100km",Pérola,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,208,1.6 BlueHDi Style,Diesel,Maio,2018,33 900 km,1 560 cm3,75 cv,Sim,,Citadino,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 500        EUR,8088438798,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-style-ID8Pogqi.html,,5,,,2,"4,20 l/100km",,Metalizado,,,Sim,Sim,,,15/05/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Opel,Zafira,1.6 CDTi Cosmo,Diesel,Março,2014,162 550 km,1 598 cm3,136 cv,,Sim,Monovolume,Cinzento,Manual,5,7,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 350        EUR,8088711304,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-zafira-1-6-cdti-cosmo-ID8Pppjy.html,,6,Tracção dianteira,,,"4,70 l/100km",,Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Mégane,,Diesel,Junho,2017,118 900 km,1 461 cm3,90 cv,,Sim,Utilitário,Azul,Manual,5,,,18 Meses,,Sim,Sim,Usados,14 500        EUR,8090891739,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-ID8PyyxR.html,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Nissan,Qashqai +2,,Diesel,Julho,2010,178 000 km,1 461 cm3,106 cv,Sim,Sim,SUV / TT,Cinzento,Manual,5,7,Classe 2,18 Meses,Nacional,Sim,Sim,Usados,12 490        EUR,8090769131,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-2-ID8Py2Ej.html,,6,,,1,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MINI,One,D,Diesel,Agosto,2012,138 364 km,1 598 cm3,90 cv,Sim,Sim,Pequeno citadino,Preto,Manual,3,4,,18 Meses,,Sim,Sim,Usados,12 750        EUR,8089236074,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8PrBPA.html,,6,Tracção dianteira,,1,"4,20 l/100km",,Metalizado,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,208,1.4 HDi SE Style,Diesel,Março,2015,132 762 km,1 398 cm3,68 cv,,,Citadino,Branco,Manual,5,5,Classe 1,18 Meses,Importado,Sim,,Usados,11 490        EUR,8090251344,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-4-hdi-se-style-ID8PwRVU.html,,5,Tracção dianteira,98 g/km,,"4,40 l/100km","3,40 l/100km",,,,,,,,30/03/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C3,1.2 VTi Seduction,Gasolina,Fevereiro,2015,98 593 km,1 199 cm3,82 cv,,Sim,Citadino,Preto,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,11 450        EUR,8088807971,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-vti-seduction-ID8PpOsH.html,,5,Tracção dianteira,,,"5,50 l/100km",,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Opel,Insignia Sports Tourer,2.0 CDTi Sport S/S,Diesel,Outubro,2012,170 800 km,1 956 cm3,160 cv,,Sim,Carrinha,Cinzento,Manual,5,5,,18 Meses,Importado,,Sim,Usados,11 490        EUR,8090839167,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-2-0-cdti-sport-s-s-ID8PykRW.html,,6,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MINI,Cooper,D,Diesel,Outubro,2012,135 200 km,1 598 cm3,112 cv,,Sim,Coupé,Preto,Manual,3,4,,18 Meses,Importado,,Sim,Usados,12 490        EUR,8089334509,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8Ps1rf.html,,6,,,,,,,Sim,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Smart,ForTwo Coupé,0.9 Prime 90,Gasolina,Novembro,2014,110 000 km,898 cm3,90 cv,Sim,Sim,Coupé,Preto,Manual,3,2,,36 Meses,Nacional,Sim,Sim,Usados,8 990        EUR,8090192331,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-prime-90-ID8PwCB5.html,,5,Tracção traseira,97 g/km,1,"4,90 l/100km","3,70 l/100km",,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Audi,A5 Sportback,2.0 TDI Business Line Sport,Diesel,Novembro,2016,174 000 km,1 968 cm3,150 cv,,,Sedan,Cinzento,Manual,5,5,,18 Meses,,Sim,,Usados,22 000        EUR,8090829446,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a5-sportback-2-0-tdi-business-line-sport-ID8Pyil8.html,,6,,,,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,SEAT,Arona,1.0 TSI Xcellence,Gasolina,Setembro,2020,59 873 km,999 cm3,95 cv,,Sim,SUV / TT,Preto,Manual,5,5,,18 Meses,,Sim,Sim,Usados,17 699        EUR,8089398226,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-xcellence-ID8Psi0V.html,,,,,,"5,70 l/100km",,Metalizado,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Abril,2022,30 000 km,1 199 cm3,83 cv,,Sim,Citadino,Cinzento,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,15 450        EUR,8090861179,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-c-series-ID8PyqAX.html,,,,,,,,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Opel,Grandland X,1.5 CDTI GS Line,Diesel,Agosto,2019,50 000 km,1 499 cm3,130 cv,,Sim,SUV / TT,Cinzento,Manual,5,5,,36 Meses,Nacional,Sim,Sim,Usados,27 900        EUR,8087704376,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-grandland-x-1-5-cdti-gs-line-ID8PlbmM.html,,,,,,,,Metalizado,,,Sim,Sim,,01/01/0001,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Captur,dCi 90 EDC Dynamique,Diesel,Junho,2019,109 000 km,1 461 cm3,90 cv,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,17 250        EUR,8089688057,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-dci-90-edc-dynamique-ID8PtwpD.html,,6,Tracção dianteira,103 g/km,,"4,60 l/100km","3,60 l/100km",Metalizado,,147 €,Sim,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MINI,Countryman,One D,Diesel,Julho,2018,47 284 km,1 496 cm3,116 cv,,Sim,SUV / TT,Cinzento,Manual,5,5,,18 Meses,Nacional,Sim,Sim,Usados,25 990        EUR,8090817818,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-one-d-ID8PyfjA.html,,6,Tracção dianteira,134 g/km,1,,,,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Mégane,BLUE dCi 115 EDC LIMITED,Diesel,Agosto,2020,140 000 km,1 461 cm3,115 cv,Sim,Sim,Utilitário,Cinzento,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,17 500        EUR,8090769553,14 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-blue-dci-115-edc-limited-ID8Py2L7.html,,7,Tracção dianteira,129 g/km,1,"4,60 l/100km","3,80 l/100km",Metalizado,Sim,154 €,Sim,,Sim,,27/08/2025,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,B 180,d Progressive Aut.,Diesel,Fevereiro,2019,96 595 km,1 461 cm3,116 cv,Sim,Sim,Monovolume,Cinzento,Automática,5,5,Classe 1,24 Meses,Nacional,,Sim,Usados,27 990        EUR,8090656104,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-b-180-d-progressive-aut-ID8Pxzfi.html,Classe B,7,Tracção dianteira,126 g/km,,,,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Nissan,Qashqai,,Híbrido (Gasolina),Julho,2022,19 000 km,1 332 cm3,158 cv,Sim,,Sedan,Branco,,5,,,36 Meses,Nacional,,,Usados,28 900        EUR,8090585619,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-ID8PxgUr.html,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Nissan,Qashqai,,Híbrido (Gasolina),Julho,2022,11 289 km,1 332 cm3,140 cv,Sim,,Sedan,Preto,,5,,,36 Meses,Nacional,,,Usados,27 900        EUR,8090585616,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-ID8PxgUo.html,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MINI,Cooper,D,Diesel,Setembro,2015,84 315 km,1 496 cm3,116 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,,18 Meses,Nacional,Sim,,Usados,15 750        EUR,8090140908,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PwpdG.html,,6,Tracção dianteira,114 g/km,1,"4,40 l/100km","3,60 l/100km",Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,Golf,2.0 TSi GTi,Gasolina,Agosto,2013,124 000 km,1 984 cm3,220 cv,Sim,,Utilitário,Branco,Manual,3,5,Classe 1,18 Meses,,Sim,,Usados,21 990        EUR,8090730540,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-2-0-tsi-gti-ID8PxSBS.html,,6,Tracção dianteira,,,"7,50 l/100km",,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Abarth,595,1.4 T-Jet Turismo,Gasolina,Setembro,2015,88 696 km,1 368 cm3,160 cv,Sim,Sim,Utilitário,Vermelho,Manual,3,4,Classe 1,18 Meses,,Sim,Sim,Usados,15 900        EUR,8090817814,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-ID8Pyfjv.html,,5,,,,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,A 180,d Style Aut.,Diesel,Abril,2019,76 950 km,1 461 cm3,116 cv,,,Utilitário,Preto,Automática,5,5,,18 Meses,Nacional,,,Usados,28 850        EUR,8090602603,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-style-aut-ID8Pxlkn.html,Classe A,7,Tracção dianteira,117 g/km,,"4,50 l/100km","3,90 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C3,1.5 BlueHDi Feel Pack,Diesel,Fevereiro,2022,19 622 km,1 499 cm3,102 cv,,,Citadino,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,18 990        EUR,8090517437,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-feel-pack-ID8PvZaJ.html,,5,Tracção dianteira,111 g/km,1,,,Metalizado,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C4,1.5 BlueHDi Feel Pack,Diesel,Maio,2022,34 400 km,1 499 cm3,110 cv,Sim,Sim,SUV / TT,Preto,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,24 990        EUR,8089849940,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-1-5-bluehdi-feel-pack-ID8PubvE.html,,6,Tracção dianteira,114 g/km,1,,,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Opel,Astra,1.2 T GS Line S/S,Gasolina,Fevereiro,2020,62 662 km,1 199 cm3,130 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,19 490        EUR,8089188801,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-2-t-gs-line-s-s-ID8Prpx7.html,,6,Tracção dianteira,,1,"5,20 l/100km",,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Ford,Focus SW,1.0 EcoBoost Business,Gasolina,Maio,2019,69 875 km,998 cm3,100 cv,,Sim,Carrinha,Prateado,Manual,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,17 490        EUR,8090817813,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-ecoboost-business-ID8Pyfjw.html,,6,Tracção dianteira,129 g/km,,"5,90 l/100km","4,10 l/100km",,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,5008,BlueHDI 130 EAT8 Active Pack,Diesel,Agosto,2019,155 000 km,1 499 cm3,130 cv,,Sim,SUV / TT,Cinzento,Automática,5,,,18 Meses,Importado,,Sim,Usados,22 900        EUR,8090769286,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-bluehdi-130-eat8-active-pack-ID8Py2GO.html,,8,Tracção dianteira,,,,,,Sim,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MINI,Cabrio,One,Gasolina,Fevereiro,2019,47 187 km,1 499 cm3,102 cv,Sim,Sim,Cabrio,Cinzento,Manual,2,4,,18 Meses,Nacional,,,Usados,25 500        EUR,8088986526,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-one-ID8PqyUC.html,,,,,1,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
