Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Emissões CO2,IUC,Filtro de partículas,Inspecção válida até,Consumo Urbano,Consumo Extra Urbano,Sub-modelo,Valor Fixo,Consumo Combinado,Autonomia,Bateria,IVA Discriminado,IVA dedutível,Autonomia Máxima,Garantia de Fábrica até,ou até,Capacidade da bateria,Consumo,Valor sem ISV,Clássico,Site,Portugal
Profissional,Audi,A3 Sportback,1.6 TDI S-line S tronic,Diesel,Julho,2015,180 000 km,1 598 cm3,110 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,,5,5,Classe 1,,18 Meses,2,,,Sim,,Usados,17 950        EUR,8089852886,11 Julho 2023,,,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,1.2 Business Edition,Gasolina,Dezembro,2021,12 519 km,1 199 cm3,75 cv,Sim,Sim,Citadino,Cinzento,,Manual,,5,5,,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,17 700        EUR,8088351765,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,1.5 dCi Tekna Premium Pele,Diesel,Junho,2015,142 000 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,1,,Sim,Sim,Sim,Usados,17 500        EUR,8089152497,11 Julho 2023,,,,,"4,30 l/100km",,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Jeep,Compass,1.6 M-Jet Longitude,Diesel,Fevereiro,2018,78 500 km,1 598 cm3,120 cv,Sim,Sim,SUV / TT,Azul,Metalizado,Manual,6,5,,,Tracção dianteira,18 Meses,,Nacional,Sim,,,Usados,21 990        EUR,8090022015,11 Julho 2023,117 g/km,,,,"6,20 l/100km",4 l/100km,,Sim,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,BMW,Z4,20 i,Gasolina,Maio,2014,80 000 km,1 997 cm3,184 cv,,Sim,Cabrio,Preto,Metalizado,Manual,,2,,,,36 Meses,,,,,,Usados,29 900        EUR,8089736384,11 Julho 2023,,,,,"8,90 l/100km",,Série Z,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.6 BlueHDi GT Line,Diesel,Janeiro,2018,178 500 km,1 560 cm3,120 cv,Sim,Sim,Monovolume,Cinzento,Metalizado,Manual,6,5,7,Classe 1,Tracção dianteira,18 Meses,2,Importado,,Sim,Sim,Usados,23 890        EUR,8089077393,11 Julho 2023,,147 €,Sim,,6 l/100km,,,Sim,6 l/100km,,,Sim,Sim,950 km,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi Allure,Diesel,Novembro,2018,115 000 km,1 499 cm3,130 cv,Sim,Sim,Monovolume,Azul,,Manual,6,5,7,Classe 1,Tracção dianteira,18 Meses,2,Importado,Sim,Sim,Sim,Usados,23 890        EUR,8088772411,11 Julho 2023,,174 €,Sim,,"6,10 l/100km",,,Sim,5 l/100km,,,Sim,Sim,950 km,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi Allure,Diesel,Março,2019,115 000 km,1 499 cm3,130 cv,Sim,Sim,Monovolume,Cinzento,Metalizado,Manual,6,5,7,,,18 Meses,,,Sim,Sim,Sim,Usados,23 990        EUR,8089944350,11 Julho 2023,,,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,320,d Touring ED Line Luxury,Diesel,Fevereiro,2017,108 000 km,1 995 cm3,163 cv,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,,,Sim,Sim,Sim,Usados,20 900        EUR,8089944351,11 Julho 2023,,,,,,,Série 3,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.5 BlueHDi Style,Diesel,Outubro,2019,150 000 km,1 499 cm3,130 cv,Sim,Sim,Monovolume,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,19 999        EUR,8089790682,11 Julho 2023,137 g/km,,,,"4,60 l/100km","3,80 l/100km",,Sim,,,,Sim,Sim,,,,,,,,StandVirtual,Yes
