Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Emissões CO2,IUC,Filtro de partículas,Inspecção válida até,Consumo Urbano,Consumo Extra Urbano,Sub-modelo,Valor Fixo,Consumo Combinado,Autonomia,Bateria,IVA Discriminado,IVA dedutível,Autonomia Máxima,Garantia de Fábrica até,ou até,Capacidade da bateria,Consumo,Valor sem ISV,Clássico,Site,Portugal
Profissional,VW,New Beetle,1.6 TDi Design,Diesel,Janeiro,2012,120 000 km,1 598 cm3,105 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,14 480        EUR,8085480381,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Clio,1.5 dCi 90 FAP Dynamique,Diesel,Maio,2012,88 500 km,1 461 cm3,88 cv,,,Utilitário,Branco,Pérola,Manual,,5,5,Classe 1,,,2,Importado,,Sim,Sim,Usados,6 900        EUR,8089379959,11 Julho 2023,89 g/km,154 €,Sim,10/05/2024,"4,90 l/100km",,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra,1.0 Edition S/S,Gasolina,Abril,2018,80 000 km,999 cm3,105 cv,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,36 Meses,,Nacional,,Sim,Sim,Usados,14 750        EUR,8089588163,11 Julho 2023,129 g/km,,,,"5,50 l/100km","4,10 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,316,d Touring,Diesel,Junho,2010,197 000 km,1 995 cm3,115 cv,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,,,18 Meses,,Nacional,,,,Usados,11 950        EUR,8088904680,6 Julho 2023,119 g/km,,,,"5,40 l/100km",,Série 3,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,,GPL,Setembro,2011,65 525 km,1 198 cm3,80 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,2,Nacional,Sim,Sim,Sim,Usados,8 600        EUR,8089103418,11 Julho 2023,115 g/km,,,,"6,10 l/100km",,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 Passion 71,Gasolina,Julho,2016,87 000 km,999 cm3,71 cv,Sim,,Pequeno citadino,Cinzento,Metalizado,Manual,,3,2,Classe 1,,18 Meses,,Importado,,Sim,Sim,Usados,9 800        EUR,8087731091,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 71 Aut.,Gasolina,Março,2018,85 000 km,999 cm3,71 cv,Sim,Sim,Pequeno citadino,Branco,,Automática,,3,2,Classe 1,,18 Meses,,Importado,,Sim,Sim,Usados,12 300        EUR,8088212219,11 Julho 2023,94 g/km,,,,"4,70 l/100km","3,70 l/100km",,,"4,10 l/100km",,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,1.0 Passion 71 Aut.,Gasolina,Agosto,2016,60 000 km,999 cm3,71 cv,Sim,Sim,Citadino,Branco,,Automática,,5,4,Classe 1,,18 Meses,,Importado,Sim,Sim,Sim,Usados,13 540        EUR,8089628574,11 Julho 2023,96 g/km,,,,,,,,"4,20 l/100km",,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 mhd Passion 71,Gasolina,Janeiro,2011,108 000 km,999 cm3,71 cv,Sim,Sim,Pequeno citadino,Preto,,Automática,,3,2,Classe 1,,18 Meses,,Importado,Sim,Sim,Sim,Usados,7 050        EUR,8089628576,11 Julho 2023,100 g/km,,,,47 l/100km,41 l/100km,,,44 l/100km,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 mhd Passion 71,Gasolina,Janeiro,2011,128 000 km,999 cm3,71 cv,Sim,Sim,Pequeno citadino,Cinzento,,Automática,,3,2,Classe 1,,18 Meses,,Importado,Sim,Sim,Sim,Usados,7 050        EUR,8089898396,11 Julho 2023,100 g/km,,,,47 l/100km,41 l/100km,,,44 l/100km,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 mhd Passion 71,Gasolina,Janeiro,2011,106 000 km,999 cm3,71 cv,Sim,Sim,Pequeno citadino,Preto,,Automática,,3,2,Classe 1,,18 Meses,,Importado,Sim,Sim,Sim,Usados,7 050        EUR,8089628575,11 Julho 2023,100 g/km,,,,47 l/100km,41 l/100km,,,44 l/100km,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Junho,2017,69 900 km,1 199 cm3,82 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,,5,,,,18 Meses,,,,,,Usados,14 900        EUR,8089959064,11 Julho 2023,,,,,6 l/100km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 mhd Passion 71,Gasolina,Janeiro,2011,105 000 km,999 cm3,71 cv,Sim,Sim,Pequeno citadino,Preto,,Automática,,3,2,Classe 1,,18 Meses,,Importado,Sim,Sim,Sim,Usados,7 050        EUR,8089628572,11 Julho 2023,100 g/km,,,,47 l/100km,41 l/100km,,,44 l/100km,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,1.0 Prime 71,Gasolina,Maio,2015,120 000 km,999 cm3,71 cv,Sim,Sim,Citadino,Vermelho,,Manual,,5,4,Classe 1,,18 Meses,,Importado,,,Sim,Usados,9 840        EUR,8089872656,11 Julho 2023,98 g/km,,,,,,,,"4,20 l/100km",,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.6 BlueHDi Style,Diesel,Novembro,2016,245 000 km,1 560 cm3,120 cv,Sim,Sim,Carrinha,Branco,Pérola,Manual,6,5,5,Classe 1,Tracção dianteira,36 Meses,,,,Sim,Sim,Usados,12 450        EUR,8089959288,11 Julho 2023,,,,,"4,40 l/100km",,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.6 e-HDi Air.Tonic,Diesel,Dezembro,2011,240 000 km,1 560 cm3,92 cv,Sim,Sim,Citadino,Branco,Mate,Manual,5,5,5,Classe 1,Tracção dianteira,36 Meses,2,Nacional,Sim,Sim,,Usados,6 799        EUR,8090022086,11 Julho 2023,,,,,"4,20 l/100km",,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Sportback,1.6 TDi B.Line Attraction Ultra,Diesel,Novembro,2012,196 000 km,1 598 cm3,110 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,,,,,,Usados,12 250        EUR,8088954351,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,HDi FAP 92 Active,Diesel,Agosto,2013,217 000 km,1 560 cm3,92 cv,Sim,Sim,Pequeno citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,,Importado,,Sim,Sim,Usados,8 250        EUR,8089959464,11 Julho 2023,,,,15/08/2024,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza ST,1.2 12V Fresc,Gasolina,Junho,2010,120 000 km,1 198 cm3,70 cv,Sim,Sim,Carrinha,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,36 Meses,1,Nacional,Sim,Sim,,Usados,6 999        EUR,8089004308,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.1 Ti-VCT Business,Gasolina,Dezembro,2017,26 000 km,1 084 cm3,85 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,,5,5,,,18 Meses,,Nacional,Sim,Sim,Sim,Usados,13 950        EUR,8089916403,11 Julho 2023,,,,20/12/2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.5 dCi GT Line EDC,Diesel,Março,2014,173 000 km,1 461 cm3,110 cv,Sim,Sim,Carrinha,Azul,Metalizado,Automática,,5,5,,,18 Meses,,Nacional,Sim,Sim,Sim,Usados,11 500        EUR,8089120520,11 Julho 2023,,,,31/03/2024,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.5 TDCi Business,Diesel,Março,2018,62 000 km,1 499 cm3,85 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,36 Meses,1,Nacional,Sim,Sim,Sim,Usados,13 990        EUR,8089959448,11 Julho 2023,,,,,"4,10 l/100km",,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Skoda,Citigo,1.0 Active,Gasolina,Março,2015,87 000 km,999 cm3,60 cv,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,18 Meses,,,,,,Usados,8 490        EUR,8088966888,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDi BlueMotion Trendline,Diesel,Janeiro,2015,177 434 km,1 598 cm3,110 cv,Sim,Sim,Carrinha,Preto,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,,Sim,Sim,Usados,12 250        EUR,8088884532,11 Julho 2023,,147 €,,,"3,90 l/100km",,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 200,CDi Classic BlueEfficiency,Diesel,Novembro,2010,394 000 km,2 143 cm3,136 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,18 Meses,,Importado,,Sim,Sim,Usados,10 990        EUR,8088137378,11 Julho 2023,,261 €,,,"6,70 l/100km",,Classe C,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.0 Trendline,Gasolina,Março,2016,96 000 km,999 cm3,75 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,3,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,11 000        EUR,8089915956,11 Julho 2023,108 g/km,,,30/03/2024,"5,80 l/100km","4,20 l/100km",,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,1.3 CDTi Enjoy,Diesel,Fevereiro,2015,143 481 km,1 248 cm3,95 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,,,Sim,Usados,10 950        EUR,8089624475,11 Julho 2023,,,,27/02/2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Cabriolet,,Diesel,Abril,2012,126 000 km,1 600 cm3,105 cv,Sim,Sim,Cabrio,Vermelho,Metalizado,Manual,5,2,4,,,18 Meses,,,,,Sim,Usados,14 750        EUR,8088415300,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,Electric drive,Eléctrico,Julho,2018,38 000 km,,82 cv,Sim,Sim,Citadino,Vermelho,Metalizado,Automática,,5,4,Classe 1,Tracção dianteira,18 Meses,,,Sim,Sim,Sim,Usados,13 980        EUR,8088850284,11 Julho 2023,,,,,,,,Sim,,140 km,Própria,Sim,Sim,140 km,,,,,,,StandVirtual,Yes
Profissional,Skoda,Octavia Break,1.6 TDi Elegance Pack,Diesel,Abril,2014,305 000 km,1 598 cm3,105 cv,,Sim,Carrinha,Cinzento,,Manual,5,5,5,Classe 1,,18 Meses,2,Nacional,Sim,Sim,Sim,Usados,9 950        EUR,8089959316,11 Julho 2023,,,Sim,30/04/2024,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Leon ST,1.6 TDI Style S/S,Diesel,Maio,2018,195 255 km,1 598 cm3,115 cv,,Sim,Carrinha,Preto,,Manual,,5,5,,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,,Usados,13 390        EUR,8089314527,11 Julho 2023,108 g/km,,,,,,,Sim,,,,Sim,Sim,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,,Gasolina,Janeiro,2014,123 000 km,998 cm3,65 cv,Sim,Sim,Utilitário,Cinzento,,Manual,5,3,5,Classe 1,,18 Meses,1,,,Sim,,Usados,7 199        EUR,8087729510,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,1.5 dCi Bose Edition CO2 Champion,Diesel,Novembro,2011,215 500 km,1 461 cm3,110 cv,Sim,Sim,Citadino,Branco,,Manual,6,5,5,Classe 1,,18 Meses,2,Nacional,,Sim,Sim,Usados,7 990        EUR,8090000299,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Março,2017,81 305 km,1 598 cm3,95 cv,Sim,Sim,Carrinha,Prateado,Metalizado,Manual,,5,5,,,18 Meses,,Nacional,,,,Usados,12 989        EUR,8089464034,11 Julho 2023,,,Sim,,,,,Sim,,,,,Sim,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,D,Diesel,Outubro,2014,164 000 km,1 560 cm3,90 cv,Sim,Sim,Citadino,Azul,Metalizado,Manual,6,3,4,Classe 1,,18 Meses,,Nacional,,Sim,Sim,Usados,12 500        EUR,8089155784,11 Julho 2023,,,Sim,,"4,70 l/100km",,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.4 HDi Active,Diesel,Fevereiro,2014,32 000 km,1 398 cm3,68 cv,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,,5,5,,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,13 990        EUR,8089189189,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Dynamique,Diesel,Maio,2010,131 022 km,1 461 cm3,85 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,Sim,Usados,7 800        EUR,8089994647,7 Julho 2023,,,,31/05/2024,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Mégane Sport Tourer,1.5 Blue dCi Business,Diesel,Junho,2019,134 000 km,1 461 cm3,115 cv,,,Carrinha,Cinzento,Metalizado,Manual,6,5,5,,Tracção dianteira,,1,Importado,,Sim,,Usados,14 990        EUR,8089916130,10 Julho 2023,118 g/km,,,,"4,60 l/100km",,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS3,THP 155 SportChic,Gasolina,Fevereiro,2010,178 451 km,1 598 cm3,156 cv,Sim,Sim,Pequeno citadino,Branco,,Manual,6,3,5,,,18 Meses,,Importado,,Sim,,Usados,10 500        EUR,8089346320,6 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.5 BlueHDi Active,Diesel,Agosto,2018,175 256 km,1 499 cm3,102 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,,,,Sim,,Usados,10 995        EUR,8089027446,11 Julho 2023,,,Sim,,"4,30 l/100km",,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDi Sportline,Diesel,Agosto,2014,125 000 km,1 598 cm3,105 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,,,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,13 990        EUR,8088471828,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.2 12V Fresc,Gasolina,Junho,2010,148 000 km,1 198 cm3,70 cv,Sim,Sim,Citadino,Branco,Metalizado,Manual,,5,5,,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,7 990        EUR,8089189231,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.6 E-HDi 7L Allure 2-Tronic,Diesel,Setembro,2014,135 000 km,1 560 cm3,115 cv,Sim,Sim,Monovolume,Cinzento,Metalizado,Automática,,5,7,,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,13 790        EUR,8089189226,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,1.5 dCi Dynamique,Diesel,Janeiro,2011,148 000 km,1 461 cm3,110 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,18 Meses,,Importado,,,Sim,Usados,8 390        EUR,8089290834,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.4 TDi Confortline Nav,Diesel,Abril,2017,128 960 km,1 422 cm3,75 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,,3,3,Classe 1,Tracção dianteira,18 Meses,1,,Sim,Sim,Sim,Usados,12 490        EUR,8087775389,11 Julho 2023,,"154,12 €",Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,1.2 Dynamic,Gasolina,Junho,2017,91 218 km,1 229 cm3,70 cv,Sim,Sim,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,9 999        EUR,8088871726,11 Julho 2023,,,,,"7,30 l/100km",,,Sim,,,,Sim,Sim,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.6 dCi GT Line,Diesel,Julho,2016,290 000 km,1 598 cm3,130 cv,,,Carrinha,Cinzento,,Manual,6,5,5,,,18 Meses,1,Nacional,,,,Usados,8 399        EUR,8088917274,11 Julho 2023,104 g/km,,,,"4,70 l/100km",,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Shine,Diesel,Setembro,2015,159 000 km,1 560 cm3,100 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,5,Classe 1,,18 Meses,,Nacional,,Sim,Sim,Usados,12 450        EUR,8089924339,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,1.5 dCi Dynamique S,Diesel,Setembro,2015,226 576 km,1 461 cm3,90 cv,,Sim,Carrinha,Preto,,Manual,,5,5,,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,,Usados,8 990        EUR,8089314255,11 Julho 2023,82 g/km,,,,,,,Sim,,,,Sim,Sim,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,,Gasolina,Setembro,2017,137 500 km,1 242 cm3,69 cv,Sim,Sim,Citadino,Branco,Metalizado,Manual,5,3,5,,,36 Meses,,,Sim,Sim,Sim,Usados,10 900        EUR,8089783666,11 Julho 2023,,,,,"6,20 l/100km",,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.4 TDi Style,Diesel,Agosto,2016,228 538 km,1 422 cm3,90 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,,5,5,,,18 Meses,,,,,Sim,Usados,10 496        EUR,8089126177,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Coupé,Cooper SD,Diesel,Janeiro,2012,170 378 km,1 995 cm3,143 cv,Sim,Sim,Coupé,Preto,Metalizado,Manual,,2,2,,,18 Meses,,Importado,,,Sim,Usados,14 496        EUR,8088223697,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Dynamique S SS,Diesel,Abril,2017,199 000 km,1 461 cm3,110 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,12 750        EUR,8089969153,11 Julho 2023,,,,,,,,Sim,,,,,Sim,,,,,,,,StandVirtual,Yes
Particular,Smart,ForFour,0.9 Passion 90 Aut.,Gasolina,Fevereiro,2019,60 000 km,898 cm3,90 cv,,,Citadino,Preto,Metalizado,Automática,6,5,4,Classe 1,Tracção traseira,,1,Nacional,Sim,Sim,Sim,Usados,14 500        EUR,8089852678,11 Julho 2023,136 g/km,,,,6 l/100km,"4,60 l/100km",,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Talisman,1.5 dCi Zen,Diesel,Março,2017,267 853 km,1 461 cm3,110 cv,,Sim,Sedan,Cinzento,,Manual,,4,5,,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,,Usados,12 490        EUR,8089313294,11 Julho 2023,95 g/km,,,,,,,Sim,,,,Sim,Sim,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech Collection,Gasolina,Abril,2016,101 013 km,1 199 cm3,82 cv,,,Citadino,Branco,,Manual,,5,,,,18 Meses,,Nacional,,,,Usados,12 490        EUR,8089764056,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf,1.6 TDi Trendline,Diesel,Agosto,2010,171 000 km,1 598 cm3,90 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,3,5,Classe 1,,18 Meses,,Nacional,Sim,,Sim,Usados,9 600        EUR,8087630314,11 Julho 2023,,,,30/08/2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Altea,XL 1.6 TDi Copa Plus Eco.Start-Stop,Diesel,Maio,2013,182 000 km,1 598 cm3,105 cv,,Sim,Monovolume,Preto,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,2,Nacional,,Sim,Sim,Usados,9 990        EUR,8087106406,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.2 12V Stylance,Gasolina,Dezembro,2010,133 731 km,1 198 cm3,70 cv,Sim,,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,2,Nacional,,Sim,Sim,Usados,7 300        EUR,8089803454,11 Julho 2023,125 g/km,,,29/12/2023,6 l/100km,5 l/100km,,,"5,50 l/100km",,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V40,1.6 D2 Momentum,Diesel,Outubro,2013,141 750 km,1 560 cm3,115 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,,,18 Meses,,Importado,,,Sim,Usados,14 500        EUR,8089969003,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.6 BlueHDi Feel,Diesel,Junho,2017,51 590 km,1 560 cm3,75 cv,Sim,,Citadino,Branco,,Manual,5,5,5,,,18 Meses,,,,,,Usados,14 900        EUR,8089959174,11 Julho 2023,93 g/km,,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Pulsar,1.5 dCi Acenta,Diesel,Março,2017,101 000 km,1 461 cm3,110 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,13 950        EUR,8089955530,11 Julho 2023,,,,,"4,10 l/100km",,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 HDi Sport,Diesel,Fevereiro,2010,258 636 km,1 560 cm3,110 cv,Sim,,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,36 Meses,1,Nacional,,,,Usados,8 950        EUR,8089959164,11 Julho 2023,,,,,,,,,,,,,,,01/01/0001,,,,,,StandVirtual,Yes
Profissional,Dacia,Sandero,Blue dCi 95 Comfort,Diesel,Setembro,2020,43 000 km,1 461 cm3,95 cv,Sim,Sim,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,14 499        EUR,8089959163,11 Julho 2023,94 g/km,,Sim,,"4,10 l/100km","3,20 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Grande Punto,1.2 Free,Gasolina,Maio,2010,129 000 km,1 242 cm3,65 cv,,,Citadino,Preto,,Manual,,5,5,,,18 Meses,2,Nacional,,,Sim,Usados,5 899        EUR,8089891224,11 Julho 2023,135 g/km,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Passat Variant,2.0 TDi Confortline Navig,Diesel,Março,2014,191 000 km,1 968 cm3,140 cv,Sim,Sim,Carrinha,Azul,,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,,,Sim,Usados,13 950        EUR,8089955357,11 Julho 2023,120 g/km,,,,"5,60 l/100km",4 l/100km,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,Skoda,Fabia Break,,Diesel,Novembro,2016,72 000 km,1 422 cm3,90 cv,,,Carrinha,Branco,,Manual,,5,5,,,,1,Importado,,Sim,Sim,Usados,13 900        EUR,8090015199,11 Julho 2023,94 g/km,,,17/10/2024,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Confort,Diesel,Novembro,2017,91 000 km,1 461 cm3,75 cv,Sim,Sim,Citadino,Azul,Metalizado,Manual,5,5,5,,,18 Meses,,Importado,,,,Usados,13 950        EUR,8088914520,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,SEAT,Ibiza,,Diesel,Março,2018,45 000 km,1 598 cm3,90 cv,,,Sedan,Branco,Pérola,Manual,,5,,,,,,,,,,Usados,13 500        EUR,8089580410,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Junho,2015,153 061 km,1 560 cm3,120 cv,Sim,Sim,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,,Sim,Sim,Sim,Usados,12 800        EUR,8089988646,6 Julho 2023,,,,18/06/2024,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,1.6 Acenta,Gasolina,Novembro,2010,110 160 km,1 598 cm3,117 cv,Sim,Sim,SUV / TT,Vermelho,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,,Nacional,,,Sim,Usados,10 750        EUR,8089529616,11 Julho 2023,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,1.6 e-HDi Allure J17,Diesel,Outubro,2013,156 000 km,1 560 cm3,115 cv,Sim,Sim,Utilitário,Branco,Pérola,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,Sim,Sim,Sim,Usados,13 450        EUR,8089959160,11 Julho 2023,100 g/km,,,,"4,40 l/100km","3,50 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Março,2015,83 000 km,898 cm3,90 cv,,,SUV / TT,Preto,,Manual,5,5,5,,Tracção dianteira,18 Meses,2,Nacional,,,Sim,Usados,11 999        EUR,8089810752,11 Julho 2023,113 g/km,,,,6 l/100km,"4,30 l/100km",,Sim,,,,,,,,,,,,,StandVirtual,Yes
