Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Origem,Aceita retoma,Possibilidade de financiamento,Registo(s),IUC,Consumo Combinado,IVA Discriminado,Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,Autonomia,Capacidade da bateria,ou até,Bateria,Consumo,Gancho de Reboque,Site,Portugal,Data
Particular,BMW,114,d Line Sport,Diesel,Setembro,2013,144 000 km,1 598 cm3,95 cv,Utilitário,Preto,,Manual,,3,,,,,Sim,,,,,,"4,90 l/100km",,Usados,11 900        EUR,8089828106,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-114-d-line-sport-ID8Pu5Qu.html,,,,,,,,,,,Série 1,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Mégane Coupe,1.5 dCi Dynamique S SS,Diesel,Novembro,2014,177 200 km,1 461 cm3,110 cv,Coupé,Preto,,Manual,,2,4,,,,,,18 Meses,Sim,Sim,Sim,,,Usados,11 490        EUR,8090632704,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-coupe-1-5-dci-dynamique-s-ss-ID8Pxt9S.html,,Importado,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Particular,Peugeot,2008,1.2 PureTech Crossway,Gasolina,Novembro,2015,119 068 km,1 199 cm3,110 cv,SUV / TT,Branco,Pérola,Manual,5,5,5,,Tracção dianteira,103 g/km,,,,,Sim,Sim,"5,30 l/100km","3,90 l/100km",Usados,13 500        EUR,8090609505,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-crossway-ID8Pxn7H.html,Sim,Importado,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Dacia,Sandero,0.9 TCe SL Stepway of Life Easy-R,Gasolina,Julho,2017,118 000 km,898 cm3,90 cv,SUV / TT,Branco,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,18 Meses,Sim,Sim,Sim,,,Usados,14 250        EUR,8090699925,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-sl-stepway-of-life-easy-r-ID8PxKE5.html,,Importado,Sim,Sim,1,,"5,50 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited,Gasolina,Março,2018,52 000 km,898 cm3,90 cv,Carrinha,Azul,,Manual,5,5,5,Classe 1,,,,,18 Meses,,Sim,Sim,,,Usados,13 990        EUR,8087878068,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-ID8PlUyg.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,MINI,Clubman,Cooper D,Diesel,Julho,2012,186 000 km,1 598 cm3,112 cv,Carrinha,Castanho,,Manual,6,5,5,,Tracção dianteira,,,,18 Meses,,Sim,Sim,,,Usados,11 990        EUR,8088256526,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-clubman-cooper-d-ID8Pnw0q.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,MINI,Clubman,Cooper D,Diesel,Outubro,2011,178 000 km,1 598 cm3,112 cv,Carrinha,Preto,,Manual,6,4,5,Classe 1,Tracção dianteira,,Sim,,36 Meses,,Sim,Sim,"4,40 l/100km",,Usados,10 990        EUR,8089945218,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-clubman-cooper-d-ID8PuAjo.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,MINI,Cooper,D,Diesel,Janeiro,2012,197 000 km,1 598 cm3,112 cv,Citadino,Castanho,,Manual,6,3,4,Classe 1,Tracção dianteira,,,,18 Meses,,Sim,Sim,,,Usados,11 490        EUR,8089155777,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PrgVt.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,MINI,Cooper,D,Diesel,Agosto,2010,204 000 km,1 598 cm3,112 cv,Citadino,Vermelho,,Manual,6,3,4,Classe 1,Tracção dianteira,,,,18 Meses,,Sim,Sim,,,Usados,11 990        EUR,8088613785,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PoZVF.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Alfa Romeo,Giulietta,1.6 JTDm Exclusive J18,Diesel,Novembro,2015,87 000 km,1 598 cm3,120 cv,Utilitário,Preto,,Manual,6,5,5,Classe 1,,,Sim,,18 Meses,,Sim,,,,Usados,14 900        EUR,8089236049,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-giulietta-1-6-jtdm-exclusive-j18-ID8PrBPb.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,SEAT,Ibiza,1.2 TSI FR,Gasolina,Fevereiro,2015,142 000 km,1 197 cm3,85 cv,Utilitário,Vermelho,,Manual,,5,5,Classe 1,,,Sim,,18 Meses,,,Sim,,,Usados,13 500        EUR,8088682957,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-2-tsi-fr-ID8PphVl.html,Sim,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,3008,,Diesel,Outubro,2014,198 850 km,1 560 cm3,115 cv,Monovolume,Preto,Metalizado,Manual,6,5,5,Classe 2,,,,,18 Meses,Sim,Sim,,,,Usados,12 900        EUR,8090699919,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-ID8PxKDZ.html,,Importado,Sim,Sim,2,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Nissan,Qashqai,1.5 dCi ECO Visia,Diesel,Março,2012,121 557 km,1 461 cm3,109 cv,SUV / TT,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,,36 Meses,,,Sim,,,Usados,14 500        EUR,8090699916,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-eco-visia-ID8PxKDV.html,Sim,Importado,Sim,Sim,2,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Dezembro,2020,13 119 km,1 199 cm3,83 cv,SUV / TT,Branco,,Manual,5,5,5,Classe 1,,,,,36 Meses,,Sim,,,,Usados,14 750        EUR,8089825816,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8Pu5fy.html,,,Sim,Sim,,,,,,01/01/0001,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Clio Sport Tourer,0.9 TCe GT Line,Gasolina,Abril,2018,52 270 km,898 cm3,90 cv,Carrinha,Cinzento,,Manual,5,5,5,,Tracção dianteira,133 g/km,,,18 Meses,,,,,,Usados,14 980        EUR,8090619746,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-gt-line-ID8PxpMS.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Particular,BMW,318,d Touring LifeStyle,Diesel,Agosto,2010,128 000 km,1 995 cm3,143 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,,Tracção traseira,,,,,,,,"5,80 l/100km",,Usados,12 500        EUR,8090647043,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-lifestyle-ID8PxvT9.html,,Nacional,,,,,,,,,Série 3,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Captur,1.5 dCi Expression,Diesel,Dezembro,2014,105 950 km,1 461 cm3,90 cv,Utilitário,Branco,,Manual,5,5,5,Classe 1,,,,,18 Meses,,Sim,Sim,,,Usados,13 900        EUR,8090699909,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-expression-ID8PxKDP.html,Sim,Importado,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Citroën,C4 Picasso,1.6 e-HDi Intensive,Diesel,Fevereiro,2014,139 000 km,1 560 cm3,115 cv,Monovolume,Branco,,Manual,6,5,5,,,,,,18 Meses,,,Sim,,,Usados,14 499        EUR,8090699910,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-picasso-1-6-e-hdi-intensive-ID8PxKDQ.html,,Importado,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Zoe,Zen,Eléctrico,Dezembro,2014,92 050 km,,88 cv,Utilitário,Cinzento,Metalizado,Automática,,5,5,Classe 1,,,,,18 Meses,,Sim,Sim,,,Usados,10 900        EUR,8090699908,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-zen-ID8PxKDO.html,,Importado,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,VW,Golf,1.6 TDi Highline,Diesel,Setembro,2014,149 936 km,1 598 cm3,110 cv,Utilitário,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,105 g/km,,,18 Meses,Sim,Sim,Sim,"4,70 l/100km","3,70 l/100km",Usados,14 750        EUR,8089956039,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-highline-ID8PuD7W.html,,Importado,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Junho,2018,102 400 km,1 248 cm3,95 cv,Carrinha,Preto,,Manual,,5,5,,,,,,24 Meses,Sim,Sim,Sim,,,Usados,13 950        EUR,8090192414,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PwCCq.html,,Nacional,Sim,Sim,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Ford,Fiesta,1.5 TDCi Titanium,Diesel,Janeiro,2014,82 000 km,1 499 cm3,75 cv,Citadino,Branco,Metalizado,Manual,5,5,5,,Tracção dianteira,89 g/km,,,18 Meses,Sim,Sim,Sim,"4,40 l/100km","3,30 l/100km",Usados,11 450        EUR,8089956615,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-titanium-ID8PuDhd.html,,Importado,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Fevereiro,2018,261 601 km,1 499 cm3,120 cv,Carrinha,Preto,,Manual,6,5,5,Classe 1,Tracção dianteira,,,,18 Meses,Sim,Sim,,,,Usados,10 990        EUR,8090192410,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8PwCCm.html,Sim,Nacional,,Sim,1,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Fiat,500,1.0 Hybrid Cult,Gasolina,Dezembro,2021,8 218 km,999 cm3,70 cv,Sedan,Cinzento,,Manual,6,3,4,,,,,,18 Meses,,,,,,Usados,14 990        EUR,8090584829,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-cult-ID8PxgHH.html,Sim,Importado,Sim,Sim,,,"5,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,SEAT,Ibiza,SC 1.2 12V Reference Viva,Gasolina,Outubro,2012,149 000 km,1 198 cm3,70 cv,Citadino,Branco,,Manual,5,3,5,Classe 1,Tracção dianteira,125 g/km,,,18 Meses,Sim,Sim,Sim,"7,10 l/100km","4,40 l/100km",Usados,7 950        EUR,8089851694,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-2-12v-reference-viva-ID8PubYV.html,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,82 000 km,1 242 cm3,69 cv,Citadino,Cinzento,Metalizado,Manual,5,3,4,,Tracção dianteira,102 g/km,,,36 Meses,,Sim,Sim,"5,90 l/100km",,Usados,12 950        EUR,8088744356,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PpxUE.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,MINI,Clubman,One D,Diesel,Março,2012,168 000 km,1 598 cm3,90 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,,18 Meses,Sim,,Sim,,,Usados,13 250        EUR,8087582175,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-clubman-one-d-ID8PkFzN.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Ford,Fiesta,1.1 Ti-VCT Titanium,Gasolina,Fevereiro,2019,55 000 km,1 084 cm3,85 cv,Citadino,Preto,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,,,,36 Meses,,Sim,Sim,"6,40 l/100km",,Usados,14 950        EUR,8088746153,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-1-ti-vct-titanium-ID8PpynD.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,81 000 km,1 242 cm3,69 cv,Citadino,Azul,Metalizado,Manual,5,3,4,,Tracção dianteira,102 g/km,,,36 Meses,Sim,,Sim,"5,90 l/100km",,Usados,12 950        EUR,8088744251,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PpxSX.html,,Nacional,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Laguna Break,,Diesel,Fevereiro,2012,182 110 km,1 461 cm3,110 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,,18 Meses,,,Sim,,,Usados,8 750        EUR,8088058835,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-laguna-break-ID8PmFzR.html,,Nacional,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Julho,2018,113 000 km,1 248 cm3,95 cv,Citadino,Cinzento,,Manual,5,5,5,Classe 1,Tracção dianteira,,,,18 Meses,,Sim,Sim,,,Usados,10 900        EUR,8090699901,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8PxKDH.html,,Nacional,Sim,Sim,1,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Smart,ForTwo Coupé,Electric Drive Passion,Eléctrico,Novembro,2017,68 910 km,,82 cv,Citadino,Branco,,Automática,,3,2,Classe 1,,,,01/11/2023,18 Meses,Sim,Sim,Sim,,,Usados,11 900        EUR,8088555838,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-electric-drive-passion-ID8PoKS2.html,Sim,,Sim,Sim,,,,Sim,140 km,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Opel,Astra,1.6 CDTI Innovation S/S,Diesel,Outubro,2015,101 500 km,1 598 cm3,110 cv,Utilitário,Vermelho,,Manual,,5,5,,,,,,18 Meses,,,,,,Usados,13 990        EUR,8090292764,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-innovation-s-s-ID8Pv2IY.html,Sim,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Dacia,Sandero,0.9 TCe Comfort Bi-Fuel,GPL,Dezembro,2017,85 809 km,898 cm3,90 cv,Utilitário,Castanho,Metalizado,Manual,,5,5,,,,,,18 Meses,Sim,Sim,Sim,"5,80 l/100km",,Usados,12 880        EUR,8087579565,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-comfort-bi-fuel-ID8PkETH.html,Sim,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,208,1.2 PureTech Signature,Gasolina,Março,2019,93 339 km,1 199 cm3,82 cv,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,104 g/km,,06/03/2025,18 Meses,,Sim,Sim,"5,50 l/100km","3,90 l/100km",Usados,14 900        EUR,8090581614,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-signature-ID8PxfRQ.html,Sim,,Sim,Sim,1,,"4,50 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-09-26
Particular,Chevrolet,Spark,1.0 LS,Gasolina,Janeiro,2011,67 000 km,995 cm3,68 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,,Tracção dianteira,119 g/km,,05/01/2024,,,,Sim,"6,60 l/100km","4,20 l/100km",Usados,5 500        EUR,8090610749,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/chevrolet-spark-1-0-ls-ID8PxnrL.html,,Nacional,,,,100 €,,,500 km,,,,,,,,,StandVirtual,Yes,2023-09-26
Particular,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Julho,2018,180 000 km,1 461 cm3,90 cv,Carrinha,Preto,Metalizado,Manual,,5,,,,,,,,,,,"3,50 l/100km",,Usados,9 500        EUR,8090535546,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8Px3SO.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,108,1.0 VTi Style,Gasolina,Maio,2020,42 000 km,998 cm3,72 cv,Citadino,Branco,,Manual,,5,,,,,,,18 Meses,,,,,,Usados,12 950        EUR,8090410854,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-style-ID8PvxrE.html,Sim,Nacional,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Twingo,,Gasolina,Janeiro,2018,31 000 km,898 cm3,90 cv,Citadino,Vermelho,,Manual,,5,4,,,,,,18 Meses,,,,,,Usados,13 250        EUR,8090586210,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-ID8Pxh3Y.html,Sim,Importado,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Setembro,2019,38 600 km,998 cm3,72 cv,Citadino,Vermelho,,Manual,,5,4,,,,,,18 Meses,,,,,,Usados,12 950        EUR,8090126429,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8Pwls9.html,Sim,Importado,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Twingo,1.2 16V Dynamique,Gasolina,Maio,2012,67 566 km,1 149 cm3,75 cv,Pequeno citadino,Bege,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,,,,18 Meses,Sim,Sim,Sim,"5,90 l/100km",,Usados,8 950        EUR,8088667722,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-2-16v-dynamique-ID8PpdYC.html,Sim,,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Clio,1.2 16V Confort,Gasolina,Janeiro,2010,134 144 km,1 149 cm3,75 cv,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,,,,18 Meses,Sim,Sim,Sim,,,Usados,6 900        EUR,8090699897,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-2-16v-confort-ID8PxKDD.html,Sim,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,VW,Up!,1.0 Move,Gasolina,Maio,2020,117 000 km,999 cm3,75 cv,Citadino,Branco,Metalizado,Manual,5,5,4,Classe 1,Tracção dianteira,121 g/km,,,18 Meses,,Sim,Sim,5 l/100km,"3,70 l/100km",Usados,10 900        EUR,8089951358,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-move-ID8PuBUq.html,,Importado,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Toyota,Auris,1.4 D-4D Exclusive,Diesel,Março,2011,170 000 km,1 364 cm3,90 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,,,,,,18 Meses,Sim,Sim,Sim,5 l/100km,,Usados,10 900        EUR,8090049651,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-auris-1-4-d-4d-exclusive-ID8Pw1tN.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Fiat,Grande Punto,,Diesel,Abril,2018,89 000 km,1 248 cm3,90 cv,Utilitário,Preto,,Manual,,5,5,,,,,,18 Meses,,Sim,,,,Usados,11 750        EUR,8089983171,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-grande-punto-ID8PuKbx.html,Sim,Nacional,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,208,1.2 PureTech Allure EAT8,Gasolina,Março,2020,71 200 km,1 199 cm3,101 cv,Citadino,Cinzento,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,121 g/km,,,18 Meses,Sim,Sim,,"5,10 l/100km","3,90 l/100km",Usados,19 990        EUR,8090661042,21 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-eat8-ID8PxAvV.html,Sim,,Sim,Sim,1,109 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Abril,2022,23 737 km,999 cm3,95 cv,SUV / TT,Azul,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,121 g/km,,,24 Meses,,Sim,Sim,,,Usados,21 500        EUR,8089458189,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8PsxC5.html,Sim,Nacional,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Particular,Citroën,e-C4,Feel Pack,Eléctrico,Julho,2021,19 836 km,,136 cv,SUV / TT,Branco,,Automática,,5,5,,,,,,,,,,,,Usados,24 500        EUR,8090316630,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-e-c4-feel-pack-ID8Pv8WU.html,,,,,,,,,,,,,,,Própria,,,StandVirtual,Yes,2023-09-26
Particular,Tesla,Model 3,ev,Eléctrico,Julho,2019,172 000 km,,306 cv,Sedan,Preto,,Automática,,4,5,Classe 1,Tracção traseira,,,07/07/2025,,,Sim,Sim,,,Usados,24 500        EUR,8090670317,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/tesla-model-3-ev-ID8PxCVx.html,,Nacional,,,1,,,,340 km,,,340 km,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Opel,Corsa,1.2 Edition,Gasolina,Fevereiro,2023,5 km,1 199 cm3,75 cv,Citadino,Cinzento,,Manual,5,5,,Classe 1,Tracção dianteira,,,,36 Meses,,,,,,Usados,18 500        EUR,8089170416,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-edition-ID8PrkKA.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,BMW,X1,18 d sDrive Auto,Diesel,Outubro,2016,72 600 km,1 995 cm3,150 cv,SUV / TT,Azul,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,136 g/km,,,18 Meses,Sim,Sim,Sim,,,Usados,25 990        EUR,8090644357,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-18-d-sdrive-auto-ID8PxvbP.html,Sim,Nacional,Sim,Sim,1,,,,,,Série X,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Mégane,BLUE dCi 115 BUSINESS EDITION,Diesel,Outubro,2020,89 659 km,1 461 cm3,115 cv,Sedan,Branco,Metalizado,Manual,6,5,5,Classe 1,,101 g/km,Sim,,18 Meses,,Sim,,,,Usados,19 500        EUR,8090251911,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-blue-dci-115-business-edition-ID8PwS63.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Toyota,C-HR,1.8 HSD Comfort+P.Style,Híbrido (Gasolina),Julho,2017,74 407 km,1 798 cm3,122 cv,SUV / TT,Cinzento,Metalizado,Automática,,5,5,Classe 1,,87 g/km,,,18 Meses,,Sim,,,,Usados,21 900        EUR,8090251900,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-c-hr-1-8-hsd-comfort-p-style-ID8PwS5S.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Mégane Sport Tourer,BLUE dCi 115 EDC INTENS,Diesel,Julho,2020,100 340 km,1 461 cm3,115 cv,Carrinha,Prateado,Metalizado,Automática,,5,5,Classe 1,,104 g/km,Sim,,18 Meses,,Sim,,,,Usados,19 500        EUR,8090111623,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-blue-dci-115-edc-intens-ID8PwhBl.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Mégane Sport Tourer,BLUE dCi 115 EDC INTENS,Diesel,Novembro,2020,121 162 km,1 461 cm3,115 cv,Carrinha,Preto,Metalizado,Automática,,5,5,Classe 1,,106 g/km,Sim,,18 Meses,,Sim,,,,Usados,21 500        EUR,8090020075,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-blue-dci-115-edc-intens-ID8PuTML.html,Sim,Importado,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Mercedes-Benz,A 180,d Style Plus Aut.,Diesel,Julho,2018,162 119 km,1 461 cm3,116 cv,Sedan,Preto,Metalizado,Automática,,5,5,Classe 1,,106 g/km,Sim,,18 Meses,,Sim,,,,Usados,23 500        EUR,8089913898,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-style-plus-aut-ID8Pusae.html,Sim,Importado,Sim,Sim,,,,,,,Classe A,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Audi,A3 Sportback,1.6 TDI Sport,Diesel,Julho,2018,154 040 km,1 598 cm3,116 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,19/07/2024,18 Meses,Sim,Sim,Sim,,,Usados,19 850        EUR,8088429211,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-sport-ID8PodWF.html,,,Sim,Sim,1,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-26
