Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Possibilidade de financiamento,Não fumador,Inspecção válida até,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,IUC,IVA Discriminado,Consumo Combinado,Sub-modelo,Garantia de Fábrica até,ou até,Consumo,Site,Portugal,Data
Profissional,Renault,Clio Sport Tourer,1.5 dCi GT Line,Diesel,Dezembro,2016,216 745 km,1 461 cm3,90 cv,Carrinha,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,127 g/km,18 Meses,,Nacional,,Sim,"4,30 l/100km","3,60 l/100km",Usados,Mostrar VIN,10 990,8091621761,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-gt-line-ID8PBCsp.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Particular,Opel,Astra Sports Tourer,1.6 CDTI Dynamic S/S,Diesel,Dezembro,2016,143 000 km,1 598 cm3,110 cv,Carrinha,Branco,Metalizado,Manual,6,5,5,,Tracção dianteira,95 g/km,,,,Sim,Sim,"5,70 l/100km","3,80 l/100km",Usados,Mostrar VIN,11 000,8091833000,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-dynamic-s-s-ID8PCwpu.html,Sim,,Sim,30 Novembro 2024,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Clio Sport Tourer,1.5 dCi Zen,Diesel,Agosto,2017,148 850 km,1 461 cm3,90 cv,Carrinha,Branco,,Manual,,5,5,,,,18 Meses,,Importado,,,,,Usados,,10 990,8091238927,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-zen-ID8PA0RF.html,,Sim,,1 Agosto 2025,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,208,1.6 BlueHDi Style,Diesel,Julho,2016,182 279 km,1 560 cm3,75 cv,Utilitário,Prateado,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,90 g/km,18 Meses,,Nacional,,Sim,"4,20 l/100km",3 l/100km,Usados,Mostrar VIN,11 490,8090840877,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-style-ID8Pyljw.html,,Sim,Sim,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Outubro,2014,166 300 km,1 461 cm3,90 cv,SUV / TT,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,139 g/km,18 Meses,,Importado,,Sim,"4,60 l/100km","3,90 l/100km",Usados,Mostrar VIN,12 990,8090481545,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PvPPP.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,BMW,118,dA Line Sport,Diesel,Abril,2015,248 000 km,1 995 cm3,143 cv,Utilitário,Preto,Metalizado,Automática,,5,5,Classe 1,Tracção traseira,,18 Meses,,Nacional,Sim,,"5,30 l/100km",,Usados,,14 990,8089440030,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-118-da-line-sport-ID8PssTc.html,,Sim,,24 Abril 2024,,,,,,,,Série 1,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,C3,1.6 BlueHDi Feel,Diesel,Junho,2017,127 000 km,1 560 cm3,75 cv,Citadino,Branco,,Manual,,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,"4,30 l/100km",,Usados,Mostrar VIN,13 750,8087630546,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-6-bluehdi-feel-ID8PkS9Y.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,VW,Up!,1.0 BlueMotion Move,Gasolina,Maio,2016,85 000 km,999 cm3,60 cv,Citadino,Prateado,,Manual,5,3,4,Classe 1,Tracção dianteira,95 g/km,18 Meses,,Nacional,Sim,Sim,5 l/100km,"3,60 l/100km",Usados,Mostrar VIN,9 900,8090601192,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-bluemotion-move-ID8PxkXC.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Nissan,Micra,0.9 IG-T Visia S/S,Gasolina,Janeiro,2018,48 454 km,898 cm3,90 cv,Citadino,Preto,,Manual,5,5,5,Classe 1,Tracção dianteira,118 g/km,18 Meses,,Importado,,Sim,"6,20 l/100km","4,40 l/100km",Usados,,13 750,8091560646,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-0-9-ig-t-visia-s-s-ID8PBmyG.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Kia,Rio,1.4 CRDi SX,Diesel,Março,2017,99 450 km,1 396 cm3,77 cv,Citadino,Preto,,Manual,,5,5,Classe 1,,92 g/km,18 Meses,1,Nacional,Sim,Sim,,,Usados,Mostrar VIN,11 750,8090238906,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-rio-1-4-crdi-sx-ID8PwOIi.html,,Sim,Sim,20 Março 2025,,,,,,Sim,,,20 Março 2024,150 000 km,,StandVirtual,Yes,2024-02-29
Profissional,Nissan,Micra,1.0 IG-T Acenta,Gasolina,Julho,2019,65 867 km,999 cm3,100 cv,Citadino,Prateado,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,Sim,Sim,,,Usados,,14 990,8090031232,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-acenta-ID8PuVGI.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Captur,0.9 TCE Zen,Gasolina,Outubro,2018,141 261 km,898 cm3,90 cv,SUV / TT,Cinzento,Metalizado,Manual,,5,5,Classe 1,,,18 Meses,,,,Sim,,,Usados,,11 990,8091652923,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-zen-ID8PBKz1.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Setembro,2018,155 000 km,1 461 cm3,90 cv,Carrinha,Branco,,Manual,5,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,,12 750,8090799128,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8Pyas8.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,C4 Cactus,1.2 PureTech Shine,Gasolina,Julho,2016,118 791 km,1 199 cm3,110 cv,SUV / TT,Branco,,Manual,,5,5,,,,36 Meses,,,,,,,Usados,,11 989,8091737831,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-2-puretech-shine-ID8PC6Ew.html,Sim,Sim,,,,,,,,,,,1 Janeiro 0001,,,StandVirtual,Yes,2024-02-29
Profissional,Opel,Corsa,1.2 Edition,Gasolina,Outubro,2022,20 000 km,1 199 cm3,75 cv,Utilitário,Branco,,Manual,,5,5,,,,18 Meses,,Nacional,Sim,Sim,,,Usados,,14 750,8091797542,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-edition-ID8PCmbA.html,,Sim,Sim,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Clio,1.0 TCe Limited,Gasolina,Julho,2021,49 000 km,999 cm3,90 cv,Utilitário,Branco,,Manual,,5,5,,,,18 Meses,,Nacional,Sim,Sim,,,Usados,,14 800,8089561857,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-limited-ID8PsYA9.html,,Sim,Sim,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Particular,Toyota,Auris,1.4 D-4D Comfort,Diesel,Novembro,2014,91 000 km,1 364 cm3,90 cv,Utilitário,Preto,Metalizado,Manual,6,5,,,Tracção dianteira,89 g/km,,1,Nacional,,,"3,90 l/100km","3,10 l/100km",Usados,,13 000,8091877790,28 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-auris-1-4-d-4d-comfort-ID8PCH3U.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Captur,0.9 TCE Zen,Gasolina,Outubro,2018,141 261 km,898 cm3,90 cv,SUV / TT,Cinzento,Metalizado,Manual,,5,5,Classe 1,,,18 Meses,,,,Sim,,,Usados,,11 990,8091652923,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-zen-ID8PBKz1.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Setembro,2018,155 000 km,1 461 cm3,90 cv,Carrinha,Branco,,Manual,5,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,,12 750,8090799128,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8Pyas8.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Zoe,Life,Eléctrico,Outubro,2014,94 245 km,,88 cv,Citadino,Branco,,Automática,,5,5,,Tracção dianteira,,18 Meses,,,,,,,Usados,Mostrar VIN,11 900,8090341935,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-life-ID8Pvfv3.html,Sim,Sim,,,,,Aluguer,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Clio,TCe 90 Limited,Gasolina,Outubro,2018,84 000 km,898 cm3,90 cv,Citadino,Branco,,Manual,,5,5,Classe 1,,,18 Meses,,Importado,,Sim,,,Usados,,11 650,8091860948,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-tce-90-limited-ID8PCCGg.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,108,1.0 VTi Style,Gasolina,Maio,2021,66 680 km,998 cm3,72 cv,Citadino,Branco,,Manual,,5,4,Classe 1,Tracção dianteira,86 g/km,18 Meses,,Nacional,,,,,Usados,,11 980,8091570395,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-style-ID8PBp5W.html,,,Sim,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Fiat,Panda,,Gasolina,Setembro,2022,24 129 km,999 cm3,69 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,129 g/km,18 Meses,,,,,,,Usados,,13 480,8091570445,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-ID8PBp6J.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Opel,Astra Sports Tourer,1.6 CDTi Cosmo S/S,Diesel,Outubro,2016,104 207 km,1 598 cm3,110 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,92 g/km,18 Meses,,Nacional,,,,,Usados,,13 980,8091801678,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-cosmo-s-s-ID8PCngi.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Janeiro,2014,112 516 km,898 cm3,90 cv,SUV / TT,Azul,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,,,,Sim,"6,60 l/100km","4,50 l/100km",Usados,,9 090,8091891784,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-stepway-ID8PCKHC.html,,,,8 Janeiro 2025,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Dacia,Sandero,0.9 TCe Confort,Gasolina,Março,2014,96 000 km,898 cm3,90 cv,Utilitário,Branco,,Manual,,5,5,,,,18 Meses,,,,,,,Usados,,9 490,8091751717,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-confort-ID8PCagt.html,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited Edition,Gasolina,Dezembro,2015,99 000 km,898 cm3,90 cv,Carrinha,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,104 g/km,18 Meses,1,Importado,Sim,Sim,"5,70 l/100km",4 l/100km,Usados,,10 750,8091223812,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-edition-ID8PzVWS.html,,Sim,Sim,,,,,,108 €,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,2008,1.6 BlueHDi Style,Diesel,Setembro,2017,135 914 km,1 560 cm3,75 cv,SUV / TT,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,1,,,Sim,"4,40 l/100km",,Usados,,13 850,8091891776,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-style-ID8PCKHu.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,C4 Cactus,1.2 PureTech Shine EAT6,Gasolina,Janeiro,2018,87 000 km,1 199 cm3,110 cv,SUV / TT,Preto,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,105 g/km,18 Meses,,,Sim,Sim,"6,40 l/100km","4,60 l/100km",Usados,,14 990,8091001514,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-2-puretech-shine-eat6-ID8Pz16q.html,Sim,Sim,Sim,,,,,,108 €,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Fiat,500,1.0 Hybrid,Gasolina,Fevereiro,2022,40 000 km,999 cm3,70 cv,Utilitário,Cinzento,,Manual,6,3,4,Classe 1,Tracção dianteira,106 g/km,18 Meses,,,Sim,Sim,,,Usados,Mostrar VIN,14 250,8091676643,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-ID8PBQJB.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Junho,2019,69 000 km,898 cm3,90 cv,Citadino,Vermelho,,Manual,5,5,,Classe 1,Tracção dianteira,150 g/km,18 Meses,,,,Sim,"6,60 l/100km","4,50 l/100km",Usados,,13 490,8090646807,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-stepway-ID8PxvPl.html,,Sim,,,,,,,"144,61 €",,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,DS3,1.2 PureTech Be Chic,Gasolina,Junho,2016,85 000 km,1 199 cm3,110 cv,Cabrio,Preto,Metalizado,Manual,5,3,5,Classe 1,Tracção dianteira,104 g/km,18 Meses,1,,Sim,Sim,"5,60 l/100km","3,90 l/100km",Usados,,11 990,8091759183,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-2-puretech-be-chic-ID8PCccT.html,,,Sim,,,,,,108 €,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Scénic,1.5 dCi Exclusive SS,Diesel,Junho,2016,167 000 km,1 461 cm3,110 cv,Monovolume,Castanho,,Manual,,5,5,,Tracção dianteira,,18 Meses,,,Sim,Sim,,,Usados,,11 990,8091027063,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-scnic-1-5-dci-exclusive-ss-ID8Pz7Kw.html,,Sim,Sim,1 Junho 2024,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Fiat,500,1.0 Hybrid,Gasolina,Fevereiro,2022,25 000 km,999 cm3,70 cv,Citadino,Preto,,Manual,6,3,4,Classe 1,Tracção dianteira,106 g/km,18 Meses,,,Sim,Sim,,,Usados,,14 250,8091675985,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-ID8PBQyZ.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,2008,1.2 PureTech Active,Gasolina,Maio,2016,93 000 km,1 199 cm3,82 cv,SUV / TT,Cinzento,Metalizado,Manual,5,5,,,Tracção dianteira,114 g/km,18 Meses,,,Sim,Sim,"5,80 l/100km","4,20 l/100km",Usados,,11 750,8090807691,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-active-ID8PycGf.html,,,Sim,,,,,,108 €,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Dezembro,2019,49 959 km,1 199 cm3,83 cv,Citadino,Verde,,Manual,5,5,5,,,99 g/km,24 Meses,,Nacional,,,,,Usados,,14 500,8091891713,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PCKGt.html,Sim,,,,,,Própria,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,C1,1.0 VTi Feel ETG,Gasolina,Março,2019,87 027 km,998 cm3,72 cv,Citadino,Cinzento,,Automática,5,5,4,Classe 1,,,18 Meses,,Nacional,,Sim,,,Usados,Mostrar VIN,11 750,8091259321,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-etg-ID8PA6aB.html,,Sim,,14 Março 2025,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,308,1.6 BlueHDi Allure,Diesel,Novembro,2015,238 000 km,1 560 cm3,120 cv,Utilitário,Cinzento,,Manual,6,5,5,Classe 1,,,18 Meses,,,,,,,Usados,,9 990,8091614520,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-ID8PBAzC.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Fiat,Tipo,1.6 M-Jet Lounge JLL17,Diesel,Agosto,2016,76 000 km,1 598 cm3,120 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,98 g/km,18 Meses,1,Nacional,Sim,Sim,"4,40 l/100km","3,30 l/100km",Usados,Mostrar VIN,12 950,8091381527,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-6-m-jet-lounge-jll17-ID8PABXF.html,,Sim,,10 Agosto 2024,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Skoda,Octavia Break,2.0 TDI Elegance,Diesel,Julho,2015,189 000 km,1 968 cm3,150 cv,Carrinha,Prateado,,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,,Sim,,,Usados,,14 400,8091628111,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/skoda-octavia-break-2-0-tdi-elegance-ID8PBE6P.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,308 SW,1.6 BlueHDi GT Line,Diesel,Março,2015,223 465 km,1 560 cm3,120 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,102 g/km,18 Meses,,,,,"4,70 l/100km","3,50 l/100km",Usados,,13 900,8091409461,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-gt-line-ID8PAJed.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Opel,Meriva,,Gasolina,Abril,2016,67 250 km,1 364 cm3,120 cv,Monovolume,Preto,Metalizado,Manual,,5,5,Classe 1,,,18 Meses,,,,Sim,,,Usados,,11 880,8088587392,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-meriva-ID8PoT4Y.html,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Alfa Romeo,MiTo,0.9 T TwinAir,Gasolina,Junho,2018,65 100 km,875 cm3,105 cv,Citadino,Preto,,Manual,,3,5,,,,18 Meses,,Nacional,,Sim,,,Usados,,12 900,8089445705,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-0-9-t-twinair-ID8PsumJ.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Opel,Adam,1.0 T Jam,Gasolina,Abril,2016,119 000 km,999 cm3,90 cv,Citadino,Preto,,Manual,,3,4,,,,18 Meses,1,Importado,Sim,Sim,,,Usados,,10 950,8091001310,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-adam-1-0-t-jam-ID8Pz138.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Kia,Picanto,1.0 CVVT More GPL,GPL,Março,2015,134 140 km,998 cm3,69 cv,Citadino,Branco,Pérola,Manual,5,5,5,Classe 1,Tracção dianteira,110 g/km,18 Meses,1,,Sim,Sim,"7,60 l/100km","4,70 l/100km",Usados,Mostrar VIN,9 250,8091555429,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-picanto-1-0-cvvt-more-gpl-ID8PBlcx.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Fiat,Panda,1.2 Lounge,Gasolina,Janeiro,2019,78 000 km,1 242 cm3,69 cv,Citadino,Cinzento,,Manual,5,5,4,Classe 1,Tracção dianteira,120 g/km,18 Meses,,Nacional,,Sim,"6,40 l/100km",4 l/100km,Usados,,10 900,8090988550,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-ID8PyXJk.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Captur,,Gasolina,Julho,2019,76 820 km,900 cm3,90 cv,Citadino,Cinzento,,Manual,,5,5,Classe 1,,,18 Meses,,,,Sim,,,Usados,,14 880,8091394508,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-ID8PAFl2.html,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,C3,,Gasolina,Agosto,2018,84 000 km,1 200 cm3,83 cv,Citadino,Cinzento,Metalizado,Manual,,5,5,Classe 1,,,18 Meses,1,,,Sim,,,Usados,,13 880,8091250148,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-ID8PA3ME.html,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Clio,1.5 dCi Confort,Diesel,Novembro,2014,245 000 km,1 461 cm3,90 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,36 Meses,1,Nacional,Sim,Sim,"3,30 l/100km",,Usados,,6 950,8091891647,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-confort-ID8PCKFp.html,,Sim,Sim,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Particular,Mercedes-Benz,CLA 180,d AMG Line,Diesel,Novembro,2018,121 000 km,1 461 cm3,109 cv,Coupé,Cinzento,Metalizado,Manual,6,4,5,Classe 1,Tracção dianteira,108 g/km,,2,Importado,,Sim,"4,70 l/100km","3,70 l/100km",Usados,Mostrar VIN,24 000,8091628008,28 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-amg-line-ID8PBE5a.html,,,Sim,30 Novembro 2024,,,,,152 €,,,Classe CLA,,,,StandVirtual,Yes,2024-02-29
Particular,Mazda,MX-5,MZR 1.5 Sky.Evolve,Gasolina,Outubro,2016,29 663 km,1 496 cm3,131 cv,Cabrio,Vermelho,,Manual,6,2,2,,Tracção traseira,139 g/km,,,,,,"7,90 l/100km","4,90 l/100km",Usados,Mostrar VIN,23 500,8091877213,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mazda-mx-5-mzr-1-5-sky-evolve-ID8PCGUB.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,SEAT,Ibiza,1.0 TSI FR,Gasolina,Outubro,2020,14 000 km,999 cm3,115 cv,Citadino,Prateado,Metalizado,Manual,6,5,,,Tracção dianteira,129 g/km,18 Meses,1,Nacional,Sim,Sim,"5,50 l/100km","4,40 l/100km",Usados,Mostrar VIN,19 950,8091795261,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-tsi-fr-ID8PClAN.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Toyota,Corolla,1.8 Hybrid Comfort+P.Sport,Híbrido (Gasolina),Junho,2021,53 756 km,1 798 cm3,122 cv,Utilitário,Cinzento,,Automática,,5,5,,,,52 Meses,,Nacional,,,,,Usados,Mostrar VIN,26 990,8091012034,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-corolla-1-8-hybrid-comfort-p-sport-ID8Pz3Q6.html,Sim,Sim,,,,,,,,,"4,90 l/100km",,30 Junho 2028,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Mégane Sport Tourer,1.3 TCe Limited,Gasolina,Julho,2019,90 018 km,1 332 cm3,140 cv,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,,,18 Meses,,Importado,,Sim,,,Usados,Mostrar VIN,18 250,8088191269,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-3-tce-limited-ID8Pne1T.html,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,308,1.2 PureTech GT Line,Gasolina,Novembro,2018,88 364 km,1 199 cm3,130 cv,Utilitário,Branco,,Manual,6,5,5,Classe 1,,,18 Meses,,Importado,,,,,Usados,Mostrar VIN,17 750,8090463863,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-2-puretech-gt-line-ID8PvLeD.html,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Mégane,1.5 Blue dCi Intens,Diesel,Janeiro,2021,56 906 km,1 461 cm3,115 cv,Utilitário,Preto,,Manual,6,5,5,Classe 1,,,18 Meses,,Importado,,,,,Usados,Mostrar VIN,22 750,8088346331,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-blue-dci-intens-ID8PnSmT.html,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
