Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Garantia de Fábrica até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Versão,Origem,Registo(s),Tracção,Emissões CO2,IUC,Inspecção válida até,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Filtro de partículas,Sub-modelo,IVA Discriminado,IVA dedutível,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,Valor sem ISV,ou até,Consumo,Clássico,Site,Portugal
Profissional,Hyundai,i10,Gasolina,Março,2022,13 146 km,998 cm3,67 cv,Sim,,,Utilitário,Prateado,,Manual,,5,5,,01/03/2029,67 Meses,,,,Usados,16 400        EUR,8089414770,12 Julho 2023,1.0 Comfort (TT),Nacional,,,,,,,,"5,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,Gasolina,Janeiro,2021,18 900 km,998 cm3,120 cv,Sim,,,SUV / TT,Vermelho,,Manual,,5,5,,29/01/2028,54 Meses,,,,Usados,23 200        EUR,8089414774,12 Julho 2023,1.0 T-GDi Premium TT,Nacional,,,,,,,,6 l/100km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,Diesel,Dezembro,2018,126 000 km,1 461 cm3,90 cv,,Sim,Sim,SUV / TT,Cinzento,,Manual,,5,5,,,18 Meses,,Sim,,Usados,17 890        EUR,8087247259,12 Julho 2023,1.5 dCi Exclusive,Nacional,1,Tracção dianteira,95 g/km,,,,,,,,Sim,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,Gasolina,Outubro,2022,9 500 km,1 197 cm3,84 cv,Sim,,,Utilitário,Branco,,Manual,,5,5,,10/01/2030,77 Meses,,,,Usados,19 250        EUR,8089414755,12 Julho 2023,1.2 Comfort,Nacional,,,,,,,,"5,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,Gasolina,Fevereiro,2023,70 km,998 cm3,120 cv,Sim,,,SUV / TT,Cinzento,,Manual,,5,5,,27/02/2030,79 Meses,,,,Usados,25 950        EUR,8089414783,12 Julho 2023,1.0 T-GDi N-Line TT,Nacional,,,,,,,,"6,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,Gasolina,Março,2022,25 963 km,1 197 cm3,84 cv,Sim,,,Utilitário,Cinzento,,Manual,,5,5,,01/03/2029,67 Meses,,,,Usados,18 450        EUR,8089414791,12 Julho 2023,1.2 Comfort,Nacional,,,,,,,,"5,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,Diesel,Outubro,2019,104 000 km,1 496 cm3,116 cv,Sim,,,Utilitário,Branco,,Manual,,5,,,13/07/2026,36 Meses,,,,Usados,25 900        EUR,8090032069,12 Julho 2023,d,Nacional,,,,,,"4,50 l/100km","3,50 l/100km","3,80 l/100km",,Série 1,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Diesel,Novembro,2019,114 000 km,1 461 cm3,115 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,,,18 Meses,,,Sim,Usados,17 500        EUR,8089580209,12 Julho 2023,1.5 Blue dCi RS Line,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Tiguan,Diesel,Novembro,2017,88 000 km,1 600 cm3,115 cv,Sim,Sim,Sim,SUV / TT,Branco,,Manual,6,5,5,,,18 Meses,,,Sim,Usados,22 750        EUR,8088238064,12 Julho 2023,,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,Diesel,Dezembro,2015,184 000 km,2 143 cm3,170 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Automática,7,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,23 990        EUR,8090032060,12 Julho 2023,BlueTEC Avantgarde+ Aut.,,,,,,,"5,30 l/100km",,,Sim,Classe C,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,GT86,Gasolina,Abril,2012,87 000 km,1 998 cm3,200 cv,,Sim,Sim,Citadino,Preto,,Manual,6,2,,,,36 Meses,,,,Usados,29 990        EUR,8087904980,12 Julho 2023,2.0D-4S Sport+Navi,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,Gasolina,Março,2017,78 955 km,999 cm3,110 cv,Sim,Sim,Sim,Carrinha,Branco,,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,17 900        EUR,8089989427,12 Julho 2023,1.0 TSI Confortline,,,,,,,,,"4,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,Diesel,Janeiro,2017,119 000 km,1 496 cm3,95 cv,Sim,Sim,Sim,Utilitário,Preto,,Manual,6,3,4,Classe 1,,18 Meses,,,,Usados,18 500        EUR,8089370789,12 Julho 2023,D,,,,,,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Porsche,Cayenne,Diesel,Setembro,2011,350 000 km,2 967 cm3,245 cv,,,Sim,SUV / TT,Preto,Metalizado,Automática,,5,5,,,36 Meses,,,Sim,Usados,26 999        EUR,8089221189,12 Julho 2023,II Platinum Edition,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,Diesel,Junho,2015,136 000 km,1 461 cm3,109 cv,Sim,Sim,Sim,Sedan,Cinzento,,Manual,6,4,5,Classe 1,,18 Meses,,,,Usados,22 750        EUR,8089467145,12 Julho 2023,CDi AMG Line,,,,,,,,,,Sim,Classe CLA,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,X1,Diesel,Outubro,2017,115 000 km,1 496 cm3,116 cv,Sim,Sim,Sim,SUV / TT,Preto,Metalizado,Manual,6,5,5,,,18 Meses,Sim,Sim,Sim,Usados,20 890        EUR,8087732223,12 Julho 2023,16 d sDrive Advantage,Nacional,,,,,,,,,,Série X,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Corolla,Híbrido (Gasolina),Junho,2020,60 000 km,1 987 cm3,184 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,,5,,,,36 Meses,,,,Usados,28 999        EUR,8089292060,12 Julho 2023,2.0 Hybrid Luxury Black,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,2008,Gasolina,Setembro,2020,45 000 km,1 199 cm3,130 cv,Sim,,,SUV / TT,Preto,Metalizado,Automática,8,5,5,Classe 1,,,Sim,Sim,Sim,Usados,25 500        EUR,8090002595,10 Julho 2023,1.2 PureTech GT Line EAT8,Nacional,,Tracção dianteira,139 g/km,,,"5,80 l/100km","4,20 l/100km",,,,,,,,,620 km,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,Diesel,Julho,2017,76 654 km,1 997 cm3,180 cv,,Sim,Sim,SUV / TT,Branco,,Automática,,5,5,,,18 Meses,Sim,,Sim,Usados,27 850        EUR,8089943894,11 Julho 2023,2.0 BlueHDi GT EAT6,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Eléctrico,Maio,2020,38 941 km,,109 cv,Sim,Sim,Sim,Pequeno citadino,Roxo,Metalizado,Automática,,5,5,Classe 1,14/06/2028,18 Meses,Sim,,Sim,Usados,26 990        EUR,8088242461,11 Julho 2023,Intens 50,Importado,1,Tracção dianteira,,,,,,,,,,,395 km,52 kWh,Própria,,,160 000 km,"17,30 kWh/100km",,StandVirtual,Yes
Profissional,Opel,Mokka,Gasolina,Setembro,2022,7 900 km,1 199 cm3,100 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,36 Meses,Sim,Sim,Sim,Usados,23 990        EUR,8089913658,8 Julho 2023,1.2 T Elegance,Nacional,1,Tracção dianteira,,,,,,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 250,Diesel,Maio,2013,209 000 km,2 143 cm3,204 cv,,Sim,Sim,Coupé,Cinzento,Metalizado,Automática,,3,,,,36 Meses,,,,Usados,27 999        EUR,8088552417,12 Julho 2023,CDi Avantgarde BE Auto.,,,,,,,"6,40 l/100km",,,,Classe E,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,Diesel,Maio,2016,125 000 km,1 461 cm3,109 cv,Sim,Sim,Sim,Sedan,Cinzento,,Manual,6,4,5,Classe 1,01/01/0001,36 Meses,,,,Usados,23 500        EUR,8089582966,12 Julho 2023,d AMG Line,,,,,,,,,,Sim,Classe CLA,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,Diesel,Julho,2018,125 166 km,1 598 cm3,95 cv,,,Sim,Citadino,Laranja,Metalizado,Manual,,5,,,,36 Meses,,,,Usados,17 999        EUR,8089138918,12 Julho 2023,1.6 TDi Confortline,,,,,,,"4,20 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mazda,CX-3,Diesel,Maio,2019,38 987 km,1 499 cm3,105 cv,,,,SUV / TT,Azul,Metalizado,Manual,6,5,5,,,,Sim,Sim,Sim,Usados,19 850        EUR,8087919825,12 Julho 2023,1.5 Sky.Excellence Navi,,,,,,,"4,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,Gasolina,Março,2017,77 045 km,1 199 cm3,82 cv,Sim,Sim,Sim,SUV / TT,Cinzento,,Manual,,5,5,,,18 Meses,,,,Usados,15 490        EUR,8089924918,12 Julho 2023,1.2 PureTech Style,Nacional,,,114 g/km,,,6 l/100km,"4,30 l/100km","4,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,Diesel,Abril,2017,91 500 km,1 598 cm3,130 cv,Sim,Sim,Sim,Utilitário,Preto,,Manual,,5,5,,,36 Meses,,,,Usados,15 490        EUR,8089924922,12 Julho 2023,1.6 dCi Intens,Nacional,,,103 g/km,,,"4,70 l/100km","3,60 l/100km",4 l/100km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,508 SW,Híbrido (Gasolina),Maio,2020,147 500 km,1 598 cm3,225 cv,,Sim,Sim,Carrinha,Cinzento,Pérola,Automática,8,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,29 990        EUR,8089127178,12 Julho 2023,1.6 Hybrid GT e-EAT8,Importado,1,Tracção dianteira,,138 €,13/05/2024,,,,,,Sim,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 200,Diesel,Novembro,2017,89 902 km,2 143 cm3,136 cv,Sim,Sim,Sim,Utilitário,Preto,,Automática,,5,5,,,18 Meses,,,,Usados,25 990        EUR,8089924917,12 Julho 2023,,Nacional,,,99 g/km,,,"4,60 l/100km","3,40 l/100km","3,80 l/100km",,Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,218 Active Tourer,Diesel,Abril,2015,105 027 km,1 995 cm3,150 cv,Sim,Sim,Sim,Monovolume,Cinzento,,Manual,,5,5,,,18 Meses,,,,Usados,19 990        EUR,8089924924,12 Julho 2023,d Line Sport,Nacional,,,109 g/km,,,"4,80 l/100km","3,70 l/100km","4,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180 Limousine,Diesel,Fevereiro,2020,68 119 km,1 461 cm3,116 cv,Sim,Sim,Sim,Sedan,Branco,,Automática,,4,,,,18 Meses,,,,Usados,29 990        EUR,8089924925,12 Julho 2023,,Nacional,,,,,,,,"4,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Arona,Gasolina,Setembro,2018,66 954 km,999 cm3,115 cv,Sim,Sim,Sim,SUV / TT,Branco,,Manual,,5,5,,,18 Meses,,,,Usados,16 990        EUR,8089924920,12 Julho 2023,1.0 TSI Xcellence,Nacional,,,113 g/km,,,"5,90 l/100km","4,30 l/100km","4,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,Gasolina,Julho,2021,35 679 km,998 cm3,95 cv,,Sim,Sim,Citadino,Branco,,Manual,6,5,5,,,72 Meses,Sim,Sim,Sim,Usados,17 750        EUR,8087805820,12 Julho 2023,1.0 EcoBoost ST-Line,Nacional,,Tracção dianteira,,,,5 l/100km,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,Diesel,Março,2021,43 000 km,1 461 cm3,95 cv,Sim,Sim,Sim,SUV / TT,Azul,Metalizado,Manual,6,5,5,,,18 Meses,Sim,Sim,Sim,Usados,21 990        EUR,8088327352,12 Julho 2023,1.5 dCi Exclusive,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,CLA 200,Diesel,Agosto,2018,95 000 km,2 143 cm3,136 cv,,Sim,Sim,Carrinha,Cinzento,,Automática,7,5,,,,,Sim,Sim,Sim,Usados,25 800        EUR,8089896356,12 Julho 2023,Shooting Brake d 7G-DCT,Nacional,,,,,,"6,40 l/100km",,,Sim,Classe CLA,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Clubman,Gasolina,Novembro,2012,110 000 km,1 598 cm3,211 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,18 750        EUR,8089028700,12 Julho 2023,John Cooper Works,Importado,,Tracção dianteira,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,Diesel,Janeiro,2017,92 682 km,2 143 cm3,170 cv,,Sim,Sim,Carrinha,Cinzento,,Automática,,5,,,,36 Meses,,,,Usados,29 490        EUR,8090032051,12 Julho 2023,d Station 9G-TRONIC AMG Line,,,,,,,"5,30 l/100km",,,Sim,Classe C,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,Diesel,Novembro,2017,114 000 km,1 995 cm3,190 cv,Sim,Sim,Sim,Carrinha,Azul,Metalizado,Automática,8,5,5,,,18 Meses,,,Sim,Usados,29 900        EUR,8089637907,12 Julho 2023,d Auto,Nacional,,,,,,,,,,Série 5,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,Ceed SW,Diesel,Junho,2016,111 000 km,1 582 cm3,136 cv,Sim,Sim,Sim,Carrinha,Branco,Metalizado,Manual,6,5,5,,,18 Meses,,,Sim,Usados,16 990        EUR,8089511026,12 Julho 2023,1.6 CRDi GT Line,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,Gasolina,Outubro,2018,67 000 km,999 cm3,115 cv,Sim,Sim,Sim,Citadino,Branco,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,19 900        EUR,8089507987,12 Julho 2023,,,1,,,100 €,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,Diesel,Fevereiro,2018,68 000 km,1 560 cm3,120 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,6,5,,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,24 900        EUR,8088119872,12 Julho 2023,1.6 BlueHDi Allure EAT6,,1,Tracção dianteira,108 g/km,140 €,,"4,70 l/100km",,,,,,,,,,1 200 km,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,Diesel,Junho,2018,45 781 km,1 461 cm3,110 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Automática,,5,,,,36 Meses,,,,Usados,20 900        EUR,8088831116,12 Julho 2023,1.5 dCi GT Line EDC,,,,,,,4 l/100km,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,Gasolina,Novembro,2018,65 000 km,1 332 cm3,140 cv,,Sim,Sim,Utilitário,Vermelho,Metalizado,Manual,6,5,5,Classe 1,,36 Meses,Sim,Sim,Sim,Usados,17 900        EUR,8089859280,12 Julho 2023,1.3 TCe GT Line,Nacional,1,Tracção dianteira,132 g/km,,12/11/2024,"7,30 l/100km","4,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,Ceed,Diesel,Fevereiro,2017,79 000 km,1 582 cm3,136 cv,Sim,Sim,Sim,Utilitário,Vermelho,,Manual,6,5,5,,,18 Meses,Sim,Sim,Sim,Usados,18 900        EUR,8089580149,12 Julho 2023,1.6 CRDi GT Line,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Gasolina,Maio,2020,43 329 km,999 cm3,100 cv,Sim,Sim,Sim,Citadino,Castanho,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,15 900        EUR,8090032048,12 Julho 2023,1.0 TCe Exclusive,,,,,,,,,"4,10 l/100km",,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Espace,Diesel,Novembro,2016,136 000 km,1 598 cm3,160 cv,,Sim,Sim,Monovolume,Cinzento,Metalizado,Automática,,5,7,,12/06/2024,18 Meses,Sim,Sim,Sim,Usados,24 990        EUR,8088434707,12 Julho 2023,1.6 dCi Initiale Paris EDC,Importado,,,,,,"5,10 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Jeep,Renegade,Gasolina,Setembro,2019,52 000 km,999 cm3,120 cv,Sim,Sim,Sim,SUV / TT,Branco,Metalizado,Manual,6,5,5,,,18 Meses,Sim,Sim,Sim,Usados,18 990        EUR,8089764159,12 Julho 2023,1.0 T Limited,Nacional,1,,,,,"6,50 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A4 Avant,Diesel,Dezembro,2017,117 000 km,1 968 cm3,150 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Automática,7,5,5,,,18 Meses,Sim,Sim,Sim,Usados,24 900        EUR,8089027598,12 Julho 2023,2.0 TDI Design S tronic,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Arona,Gasolina,Julho,2021,52 429 km,999 cm3,115 cv,,Sim,Sim,SUV / TT,Preto,Metalizado,Manual,,5,,,,36 Meses,,,,Usados,21 900        EUR,8089710154,12 Julho 2023,1.0 TSI FR,,,,,,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,Diesel,Novembro,2018,128 263 km,1 598 cm3,130 cv,Sim,Sim,,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,23 900        EUR,8089169744,8 Julho 2023,1.6 dCi Tekna J19+Alcantara,Importado,1,,,"154,12 €",,,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,3008,Diesel,Janeiro,2017,104 000 km,1 560 cm3,120 cv,,,,SUV / TT,Castanho,,Automática,6,5,,Classe 1,,,,Sim,Sim,Usados,22 490        EUR,8089110311,12 Julho 2023,,,,,108 g/km,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 200,Diesel,Janeiro,2018,124 000 km,2 143 cm3,136 cv,Sim,Sim,Sim,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,24 990        EUR,8089605393,12 Julho 2023,d Shooting Brake Urban,,,,,,,,,,,Classe CLA,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Diesel,Maio,2019,175 526 km,1 461 cm3,90 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,,5,,,,36 Meses,,,,Usados,15 500        EUR,8089206965,12 Julho 2023,1.5 dCi Limited,,,,,,,"4,30 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,Diesel,Setembro,2012,98 000 km,1 500 cm3,109 cv,Sim,Sim,Sim,Utilitário,Azul,Metalizado,Manual,6,5,5,,,18 Meses,,,Sim,Usados,16 500        EUR,8088579307,12 Julho 2023,,,,,,,,,,,,Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,Gasolina,Junho,2020,48 699 km,998 cm3,120 cv,Sim,Sim,Sim,SUV / TT,Cinzento,,Manual,,5,,,,18 Meses,,,,Usados,20 490        EUR,8090032046,12 Julho 2023,1.0 T-GDi Premium,Nacional,,,,,,,,"6,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,Gasolina,Setembro,2020,62 160 km,1 332 cm3,140 cv,Sim,Sim,Sim,Utilitário,Preto,,Manual,,5,5,,,18 Meses,,,,Usados,24 490        EUR,8090032045,12 Julho 2023,1.3 DIG-T N-Connecta,Nacional,,,,,,,,"6,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,Gasolina,Setembro,2019,87 438 km,898 cm3,90 cv,Sim,Sim,Sim,Utilitário,Cinzento,,Manual,,5,5,,,18 Meses,,,,Usados,15 490        EUR,8090032044,12 Julho 2023,0.9 TCE Exclusive,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,GPL,Fevereiro,2022,30 574 km,999 cm3,100 cv,Sim,Sim,Sim,SUV / TT,Branco,,Manual,,5,,,,36 Meses,,,,Usados,23 490        EUR,8090032040,12 Julho 2023,1.0 TCe Intens Bi-Fuel,Nacional,,,,,,,,"7,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,320,Diesel,Agosto,2017,128 390 km,1 995 cm3,190 cv,Sim,Sim,Sim,Sedan,Azul,,Manual,,4,5,,,18 Meses,,,,Usados,24 190        EUR,8090032039,12 Julho 2023,d,Importado,,,106 g/km,,,"4,80 l/100km","3,60 l/100km",4 l/100km,,Série 3,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Bayon,Gasolina,Abril,2022,14 500 km,998 cm3,102 cv,Sim,Sim,Sim,SUV / TT,Outra,,Manual,,5,,,,18 Meses,,,,Usados,20 990        EUR,8090032041,12 Julho 2023,1.0 T-GDi Premium,Nacional,,,,,,,,"5,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,Gasolina,Abril,2021,23 837 km,1 199 cm3,110 cv,Sim,Sim,Sim,Utilitário,Outra,,Manual,,5,5,,,18 Meses,,,,Usados,17 990        EUR,8090032043,12 Julho 2023,1.2 PureTech Shine Pack,Nacional,,,,,,,,"5,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,Diesel,Setembro,2017,108 930 km,2 143 cm3,170 cv,Sim,Sim,Sim,Carrinha,Azul,Metalizado,Automática,9,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,29 990        EUR,8089814927,12 Julho 2023,BlueTEC Exclusive Aut.,Nacional,1,Tracção traseira,115 g/km,"235,26 €",06/09/2023,"5,30 l/100km","3,80 l/100km",,Sim,Classe C,Sim,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Bayon,Gasolina,Junho,2022,22 301 km,998 cm3,102 cv,Sim,,,SUV / TT,Cinzento,,Manual,,5,5,,,36 Meses,,,,Usados,20 250        EUR,8089924641,12 Julho 2023,1.0 T-GDi Premium,Nacional,,,,,,,,"5,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Bayon,Gasolina,Maio,2022,18 914 km,998 cm3,102 cv,Sim,,,SUV / TT,Prateado,,Manual,,5,5,,,36 Meses,,,,Usados,20 350        EUR,8089924634,12 Julho 2023,1.0 T-GDi Premium TT,Nacional,,,,,,,,"5,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,Gasolina,Janeiro,2022,37 693 km,998 cm3,120 cv,Sim,,,SUV / TT,Branco,,Manual,,5,5,,,36 Meses,,,,Usados,21 950        EUR,8089924652,12 Julho 2023,1.0 T-GDi Premium TT,Nacional,,,,,,,,6 l/100km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Bayon,Gasolina,Junho,2022,24 780 km,998 cm3,102 cv,Sim,,,SUV / TT,Prateado,,Manual,,5,5,,,36 Meses,,,,Usados,20 250        EUR,8089924643,12 Julho 2023,1.0 T-GDi Premium TT,Nacional,,,,,,,,"5,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,Gasolina,Janeiro,2022,37 247 km,998 cm3,120 cv,Sim,,,SUV / TT,Branco,,Manual,,5,5,,,36 Meses,,,,Usados,21 950        EUR,8089924650,12 Julho 2023,1.0 T-GDi Premium TT,Nacional,,,,,,,,6 l/100km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,Gasolina,Dezembro,2021,35 439 km,998 cm3,120 cv,Sim,,,SUV / TT,Branco,,Manual,,5,5,,28/12/2028,65 Meses,,,,Usados,21 250        EUR,8089924637,12 Julho 2023,1.0 T-GDi Premium TT,Nacional,,,,,,,,6 l/100km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Bayon,Gasolina,Junho,2022,26 268 km,998 cm3,102 cv,Sim,,,SUV / TT,Prateado,,Manual,,5,5,,,36 Meses,,,,Usados,20 250        EUR,8089924644,12 Julho 2023,1.0 T-GDi Premium TT,Nacional,,,,,,,,"5,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,Gasolina,Fevereiro,2022,22 101 km,1 197 cm3,84 cv,Sim,,,Utilitário,Branco,,Manual,,5,5,,,36 Meses,,,,Usados,17 950        EUR,8089924646,12 Julho 2023,1.2 Comfort,Nacional,,,,,,,,"5,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Skoda,Octavia Break,Diesel,Outubro,2018,159 000 km,1 598 cm3,115 cv,,Sim,Sim,Carrinha,Azul,,Manual,,5,5,,,18 Meses,,Sim,Sim,Usados,18 500        EUR,8087631503,12 Julho 2023,1.6 TDi Ambition,,,,,,,"4,60 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,Diesel,Junho,2017,117 343 km,1 461 cm3,109 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,,,,36 Meses,,,,Usados,23 800        EUR,8089232861,12 Julho 2023,d Shooting Brake,,,,,,,"4,40 l/100km",,,,Classe CLA,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,420 Gran Coupé,Diesel,Maio,2018,115 000 km,1 995 cm3,190 cv,Sim,Sim,Sim,Sedan,Cinzento,,Automática,,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,29 990        EUR,8088709376,12 Julho 2023,d Line Sport Auto,Nacional,1,Tracção traseira,,,,,,,,Série 4,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,Gasolina,Maio,2021,31 000 km,998 cm3,100 cv,Sim,,,Utilitário,Branco,,Manual,,5,5,,,36 Meses,,,,Usados,18 450        EUR,8089765456,12 Julho 2023,1.0 T-GDI Style,Nacional,,,,,,,,"5,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,Diesel,Julho,2017,136 042 km,1 496 cm3,116 cv,,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,,,18 Meses,,Sim,Sim,Usados,18 500        EUR,8089860799,12 Julho 2023,d Advantage,Importado,1,,,,,,,,,Série 1,,,,,,,,,,,StandVirtual,Yes
