Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Inspecção válida até,Garantia de Stand (incl. no preço),Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,IVA dedutível,Tracção,Emissões CO2,Registo(s),Origem,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,IVA Discriminado,Tipo de cor,Valor Fixo,Garantia de Fábrica até,Filtro de partículas,ou até,Autonomia Máxima,IUC,Sub-modelo,Consumo Combinado,Autonomia,Consumo,Bateria,Capacidade da bateria,Site,Portugal
Profissional,VW,Polo,1.4 TDi Trendline,Diesel,Março,2016,155 747 km,1 422 cm3,90 cv,Sim,Sim,Citadino,Prateado,Manual,5,5,5,Classe 1,,18 Meses,,Sim,Usados,12 900        EUR,8089832609,4 Julho 2023,,Tracção dianteira,95 g/km,1,Importado,Sim,4 l/100km,"3,10 l/100km",,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.6 BlueHDi Style,Diesel,Junho,2016,117 000 km,1 560 cm3,75 cv,Sim,Sim,Citadino,Cinzento,Manual,,5,5,Classe 1,,18 Meses,,Sim,Usados,12 990        EUR,8089602191,4 Julho 2023,,,,,Nacional,Sim,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.5 TDCi Titanium,Diesel,Julho,2012,173 000 km,1 499 cm3,75 cv,Sim,Sim,Citadino,Preto,Manual,5,5,5,,,18 Meses,Sim,Sim,Usados,7 800        EUR,8089790162,4 Julho 2023,,Tracção dianteira,89 g/km,2,Nacional,,"4,40 l/100km","3,30 l/100km",,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,0.8 cdi Pure 54,Diesel,Agosto,2010,142 723 km,799 cm3,54 cv,,Sim,Pequeno citadino,Preto,Automática,5,2,2,Classe 1,,18 Meses,Sim,,Usados,6 200        EUR,8089949607,4 Julho 2023,,Tracção traseira,,,Importado,,"3,40 l/100km",,,Mate,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.6 BlueHDi Active,Diesel,Fevereiro,2017,178 700 km,1 560 cm3,75 cv,,Sim,Citadino,Azul,Manual,5,5,5,Classe 1,,18 Meses,Sim,Sim,Usados,12 990        EUR,8089336716,4 Julho 2023,,Tracção dianteira,,,Importado,Sim,"4,20 l/100km",,,Metalizado,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra,1.6 CDTI Innovation S/S,Diesel,Março,2018,141 000 km,1 598 cm3,110 cv,Sim,Sim,Utilitário,Azul,Manual,6,5,5,Classe 1,22/03/2024,18 Meses,Sim,,Usados,14 500        EUR,8089643203,4 Julho 2023,,Tracção dianteira,91 g/km,1,Importado,Sim,"5,50 l/100km","3,70 l/100km",,Metalizado,,,,20 000 km,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,BlueHDi S&S Feel,Diesel,Novembro,2018,165 500 km,1 499 cm3,102 cv,Sim,Sim,Citadino,Cinzento,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Usados,14 250        EUR,8089661312,4 Julho 2023,,Tracção dianteira,,,,Sim,"4,20 l/100km",,,Metalizado,,,Sim,,,,,,,,,,StandVirtual,Yes
Particular,Dodge,Journey,2.0 CRD R/T MTX,Diesel,Maio,2010,170 329 km,1 968 cm3,140 cv,,,Monovolume,Preto,Manual,6,5,7,Classe 1,31/05/2024,,Sim,Sim,Usados,11 400        EUR,8089898406,4 Julho 2023,,Tracção dianteira,,,Nacional,,"8,40 l/100km",,,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,208,1.2 PureTech Style,Gasolina,Junho,2015,106 000 km,1 199 cm3,82 cv,,,Utilitário,Cinzento,Manual,5,5,5,Classe 1,01/05/2024,,Sim,Sim,Usados,9 750        EUR,8089759776,4 Julho 2023,,Tracção dianteira,104 g/km,,Nacional,Sim,"5,50 l/100km","3,90 l/100km",,Metalizado,,,,,850 km,106 €,,,,,,,StandVirtual,Yes
Profissional,Audi,A3,1.6 TDI S-line,Diesel,Dezembro,2013,190 000 km,1 598 cm3,105 cv,Sim,Sim,Utilitário,Preto,Manual,6,3,5,Classe 1,,18 Meses,Sim,Sim,Usados,12 500        EUR,8088537182,4 Julho 2023,,Tracção dianteira,,1,,Sim,"4,60 l/100km",,,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
