Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Possibilidade de financiamento,Tipo de cor,Tracção,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Valor Fixo,Emissões CO2,IUC,Filtro de partículas,Consumo Extra Urbano,Sub-modelo,Garantia de Fábrica até,Consumo Combinado,IVA Discriminado,IVA dedutível,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,ou até,Consumo,Clássico,Site,Portugal
Profissional,Volvo,V60,2.0 D3 Momentum Core,Diesel,Dezembro,2019,43 000 km,1 969 cm3,150 cv,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,Nacional,Sim,Sim,Sim,"5,10 l/100km",Usados,32 900        EUR,8088887662,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,1,,,,Sim,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Audi,Q3,35 TDI S line quattro,Diesel,Março,2019,115 000 km,1 968 cm3,150 cv,Sim,SUV / TT,Cinzento,Manual,,5,,,,Sim,Sim,Sim,"6,50 l/100km",Usados,39 750        EUR,8088361165,10 Julho 2023,Sim,Metalizado,,,18 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Abril,2022,20 700 km,1 950 cm3,116 cv,,Utilitário,Preto,Automática,,5,5,,Nacional,,,,,Usados,36 500        EUR,8089159384,10 Julho 2023,,,,,24 Meses,,Sim,,,,,Classe A,,5 l/100km,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Abril,2022,20 600 km,1 950 cm3,116 cv,,Utilitário,Branco,Automática,,5,5,,Nacional,,,,,Usados,35 000        EUR,8089159380,10 Julho 2023,,,,,24 Meses,,Sim,,,,,Classe A,,5 l/100km,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2021,20 000 km,1 950 cm3,116 cv,,Utilitário,Branco,Automática,,5,5,,Nacional,,,,,Usados,33 000        EUR,8089159400,10 Julho 2023,,,,,24 Meses,,Sim,,,,,Classe A,,5 l/100km,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Leon ST,1.4 e-Hybrid FR DSG,Híbrido (Gasolina),Abril,2021,56 000 km,1 395 cm3,204 cv,Sim,Carrinha,Cinzento,Automática,,5,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,30 750        EUR,8089252547,10 Julho 2023,Sim,,,,18 Meses,1,Sim,,144 €,,,,,,,Sim,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2021,36 100 km,1 950 cm3,116 cv,,Utilitário,Branco,Automática,,5,5,,Nacional,,,,,Usados,33 000        EUR,8089159273,10 Julho 2023,,,,,24 Meses,,Sim,,,,,Classe A,,5 l/100km,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2021,34 600 km,1 950 cm3,116 cv,,Utilitário,Branco,Automática,,5,5,,Nacional,,,,,Usados,33 000        EUR,8089159369,10 Julho 2023,,,,,24 Meses,,Sim,,,,,Classe A,,5 l/100km,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,d Style Plus Aut.,Diesel,Abril,2022,30 500 km,1 950 cm3,116 cv,,Coupé,Cinzento,Automática,,4,5,,Nacional,,,,,Usados,36 500        EUR,8089159453,10 Julho 2023,,,,,24 Meses,,Sim,,,,,Classe CLA,,"3,70 l/100km",,,,,,,,,,StandVirtual,Yes
Profissional,BMW,320,d Touring Line Sport Auto,Diesel,Novembro,2019,97 000 km,1 995 cm3,190 cv,Sim,Carrinha,Preto,Automática,,5,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,35 750        EUR,8089102359,10 Julho 2023,Sim,,,,18 Meses,1,Sim,,235 €,Sim,,Série 3,,,Sim,,,,,,,,,StandVirtual,Yes
