Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Possibilidade de financiamento,Tipo de cor,Tracção,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Valor Fixo,Emissões CO2,IUC,Filtro de partículas,Consumo Extra Urbano,Sub-modelo,Garantia de Fábrica até,Consumo Combinado,IVA Discriminado,IVA dedutível,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,ou até,Consumo,Clássico,Site,Portugal
Particular,Hyundai,i10,1.0 Comfort,Gasolina,Abril,2018,10 900 km,998 cm3,66 cv,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,"6,60 l/100km",Usados,10 990        EUR,8089198878,7 Julho 2023,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Junho,2015,153 061 km,1 560 cm3,120 cv,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,,Sim,Sim,Sim,,Usados,12 800        EUR,8089988646,6 Julho 2023,Sim,Metalizado,Tracção dianteira,18/06/2024,18 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,,Diesel,Junho,2015,130 000 km,1 248 cm3,95 cv,Sim,Pequeno citadino,Vermelho,Manual,,3,,,,,,,,Usados,11 950        EUR,8088882491,6 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,GTI 200 THP,Gasolina,Janeiro,2013,150 000 km,1 598 cm3,200 cv,Sim,Utilitário,Preto,Manual,6,3,5,Classe 1,Importado,Sim,Sim,Sim,"8,20 l/100km",Usados,13 500        EUR,8089389905,8 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,,Sim,139 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,D,Diesel,Junho,2014,135 000 km,1 496 cm3,116 cv,Sim,Utilitário,Bege,Manual,6,3,4,Classe 1,Nacional,Sim,Sim,Sim,"4,40 l/100km",Usados,13 950        EUR,8089444788,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,1,,95 g/km,147 €,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,Ceed,1.6 CRDi ECO,Diesel,Julho,2015,133 071 km,1 582 cm3,128 cv,Sim,Utilitário,Cinzento,Manual,6,5,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,14 990        EUR,8089879679,10 Julho 2023,Sim,Metalizado,,,18 Meses,1,Sim,99 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,D,Diesel,Novembro,2010,189 371 km,1 560 cm3,110 cv,Sim,Utilitário,Preto,Manual,6,3,4,Classe 1,,Sim,Sim,Sim,,Usados,11 750        EUR,8089773983,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,99 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.6 THP GTi,Gasolina,Junho,2013,128 323 km,1 598 cm3,200 cv,Sim,Citadino,Cinzento,Manual,5,3,5,Classe 1,Importado,,,Sim,"8,20 l/100km",Usados,14 490        EUR,8089336739,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Sportback,1.6 TDI Sport,Diesel,Abril,2011,139 768 km,1 598 cm3,105 cv,,Sedan,Azul,Manual,,5,5,,Importado,,,,,Usados,12 990        EUR,8088682965,10 Julho 2023,Sim,,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,VW,Cross Up!,1.0,Gasolina,Abril,2018,84 300 km,999 cm3,75 cv,,Citadino,Branco,Manual,5,5,4,Classe 1,Nacional,Sim,,Sim,"5,20 l/100km",Usados,12 850        EUR,8089863689,10 Julho 2023,,,Tracção dianteira,30/04/2024,,,,127 g/km,,,"4,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.6 e-HDi Allure 95g,Diesel,Outubro,2014,125 450 km,1 560 cm3,92 cv,Sim,Utilitário,Branco,Manual,5,5,5,Classe 1,,,,Sim,,Usados,11 590        EUR,8088912359,10 Julho 2023,Sim,,,,18 Meses,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d EfficientDynamics,Diesel,Julho,2014,173 400 km,1 598 cm3,116 cv,Sim,Utilitário,Azul,Manual,6,5,5,Classe 1,Importado,,,Sim,,Usados,12 990        EUR,8089222299,10 Julho 2023,Sim,,,,36 Meses,,,,,,,Série 1,01/01/0001,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A1,1.0 TFSI S-line,Gasolina,Maio,2016,193 127 km,999 cm3,95 cv,Sim,Utilitário,Branco,Manual,5,3,4,Classe 1,Importado,,,Sim,,Usados,13 950        EUR,8089440749,10 Julho 2023,Sim,,,,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,A 180,CDi BlueEfficiency,Diesel,Abril,2013,122 815 km,1 461 cm3,109 cv,,Utilitário,Preto,Manual,6,5,5,Classe 1,,,Sim,Sim,"4,50 l/100km",Usados,14 500        EUR,8089835639,10 Julho 2023,,Metalizado,Tracção dianteira,16/04/2024,,1,,98 g/km,,,"3,30 l/100km",Classe A,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,1.6 dCi Tekna Premium 18,Diesel,Julho,2014,189 000 km,1 598 cm3,130 cv,,SUV / TT,Cinzento,Manual,6,5,5,Classe 1,Importado,,Sim,,"6,30 l/100km",Usados,12 900        EUR,8089911199,10 Julho 2023,Sim,Metalizado,Tracção dianteira,23/07/2024,18 Meses,2,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza ST,1.2 TDI CR Ecomotive Style,Diesel,Julho,2011,213 000 km,1 199 cm3,75 cv,,Carrinha,Branco,Manual,,5,,,Nacional,,Sim,Sim,"4,10 l/100km",Usados,6 900        EUR,8089925110,10 Julho 2023,Sim,,,,36 Meses,2,Sim,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,1.2 Blue Comfort+Pack Look+JLL16,Gasolina,Maio,2018,81 815 km,1 248 cm3,84 cv,Sim,Citadino,Cinzento,Manual,5,5,5,Classe 1,,Sim,Sim,Sim,,Usados,13 900        EUR,8089989439,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,"4,10 l/100km",,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,,Gasolina,Julho,2013,59 000 km,1 200 cm3,70 cv,Sim,Utilitário,Cinzento,Manual,5,5,5,Classe 1,Nacional,,,Sim,,Usados,11 800        EUR,8090010171,10 Julho 2023,,Metalizado,,,18 Meses,1,,102 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,520,,Diesel,Maio,2011,265 000 km,1 995 cm3,184 cv,,Carrinha,Azul,Manual,6,5,6,Classe 1,Importado,,Sim,Sim,,Usados,13 450        EUR,8089863691,10 Julho 2023,,,Tracção traseira,31/05/2024,,2,,,,,,Série 5,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.6 E-HDi 7L Allure 2-Tronic,Diesel,Julho,2011,202 000 km,1 560 cm3,112 cv,Sim,Monovolume,Cinzento,Automática,,5,7,,,Sim,Sim,Sim,,Usados,8 990        EUR,8089461647,10 Julho 2023,Sim,,Tracção dianteira,01/07/2024,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Abril,2014,117 000 km,898 cm3,90 cv,Sim,Utilitário,Bege,Manual,5,5,5,Classe 1,,,Sim,Sim,,Usados,12 250        EUR,8088963614,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza ST,1.0 Reference,Gasolina,Junho,2016,64 000 km,999 cm3,75 cv,,Carrinha,Cinzento,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,"5,90 l/100km",Usados,12 900        EUR,8089839736,10 Julho 2023,,Metalizado,Tracção dianteira,,18 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.0 Titanium,Gasolina,Junho,2016,69 000 km,998 cm3,80 cv,,Citadino,Azul,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,"5,80 l/100km",Usados,11 750        EUR,8089839743,10 Julho 2023,Sim,,Tracção dianteira,,18 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Meriva,,GPL,Abril,2014,109 000 km,1 364 cm3,120 cv,Sim,Monovolume,Cinzento,Manual,5,5,5,Classe 1,Nacional,,Sim,Sim,,Usados,11 500        EUR,8089540370,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Meriva,1.4 T FlexFluel,Gasolina,Abril,2014,109 000 km,1 364 cm3,120 cv,Sim,Monovolume,Cinzento,Manual,5,5,5,Classe 1,Nacional,,Sim,Sim,,Usados,11 500        EUR,8089540340,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,D,Diesel,Dezembro,2010,200 000 km,1 560 cm3,110 cv,,Citadino,Bege,Manual,,3,,,,,Sim,,"4,70 l/100km",Usados,9 900        EUR,8089051307,10 Julho 2023,Sim,,,,36 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,,Gasolina,Maio,2013,100 599 km,1 242 cm3,69 cv,Sim,Utilitário,Vermelho,Manual,5,3,4,Classe 1,,,,,,Usados,9 450        EUR,8089301221,10 Julho 2023,Sim,,,,18 Meses,1,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,1.0 Passion 71 Aut.,Gasolina,Dezembro,2018,38 000 km,999 cm3,71 cv,Sim,Citadino,Preto,Automática,6,5,4,,Nacional,,,Sim,,Usados,14 500        EUR,8089580210,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,C-Max,1.5 TDCi Titanium S/S,Diesel,Setembro,2015,189 000 km,1 499 cm3,120 cv,Sim,Monovolume,Branco,Manual,6,5,5,Classe 1,Nacional,Sim,Sim,Sim,"5,30 l/100km",Usados,13 950        EUR,8089841728,10 Julho 2023,Sim,Pérola,Tracção dianteira,,18 Meses,,,160 g/km,,,"4,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.6 BlueHDi Allure,Diesel,Agosto,2017,153 000 km,1 560 cm3,75 cv,Sim,SUV / TT,Preto,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,"4,40 l/100km",Usados,14 850        EUR,8089839581,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,1,,97 g/km,,,"3,30 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Alfa Romeo,Giulietta,1.6 JTDm Sport,Diesel,Junho,2018,170 000 km,1 598 cm3,120 cv,Sim,Utilitário,Castanho,Manual,6,5,5,Classe 1,Nacional,Sim,Sim,Sim,"5,80 l/100km",Usados,14 850        EUR,8089839576,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,1,,149 g/km,,,4 l/100km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Up!,1.0 BMT Move,Gasolina,Janeiro,2018,27 323 km,999 cm3,60 cv,Sim,Citadino,Cinzento,Manual,6,5,4,,,Sim,Sim,Sim,,Usados,12 600        EUR,8089989410,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,"4,10 l/100km",,,,,,,,,,StandVirtual,Yes
Profissional,Alfa Romeo,MiTo,1.6 JTD Distinctive,Diesel,Dezembro,2010,149 790 km,1 598 cm3,120 cv,Sim,Utilitário,Cinzento,Manual,6,3,5,Classe 1,,,,Sim,,Usados,8 990        EUR,8089909303,10 Julho 2023,Sim,,,,18 Meses,1,Sim,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Bose Edition EDC,Diesel,Abril,2013,120 000 km,1 461 cm3,110 cv,Sim,Carrinha,Preto,Automática,,5,5,Classe 1,Nacional,,Sim,Sim,4 l/100km,Usados,11 300        EUR,8089496733,10 Julho 2023,Sim,Metalizado,,01/04/2024,18 Meses,1,Sim,110 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Mondeo,1.5 TDCi Titanium ECOnetic,Diesel,Fevereiro,2016,220 000 km,1 499 cm3,120 cv,Sim,Sedan,Preto,Manual,6,5,5,Classe 1,Nacional,Sim,Sim,Sim,"4,10 l/100km",Usados,13 500        EUR,8088434770,10 Julho 2023,Sim,Metalizado,,,18 Meses,1,,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,1.1 CRDi Access,Diesel,Março,2015,107 360 km,1 120 cm3,75 cv,Sim,Utilitário,Prateado,Manual,,5,5,,Nacional,,,,"4,50 l/100km",Usados,10 990        EUR,8090011884,10 Julho 2023,Sim,,,,18 Meses,,Sim,99 g/km,,,"3,40 l/100km",,,"3,80 l/100km",,,,,,,,,,StandVirtual,Yes
Particular,Dacia,Logan MCV,0.9 TCe Comfort Bi-Fuel,GPL,Julho,2019,62 856 km,898 cm3,90 cv,,Carrinha,Preto,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,"6,50 l/100km",Usados,13 900        EUR,8089911903,6 Julho 2023,,Metalizado,Tracção dianteira,01/07/2024,,1,Sim,143 g/km,144 €,,"4,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Punto Evo,1.3 M-Jet Sport Download,Diesel,Agosto,2010,108 965 km,1 248 cm3,95 cv,Sim,Citadino,Preto,Manual,,3,5,,Nacional,,,,,Usados,7 000        EUR,8089930434,10 Julho 2023,Sim,,,,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.4 HDi Allure,Diesel,Julho,2015,70 400 km,1 398 cm3,68 cv,Sim,SUV / TT,Preto,Manual,5,5,,,Nacional,Sim,Sim,Sim,"4,60 l/100km",Usados,13 990        EUR,8089988310,6 Julho 2023,Sim,Metalizado,,,18 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Ford,Focus SW,,Diesel,Agosto,2015,140 000 km,1 498 cm3,95 cv,,Carrinha,Branco,Manual,6,5,5,Classe 1,,,Sim,Sim,"4,30 l/100km",Usados,9 900        EUR,8089946532,10 Julho 2023,,Metalizado,Tracção dianteira,,,1,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Panda,1.2 Lounge,Gasolina,Fevereiro,2017,57 609 km,1 242 cm3,69 cv,Sim,Utilitário,Cinzento,Manual,,5,4,,Nacional,,,,"6,60 l/100km",Usados,9 990        EUR,8090011885,10 Julho 2023,Sim,,,,18 Meses,,Sim,110 g/km,,,"4,30 l/100km",,,"5,10 l/100km",,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.6 BlueHDi Exclusive,Diesel,Dezembro,2016,116 049 km,1 560 cm3,100 cv,Sim,Utilitário,Cinzento,Manual,,5,5,,,,,,"3,80 l/100km",Usados,11 290        EUR,8090011883,10 Julho 2023,Sim,,,,18 Meses,,Sim,87 g/km,,,"3,20 l/100km",,,"3,40 l/100km",,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 HDi Style,Diesel,Março,2014,114 710 km,1 560 cm3,115 cv,Sim,Utilitário,Cinzento,Manual,,5,5,,,,,,"6,40 l/100km",Usados,14 990        EUR,8090011882,10 Julho 2023,Sim,,,,18 Meses,,Sim,125 g/km,,,"4,50 l/100km",,,"5,20 l/100km",,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Yaris,1.0 VVT-i Exclusive,Gasolina,Janeiro,2017,30 713 km,998 cm3,69 cv,Sim,Utilitário,Cinzento,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,"5,20 l/100km",Usados,14 990        EUR,8089989320,10 Julho 2023,Sim,Metalizado,Tracção dianteira,24/01/2025,18 Meses,1,Sim,99 g/km,"108,32 €",,"3,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Particular,Audi,A3 Sportback,1.6 TDI Sport,Diesel,Janeiro,2014,179 000 km,1 598 cm3,105 cv,,Citadino,Bege,Manual,6,5,5,Classe 1,Nacional,,,,"4,60 l/100km",Usados,14 990        EUR,8090000636,10 Julho 2023,,Pérola,Tracção dianteira,,,,,99 g/km,,,"3,30 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Março,2019,75 212 km,1 242 cm3,69 cv,Sim,Utilitário,Cinzento,Manual,5,3,4,Classe 1,Nacional,Sim,Sim,Sim,"6,20 l/100km",Usados,13 390        EUR,8089199822,10 Julho 2023,Sim,,Tracção dianteira,,18 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,1.0 IG-T Acenta,Gasolina,Julho,2019,42 107 km,999 cm3,100 cv,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,"5,60 l/100km",Usados,14 350        EUR,8089563139,10 Julho 2023,Sim,,Tracção dianteira,,18 Meses,1,,128 g/km,,,"3,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Auris,1.4 D-4D ACtive+AC,Diesel,Janeiro,2013,135 000 km,1 364 cm3,90 cv,Sim,Utilitário,Cinzento,Manual,,5,5,,,,,Sim,,Usados,12 790        EUR,8089278760,10 Julho 2023,Sim,Metalizado,,,18 Meses,1,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,KA,1.2 City,Gasolina,Fevereiro,2015,33 000 km,1 242 cm3,69 cv,Sim,Pequeno citadino,Branco,Manual,,3,,,Nacional,Sim,Sim,Sim,,Usados,8 590        EUR,8088536965,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDi Highline,Diesel,Setembro,2012,124 000 km,1 598 cm3,105 cv,Sim,Carrinha,Castanho,Manual,,5,5,,Nacional,Sim,Sim,Sim,,Usados,10 590        EUR,8088784372,10 Julho 2023,Sim,Metalizado,,,18 Meses,1,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.6 e-HDi Allure,Diesel,Dezembro,2014,152 000 km,1 560 cm3,92 cv,Sim,SUV / TT,Preto,Manual,6,5,5,Classe 1,Importado,Sim,Sim,Sim,,Usados,12 790        EUR,8089095032,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Junho,2018,61 716 km,1 199 cm3,82 cv,,Citadino,Verde,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,"5,80 l/100km",Usados,12 490        EUR,8088712300,10 Julho 2023,,,Tracção dianteira,,18 Meses,1,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,0.9 Prime 90 Aut.,Gasolina,Dezembro,2019,43 154 km,898 cm3,90 cv,,Coupé,Azul,Automática,,3,2,Classe 1,Nacional,Sim,Sim,Sim,5 l/100km,Usados,14 200        EUR,8089428128,10 Julho 2023,,,,,18 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza ST,1.6-tdi,Diesel,Novembro,2010,283 000 km,1 598 cm3,105 cv,Sim,Carrinha,Roxo,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,6 999        EUR,8089949258,10 Julho 2023,Sim,Metalizado,Tracção dianteira,20/10/2023,18 Meses,2,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Março,2018,71 000 km,999 cm3,75 cv,Sim,Citadino,Cinzento,Manual,,5,5,Classe 1,Nacional,Sim,Sim,Sim,6 l/100km,Usados,13 250        EUR,8088359335,10 Julho 2023,Sim,,Tracção dianteira,,18 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,VW,Up!,1.0 BMT Move,Gasolina,Outubro,2016,92 000 km,999 cm3,60 cv,,Citadino,Branco,Manual,5,5,4,,,,,,"4,90 l/100km",Usados,8 750        EUR,8089936645,10 Julho 2023,,,Tracção dianteira,,,,Sim,118 g/km,,,"3,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,1.6 e-HDi Allure,Diesel,Agosto,2014,141 000 km,1 560 cm3,115 cv,Sim,Utilitário,Cinzento,Manual,,5,,,,,,,"4,20 l/100km",Usados,12 650        EUR,8090011873,10 Julho 2023,Sim,Metalizado,,,36 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500L,1.3 MJ Lounge S&S,Diesel,Abril,2017,89 000 km,1 248 cm3,95 cv,Sim,Utilitário,Cinzento,Manual,,5,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,13 990        EUR,8088108461,10 Julho 2023,Sim,,Tracção dianteira,,18 Meses,1,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.6 e-HDi Allure,Diesel,Abril,2012,143 000 km,1 560 cm3,115 cv,Sim,Utilitário,Branco,Manual,6,5,5,Classe 1,,,,Sim,,Usados,10 890        EUR,8089949215,10 Julho 2023,Sim,Metalizado,,,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Twingo,1.0 SCe Night&Day,Gasolina,Abril,2016,95 000 km,999 cm3,70 cv,Sim,Utilitário,Preto,Manual,5,5,4,Classe 1,Nacional,,Sim,Sim,,Usados,9 950        EUR,8089949212,10 Julho 2023,Sim,,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus,1.5 TDCi Titanium,Diesel,Dezembro,2015,253 000 km,1 499 cm3,120 cv,Sim,Utilitário,Cinzento,Manual,,5,,,,,,,"4,30 l/100km",Usados,9 750        EUR,8090011872,10 Julho 2023,Sim,Metalizado,,,36 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.0 Confortline,Gasolina,Maio,2017,96 733 km,999 cm3,75 cv,Sim,Utilitário,Preto,Manual,,5,5,,Nacional,Sim,,Sim,,Usados,14 490        EUR,8089580033,10 Julho 2023,Sim,,,,18 Meses,,Sim,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Dezembro,2018,196 593 km,1 461 cm3,90 cv,Sim,Carrinha,Cinzento,Manual,,5,5,,Nacional,Sim,,Sim,,Usados,12 490        EUR,8089580030,10 Julho 2023,Sim,,,,18 Meses,,Sim,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra,1.6 CDTI Business Edition S/S,Diesel,Outubro,2018,110 715 km,1 598 cm3,110 cv,Sim,Utilitário,Cinzento,Manual,,5,5,,Nacional,Sim,,Sim,,Usados,14 990        EUR,8089338383,10 Julho 2023,Sim,,,,18 Meses,,Sim,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d EDynamics Line Urban,Diesel,Novembro,2013,223 427 km,1 598 cm3,116 cv,Sim,Sedan,Preto,Manual,6,5,5,Classe 1,Importado,,Sim,,,Usados,13 500        EUR,8089555670,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,109 g/km,,Sim,,Série 1,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Agosto,2016,118 000 km,898 cm3,90 cv,Sim,SUV / TT,Preto,Manual,5,5,5,Classe 1,,,,Sim,"6,30 l/100km",Usados,13 990        EUR,8088588613,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,1,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDi Trendline,Diesel,Outubro,2014,131 992 km,1 598 cm3,105 cv,Sim,Carrinha,Preto,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,"4,90 l/100km",Usados,12 950        EUR,8089848786,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,1,Sim,102 g/km,148 €,,"3,30 l/100km",,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,1.6 e-HDi Feel Ed.Silver ETG6,Diesel,Fevereiro,2015,127 000 km,1 560 cm3,92 cv,Sim,Citadino,Outra,Automática,,5,5,,Importado,,Sim,Sim,,Usados,14 350        EUR,8090010337,10 Julho 2023,,,,,18 Meses,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,318,d Touring Navigation,Diesel,Janeiro,2010,182 000 km,1 995 cm3,143 cv,Sim,Carrinha,Cinzento,Manual,,5,5,Classe 1,,,Sim,Sim,,Usados,11 500        EUR,8089949085,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,Série 3,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,1.0 Prime 71,Gasolina,Fevereiro,2016,53 031 km,999 cm3,71 cv,Sim,Pequeno citadino,Azul,Manual,,5,4,Classe 1,,Sim,Sim,Sim,,Usados,12 990        EUR,8089949078,10 Julho 2023,Sim,Metalizado,,,36 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C5 Tourer,,Diesel,Dezembro,2011,200 000 km,1 560 cm3,110 cv,Sim,Carrinha,Cinzento,Manual,,5,,,,,,,,Usados,6 900        EUR,8089903696,10 Julho 2023,,,,,36 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,118,d DPF Edition Sport,Diesel,Maio,2012,199 300 km,1 995 cm3,143 cv,Sim,Coupé,Azul,Manual,6,3,4,Classe 1,Importado,,Sim,Sim,"5,40 l/100km",Usados,13 750        EUR,8089999886,9 Julho 2023,Sim,Metalizado,Tracção traseira,,18 Meses,,,119 g/km,,Sim,4 l/100km,Série 1,,,,,,,,,,,,StandVirtual,Yes
Particular,Volvo,V60,2.0 D3 Momentum,Diesel,Dezembro,2010,194 000 km,1 984 cm3,163 cv,,Carrinha,Preto,Manual,6,5,5,,,,,,"7,30 l/100km",Usados,11 800        EUR,8089945708,10 Julho 2023,,,Tracção dianteira,,,,,144 g/km,,,"4,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Aygo,1.0 X-Play+X-Touch,Gasolina,Fevereiro,2020,77 479 km,998 cm3,72 cv,Sim,Citadino,Cinzento,Manual,5,5,4,Classe 1,,Sim,Sim,Sim,,Usados,12 900        EUR,8089936708,6 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,"4,10 l/100km",,Sim,,,,,,,,StandVirtual,Yes
