Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Tipo de cor,Inspecção válida até,2º Chave,Consumo Urbano,Consumo Extra Urbano,IUC,Filtro de partículas,Autonomia Máxima,Gancho de Reboque,Sub-modelo,Autonomia,Capacidade da bateria,Bateria,Garantia de Fábrica até,Consumo Combinado,Clássico,Consumo,ou até,Site,Portugal,Data
Profissional,MINI,Cabrio,Cooper S,Gasolina,Maio,2012,157 000 km,1 598 cm3,184 cv,,,Sim,Cabrio,Preto,Manual,6,3,,Classe 1,Tracção dianteira,,18 Meses,,Importado,Sim,Sim,Usados,13 990        EUR,8090604223,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-s-ID8PxlKw.html,,Metalizado,14/05/2024,Sim,"7,50 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,2008,1.6 BlueHDi Active,Diesel,Junho,2016,157 497 km,1 560 cm3,75 cv,Sim,,Sim,SUV / TT,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,,Importado,Sim,Sim,Usados,13 900        EUR,8087841156,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-active-ID8PlKVU.html,Sim,,01/06/2024,Sim,"4,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Opel,Insignia Sports Tourer,,Diesel,Abril,2014,181 480 km,1 956 cm3,140 cv,,,Sim,Carrinha,Cinzento,Manual,,5,5,,,,36 Meses,,,,,Usados,12 860        EUR,8090153986,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-ID8PwsCC.html,,Metalizado,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Renault,Mégane Sport Tourer,,Diesel,Março,2015,172 780 km,1 461 cm3,110 cv,,,Sim,Carrinha,Branco,Manual,,5,5,,,,36 Meses,,,,,Usados,12 380        EUR,8090153975,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-ID8PwsCr.html,,Metalizado,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Fiat,Punto Evo,1.3 16V Multijet Dynamic S&S,Diesel,Abril,2015,110 000 km,1 248 cm3,86 cv,Sim,,Sim,Citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,95 g/km,18 Meses,,,,Sim,Usados,9 990        EUR,8090536119,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-evo-1-3-16v-multijet-dynamic-s-s-ID8Px423.html,Sim,Metalizado,,Sim,"4,60 l/100km",3 l/100km,147 €,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Particular,Hyundai,i30 SW,1.6 CRDi Style,Diesel,Setembro,2020,259 735 km,1 598 cm3,116 cv,,Sim,,Carrinha,Preto,Manual,6,5,5,Classe 1,,,,1,Nacional,Sim,,Usados,13 500        EUR,8089829743,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i30-sw-1-6-crdi-style-ID8Pu6gT.html,,Metalizado,04/09/2023,Sim,"4,70 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Opel,Astra,1.6 CDTI DPF ecoFLEX S&S Style,Diesel,Abril,2014,151 707 km,1 598 cm3,136 cv,Sim,,Sim,Utilitário,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,104 g/km,36 Meses,1,Importado,,Sim,Usados,12 500        EUR,8090438672,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-dpf-ecoflex-s-s-style-ID8PvEGk.html,Sim,Metalizado,,,,,,,900 km,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Particular,Peugeot,508 SW,1.6 BlueHDi Active,Diesel,Julho,2016,195 000 km,1 560 cm3,120 cv,,,,Carrinha,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,100 g/km,,2,Nacional,,Sim,Usados,12 500        EUR,8090417209,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-active-ID8Pvz69.html,,Metalizado,21/07/2024,Sim,"4,70 l/100km","3,50 l/100km",,,,1,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,208,1.2 PureTech Style,Gasolina,Novembro,2017,41 000 km,1 199 cm3,82 cv,,,,Citadino,Cinzento,Manual,5,5,5,,Tracção dianteira,104 g/km,36 Meses,,Nacional,Sim,Sim,Usados,12 990        EUR,8090604217,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-style-ID8PxlKp.html,,Metalizado,,Sim,"5,50 l/100km","3,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Opel,Corsa,1.2 Edition,Gasolina,Dezembro,2016,60 271 km,1 229 cm3,70 cv,,,Sim,Citadino,Preto,Manual,5,5,5,,,,18 Meses,1,Nacional,,,Usados,10 899        EUR,8090479981,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-edition-ID8PvPqB.html,Sim,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
