Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Tipo de cor,Inspecção válida até,2º Chave,Consumo Urbano,Consumo Extra Urbano,IUC,Filtro de partículas,Autonomia Máxima,Gancho de Reboque,Sub-modelo,Autonomia,Capacidade da bateria,Bateria,Garantia de Fábrica até,Consumo Combinado,Clássico,Consumo,ou até,Site,Portugal,Data
Profissional,Audi,A4 Avant,2.0 TDI Advance,Diesel,Fevereiro,2012,318 000 km,1 968 cm3,136 cv,,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,116 g/km,36 Meses,,,,,Usados,13 750        EUR,8090604008,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-2-0-tdi-advance-ID8PxlH2.html,Sim,Metalizado,,,"5,30 l/100km","3,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Ford,Fiesta,1.1 Ti-VCT Titanium,Gasolina,Fevereiro,2019,55 000 km,1 084 cm3,85 cv,,,Sim,Citadino,Preto,Manual,,5,5,Classe 1,Tracção dianteira,,36 Meses,,Nacional,,Sim,Usados,14 950        EUR,8088746153,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-1-ti-vct-titanium-ID8PpynD.html,Sim,Metalizado,,Sim,"6,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,82 000 km,1 242 cm3,69 cv,,,Sim,Citadino,Cinzento,Manual,5,3,4,,Tracção dianteira,102 g/km,36 Meses,,Nacional,,Sim,Usados,12 950        EUR,8088744356,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PpxUE.html,Sim,Metalizado,,Sim,"5,90 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Smart,ForFour,1.0 Passion 71,Gasolina,Julho,2015,127 900 km,999 cm3,71 cv,,,,Citadino,Branco,Manual,5,5,4,,Tracção traseira,97 g/km,36 Meses,,,,,Usados,10 980        EUR,8090604005,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-passion-71-ID8PxlGZ.html,,,,,"4,80 l/100km","3,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure J17,Diesel,Dezembro,2015,119 000 km,1 560 cm3,120 cv,,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,102 g/km,18 Meses,,,Sim,Sim,Usados,12 750        EUR,8090081104,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-j17-ID8Pw9F6.html,Sim,Metalizado,,Sim,"4,70 l/100km","3,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,MINI,Cabrio,Cooper D,Diesel,Janeiro,2011,166 000 km,1 598 cm3,112 cv,,,Sim,Cabrio,Preto,Manual,,3,4,,Tracção dianteira,,18 Meses,,Nacional,Sim,Sim,Usados,12 990        EUR,8090203701,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-d-ID8PwFyt.html,Sim,,01/01/2024,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Opel,Adam,1.2 Glam,Gasolina,Janeiro,2019,68 000 km,1 229 cm3,70 cv,,,Sim,Citadino,Branco,Manual,5,3,4,Classe 1,Tracção dianteira,145 g/km,18 Meses,1,Importado,Sim,Sim,Usados,14 990        EUR,8090535465,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-adam-1-2-glam-ID8Px3Rw.html,Sim,Metalizado,05/01/2025,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,Abril,2017,51 174 km,1 199 cm3,83 cv,,,,SUV / TT,Vermelho,Manual,5,5,,,Tracção dianteira,140 g/km,36 Meses,,,,,Usados,14 490        EUR,8090602089,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-ID8Pxlc5.html,,,,,"5,80 l/100km","4,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,208,1.2 PureTech GT Line,Gasolina,Maio,2017,130 000 km,1 199 cm3,110 cv,,,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,,,18 Meses,,Importado,,,Usados,13 950        EUR,8088870407,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-gt-line-ID8Pq4HJ.html,Sim,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Ford,Focus SW,1.5 TDCi EcoBlue Titanium,Diesel,Agosto,2018,165 099 km,1 499 cm3,120 cv,Sim,Sim,Sim,Carrinha,Azul,Manual,,5,5,,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,13 390        EUR,8088416334,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-ecoblue-titanium-ID8PoazY.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Toyota,Avensis SW,2.0 D-4D Exclusive +Pele+GPS,Diesel,Julho,2010,556 000 km,1 998 cm3,126 cv,,,,Carrinha,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,140 g/km,18 Meses,1,Nacional,,,Usados,6 990        EUR,8090422373,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-avensis-sw-2-0-d-4d-exclusive-pele-gps-ID8PvArr.html,,Metalizado,21/07/2024,,"6,70 l/100km","4,60 l/100km",224 €,,800 km,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Particular,Renault,Zoe,(c/ Bateria) 22 kwh Life,Eléctrico,Abril,2015,96 000 km,,88 cv,,,,Citadino,Branco,Automática,1,5,5,,Tracção dianteira,,,,,,,Usados,10 999        EUR,8090596876,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-c-bateria-22-kwh-life-ID8PxjQ0.html,,,,,,,,,170 km,,,150 km,22 kWh,Própria,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Renault,Kangoo,1.5 dCi Maxi Business S/S,Diesel,Dezembro,2016,200 447 km,1 461 cm3,90 cv,Sim,Sim,Sim,Carrinha,Branco,Manual,,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,14 490        EUR,8090542223,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-kangoo-1-5-dci-maxi-business-s-s-ID8Px5Cw.html,Sim,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Skoda,Octavia Break,,Gasolina,Abril,2011,126 000 km,1 197 cm3,106 cv,Sim,,Sim,Carrinha,Preto,Automática,6,5,5,Classe 1,,,18 Meses,,Nacional,,,Usados,8 800        EUR,8090342309,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-octavia-break-ID8PvfC5.html,Sim,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,308 SW,,Diesel,Dezembro,2015,120 000 km,1 560 cm3,120 cv,Sim,,Sim,Carrinha,Preto,Manual,6,5,5,Classe 1,,,18 Meses,,Importado,,,Usados,13 950        EUR,8090315360,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-ID8Pv8Bq.html,Sim,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Kia,Picanto,,Gasolina,Agosto,2018,45 417 km,1 248 cm3,85 cv,,,,Citadino,Cinzento,Manual,,5,,,Tracção dianteira,,18 Meses,,,,Sim,Usados,13 900        EUR,8090601981,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-picanto-ID8Pxlal.html,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,VW,Polo,,Gasolina,Março,2018,106 000 km,999 cm3,60 cv,,,Sim,Utilitário,Cinzento,Manual,,5,5,,Tracção dianteira,,18 Meses,,,Sim,Sim,Usados,12 490        EUR,8089753516,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-ID8PtMrq.html,Sim,,01/03/2024,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Maio,2018,81 000 km,1 199 cm3,82 cv,Sim,,,SUV / TT,Cinzento,Manual,,5,5,,,114 g/km,18 Meses,,Nacional,,,Usados,14 950        EUR,8090603983,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8PxlGD.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Smart,ForTwo Coupé,1.0 Passion 71 Aut.,Gasolina,Fevereiro,2014,90 000 km,999 cm3,71 cv,Sim,,Sim,Citadino,Branco,Automática,5,3,2,Classe 1,Tracção traseira,,18 Meses,1,Nacional,Sim,Sim,Usados,8 990        EUR,8090034537,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-aut-ID8PuXy1.html,Sim,Metalizado,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Mitsubishi,Grandis,2.0 DI-D Instyle,Diesel,Janeiro,2011,206 000 km,1 968 cm3,136 cv,,,Sim,Monovolume,Cinzento,Manual,6,5,7,Classe 1,Tracção dianteira,,18 Meses,,Nacional,,,Usados,11 900        EUR,8088195101,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-grandis-2-0-di-d-instyle-ID8Pnf1H.html,Sim,Metalizado,,,"8,70 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Ford,Focus SW,1.5 EcoBlue S&S ST-LINE DESIGN,Diesel,Julho,2016,270 000 km,1 499 cm3,120 cv,,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,98 g/km,18 Meses,,Importado,,,Usados,13 850        EUR,8090603973,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-ecoblue-s-s-st-line-design-ID8PxlGt.html,Sim,Metalizado,10/07/2024,,,,148 €,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2019,81 000 km,1 242 cm3,69 cv,,,Sim,Citadino,Azul,Manual,5,3,4,,Tracção dianteira,102 g/km,36 Meses,1,Nacional,Sim,,Usados,12 950        EUR,8088744251,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PpxSX.html,Sim,Metalizado,,Sim,"5,90 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,SEAT,Ibiza ST,1.2 TSI FR 30 Anos,Gasolina,Junho,2015,85 139 km,1 197 cm3,105 cv,Sim,,Sim,Carrinha,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,119 g/km,18 Meses,1,Nacional,,Sim,Usados,13 990        EUR,8087940414,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-2-tsi-fr-30-anos-ID8PmaLQ.html,Sim,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Janeiro,2018,106 000 km,1 248 cm3,95 cv,,Sim,Sim,Carrinha,Cinzento,Manual,,5,5,,Tracção dianteira,,18 Meses,1,Nacional,,Sim,Usados,13 900        EUR,8089237560,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PrCdy.html,Sim,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Citroën,C4 Grand Picasso,1.6 BlueHDi Exclusive EAT6,Diesel,Setembro,2016,198 674 km,1 560 cm3,120 cv,,,,Monovolume,Azul,Automática,6,5,7,Classe 1,Tracção dianteira,105 g/km,18 Meses,,Importado,,Sim,Usados,12 990        EUR,8090535400,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-grand-picasso-1-6-bluehdi-exclusive-eat6-ID8Px3Qs.html,,Metalizado,,Sim,"4,60 l/100km","3,80 l/100km",146 €,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Citroën,C4,1.6 BlueHDi Live,Diesel,Março,2017,170 557 km,1 560 cm3,100 cv,Sim,,Sim,Utilitário,Branco,Manual,,5,5,,Tracção dianteira,86 g/km,18 Meses,1,,Sim,,Usados,13 900        EUR,8088209424,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-1-6-bluehdi-live-ID8PniKI.html,Sim,Metalizado,,Sim,"3,70 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Nissan,Micra,1.5 DCi N-Connecta S/S,Diesel,Março,2018,110 458 km,1 461 cm3,90 cv,Sim,,Sim,Citadino,Cinzento,Manual,,5,5,,Tracção dianteira,99 g/km,18 Meses,1,,Sim,,Usados,14 800        EUR,8088209431,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-n-connecta-s-s-ID8PniKP.html,Sim,Metalizado,,Sim,"4,80 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Audi,A4 Avant,2.0 TDI Business Line Plus,Diesel,Dezembro,2011,211 000 km,1 968 cm3,143 cv,,,,Carrinha,Castanho,Manual,6,5,5,,Tracção dianteira,135 g/km,36 Meses,,,,,Usados,13 750        EUR,8090232247,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-2-0-tdi-business-line-plus-ID8PwMYT.html,,Metalizado,,,"7,40 l/100km","4,70 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,BMW,216 Gran Tourer,d Line Sport,Diesel,Junho,2016,177 100 km,1 496 cm3,116 cv,,,,Monovolume,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,104 g/km,36 Meses,,,,,Usados,14 700        EUR,8090235452,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-216-gran-tourer-d-line-sport-ID8PwNOA.html,,Metalizado,,,,,,,,,Série 2,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,BMW,114,d Line Sport,Diesel,Janeiro,2017,177 000 km,1 496 cm3,95 cv,,,,Citadino,Branco,Manual,6,5,5,,Tracção traseira,107 g/km,36 Meses,,,,,Usados,14 900        EUR,8090235226,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-114-d-line-sport-ID8PwNKV.html,,,,,"4,60 l/100km","3,80 l/100km",,Sim,,,Série 1,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Renault,Twingo,,Gasolina,Janeiro,2018,31 000 km,898 cm3,90 cv,Sim,,,Citadino,Vermelho,Manual,,5,4,,,,18 Meses,,Importado,,,Usados,13 250        EUR,8090586210,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-ID8Pxh3Y.html,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Honda,Jazz,1.2 i-VTEC Trend J15,Gasolina,Novembro,2011,63 440 km,1 198 cm3,90 cv,Sim,,Sim,Citadino,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,123 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,9 950        EUR,8090603963,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/honda-jazz-1-2-i-vtec-trend-j15-ID8PxlGj.html,Sim,Metalizado,,Sim,"6,60 l/100km","4,60 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,108,1.0 VTi Style,Gasolina,Maio,2020,42 000 km,998 cm3,72 cv,Sim,,,Citadino,Branco,Manual,,5,,,,,18 Meses,,Nacional,,,Usados,12 950        EUR,8090410854,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-style-ID8PvxrE.html,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Setembro,2019,38 600 km,998 cm3,72 cv,Sim,,,Citadino,Vermelho,Manual,,5,4,,,,18 Meses,,Importado,,,Usados,12 950        EUR,8090126429,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8Pwls9.html,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Citroën,C4 Picasso,,Diesel,Junho,2016,190 000 km,1 560 cm3,100 cv,,,,Monovolume,Branco,Automática,,5,,,,,36 Meses,,,,,Usados,13 900        EUR,8090547211,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-picasso-ID8Px6UX.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,MINI,Clubman,,Diesel,Janeiro,2014,124 000 km,1 995 cm3,143 cv,,,Sim,Carrinha,Bege,Manual,6,5,4,Classe 1,Tracção traseira,,18 Meses,,Importado,,Sim,Usados,13 200        EUR,8089829611,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-clubman-ID8Pu6eL.html,Sim,Metalizado,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Janeiro,2018,169 000 km,1 461 cm3,90 cv,Sim,Sim,Sim,Citadino,Preto,Manual,5,5,5,,,,18 Meses,1,Nacional,Sim,Sim,Usados,10 950        EUR,8089930195,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8Puvp5.html,Sim,Metalizado,,Sim,"4,30 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Renault,Twingo,,Gasolina,Abril,2015,73 000 km,999 cm3,70 cv,,,Sim,Pequeno citadino,Branco,Manual,,5,,,,,18 Meses,,,,,Usados,9 500        EUR,8090216482,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-ID8PwISC.html,,Metalizado,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,VW,Jetta,1.6 TDi Confortline,Diesel,Junho,2011,256 500 km,1 598 cm3,105 cv,,,,Sedan,Preto,Manual,5,4,5,Classe 1,Tracção dianteira,122 g/km,18 Meses,,Nacional,,Sim,Usados,9 300        EUR,8089787410,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-jetta-1-6-tdi-confortline-ID8PtWg6.html,,Metalizado,,Sim,"5,80 l/100km","4,10 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Citroën,C1,1.0 Seduction,Gasolina,Dezembro,2014,62 532 km,998 cm3,68 cv,,,,Citadino,Cinzento,Manual,5,5,,,Tracção dianteira,99 g/km,18 Meses,,,Sim,Sim,Usados,9 990        EUR,8090535340,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-seduction-ID8Px3Pu.html,,,,Sim,"5,10 l/100km","3,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,108,1.0 VTi Active ETG5,Gasolina,Junho,2015,122 680 km,998 cm3,68 cv,Sim,,Sim,Citadino,Cinzento,Automática,,5,4,,,,18 Meses,1,Importado,Sim,Sim,Usados,10 800        EUR,8089189125,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-etg5-ID8PrpCl.html,Sim,Metalizado,,Sim,5 l/100km,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Opel,Astra,1.7 CDTi Edition,Diesel,Maio,2010,259 504 km,1 686 cm3,125 cv,,,,Utilitário,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,143 g/km,18 Meses,,Nacional,,,Usados,8 900        EUR,8090603961,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-7-cdti-edition-ID8PxlGh.html,,Metalizado,,,"6,70 l/100km","4,60 l/100km",190 €,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Opel,Corsa,1.3 CDTi Dynamic,Diesel,Julho,2018,64 000 km,1 248 cm3,95 cv,Sim,Sim,,Utilitário,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,93 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,14 980        EUR,8089945082,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-dynamic-ID8PuAhc.html,,Metalizado,,Sim,"3,80 l/100km","3,10 l/100km",103 €,,900 km,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Citroën,DS3,1.6 VTi So Chic 132g,Gasolina,Novembro,2010,160 000 km,1 598 cm3,120 cv,,,,Citadino,Vermelho,Manual,5,3,5,,Tracção dianteira,132 g/km,36 Meses,,,,,Usados,9 850        EUR,8090445465,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-vti-so-chic-132g-ID8PvGrT.html,,,,,"7,50 l/100km","4,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,VW,Passat Variant,1.4 TSI GTE Plug-in,Híbrido (Gasolina),Maio,2018,127 000 km,1 395 cm3,218 cv,Sim,Sim,Sim,Carrinha,Cinzento,Automática,,5,5,Classe 1,,,18 Meses,1,Nacional,Sim,Sim,Usados,24 250        EUR,8090435231,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8PvDMP.html,Sim,Metalizado,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Skoda,Scala,1.0 TSI Monte Carlo DSG,Gasolina,Junho,2022,10 km,999 cm3,110 cv,Sim,,Sim,Utilitário,Preto,Automática,,5,,,,,36 Meses,,Nacional,,,Usados,25 499        EUR,8088325281,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-scala-1-0-tsi-monte-carlo-dsg-ID8PnMTn.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Particular,Mercedes-Benz,SLK 200,(BlueEFFICIENCY),Gasolina,Setembro,2011,56 040 km,1 796 cm3,184 cv,Sim,,,Cabrio,Preto,Manual,6,2,2,Classe 1,Tracção traseira,154 g/km,,2,Importado,Sim,Sim,Usados,23 790        EUR,8090058548,13 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-slk-200-blueefficiency-ID8Pw3Ni.html,,,29/09/2024,Sim,"8,90 l/100km",,240 €,,600 km,,Classe SLK,,,,,,,,,StandVirtual,Yes,2023-09-14
Particular,Renault,Espace,1.6 dCi Initiale Paris EDC,Diesel,Junho,2016,208 000 km,1 598 cm3,160 cv,,,,Monovolume,Preto,Automática,6,5,7,,Tracção dianteira,120 g/km,,,,,,Usados,19 000        EUR,8090255629,13 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-espace-1-6-dci-initiale-paris-edc-ID8PwT41.html,,,,,"5,10 l/100km","4,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,BMW,320,d Touring Auto Pack M,Diesel,Setembro,2015,158 542 km,1 995 cm3,184 cv,Sim,,Sim,Sedan,Preto,Automática,8,5,5,,Tracção traseira,,18 Meses,,Importado,Sim,,Usados,28 990        EUR,8087402325,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-auto-pack-m-ID8PjUMZ.html,,Metalizado,,Sim,"5,70 l/100km",,,Sim,,,Série 3,,,,,,,,,StandVirtual,Yes,2023-09-14
Particular,Toyota,Auris,1.8 HSD Comfort+P.Sport,Híbrido (Gasolina),Novembro,2015,98 500 km,1 798 cm3,136 cv,,,,Citadino,Branco,Automática,,5,5,,Tracção dianteira,91 g/km,,,,,,Usados,16 800        EUR,8090326204,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-auris-1-8-hsd-comfort-p-sport-ID8Pvbqk.html,,Metalizado,,,"3,90 l/100km","3,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,BMW,118,d Pack M,Diesel,Outubro,2013,156 873 km,1 995 cm3,143 cv,Sim,,Sim,Coupé,Cinzento,Manual,6,3,5,Classe 1,Tracção traseira,,18 Meses,,Importado,,Sim,Usados,21 500        EUR,8086172445,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-118-d-pack-m-ID8PeKQd.html,Sim,Metalizado,,Sim,,,,,,,Série 1,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,BMW,320,,Diesel,Março,2017,139 915 km,1 995 cm3,163 cv,Sim,,Sim,Carrinha,Preto,Manual,6,5,5,Classe 1,Tracção traseira,,18 Meses,,Importado,Sim,Sim,Usados,28 990        EUR,8087071242,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-ID8PivEV.html,Sim,Metalizado,,Sim,,,,,,,Série 3,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,508,1.5 BlueHDi Active,Diesel,Setembro,2019,64 800 km,1 499 cm3,130 cv,Sim,,Sim,Sedan,Cinzento,Manual,6,5,,,,,18 Meses,1,Importado,Sim,,Usados,24 800        EUR,8090604249,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-1-5-bluehdi-active-ID8PxlKW.html,Sim,,,Sim,"4,70 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,DS,DS5,1.6 BlueHDi So Chic EAT6,Diesel,Janeiro,2018,150 664 km,1 560 cm3,120 cv,,,Sim,Utilitário,Azul,Automática,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,,,Sim,Usados,18 950        EUR,8089027996,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ds-ds5-1-6-bluehdi-so-chic-eat6-ID8PqJHu.html,Sim,Metalizado,,Sim,"4,80 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Opel,Grandland X,1.6 Turbo D Dynamic,Diesel,Agosto,2018,112 321 km,1 560 cm3,120 cv,,,Sim,Monovolume,Preto,Automática,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,,Sim,Sim,Usados,21 950        EUR,8089153825,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-grandland-x-1-6-turbo-d-dynamic-ID8PrgqZ.html,Sim,Metalizado,,Sim,"4,60 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,308 SW,1.5 BlueHDi Active Pack,Diesel,Setembro,2018,55 020 km,1 499 cm3,130 cv,,,Sim,Carrinha,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,122 g/km,18 Meses,,,,Sim,Usados,17 250        EUR,8089944635,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-active-pack-ID8PuA9Z.html,Sim,,,Sim,"4,40 l/100km","3,30 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
