Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Sub-modelo,Valor Fixo,Aceita retoma,Não fumador,Tracção,Filtro de partículas,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,ou até,Autonomia Máxima,Inspecção válida até,IUC,Consumo Combinado,Autonomia,Consumo
Profissional,Mercedes-Benz,E 300,Bluetec Hybrid Avantgarde,Híbrido (Diesel),Agosto,2012,290 000 km,2 143 cm3,231 cv,,,Sim,Carrinha,Branco,Pérola,Automática,7,5,5,Classe 1,,18 Meses,,Importado,Sim,Usados,17 999        EUR,8089207182,1 Junho 2023,Classe E,,Sim,Sim,Tracção traseira,Sim,,"4,50 l/100km",,,,,,250 €,,,
Profissional,Mercedes-Benz,CLA 250,e Shooting Brake AMG Line,Híbrido (Gasolina),Junho,2021,30 000 km,1 332 cm3,218 cv,,Sim,Sim,Carrinha,Branco,,Automática,,5,5,Classe 1,,18 Meses,1,Nacional,Sim,Usados,49 000        EUR,8089050798,1 Junho 2023,Classe CLA,Sim,Sim,Sim,,,Sim,,,,,,,,,,
Particular,Mercedes-Benz,GLE 350,de 4Matic,Híbrido (Diesel),Dezembro,2020,33 000 km,1 950 cm3,320 cv,,,,SUV / TT,Cinzento,Metalizado,Automática,9,5,5,,20 g/km,,1,Nacional,,Usados,80 000        EUR,8089586608,1 Junho 2023,Classe GLE,,,,Integral,Sim,,,,09/12/2024,,,,,,,
Profissional,Lexus,IS 300H,Executive,Híbrido (Gasolina),Março,2019,65 413 km,2 494 cm3,223 cv,Sim,,Sim,Sedan,Cinzento,Metalizado,Automática,,4,5,Classe 1,,36 Meses,,Nacional,Sim,Usados,35 700        EUR,8089540855,1 Junho 2023,IS,Sim,Sim,,,,Sim,"4,50 l/100km",,,,,,,,,
Profissional,Mercedes-Benz,C 350,e,Híbrido (Gasolina),Julho,2016,133 000 km,1 991 cm3,279 cv,,Sim,Sim,Carrinha,Preto,,Automática,,5,5,Classe 1,,18 Meses,1,Nacional,Sim,Usados,24 500        EUR,8089678858,1 Junho 2023,Classe C,Sim,Sim,Sim,,,Sim,,,,,,,,,,
Profissional,Mercedes-Benz,E 300,Bluetec Hybrid Avantgarde,Híbrido (Diesel),Junho,2013,281 325 km,2 143 cm3,231 cv,,,,Carrinha,Azul,,Automática,,5,,,,36 Meses,,,,Usados,18 999        EUR,8089553052,1 Junho 2023,Classe E,,,,,,,"4,50 l/100km",,,,,,,,,
Profissional,Bentley,Bentayga,V6 Hybrid,Híbrido (Gasolina),Novembro,2019,34 015 km,2 995 cm3,449 cv,,,Sim,SUV / TT,Cinzento,,Automática,8,5,5,,124 g/km,18 Meses,,,Sim,Usados,189 950        EUR,8089678770,1 Junho 2023,,,Sim,Sim,Integral,,Sim,,,,,,,,,,
Particular,Land Rover,Range Rover Sport,2.0 Si4 PHEV HSE,Híbrido (Gasolina),Novembro,2019,61 000 km,1 997 cm3,404 cv,,,,SUV / TT,Azul,Metalizado,Automática,8,5,5,,74 g/km,,,,Sim,Usados,78 000        EUR,8089586511,1 Junho 2023,,,,Sim,Integral,,Sim,,,14/09/2024,,,,206 €,,,
Particular,Toyota,Yaris,1.5-hybrid-(nhp130_),Híbrido (Gasolina),Janeiro,2020,25 000 km,1 497 cm3,101 cv,,,,Utilitário,Cinzento,Metalizado,Automática,,5,5,,,,,,,Usados,18 990        EUR,8089508524,1 Junho 2023,,,,,,,,,,,,,,,,,
Particular,Land Rover,Range Rover Sport,3.0 SDV6 HEV HSE,Híbrido (Diesel),Julho,2016,79 000 km,2 993 cm3,340 cv,,,,SUV / TT,Preto,Metalizado,Automática,7,5,7,Classe 2,164 g/km,,,Nacional,Sim,Usados,58 000        EUR,8089296354,1 Junho 2023,,,,Sim,Integral,,,"5,80 l/100km",,,,,31/07/2023,,,,
Profissional,Mercedes-Benz,AMG GT,63 S E Performance,Híbrido (Gasolina),Julho,2022,12 157 km,3 982 cm3,843 cv,,,Sim,Coupé,Branco,,Automática,,4,,,,18 Meses,,,Sim,Usados,259 950        EUR,8089422142,1 Junho 2023,,,Sim,Sim,,,Sim,,,,,,,,,,
Particular,Volvo,XC 60,2.0 T8 PHEV R-Design AWD,Híbrido (Gasolina),Setembro,2019,50 000 km,1 969 cm3,392 cv,,,,SUV / TT,Cinzento,Metalizado,Automática,8,5,5,Classe 1,55 g/km,,1,Nacional,Sim,Usados,48 750        EUR,8089678032,1 Junho 2023,,,,Sim,Integral,,Sim,,,,,,,,,,
